date,frpwiki (100+),frpwiki (5+),frpwiki (all)
2013/05/29,,2,11
2013/05/30,,1,11
2013/05/31,,2,10
2013/06/01,,2,11
2013/06/02,,2,9
2013/06/03,,2,9
2013/06/04,,2,9
2013/06/05,,2,8
2013/06/06,,2,9
2013/06/07,,2,9
2013/06/08,,2,10
2013/06/09,,2,10
2013/06/10,,2,10
2013/06/11,,2,10
2013/06/12,,2,10
2013/06/13,,2,10
2013/06/14,,2,10
2013/06/15,,2,10
2013/06/16,,2,10
2013/06/17,,2,10
2013/06/18,,2,12
2013/06/19,,2,12
2013/06/20,,2,12
2013/06/21,,2,10
2013/06/22,,2,10
2013/06/23,,2,9
2013/06/24,,1,9
2013/06/25,,1,10
2013/06/26,,1,10
2013/06/27,,1,10
2013/06/28,,1,10
2013/06/29,,1,12
2013/06/30,,,11
2013/07/01,,,11
2013/07/02,,,11
2013/07/03,,,14
2013/07/04,,1,14
2013/07/05,,1,14
2013/07/06,,1,13
2013/07/07,,1,13
2013/07/08,,,13
2013/07/09,,,14
2013/07/10,,,14
2013/07/11,,,16
2013/07/12,,,16
2013/07/13,,,17
2013/07/14,,,16
2013/07/15,,,16
2013/07/16,,,17
2013/07/17,,,17
2013/07/18,,,17
2013/07/19,,,17
2013/07/20,,,18
2013/07/21,,,18
2013/07/22,,,18
2013/07/23,,,18
2013/07/24,,,18
2013/07/25,,,17
2013/07/26,,,18
2013/07/27,,,19
2013/07/28,,,19
2013/07/29,,,18
2013/07/30,,,18
2013/07/31,,,17
2013/08/01,,,17
2013/08/02,,,15
2013/08/03,,,14
2013/08/04,,,14
2013/08/05,,,14
2013/08/06,,,14
2013/08/07,,,13
2013/08/08,,1,12
2013/08/09,,1,12
2013/08/10,,1,10
2013/08/11,,1,10
2013/08/12,,1,9
2013/08/13,,1,8
2013/08/14,,1,8
2013/08/15,,1,9
2013/08/16,,2,10
2013/08/17,,2,8
2013/08/18,,2,8
2013/08/19,,2,7
2013/08/20,,2,8
2013/08/21,,2,8
2013/08/22,,2,8
2013/08/23,,2,8
2013/08/24,,2,8
2013/08/25,,2,7
2013/08/26,,2,6
2013/08/27,,2,6
2013/08/28,,2,5
2013/08/29,,3,6
2013/08/30,,2,6
2013/08/31,,2,6
2013/09/01,,2,6
2013/09/02,,2,6
2013/09/03,,2,6
2013/09/04,,2,6
2013/09/05,,2,6
2013/09/06,,2,6
2013/09/07,,2,6
2013/09/08,,1,5
2013/09/09,,1,5
2013/09/10,,1,6
2013/09/11,,1,6
2013/09/12,,1,6
2013/09/13,,1,6
2013/09/14,,1,5
2013/09/15,,,4
2013/09/16,,,5
2013/09/17,,,6
2013/09/18,,,8
2013/09/19,,,7
2013/09/20,,,8
2013/09/21,,,8
2013/09/22,,,8
2013/09/23,,,8
2013/09/24,,,8
2013/09/25,,1,8
2013/09/26,,1,9
2013/09/27,,1,10
2013/09/28,,1,10
2013/09/29,,1,10
2013/09/30,,1,10
2013/10/01,,2,11
2013/10/02,,3,12
2013/10/03,,3,13
2013/10/04,,3,13
2013/10/05,,3,13
2013/10/06,,3,13
2013/10/07,,3,16
2013/10/08,,3,16
2013/10/09,,3,16
2013/10/10,,3,16
2013/10/11,,3,16
2013/10/12,,3,16
2013/10/13,,3,17
2013/10/14,,3,17
2013/10/15,,4,18
2013/10/16,,4,18
2013/10/17,,4,17
2013/10/18,,4,16
2013/10/19,,4,16
2013/10/20,,4,15
2013/10/21,,4,15
2013/10/22,,4,15
2013/10/23,,4,16
2013/10/24,,4,16
2013/10/25,,4,16
2013/10/26,,4,16
2013/10/27,,4,15
2013/10/28,,4,15
2013/10/29,,4,15
2013/10/30,,4,16
2013/10/31,,4,16
2013/11/01,,3,16
2013/11/02,,3,16
2013/11/03,,3,16
2013/11/04,,3,16
2013/11/05,,2,17
2013/11/06,,2,16
2013/11/07,,2,17
2013/11/08,,2,18
2013/11/09,,2,19
2013/11/10,,2,18
2013/11/11,,2,18
2013/11/12,,2,17
2013/11/13,,2,16
2013/11/14,,1,15
2013/11/15,,1,15
2013/11/16,,1,15
2013/11/17,,,13
2013/11/18,,,11
2013/11/19,,,11
2013/11/20,,,11
2013/11/21,,,11
2013/11/22,,1,12
2013/11/23,,1,12
2013/11/24,,1,11
2013/11/25,,1,11
2013/11/26,,1,11
2013/11/27,,1,12
2013/11/28,,1,14
2013/11/29,,1,13
2013/11/30,,1,13
2013/12/01,,1,13
2013/12/02,,2,13
2013/12/03,,2,13
2013/12/04,,2,13
2013/12/05,,3,14
2013/12/06,,3,14
2013/12/07,,3,13
2013/12/08,,3,11
2013/12/09,,3,11
2013/12/10,,3,12
2013/12/11,,3,12
2013/12/12,,3,12
2013/12/13,,3,13
2013/12/14,,3,13
2013/12/15,,3,13
2013/12/16,,3,13
2013/12/17,,3,13
2013/12/18,,3,13
2013/12/19,,3,13
2013/12/20,,3,14
2013/12/21,,3,14
2013/12/22,,3,13
2013/12/23,,3,13
2013/12/24,,3,13
2013/12/25,,3,13
2013/12/26,,3,14
2013/12/27,,3,13
2013/12/28,,3,11
2013/12/29,,3,12
2013/12/30,,3,12
2013/12/31,,3,12
2014/01/01,,2,11
2014/01/02,,3,11
2014/01/03,,3,12
2014/01/04,,3,11
2014/01/05,,2,10
2014/01/06,,2,11
2014/01/07,,2,10
2014/01/08,,1,9
2014/01/09,,1,8
2014/01/10,,1,8
2014/01/11,,1,7
2014/01/12,,1,7
2014/01/13,,1,7
2014/01/14,,1,7
2014/01/15,,1,7
2014/01/16,,1,7
2014/01/17,,1,7
2014/01/18,,2,9
2014/01/19,,2,8
2014/01/20,,2,8
2014/01/21,,2,8
2014/01/22,,2,9
2014/01/23,,2,9
2014/01/24,,2,9
2014/01/25,,2,8
2014/01/26,,2,8
2014/01/27,,2,8
2014/01/28,,2,8
2014/01/29,,2,9
2014/01/30,,2,8
2014/01/31,,2,9
2014/02/01,,1,8
2014/02/02,,1,7
2014/02/03,,1,8
2014/02/04,,1,9
2014/02/05,,1,9
2014/02/06,,1,9
2014/02/07,,1,9
2014/02/08,,1,9
2014/02/09,,1,9
2014/02/10,,1,10
2014/02/11,,1,10
2014/02/12,,1,10
2014/02/13,,1,10
2014/02/14,,1,11
2014/02/15,,1,11
2014/02/16,,1,11
2014/02/17,,,9
2014/02/18,,,9
2014/02/19,,1,11
2014/02/20,,1,14
2014/02/21,,1,13
2014/02/22,,1,13
2014/02/23,,2,13
2014/02/24,,2,14
2014/02/25,,2,14
2014/02/26,,2,14
2014/02/27,,1,14
2014/02/28,,2,13
2014/03/01,,2,13
2014/03/02,,2,12
2014/03/03,,3,13
2014/03/04,,3,13
2014/03/05,,3,11
2014/03/06,,3,10
2014/03/07,,3,10
2014/03/08,,3,10
2014/03/09,,3,10
2014/03/10,,3,10
2014/03/11,,3,10
2014/03/12,,3,10
2014/03/13,,3,10
2014/03/14,,3,10
2014/03/15,,3,12
2014/03/16,,3,11
2014/03/17,,3,12
2014/03/18,,3,12
2014/03/19,,4,13
2014/03/20,,4,13
2014/03/21,,4,13
2014/03/22,,4,10
2014/03/23,,4,10
2014/03/24,,4,11
2014/03/25,,3,11
2014/03/26,,3,11
2014/03/27,,3,14
2014/03/28,,3,14
2014/03/29,,3,14
2014/03/30,,3,13
2014/03/31,,3,13
2014/04/01,,3,12
2014/04/02,,2,11
2014/04/03,,2,11
2014/04/04,,2,11
2014/04/05,,2,12
2014/04/06,,2,14
2014/04/07,,2,14
2014/04/08,,2,14
2014/04/09,,2,14
2014/04/10,,2,15
2014/04/11,,2,14
2014/04/12,,2,15
2014/04/13,,2,15
2014/04/14,,2,13
2014/04/15,,3,14
2014/04/16,,3,14
2014/04/17,,3,14
2014/04/18,,2,15
2014/04/19,,2,15
2014/04/20,,2,16
2014/04/21,,2,17
2014/04/22,,2,17
2014/04/23,,2,16
2014/04/24,,2,17
2014/04/25,,2,16
2014/04/26,,2,13
2014/04/27,,2,13
2014/04/28,,2,13
2014/04/29,,2,13
2014/04/30,,2,13
2014/05/01,,2,13
2014/05/02,,2,14
2014/05/03,,2,14
2014/05/04,,2,15
2014/05/05,,2,13
2014/05/06,,2,12
2014/05/07,,2,12
2014/05/08,,2,12
2014/05/09,,2,12
2014/05/10,,2,13
2014/05/11,,1,13
2014/05/12,,1,12
2014/05/13,,2,13
2014/05/14,,2,13
2014/05/15,,1,13
2014/05/16,,1,12
2014/05/17,,1,12
2014/05/18,,1,9
2014/05/19,,1,9
2014/05/20,,1,8
2014/05/21,,2,8
2014/05/22,,2,8
2014/05/23,,2,8
2014/05/24,,2,8
2014/05/25,,2,8
2014/05/26,,2,8
2014/05/27,,2,10
2014/05/28,,2,10
2014/05/29,,2,10
2014/05/30,,2,11
2014/05/31,,2,11
2014/06/01,,2,12
2014/06/02,,2,13
2014/06/03,,1,13
2014/06/04,,2,13
2014/06/05,,2,13
2014/06/06,,2,13
2014/06/07,,2,13
2014/06/08,,2,13
2014/06/09,,1,12
2014/06/10,,1,12
2014/06/11,,1,12
2014/06/12,,,12
2014/06/13,,,12
2014/06/14,,,11
2014/06/15,,,12
2014/06/16,,,12
2014/06/17,,,12
2014/06/18,,,14
2014/06/19,,,14
2014/06/20,,,15
2014/06/21,,,15
2014/06/22,,,15
2014/06/23,,,15
2014/06/24,,,15
2014/06/25,,,16
2014/06/26,,,15
2014/06/27,,,15
2014/06/28,,,16
2014/06/29,,,15
2014/06/30,,,15
2014/07/01,,,14
2014/07/02,,,13
2014/07/03,,,14
2014/07/04,,,14
2014/07/05,,,14
2014/07/06,,,15
2014/07/07,,,15
2014/07/08,,,15
2014/07/09,,,14
2014/07/10,,,14
2014/07/11,,,14
2014/07/12,,,13
2014/07/13,,,13
2014/07/14,,,13
2014/07/15,,,13
2014/07/16,,,12
2014/07/17,,,12
2014/07/18,,,10
2014/07/19,,,10
2014/07/20,,,8
2014/07/21,,,9
2014/07/22,,,9
2014/07/23,,,9
2014/07/24,,,9
2014/07/25,,,8
2014/07/26,,,8
2014/07/27,,,7
2014/07/28,,,6
2014/07/29,,,6
2014/07/30,,,6
2014/07/31,,,6
2014/08/01,,,7
2014/08/02,,,6
2014/08/03,,,5
2014/08/04,,,5
2014/08/05,,,6
2014/08/06,,,6
2014/08/07,,,6
2014/08/08,,,5
2014/08/09,,,5
2014/08/10,,,5
2014/08/11,,,5
2014/08/12,,,4
2014/08/13,,,4
2014/08/14,,,4
2014/08/15,,,4
2014/08/16,,,4
2014/08/17,,,4
2014/08/18,,,4
2014/08/19,,,5
2014/08/20,,,4
2014/08/21,,,4
2014/08/22,,,5
2014/08/23,,,7
2014/08/24,,,7
2014/08/25,,,7
2014/08/26,,,7
2014/08/27,,,7
2014/08/28,,,8
2014/08/29,,,8
2014/08/30,,,8
2014/08/31,,,7
2014/09/01,,,8
2014/09/02,,,8
2014/09/03,,,8
2014/09/04,,,9
2014/09/05,,,9
2014/09/06,,,9
2014/09/07,,,9
2014/09/08,,,9
2014/09/09,,,9
2014/09/10,,,9
2014/09/11,,,9
2014/09/12,,,9
2014/09/13,,,9
2014/09/14,,,9
2014/09/15,,,9
2014/09/16,,,9
2014/09/17,,,9
2014/09/18,,,8
2014/09/19,,1,8
2014/09/20,,1,8
2014/09/21,,2,8
2014/09/22,,2,6
2014/09/23,,2,6
2014/09/24,,2,6
2014/09/25,,2,6
2014/09/26,,2,7
2014/09/27,,2,5
2014/09/28,,2,5
2014/09/29,,2,5
2014/09/30,,2,6
2014/10/01,,2,8
2014/10/02,,2,9
2014/10/03,,2,9
2014/10/04,,2,9
2014/10/05,,2,8
2014/10/06,,2,8
2014/10/07,,2,8
2014/10/08,,2,8
2014/10/09,,2,9
2014/10/10,,2,9
2014/10/11,,2,9
2014/10/12,,2,9
2014/10/13,,2,9
2014/10/14,,2,9
2014/10/15,,2,10
2014/10/16,,2,10
2014/10/17,,2,10
2014/10/18,,2,10
2014/10/19,,2,10
2014/10/20,,2,11
2014/10/21,,1,10
2014/10/22,,1,10
2014/10/23,,1,10
2014/10/24,,1,10
2014/10/25,,1,11
2014/10/26,,1,10
2014/10/27,,,10
2014/10/28,,,10
2014/10/29,,,10
2014/10/30,,,9
2014/10/31,,,7
2014/11/01,,,7
2014/11/02,,,7
2014/11/03,,,7
2014/11/04,,,7
2014/11/05,,,6
2014/11/06,,,7
2014/11/07,,,7
2014/11/08,,,6
2014/11/09,,,7
2014/11/10,,1,7
2014/11/11,,1,7
2014/11/12,,1,7
2014/11/13,,1,7
2014/11/14,,1,7
2014/11/15,,1,7
2014/11/16,,1,7
2014/11/17,,1,7
2014/11/18,,1,7
2014/11/19,,1,6
2014/11/20,,1,6
2014/11/21,,1,6
2014/11/22,,1,6
2014/11/23,,1,6
2014/11/24,,1,5
2014/11/25,,1,5
2014/11/26,,1,5
2014/11/27,,1,5
2014/11/28,,1,5
2014/11/29,,1,5
2014/11/30,,1,7
2014/12/01,,1,6
2014/12/02,,1,6
2014/12/03,,1,6
2014/12/04,,1,6
2014/12/05,,1,6
2014/12/06,,1,7
2014/12/07,,1,8
2014/12/08,,1,8
2014/12/09,,1,7
2014/12/10,,,7
2014/12/11,,,8
2014/12/12,,,8
2014/12/13,,,8
2014/12/14,,,8
2014/12/15,,,8
2014/12/16,,,9
2014/12/17,,,9
2014/12/18,,,9
2014/12/19,,,11
2014/12/20,,,12
2014/12/21,,,12
2014/12/22,,1,13
2014/12/23,,1,12
2014/12/24,,1,14
2014/12/25,,1,14
2014/12/26,,1,15
2014/12/27,,1,15
2014/12/28,,1,16
2014/12/29,,1,16
2014/12/30,,1,14
2014/12/31,,1,12
2015/01/01,,1,12
2015/01/02,,1,13
2015/01/03,,1,14
2015/01/04,,1,15
2015/01/05,,1,15
2015/01/06,,1,15
2015/01/07,,1,15
2015/01/08,,1,14
2015/01/09,,1,14
2015/01/10,,1,13
2015/01/11,,1,13
2015/01/12,,1,13
2015/01/13,,1,13
2015/01/14,,1,13
2015/01/15,,1,12
2015/01/16,,1,13
2015/01/17,,1,14
2015/01/18,,1,13
2015/01/19,,1,12
2015/01/20,,1,12
2015/01/21,,1,12
2015/01/22,,1,12
2015/01/23,,2,10
2015/01/24,,2,10
2015/01/25,,2,9
2015/01/26,,2,8
2015/01/27,,2,9
2015/01/28,,2,10
2015/01/29,,2,10
2015/01/30,,2,10
2015/01/31,,2,10
2015/02/01,,3,10
2015/02/02,,3,9
2015/02/03,,3,8
2015/02/04,,3,8
2015/02/05,,4,8
2015/02/06,,3,7
2015/02/07,,3,8
2015/02/08,,3,8
2015/02/09,,3,8
2015/02/10,,3,8
2015/02/11,,3,8
2015/02/12,,3,9
2015/02/13,,3,11
2015/02/14,,3,11
2015/02/15,,3,11
2015/02/16,,3,10
2015/02/17,,3,11
2015/02/18,,3,12
2015/02/19,,3,14
2015/02/20,,3,16
2015/02/21,,3,17
2015/02/22,,2,17
2015/02/23,,2,17
2015/02/24,,2,17
2015/02/25,,2,18
2015/02/26,,2,17
2015/02/27,,2,17
2015/02/28,,2,17
2015/03/01,,2,17
2015/03/02,,2,17
2015/03/03,,1,14
2015/03/04,,1,14
2015/03/05,,1,14
2015/03/06,,1,14
2015/03/07,,,14
2015/03/08,,,14
2015/03/09,,,13
2015/03/10,,,14
2015/03/11,,,14
2015/03/12,,,15
2015/03/13,,,14
2015/03/14,,,14
2015/03/15,,,13
2015/03/16,,,15
2015/03/17,,,15
2015/03/18,,,15
2015/03/19,,,15
2015/03/20,,,14
2015/03/21,,,12
2015/03/22,,,10
2015/03/23,,,10
2015/03/24,,,9
2015/03/25,,,9
2015/03/26,,,9
2015/03/27,,,8
2015/03/28,,,8
2015/03/29,,,9
2015/03/30,,1,10
2015/03/31,,1,10
2015/04/01,,2,11
2015/04/02,,2,12
2015/04/03,,2,12
2015/04/04,,2,12
2015/04/05,,2,12
2015/04/06,,2,12
2015/04/07,,2,12
2015/04/08,,2,12
2015/04/09,,2,10
2015/04/10,,2,10
2015/04/11,,2,10
2015/04/12,,2,10
2015/04/13,,2,9
2015/04/14,,2,9
2015/04/15,,2,8
2015/04/16,,2,8
2015/04/17,,2,8
2015/04/18,,2,8
2015/04/19,,2,9
2015/04/20,,2,10
2015/04/21,,2,10
2015/04/22,,2,10
2015/04/23,,2,10
2015/04/24,,2,9
2015/04/25,,2,9
2015/04/26,,2,9
2015/04/27,,2,9
2015/04/28,,2,9
2015/04/29,,2,9
2015/04/30,,2,11
2015/05/01,,2,10
2015/05/02,,1,8
2015/05/03,,1,8
2015/05/04,,1,7
2015/05/05,,1,7
2015/05/06,,1,7
2015/05/07,,1,6
2015/05/08,,1,7
2015/05/09,,1,7
2015/05/10,,1,7
2015/05/11,,2,8
2015/05/12,,2,9
2015/05/13,,2,9
2015/05/14,,2,8
2015/05/15,,2,8
2015/05/16,,2,8
2015/05/17,,2,8
2015/05/18,,2,8
2015/05/19,,2,7
2015/05/20,,2,6
2015/05/21,,2,6
2015/05/22,,2,6
2015/05/23,,2,6
2015/05/24,,2,6
2015/05/25,,2,6
2015/05/26,,2,6
2015/05/27,,2,6
2015/05/28,,2,6
2015/05/29,,2,6
2015/05/30,,2,5
2015/05/31,,2,5
2015/06/01,,2,5
2015/06/02,,2,5
2015/06/03,,2,5
2015/06/04,,2,6
2015/06/05,,2,6
2015/06/06,,2,7
2015/06/07,,2,9
2015/06/08,,2,10
2015/06/09,,2,12
2015/06/10,,1,12
2015/06/11,,1,11
2015/06/12,,2,12
2015/06/13,,3,13
2015/06/14,,3,13
2015/06/15,,3,13
2015/06/16,,3,13
2015/06/17,,3,13
2015/06/18,,3,13
2015/06/19,,3,13
2015/06/20,,3,13
2015/06/21,,3,14
2015/06/22,,3,14
2015/06/23,,3,14
2015/06/24,,3,14
2015/06/25,,3,14
2015/06/26,,3,14
2015/06/27,,3,14
2015/06/28,,3,14
2015/06/29,,3,13
2015/06/30,,3,13
2015/07/01,,3,13
2015/07/02,,3,14
2015/07/03,,3,15
2015/07/04,,3,14
2015/07/05,,3,14
2015/07/06,,3,14
2015/07/07,,3,12
2015/07/08,,3,9
2015/07/09,,3,8
2015/07/10,,3,7
2015/07/11,,3,8
2015/07/12,,3,8
2015/07/13,,3,9
2015/07/14,1,3,9
2015/07/15,1,3,11
2015/07/16,1,3,11
2015/07/17,1,3,11
2015/07/18,1,3,11
2015/07/19,1,3,11
2015/07/20,1,3,12
2015/07/21,1,3,11
2015/07/22,1,3,10
2015/07/23,1,3,10
2015/07/24,1,3,11
2015/07/25,1,3,11
2015/07/26,1,3,11
2015/07/27,1,3,11
2015/07/28,1,3,11
2015/07/29,1,3,11
2015/07/30,1,3,11
2015/07/31,1,3,11
2015/08/01,1,3,11
2015/08/02,1,3,10
2015/08/03,1,3,10
2015/08/04,1,4,11
2015/08/05,1,4,11
2015/08/06,1,5,11
2015/08/07,1,4,12
2015/08/08,1,4,13
2015/08/09,1,3,10
2015/08/10,1,3,10
2015/08/11,1,3,10
2015/08/12,1,3,10
2015/08/13,1,3,10
2015/08/14,1,3,8
2015/08/15,,3,8
2015/08/16,,2,8
2015/08/17,,2,9
2015/08/18,,2,9
2015/08/19,,2,8
2015/08/20,,2,9
2015/08/21,,2,9
2015/08/22,,2,9
2015/08/23,,2,10
2015/08/24,,2,11
2015/08/25,,3,11
2015/08/26,,3,12
2015/08/27,,3,12
2015/08/28,,3,12
2015/08/29,,3,12
2015/08/30,,3,13
2015/08/31,,3,13
2015/09/01,,3,13
2015/09/02,,3,13
2015/09/03,,2,12
2015/09/04,,2,12
2015/09/05,,1,11
2015/09/06,,1,13
2015/09/07,,1,13
2015/09/08,,1,13
2015/09/09,,1,12
2015/09/10,,1,12
2015/09/11,,1,11
2015/09/12,,1,11
2015/09/13,,1,11
2015/09/14,,1,11
2015/09/15,,1,12
2015/09/16,,1,13
2015/09/17,,1,13
2015/09/18,,1,14
2015/09/19,,1,13
2015/09/20,,1,13
2015/09/21,,1,13
2015/09/22,,1,11
2015/09/23,,,11
2015/09/24,,,10
2015/09/25,,,10
2015/09/26,,,9
2015/09/27,,,10
2015/09/28,,,10
2015/09/29,,,11
2015/09/30,,1,13
2015/10/01,,1,13
2015/10/02,,1,13
2015/10/03,,1,12
2015/10/04,,1,12
2015/10/05,,1,12
2015/10/06,,1,10
2015/10/07,,1,9
2015/10/08,,1,9
2015/10/09,,1,9
2015/10/10,,1,9
2015/10/11,,1,9
2015/10/12,,1,9
2015/10/13,,1,9
2015/10/14,,1,9
2015/10/15,,1,8
2015/10/16,,1,7
