date,enwiki (100+),enwiki (5+),enwiki (all)
2013/12/09,3065,32211,112090
2013/12/10,3070,32352,112770
2013/12/11,3079,32511,113334
2013/12/12,3076,32421,113262
2013/12/13,3071,32414,113026
2013/12/14,3081,32377,112842
2013/12/15,3094,32263,112125
2013/12/16,3109,32187,111823
2013/12/17,3108,32324,112389
2013/12/18,3117,32345,112668
2013/12/19,3124,32293,112440
2013/12/20,3113,32165,111644
2013/12/21,3118,31959,110774
2013/12/22,3124,31781,109975
2013/12/23,3115,31644,109393
2013/12/24,3109,31701,109473
2013/12/25,3086,31641,109030
2013/12/26,3058,31241,107709
2013/12/27,3062,31066,106821
2013/12/28,3071,30905,106309
2013/12/29,3075,30919,106135
2013/12/30,3084,30978,106140
2013/12/31,3091,31123,106610
2014/01/01,3097,31087,106364
2014/01/02,3121,30884,105608
2014/01/03,3128,30815,105271
2014/01/04,3139,30796,105096
2014/01/05,3155,30704,104613
2014/01/06,3157,30643,104289
2014/01/07,3183,30649,104863
2014/01/08,3179,30757,105462
2014/01/09,3178,30681,105393
2014/01/10,3161,30566,105198
2014/01/11,3162,30604,105017
2014/01/12,3179,30562,104529
2014/01/13,3189,30589,104361
2014/01/14,3198,30921,105290
2014/01/15,3211,31169,105969
2014/01/16,3203,31313,106143
2014/01/17,3187,31405,106301
2014/01/18,3188,31544,106439
2014/01/19,3197,31605,106200
2014/01/20,3218,31660,106459
2014/01/21,3212,31896,107283
2014/01/22,3216,32223,108306
2014/01/23,3229,32437,109047
2014/01/24,3237,32794,110144
2014/01/25,3268,33231,111566
2014/01/26,3290,33287,112153
2014/01/27,3285,33443,112746
2014/01/28,3293,33748,113593
2014/01/29,3298,33975,114483
2014/01/30,3302,34266,114951
2014/01/31,3300,34468,115682
2014/02/01,3300,34774,116309
2014/02/02,3306,34898,116254
2014/02/03,3339,34923,115971
2014/02/04,3326,35049,116293
2014/02/05,3327,35237,116682
2014/02/06,3315,35422,116742
2014/02/07,3304,35485,116756
2014/02/08,3283,35497,116740
2014/02/09,3285,35468,116298
2014/02/10,3273,35388,116282
2014/02/11,3253,35479,116961
2014/02/12,3263,35591,117376
2014/02/13,3259,35604,117465
2014/02/14,3259,35609,117364
2014/02/15,3239,35589,117018
2014/02/16,3244,35532,116361
2014/02/17,3258,35477,116028
2014/02/18,3248,35584,116676
2014/02/19,3257,35739,117291
2014/02/20,3291,35829,117405
2014/02/21,3279,35873,117462
2014/02/22,3256,35829,117354
2014/02/23,3247,35762,116824
2014/02/24,3259,35637,116416
2014/02/25,3277,35819,116976
2014/02/26,3276,35895,117377
2014/02/27,3274,35860,117346
2014/02/28,3263,35858,117267
2014/03/01,3265,35648,117013
2014/03/02,3260,35521,116277
2014/03/03,3270,35480,116202
2014/03/04,3266,35504,116558
2014/03/05,3255,35586,116978
2014/03/06,3247,35677,117189
2014/03/07,3268,35648,117343
2014/03/08,3260,35591,117102
2014/03/09,3251,35416,116477
2014/03/10,3233,35418,116093
2014/03/11,3237,35600,116719
2014/03/12,3232,35631,116895
2014/03/13,3221,35683,116929
2014/03/14,3230,35695,116802
2014/03/15,3233,35669,116518
2014/03/16,3215,35452,115887
2014/03/17,3211,35363,115788
2014/03/18,3209,35533,116479
2014/03/19,3197,35693,116967
2014/03/20,3194,35754,116997
2014/03/21,3197,35711,116936
2014/03/22,3191,35603,116817
2014/03/23,3192,35413,116117
2014/03/24,3203,35305,115802
2014/03/25,3198,35578,116513
2014/03/26,3189,35766,116964
2014/03/27,3181,35824,116901
2014/03/28,3179,35793,116837
2014/03/29,3175,35671,116479
2014/03/30,3164,35514,115755
2014/03/31,3159,35405,115575
2014/04/01,3158,35534,116337
2014/04/02,3174,35583,116643
2014/04/03,3165,35616,116782
2014/04/04,3170,35516,116675
2014/04/05,3172,35472,116475
2014/04/06,3173,35305,115692
2014/04/07,3174,35157,115432
2014/04/08,3165,35355,116281
2014/04/09,3154,35457,116867
2014/04/10,3144,35424,116944
2014/04/11,3155,35442,116985
2014/04/12,3135,35360,116746
2014/04/13,3125,35097,116118
2014/04/14,3115,34926,115714
2014/04/15,3113,35063,116457
2014/04/16,3098,35227,116978
2014/04/17,3093,35191,116964
2014/04/18,3102,35039,116692
2014/04/19,3101,34883,116352
2014/04/20,3100,34721,115701
2014/04/21,3084,34575,115299
2014/04/22,3081,34745,115919
