date,barwiki (100+),barwiki (5+),barwiki (all)
2013/02/22,8,31,86
2013/02/23,8,31,82
2013/02/24,8,30,84
2013/02/25,8,30,82
2013/02/26,8,29,84
2013/02/27,8,29,82
2013/02/28,8,30,79
2013/03/01,8,30,79
2013/03/02,8,30,78
2013/03/03,8,30,77
2013/03/04,8,29,76
2013/03/05,8,28,76
2013/03/06,8,28,76
2013/03/07,9,29,77
2013/03/08,9,28,77
2013/03/09,9,30,79
2013/03/10,9,31,79
2013/03/11,9,31,78
2013/03/12,9,31,78
2013/03/13,9,32,79
2013/03/14,9,31,78
2013/03/15,9,30,77
2013/03/16,9,30,78
2013/03/17,9,29,80
2013/03/18,8,29,78
2013/03/19,8,27,79
2013/03/20,8,26,76
2013/03/21,8,26,78
2013/03/22,8,26,74
2013/03/23,8,27,73
2013/03/24,8,27,72
2013/03/25,8,28,76
2013/03/26,8,28,74
2013/03/27,8,27,72
2013/03/28,7,29,72
2013/03/29,6,30,75
2013/03/30,5,30,76
2013/03/31,5,30,79
2013/04/01,4,30,81
2013/04/02,4,29,81
2013/04/03,4,29,82
2013/04/04,4,26,84
2013/04/05,4,25,83
2013/04/06,4,24,78
2013/04/07,4,24,74
2013/04/08,4,25,76
2013/04/09,4,24,76
2013/04/10,4,25,76
2013/04/11,4,27,76
2013/04/12,4,26,77
2013/04/13,4,27,77
2013/04/14,4,27,75
2013/04/15,4,26,76
2013/04/16,4,26,77
2013/04/17,4,26,76
2013/04/18,4,26,75
2013/04/19,4,26,75
2013/04/20,5,27,73
2013/04/21,4,27,70
2013/04/22,5,28,71
2013/04/23,5,27,72
2013/04/24,5,26,70
2013/04/25,5,26,69
2013/04/26,4,26,68
2013/04/27,4,26,69
2013/04/28,4,27,69
2013/04/29,4,28,69
2013/04/30,4,27,66
2013/05/01,4,26,64
2013/05/02,5,26,64
2013/05/03,4,25,64
2013/05/04,4,25,64
2013/05/05,4,27,62
2013/05/06,4,27,63
2013/05/07,4,26,64
2013/05/08,3,25,62
2013/05/09,3,24,60
2013/05/10,3,23,61
2013/05/11,3,24,59
2013/05/12,3,24,59
2013/05/13,3,25,59
2013/05/14,3,24,61
2013/05/15,3,23,61
2013/05/16,3,22,57
2013/05/17,3,22,55
2013/05/18,3,21,54
2013/05/19,3,21,56
2013/05/20,3,20,56
2013/05/21,3,20,56
2013/05/22,3,20,55
2013/05/23,3,20,55
2013/05/24,3,20,55
2013/05/25,3,20,53
2013/05/26,3,20,54
2013/05/27,3,20,55
2013/05/28,3,20,54
2013/05/29,3,20,53
2013/05/30,3,20,54
2013/05/31,2,20,53
2013/06/01,1,19,55
2013/06/02,1,19,54
2013/06/03,1,18,53
2013/06/04,1,18,54
2013/06/05,1,18,54
2013/06/06,2,18,53
2013/06/07,2,18,54
2013/06/08,2,17,53
2013/06/09,2,16,54
2013/06/10,2,16,53
2013/06/11,2,16,53
2013/06/12,2,16,53
2013/06/13,2,17,54
2013/06/14,2,17,56
2013/06/15,3,17,55
2013/06/16,3,17,58
2013/06/17,3,16,60
2013/06/18,4,16,63
2013/06/19,5,16,64
2013/06/20,5,17,64
2013/06/21,5,18,64
2013/06/22,4,17,65
2013/06/23,4,17,66
2013/06/24,4,17,68
2013/06/25,4,17,68
2013/06/26,4,17,66
2013/06/27,4,17,68
2013/06/28,4,17,68
2013/06/29,4,17,65
2013/06/30,4,17,66
2013/07/01,4,17,66
2013/07/02,4,17,66
2013/07/03,5,17,64
2013/07/04,5,18,63
2013/07/05,5,17,63
2013/07/06,5,17,63
2013/07/07,5,16,62
2013/07/08,5,16,63
2013/07/09,5,17,63
2013/07/10,5,17,65
2013/07/11,5,18,66
2013/07/12,5,18,67
2013/07/13,5,18,67
2013/07/14,4,18,70
2013/07/15,4,18,71
2013/07/16,3,18,68
2013/07/17,3,18,68
2013/07/18,2,17,65
2013/07/19,3,17,66
2013/07/20,3,19,66
2013/07/21,3,19,65
2013/07/22,2,20,64
2013/07/23,2,20,63
2013/07/24,2,20,63
2013/07/25,2,20,64
2013/07/26,2,20,64
2013/07/27,3,21,63
2013/07/28,3,21,62
2013/07/29,2,20,63
2013/07/30,3,20,60
2013/07/31,3,20,59
2013/08/01,3,20,58
2013/08/02,3,21,56
2013/08/03,3,21,54
2013/08/04,2,20,52
2013/08/05,2,20,51
2013/08/06,2,21,51
2013/08/07,2,22,51
2013/08/08,2,22,49
2013/08/09,3,21,51
2013/08/10,3,23,50
2013/08/11,2,24,47
2013/08/12,2,24,45
2013/08/13,2,23,42
2013/08/14,2,23,45
2013/08/15,2,23,46
2013/08/16,2,22,47
2013/08/17,2,22,47
2013/08/18,2,22,45
2013/08/19,2,20,45
2013/08/20,2,21,46
2013/08/21,2,21,47
2013/08/22,2,21,47
2013/08/23,3,21,48
2013/08/24,4,20,47
2013/08/25,3,19,48
2013/08/26,3,17,47
2013/08/27,4,17,49
2013/08/28,4,17,50
2013/08/29,4,18,53
2013/08/30,4,17,52
2013/08/31,4,17,53
2013/09/01,4,18,55
2013/09/02,4,18,56
2013/09/03,4,19,57
2013/09/04,4,20,56
2013/09/05,4,21,57
2013/09/06,4,22,58
2013/09/07,5,20,58
2013/09/08,4,19,55
2013/09/09,4,19,54
2013/09/10,4,20,52
2013/09/11,4,22,52
2013/09/12,4,22,51
2013/09/13,4,21,50
2013/09/14,4,20,47
2013/09/15,4,20,47
2013/09/16,4,21,46
2013/09/17,4,22,45
2013/09/18,4,22,46
2013/09/19,4,21,44
2013/09/20,3,18,42
2013/09/21,3,18,43
2013/09/22,3,19,43
2013/09/23,3,19,42
2013/09/24,2,19,43
2013/09/25,2,20,44
2013/09/26,2,18,42
2013/09/27,2,18,41
2013/09/28,2,18,41
2013/09/29,2,18,43
2013/09/30,2,18,44
2013/10/01,2,18,43
2013/10/02,3,18,43
2013/10/03,3,19,44
2013/10/04,3,20,46
2013/10/05,3,20,47
2013/10/06,3,19,48
2013/10/07,3,20,49
2013/10/08,3,19,49
2013/10/09,4,20,48
2013/10/10,3,20,50
2013/10/11,3,20,54
2013/10/12,4,20,56
2013/10/13,4,21,57
2013/10/14,4,22,57
2013/10/15,3,21,58
2013/10/16,4,21,58
2013/10/17,4,21,58
2013/10/18,4,22,58
2013/10/19,4,22,61
2013/10/20,4,23,61
2013/10/21,4,23,60
2013/10/22,4,24,62
2013/10/23,4,24,61
2013/10/24,4,25,61
2013/10/25,4,25,59
2013/10/26,4,25,59
2013/10/27,4,25,59
2013/10/28,4,26,61
2013/10/29,4,26,61
2013/10/30,5,26,60
2013/10/31,5,24,60
2013/11/01,4,24,59
2013/11/02,4,25,59
2013/11/03,4,24,57
2013/11/04,4,23,57
2013/11/05,4,23,56
2013/11/06,4,23,57
2013/11/07,4,24,58
2013/11/08,4,23,60
2013/11/09,4,23,60
2013/11/10,4,23,59
2013/11/11,4,24,60
2013/11/12,4,23,58
2013/11/13,4,22,60
2013/11/14,4,22,62
2013/11/15,4,22,62
2013/11/16,4,22,62
2013/11/17,4,22,65
2013/11/18,4,22,66
2013/11/19,5,22,66
2013/11/20,5,22,68
2013/11/21,5,20,65
2013/11/22,5,21,66
2013/11/23,5,22,65
2013/11/24,5,22,65
2013/11/25,5,22,65
2013/11/26,5,22,65
2013/11/27,5,21,63
2013/11/28,5,21,62
2013/11/29,5,20,61
2013/11/30,4,20,62
2013/12/01,4,21,66
2013/12/02,4,20,66
2013/12/03,4,20,67
2013/12/04,5,20,68
2013/12/05,5,20,67
2013/12/06,4,20,65
2013/12/07,4,20,62
2013/12/08,4,19,62
2013/12/09,4,19,65
2013/12/10,5,19,65
2013/12/11,5,20,63
2013/12/12,5,19,66
2013/12/13,5,19,64
2013/12/14,5,19,62
2013/12/15,5,19,62
2013/12/16,5,19,62
2013/12/17,5,19,61
2013/12/18,6,19,59
2013/12/19,6,18,61
2013/12/20,6,18,60
2013/12/21,6,18,59
2013/12/22,6,18,59
2013/12/23,5,18,59
2013/12/24,6,19,62
2013/12/25,5,20,60
2013/12/26,5,20,62
2013/12/27,5,20,65
2013/12/28,4,20,65
2013/12/29,4,19,64
2013/12/30,5,20,65
2013/12/31,5,20,63
2014/01/01,5,20,61
2014/01/02,5,20,60
2014/01/03,5,21,61
2014/01/04,5,21,60
2014/01/05,4,22,62
2014/01/06,4,23,65
2014/01/07,4,24,64
2014/01/08,5,22,59
2014/01/09,5,22,58
2014/01/10,5,22,60
2014/01/11,5,24,57
2014/01/12,5,23,56
2014/01/13,5,23,57
2014/01/14,5,23,60
2014/01/15,5,23,60
2014/01/16,5,23,59
2014/01/17,5,20,58
2014/01/18,4,22,56
2014/01/19,4,22,55
2014/01/20,4,22,55
2014/01/21,5,22,55
2014/01/22,5,22,55
2014/01/23,5,23,55
2014/01/24,5,23,57
2014/01/25,5,23,58
2014/01/26,5,23,55
2014/01/27,5,23,56
2014/01/28,5,23,55
2014/01/29,5,22,55
2014/01/30,5,22,57
2014/01/31,5,24,58
2014/02/01,5,24,57
2014/02/02,6,23,57
2014/02/03,6,23,58
2014/02/04,6,23,60
2014/02/05,6,23,61
2014/02/06,6,24,63
2014/02/07,6,24,63
2014/02/08,5,25,65
2014/02/09,6,23,63
2014/02/10,6,23,64
2014/02/11,6,23,64
2014/02/12,6,24,64
2014/02/13,6,24,64
2014/02/14,6,24,64
2014/02/15,6,24,64
2014/02/16,6,24,65
2014/02/17,6,23,64
2014/02/18,5,22,64
2014/02/19,5,22,64
2014/02/20,5,22,67
2014/02/21,5,22,66
2014/02/22,5,22,64
2014/02/23,5,22,66
2014/02/24,5,20,65
2014/02/25,5,20,65
2014/02/26,5,18,62
2014/02/27,5,18,62
2014/02/28,5,17,60
2014/03/01,6,16,57
2014/03/02,5,15,58
2014/03/03,5,15,56
2014/03/04,5,15,54
2014/03/05,5,15,54
2014/03/06,5,15,52
2014/03/07,6,15,51
2014/03/08,6,15,51
2014/03/09,5,15,52
2014/03/10,5,14,51
2014/03/11,5,14,50
2014/03/12,5,14,50
2014/03/13,5,14,52
2014/03/14,5,17,54
2014/03/15,5,17,57
2014/03/16,5,17,57
2014/03/17,5,16,57
2014/03/18,5,16,51
2014/03/19,5,16,49
2014/03/20,5,16,48
2014/03/21,5,16,49
2014/03/22,5,16,46
2014/03/23,5,16,47
2014/03/24,5,16,48
2014/03/25,5,15,46
2014/03/26,5,15,51
2014/03/27,5,14,50
2014/03/28,5,14,48
2014/03/29,4,14,49
2014/03/30,4,14,50
2014/03/31,4,14,51
2014/04/01,4,15,50
2014/04/02,4,14,53
2014/04/03,4,14,54
2014/04/04,4,14,54
2014/04/05,4,15,54
2014/04/06,4,15,54
2014/04/07,4,13,54
2014/04/08,4,13,57
2014/04/09,4,15,58
2014/04/10,4,16,60
2014/04/11,4,17,59
2014/04/12,4,17,59
2014/04/13,4,16,57
2014/04/14,4,16,54
2014/04/15,4,16,55
2014/04/16,4,16,56
2014/04/17,4,17,56
2014/04/18,4,17,56
2014/04/19,4,17,55
2014/04/20,5,17,55
2014/04/21,5,17,55
2014/04/22,5,17,54
2014/04/23,5,17,52
2014/04/24,5,18,51
2014/04/25,3,18,48
2014/04/26,3,18,47
2014/04/27,3,18,48
2014/04/28,3,18,48
2014/04/29,3,18,50
2014/04/30,3,18,51
2014/05/01,3,18,50
2014/05/02,3,19,48
2014/05/03,3,19,48
2014/05/04,3,19,48
2014/05/05,3,19,49
2014/05/06,3,18,48
2014/05/07,3,18,47
2014/05/08,3,17,46
2014/05/09,3,17,44
2014/05/10,3,14,44
2014/05/11,3,15,46
2014/05/12,3,16,44
2014/05/13,3,16,47
2014/05/14,3,17,48
2014/05/15,3,17,46
2014/05/16,3,18,47
2014/05/17,3,18,49
2014/05/18,3,17,49
2014/05/19,4,17,49
2014/05/20,3,16,49
2014/05/21,3,16,52
2014/05/22,3,16,53
2014/05/23,3,16,52
2014/05/24,3,18,53
2014/05/25,3,18,51
2014/05/26,3,18,52
2014/05/27,3,18,53
2014/05/28,4,18,54
2014/05/29,4,18,54
2014/05/30,4,18,54
2014/05/31,4,18,54
2014/06/01,4,17,56
2014/06/02,4,17,56
2014/06/03,4,17,55
2014/06/04,5,17,54
2014/06/05,5,16,54
2014/06/06,5,16,53
2014/06/07,5,16,54
2014/06/08,5,16,56
2014/06/09,5,16,55
2014/06/10,5,16,55
2014/06/11,5,16,57
2014/06/12,5,15,55
2014/06/13,5,15,54
2014/06/14,5,15,54
2014/06/15,5,13,52
2014/06/16,5,13,53
2014/06/17,4,13,55
2014/06/18,4,13,53
2014/06/19,4,14,50
2014/06/20,4,14,46
2014/06/21,4,12,46
2014/06/22,4,12,48
2014/06/23,4,12,47
2014/06/24,4,12,49
2014/06/25,4,12,50
2014/06/26,4,12,50
2014/06/27,4,13,51
2014/06/28,4,13,51
2014/06/29,4,13,51
2014/06/30,3,13,56
2014/07/01,3,13,54
2014/07/02,3,13,53
2014/07/03,3,13,54
2014/07/04,3,13,54
2014/07/05,3,12,54
2014/07/06,3,12,54
2014/07/07,3,11,53
2014/07/08,3,11,53
2014/07/09,3,13,56
2014/07/10,3,14,52
2014/07/11,3,14,53
2014/07/12,3,14,54
2014/07/13,3,14,54
2014/07/14,3,15,54
2014/07/15,3,15,55
2014/07/16,3,15,54
2014/07/17,4,15,51
2014/07/18,4,15,52
2014/07/19,4,15,52
2014/07/20,4,15,52
2014/07/21,4,15,54
2014/07/22,4,17,55
2014/07/23,4,17,56
2014/07/24,5,17,55
2014/07/25,4,17,55
2014/07/26,4,18,55
2014/07/27,4,18,56
2014/07/28,4,17,58
2014/07/29,4,17,57
2014/07/30,4,18,56
2014/07/31,4,20,57
2014/08/01,4,20,58
2014/08/02,4,20,58
2014/08/03,4,19,59
2014/08/04,4,21,59
2014/08/05,3,20,59
2014/08/06,3,20,61
2014/08/07,3,21,62
2014/08/08,4,21,63
2014/08/09,3,21,65
2014/08/10,3,21,64
2014/08/11,4,21,62
2014/08/12,4,21,63
2014/08/13,4,21,67
2014/08/14,4,21,71
2014/08/15,4,20,71
2014/08/16,5,20,72
2014/08/17,5,21,73
2014/08/18,5,22,74
2014/08/19,5,23,74
2014/08/20,5,23,69
2014/08/21,5,23,68
2014/08/22,5,23,66
2014/08/23,4,22,66
2014/08/24,4,23,65
2014/08/25,4,22,69
2014/08/26,4,24,68
2014/08/27,4,25,65
2014/08/28,4,24,65
2014/08/29,4,24,65
2014/08/30,4,23,65
2014/08/31,4,22,65
2014/09/01,4,22,64
2014/09/02,4,23,65
2014/09/03,4,23,65
2014/09/04,4,23,65
2014/09/05,4,22,64
2014/09/06,4,22,63
2014/09/07,4,22,61
2014/09/08,4,21,62
2014/09/09,4,22,61
2014/09/10,4,22,62
2014/09/11,3,22,65
2014/09/12,3,22,62
2014/09/13,3,22,58
2014/09/14,3,23,59
2014/09/15,3,22,57
2014/09/16,3,21,57
2014/09/17,3,21,58
2014/09/18,3,20,57
2014/09/19,3,20,58
2014/09/20,2,19,57
2014/09/21,2,19,57
2014/09/22,2,19,57
2014/09/23,2,18,57
2014/09/24,2,18,57
2014/09/25,2,18,58
2014/09/26,2,17,58
2014/09/27,2,16,58
2014/09/28,2,17,57
2014/09/29,2,15,57
2014/09/30,2,16,58
2014/10/01,2,15,62
2014/10/02,2,13,61
2014/10/03,2,12,63
2014/10/04,2,12,62
2014/10/05,2,12,63
2014/10/06,2,11,64
2014/10/07,2,12,64
2014/10/08,2,12,62
2014/10/09,2,12,64
2014/10/10,2,12,63
2014/10/11,2,14,63
2014/10/12,2,14,62
2014/10/13,2,12,63
2014/10/14,2,12,63
2014/10/15,3,13,64
2014/10/16,3,13,62
2014/10/17,3,13,63
2014/10/18,3,14,63
2014/10/19,3,15,62
2014/10/20,3,16,63
2014/10/21,3,15,65
2014/10/22,3,14,64
2014/10/23,3,14,65
2014/10/24,3,12,64
2014/10/25,3,12,64
2014/10/26,3,15,63
2014/10/27,3,15,64
2014/10/28,3,15,64
2014/10/29,3,15,63
2014/10/30,3,15,61
2014/10/31,3,15,59
2014/11/01,3,15,59
2014/11/02,3,15,57
2014/11/03,3,15,54
2014/11/04,3,15,54
2014/11/05,3,15,53
2014/11/06,3,15,52
2014/11/07,3,15,52
2014/11/08,3,15,52
2014/11/09,3,15,52
2014/11/10,3,15,50
2014/11/11,3,15,51
2014/11/12,3,15,50
2014/11/13,3,13,50
2014/11/14,2,12,50
2014/11/15,2,12,51
2014/11/16,2,15,50
2014/11/17,2,17,50
2014/11/18,2,17,50
2014/11/19,2,17,49
2014/11/20,3,18,50
2014/11/21,5,21,53
2014/11/22,7,22,54
2014/11/23,7,22,54
2014/11/24,7,22,55
2014/11/25,7,20,55
2014/11/26,7,20,56
2014/11/27,7,20,54
2014/11/28,7,21,54
2014/11/29,7,20,55
2014/11/30,7,20,55
2014/12/01,7,20,53
2014/12/02,7,20,54
2014/12/03,7,20,54
2014/12/04,7,20,53
2014/12/05,7,20,51
2014/12/06,7,20,51
2014/12/07,7,21,54
2014/12/08,7,21,52
2014/12/09,7,22,52
2014/12/10,7,22,51
2014/12/11,7,22,50
2014/12/12,7,22,50
2014/12/13,7,22,53
2014/12/14,7,22,53
2014/12/15,7,22,53
2014/12/16,7,19,53
2014/12/17,7,19,55
2014/12/18,7,18,53
2014/12/19,7,18,53
2014/12/20,6,17,51
2014/12/21,3,15,48
2014/12/22,2,13,47
2014/12/23,2,13,47
2014/12/24,2,13,47
2014/12/25,2,14,47
2014/12/26,2,14,44
2014/12/27,2,14,44
2014/12/28,2,13,47
2014/12/29,3,11,50
2014/12/30,3,11,50
2014/12/31,3,11,50
2015/01/01,3,12,49
2015/01/02,3,12,50
2015/01/03,3,13,50
2015/01/04,3,13,52
2015/01/05,3,13,52
2015/01/06,3,13,51
2015/01/07,3,14,51
2015/01/08,3,12,50
2015/01/09,3,12,51
2015/01/10,3,12,51
2015/01/11,3,12,53
2015/01/12,3,12,50
2015/01/13,3,12,50
2015/01/14,3,12,52
2015/01/15,3,12,54
2015/01/16,3,12,52
2015/01/17,3,12,53
2015/01/18,3,13,51
2015/01/19,3,13,54
2015/01/20,3,13,56
2015/01/21,3,13,54
2015/01/22,3,12,54
2015/01/23,3,14,54
2015/01/24,3,13,53
2015/01/25,3,13,52
2015/01/26,3,13,54
2015/01/27,3,13,49
2015/01/28,3,12,48
2015/01/29,3,12,48
2015/01/30,3,12,48
2015/01/31,3,12,48
2015/02/01,3,13,49
2015/02/02,3,12,48
2015/02/03,3,13,48
2015/02/04,3,13,48
2015/02/05,3,13,47
2015/02/06,3,13,48
2015/02/07,3,14,50
2015/02/08,3,14,49
2015/02/09,3,14,49
2015/02/10,3,14,46
2015/02/11,3,15,47
2015/02/12,3,15,47
2015/02/13,3,15,47
2015/02/14,3,15,46
2015/02/15,3,15,47
2015/02/16,3,15,49
2015/02/17,3,14,48
2015/02/18,3,15,47
2015/02/19,3,15,48
2015/02/20,3,15,47
2015/02/21,3,16,52
2015/02/22,3,14,55
2015/02/23,3,14,56
2015/02/24,3,15,58
2015/02/25,4,15,57
2015/02/26,4,14,58
2015/02/27,4,14,60
2015/02/28,4,15,60
2015/03/01,4,15,62
2015/03/02,4,16,66
2015/03/03,4,15,65
2015/03/04,4,15,66
2015/03/05,4,15,68
2015/03/06,4,15,69
2015/03/07,4,15,68
2015/03/08,3,15,69
2015/03/09,4,14,69
2015/03/10,4,14,70
2015/03/11,4,14,70
2015/03/12,4,14,71
2015/03/13,4,14,70
2015/03/14,4,14,73
2015/03/15,4,15,72
2015/03/16,3,15,72
2015/03/17,3,15,71
2015/03/18,3,16,70
2015/03/19,3,16,71
2015/03/20,3,15,70
2015/03/21,4,15,68
2015/03/22,4,16,70
2015/03/23,3,15,67
2015/03/24,3,16,66
2015/03/25,3,16,64
2015/03/26,3,16,62
2015/03/27,3,16,61
2015/03/28,3,16,60
2015/03/29,3,16,60
2015/03/30,3,16,60
2015/03/31,3,16,59
2015/04/01,2,16,56
2015/04/02,2,16,59
2015/04/03,2,16,58
2015/04/04,2,16,55
2015/04/05,2,15,56
2015/04/06,2,15,56
2015/04/07,2,15,55
2015/04/08,2,14,54
2015/04/09,2,14,54
2015/04/10,2,14,52
2015/04/11,2,14,51
2015/04/12,2,14,51
2015/04/13,2,14,49
2015/04/14,2,14,49
2015/04/15,2,14,49
2015/04/16,2,14,50
2015/04/17,2,13,50
2015/04/18,2,12,51
2015/04/19,2,12,52
2015/04/20,2,12,52
2015/04/21,2,12,50
2015/04/22,2,11,47
2015/04/23,2,11,46
2015/04/24,2,11,46
2015/04/25,2,11,46
2015/04/26,2,11,46
2015/04/27,2,11,47
2015/04/28,2,11,47
2015/04/29,2,11,47
2015/04/30,2,12,47
2015/05/01,2,12,46
2015/05/02,2,12,45
2015/05/03,2,12,46
2015/05/04,2,12,43
2015/05/05,2,12,42
2015/05/06,3,13,45
2015/05/07,3,13,45
2015/05/08,3,11,48
2015/05/09,3,11,48
2015/05/10,3,12,49
2015/05/11,3,12,50
2015/05/12,4,13,52
2015/05/13,4,13,54
2015/05/14,4,13,55
2015/05/15,4,15,57
2015/05/16,4,15,56
2015/05/17,4,15,57
2015/05/18,4,15,56
2015/05/19,5,15,56
2015/05/20,5,15,55
2015/05/21,5,15,54
2015/05/22,5,16,53
2015/05/23,5,16,52
2015/05/24,5,16,54
2015/05/25,5,16,54
2015/05/26,5,16,55
2015/05/27,5,17,55
2015/05/28,5,17,53
2015/05/29,5,17,52
2015/05/30,5,17,52
2015/05/31,5,16,52
2015/06/01,5,17,52
2015/06/02,5,16,51
2015/06/03,5,16,49
2015/06/04,5,16,51
2015/06/05,4,16,48
2015/06/06,4,16,47
2015/06/07,4,16,46
2015/06/08,4,16,47
2015/06/09,4,17,46
2015/06/10,4,18,48
2015/06/11,3,17,48
2015/06/12,3,18,47
2015/06/13,3,17,44
2015/06/14,3,16,44
2015/06/15,3,16,44
2015/06/16,3,16,45
2015/06/17,3,16,47
2015/06/18,3,16,46
2015/06/19,2,16,47
2015/06/20,3,15,46
2015/06/21,3,16,48
2015/06/22,2,16,49
2015/06/23,2,17,48
2015/06/24,3,16,49
2015/06/25,3,16,50
2015/06/26,3,15,49
2015/06/27,3,15,51
2015/06/28,3,15,51
2015/06/29,3,16,51
2015/06/30,3,16,53
2015/07/01,3,15,57
2015/07/02,3,16,60
2015/07/03,3,15,60
2015/07/04,3,16,58
2015/07/05,3,16,57
2015/07/06,4,16,58
2015/07/07,4,16,60
2015/07/08,4,17,59
2015/07/09,4,18,61
2015/07/10,3,17,57
2015/07/11,3,17,56
2015/07/12,3,17,57
2015/07/13,3,17,57
2015/07/14,3,17,55
2015/07/15,3,17,58
2015/07/16,3,17,56
2015/07/17,3,17,55
2015/07/18,3,18,57
2015/07/19,3,17,56
2015/07/20,3,17,57
2015/07/21,3,16,56
2015/07/22,3,16,56
2015/07/23,3,17,57
2015/07/24,3,17,56
2015/07/25,3,18,56
2015/07/26,3,18,56
