date,csbwiki (100+),csbwiki (5+),csbwiki (all)
2015/10/26,,1,8
2015/10/27,,1,9
2015/10/28,,1,9
2015/10/29,,1,9
2015/10/30,,1,9
2015/10/31,,1,9
2015/11/01,,1,9
2015/11/02,,1,7
2015/11/03,,1,7
2015/11/04,,1,7
2015/11/05,,1,7
2015/11/06,,1,7
2015/11/07,,1,7
2015/11/08,,1,6
2015/11/09,,1,6
2015/11/10,,3,8
2015/11/11,,3,9
2015/11/12,,3,9
2015/11/13,,3,9
2015/11/14,,3,8
2015/11/15,,3,8
2015/11/16,,3,8
2015/11/17,,3,8
2015/11/18,,3,9
2015/11/19,,3,9
2015/11/20,,3,10
2015/11/21,,3,9
2015/11/22,,3,10
2015/11/23,,3,9
2015/11/24,,3,9
2015/11/25,,3,9
2015/11/26,,3,9
2015/11/27,,3,9
2015/11/28,,3,9
2015/11/29,,3,9
2015/11/30,,3,9
2015/12/01,,3,9
2015/12/02,,3,9
2015/12/03,,3,9
2015/12/04,,3,9
2015/12/05,,3,9
2015/12/06,,3,11
2015/12/07,,3,12
2015/12/08,,4,12
2015/12/09,,4,12
2015/12/10,,2,11
2015/12/11,,2,10
2015/12/12,,2,9
2015/12/13,,2,9
2015/12/14,,2,9
2015/12/15,,2,9
2015/12/16,,2,10
2015/12/17,,2,10
2016/01/18,1,3,15
2016/01/19,1,3,15
2016/01/20,1,3,15
2016/01/21,1,3,16
2016/01/22,1,3,16
2016/01/23,1,3,16
2016/01/24,1,3,16
2016/01/25,1,4,17
2016/01/26,1,4,16
2016/01/27,1,4,17
2016/01/28,1,5,18
2016/01/29,1,6,20
2016/01/30,1,6,21
2016/01/31,1,13,30
2016/02/01,2,13,29
2016/02/02,2,14,29
2016/02/03,1,14,29
2016/02/04,1,14,29
2016/02/05,1,14,29
2016/02/06,1,14,30
2016/02/07,1,14,29
2016/02/08,1,14,29
2016/02/09,1,14,30
2016/02/10,1,14,31
2016/02/11,1,14,31
2016/02/12,1,13,30
2016/02/13,1,13,30
2016/02/14,1,13,30
2016/02/15,1,13,30
2016/02/16,1,13,27
2016/02/17,1,13,26
2016/02/18,1,13,26
2016/02/19,1,13,26
2016/02/20,1,13,25
2016/02/21,1,13,24
2016/02/22,1,13,23
2016/02/23,1,13,23
2016/02/24,1,13,22
2016/02/25,1,13,22
2016/02/26,1,13,22
2016/02/27,1,13,22
2016/02/28,1,12,20
2016/02/29,1,12,20
2016/03/01,1,6,12
2016/03/02,,6,11
2016/03/03,,6,11
2016/03/04,,5,11
2016/03/05,,4,11
2016/03/06,,2,10
2016/03/07,,1,8
2016/03/08,,1,9
2016/03/09,,1,8
2016/03/10,,1,6
2016/03/11,,1,5
2016/03/12,,1,6
2016/03/13,,1,8
2016/03/14,,1,10
2016/03/15,,1,10
2016/03/16,,1,10
2016/03/17,,1,10
2016/03/18,,1,11
2016/03/19,,2,11
2016/03/20,,2,11
2016/03/21,,3,13
2016/03/22,,3,14
2016/03/23,,3,15
2016/03/24,,3,16
2016/03/25,,3,17
2016/03/26,,3,17
2016/03/27,,3,16
2016/03/28,,3,17
2016/03/29,,4,17
2016/03/30,,4,17
2016/03/31,,4,17
2016/04/01,,5,19
2016/04/02,,5,19
2016/04/03,,5,19
2016/04/04,,5,19
2016/04/05,,5,19
2016/04/06,1,5,18
2016/04/07,1,5,17
2016/04/08,1,5,18
2016/04/09,1,6,18
2016/04/10,1,6,18
2016/04/11,1,5,18
2016/04/12,1,5,17
2016/04/13,1,5,15
2016/04/14,1,5,15
2016/04/15,1,5,15
2016/04/16,1,5,16
2016/04/17,1,4,16
2016/04/18,1,4,16
2016/04/19,1,4,16
2016/04/20,1,3,14
2016/04/21,1,3,14
2016/04/22,1,4,15
2016/04/23,1,4,15
2016/04/24,1,5,16
2016/04/25,1,5,16
2016/04/26,1,5,17
2016/04/27,1,5,17
2016/04/28,1,5,19
2016/04/29,1,6,19
2016/04/30,1,7,19
2016/05/01,1,5,17
2016/05/02,1,5,17
2016/05/03,1,5,17
2016/05/04,1,6,18
2016/05/05,1,6,19
2016/05/06,1,6,20
2016/05/07,1,6,20
2016/05/08,1,5,20
2016/05/09,1,4,20
2016/05/10,1,4,20
2016/05/11,1,5,20
2016/05/12,1,5,20
2016/05/13,1,5,21
2016/05/14,1,5,21
2016/05/15,1,5,21
2016/05/16,1,5,19
2016/05/17,1,5,20
2016/05/18,1,5,20
2016/05/19,1,4,21
2016/05/20,1,5,22
2016/05/21,1,5,21
2016/05/22,1,4,19
2016/05/23,1,4,18
2016/05/24,1,3,16
2016/05/25,1,3,16
2016/05/26,1,3,15
2016/05/27,1,3,16
2016/05/28,1,3,15
2016/05/29,1,2,14
2016/05/30,1,2,13
2016/05/31,1,2,14
2016/06/01,1,3,14
2016/06/02,1,3,14
2016/06/03,1,1,13
2016/06/04,1,1,13
2016/06/05,1,1,12
2016/06/06,1,1,12
2016/06/07,1,1,13
2016/06/08,1,1,13
2016/06/09,1,2,13
2016/06/10,1,2,13
2016/06/11,1,3,13
2016/06/12,1,3,13
2016/06/13,1,3,13
2016/06/14,1,3,13
2016/06/15,,3,13
2016/06/16,,3,12
2016/06/17,,3,12
2016/06/18,,3,11
2016/06/19,,2,10
2016/06/20,,2,10
2016/06/21,,2,11
2016/06/22,,2,11
2016/06/23,,2,10
2016/06/24,,2,10
2016/06/25,,2,10
2016/06/26,,2,9
2016/06/27,,2,9
2016/06/28,,2,9
2016/06/29,,1,9
2016/06/30,,1,8
2016/07/01,,1,7
2016/07/02,,1,7
2016/07/03,,1,7
2016/07/04,,1,7
2016/07/05,,1,7
2016/07/06,,1,7
2016/07/07,,1,5
2016/07/08,,1,5
2016/07/09,,1,5
2016/07/10,,1,5
2016/07/11,,,5
2016/07/12,,,5
2016/07/13,,,6
2016/07/14,,,7
2016/07/15,,,7
2016/07/16,,,7
2016/07/17,,,7
2016/07/18,,,7
2016/07/19,,,7
2016/07/20,,,7
2016/07/21,,,6
2016/07/22,,,6
2016/07/23,,,6
2016/07/24,,,6
2016/07/25,,,6
2016/07/26,,,6
2016/07/27,,,6
2016/07/28,,,6
2016/07/29,,,6
2016/07/30,,,7
2016/07/31,,,7
2016/08/01,,,7
2016/08/02,,1,7
2016/08/03,,,8
2016/08/04,,,8
2016/08/05,,1,7
2016/08/06,,1,8
2016/08/07,,1,8
2016/08/08,,1,8
2016/08/09,,1,8
2016/08/10,,1,8
2016/08/11,,1,8
2016/08/12,,1,8
2016/08/13,,1,7
2016/08/14,,1,6
2016/08/15,,1,7
2016/08/16,,1,7
2016/08/17,,1,7
2016/08/18,,1,7
2016/08/19,,1,7
2016/08/20,,1,7
2016/08/21,,1,7
2016/08/22,,1,7
2016/08/23,,1,9
2016/08/24,,1,9
2016/08/25,,,10
2016/08/26,,,11
2016/08/27,,,11
2016/08/28,,,11
2016/08/29,,,10
2016/08/30,,,10
2016/08/31,,,10
2016/09/01,,,11
2016/09/02,,,10
2016/09/03,,,11
2016/09/04,,,11
2016/09/05,,,10
2016/09/06,,,10
2016/09/07,,,9
2016/09/08,,,9
2016/09/09,,,9
2016/09/10,,,9
2016/09/11,,,9
2016/09/12,,,9
2016/09/13,,1,10
2016/09/14,,1,9
2016/09/15,,1,8
2016/09/16,,1,8
2016/09/17,,1,8
2016/09/18,,1,8
2016/09/19,,1,8
2016/09/20,,1,8
2016/09/21,,2,8
2016/09/22,,2,6
2016/09/23,,2,6
2016/09/24,,3,6
2016/09/25,,3,6
2016/09/26,,3,6
2016/09/27,,3,6
2016/09/28,,3,7
2016/09/29,,3,7
2016/09/30,,3,9
2016/10/01,,3,8
2016/10/02,,3,8
2016/10/03,,3,7
2016/10/04,,3,7
2016/10/05,,4,8
2016/10/06,,4,10
2016/10/07,,4,10
2016/10/08,,4,10
2016/10/09,,4,10
2016/10/10,,4,11
2016/10/11,,4,11
2016/10/12,,4,11
2016/10/13,,3,12
2016/10/14,,3,13
2016/10/15,,3,12
2016/10/16,,3,12
2016/10/17,,3,12
2016/10/18,,3,12
2016/10/19,,3,13
2016/10/20,,3,14
2016/10/21,,2,13
2016/10/22,,2,13
2016/10/23,,2,13
2016/10/24,,2,12
2016/10/25,,2,12
2016/10/26,,1,12
2016/10/27,,1,12
2016/10/28,,1,12
2016/10/29,,1,11
2016/10/30,,1,9
2016/10/31,,1,9
2016/11/01,,1,11
2016/11/02,,1,11
2016/11/03,,1,11
2016/11/04,,,10
2016/11/05,,,9
2016/11/06,,,9
2016/11/07,,,9
2016/11/08,,,10
2016/11/09,,,9
2016/11/10,,,9
2016/11/11,,,9
2016/11/12,,,7
2016/11/13,,,7
2016/11/14,,,7
2016/11/15,,,7
2016/11/16,,,7
