date,dawiki (100+),dawiki (5+),dawiki (all)
2013/05/17,39,290,1035
2013/05/18,37,285,1037
2013/05/19,36,285,1030
2013/05/20,37,282,1028
2013/05/21,39,280,1044
2013/05/22,37,286,1054
2013/05/23,37,287,1054
2013/05/24,35,288,1054
2013/05/25,35,291,1052
2013/05/26,36,283,1051
2013/05/27,34,283,1056
2013/05/28,36,290,1072
2013/05/29,40,288,1085
2013/05/30,38,291,1080
2013/05/31,37,291,1073
2013/06/01,36,290,1057
2013/06/02,36,288,1049
2013/06/03,38,287,1052
2013/06/04,39,292,1050
2013/06/05,40,292,1036
2013/06/06,40,287,1034
2013/06/07,42,288,1037
2013/06/08,43,292,1038
2013/06/09,44,291,1033
2013/06/10,43,300,1035
2013/06/11,44,301,1052
2013/06/12,44,298,1044
2013/06/13,45,298,1038
2013/06/14,45,297,1042
2013/06/15,41,299,1036
2013/06/16,40,293,1035
2013/06/17,40,294,1043
2013/06/18,40,294,1057
2013/06/19,40,295,1062
2013/06/20,38,300,1067
2013/06/21,37,297,1071
2013/06/22,40,301,1068
2013/06/23,40,304,1064
2013/06/24,40,302,1061
2013/06/25,38,306,1067
2013/06/26,38,302,1063
2013/06/27,38,300,1053
2013/06/28,39,296,1041
2013/06/29,37,288,1025
2013/06/30,36,280,1026
2013/07/01,36,282,1025
2013/07/02,36,283,1028
2013/07/03,36,289,1028
2013/07/04,36,292,1027
2013/07/05,35,295,1028
2013/07/06,36,299,1022
2013/07/07,37,295,1013
2013/07/08,36,299,1004
2013/07/09,35,299,1016
2013/07/10,37,295,1006
2013/07/11,36,293,997
2013/07/12,34,296,990
2013/07/13,35,289,974
2013/07/14,36,292,963
2013/07/15,36,292,954
2013/07/16,36,295,944
2013/07/17,36,285,930
2013/07/18,36,286,915
2013/07/19,36,286,902
2013/07/20,37,279,890
2013/07/21,34,273,875
2013/07/22,35,272,868
2013/07/23,34,271,850
2013/07/24,34,265,855
2013/07/25,34,268,848
2013/07/26,36,262,837
2013/07/27,35,262,844
2013/07/28,34,265,844
2013/07/29,33,268,860
2013/07/30,33,270,860
2013/07/31,33,267,857
2013/08/01,32,272,860
2013/08/02,33,270,857
2013/08/03,33,264,858
2013/08/04,34,254,860
2013/08/05,35,246,872
2013/08/06,35,249,870
2013/08/07,34,248,869
2013/08/08,34,247,868
2013/08/09,32,246,879
2013/08/10,32,248,876
2013/08/11,34,252,879
2013/08/12,34,251,889
2013/08/13,35,253,894
2013/08/14,36,257,898
2013/08/15,37,258,907
2013/08/16,37,257,911
2013/08/17,37,255,917
2013/08/18,36,257,911
2013/08/19,37,260,914
2013/08/20,36,262,926
2013/08/21,36,267,936
2013/08/22,35,263,946
2013/08/23,36,264,950
2013/08/24,36,260,954
2013/08/25,36,258,961
2013/08/26,35,255,950
2013/08/27,32,260,948
2013/08/28,32,252,935
2013/08/29,32,252,949
2013/08/30,32,253,951
2013/08/31,33,254,946
2013/09/01,33,250,945
2013/09/02,34,256,946
2013/09/03,32,258,962
2013/09/04,34,261,967
2013/09/05,34,260,966
2013/09/06,32,262,981
2013/09/07,34,256,976
2013/09/08,35,255,963
2013/09/09,34,256,970
2013/09/10,30,253,971
2013/09/11,31,254,965
2013/09/12,32,256,976
2013/09/13,32,258,983
2013/09/14,32,258,974
2013/09/15,33,258,970
2013/09/16,36,257,973
2013/09/17,34,258,982
2013/09/18,34,253,984
2013/09/19,33,257,989
2013/09/20,34,254,985
2013/09/21,35,257,984
2013/09/22,35,252,982
2013/09/23,35,255,973
2013/09/24,35,253,982
2013/09/25,36,255,986
2013/09/26,36,260,988
2013/09/27,37,263,990
2013/09/28,39,265,987
2013/09/29,38,270,977
2013/09/30,39,265,969
2013/10/01,40,272,978
2013/10/02,39,279,977
2013/10/03,39,279,979
2013/10/04,39,279,968
2013/10/05,39,281,975
2013/10/06,38,277,954
2013/10/07,39,275,957
2013/10/08,40,273,974
2013/10/09,40,275,977
2013/10/10,39,274,980
2013/10/11,39,280,995
2013/10/12,40,276,986
2013/10/13,39,284,982
2013/10/14,40,291,983
2013/10/15,40,291,982
2013/10/16,43,289,978
2013/10/17,43,289,982
2013/10/18,43,285,980
2013/10/19,43,286,977
2013/10/20,43,286,973
2013/10/21,43,283,973
2013/10/22,44,283,988
2013/10/23,45,281,998
2013/10/24,44,282,1003
2013/10/25,43,285,1006
2013/10/26,43,281,1005
2013/10/27,43,280,1007
2013/10/28,44,278,1010
2013/10/29,44,280,1020
2013/10/30,44,277,1039
2013/10/31,44,268,1031
2013/11/01,44,264,1032
2013/11/02,44,261,1022
2013/11/03,44,260,1020
2013/11/04,44,257,1014
2013/11/05,41,257,1019
2013/11/06,40,255,1034
2013/11/07,40,248,1036
2013/11/08,41,250,1036
2013/11/09,41,250,1041
2013/11/10,41,247,1028
2013/11/11,41,244,1027
2013/11/12,41,241,1026
2013/11/13,40,235,1048
2013/11/14,38,231,1049
2013/11/15,38,231,1046
2013/11/16,37,239,1052
2013/11/17,38,235,1048
2013/11/18,39,231,1047
2013/11/19,40,232,1048
2013/11/20,37,236,1050
2013/11/21,34,245,1047
2013/11/22,33,248,1049
2013/11/23,32,244,1047
2013/11/24,33,242,1045
2013/11/25,32,243,1044
2013/11/26,31,242,1053
2013/11/27,31,242,1058
2013/11/28,30,240,1057
2013/11/29,31,245,1046
2013/11/30,31,248,1041
2013/12/01,33,254,1040
2013/12/02,33,255,1041
2013/12/03,35,260,1050
2013/12/04,36,263,1058
2013/12/05,34,269,1077
2013/12/06,35,270,1066
2013/12/07,35,275,1063
2013/12/08,34,273,1072
2013/12/09,36,275,1066
2013/12/10,34,276,1091
2013/12/11,35,277,1092
2013/12/12,35,280,1088
2013/12/13,34,285,1079
2013/12/14,33,281,1080
2013/12/15,33,287,1086
2013/12/16,35,290,1075
2013/12/17,36,293,1096
2013/12/18,36,292,1099
2013/12/19,36,292,1101
2013/12/20,36,296,1101
2013/12/21,37,297,1090
2013/12/22,35,292,1074
2013/12/23,36,290,1069
2013/12/24,37,290,1070
2013/12/25,37,286,1054
2013/12/26,36,283,1045
2013/12/27,37,277,1037
2013/12/28,37,273,1028
2013/12/29,39,270,1023
2013/12/30,39,270,1023
2013/12/31,38,269,1023
2014/01/01,38,267,1015
2014/01/02,36,267,1002
2014/01/03,38,266,993
2014/01/04,37,265,973
2014/01/05,40,265,968
2014/01/06,40,263,956
2014/01/07,40,267,960
2014/01/08,40,268,973
2014/01/09,43,264,959
2014/01/10,42,265,967
2014/01/11,40,271,963
2014/01/12,40,271,954
2014/01/13,41,274,954
2014/01/14,41,275,959
2014/01/15,41,279,973
2014/01/16,42,279,970
2014/01/17,41,279,968
2014/01/18,39,285,968
2014/01/19,39,279,965
2014/01/20,39,281,972
2014/01/21,40,283,986
2014/01/22,39,288,1003
2014/01/23,41,291,1008
2014/01/24,42,295,1030
2014/01/25,41,302,1046
2014/01/26,43,305,1052
2014/01/27,45,311,1055
2014/01/28,43,312,1062
2014/01/29,42,314,1076
2014/01/30,41,312,1079
2014/01/31,41,317,1086
2014/02/01,42,313,1096
2014/02/02,41,309,1095
2014/02/03,41,305,1098
2014/02/04,40,308,1111
2014/02/05,41,308,1125
2014/02/06,41,305,1144
2014/02/07,41,303,1139
2014/02/08,41,303,1147
2014/02/09,42,299,1140
2014/02/10,42,297,1141
2014/02/11,43,298,1137
2014/02/12,43,294,1135
2014/02/13,42,302,1134
2014/02/14,42,296,1127
2014/02/15,40,297,1123
2014/02/16,39,294,1117
2014/02/17,39,291,1115
2014/02/18,39,294,1122
2014/02/19,39,295,1141
2014/02/20,39,299,1150
2014/02/21,39,299,1142
2014/02/22,38,301,1142
2014/02/23,37,292,1130
2014/02/24,36,282,1110
2014/02/25,36,286,1108
2014/02/26,36,284,1107
2014/02/27,37,284,1106
2014/02/28,36,278,1102
2014/03/01,37,279,1096
2014/03/02,36,278,1083
2014/03/03,36,277,1071
2014/03/04,36,276,1068
2014/03/05,35,274,1080
2014/03/06,35,278,1081
2014/03/07,36,276,1072
2014/03/08,36,272,1063
2014/03/09,36,268,1047
2014/03/10,35,262,1034
2014/03/11,35,273,1042
2014/03/12,35,274,1037
2014/03/13,36,275,1047
2014/03/14,36,274,1046
2014/03/15,33,263,1048
2014/03/16,33,265,1037
2014/03/17,34,264,1049
2014/03/18,34,261,1053
2014/03/19,34,260,1054
2014/03/20,34,256,1045
2014/03/21,34,248,1038
2014/03/22,34,247,1026
2014/03/23,34,243,1018
2014/03/24,34,245,1022
2014/03/25,37,250,1036
2014/03/26,37,251,1045
2014/03/27,35,249,1039
2014/03/28,35,244,1024
2014/03/29,36,237,1018
2014/03/30,36,234,998
2014/03/31,38,233,1007
2014/04/01,37,230,1009
2014/04/02,36,232,1016
2014/04/03,34,237,1012
2014/04/04,36,234,1005
2014/04/05,36,232,992
2014/04/06,36,238,986
2014/04/07,35,239,978
2014/04/08,35,244,992
2014/04/09,34,247,998
2014/04/10,36,246,995
2014/04/11,34,243,985
2014/04/12,36,243,966
2014/04/13,36,246,950
2014/04/14,33,247,950
2014/04/15,34,253,955
2014/04/16,34,248,951
2014/04/17,35,244,947
2014/04/18,37,245,950
2014/04/19,36,246,952
2014/04/20,37,240,935
2014/04/21,37,244,936
2014/04/22,38,241,942
2014/04/23,37,238,937
2014/04/24,37,230,932
2014/04/25,37,230,930
2014/04/26,37,231,930
2014/04/27,36,234,931
2014/04/28,35,240,919
2014/04/29,35,238,939
2014/04/30,35,239,940
2014/05/01,37,239,952
2014/05/02,38,248,966
2014/05/03,38,250,979
2014/05/04,39,252,970
2014/05/05,39,255,966
2014/05/06,37,254,957
2014/05/07,37,254,971
2014/05/08,37,252,965
2014/05/09,40,248,961
2014/05/10,39,257,969
2014/05/11,40,255,959
2014/05/12,40,254,972
2014/05/13,41,250,990
2014/05/14,40,248,999
2014/05/15,39,247,997
2014/05/16,40,253,1011
2014/05/17,40,255,1003
2014/05/18,42,254,991
2014/05/19,42,254,985
2014/05/20,42,259,1000
2014/05/21,42,251,998
2014/05/22,41,256,1001
2014/05/23,42,256,996
2014/05/24,41,258,997
2014/05/25,40,253,984
2014/05/26,41,253,977
2014/05/27,40,259,988
2014/05/28,39,261,993
2014/05/29,39,259,978
2014/05/30,39,253,969
2014/05/31,39,252,948
2014/06/01,39,251,952
2014/06/02,38,242,939
2014/06/03,38,245,942
2014/06/04,37,247,952
2014/06/05,37,242,956
2014/06/06,38,252,943
2014/06/07,36,251,941
2014/06/08,37,248,939
2014/06/09,38,240,922
2014/06/10,38,246,920
2014/06/11,38,249,921
2014/06/12,38,250,928
2014/06/13,39,246,923
2014/06/14,41,241,915
2014/06/15,38,238,891
2014/06/16,40,237,893
2014/06/17,39,240,901
2014/06/18,36,241,913
2014/06/19,36,234,900
2014/06/20,35,239,910
2014/06/21,35,237,901
2014/06/22,35,237,895
2014/06/23,34,234,882
2014/06/24,34,237,887
