date,dzwiki (100+),dzwiki (5+),dzwiki (all)
2012/12/10,,8,19
2012/12/11,,7,20
2012/12/12,,7,21
2012/12/13,,7,21
2012/12/14,,7,21
2012/12/15,,7,21
2012/12/16,,6,20
2012/12/17,,6,21
2012/12/18,,6,21
2012/12/19,,7,21
2012/12/20,,7,21
2012/12/21,,7,20
2012/12/22,,7,20
2012/12/23,,6,20
2012/12/24,,6,19
2012/12/25,,6,19
2012/12/26,,5,21
2012/12/27,,5,21
2012/12/28,,5,21
2012/12/29,,5,21
2012/12/30,,5,20
2012/12/31,,5,20
2013/01/01,,5,22
2013/01/02,,5,22
2013/01/03,,5,22
2013/01/04,,5,22
2013/01/05,,5,22
2013/01/06,,5,21
2013/01/07,,5,20
2013/01/08,,6,20
2013/01/09,1,7,20
2013/01/10,1,7,19
2013/01/11,1,8,20
2013/01/12,1,8,21
2013/01/13,1,8,21
2013/01/14,1,8,22
2013/01/15,1,7,22
2013/01/16,1,7,24
2013/01/17,1,7,24
2013/01/18,1,7,24
2013/01/19,1,7,24
2013/01/20,1,8,25
2013/01/21,1,8,25
2013/01/22,1,9,25
2013/01/23,1,9,24
2013/01/24,1,8,25
2013/01/25,1,8,24
2013/01/26,1,8,24
2013/01/27,1,8,24
2013/01/28,1,8,24
2013/01/29,1,8,23
2013/01/30,1,8,23
2013/01/31,1,8,24
2013/02/01,1,7,23
2013/02/02,1,7,23
2013/02/03,1,7,23
2013/02/04,1,7,23
2013/02/05,1,7,23
2013/02/06,1,7,24
2013/02/07,1,9,25
2013/02/08,,8,26
2013/02/09,,8,25
2013/02/10,,7,22
2013/02/11,,7,23
2013/02/12,,6,22
2013/02/13,,6,24
2013/02/14,,6,23
2013/02/15,,6,21
2013/02/16,,6,22
2013/02/17,,6,22
2013/02/18,,6,20
2013/02/19,,6,20
2013/02/20,,6,19
2013/02/21,,6,19
2013/02/22,,6,19
2013/02/23,,6,18
2013/02/24,,6,18
2013/02/25,,6,17
2013/02/26,,7,18
2013/02/27,,7,18
2013/02/28,,7,18
2013/03/01,,7,19
2013/03/02,,7,17
2013/03/03,,7,17
2013/03/04,,7,17
2013/03/05,,7,17
2013/03/06,,7,18
2013/03/07,1,8,20
2013/03/08,1,8,20
2013/03/09,1,7,20
2013/03/10,1,7,19
2013/03/11,1,7,19
2013/03/12,1,8,20
2013/03/13,1,8,21
2013/03/14,1,8,22
2013/03/15,1,8,20
2013/03/16,1,7,20
2013/03/17,1,7,20
2013/03/18,1,7,20
2013/03/19,1,7,19
2013/03/20,1,6,19
2013/03/21,1,6,18
2013/03/22,1,6,17
2013/03/23,1,6,16
2013/03/24,1,6,17
2013/03/25,1,6,17
2013/03/26,1,6,17
2013/03/27,1,5,17
2013/03/28,1,5,17
2013/03/29,1,5,16
2013/03/30,1,4,17
2013/03/31,1,4,16
2013/04/01,1,4,16
2013/04/02,1,4,16
2013/04/03,1,3,15
2013/04/04,1,3,15
2013/04/05,1,3,12
2013/04/06,,3,12
2013/04/07,,2,8
2013/04/08,,2,9
2013/04/09,,1,9
2013/04/10,,1,10
2013/04/11,,,9
2013/04/12,,,8
2013/04/13,,,7
2013/04/14,,,7
2013/04/15,,,8
2013/04/16,,,8
2013/04/17,,,8
2013/04/18,,,8
2013/04/19,,,8
2013/04/20,,,8
2013/04/21,,,8
2013/04/22,,,9
2013/04/23,,,8
2013/04/24,,,7
2013/04/25,,,7
2013/04/26,,,7
2013/04/27,,,7
2013/04/28,,,7
2013/04/29,,,6
2013/04/30,,,6
2013/05/01,,,5
2013/05/02,,,5
2013/05/03,,,5
2013/05/04,,,5
2013/05/05,,,5
2013/05/06,,,5
2013/05/07,,,5
2013/05/08,,,5
2013/05/09,,,6
2013/05/10,,,5
2013/05/11,,,5
2013/05/12,,,5
2013/05/13,,,5
2013/05/14,,,5
2013/05/15,,,4
2013/05/16,,,4
2013/05/17,,,3
2013/05/18,,,3
2013/05/19,,,3
2013/05/20,,,3
2013/05/21,,,3
2013/05/22,,,2
2013/05/23,,,2
2013/05/24,,,2
2013/05/25,,,3
2013/05/26,,,3
2013/05/27,,,3
2013/05/28,,,3
2013/05/29,,,3
2013/05/30,,,3
2013/05/31,,,4
2013/06/01,,,4
2013/06/02,,,4
2013/06/03,,,5
2013/06/04,,,5
2013/06/05,,,4
2013/06/06,,,4
2013/06/07,,,4
2013/06/08,,,3
2013/06/09,,,3
2013/06/10,,,3
2013/06/11,,,3
2013/06/12,,,3
2013/06/13,,,3
2013/06/14,,,3
2013/06/15,,,3
2013/06/16,,,3
2013/06/17,,,3
2013/06/18,,,3
2013/06/19,,,3
2013/06/20,,,3
2013/06/21,,,4
2013/06/22,,,4
2013/06/23,,,4
2013/06/24,,,4
2013/06/25,,,4
2013/06/26,,,4
2013/06/27,,,4
2013/06/28,,,4
2013/06/29,,,4
2013/06/30,,,4
2013/07/01,,,3
2013/07/02,,,3
2013/07/03,,,2
2013/07/04,,,2
2013/07/05,,,2
2013/07/06,,,2
2013/07/07,,,2
2013/07/08,,,2
2013/07/09,,,2
2013/07/10,,,2
2013/07/11,,,2
2013/07/12,,,2
2013/07/13,,,2
2013/07/14,,,2
2013/07/15,,,2
2013/07/16,,,2
2013/07/17,,,2
2013/07/18,,,2
2013/07/19,,,2
2013/07/20,,,2
2013/07/21,,,1
2013/07/22,,,1
2013/07/23,,,1
2013/07/24,,,1
2013/07/25,,,1
2013/07/26,,,1
2013/07/27,,,1
2013/07/28,,,1
2013/07/29,,,1
2013/07/30,,,1
2013/07/31,,,3
2013/08/01,,,3
2013/08/02,,,3
2013/08/03,,,3
2013/08/04,,,3
2013/08/05,,,3
2013/08/06,,,3
2013/08/07,,,3
2013/08/08,,,3
2013/08/09,,,3
2013/08/10,,,4
2013/08/11,,,4
2013/08/12,,,4
2013/08/13,,,4
2013/08/14,,,4
2013/08/15,,,4
2013/08/16,,,4
2013/08/17,,,4
2013/08/18,,1,5
2013/08/19,,1,5
2013/08/20,,1,5
2013/08/21,,1,5
2013/08/22,,1,5
2013/08/23,,1,5
2013/08/24,,1,4
2013/08/25,,1,4
2013/08/26,,1,4
2013/08/27,,1,4
2013/08/28,,1,4
2013/08/29,,1,4
2013/08/30,,1,2
2013/08/31,,1,2
2013/09/01,,1,2
2013/09/02,,1,2
2013/09/03,,1,2
2013/09/04,,1,2
2013/09/05,,1,2
2013/09/06,,1,2
2013/09/07,,1,2
2013/09/08,,1,2
2013/09/09,,1,2
2013/09/10,,1,2
2013/09/11,,1,2
2013/09/12,,1,2
2013/09/13,,1,2
2013/09/14,,1,2
2013/09/15,,1,2
2013/09/16,,1,2
2013/09/17,,,1
2013/10/27,,,1
2013/10/28,,,1
2013/10/29,,,1
2013/10/30,,,1
2013/10/31,,,1
2013/11/01,,,1
2013/11/02,,,1
2013/11/03,,,1
2013/11/04,,,1
2013/11/05,,,1
2013/11/06,,,1
2013/11/07,,,2
2013/11/08,,,2
2013/11/09,,,2
2013/11/10,,,2
2013/11/11,,,2
2013/11/12,,,2
2013/11/13,,,2
2013/11/14,,,3
2013/11/15,,,3
2013/11/16,,,3
2013/11/17,,,3
2013/11/18,,,3
2013/11/19,,,3
2013/11/20,,,3
2013/11/21,,,3
2013/11/22,,,3
2013/11/23,,,3
2013/11/24,,,3
2013/11/25,,,4
2013/11/26,,,3
2013/11/27,,,3
2013/11/28,,,3
2013/11/29,,,3
2013/11/30,,,3
2013/12/01,,,3
2013/12/02,,,4
2013/12/03,,,4
2013/12/04,,,4
2013/12/05,,,4
2013/12/06,,,4
2013/12/07,,,3
2013/12/08,,,3
2013/12/09,,,3
2013/12/10,,,3
2013/12/11,,,3
2013/12/12,,,4
2013/12/13,,,4
2013/12/14,,,3
2013/12/15,,,3
2013/12/16,,,3
2013/12/17,,,3
2013/12/18,,,3
2013/12/19,,,3
2013/12/20,,,3
2013/12/21,,,3
2013/12/22,,,3
2013/12/23,,,3
2013/12/24,,,3
2013/12/25,,,2
