date,kabwiki (100+),kabwiki (5+),kabwiki (all)
2013/01/01,,18,36
2013/01/02,,18,37
2013/01/03,,18,39
2013/01/04,,18,38
2013/01/05,,18,38
2013/01/06,,18,38
2013/01/07,,17,38
2013/01/08,,17,38
2013/01/09,,17,38
2013/01/10,,17,37
2013/01/11,,17,37
2013/01/12,,17,36
2013/01/13,,17,34
2013/01/14,,17,35
2013/01/15,,16,33
2013/01/16,,16,33
2013/01/17,,16,33
2013/01/18,1,16,33
2013/01/19,1,16,34
2013/01/20,1,16,34
2013/01/21,1,16,34
2013/01/22,1,16,33
2013/01/23,1,16,32
2013/01/24,1,14,28
2013/01/25,1,14,28
2013/01/26,1,14,27
2013/01/27,1,14,28
2013/01/28,1,13,27
2013/01/29,1,12,28
2013/01/30,1,12,28
2013/01/31,1,12,27
2013/02/01,,12,29
2013/02/02,,12,28
2013/02/03,,11,28
2013/02/04,,11,30
2013/02/05,,12,31
2013/02/06,,12,32
2013/02/07,,12,31
2013/02/08,1,12,32
2013/02/09,1,12,33
2013/02/10,1,11,34
2013/02/11,1,10,36
2013/02/12,1,10,37
2013/02/13,1,11,37
2013/02/14,1,11,36
2013/02/15,1,10,35
2013/02/16,1,10,38
2013/02/17,1,9,37
2013/02/18,1,9,36
2013/02/19,1,10,37
2013/02/20,1,11,37
2013/02/21,1,11,37
2013/02/22,1,11,38
2013/02/23,1,12,38
2013/02/24,1,12,37
2013/02/25,1,12,37
2013/02/26,1,12,36
2013/02/27,1,12,35
2013/02/28,1,12,35
2013/03/01,1,12,35
2013/03/02,1,13,36
2013/03/03,1,13,34
2013/03/04,1,13,36
2013/03/05,1,11,36
2013/03/06,1,11,35
2013/03/07,1,10,34
2013/03/08,2,11,33
2013/03/09,2,11,32
2013/03/10,2,11,31
2013/03/11,1,11,29
2013/03/12,1,12,30
2013/03/13,1,12,28
2013/03/14,1,12,26
2013/03/15,1,12,26
2013/03/16,1,12,25
2013/03/17,1,12,25
2013/03/18,1,12,24
2013/03/19,1,12,24
2013/03/20,1,11,24
2013/03/21,1,11,21
2013/03/22,1,11,19
2013/03/23,1,11,19
2013/03/24,1,11,17
2013/03/25,1,11,17
2013/03/26,1,11,17
2013/03/27,1,11,18
2013/03/28,1,10,18
2013/03/29,1,10,18
2013/03/30,1,9,17
2013/03/31,1,8,17
2013/04/01,1,8,15
2013/04/02,1,8,16
2013/04/03,1,7,15
2013/04/04,1,5,14
2013/04/05,1,4,14
2013/04/06,1,4,11
2013/04/07,1,4,11
2013/04/08,,4,12
2013/04/09,,4,12
2013/04/10,,4,12
2013/04/11,,4,12
2013/04/12,,4,12
2013/04/13,,4,13
2013/04/14,,4,12
2013/04/15,,4,13
2013/04/16,,4,13
2013/04/17,,4,15
2013/04/18,,4,17
2013/04/19,,5,17
2013/04/20,,5,18
2013/04/21,,6,19
2013/04/22,,6,20
2013/04/23,,6,21
2013/04/24,,6,21
2013/04/25,,6,20
2013/04/26,,6,19
2013/04/27,,6,19
2013/04/28,,7,20
2013/04/29,,7,21
2013/04/30,,7,21
2013/05/01,,7,22
2013/05/02,,7,21
2013/05/03,,6,19
2013/05/04,,6,19
2013/05/05,,5,18
2013/05/06,,5,18
2013/05/07,,5,18
2013/05/08,,5,17
2013/05/09,,5,17
2013/05/10,,5,17
2013/05/11,,5,18
2013/05/12,,4,17
2013/05/13,,3,17
2013/05/14,,3,17
2013/05/15,,3,16
2013/05/16,,3,16
2013/05/17,,3,14
2013/05/18,,3,13
2013/05/19,,2,12
2013/05/20,,2,11
2013/05/21,,2,11
2013/05/22,,2,11
2013/05/23,,3,13
2013/05/24,,3,12
2013/05/25,,3,12
2013/05/26,,3,11
2013/05/27,,4,12
2013/05/28,,3,12
2013/05/29,,3,11
2013/05/30,,3,11
2013/05/31,,2,9
2013/06/01,,2,9
2013/06/02,,2,9
2013/06/03,,2,8
2013/06/04,,2,8
2013/06/05,,2,8
2013/06/06,,2,9
2013/06/07,,2,9
2013/06/08,,3,9
2013/06/09,,3,10
2013/06/10,,3,9
2013/06/11,,3,9
2013/06/12,,3,11
2013/06/13,,3,11
2013/06/14,,3,11
2013/06/15,,3,11
2013/06/16,,3,11
2013/06/17,,3,11
2013/06/18,,3,12
2013/06/19,,3,12
2013/06/20,,3,12
2013/06/21,,3,12
2013/06/22,,3,10
2013/06/23,,3,11
2013/06/24,,3,11
2013/06/25,,3,10
2013/06/26,,2,10
2013/06/27,,2,8
2013/06/28,,2,8
2013/06/29,,2,8
2013/06/30,,1,8
2013/07/01,,1,8
2013/07/02,,1,9
2013/07/03,,1,10
2013/07/04,,1,10
2013/07/05,,1,10
2013/07/06,,1,10
2013/07/07,,,10
2013/07/08,,,9
2013/07/09,,,8
2013/07/10,,1,8
2013/07/11,,1,10
2013/07/12,,1,8
2013/07/13,,1,8
2013/07/14,,2,9
2013/07/15,,2,12
2013/07/16,,2,13
2013/07/17,,2,13
2013/07/18,,2,12
2013/07/19,,2,12
2013/07/20,,2,12
2013/07/21,,2,14
2013/07/22,,2,14
2013/07/23,,2,14
2013/07/24,,2,14
2013/07/25,,2,15
2013/07/26,,2,15
2013/07/27,,2,15
2013/07/28,,2,15
2013/07/29,,2,16
2013/07/30,,2,15
2013/07/31,,2,15
2013/08/01,,2,14
2013/08/02,,3,14
2013/08/03,,3,14
2013/08/04,,3,14
2013/08/05,,3,14
2013/08/06,,3,14
2013/08/07,,3,14
2013/08/08,,3,14
2013/08/09,,3,14
2013/08/10,,2,13
2013/08/11,,2,14
2013/08/12,,2,15
2013/08/13,,2,14
2013/08/14,,2,11
2013/08/15,,2,10
2013/08/16,,2,10
2013/08/17,,1,10
2013/08/18,,1,10
2013/08/19,,1,11
2013/08/20,,1,10
2013/08/21,,1,10
2013/08/22,,1,9
2013/08/23,,1,9
2013/08/24,,1,10
2013/08/25,,1,11
2013/08/26,,1,11
2013/08/27,,1,11
2013/08/28,,1,10
2013/08/29,,1,11
2013/08/30,,1,10
2013/08/31,,1,11
2013/09/01,,1,11
2013/09/02,,1,11
2013/09/03,,1,11
2013/09/04,,1,11
2013/09/05,,1,11
2013/09/06,,1,11
2013/09/07,,1,11
2013/09/08,,1,11
2013/09/09,,1,11
2013/09/10,,1,10
2013/09/11,,1,9
2013/09/12,,1,8
2013/09/13,,1,8
2013/09/14,,1,8
2013/09/15,,1,7
2013/09/16,,1,6
2013/09/17,,1,6
2013/09/18,,1,5
2013/09/19,,1,5
2013/09/20,,1,5
2013/09/21,,1,5
2013/09/22,,1,5
2013/09/23,,1,4
2013/09/24,,1,4
2013/09/25,,1,4
2013/09/26,,1,5
2013/09/27,,1,6
2013/09/28,,1,7
2013/09/29,,1,8
2013/09/30,,1,7
2013/10/01,,,6
2013/10/02,,,6
2013/10/03,,,6
2013/10/04,,,6
2013/10/05,,,6
2013/10/06,,,6
2013/10/07,,,6
2013/10/08,,,5
2013/10/09,,,5
2013/10/10,,,5
2013/10/11,,,5
2013/10/12,,,5
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,5
2013/10/18,,,5
2013/10/19,,,5
2013/10/20,,,5
2013/10/21,,,5
2013/10/22,,,5
2013/10/23,,,5
2013/10/24,,,5
2013/10/25,,,5
2013/10/26,,,4
2013/10/27,,,4
2013/10/28,,,3
2013/10/29,,,2
2013/10/30,,,2
2013/10/31,,,2
2013/11/01,,,3
2013/11/02,,,3
2013/11/03,,,4
2013/11/04,,,5
2013/11/05,,1,6
2013/11/06,,1,6
2013/11/07,,1,7
2013/11/08,,1,7
2013/11/09,,2,9
2013/11/10,,2,9
2013/11/11,,2,9
2013/11/12,,2,9
2013/11/13,,2,9
2013/11/14,,2,9
2013/11/15,,2,9
2013/11/16,,2,9
2013/11/17,,2,9
2013/11/18,,2,9
2013/11/19,,2,9
2013/11/20,,2,9
2013/11/21,,2,9
2013/11/22,,2,9
2013/11/23,,2,8
2013/11/24,,2,8
2013/11/25,,2,8
2013/11/26,,2,7
2013/11/27,,2,7
2013/11/28,,2,7
2013/11/29,,2,7
2013/11/30,,3,8
2013/12/01,,3,7
2013/12/02,,3,8
2013/12/03,,3,8
2013/12/04,,4,9
2013/12/05,,3,9
2013/12/06,,4,9
2013/12/07,,4,8
2013/12/08,,4,8
2013/12/09,,4,7
2013/12/10,,4,7
2013/12/11,,4,7
2013/12/12,,4,7
2013/12/13,,4,6
2013/12/14,,4,5
2013/12/15,,4,5
2013/12/16,,4,6
2013/12/17,,4,6
2013/12/18,1,4,6
2013/12/19,1,4,6
2013/12/20,1,4,6
2013/12/21,1,4,7
2013/12/22,1,4,7
2013/12/23,1,4,7
2013/12/24,1,4,7
2013/12/25,1,4,8
2013/12/26,1,4,8
2013/12/27,1,4,8
2013/12/28,1,5,9
2013/12/29,1,5,9
2013/12/30,1,5,8
2013/12/31,1,5,9
2014/01/01,1,5,9
2014/01/02,1,6,10
2014/01/03,1,6,11
2014/01/04,1,6,11
2014/01/05,1,6,11
2014/01/06,1,6,11
2014/01/07,1,7,13
2014/01/08,1,7,13
2014/01/09,1,7,14
2014/01/10,1,7,14
2014/01/11,1,7,14
2014/01/12,1,7,14
2014/01/13,1,7,14
2014/01/14,1,7,14
2014/01/15,1,6,13
2014/01/16,1,6,13
2014/01/17,1,6,13
2014/01/18,1,7,14
2014/01/19,1,7,14
2014/01/20,,7,14
2014/01/21,,7,14
2014/01/22,,7,15
2014/01/23,,6,16
2014/01/24,,6,15
2014/01/25,,6,15
2014/01/26,,6,15
2014/01/27,,5,15
2014/01/28,,5,14
2014/01/29,,5,13
2014/01/30,,5,11
2014/01/31,,5,11
2014/02/01,,4,10
2014/02/02,,4,9
2014/02/03,,4,11
2014/02/04,,4,11
2014/02/05,,4,11
2014/02/06,,3,10
2014/02/07,,2,10
2014/02/08,,2,9
2014/02/09,,1,8
2014/02/10,,1,9
2014/02/11,,1,9
2014/02/12,,1,8
2014/02/13,,1,8
2014/02/14,,1,8
2014/02/15,,1,8
2014/02/16,,1,9
2014/02/17,,,8
2014/02/18,,,8
2014/02/19,,,9
2014/02/20,,,9
2014/02/21,,,9
2014/02/22,,,8
2014/02/23,,,9
2014/02/24,,,9
2014/02/25,,,9
2014/02/26,,,9
2014/02/27,,,9
2014/02/28,,,9
2014/03/01,,,9
2014/03/02,,,10
2014/03/03,,,10
2014/03/04,,,10
2014/03/05,,,7
2014/03/06,,,8
2014/03/07,,,8
2014/03/08,,,8
2014/03/09,,,8
2014/03/10,,,8
2014/03/11,,,8
2014/03/12,,,6
2014/03/13,,,6
2014/03/14,,,7
2014/03/15,,,7
2014/03/16,,,7
2014/03/17,,,8
2014/03/18,,1,9
2014/03/19,,1,9
2014/03/20,,1,9
2014/03/21,,1,8
2014/03/22,,1,8
2014/03/23,,1,9
2014/03/24,,2,9
2014/03/25,,2,8
2014/03/26,,2,15
2014/03/27,,2,17
2014/03/28,,2,19
2014/03/29,,3,19
2014/03/30,,3,19
2014/03/31,,3,18
2014/04/01,,3,18
2014/04/02,,3,18
2014/04/03,,3,18
2014/04/04,,3,18
2014/04/05,,3,18
2014/04/06,,3,18
2014/04/07,,3,18
2014/04/08,,3,19
2014/04/09,,3,19
2014/04/10,,3,19
2014/04/11,,3,19
2014/04/12,,3,19
2014/04/13,,3,18
2014/04/14,,3,18
2014/04/15,,3,18
2014/04/16,,3,18
2014/04/17,,3,17
2014/04/18,,2,15
2014/04/19,,2,15
2014/04/20,,2,16
2014/04/21,,2,16
2014/04/22,,2,17
2014/04/23,,1,16
2014/04/24,,1,16
2014/04/25,,,10
2014/04/26,,,8
2014/04/27,,,8
2014/04/28,,,7
2014/04/29,,1,9
2014/04/30,,1,9
2014/05/01,,1,9
2014/05/02,,1,9
2014/05/03,,1,10
2014/05/04,,1,10
2014/05/05,,1,9
2014/05/06,,1,9
2014/05/07,,1,10
2014/05/08,,1,9
2014/05/09,,2,10
2014/05/10,,2,9
2014/05/11,,2,9
2014/05/12,,3,10
2014/05/13,,3,11
2014/05/14,,3,11
2014/05/15,,3,13
2014/05/16,,4,14
2014/05/17,,3,15
2014/05/18,,3,16
2014/05/19,,3,16
2014/05/20,,3,15
2014/05/21,,3,15
2014/05/22,,3,14
2014/05/23,,3,14
2014/05/24,,2,14
2014/05/25,,2,14
2014/05/26,,2,14
2014/05/27,,2,12
2014/05/28,,2,12
2014/05/29,,2,11
2014/05/30,,2,13
2014/05/31,,3,14
2014/06/01,,3,15
2014/06/02,,3,14
2014/06/03,,3,14
2014/06/04,,3,14
2014/06/05,,4,14
2014/06/06,,3,13
2014/06/07,,3,13
2014/06/08,,3,14
2014/06/09,,3,14
2014/06/10,,3,14
2014/06/11,,2,13
2014/06/12,,2,12
2014/06/13,,2,12
2014/06/14,,2,10
2014/06/15,,2,9
2014/06/16,,2,8
2014/06/17,,2,8
2014/06/18,,2,8
2014/06/19,,1,7
2014/06/20,,1,7
2014/06/21,,1,7
2014/06/22,,1,6
2014/06/23,,1,6
2014/06/24,,1,6
2014/06/25,,1,6
2014/06/26,,1,6
2014/06/27,,1,6
2014/06/28,,1,6
2014/06/29,,1,5
2014/06/30,,1,4
2014/07/01,,1,3
2014/07/02,,1,5
2014/07/03,,,5
2014/07/04,,1,6
2014/07/05,,1,5
2014/07/06,,1,5
2014/07/07,,1,5
2014/07/08,,1,4
2014/07/09,,1,4
2014/07/10,,1,5
2014/07/11,,1,5
2014/07/12,,1,6
2014/07/13,,1,6
2014/07/14,,1,6
2014/07/15,,1,6
2014/07/16,,1,6
2014/07/17,,1,6
2014/07/18,,1,6
2014/07/19,,1,6
2014/07/20,,1,6
2014/07/21,,1,6
2014/07/22,,1,6
2014/07/23,,1,6
2014/07/24,,1,6
2014/07/25,,1,6
2014/07/26,,,6
2014/07/27,,,7
2014/07/28,,,7
2014/07/29,,,7
2014/07/30,,,8
2014/07/31,,,8
2014/08/01,,,6
2014/08/02,,,6
2014/08/03,,,4
2014/08/04,,,4
2014/08/05,,,4
2014/08/06,,,6
2014/08/07,,,6
2014/08/08,,,6
2014/08/09,,,5
2014/08/10,,,5
2014/08/11,,,6
2014/08/12,,,6
2014/08/13,,,7
2014/08/14,,,7
2014/08/15,,,7
2014/08/16,,,8
2014/08/17,,,9
2014/08/18,,,9
2014/08/19,,,9
2014/08/20,,,8
2014/08/21,,,8
2014/08/22,,,9
2014/08/23,,,10
2014/08/24,,,10
2014/08/25,,,11
2014/08/26,,,10
2014/08/27,,,11
2014/08/28,,,11
2014/08/29,,,10
2014/08/30,,,10
2014/08/31,,,10
2014/09/01,,,10
2014/09/02,,,10
2014/09/03,,,10
2014/09/04,,,10
2014/09/05,,,9
2014/09/06,,,9
2014/09/07,,,9
2014/09/08,,,9
2014/09/09,,,9
2014/09/10,,,10
2014/09/11,,,10
2014/09/12,,,9
2014/09/13,,,10
2014/09/14,,,10
2014/09/15,,,10
2014/09/16,,,10
2014/09/17,,,10
2014/09/18,,,10
2014/09/19,,,10
2014/09/20,,,11
2014/09/21,,1,10
2014/09/22,,1,9
2014/09/23,,2,9
2014/09/24,,2,8
2014/09/25,,2,8
2014/09/26,,2,8
2014/09/27,,2,8
2014/09/28,,2,8
2014/09/29,,2,9
2014/09/30,,2,9
2014/10/01,,2,10
2014/10/02,,2,9
2014/10/03,,2,9
2014/10/04,,2,9
2014/10/05,,2,9
2014/10/06,1,2,10
2014/10/07,1,2,12
2014/10/08,1,2,11
2014/10/09,1,2,11
2014/10/10,1,2,10
2014/10/11,1,2,11
2014/10/12,1,3,11
2014/10/13,1,3,10
2014/10/14,1,3,11
2014/10/15,1,3,11
2014/10/16,1,3,10
2014/10/17,2,3,10
2014/10/18,2,3,10
2014/10/19,2,3,10
2014/10/20,2,3,10
2014/10/21,2,3,10
2014/10/22,2,3,10
