date,hiwiki (100+),hiwiki (5+),hiwiki (all)
2013/11/04,15,47,175
2013/11/05,15,47,182
2013/11/06,15,47,179
2013/11/07,15,44,183
2013/11/08,17,46,185
2013/11/09,17,45,184
2013/11/10,17,44,183
2013/11/11,16,45,177
2013/11/12,16,46,178
2013/11/13,16,47,176
2013/11/14,16,48,179
2013/11/15,16,45,178
2013/11/16,16,45,177
2013/11/17,15,44,181
2013/11/18,15,44,182
2013/11/19,15,46,186
2013/11/20,15,48,188
2013/11/21,15,46,190
2013/11/22,15,46,191
2013/11/23,15,45,190
2013/11/24,15,47,186
2013/11/25,15,47,184
2013/11/26,15,49,186
2013/11/27,15,48,184
2013/11/28,15,48,189
2013/11/29,15,47,189
2013/11/30,15,49,187
2013/12/01,15,49,188
2013/12/02,14,50,188
2013/12/03,14,50,194
2013/12/04,14,51,191
2013/12/05,14,53,190
2013/12/06,14,55,195
2013/12/07,14,57,193
2013/12/08,14,57,193
2013/12/09,14,58,200
2013/12/10,14,55,197
2013/12/11,14,55,198
2013/12/12,13,53,196
2013/12/13,13,53,201
2013/12/14,13,51,204
2013/12/15,12,54,203
2013/12/16,12,54,202
2013/12/17,12,54,197
2013/12/18,11,58,195
2013/12/19,11,58,196
2013/12/20,11,56,194
2013/12/21,11,58,197
2013/12/22,11,59,204
2013/12/23,11,61,208
2013/12/24,11,59,206
2013/12/25,11,59,207
2013/12/26,12,61,207
2013/12/27,10,59,204
2013/12/28,9,59,204
2013/12/29,9,58,206
2013/12/30,9,57,205
2013/12/31,9,56,210
2014/01/01,9,55,212
2014/01/02,9,56,214
2014/01/03,10,57,215
2014/01/04,10,53,212
2014/01/05,10,49,211
2014/01/06,10,50,215
2014/01/07,10,53,218
2014/01/08,9,52,213
2014/01/09,8,54,221
2014/01/10,9,57,224
2014/01/11,9,58,228
2014/01/12,10,57,225
2014/01/13,9,59,227
2014/01/14,10,60,225
2014/01/15,10,60,232
2014/01/16,10,61,234
2014/01/17,10,60,235
2014/01/18,10,61,230
2014/01/19,10,61,227
2014/01/20,10,60,230
2014/01/21,11,62,225
2014/01/22,11,62,224
2014/01/23,11,66,228
2014/01/24,11,68,237
2014/01/25,12,70,240
2014/01/26,12,72,248
2014/01/27,12,78,248
2014/01/28,13,84,258
2014/01/29,13,95,301
2014/01/30,14,114,332
2014/01/31,14,153,402
2014/02/01,14,205,488
2014/02/02,14,244,546
2014/02/03,14,275,581
2014/02/04,14,297,611
2014/02/05,14,309,629
2014/02/06,13,328,649
2014/02/07,14,337,654
2014/02/08,14,339,655
2014/02/09,13,338,657
2014/02/10,12,337,656
2014/02/11,12,344,661
2014/02/12,12,344,661
2014/02/13,11,345,672
2014/02/14,11,347,674
2014/02/15,12,347,676
2014/02/16,13,347,678
2014/02/17,13,346,679
2014/02/18,13,348,681
2014/02/19,13,347,677
2014/02/20,13,346,678
2014/02/21,11,348,675
2014/02/22,10,346,675
2014/02/23,10,345,677
2014/02/24,11,347,677
2014/02/25,10,344,674
2014/02/26,11,341,672
2014/02/27,11,336,670
2014/02/28,10,332,662
2014/03/01,10,324,652
2014/03/02,10,281,629
2014/03/03,10,233,575
2014/03/04,10,184,504
2014/03/05,10,152,448
2014/03/06,10,119,401
2014/03/07,10,106,362
2014/03/08,10,85,311
2014/03/09,10,69,269
2014/03/10,10,68,255
2014/03/11,10,67,257
2014/03/12,12,65,257
2014/03/13,12,63,243
2014/03/14,12,64,232
2014/03/15,12,61,227
2014/03/16,12,57,214
2014/03/17,13,58,218
2014/03/18,14,59,215
2014/03/19,14,60,214
2014/03/20,14,56,206
2014/03/21,14,57,204
2014/03/22,14,55,203
2014/03/23,14,56,200
2014/03/24,14,58,197
2014/03/25,14,59,192
2014/03/26,15,60,197
2014/03/27,15,62,203
2014/03/28,15,63,200
2014/03/29,15,58,198
2014/03/30,15,59,198
2014/03/31,15,58,196
2014/04/01,14,60,198
2014/04/02,14,62,197
2014/04/03,14,63,201
2014/04/04,13,62,204
2014/04/05,13,62,200
2014/04/06,12,65,199
2014/04/07,12,65,198
2014/04/08,12,66,204
2014/04/09,10,65,206
2014/04/10,10,66,206
2014/04/11,10,66,212
2014/04/12,11,65,210
2014/04/13,11,66,208
2014/04/14,10,67,210
2014/04/15,10,67,208
2014/04/16,10,66,205
2014/04/17,10,64,203
2014/04/18,10,64,205
2014/04/19,10,65,201
2014/04/20,10,65,197
2014/04/21,9,65,201
2014/04/22,8,64,204
2014/04/23,9,64,207
2014/04/24,8,65,208
2014/04/25,7,62,209
2014/04/26,7,57,203
2014/04/27,8,60,209
2014/04/28,8,62,214
2014/04/29,9,64,219
2014/04/30,9,65,226
2014/05/01,9,62,222
2014/05/02,8,61,220
2014/05/03,8,62,222
2014/05/04,8,61,221
2014/05/05,8,62,225
2014/05/06,8,62,225
2014/05/07,9,63,225
2014/05/08,10,65,224
2014/05/09,10,66,224
2014/05/10,10,66,220
2014/05/11,12,67,217
2014/05/12,12,65,219
2014/05/13,13,64,221
2014/05/14,13,65,220
2014/05/15,13,66,223
2014/05/16,12,69,222
2014/05/17,12,70,219
2014/05/18,11,74,217
2014/05/19,13,73,223
2014/05/20,13,75,229
2014/05/21,13,78,229
2014/05/22,14,80,228
2014/05/23,14,81,230
2014/05/24,15,78,231
2014/05/25,15,80,233
2014/05/26,15,79,240
2014/05/27,14,75,239
2014/05/28,14,77,236
2014/05/29,14,76,231
2014/05/30,13,75,231
2014/05/31,13,73,234
2014/06/01,13,75,234
2014/06/02,13,78,237
2014/06/03,13,78,244
2014/06/04,16,76,245
2014/06/05,16,75,248
2014/06/06,14,74,246
2014/06/07,14,74,246
2014/06/08,13,75,247
2014/06/09,14,76,248
2014/06/10,13,72,249
2014/06/11,14,74,245
2014/06/12,14,75,247
2014/06/13,15,74,246
2014/06/14,16,72,245
2014/06/15,16,70,246
2014/06/16,16,70,250
2014/06/17,16,68,251
2014/06/18,16,66,250
2014/06/19,16,68,253
2014/06/20,16,68,253
