date,nnwiki (100+),nnwiki (5+),nnwiki (all)
2013/01/23,13,46,227
2013/01/24,13,48,234
2013/01/25,13,49,237
2013/01/26,13,54,247
2013/01/27,12,55,246
2013/01/28,13,56,253
2013/01/29,13,54,257
2013/01/30,13,52,252
2013/01/31,14,52,259
2013/02/01,15,52,262
2013/02/02,15,51,260
2013/02/03,15,50,265
2013/02/04,15,50,270
2013/02/05,15,51,268
2013/02/06,15,54,269
2013/02/07,15,55,264
2013/02/08,14,57,268
2013/02/09,14,56,269
2013/02/10,13,56,270
2013/02/11,13,55,277
2013/02/12,13,53,278
2013/02/13,13,52,269
2013/02/14,13,52,274
2013/02/15,13,54,269
2013/02/16,13,54,269
2013/02/17,13,55,268
2013/02/18,13,56,264
2013/02/19,13,58,271
2013/02/20,13,58,271
2013/02/21,13,58,273
2013/02/22,13,57,272
2013/02/23,13,57,270
2013/02/24,13,56,267
2013/02/25,13,56,250
2013/02/26,12,57,256
2013/02/27,11,59,253
2013/02/28,11,58,253
2013/03/01,10,60,256
2013/03/02,10,60,251
2013/03/03,10,60,246
2013/03/04,9,59,247
2013/03/05,10,58,246
2013/03/06,10,55,249
2013/03/07,9,54,247
2013/03/08,10,50,247
2013/03/09,10,51,248
2013/03/10,12,51,245
2013/03/11,12,51,248
2013/03/12,12,51,248
2013/03/13,13,57,242
2013/03/14,12,59,240
2013/03/15,12,59,246
2013/03/16,12,61,248
2013/03/17,12,60,252
2013/03/18,12,61,253
2013/03/19,12,61,245
2013/03/20,12,60,245
2013/03/21,12,58,242
2013/03/22,12,57,244
2013/03/23,12,57,242
2013/03/24,11,56,241
2013/03/25,11,55,236
2013/03/26,11,54,240
2013/03/27,12,56,245
2013/03/28,12,54,243
2013/03/29,12,54,242
2013/03/30,12,53,240
2013/03/31,13,53,243
2013/04/01,13,54,240
2013/04/02,13,54,240
2013/04/03,13,53,243
2013/04/04,13,54,243
2013/04/05,13,53,242
2013/04/06,13,52,246
2013/04/07,13,53,241
2013/04/08,14,50,236
2013/04/09,13,51,243
2013/04/10,13,50,244
2013/04/11,13,50,247
2013/04/12,12,44,240
2013/04/13,12,43,237
2013/04/14,12,43,232
2013/04/15,12,42,226
2013/04/16,12,42,225
2013/04/17,13,43,224
2013/04/18,14,46,228
2013/04/19,13,45,228
2013/04/20,15,44,232
2013/04/21,13,44,227
2013/04/22,13,46,227
2013/04/23,13,45,228
2013/04/24,13,48,228
2013/04/25,13,47,236
2013/04/26,12,47,233
2013/04/27,12,48,231
2013/04/28,11,50,228
2013/04/29,10,50,226
2013/04/30,10,49,226
2013/05/01,10,50,225
2013/05/02,12,52,222
2013/05/03,11,51,220
2013/05/04,11,51,219
2013/05/05,11,51,217
2013/05/06,11,52,216
2013/05/07,12,51,220
2013/05/08,12,54,224
2013/05/09,13,52,212
2013/05/10,13,53,210
2013/05/11,13,53,204
2013/05/12,13,54,198
2013/05/13,13,55,197
2013/05/14,13,54,196
2013/05/15,12,54,201
2013/05/16,11,54,201
2013/05/17,11,56,207
2013/05/18,11,55,208
2013/05/19,12,57,204
2013/05/20,11,57,200
2013/05/21,12,58,202
2013/05/22,13,58,197
2013/05/23,13,58,205
2013/05/24,13,58,203
2013/05/25,14,54,198
2013/05/26,14,53,199
2013/05/27,14,50,197
2013/05/28,14,51,204
2013/05/29,14,50,200
2013/05/30,14,51,200
2013/05/31,14,50,198
2013/06/01,14,52,199
2013/06/02,14,51,198
2013/06/03,14,49,200
2013/06/04,14,48,197
2013/06/05,14,48,201
2013/06/06,14,48,202
2013/06/07,14,47,201
2013/06/08,14,44,199
2013/06/09,14,44,197
2013/06/10,14,44,197
2013/06/11,13,44,200
2013/06/12,12,40,199
2013/06/13,11,42,200
2013/06/14,11,42,194
2013/06/15,11,41,192
2013/06/16,11,38,185
2013/06/17,11,38,185
2013/06/18,11,37,194
2013/06/19,11,36,200
2013/06/20,10,37,197
2013/06/21,10,36,201
2013/06/22,9,39,203
2013/06/23,10,40,208
2013/06/24,10,40,209
2013/06/25,10,40,205
2013/06/26,9,41,202
2013/06/27,8,39,194
2013/06/28,8,39,198
2013/06/29,8,38,195
2013/06/30,8,39,200
2013/07/01,8,37,194
2013/07/02,8,38,193
2013/07/03,8,39,192
2013/07/04,8,38,194
2013/07/05,8,36,192
2013/07/06,8,37,190
2013/07/07,8,39,185
2013/07/08,8,39,184
2013/07/09,8,39,186
2013/07/10,8,42,189
2013/07/11,8,41,189
2013/07/12,8,43,188
2013/07/13,9,44,187
2013/07/14,9,44,188
2013/07/15,9,45,191
2013/07/16,9,45,191
2013/07/17,9,45,190
2013/07/18,9,44,181
2013/07/19,9,44,178
2013/07/20,9,43,177
2013/07/21,9,41,175
2013/07/22,9,40,169
2013/07/23,9,40,161
2013/07/24,8,39,165
2013/07/25,8,39,166
2013/07/26,8,36,171
2013/07/27,8,35,174
2013/07/28,8,36,172
2013/07/29,8,34,173
2013/07/30,8,37,177
2013/07/31,9,37,182
2013/08/01,9,36,178
2013/08/02,9,36,175
2013/08/03,9,37,176
2013/08/04,10,39,174
2013/08/05,9,40,177
2013/08/06,8,40,177
2013/08/07,7,41,179
2013/08/08,7,40,180
2013/08/09,9,39,176
2013/08/10,9,39,173
2013/08/11,9,38,175
2013/08/12,8,39,177
2013/08/13,8,39,178
2013/08/14,8,39,172
2013/08/15,8,39,172
2013/08/16,8,40,168
2013/08/17,9,40,165
2013/08/18,9,42,170
2013/08/19,10,41,171
2013/08/20,10,41,170
2013/08/21,10,41,171
2013/08/22,10,42,172
2013/08/23,10,43,171
2013/08/24,10,43,171
2013/08/25,11,43,170
2013/08/26,11,41,170
2013/08/27,11,40,168
2013/08/28,12,41,167
2013/08/29,12,39,165
2013/08/30,13,38,164
2013/08/31,13,38,161
2013/09/01,13,39,160
2013/09/02,13,36,156
2013/09/03,13,35,157
2013/09/04,12,35,157
2013/09/05,12,34,157
2013/09/06,12,32,157
2013/09/07,12,33,154
2013/09/08,12,34,156
2013/09/09,11,34,156
2013/09/10,10,35,157
2013/09/11,10,37,155
2013/09/12,10,37,161
2013/09/13,10,37,164
2013/09/14,10,40,165
2013/09/15,10,41,163
2013/09/16,11,41,164
2013/09/17,10,39,162
2013/09/18,10,39,162
2013/09/19,10,38,161
2013/09/20,10,38,164
2013/09/21,10,40,164
2013/09/22,10,42,162
2013/09/23,11,43,164
2013/09/24,10,44,164
2013/09/25,9,44,165
2013/09/26,9,44,163
2013/09/27,9,43,164
2013/09/28,9,41,166
2013/09/29,8,41,162
2013/09/30,8,41,168
2013/10/01,8,43,166
2013/10/02,8,44,168
2013/10/03,8,44,171
2013/10/04,9,45,166
2013/10/05,9,43,166
2013/10/06,9,45,169
2013/10/07,9,47,170
2013/10/08,9,49,172
2013/10/09,9,48,172
2013/10/10,9,47,170
2013/10/11,9,47,170
2013/10/12,9,47,163
2013/10/13,9,47,163
2013/10/14,9,47,161
2013/10/15,8,48,169
2013/10/16,8,46,171
2013/10/17,8,46,175
2013/10/18,8,45,176
2013/10/19,7,45,179
2013/10/20,7,44,175
2013/10/21,7,41,174
2013/10/22,7,39,174
2013/10/23,7,38,170
2013/10/24,7,39,172
2013/10/25,7,38,169
2013/10/26,7,38,171
2013/10/27,7,39,172
2013/10/28,8,40,174
2013/10/29,8,39,180
2013/10/30,8,38,179
2013/10/31,7,39,180
2013/11/01,8,39,180
2013/11/02,8,39,178
2013/11/03,8,40,180
2013/11/04,8,40,182
2013/11/05,7,39,182
2013/11/06,7,37,178
2013/11/07,6,34,181
2013/11/08,7,33,188
2013/11/09,7,33,189
2013/11/10,7,33,187
2013/11/11,6,33,189
2013/11/12,7,37,192
2013/11/13,7,37,188
2013/11/14,7,38,189
2013/11/15,8,41,187
2013/11/16,8,41,183
2013/11/17,6,42,179
2013/11/18,8,42,175
2013/11/19,8,42,174
2013/11/20,8,44,177
2013/11/21,8,45,184
2013/11/22,8,47,190
2013/11/23,8,46,192
2013/11/24,8,45,191
2013/11/25,8,46,191
2013/11/26,8,46,197
2013/11/27,8,47,199
2013/11/28,8,48,194
2013/11/29,8,48,194
2013/11/30,8,47,193
2013/12/01,8,47,194
2013/12/02,8,47,189
2013/12/03,8,47,186
2013/12/04,8,47,183
2013/12/05,8,48,188
2013/12/06,8,48,191
2013/12/07,8,48,188
2013/12/08,8,48,187
2013/12/09,9,48,182
2013/12/10,9,50,186
2013/12/11,9,50,184
2013/12/12,8,47,182
2013/12/13,8,46,188
2013/12/14,8,45,180
2013/12/15,8,44,181
2013/12/16,8,44,181
2013/12/17,8,44,184
2013/12/18,8,45,182
2013/12/19,8,48,184
2013/12/20,8,48,177
2013/12/21,8,46,173
2013/12/22,8,47,166
2013/12/23,8,49,164
2013/12/24,8,48,162
2013/12/25,7,45,161
2013/12/26,7,46,157
2013/12/27,7,45,155
2013/12/28,7,46,157
2013/12/29,7,48,154
2013/12/30,7,47,152
2013/12/31,7,48,146
2014/01/01,7,45,151
2014/01/02,7,45,152
2014/01/03,7,45,153
2014/01/04,6,43,155
2014/01/05,6,41,155
2014/01/06,6,38,155
2014/01/07,6,39,152
2014/01/08,6,37,152
2014/01/09,6,36,149
2014/01/10,6,36,149
2014/01/11,6,35,149
2014/01/12,6,34,144
2014/01/13,7,33,148
2014/01/14,7,33,151
2014/01/15,7,33,151
2014/01/16,7,38,156
2014/01/17,7,39,160
2014/01/18,7,38,157
2014/01/19,7,37,157
2014/01/20,7,37,159
2014/01/21,6,38,163
2014/01/22,7,39,166
2014/01/23,7,42,178
2014/01/24,7,42,185
2014/01/25,8,45,182
2014/01/26,8,47,188
2014/01/27,8,47,187
2014/01/28,8,48,192
2014/01/29,9,51,191
2014/01/30,9,54,201
2014/01/31,9,56,199
2014/02/01,9,58,202
2014/02/02,9,58,206
2014/02/03,10,59,208
2014/02/04,10,60,215
2014/02/05,10,62,216
2014/02/06,10,62,218
2014/02/07,10,62,217
2014/02/08,10,60,219
2014/02/09,10,60,216
2014/02/10,10,62,216
2014/02/11,10,64,221
2014/02/12,10,63,217
2014/02/13,10,67,224
2014/02/14,10,67,226
2014/02/15,10,66,221
2014/02/16,10,65,224
2014/02/17,10,69,228
2014/02/18,10,69,230
2014/02/19,10,68,224
2014/02/20,11,67,220
2014/02/21,10,65,215
2014/02/22,10,63,206
2014/02/23,9,62,203
2014/02/24,10,61,197
2014/02/25,10,58,196
2014/02/26,10,57,200
2014/02/27,10,54,197
2014/02/28,11,58,201
2014/03/01,11,55,194
2014/03/02,11,54,188
2014/03/03,10,54,192
2014/03/04,11,59,200
2014/03/05,9,59,191
2014/03/06,9,60,189
2014/03/07,9,58,183
2014/03/08,9,58,185
2014/03/09,9,58,184
2014/03/10,9,58,185
2014/03/11,9,58,186
2014/03/12,9,59,184
2014/03/13,9,57,182
2014/03/14,9,58,181
2014/03/15,9,52,173
2014/03/16,9,52,173
2014/03/17,9,52,177
2014/03/18,9,50,175
2014/03/19,9,46,170
2014/03/20,9,46,172
2014/03/21,9,49,174
2014/03/22,9,49,173
2014/03/23,8,49,176
2014/03/24,8,50,176
2014/03/25,8,49,178
2014/03/26,8,48,180
2014/03/27,8,48,179
2014/03/28,8,50,179
2014/03/29,8,51,178
2014/03/30,8,49,177
2014/03/31,8,50,180
2014/04/01,8,50,185
2014/04/02,8,49,185
2014/04/03,7,44,180
2014/04/04,7,42,180
2014/04/05,7,40,181
2014/04/06,7,39,184
2014/04/07,7,37,183
2014/04/08,7,38,184
2014/04/09,7,39,185
2014/04/10,7,41,186
2014/04/11,7,41,182
2014/04/12,6,41,180
2014/04/13,7,39,181
2014/04/14,6,39,180
2014/04/15,6,39,179
2014/04/16,6,39,178
2014/04/17,6,38,176
2014/04/18,6,36,172
2014/04/19,6,36,167
2014/04/20,6,35,169
2014/04/21,6,35,169
2014/04/22,6,35,168
2014/04/23,6,34,170
2014/04/24,6,37,168
2014/04/25,6,36,163
2014/04/26,6,35,161
2014/04/27,6,32,157
2014/04/28,6,32,154
2014/04/29,6,34,159
2014/04/30,6,35,161
2014/05/01,6,40,160
2014/05/02,6,41,160
2014/05/03,6,45,160
2014/05/04,6,46,166
2014/05/05,6,44,164
2014/05/06,6,44,162
2014/05/07,6,45,167
2014/05/08,6,50,168
2014/05/09,6,50,167
2014/05/10,6,51,174
2014/05/11,7,51,179
2014/05/12,7,53,183
2014/05/13,7,54,188
2014/05/14,7,57,194
2014/05/15,7,57,193
2014/05/16,7,58,195
2014/05/17,8,58,197
2014/05/18,7,59,199
2014/05/19,7,60,202
2014/05/20,7,61,202
2014/05/21,5,62,204
2014/05/22,5,64,207
2014/05/23,5,65,208
2014/05/24,5,62,208
2014/05/25,5,66,212
2014/05/26,5,66,212
2014/05/27,5,65,211
2014/05/28,5,66,212
2014/05/29,5,65,211
2014/05/30,5,64,210
2014/05/31,5,61,217
2014/06/01,5,60,215
2014/06/02,5,57,211
2014/06/03,4,60,207
2014/06/04,4,59,211
2014/06/05,4,55,214
2014/06/06,6,55,209
2014/06/07,7,54,210
2014/06/08,7,53,209
2014/06/09,7,52,207
2014/06/10,7,52,204
2014/06/11,7,51,202
2014/06/12,7,51,194
2014/06/13,7,51,192
2014/06/14,7,54,195
2014/06/15,7,55,194
2014/06/16,7,53,191
2014/06/17,8,54,193
2014/06/18,8,54,190
2014/06/19,8,53,187
2014/06/20,8,52,184
2014/06/21,8,49,180
2014/06/22,9,47,177
2014/06/23,9,47,173
2014/06/24,8,43,170
2014/06/25,8,43,167
2014/06/26,8,43,167
2014/06/27,8,41,170
2014/06/28,8,40,172
2014/06/29,9,39,170
2014/06/30,9,41,165
2014/07/01,9,40,168
2014/07/02,10,40,167
2014/07/03,11,40,171
2014/07/04,11,40,169
2014/07/05,11,38,164
2014/07/06,11,36,163
2014/07/07,10,35,162
2014/07/08,10,37,167
2014/07/09,12,42,165
2014/07/10,12,41,163
2014/07/11,12,42,162
2014/07/12,12,43,162
2014/07/13,12,42,161
2014/07/14,10,40,161
2014/07/15,10,39,159
2014/07/16,9,40,159
2014/07/17,9,44,163
2014/07/18,9,43,166
2014/07/19,9,44,163
2014/07/20,9,44,162
2014/07/21,10,44,162
2014/07/22,10,42,160
2014/07/23,10,42,158
2014/07/24,10,42,157
2014/07/25,10,44,160
2014/07/26,10,47,163
2014/07/27,11,46,163
2014/07/28,11,46,160
2014/07/29,11,46,163
2014/07/30,10,46,160
2014/07/31,10,45,159
2014/08/01,10,45,159
2014/08/02,11,43,158
2014/08/03,11,42,158
2014/08/04,11,42,159
2014/08/05,11,49,161
2014/08/06,11,50,161
2014/08/07,11,49,158
2014/08/08,10,46,155
2014/08/09,10,47,152
2014/08/10,11,46,149
2014/08/11,11,47,151
2014/08/12,11,45,156
2014/08/13,11,44,152
2014/08/14,10,44,151
2014/08/15,10,42,150
2014/08/16,10,41,149
2014/08/17,10,42,148
2014/08/18,10,43,149
2014/08/19,10,43,154
2014/08/20,10,44,154
2014/08/21,10,44,158
2014/08/22,10,43,161
2014/08/23,11,42,164
2014/08/24,11,42,164
2014/08/25,11,42,162
2014/08/26,11,41,160
2014/08/27,11,41,162
2014/08/28,11,41,162
2014/08/29,10,40,162
2014/08/30,10,39,163
2014/08/31,10,42,166
2014/09/01,9,42,162
2014/09/02,9,42,163
2014/09/03,9,44,165
2014/09/04,9,44,165
2014/09/05,8,43,167
2014/09/06,8,41,169
2014/09/07,8,40,166
2014/09/08,8,42,169
2014/09/09,7,42,175
2014/09/10,7,39,175
2014/09/11,7,39,168
2014/09/12,7,40,172
2014/09/13,6,40,176
2014/09/14,6,40,174
2014/09/15,6,40,177
2014/09/16,6,39,173
2014/09/17,6,40,172
2014/09/18,5,39,171
2014/09/19,6,38,171
2014/09/20,6,36,165
2014/09/21,6,36,166
2014/09/22,6,35,164
2014/09/23,6,35,169
2014/09/24,7,35,163
2014/09/25,6,34,166
2014/09/26,6,35,166
2014/09/27,6,37,166
2014/09/28,6,38,157
2014/09/29,6,39,161
2014/09/30,6,37,159
2014/10/01,6,37,160
2014/10/02,6,37,159
2014/10/03,6,38,159
2014/10/04,8,36,161
2014/10/05,8,35,164
2014/10/06,8,35,168
2014/10/07,9,34,163
2014/10/08,9,34,162
2014/10/09,9,32,156
2014/10/10,9,31,153
2014/10/11,9,31,159
2014/10/12,8,30,161
2014/10/13,8,30,160
2014/10/14,8,32,164
2014/10/15,8,32,167
2014/10/16,9,31,164
2014/10/17,9,31,159
2014/10/18,9,31,160
2014/10/19,9,31,162
2014/10/20,9,33,167
2014/10/21,10,32,169
2014/10/22,10,32,164
2014/10/23,10,35,168
2014/10/24,10,36,167
2014/10/25,11,37,172
2014/10/26,11,38,171
2014/10/27,9,37,178
2014/10/28,9,39,190
2014/10/29,9,40,187
2014/10/30,9,40,185
2014/10/31,9,41,185
2014/11/01,8,41,188
2014/11/02,8,41,187
2014/11/03,8,41,188
2014/11/04,8,41,187
2014/11/05,8,41,183
2014/11/06,8,43,180
2014/11/07,8,42,179
2014/11/08,8,43,180
2014/11/09,8,44,178
2014/11/10,8,43,177
2014/11/11,8,43,175
2014/11/12,7,44,174
2014/11/13,7,43,174
2014/11/14,7,44,169
2014/11/15,8,47,174
2014/11/16,8,48,175
2014/11/17,9,47,175
2014/11/18,10,46,173
2014/11/19,10,46,175
2014/11/20,10,46,175
2014/11/21,10,48,182
2014/11/22,9,44,175
2014/11/23,9,46,173
2014/11/24,9,42,166
2014/11/25,9,43,164
2014/11/26,9,43,157
2014/11/27,9,42,149
2014/11/28,9,40,149
2014/11/29,9,41,144
2014/11/30,8,41,144
2014/12/01,7,38,143
2014/12/02,7,37,139
2014/12/03,7,36,135
2014/12/04,7,38,135
2014/12/05,8,38,138
2014/12/06,8,39,136
2014/12/07,8,38,135
2014/12/08,9,39,133
2014/12/09,9,40,140
2014/12/10,9,41,139
2014/12/11,10,41,137
2014/12/12,10,42,141
2014/12/13,10,42,141
2014/12/14,10,42,141
2014/12/15,9,37,137
2014/12/16,9,36,141
2014/12/17,9,36,141
2014/12/18,10,38,143
2014/12/19,10,38,138
2014/12/20,10,38,135
2014/12/21,10,36,132
2014/12/22,9,35,131
2014/12/23,9,35,129
2014/12/24,9,36,129
2014/12/25,8,36,131
2014/12/26,9,38,133
2014/12/27,9,40,132
2014/12/28,8,37,134
2014/12/29,8,35,138
2014/12/30,8,35,135
2014/12/31,8,36,134
2015/01/01,8,36,130
2015/01/02,8,37,135
2015/01/03,8,39,141
2015/01/04,9,40,140
2015/01/05,9,39,142
2015/01/06,9,40,143
2015/01/07,9,40,149
2015/01/08,9,41,144
2015/01/09,8,42,146
2015/01/10,9,41,148
2015/01/11,9,38,147
2015/01/12,9,39,151
2015/01/13,9,41,152
2015/01/14,9,41,155
2015/01/15,9,41,155
2015/01/16,8,41,151
2015/01/17,9,40,148
2015/01/18,9,41,145
2015/01/19,9,41,147
2015/01/20,9,42,144
2015/01/21,9,46,147
2015/01/22,9,46,152
2015/01/23,10,46,154
2015/01/24,10,48,159
2015/01/25,10,48,161
2015/01/26,10,46,166
2015/01/27,10,46,169
2015/01/28,10,45,172
2015/01/29,10,45,177
2015/01/30,10,46,179
2015/01/31,10,46,178
2015/02/01,10,47,179
2015/02/02,10,47,175
2015/02/03,10,46,173
2015/02/04,10,46,171
2015/02/05,10,46,170
2015/02/06,10,44,170
2015/02/07,10,43,170
2015/02/08,10,42,175
2015/02/09,10,43,175
2015/02/10,9,43,181
2015/02/11,8,41,181
2015/02/12,8,42,185
2015/02/13,8,41,182
2015/02/14,8,42,183
2015/02/15,8,43,181
2015/02/16,8,43,184
2015/02/17,7,41,186
2015/02/18,8,41,196
2015/02/19,7,40,195
2015/02/20,7,37,192
2015/02/21,8,37,191
2015/02/22,8,34,192
2015/02/23,7,31,186
2015/02/24,7,32,184
2015/02/25,7,32,184
2015/02/26,7,33,183
2015/02/27,7,34,176
2015/02/28,8,34,177
2015/03/01,8,32,175
2015/03/02,8,33,180
2015/03/03,8,32,181
2015/03/04,8,35,180
2015/03/05,8,37,184
2015/03/06,8,39,185
2015/03/07,8,37,186
2015/03/08,8,38,184
2015/03/09,8,40,184
2015/03/10,8,39,179
2015/03/11,8,39,177
2015/03/12,8,39,172
2015/03/13,8,40,170
2015/03/14,8,39,169
2015/03/15,7,38,169
2015/03/16,7,38,167
2015/03/17,7,38,167
2015/03/18,7,36,170
2015/03/19,7,37,176
2015/03/20,7,38,175
2015/03/21,7,38,173
2015/03/22,7,37,176
2015/03/23,7,39,184
2015/03/24,7,40,179
2015/03/25,7,42,175
2015/03/26,7,44,178
2015/03/27,7,45,179
2015/03/28,7,45,178
2015/03/29,8,44,178
2015/03/30,7,44,171
2015/03/31,7,46,171
2015/04/01,6,45,166
2015/04/02,6,46,168
2015/04/03,6,44,160
2015/04/04,6,43,158
2015/04/05,6,46,160
2015/04/06,6,46,158
2015/04/07,6,47,162
2015/04/08,6,47,161
2015/04/09,6,46,164
2015/04/10,7,47,171
2015/04/11,7,47,177
2015/04/12,7,48,178
2015/04/13,7,46,175
2015/04/14,7,47,178
2015/04/15,7,47,182
2015/04/16,7,47,184
2015/04/17,7,50,179
2015/04/18,7,51,170
2015/04/19,7,50,173
2015/04/20,8,49,172
2015/04/21,8,49,169
2015/04/22,8,48,170
2015/04/23,8,46,170
2015/04/24,8,45,170
2015/04/25,8,42,164
2015/04/26,8,41,158
2015/04/27,8,41,161
2015/04/28,8,41,160
2015/04/29,8,40,162
2015/04/30,8,39,160
2015/05/01,8,41,162
2015/05/02,8,39,161
2015/05/03,8,38,166
2015/05/04,8,38,168
2015/05/05,9,40,165
2015/05/06,9,39,165
2015/05/07,9,38,164
2015/05/08,9,37,166
2015/05/09,9,39,166
2015/05/10,7,40,159
2015/05/11,7,39,153
2015/05/12,7,38,152
2015/05/13,6,38,154
2015/05/14,5,38,157
2015/05/15,6,38,153
2015/05/16,6,39,151
2015/05/17,6,37,151
2015/05/18,6,35,154
2015/05/19,6,37,151
2015/05/20,5,39,153
2015/05/21,5,39,159
2015/05/22,4,39,156
2015/05/23,4,40,156
2015/05/24,4,37,158
2015/05/25,4,37,161
2015/05/26,4,37,163
2015/05/27,6,35,164
2015/05/28,6,34,167
2015/05/29,5,36,172
2015/05/30,5,37,177
2015/05/31,5,36,175
2015/06/01,6,38,180
2015/06/02,7,38,181
2015/06/03,7,38,180
2015/06/04,7,35,182
2015/06/05,9,33,183
2015/06/06,8,33,184
2015/06/07,8,33,186
2015/06/08,8,31,182
2015/06/09,8,32,179
2015/06/10,8,32,185
2015/06/11,8,30,181
2015/06/12,7,32,178
2015/06/13,7,34,176
2015/06/14,7,36,180
2015/06/15,7,36,179
2015/06/16,7,33,178
2015/06/17,7,35,177
2015/06/18,8,37,179
2015/06/19,8,36,177
2015/06/20,8,35,171
2015/06/21,8,34,171
2015/06/22,8,35,172
2015/06/23,8,36,171
2015/06/24,8,36,166
2015/06/25,8,36,167
2015/06/26,9,34,166
2015/06/27,9,34,164
2015/06/28,9,37,161
2015/06/29,9,36,159
2015/06/30,8,35,161
2015/07/01,8,35,158
2015/07/02,8,35,154
2015/07/03,9,36,151
2015/07/04,10,36,149
2015/07/05,10,38,145
2015/07/06,10,39,143
2015/07/07,10,40,139
2015/07/08,10,40,135
2015/07/09,10,40,140
2015/07/10,11,39,141
2015/07/11,11,39,139
2015/07/12,11,40,139
2015/07/13,11,38,136
2015/07/14,11,36,132
2015/07/15,10,35,128
2015/07/16,10,36,130
2015/07/17,10,35,127
2015/07/18,10,34,124
2015/07/19,10,34,123
2015/07/20,9,35,130
2015/07/21,9,35,129
2015/07/22,9,35,125
2015/07/23,8,35,122
2015/07/24,8,33,124
2015/07/25,8,32,121
2015/07/26,8,31,118
