date,miwiki (100+),miwiki (5+),miwiki (all)
2012/12/03,2,17,31
2012/12/04,2,17,30
2012/12/05,2,17,32
2012/12/06,2,17,32
2012/12/07,2,17,32
2012/12/08,2,17,34
2012/12/09,2,17,34
2012/12/10,2,17,34
2012/12/11,2,17,34
2012/12/12,2,16,35
2012/12/13,2,16,36
2012/12/14,2,16,36
2012/12/15,2,16,37
2012/12/16,2,16,37
2012/12/17,2,17,37
2012/12/18,2,16,37
2012/12/19,2,16,35
2012/12/20,2,16,35
2012/12/21,2,16,35
2012/12/22,2,16,35
2012/12/23,3,16,36
2012/12/24,2,16,36
2012/12/25,3,16,36
2012/12/26,3,16,37
2012/12/27,3,17,36
2012/12/28,3,17,36
2012/12/29,3,18,36
2012/12/30,4,18,33
2012/12/31,5,18,32
2013/01/01,5,18,33
2013/01/02,5,18,32
2013/01/03,5,18,32
2013/01/04,5,18,30
2013/01/05,5,18,31
2013/01/06,5,17,32
2013/01/07,5,16,31
2013/01/08,5,16,31
2013/01/09,5,16,32
2013/01/10,5,16,32
2013/01/11,5,15,31
2013/01/12,5,15,29
2013/01/13,5,15,29
2013/01/14,5,13,30
2013/01/15,5,13,30
2013/01/16,5,15,31
2013/01/17,5,15,32
2013/01/18,5,16,32
2013/01/19,5,15,32
2013/01/20,5,15,32
2013/01/21,5,15,31
2013/01/22,5,14,30
2013/01/23,5,14,30
2013/01/24,5,14,29
2013/01/25,5,15,29
2013/01/26,5,15,28
2013/01/27,5,15,28
2013/01/28,5,15,28
2013/01/29,5,15,28
2013/01/30,4,15,28
2013/01/31,4,15,28
2013/02/01,4,15,29
2013/02/02,4,15,30
2013/02/03,4,16,32
2013/02/04,4,17,31
2013/02/05,3,16,31
2013/02/06,3,17,32
2013/02/07,3,18,31
2013/02/08,3,17,30
2013/02/09,3,16,30
2013/02/10,3,18,30
2013/02/11,3,19,30
2013/02/12,3,19,29
2013/02/13,3,18,29
2013/02/14,3,18,31
2013/02/15,4,18,32
2013/02/16,5,18,33
2013/02/17,5,19,33
2013/02/18,5,18,32
2013/02/19,5,18,32
2013/02/20,5,18,32
2013/02/21,4,18,32
2013/02/22,4,17,32
2013/02/23,4,17,32
2013/02/24,4,17,32
2013/02/25,4,17,32
2013/02/26,4,18,33
2013/02/27,4,18,33
2013/02/28,4,18,32
2013/03/01,4,17,32
2013/03/02,3,17,33
2013/03/03,3,16,32
2013/03/04,3,16,32
2013/03/05,3,15,31
2013/03/06,3,15,31
2013/03/07,3,15,31
2013/03/08,3,16,31
2013/03/09,3,16,32
2013/03/10,3,16,32
2013/03/11,2,16,32
2013/03/12,3,17,31
2013/03/13,3,14,32
2013/03/14,3,14,31
2013/03/15,3,14,31
2013/03/16,3,14,28
2013/03/17,3,14,26
2013/03/18,3,14,25
2013/03/19,3,14,24
2013/03/20,3,13,24
2013/03/21,3,12,23
2013/03/22,3,12,22
2013/03/23,3,10,22
2013/03/24,3,10,22
2013/03/25,3,10,22
2013/03/26,3,10,21
2013/03/27,3,10,21
2013/03/28,3,10,21
2013/03/29,3,10,21
2013/03/30,3,10,21
2013/03/31,2,11,20
2013/04/01,2,11,21
2013/04/02,2,11,21
2013/04/03,2,8,19
2013/04/04,2,7,17
2013/04/05,2,6,16
2013/04/06,2,6,14
2013/04/07,2,6,13
2013/04/08,2,6,14
2013/04/09,2,6,15
2013/04/10,2,6,15
2013/04/11,1,7,15
2013/04/12,1,7,15
2013/04/13,1,7,16
2013/04/14,,6,15
2013/04/15,1,6,18
2013/04/16,1,6,18
2013/04/17,,6,18
2013/04/18,,7,19
2013/04/19,,7,19
2013/04/20,,7,20
2013/04/21,,7,21
2013/04/22,,7,21
2013/04/23,,6,21
2013/04/24,,6,21
2013/04/25,,6,21
2013/04/26,,6,22
2013/04/27,,6,22
2013/04/28,,6,21
2013/04/29,,6,20
2013/04/30,,5,20
2013/05/01,,6,18
2013/05/02,,6,19
2013/05/03,,5,18
2013/05/04,,5,18
2013/05/05,,5,17
2013/05/06,,5,17
2013/05/07,,5,17
2013/05/08,,4,17
2013/05/09,,4,16
2013/05/10,,4,16
2013/05/11,,4,15
2013/05/12,,4,15
2013/05/13,,3,15
2013/05/14,,2,15
2013/05/15,,2,12
2013/05/16,,2,12
2013/05/17,,2,12
2013/05/18,,1,11
2013/05/19,,1,12
2013/05/20,,1,12
2013/05/21,,1,11
2013/05/22,,1,11
2013/05/23,,1,13
2013/05/24,,1,15
2013/05/25,,1,14
2013/05/26,,1,14
2013/05/27,,1,14
2013/05/28,,1,14
2013/05/29,,1,14
2013/05/30,,,13
2013/05/31,,2,13
2013/06/01,,2,13
2013/06/02,,2,13
2013/06/03,,2,13
2013/06/04,,3,13
2013/06/05,,2,12
2013/06/06,,2,13
2013/06/07,,2,13
2013/06/08,,2,14
2013/06/09,,2,14
2013/06/10,,2,14
2013/06/11,,2,14
2013/06/12,,2,14
2013/06/13,,2,15
2013/06/14,,2,15
2013/06/15,,2,15
2013/06/16,,2,15
2013/06/17,,2,15
2013/06/18,,2,15
2013/06/19,,2,16
2013/06/20,,2,16
2013/06/21,,2,16
2013/06/22,,2,15
2013/06/23,,2,14
2013/06/24,,2,16
2013/06/25,,2,15
2013/06/26,,2,14
2013/06/27,,2,14
2013/06/28,,2,14
2013/06/29,,2,14
2013/06/30,,1,14
2013/07/01,,1,13
2013/07/02,,1,13
2013/07/03,,1,15
2013/07/04,,1,16
2013/07/05,,1,16
2013/07/06,,1,15
2013/07/07,,1,15
2013/07/08,,1,14
2013/07/09,,2,14
2013/07/10,,2,15
2013/07/11,,2,14
2013/07/12,,2,14
2013/07/13,,2,13
2013/07/14,,2,13
2013/07/15,,2,13
2013/07/16,,2,13
2013/07/17,,2,13
2013/07/18,,2,12
2013/07/19,,1,11
2013/07/20,,1,11
2013/07/21,,1,11
2013/07/22,,1,11
2013/07/23,,1,11
2013/07/24,,1,9
2013/07/25,,2,10
2013/07/26,,2,10
2013/07/27,,2,9
2013/07/28,,2,10
2013/07/29,,2,10
2013/07/30,,2,9
2013/07/31,,2,10
2013/08/01,,2,9
2013/08/02,,2,8
2013/08/03,,2,7
2013/08/04,,2,6
2013/08/05,,2,6
2013/08/06,,2,6
2013/08/07,,1,6
2013/08/08,,1,6
2013/08/09,,1,5
2013/08/10,,1,5
2013/08/11,,1,5
2013/08/12,,1,5
2013/08/13,,1,7
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,7
2013/08/17,,1,8
2013/08/18,,1,8
2013/08/19,,1,8
2013/08/20,,1,8
2013/08/21,,1,8
2013/08/22,,1,8
2013/08/23,,1,8
2013/08/24,,,7
2013/08/25,,,7
2013/08/26,,,7
2013/08/27,,,6
2013/08/28,,,6
2013/08/29,,,8
2013/08/30,,1,7
2013/08/31,,1,7
2013/09/01,,1,7
2013/09/02,,1,7
2013/09/03,,1,7
2013/09/04,,1,7
2013/09/05,,1,7
2013/09/06,,1,7
2013/09/07,,1,8
2013/09/08,,1,7
2013/09/09,,1,7
2013/09/10,,1,7
2013/09/11,,1,7
2013/09/12,,1,6
2013/09/13,,1,6
2013/09/14,,1,6
2013/09/15,,1,6
2013/09/16,,1,5
2013/09/17,,1,5
2013/09/18,,1,5
2013/09/19,,1,5
2013/09/20,,1,4
2013/09/21,,1,4
2013/09/22,,1,4
2013/09/23,,1,4
2013/09/24,,1,4
2013/09/25,,1,4
2013/09/26,,1,4
2013/09/27,,,4
2013/09/28,,,3
2013/09/29,,,2
2013/09/30,,,3
2013/10/01,,1,3
2013/10/02,,1,3
2013/10/03,,1,3
2013/10/04,,1,4
2013/10/05,,1,4
2013/10/06,,1,4
2013/10/07,,1,3
2013/10/08,,1,3
2013/10/09,,1,4
2013/10/10,,1,4
2013/10/11,,1,4
2013/10/12,,1,4
2013/10/13,,1,4
2013/10/14,,1,5
2013/10/15,,1,6
2013/10/16,,1,7
2013/10/17,,1,7
2013/10/18,,1,7
2013/10/19,,1,7
2013/10/20,,1,7
2013/10/21,,1,7
2013/10/22,,2,8
2013/10/23,,2,9
2013/10/24,,2,10
2013/10/25,,2,10
2013/10/26,,2,10
2013/10/27,,2,12
2013/10/28,,2,12
2013/10/29,,2,12
2013/10/30,,2,11
2013/10/31,,2,11
2013/11/01,,2,15
2013/11/02,,2,15
2013/11/03,,1,14
2013/11/04,,1,14
2013/11/05,,1,14
2013/11/06,,1,15
2013/11/07,,1,15
2013/11/08,,1,14
2013/11/09,,1,14
2013/11/10,,1,14
2013/11/11,,1,14
2013/11/12,,1,15
2013/11/13,,2,15
2013/11/14,,2,14
2013/11/15,,2,13
2013/11/16,,2,13
2013/11/17,,2,13
2013/11/18,,2,13
2013/11/19,,2,13
2013/11/20,,2,13
2013/11/21,,1,12
2013/11/22,,1,11
2013/11/23,,1,10
2013/11/24,,1,10
2013/11/25,,1,10
2013/11/26,,1,8
2013/11/27,,1,9
2013/11/28,,1,9
2013/11/29,,1,10
2013/11/30,,1,10
2013/12/01,,1,7
2013/12/02,,1,7
2013/12/03,,1,8
2013/12/04,,1,8
2013/12/05,,1,8
2013/12/06,,1,7
2013/12/07,,1,7
2013/12/08,,1,8
2013/12/09,,1,7
2013/12/10,,1,7
2013/12/11,,1,7
2013/12/12,,1,7
2013/12/13,,1,6
2013/12/14,,1,6
2013/12/15,,1,6
2013/12/16,,1,6
2013/12/17,,1,6
2013/12/18,,1,6
2013/12/19,,1,6
2013/12/20,,1,6
2013/12/21,,1,6
2013/12/22,,1,6
2013/12/23,,1,6
2013/12/24,,1,7
2013/12/25,,1,7
2013/12/26,,1,7
2013/12/27,,1,6
2013/12/28,,1,6
2013/12/29,,1,5
2013/12/30,,1,5
2013/12/31,,,5
2014/01/01,,,5
2014/01/02,,,5
2014/01/03,,,5
2014/01/04,,,5
2014/01/05,,,5
2014/01/06,,,5
2014/01/07,,,4
2014/01/08,,,4
2014/01/09,,,4
2014/01/10,,,4
2014/01/11,,,3
2014/01/12,,,3
2014/01/13,,,3
2014/01/14,,,3
2014/01/15,,,4
2014/01/16,,,6
2014/01/17,,,6
2014/01/18,,,6
2014/01/19,,,6
2014/01/20,,,6
2014/01/21,,,6
2014/01/22,,,8
2014/01/23,,,8
2014/01/24,,,8
2014/01/25,,,10
2014/01/26,,,10
2014/01/27,,,10
2014/01/28,,,10
2014/01/29,,,10
2014/01/30,,,11
2014/01/31,,,11
2014/02/01,,,11
2014/02/02,,,11
2014/02/03,,,13
2014/02/04,,,13
2014/02/05,,,13
2014/02/06,,,13
2014/02/07,,,13
2014/02/08,,1,14
2014/02/09,,1,15
2014/02/10,,1,15
2014/02/11,,1,15
2014/02/12,,1,15
2014/02/13,,1,15
2014/02/14,,1,14
2014/02/15,,1,12
2014/02/16,,1,11
2014/02/17,,1,10
2014/02/18,,1,10
2014/02/19,,1,11
2014/02/20,,1,11
2014/02/21,,1,11
2014/02/22,,1,10
2014/02/23,,1,10
2014/02/24,,1,8
2014/02/25,,1,9
2014/02/26,,1,9
2014/02/27,,1,9
2014/02/28,,1,10
2014/03/01,,1,9
2014/03/02,,1,9
2014/03/03,,2,10
2014/03/04,,2,12
2014/03/05,,2,12
2014/03/06,,2,13
2014/03/07,,2,13
2014/03/08,,2,13
2014/03/09,,2,13
2014/03/10,,1,12
2014/03/11,,1,11
2014/03/12,,1,12
2014/03/13,,1,12
2014/03/14,,1,12
2014/03/15,,1,12
2014/03/16,,1,12
2014/03/17,,1,12
2014/03/18,,1,12
2014/03/19,,1,12
2014/03/20,,1,12
2014/03/21,,1,11
2014/03/22,,1,11
2014/03/23,,1,10
2014/03/24,,1,10
2014/03/25,,2,10
2014/03/26,,2,10
2014/03/27,,2,9
2014/03/28,,2,9
2014/03/29,,2,9
2014/03/30,,2,8
2014/03/31,,2,8
2014/04/01,,2,8
2014/04/02,,2,7
2014/04/03,,1,6
2014/04/04,,1,5
2014/04/05,,1,4
2014/04/06,,1,4
2014/04/07,,1,4
2014/04/08,,1,4
2014/04/09,,1,4
2014/04/10,,1,4
2014/04/11,,1,3
2014/04/12,,1,3
2014/04/13,,1,3
2014/04/14,,1,5
2014/04/15,,1,5
2014/04/16,,2,6
2014/04/17,,2,6
2014/04/18,,2,6
2014/04/19,,2,7
2014/04/20,,2,9
2014/04/21,,2,13
2014/04/22,,2,13
2014/04/23,,2,13
2014/04/24,,2,14
2014/04/25,,2,14
2014/04/26,,2,14
2014/04/27,,2,14
2014/04/28,,2,14
2014/04/29,,2,14
2014/04/30,,2,14
2014/05/01,,2,14
2014/05/02,,2,14
2014/05/03,,2,13
2014/05/04,,2,13
2014/05/05,,2,14
2014/05/06,,2,14
2014/05/07,,2,14
2014/05/08,,2,14
2014/05/09,,2,14
2014/05/10,,2,14
2014/05/11,,1,14
2014/05/12,,2,17
2014/05/13,,3,17
2014/05/14,,3,15
2014/05/15,,3,16
2014/05/16,,2,16
2014/05/17,,2,16
2014/05/18,,2,15
2014/05/19,,2,14
2014/05/20,,2,13
2014/05/21,,2,9
2014/05/22,,2,8
2014/05/23,,2,9
2014/05/24,,2,9
2014/05/25,,2,10
2014/05/26,,2,11
2014/05/27,,2,11
2014/05/28,,2,11
2014/05/29,,2,11
2014/05/30,,2,11
2014/05/31,,2,13
2014/06/01,,2,14
2014/06/02,,2,14
2014/06/03,,2,14
2014/06/04,,2,13
2014/06/05,,2,13
2014/06/06,,2,13
2014/06/07,,2,13
2014/06/08,,2,13
2014/06/09,,2,13
2014/06/10,,2,14
