date,eowiki (100+),eowiki (5+),eowiki (all)
2015/07/27,21,94,358
2015/07/28,22,95,358
2015/07/29,22,93,355
2015/07/30,21,91,358
2015/07/31,21,90,357
2015/08/01,20,90,350
2015/08/02,19,93,347
2015/08/03,18,91,351
2015/08/04,17,91,346
2015/08/05,17,97,357
2015/08/06,17,94,359
2015/08/07,16,91,361
2015/08/08,15,92,366
2015/08/09,14,93,361
2015/08/10,14,90,362
2015/08/11,15,91,363
2015/08/12,16,95,358
2015/08/13,15,95,357
2015/08/14,16,97,360
2015/08/15,16,94,356
2015/08/16,17,93,360
2015/08/17,18,89,367
2015/08/18,19,93,367
2015/08/19,19,95,365
2015/08/20,19,97,365
2015/08/21,19,97,373
2015/08/22,19,97,373
2015/08/23,20,97,374
2015/08/24,20,97,371
2015/08/25,20,95,377
2015/08/26,20,98,378
2015/08/27,21,100,377
2015/08/28,21,101,374
2015/08/29,21,100,372
2015/08/30,20,103,379
2015/08/31,21,102,384
2015/09/01,22,101,389
2015/09/02,22,104,388
2015/09/03,22,103,388
2015/09/04,22,105,375
2015/09/05,23,107,382
2015/09/06,23,108,386
2015/09/07,23,105,382
2015/09/08,22,104,381
2015/09/09,23,104,379
2015/09/10,23,102,380
2015/09/11,24,103,384
2015/09/12,24,102,379
2015/09/13,24,99,376
2015/09/14,24,98,374
2015/09/15,24,101,372
2015/09/16,24,100,368
2015/09/17,23,98,366
2015/09/18,23,103,365
2015/09/19,23,101,361
2015/09/20,23,100,358
2015/09/21,22,99,360
2015/09/22,23,99,356
2015/09/23,22,103,362
2015/09/24,22,104,361
2015/09/25,21,106,369
2015/09/26,21,101,370
2015/09/27,20,100,371
2015/09/28,21,102,367
2015/09/29,21,103,358
2015/09/30,20,105,361
2015/10/01,20,105,359
2015/10/02,20,103,355
2015/10/03,20,100,366
2015/10/04,20,98,369
2015/10/05,20,98,368
2015/10/06,18,98,367
2015/10/07,18,100,374
2015/10/08,18,100,373
2015/10/09,18,104,377
2015/10/10,18,104,375
2015/10/11,18,103,372
2015/10/12,18,103,373
2015/10/13,19,106,373
2015/10/14,19,107,368
2015/10/15,19,108,368
2015/10/16,18,108,368
2015/10/17,17,105,371
2015/10/18,17,105,368
2015/10/19,17,105,367
2015/10/20,17,106,366
2015/10/21,19,99,357
2015/10/22,19,98,356
2015/10/23,20,98,351
2015/10/24,21,98,354
2015/10/25,21,98,358
2015/10/26,21,98,355
2015/10/27,21,101,353
2015/10/28,21,100,352
2015/10/29,20,96,349
2015/10/30,20,93,340
2015/10/31,20,95,334
2015/11/01,19,94,331
2015/11/02,19,94,326
2015/11/03,20,93,325
2015/11/04,20,89,320
2015/11/05,20,90,330
2015/11/06,20,89,327
2015/11/07,22,91,326
2015/11/08,22,92,328
2015/11/09,21,95,331
2015/11/10,21,99,332
2015/11/11,20,102,343
2015/11/12,21,107,350
2015/11/13,21,112,359
2015/11/14,21,113,360
2015/11/15,22,117,362
2015/11/16,21,117,362
2015/11/17,21,116,368
2015/11/18,21,117,368
2015/11/19,21,116,362
2015/11/20,21,116,360
2015/11/21,21,112,359
2015/11/22,21,112,359
2015/11/23,20,115,357
2015/11/24,20,120,352
2015/11/25,19,121,350
2015/11/26,18,120,350
2015/11/27,19,120,348
2015/11/28,19,119,350
2015/11/29,19,121,352
2015/11/30,19,122,353
2015/12/01,19,122,353
2015/12/02,19,118,357
2015/12/03,19,120,358
2015/12/04,20,120,361
2015/12/05,20,122,360
2015/12/06,20,121,360
2015/12/07,17,121,356
2015/12/08,16,118,353
2015/12/09,16,119,351
2015/12/10,15,122,348
2015/12/11,15,119,340
2015/12/12,16,117,332
2015/12/13,15,117,335
2015/12/14,14,119,335
2015/12/15,14,119,327
2015/12/16,14,115,326
2015/12/17,15,111,324
2016/01/18,25,114,383
2016/01/19,24,113,381
2016/01/20,25,118,384
2016/01/21,25,116,388
2016/01/22,25,117,394
2016/01/23,26,117,391
2016/01/24,26,113,388
2016/01/25,26,116,391
2016/01/26,26,115,394
2016/01/27,28,112,396
2016/01/28,27,114,397
2016/01/29,26,115,395
2016/01/30,27,114,389
2016/01/31,29,115,388
2016/02/01,29,117,392
2016/02/02,29,119,389
2016/02/03,29,115,388
2016/02/04,29,117,380
2016/02/05,29,113,379
2016/02/06,28,112,381
2016/02/07,28,110,375
2016/02/08,28,110,374
2016/02/09,27,113,374
2016/02/10,28,115,373
2016/02/11,27,111,370
2016/02/12,27,111,372
2016/02/13,27,110,372
2016/02/14,27,109,373
2016/02/15,25,115,371
2016/02/16,24,118,375
2016/02/17,24,116,370
2016/02/18,25,114,369
2016/02/19,26,114,368
2016/02/20,25,115,368
2016/02/21,26,114,364
2016/02/22,24,113,367
2016/02/23,25,113,359
2016/02/24,24,110,351
2016/02/25,23,109,356
2016/02/26,23,111,355
2016/02/27,24,108,365
2016/02/28,24,111,369
2016/02/29,25,114,371
2016/03/01,23,116,377
2016/03/02,23,114,380
2016/03/03,23,112,373
2016/03/04,23,115,376
2016/03/05,23,116,377
2016/03/06,22,115,376
2016/03/07,21,114,374
2016/03/08,21,114,373
2016/03/09,22,112,373
2016/03/10,21,109,369
2016/03/11,20,109,368
2016/03/12,19,110,366
2016/03/13,19,110,373
2016/03/14,19,111,376
2016/03/15,20,110,377
2016/03/16,20,106,377
2016/03/17,20,103,376
2016/03/18,20,105,373
2016/03/19,20,100,370
2016/03/20,20,98,366
2016/03/21,20,96,365
2016/03/22,20,97,359
2016/03/23,18,97,359
2016/03/24,19,97,367
2016/03/25,17,98,370
2016/03/26,17,101,371
2016/03/27,15,99,369
2016/03/28,15,99,364
2016/03/29,15,96,359
2016/03/30,15,98,355
2016/03/31,15,97,356
2016/04/01,15,97,349
2016/04/02,16,97,350
2016/04/03,16,97,350
2016/04/04,17,100,351
2016/04/05,17,99,347
2016/04/06,17,98,348
2016/04/07,17,97,342
2016/04/08,16,97,339
2016/04/09,16,96,332
2016/04/10,16,97,333
2016/04/11,16,98,337
2016/04/12,16,98,335
2016/04/13,15,97,328
2016/04/14,15,99,328
2016/04/15,15,101,326
2016/04/16,15,102,326
2016/04/17,15,102,326
2016/04/18,15,103,331
2016/04/19,16,104,334
2016/04/20,17,107,333
2016/04/21,17,105,333
2016/04/22,17,106,333
2016/04/23,18,107,328
2016/04/24,18,108,330
2016/04/25,19,107,334
2016/04/26,20,111,335
2016/04/27,21,109,334
2016/04/28,21,108,336
2016/04/29,21,108,331
2016/04/30,21,104,334
2016/05/01,20,107,339
2016/05/02,20,109,337
2016/05/03,19,110,334
2016/05/04,17,105,334
2016/05/05,17,104,337
2016/05/06,19,103,336
2016/05/07,19,104,333
2016/05/08,20,104,333
2016/05/09,21,101,336
2016/05/10,20,100,338
2016/05/11,19,97,338
2016/05/12,19,97,339
2016/05/13,20,98,343
2016/05/14,20,96,341
2016/05/15,20,96,341
2016/05/16,21,98,336
2016/05/17,22,96,340
2016/05/18,21,92,340
2016/05/19,21,91,343
2016/05/20,21,90,342
2016/05/21,20,90,342
2016/05/22,20,93,343
2016/05/23,20,95,340
2016/05/24,19,94,332
2016/05/25,19,94,340
2016/05/26,18,94,338
2016/05/27,18,98,339
2016/05/28,18,97,340
2016/05/29,18,96,339
2016/05/30,18,96,344
2016/05/31,18,97,347
2016/06/01,18,94,345
2016/06/02,17,97,340
2016/06/03,16,97,337
2016/06/04,17,100,333
2016/06/05,17,97,338
2016/06/06,18,99,344
2016/06/07,18,99,347
2016/06/08,19,100,348
2016/06/09,21,101,345
2016/06/10,21,99,335
2016/06/11,22,100,336
2016/06/12,21,103,342
2016/06/13,20,102,343
2016/06/14,24,106,345
2016/06/15,23,107,350
2016/06/16,22,106,351
2016/06/17,22,106,355
2016/06/18,23,108,356
2016/06/19,21,109,352
2016/06/20,22,109,362
2016/06/21,22,110,364
2016/06/22,24,113,374
2016/06/23,23,112,371
2016/06/24,24,109,355
2016/06/25,24,107,352
2016/06/26,24,113,347
2016/06/27,22,114,351
2016/06/28,22,112,348
2016/06/29,22,112,341
2016/06/30,25,114,341
2016/07/01,25,112,346
2016/07/02,25,107,350
2016/07/03,26,110,351
2016/07/04,26,111,348
2016/07/05,25,112,344
2016/07/06,26,110,342
2016/07/07,25,113,339
2016/07/08,25,114,342
2016/07/09,22,115,343
2016/07/10,21,114,346
2016/07/11,22,116,347
2016/07/12,22,115,345
2016/07/13,22,116,347
2016/07/14,22,114,353
2016/07/15,22,112,351
2016/07/16,24,109,348
2016/07/17,23,110,345
2016/07/18,21,111,348
2016/07/19,23,112,350
2016/07/20,23,106,350
2016/07/21,21,108,358
2016/07/22,19,105,357
2016/07/23,20,108,356
2016/07/24,20,106,357
2016/07/25,20,105,353
2016/07/26,21,104,353
2016/07/27,21,105,352
2016/07/28,21,107,357
2016/07/29,20,104,362
2016/07/30,20,104,358
2016/07/31,20,106,354
2016/08/01,20,109,359
2016/08/02,19,109,358
2016/08/03,19,111,360
2016/08/04,19,109,364
2016/08/05,19,112,369
2016/08/06,19,111,361
2016/08/07,19,112,365
2016/08/08,21,116,363
2016/08/09,21,115,371
2016/08/10,21,116,378
2016/08/11,20,112,372
2016/08/12,20,114,371
2016/08/13,21,114,374
2016/08/14,20,112,375
2016/08/15,20,111,373
2016/08/16,20,111,372
2016/08/17,20,109,374
2016/08/18,20,109,377
2016/08/19,19,112,373
2016/08/20,18,108,368
2016/08/21,18,109,364
2016/08/22,20,111,366
2016/08/23,20,114,371
2016/08/24,20,112,372
2016/08/25,21,114,372
2016/08/26,20,113,379
2016/08/27,21,113,377
2016/08/28,21,111,376
2016/08/29,19,107,371
2016/08/30,20,109,369
2016/08/31,20,106,369
2016/09/01,20,105,366
2016/09/02,21,106,365
2016/09/03,20,108,365
2016/09/04,19,106,362
2016/09/05,20,105,367
