date,lowiki (100+),lowiki (5+),lowiki (all)
2013/04/24,,6,17
2013/04/25,,6,17
2013/04/26,,6,17
2013/04/27,,6,17
2013/04/28,,6,17
2013/04/29,,6,17
2013/04/30,,6,17
2013/05/01,,6,17
2013/05/02,,6,17
2013/05/03,,5,16
2013/05/04,,5,16
2013/05/05,,5,15
2013/05/06,,5,15
2013/05/07,,5,16
2013/05/08,,5,16
2013/05/09,,5,16
2013/05/10,,5,17
2013/05/11,,5,17
2013/05/12,,5,15
2013/05/13,,5,14
2013/05/14,,5,12
2013/05/15,,4,12
2013/05/16,,4,12
2013/05/17,,4,12
2013/05/18,,4,10
2013/05/19,,2,8
2013/05/20,,1,7
2013/05/21,,1,6
2013/05/22,,1,6
2013/05/23,,1,6
2013/05/24,,1,6
2013/05/25,,1,6
2013/05/26,,1,6
2013/05/27,,1,7
2013/05/28,,1,7
2013/05/29,,1,8
2013/05/30,,1,7
2013/05/31,,,7
2013/06/01,,,8
2013/06/02,,,8
2013/06/03,,,8
2013/06/04,,,8
2013/06/05,,,8
2013/06/06,,,8
2013/06/07,,,8
2013/06/08,,,10
2013/06/09,1,2,11
2013/06/10,1,2,11
2013/06/11,1,2,11
2013/06/12,1,2,11
2013/06/13,1,2,11
2013/06/14,1,2,11
2013/06/15,1,2,11
2013/06/16,1,2,11
2013/06/17,1,2,11
2013/06/18,1,2,11
2013/06/19,1,2,12
2013/06/20,1,2,13
2013/06/21,1,2,13
2013/06/22,1,2,14
2013/06/23,1,2,14
2013/06/24,1,2,14
2013/06/25,1,2,14
2013/06/26,1,2,14
2013/06/27,1,2,14
2013/06/28,1,2,13
2013/06/29,1,2,13
2013/06/30,1,2,12
2013/07/01,1,2,11
2013/07/02,1,2,11
2013/07/03,1,2,11
2013/07/04,1,2,12
2013/07/05,1,4,13
2013/07/06,1,5,12
2013/07/07,1,5,12
2013/07/08,1,5,10
2013/07/09,,3,9
2013/07/10,,3,9
2013/07/11,,3,9
2013/07/12,,3,9
2013/07/13,,3,9
2013/07/14,,3,9
2013/07/15,,3,9
2013/07/16,,3,9
2013/07/17,,3,10
2013/07/18,,4,11
2013/07/19,,4,11
2013/07/20,,4,10
2013/07/21,,5,11
2013/07/22,,5,11
2013/07/23,,5,11
2013/07/24,,5,12
2013/07/25,,5,12
2013/07/26,,5,11
2013/07/27,,6,12
2013/07/28,,6,12
2013/07/29,,6,14
2013/07/30,1,6,14
2013/07/31,1,6,15
2013/08/01,1,7,15
2013/08/02,1,7,16
2013/08/03,1,7,17
2013/08/04,1,6,16
2013/08/05,1,5,16
2013/08/06,1,6,16
2013/08/07,1,6,16
2013/08/08,1,6,15
2013/08/09,1,6,15
2013/08/10,1,6,15
2013/08/11,1,7,16
2013/08/12,1,7,16
2013/08/13,1,7,16
2013/08/14,1,7,17
2013/08/15,1,7,17
2013/08/16,2,7,16
2013/08/17,2,6,15
2013/08/18,2,6,15
2013/08/19,2,6,15
2013/08/20,2,6,15
2013/08/21,2,6,15
2013/08/22,2,6,16
2013/08/23,2,6,16
2013/08/24,2,6,17
2013/08/25,2,6,17
2013/08/26,1,5,17
2013/08/27,1,4,16
2013/08/28,1,4,15
2013/08/29,1,4,14
2013/08/30,1,4,14
2013/08/31,1,4,15
2013/09/01,1,4,14
2013/09/02,1,4,12
2013/09/03,1,4,12
2013/09/04,1,4,12
2013/09/05,1,4,12
2013/09/06,1,4,12
2013/09/07,1,4,12
2013/09/08,1,4,12
2013/09/09,1,4,12
2013/09/10,1,4,12
2013/09/11,1,4,11
2013/09/12,1,4,11
2013/09/13,1,4,10
2013/09/14,1,4,10
2013/09/15,1,4,10
2013/09/16,1,4,9
2013/09/17,1,4,9
2013/09/18,1,4,9
2013/09/19,1,4,9
2013/09/20,1,4,9
2013/09/21,1,4,8
2013/09/22,1,4,7
2013/09/23,1,4,6
2013/09/24,1,4,6
2013/09/25,1,4,6
2013/09/26,,4,5
2013/09/27,,4,5
2013/09/28,,4,5
2013/09/29,,4,5
2013/09/30,,4,4
2013/10/01,,4,4
2013/10/02,,3,3
2013/10/03,,2,4
2013/10/04,,2,4
2013/10/05,,2,4
2013/10/06,,2,4
2013/10/07,,2,4
2013/10/08,,2,4
2013/10/09,,2,4
2013/10/10,,2,4
2013/10/11,,1,3
2013/10/12,,1,3
2013/10/13,,1,3
2013/10/14,,1,4
2013/10/15,,1,4
2013/10/16,,1,4
2013/10/17,,1,4
2013/10/18,,1,4
2013/10/19,,1,4
2013/10/20,,1,4
2013/10/21,,1,5
2013/10/22,,1,5
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,6
2013/10/26,,,6
2013/10/27,,,5
2013/10/28,,,5
2013/10/29,,,5
2013/10/30,,,5
2013/10/31,,,5
2013/11/01,,,5
2013/11/02,,,5
2013/11/03,,,5
2013/11/04,,,5
2013/11/05,,,5
2013/11/06,,,5
2013/11/07,,,5
2013/11/08,,,5
2013/11/09,,,6
2013/11/10,,,7
2013/11/11,,,7
2013/11/12,,,7
2013/11/13,,,6
2013/11/14,,,6
2013/11/15,,,6
2013/11/16,,,7
2013/11/17,,,7
2013/11/18,,,6
2013/11/19,,,6
2013/11/20,,,5
2013/11/21,,,5
2013/11/22,,,4
2013/11/23,,,4
2013/11/24,,,5
2013/11/25,,,5
2013/11/26,,,5
2013/11/27,,,6
2013/11/28,,,6
2013/11/29,,,6
2013/11/30,,,7
2013/12/01,,,7
2013/12/02,,,6
2013/12/03,,,10
2013/12/04,,,11
2013/12/05,,,11
2013/12/06,,,11
2013/12/07,,,12
2013/12/08,,,14
2013/12/09,,,14
2013/12/10,,,14
2013/12/11,,1,15
2013/12/12,,1,15
2013/12/13,,1,15
2013/12/14,,1,16
2013/12/15,,1,16
2013/12/16,,1,15
2013/12/17,,1,15
2013/12/18,,1,15
2013/12/19,,1,15
2013/12/20,,1,15
2013/12/21,,1,16
2013/12/22,,2,17
2013/12/23,,2,18
2013/12/24,,2,17
2013/12/25,,2,17
2013/12/26,,2,17
2013/12/27,,2,16
2013/12/28,,2,16
2013/12/29,,2,16
2013/12/30,,2,15
2013/12/31,,2,15
2014/01/01,,2,15
2014/01/02,,2,11
2014/01/03,,2,10
2014/01/04,,2,10
2014/01/05,,2,11
2014/01/06,,2,10
2014/01/07,,2,8
2014/01/08,1,2,7
2014/01/09,1,2,7
2014/01/10,1,2,7
2014/01/11,1,2,7
2014/01/12,1,2,9
2014/01/13,1,2,8
2014/01/14,1,1,7
2014/01/15,1,1,7
2014/01/16,1,1,7
2014/01/17,1,1,7
2014/01/18,1,1,7
2014/01/19,1,1,8
2014/01/20,1,1,7
2014/01/21,1,1,8
2014/01/22,1,2,9
2014/01/23,1,2,10
2014/01/24,1,2,10
2014/01/25,1,3,11
2014/01/26,1,3,11
2014/01/27,1,3,11
2014/01/28,1,3,11
2014/01/29,1,3,11
2014/01/30,1,3,13
2014/01/31,1,4,14
2014/02/01,1,4,14
2014/02/02,1,4,15
2014/02/03,1,4,14
2014/02/04,1,4,13
2014/02/05,,4,13
2014/02/06,,4,13
2014/02/07,,4,13
2014/02/08,,4,13
2014/02/09,,3,13
2014/02/10,,3,13
2014/02/11,,3,12
2014/02/12,,3,12
2014/02/13,,3,12
2014/02/14,,3,12
2014/02/15,,3,11
2014/02/16,,3,13
2014/02/17,,3,14
2014/02/18,,3,13
2014/02/19,,3,14
2014/02/20,,3,14
2014/02/21,,2,12
2014/02/22,,2,11
2014/02/23,,2,12
2014/02/24,,1,11
2014/02/25,,1,11
2014/02/26,,1,13
2014/02/27,,1,14
2014/02/28,,1,15
2014/03/01,,1,15
2014/03/02,,1,14
2014/03/03,,1,14
2014/03/04,,1,14
2014/03/05,,1,13
2014/03/06,,1,13
2014/03/07,,1,13
2014/03/08,,1,14
2014/03/09,,1,15
2014/03/10,,1,15
2014/03/11,,1,14
2014/03/12,,1,14
2014/03/13,,,13
2014/03/14,,,13
2014/03/15,,,13
2014/03/16,,,13
2014/03/17,,,14
2014/03/18,,1,14
2014/03/19,,1,13
2014/03/20,,1,13
2014/03/21,,1,11
2014/03/22,,1,10
2014/03/23,,1,10
2014/03/24,,1,10
2014/03/25,,1,9
2014/03/26,,1,11
2014/03/27,,1,11
2014/03/28,,1,9
2014/03/29,,1,8
2014/03/30,,1,7
2014/03/31,,1,7
2014/04/01,,2,8
2014/04/02,,2,8
2014/04/03,,2,8
2014/04/04,,2,8
2014/04/05,,2,8
2014/04/06,,2,8
2014/04/07,,2,8
2014/04/08,,2,6
2014/04/09,,2,6
2014/04/10,,2,6
2014/04/11,,2,6
2014/04/12,,2,6
2014/04/13,,2,6
2014/04/14,,2,6
2014/04/15,,2,6
2014/04/16,,2,5
2014/04/17,,1,5
2014/04/18,,1,5
2014/04/19,,1,5
2014/04/20,,1,5
2014/04/21,,1,4
2014/04/22,,1,4
2014/04/23,,1,5
2014/04/24,,1,5
2014/04/25,,1,5
2014/04/26,,1,5
2014/04/27,,1,6
2014/04/28,,1,6
2014/04/29,,1,7
2014/04/30,,1,8
2014/05/01,,,8
2014/05/02,,,9
2014/05/03,,,9
2014/05/04,,,9
2014/05/05,,,9
2014/05/06,,,9
2014/05/07,,,8
2014/05/08,,,9
2014/05/09,,,9
2014/05/10,,1,10
2014/05/11,,1,11
2014/05/12,,1,12
2014/05/13,,1,12
2014/05/14,,1,12
2014/05/15,,1,12
2014/05/16,,1,12
2014/05/17,,1,12
2014/05/18,,1,12
2014/05/19,,1,12
2014/05/20,,2,13
2014/05/21,,2,14
2014/05/22,,2,14
2014/05/23,,2,14
2014/05/24,,2,14
2014/05/25,,2,14
2014/05/26,,2,14
2014/05/27,,2,13
2014/05/28,,2,13
2014/05/29,,2,12
2014/05/30,,3,11
2014/05/31,,3,12
2014/06/01,,3,13
2014/06/02,,3,13
2014/06/03,,3,14
2014/06/04,,3,14
2014/06/05,,3,15
2014/06/06,,3,15
2014/06/07,,3,15
2014/06/08,,3,15
2014/06/09,,2,13
2014/06/10,,2,12
2014/06/11,,2,12
2014/06/12,,2,12
2014/06/13,,2,12
2014/06/14,,2,12
2014/06/15,,2,12
2014/06/16,,2,13
2014/06/17,,2,13
2014/06/18,,2,12
2014/06/19,,1,11
2014/06/20,,1,10
2014/06/21,,,10
2014/06/22,,,9
2014/06/23,,,9
2014/06/24,,1,9
2014/06/25,,1,9
2014/06/26,,2,9
2014/06/27,,2,9
2014/06/28,,2,9
2014/06/29,,1,9
2014/06/30,,1,8
2014/07/01,,1,7
2014/07/02,,1,7
2014/07/03,,1,6
2014/07/04,,1,6
2014/07/05,,2,6
2014/07/06,,2,6
2014/07/07,,2,6
2014/07/08,,2,6
2014/07/09,,2,6
2014/07/10,1,2,6
2014/07/11,1,2,7
2014/07/12,1,2,6
2014/07/13,1,2,6
2014/07/14,1,2,6
2014/07/15,1,2,7
2014/07/16,1,2,6
2014/07/17,1,2,6
2014/07/18,1,2,6
2014/07/19,1,2,6
2014/07/20,1,2,6
2014/07/21,1,2,6
2014/07/22,1,2,6
2014/07/23,1,2,6
2014/07/24,1,1,5
2014/07/25,1,1,5
2014/07/26,1,1,4
2014/07/27,1,1,4
2014/07/28,1,1,4
2014/07/29,1,1,4
2014/07/30,1,1,4
2014/07/31,1,1,3
2014/08/01,1,2,4
2014/08/02,1,2,4
2014/08/03,1,2,4
2014/08/04,1,2,4
2014/08/05,1,2,4
2014/08/06,1,2,4
2014/08/07,1,2,4
2014/08/08,1,2,5
2014/08/09,1,3,5
2014/08/10,,3,4
2014/08/11,,3,5
2014/08/12,,3,5
2014/08/13,,3,6
2014/08/14,,3,5
2014/08/15,,3,5
2014/08/16,,3,5
2014/08/17,,3,6
2014/08/18,,3,6
2014/08/19,,3,7
2014/08/20,,3,7
2014/08/21,,3,7
2014/08/22,,3,7
2014/08/23,,3,7
2014/08/24,,4,8
2014/08/25,,4,8
2014/08/26,,4,9
2014/08/27,,4,9
2014/08/28,,4,10
2014/08/29,,4,10
2014/08/30,,5,11
2014/08/31,,4,10
2014/09/01,,4,11
2014/09/02,,4,11
2014/09/03,,4,12
2014/09/04,,4,12
2014/09/05,,4,12
2014/09/06,,5,13
2014/09/07,,4,13
2014/09/08,,4,13
2014/09/09,,4,13
2014/09/10,,4,12
2014/09/11,,4,12
2014/09/12,,4,11
2014/09/13,,4,11
2014/09/14,,4,12
2014/09/15,,4,12
2014/09/16,,3,13
2014/09/17,,3,13
2014/09/18,,3,12
2014/09/19,,3,12
2014/09/20,,3,13
2014/09/21,,2,13
2014/09/22,,2,13
2014/09/23,,2,11
2014/09/24,,2,11
2014/09/25,,1,11
2014/09/26,,1,11
2014/09/27,,1,10
2014/09/28,,1,10
2014/09/29,,1,10
2014/09/30,,1,9
2014/10/01,,1,7
2014/10/02,,1,7
2014/10/03,,1,6
2014/10/04,,1,6
2014/10/05,,1,6
2014/10/06,,,5
2014/10/07,,,5
2014/10/08,,,5
2014/10/09,,,5
2014/10/10,,,5
2014/10/11,,,5
2014/10/12,,,5
2014/10/13,,,5
2014/10/14,,,4
2014/10/15,,,4
2014/10/16,,,4
2014/10/17,,,5
2014/10/18,,,6
2014/10/19,,,6
2014/10/20,,,5
2014/10/21,,,6
2014/10/22,,,6
2014/10/23,,,5
2014/10/24,,,5
2014/10/25,,,5
2014/10/26,,,5
2014/10/27,,,6
2014/10/28,,,6
2014/10/29,,,5
2014/10/30,,,6
2014/10/31,,,6
2014/11/01,,,6
2014/11/02,,,6
2014/11/03,,1,7
2014/11/04,,1,7
2014/11/05,,1,7
2014/11/06,,1,7
2014/11/07,,1,9
2014/11/08,,1,9
2014/11/09,,1,9
2014/11/10,,1,9
2014/11/11,,1,9
2014/11/12,,1,9
2014/11/13,,1,9
2014/11/14,,1,10
2014/11/15,,1,11
2014/11/16,,1,10
2014/11/17,,1,10
2014/11/18,,1,10
2014/11/19,,1,9
2014/11/20,,1,8
2014/11/21,,1,8
2014/11/22,,1,8
2014/11/23,,1,8
2014/11/24,,1,8
2014/11/25,,1,8
2014/11/26,,1,7
2014/11/27,,1,7
2014/11/28,,1,7
2014/11/29,,1,6
2014/11/30,,1,6
2014/12/01,,1,7
