date,guwiki (100+),guwiki (5+),guwiki (all)
2013/01/09,13,55,111
2013/01/10,11,54,111
2013/01/11,11,53,111
2013/01/12,11,52,115
2013/01/13,12,52,116
2013/01/14,12,52,117
2013/01/15,12,51,116
2013/01/16,13,51,110
2013/01/17,13,52,109
2013/01/18,12,48,105
2013/01/19,12,47,103
2013/01/20,11,47,102
2013/01/21,12,46,102
2013/01/22,10,46,103
2013/01/23,10,42,101
2013/01/24,10,41,102
2013/01/25,10,42,103
2013/01/26,11,41,106
2013/01/27,11,42,105
2013/01/28,9,42,104
2013/01/29,9,41,102
2013/01/30,8,41,105
2013/01/31,7,45,107
2013/02/01,7,43,109
2013/02/02,8,43,111
2013/02/03,9,44,111
2013/02/04,9,43,110
2013/02/05,10,41,114
2013/02/06,10,40,113
2013/02/07,10,42,113
2013/02/08,9,40,111
2013/02/09,9,41,111
2013/02/10,9,43,114
2013/02/11,8,45,110
2013/02/12,10,45,110
2013/02/13,10,46,109
2013/02/14,10,46,111
2013/02/15,8,47,112
2013/02/16,10,47,113
2013/02/17,9,48,114
2013/02/18,9,46,113
2013/02/19,10,46,113
2013/02/20,10,46,112
2013/02/21,10,46,111
2013/02/22,10,46,109
2013/02/23,10,46,109
2013/02/24,10,46,109
2013/02/25,10,46,107
2013/02/26,11,46,108
2013/02/27,11,47,105
2013/02/28,11,47,107
2013/03/01,11,44,106
2013/03/02,11,43,103
2013/03/03,11,42,101
2013/03/04,9,42,102
2013/03/05,10,39,100
2013/03/06,10,39,100
2013/03/07,10,41,96
2013/03/08,11,41,97
2013/03/09,11,41,101
2013/03/10,11,41,103
2013/03/11,11,44,104
2013/03/12,12,44,103
2013/03/13,12,44,102
2013/03/14,11,44,101
2013/03/15,11,43,100
2013/03/16,11,43,96
2013/03/17,11,42,94
2013/03/18,9,41,91
2013/03/19,8,41,91
2013/03/20,6,40,89
2013/03/21,6,40,88
2013/03/22,6,39,86
2013/03/23,6,38,85
2013/03/24,6,38,86
2013/03/25,6,37,85
2013/03/26,6,36,83
2013/03/27,5,35,82
2013/03/28,5,35,82
2013/03/29,5,33,82
2013/03/30,5,34,85
2013/03/31,5,32,86
2013/04/01,5,32,86
2013/04/02,5,32,84
2013/04/03,5,30,81
2013/04/04,5,29,78
2013/04/05,5,28,77
2013/04/06,5,26,73
2013/04/07,5,24,68
2013/04/08,5,24,68
2013/04/09,4,25,62
2013/04/10,4,22,59
2013/04/11,2,21,63
2013/04/12,2,21,66
2013/04/13,2,20,67
2013/04/14,2,20,68
2013/04/15,2,18,67
2013/04/16,2,18,67
2013/04/17,2,18,68
2013/04/18,1,18,68
2013/04/19,1,20,70
2013/04/20,1,20,69
2013/04/21,1,20,68
2013/04/22,2,20,68
2013/04/23,2,21,70
2013/04/24,1,21,69
2013/04/25,1,21,69
2013/04/26,1,21,69
2013/04/27,1,21,69
2013/04/28,1,21,69
2013/04/29,1,20,66
2013/04/30,1,19,64
2013/05/01,1,18,63
2013/05/02,1,18,64
2013/05/03,1,16,63
2013/05/04,2,16,63
2013/05/05,2,15,63
2013/05/06,2,13,62
2013/05/07,2,14,64
2013/05/08,2,14,63
2013/05/09,2,13,66
2013/05/10,2,13,65
2013/05/11,2,12,60
2013/05/12,2,12,55
2013/05/13,2,11,56
2013/05/14,2,12,58
2013/05/15,2,13,59
2013/05/16,2,14,59
2013/05/17,2,15,59
2013/05/18,2,16,59
2013/05/19,2,16,55
2013/05/20,2,17,55
2013/05/21,2,17,56
2013/05/22,2,17,58
2013/05/23,2,17,55
2013/05/24,2,17,56
2013/05/25,2,17,56
2013/05/26,2,18,58
2013/05/27,2,17,59
2013/05/28,2,17,60
2013/05/29,3,18,60
2013/05/30,3,19,60
2013/05/31,3,20,59
2013/06/01,3,20,60
2013/06/02,3,18,60
2013/06/03,3,18,62
2013/06/04,3,18,60
2013/06/05,3,18,64
2013/06/06,3,18,61
2013/06/07,3,18,63
2013/06/08,3,19,61
2013/06/09,3,19,61
2013/06/10,3,18,60
2013/06/11,3,18,62
2013/06/12,3,18,65
2013/06/13,3,17,65
2013/06/14,4,17,65
2013/06/15,4,18,66
2013/06/16,3,18,65
2013/06/17,4,16,64
2013/06/18,4,15,66
2013/06/19,4,15,68
2013/06/20,3,15,69
2013/06/21,3,15,69
2013/06/22,3,15,71
2013/06/23,4,15,72
2013/06/24,4,16,70
2013/06/25,4,17,67
2013/06/26,4,16,64
2013/06/27,4,16,62
2013/06/28,4,16,60
2013/06/29,4,16,60
2013/06/30,4,13,57
2013/07/01,4,14,56
2013/07/02,3,15,55
2013/07/03,3,15,55
2013/07/04,3,15,57
2013/07/05,3,14,55
2013/07/06,2,13,55
2013/07/07,2,13,53
2013/07/08,2,12,52
2013/07/09,2,12,49
2013/07/10,2,12,48
2013/07/11,1,11,48
2013/07/12,1,10,45
2013/07/13,1,10,45
2013/07/14,1,10,45
2013/07/15,1,9,44
2013/07/16,1,11,43
2013/07/17,1,11,45
2013/07/18,1,11,46
2013/07/19,1,11,46
2013/07/20,1,11,45
2013/07/21,1,11,44
2013/07/22,2,10,45
2013/07/23,2,11,44
2013/07/24,2,11,44
2013/07/25,2,12,43
2013/07/26,2,12,41
2013/07/27,2,12,42
2013/07/28,2,10,43
2013/07/29,2,10,41
2013/07/30,2,11,43
2013/07/31,2,10,44
2013/08/01,2,13,45
2013/08/02,2,13,43
2013/08/03,2,13,43
2013/08/04,2,13,45
2013/08/05,2,13,45
2013/08/06,2,14,44
2013/08/07,2,14,45
2013/08/08,2,16,49
2013/08/09,2,15,51
2013/08/10,2,17,52
2013/08/11,2,17,52
2013/08/12,2,17,53
2013/08/13,2,17,54
2013/08/14,2,17,53
2013/08/15,2,18,56
2013/08/16,2,18,55
2013/08/17,2,18,56
2013/08/18,2,18,55
2013/08/19,2,18,56
2013/08/20,2,18,57
2013/08/21,2,18,57
2013/08/22,2,18,58
2013/08/23,2,17,57
2013/08/24,2,17,55
2013/08/25,2,17,55
2013/08/26,2,18,55
2013/08/27,2,18,55
2013/08/28,2,18,55
2013/08/29,2,19,55
2013/08/30,2,18,52
2013/08/31,2,18,50
2013/09/01,2,18,50
2013/09/02,2,18,50
2013/09/03,2,16,49
2013/09/04,2,16,52
2013/09/05,2,17,53
2013/09/06,2,17,52
2013/09/07,1,16,51
2013/09/08,1,15,47
2013/09/09,1,15,47
2013/09/10,1,14,46
2013/09/11,1,14,45
2013/09/12,1,14,44
2013/09/13,1,14,45
2013/09/14,1,14,44
2013/09/15,1,13,43
2013/09/16,1,13,45
2013/09/17,1,13,46
2013/09/18,1,13,45
2013/09/19,1,13,44
2013/09/20,2,13,44
2013/09/21,2,14,46
2013/09/22,2,14,46
2013/09/23,2,16,48
2013/09/24,2,15,49
2013/09/25,2,13,49
2013/09/26,2,13,51
2013/09/27,3,13,50
2013/09/28,4,14,50
2013/09/29,4,14,50
2013/09/30,4,16,53
2013/10/01,4,16,54
2013/10/02,4,16,53
2013/10/03,5,16,53
2013/10/04,5,17,52
2013/10/05,5,15,53
2013/10/06,5,16,53
2013/10/07,5,17,53
2013/10/08,5,17,53
2013/10/09,5,17,53
2013/10/10,5,18,55
2013/10/11,5,18,56
2013/10/12,5,18,58
2013/10/13,5,18,60
2013/10/14,6,18,61
2013/10/15,6,18,62
2013/10/16,6,20,60
2013/10/17,6,20,63
2013/10/18,6,21,65
2013/10/19,6,21,67
2013/10/20,5,21,64
2013/10/21,5,21,61
2013/10/22,5,20,63
2013/10/23,5,20,63
2013/10/24,5,19,63
2013/10/25,5,19,62
2013/10/26,5,19,60
2013/10/27,5,19,60
2013/10/28,5,19,61
2013/10/29,5,20,62
2013/10/30,6,19,62
2013/10/31,6,19,59
2013/11/01,7,19,58
2013/11/02,7,19,57
2013/11/03,7,19,56
2013/11/04,7,19,54
2013/11/05,6,20,57
2013/11/06,6,20,56
2013/11/07,6,20,58
2013/11/08,6,19,56
2013/11/09,6,19,55
2013/11/10,6,18,55
2013/11/11,6,18,53
2013/11/12,6,18,50
2013/11/13,6,17,49
2013/11/14,6,17,53
2013/11/15,6,16,51
2013/11/16,6,17,51
2013/11/17,5,16,50
2013/11/18,5,14,48
2013/11/19,5,14,47
2013/11/20,5,14,46
2013/11/21,5,14,46
2013/11/22,5,13,45
2013/11/23,5,13,45
2013/11/24,5,13,45
2013/11/25,5,12,43
2013/11/26,5,11,44
2013/11/27,5,11,43
2013/11/28,5,11,44
2013/11/29,4,12,43
2013/11/30,4,12,43
2013/12/01,4,12,42
2013/12/02,4,12,44
2013/12/03,4,12,44
2013/12/04,4,12,44
2013/12/05,4,12,44
2013/12/06,4,15,45
2013/12/07,4,15,43
2013/12/08,4,16,43
2013/12/09,4,16,46
2013/12/10,4,15,46
2013/12/11,4,14,45
2013/12/12,4,14,46
2013/12/13,4,14,46
2013/12/14,3,13,45
2013/12/15,3,12,44
2013/12/16,3,11,43
2013/12/17,3,10,43
2013/12/18,3,10,44
2013/12/19,3,11,44
2013/12/20,3,11,43
2013/12/21,3,12,44
2013/12/22,3,12,41
2013/12/23,3,12,40
2013/12/24,3,12,41
2013/12/25,3,12,41
2013/12/26,3,12,42
2013/12/27,3,13,42
2013/12/28,3,13,41
2013/12/29,3,12,42
2013/12/30,3,12,42
2013/12/31,3,12,43
2014/01/01,3,12,42
2014/01/02,3,13,41
2014/01/03,3,13,42
2014/01/04,3,14,45
2014/01/05,3,14,44
2014/01/06,3,15,47
2014/01/07,3,14,45
2014/01/08,3,14,42
2014/01/09,3,14,42
2014/01/10,3,13,42
2014/01/11,3,13,41
2014/01/12,3,13,40
2014/01/13,3,14,42
2014/01/14,3,14,41
2014/01/15,3,14,39
2014/01/16,3,14,39
2014/01/17,3,15,39
2014/01/18,3,14,39
2014/01/19,3,14,40
2014/01/20,3,13,39
2014/01/21,3,13,40
2014/01/22,3,13,40
2014/01/23,3,13,39
2014/01/24,3,13,40
2014/01/25,3,11,41
2014/01/26,3,11,40
2014/01/27,3,11,39
2014/01/28,3,12,39
2014/01/29,3,12,39
2014/01/30,3,13,41
2014/01/31,3,13,42
2014/02/01,3,11,45
2014/02/02,3,11,48
2014/02/03,3,11,45
2014/02/04,2,11,44
2014/02/05,2,10,42
2014/02/06,2,11,43
2014/02/07,2,11,43
2014/02/08,2,11,43
2014/02/09,2,11,43
2014/02/10,2,12,43
2014/02/11,2,12,45
2014/02/12,2,11,43
2014/02/13,2,11,44
2014/02/14,2,11,48
2014/02/15,2,12,50
2014/02/16,2,13,50
2014/02/17,2,13,51
2014/02/18,1,12,51
2014/02/19,1,13,53
2014/02/20,1,13,55
2014/02/21,1,13,54
2014/02/22,1,13,51
2014/02/23,1,12,52
2014/02/24,1,10,49
2014/02/25,1,10,49
2014/02/26,1,10,48
2014/02/27,1,10,45
2014/02/28,1,10,46
2014/03/01,2,10,45
2014/03/02,2,10,45
2014/03/03,2,9,41
2014/03/04,2,9,40
2014/03/05,2,9,42
2014/03/06,2,11,44
2014/03/07,2,10,44
2014/03/08,2,10,45
2014/03/09,2,10,47
2014/03/10,2,10,50
2014/03/11,2,10,52
2014/03/12,3,10,52
2014/03/13,3,10,51
