date,zh_classicalwiki (100+),zh_classicalwiki (5+),zh_classicalwiki (all)
2013/02/10,4,34,63
2013/02/11,4,33,60
2013/02/12,4,34,60
2013/02/13,4,34,58
2013/02/14,4,33,58
2013/02/15,4,32,57
2013/02/16,4,30,57
2013/02/17,3,30,54
2013/02/18,4,29,55
2013/02/19,4,28,56
2013/02/20,3,28,57
2013/02/21,3,27,54
2013/02/22,3,27,53
2013/02/23,3,28,56
2013/02/24,4,27,56
2013/02/25,3,28,55
2013/02/26,4,29,58
2013/02/27,4,30,57
2013/02/28,4,30,57
2013/03/01,4,31,59
2013/03/02,3,30,58
2013/03/03,3,30,60
2013/03/04,3,29,61
2013/03/05,4,30,63
2013/03/06,5,30,62
2013/03/07,4,30,60
2013/03/08,4,30,59
2013/03/09,4,28,59
2013/03/10,4,29,59
2013/03/11,3,29,60
2013/03/12,4,28,60
2013/03/13,4,27,60
2013/03/14,3,27,60
2013/03/15,3,26,59
2013/03/16,3,27,59
2013/03/17,3,28,59
2013/03/18,3,27,58
2013/03/19,3,27,58
2013/03/20,3,28,57
2013/03/21,3,27,56
2013/03/22,3,27,55
2013/03/23,3,27,57
2013/03/24,2,26,58
2013/03/25,2,26,56
2013/03/26,2,25,55
2013/03/27,2,24,54
2013/03/28,2,22,53
2013/03/29,3,22,51
2013/03/30,3,21,48
2013/03/31,3,22,47
2013/04/01,3,22,48
2013/04/02,3,22,51
2013/04/03,3,20,52
2013/04/04,3,20,48
2013/04/05,3,19,45
2013/04/06,3,19,42
2013/04/07,3,20,42
2013/04/08,3,20,43
2013/04/09,3,20,41
2013/04/10,3,19,41
2013/04/11,3,19,42
2013/04/12,3,20,42
2013/04/13,3,21,42
2013/04/14,3,21,45
2013/04/15,3,21,47
2013/04/16,3,20,46
2013/04/17,4,20,45
2013/04/18,4,21,46
2013/04/19,4,20,47
2013/04/20,4,20,46
2013/04/21,4,20,47
2013/04/22,4,17,46
2013/04/23,4,17,45
2013/04/24,4,17,46
2013/04/25,4,17,45
2013/04/26,4,16,46
2013/04/27,4,15,44
2013/04/28,4,15,45
2013/04/29,4,15,45
2013/04/30,4,15,48
2013/05/01,4,15,46
2013/05/02,4,15,42
2013/05/03,3,13,39
2013/05/04,2,13,38
2013/05/05,2,12,39
2013/05/06,2,12,38
2013/05/07,2,11,38
2013/05/08,2,11,36
2013/05/09,2,10,36
2013/05/10,2,9,36
2013/05/11,2,9,38
2013/05/12,2,9,39
2013/05/13,2,8,38
2013/05/14,2,8,34
2013/05/15,2,8,33
2013/05/16,2,8,34
2013/05/17,1,7,35
2013/05/18,1,5,32
2013/05/19,1,6,30
2013/05/20,1,6,31
2013/05/21,1,6,32
2013/05/22,1,7,32
2013/05/23,1,7,32
2013/05/24,1,7,30
2013/05/25,1,7,29
2013/05/26,1,7,27
2013/05/27,1,7,26
2013/05/28,1,7,25
2013/05/29,1,7,26
2013/05/30,1,6,23
2013/05/31,1,7,22
2013/06/01,1,8,22
2013/06/02,1,9,24
2013/06/03,1,9,25
2013/06/04,1,9,24
2013/06/05,1,9,24
2013/06/06,1,9,23
2013/06/07,1,9,25
2013/06/08,1,9,26
2013/06/09,1,9,26
2013/06/10,1,9,25
2013/06/11,1,8,26
2013/06/12,1,9,26
2013/06/13,1,9,26
2013/06/14,1,8,25
2013/06/15,1,8,25
2013/06/16,1,7,26
2013/06/17,1,7,27
2013/06/18,1,7,27
2013/06/19,1,7,26
2013/06/20,1,8,24
2013/06/21,1,8,25
2013/06/22,1,8,24
2013/06/23,1,9,26
2013/06/24,1,10,29
2013/06/25,1,10,29
2013/06/26,1,10,29
2013/06/27,1,10,28
2013/06/28,1,9,29
2013/06/29,1,9,29
2013/06/30,1,9,28
2013/07/01,1,8,27
2013/07/02,1,7,27
2013/07/03,1,7,26
2013/07/04,1,8,29
2013/07/05,1,8,30
2013/07/06,1,8,30
2013/07/07,1,7,29
2013/07/08,1,7,29
2013/07/09,,7,30
2013/07/10,,7,30
2013/07/11,,8,29
2013/07/12,1,7,29
2013/07/13,1,7,30
2013/07/14,1,7,30
2013/07/15,1,7,31
2013/07/16,1,7,31
2013/07/17,1,7,30
2013/07/18,1,7,31
2013/07/19,1,7,31
2013/07/20,1,6,33
2013/07/21,1,7,30
2013/07/22,1,7,30
2013/07/23,1,6,29
2013/07/24,1,7,29
2013/07/25,1,7,29
2013/07/26,1,7,30
2013/07/27,1,7,30
2013/07/28,1,7,28
2013/07/29,1,7,29
2013/07/30,1,7,29
2013/07/31,1,7,29
2013/08/01,1,7,29
2013/08/02,1,7,33
2013/08/03,1,7,30
2013/08/04,1,7,31
2013/08/05,1,8,32
2013/08/06,1,8,33
2013/08/07,1,9,35
2013/08/08,1,9,35
2013/08/09,1,9,35
2013/08/10,1,8,37
2013/08/11,1,9,37
2013/08/12,,9,37
2013/08/13,,9,39
2013/08/14,,9,39
2013/08/15,,10,40
2013/08/16,,11,39
2013/08/17,,11,39
2013/08/18,,11,40
2013/08/19,,11,40
2013/08/20,1,10,39
2013/08/21,1,10,41
2013/08/22,1,11,41
2013/08/23,,12,40
2013/08/24,,11,39
2013/08/25,,12,38
2013/08/26,,12,38
2013/08/27,,12,38
2013/08/28,,12,37
2013/08/29,,12,39
2013/08/30,,12,39
2013/08/31,,12,38
2013/09/01,,12,34
2013/09/02,,11,37
2013/09/03,,11,36
2013/09/04,,11,36
2013/09/05,,11,37
2013/09/06,,9,33
2013/09/07,,10,32
2013/09/08,,10,32
2013/09/09,,10,31
2013/09/10,,10,30
2013/09/11,,10,29
2013/09/12,,10,29
2013/09/13,,10,29
2013/09/14,,9,28
2013/09/15,,9,27
2013/09/16,,9,28
2013/09/17,,9,28
2013/09/18,,9,27
2013/09/19,,9,26
2013/09/20,,10,26
2013/09/21,,10,27
2013/09/22,,9,28
2013/09/23,,10,28
2013/09/24,,10,27
2013/09/25,,10,27
2013/09/26,,10,27
2013/09/27,,10,27
2013/09/28,,10,26
2013/09/29,,9,25
2013/09/30,,9,26
2013/10/01,,9,28
2013/10/02,,10,26
2013/10/03,,10,25
2013/10/04,,9,24
2013/10/05,,9,25
2013/10/06,,9,26
2013/10/07,,9,27
2013/10/08,,9,27
2013/10/09,,8,28
2013/10/10,,8,30
2013/10/11,,9,29
2013/10/12,,9,28
2013/10/13,,9,28
2013/10/14,,9,30
2013/10/15,,9,30
2013/10/16,,9,28
2013/10/17,,9,28
2013/10/18,,9,29
2013/10/19,,9,29
2013/10/20,,9,28
2013/10/21,,8,28
2013/10/22,,7,26
2013/10/23,,6,25
2013/10/24,,7,25
2013/10/25,,7,25
2013/10/26,,6,27
2013/10/27,,5,27
2013/10/28,,5,28
2013/10/29,,5,26
2013/10/30,,5,26
2013/10/31,,4,26
2013/11/01,,3,25
2013/11/02,,3,25
2013/11/03,,3,25
2013/11/04,,3,27
2013/11/05,,4,25
2013/11/06,,4,23
2013/11/07,,4,23
2013/11/08,,4,24
2013/11/09,,4,23
2013/11/10,,4,22
2013/11/11,,6,23
2013/11/12,,7,24
2013/11/13,,6,26
2013/11/14,,6,27
2013/11/15,,7,27
2013/11/16,,7,28
2013/11/17,,7,26
2013/11/18,,7,27
2013/11/19,,7,27
2013/11/20,,7,27
2013/11/21,,7,29
2013/11/22,,7,29
2013/11/23,,7,30
2013/11/24,,7,31
2013/11/25,,7,29
2013/11/26,,7,29
2013/11/27,,7,31
2013/11/28,,7,33
2013/11/29,,7,32
2013/11/30,,7,35
2013/12/01,,7,36
2013/12/02,,7,37
2013/12/03,,7,38
2013/12/04,,7,38
2013/12/05,,7,38
2013/12/06,,7,38
2013/12/07,,7,38
2013/12/08,,6,38
2013/12/09,,6,39
2013/12/10,,6,41
2013/12/11,,6,42
2013/12/12,,5,42
2013/12/13,,5,42
2013/12/14,,4,42
2013/12/15,,4,42
2013/12/16,,4,41
2013/12/17,,3,41
2013/12/18,,4,40
2013/12/19,,4,41
2013/12/20,,4,40
2013/12/21,,4,37
2013/12/22,,4,37
2013/12/23,,4,35
2013/12/24,,4,34
2013/12/25,,4,33
2013/12/26,,4,33
2013/12/27,,3,32
2013/12/28,,3,29
2013/12/29,,4,29
2013/12/30,,4,29
2013/12/31,,5,29
2014/01/01,,5,30
2014/01/02,,5,29
2014/01/03,,6,28
2014/01/04,,5,28
2014/01/05,,6,28
2014/01/06,,6,28
2014/01/07,,6,27
2014/01/08,,6,26
2014/01/09,,5,24
2014/01/10,,4,22
2014/01/11,,4,21
2014/01/12,,5,20
2014/01/13,1,6,21
2014/01/14,1,6,21
2014/01/15,1,6,21
2014/01/16,1,6,23
2014/01/17,1,7,22
2014/01/18,1,7,22
2014/01/19,1,7,23
2014/01/20,1,6,24
2014/01/21,1,6,25
2014/01/22,1,6,29
2014/01/23,1,6,31
2014/01/24,1,6,34
2014/01/25,2,6,35
2014/01/26,2,6,35
2014/01/27,2,7,37
2014/01/28,2,7,36
2014/01/29,2,8,36
2014/01/30,2,8,36
2014/01/31,2,8,35
2014/02/01,2,8,35
2014/02/02,2,8,35
2014/02/03,2,8,37
2014/02/04,2,9,37
2014/02/05,2,9,37
2014/02/06,2,9,37
2014/02/07,2,9,37
2014/02/08,2,9,38
2014/02/09,2,11,39
2014/02/10,2,11,40
2014/02/11,1,10,40
2014/02/12,1,10,39
2014/02/13,1,10,40
2014/02/14,1,10,40
2014/02/15,1,10,41
2014/02/16,1,9,40
2014/02/17,1,11,41
2014/02/18,1,11,39
2014/02/19,2,14,40
2014/02/20,2,13,39
2014/02/21,2,13,36
2014/02/22,2,13,35
2014/02/23,2,13,32
2014/02/24,2,13,34
2014/02/25,2,13,34
2014/02/26,2,13,32
2014/02/27,2,13,32
2014/02/28,2,12,32
2014/03/01,2,12,33
2014/03/02,2,12,34
2014/03/03,2,12,35
2014/03/04,2,12,36
2014/03/05,2,11,37
2014/03/06,2,11,35
2014/03/07,1,11,35
2014/03/08,1,11,35
2014/03/09,1,11,36
2014/03/10,1,10,37
2014/03/11,1,9,35
2014/03/12,1,9,34
2014/03/13,1,10,35
2014/03/14,1,11,35
2014/03/15,1,11,35
2014/03/16,1,10,35
2014/03/17,1,10,31
2014/03/18,1,10,31
2014/03/19,1,8,29
2014/03/20,1,8,28
2014/03/21,1,7,27
2014/03/22,1,8,29
2014/03/23,1,8,30
2014/03/24,1,8,32
2014/03/25,1,8,31
2014/03/26,1,7,29
2014/03/27,1,8,31
2014/03/28,1,8,31
2014/03/29,1,8,31
2014/03/30,1,8,30
2014/03/31,1,8,31
2014/04/01,2,8,32
2014/04/02,2,8,31
2014/04/03,1,8,31
2014/04/04,1,6,30
2014/04/05,1,6,31
2014/04/06,1,7,31
2014/04/07,1,8,32
2014/04/08,2,8,32
2014/04/09,2,8,30
2014/04/10,2,8,30
2014/04/11,2,8,30
2014/04/12,2,8,29
2014/04/13,2,8,30
2014/04/14,2,9,31
2014/04/15,2,9,31
2014/04/16,2,8,33
2014/04/17,2,9,34
2014/04/18,2,9,35
2014/04/19,2,9,35
2014/04/20,2,10,39
2014/04/21,2,10,41
2014/04/22,2,12,41
2014/04/23,2,13,40
2014/04/24,2,15,42
2014/04/25,2,15,41
2014/04/26,2,15,41
2014/04/27,2,15,42
2014/04/28,2,15,44
2014/04/29,2,15,44
2014/04/30,3,14,44
2014/05/01,3,15,46
2014/05/02,3,15,45
2014/05/03,3,15,44
2014/05/04,3,15,44
2014/05/05,3,15,44
2014/05/06,3,15,45
2014/05/07,3,15,44
2014/05/08,3,15,44
2014/05/09,3,15,44
2014/05/10,3,15,45
2014/05/11,3,17,46
2014/05/12,3,17,46
2014/05/13,3,16,46
2014/05/14,3,16,47
2014/05/15,3,15,45
2014/05/16,3,14,45
2014/05/17,2,14,46
2014/05/18,2,14,45
2014/05/19,2,14,46
2014/05/20,2,14,44
2014/05/21,2,14,44
2014/05/22,2,14,42
2014/05/23,2,13,41
2014/05/24,2,13,40
2014/05/25,2,15,42
2014/05/26,2,15,40
2014/05/27,1,16,40
2014/05/28,1,15,38
2014/05/29,,15,38
2014/05/30,,15,41
2014/05/31,1,14,38
2014/06/01,1,14,39
2014/06/02,,15,38
2014/06/03,,14,40
2014/06/04,,14,37
2014/06/05,,14,37
2014/06/06,,14,36
2014/06/07,,13,36
2014/06/08,,13,38
2014/06/09,,13,38
2014/06/10,,13,38
2014/06/11,,13,37
2014/06/12,,12,39
2014/06/13,,12,38
2014/06/14,,12,39
2014/06/15,,12,39
2014/06/16,,11,37
2014/06/17,,11,37
2014/06/18,,13,37
2014/06/19,,13,36
2014/06/20,,12,36
2014/06/21,,12,35
2014/06/22,,12,36
2014/06/23,,11,36
2014/06/24,,10,35
2014/06/25,,10,35
2014/06/26,,8,35
2014/06/27,,8,37
2014/06/28,1,8,35
2014/06/29,1,7,32
2014/06/30,1,8,34
2014/07/01,1,8,34
2014/07/02,1,8,35
2014/07/03,1,7,32
2014/07/04,1,9,34
2014/07/05,1,9,34
2014/07/06,2,9,35
2014/07/07,2,9,34
2014/07/08,2,10,32
2014/07/09,2,9,31
2014/07/10,2,9,31
2014/07/11,2,9,31
2014/07/12,2,9,30
2014/07/13,2,9,29
2014/07/14,2,9,30
2014/07/15,2,9,31
2014/07/16,2,9,33
2014/07/17,2,9,35
2014/07/18,2,10,38
2014/07/19,2,10,38
2014/07/20,2,10,38
2014/07/21,2,10,39
2014/07/22,3,10,40
2014/07/23,3,9,40
2014/07/24,3,8,42
2014/07/25,3,8,43
2014/07/26,3,9,44
2014/07/27,3,9,43
2014/07/28,3,10,43
2014/07/29,3,10,42
2014/07/30,3,10,44
2014/07/31,3,10,43
2014/08/01,3,10,42
2014/08/02,3,11,42
2014/08/03,4,10,40
2014/08/04,3,10,40
2014/08/05,3,10,40
2014/08/06,3,10,42
2014/08/07,3,10,41
2014/08/08,3,10,41
2014/08/09,3,11,40
2014/08/10,3,11,40
2014/08/11,3,10,40
2014/08/12,3,11,40
2014/08/13,2,12,40
2014/08/14,2,12,39
2014/08/15,1,12,38
2014/08/16,1,12,37
2014/08/17,1,11,34
2014/08/18,2,10,35
2014/08/19,2,10,33
2014/08/20,2,10,32
2014/08/21,2,9,33
2014/08/22,2,10,36
2014/08/23,2,10,35
2014/08/24,2,10,34
2014/08/25,2,10,31
2014/08/26,2,9,32
2014/08/27,2,9,33
2014/08/28,2,10,34
2014/08/29,2,9,32
2014/08/30,2,9,34
2014/08/31,2,8,34
2014/09/01,2,8,34
2014/09/02,2,8,33
2014/09/03,2,10,36
2014/09/04,2,9,37
2014/09/05,2,9,36
2014/09/06,2,8,36
2014/09/07,2,9,39
2014/09/08,2,9,38
2014/09/09,2,9,39
2014/09/10,2,10,40
2014/09/11,3,9,38
2014/09/12,3,8,37
2014/09/13,3,8,39
2014/09/14,3,8,39
2014/09/15,3,8,41
2014/09/16,3,9,42
2014/09/17,3,9,39
2014/09/18,3,9,40
2014/09/19,3,10,42
2014/09/20,3,10,40
2014/09/21,3,10,41
2014/09/22,3,11,41
2014/09/23,2,12,39
2014/09/24,1,12,38
2014/09/25,1,12,37
2014/09/26,1,12,36
2014/09/27,1,12,32
2014/09/28,1,12,34
2014/09/29,1,12,32
2014/09/30,1,12,33
2014/10/01,1,12,32
2014/10/02,1,12,32
2014/10/03,1,11,31
2014/10/04,1,10,28
2014/10/05,1,10,26
2014/10/06,1,10,26
2014/10/07,1,8,29
2014/10/08,1,9,30
2014/10/09,1,9,29
2014/10/10,1,9,28
2014/10/11,1,9,28
2014/10/12,1,9,27
2014/10/13,1,8,25
2014/10/14,1,8,24
2014/10/15,1,8,22
2014/10/16,1,8,21
2014/10/17,1,8,22
2014/10/18,1,8,21
2014/10/19,1,7,20
2014/10/20,1,5,21
2014/10/21,1,5,19
2014/10/22,,5,20
2014/10/23,1,5,21
2014/10/24,1,5,22
2014/10/25,1,6,23
2014/10/26,1,6,24
2014/10/27,1,5,26
2014/10/28,1,4,23
2014/10/29,1,5,23
2014/10/30,1,5,23
2014/10/31,1,5,23
2014/11/01,1,5,24
2014/11/02,1,5,25
2014/11/03,1,5,27
2014/11/04,1,5,28
2014/11/05,1,5,28
2014/11/06,1,3,27
2014/11/07,1,3,25
2014/11/08,1,3,25
2014/11/09,1,3,28
2014/11/10,1,4,29
2014/11/11,1,4,29
2014/11/12,1,4,29
2014/11/13,1,4,29
2014/11/14,1,5,30
2014/11/15,1,5,32
2014/11/16,1,5,31
2014/11/17,1,5,32
2014/11/18,1,6,33
2014/11/19,1,5,30
2014/11/20,1,5,30
2014/11/21,1,5,30
2014/11/22,1,5,30
2014/11/23,1,4,31
2014/11/24,1,4,30
2014/11/25,1,4,30
2014/11/26,1,4,29
2014/11/27,1,4,29
2014/11/28,1,4,29
2014/11/29,1,5,28
2014/11/30,1,5,29
2014/12/01,1,5,29
2014/12/02,1,5,30
2014/12/03,1,5,30
2014/12/04,1,5,29
2014/12/05,1,6,29
2014/12/06,1,6,29
2014/12/07,2,6,29
2014/12/08,2,8,29
2014/12/09,2,8,27
2014/12/10,2,7,26
2014/12/11,2,8,27
2014/12/12,2,9,27
2014/12/13,2,9,28
2014/12/14,2,7,28
2014/12/15,2,7,28
2014/12/16,2,8,28
2014/12/17,2,8,27
2014/12/18,1,8,27
2014/12/19,1,8,28
2014/12/20,1,9,29
2014/12/21,1,9,31
2014/12/22,1,9,32
2014/12/23,1,9,31
2014/12/24,1,9,33
2014/12/25,1,9,33
2014/12/26,1,9,34
2014/12/27,1,9,35
2014/12/28,1,9,35
2014/12/29,1,11,37
2014/12/30,1,11,36
2014/12/31,1,11,35
2015/01/01,1,11,34
2015/01/02,1,11,34
2015/01/03,1,11,38
2015/01/04,1,10,37
2015/01/05,1,10,38
2015/01/06,1,11,39
2015/01/07,1,10,41
2015/01/08,1,10,41
2015/01/09,1,10,41
2015/01/10,1,8,40
2015/01/11,1,9,42
2015/01/12,1,10,41
2015/01/13,1,10,40
2015/01/14,1,10,39
2015/01/15,1,10,40
2015/01/16,1,10,40
2015/01/17,1,9,41
2015/01/18,,9,40
2015/01/19,,9,39
2015/01/20,,9,39
2015/01/21,,10,41
2015/01/22,,10,42
2015/01/23,,9,41
2015/01/24,,9,43
2015/01/25,,10,41
2015/01/26,,11,42
2015/01/27,,11,43
2015/01/28,,10,42
2015/01/29,,9,44
2015/01/30,,9,46
2015/01/31,,10,47
2015/02/01,,10,48
2015/02/02,,11,45
2015/02/03,,11,47
2015/02/04,,10,45
2015/02/05,,10,46
2015/02/06,,12,49
2015/02/07,,12,50
2015/02/08,,12,48
2015/02/09,,12,49
2015/02/10,,10,49
2015/02/11,,10,47
2015/02/12,,10,47
2015/02/13,,12,49
2015/02/14,,14,50
2015/02/15,,13,46
2015/02/16,,12,44
2015/02/17,,12,47
2015/02/18,,12,47
2015/02/19,,12,48
2015/02/20,,12,47
2015/02/21,,12,47
2015/02/22,,12,47
2015/02/23,,12,47
2015/02/24,,12,46
2015/02/25,,10,45
2015/02/26,,10,45
2015/02/27,,10,44
2015/02/28,,10,42
2015/03/01,,10,40
2015/03/02,,9,40
2015/03/03,,9,40
2015/03/04,,8,38
2015/03/05,,8,37
2015/03/06,,8,36
2015/03/07,,8,36
2015/03/08,,7,35
2015/03/09,,8,35
2015/03/10,,9,35
2015/03/11,,9,36
2015/03/12,,9,35
2015/03/13,,8,35
2015/03/14,,9,37
2015/03/15,,9,38
2015/03/16,,7,36
2015/03/17,,7,37
2015/03/18,,6,39
2015/03/19,,7,38
2015/03/20,,7,37
2015/03/21,,7,35
2015/03/22,,7,35
2015/03/23,,7,36
2015/03/24,,8,35
2015/03/25,,10,38
2015/03/26,,10,38
2015/03/27,,10,38
2015/03/28,,10,37
2015/03/29,,10,39
2015/03/30,,10,39
2015/03/31,,10,39
2015/04/01,,10,40
2015/04/02,,11,41
2015/04/03,,12,43
2015/04/04,,13,44
2015/04/05,,13,46
2015/04/06,,14,45
2015/04/07,,14,45
2015/04/08,,15,45
2015/04/09,1,15,46
2015/04/10,1,14,45
2015/04/11,1,14,45
2015/04/12,1,14,46
2015/04/13,1,13,45
2015/04/14,,12,43
2015/04/15,,11,46
2015/04/16,,11,46
2015/04/17,,12,47
2015/04/18,,11,47
2015/04/19,,12,47
2015/04/20,,12,45
2015/04/21,,12,45
2015/04/22,,12,43
2015/04/23,,12,42
2015/04/24,,11,40
2015/04/25,,11,40
2015/04/26,,10,40
2015/04/27,,9,41
2015/04/28,,9,37
2015/04/29,1,11,40
2015/04/30,1,11,39
2015/05/01,1,10,39
2015/05/02,1,9,38
2015/05/03,1,9,38
2015/05/04,1,10,39
2015/05/05,1,10,36
2015/05/06,1,9,34
2015/05/07,1,9,33
2015/05/08,1,8,32
2015/05/09,1,7,31
2015/05/10,1,6,33
2015/05/11,1,5,36
2015/05/12,1,8,37
2015/05/13,1,8,34
2015/05/14,1,8,35
2015/05/15,1,10,33
2015/05/16,1,10,32
2015/05/17,1,10,30
2015/05/18,1,11,32
2015/05/19,1,10,31
2015/05/20,1,11,33
2015/05/21,1,11,32
2015/05/22,1,11,33
2015/05/23,1,12,33
2015/05/24,1,12,33
2015/05/25,1,12,36
2015/05/26,1,12,37
2015/05/27,1,12,37
2015/05/28,1,12,39
2015/05/29,,10,36
2015/05/30,,10,36
2015/05/31,,9,35
2015/06/01,,9,35
2015/06/02,,10,35
2015/06/03,,10,33
2015/06/04,,11,33
2015/06/05,,11,34
2015/06/06,,11,38
2015/06/07,,11,38
2015/06/08,,11,40
2015/06/09,,12,44
2015/06/10,,14,43
2015/06/11,,13,41
2015/06/12,,13,43
2015/06/13,,12,44
2015/06/14,,10,45
2015/06/15,,11,45
2015/06/16,,11,46
2015/06/17,,9,46
2015/06/18,,9,45
2015/06/19,,9,44
2015/06/20,,9,45
2015/06/21,,11,48
2015/06/22,,10,49
2015/06/23,,10,49
2015/06/24,,10,50
2015/06/25,,11,51
2015/06/26,,11,54
2015/06/27,,14,53
2015/06/28,,15,56
2015/06/29,,15,58
2015/06/30,,16,60
2015/07/01,,16,61
2015/07/02,,15,62
2015/07/03,,14,65
2015/07/04,,15,65
2015/07/05,,15,64
2015/07/06,,15,62
2015/07/07,,16,62
2015/07/08,,14,63
2015/07/09,,14,60
2015/07/10,1,13,58
2015/07/11,,12,57
2015/07/12,,12,53
2015/07/13,,12,52
2015/07/14,,12,52
2015/07/15,,11,52
2015/07/16,,12,51
2015/07/17,,12,51
2015/07/18,,13,53
2015/07/19,,13,53
2015/07/20,,13,52
2015/07/21,,12,51
2015/07/22,,12,50
2015/07/23,,12,52
2015/07/24,,11,48
2015/07/25,,11,49
2015/07/26,,12,45
2015/07/27,,12,44
2015/07/28,,10,40
2015/07/29,,10,41
2015/07/30,,10,40
2015/07/31,1,10,42
2015/08/01,1,10,42
2015/08/02,1,11,39
2015/08/03,1,11,39
2015/08/04,1,13,45
2015/08/05,1,12,44
2015/08/06,1,12,43
2015/08/07,1,10,43
2015/08/08,1,11,45
2015/08/09,1,12,44
2015/08/10,1,12,45
2015/08/11,1,12,45
2015/08/12,1,12,45
2015/08/13,1,12,43
2015/08/14,1,12,43
2015/08/15,1,12,43
2015/08/16,1,13,42
2015/08/17,1,12,41
2015/08/18,1,12,42
2015/08/19,1,11,44
