date,acewiki (100+),acewiki (5+),acewiki (all)
2013/09/06,,4,16
2013/09/07,,4,17
2013/09/08,,4,18
2013/09/09,,3,17
2013/09/10,,3,16
2013/09/11,,3,17
2013/09/12,,3,17
2013/09/13,,3,17
2013/09/14,,2,18
2013/09/15,,3,17
2013/09/16,,3,17
2013/09/17,,3,17
2013/09/18,,3,16
2013/09/19,,3,16
2013/09/20,,3,15
2013/09/21,,3,16
2013/09/22,,3,16
2013/09/23,,3,16
2013/09/24,,4,15
2013/09/25,,4,15
2013/09/26,,4,15
2013/09/27,,4,15
2013/09/28,,4,16
2013/09/29,,4,16
2013/09/30,,4,16
2013/10/01,,4,16
2013/10/02,,4,16
2013/10/03,,4,15
2013/10/04,,4,14
2013/10/05,,4,14
2013/10/06,,4,14
2013/10/07,1,4,14
2013/10/08,1,4,14
2013/10/09,1,4,13
2013/10/10,1,4,14
2013/10/11,1,4,14
2013/10/12,1,5,15
2013/10/13,1,5,15
2013/10/14,1,5,14
2013/10/15,1,4,14
2013/10/16,1,4,14
2013/10/17,1,4,14
2013/10/18,1,4,15
2013/10/19,1,4,14
2013/10/20,1,4,13
2013/10/21,1,4,12
2013/10/22,1,4,12
2013/10/23,1,4,12
2013/10/24,1,4,12
2013/10/25,1,4,12
2013/10/26,1,4,15
2013/10/27,1,4,16
2013/10/28,1,4,15
2013/10/29,1,4,15
2013/10/30,1,4,17
2013/10/31,1,4,17
2013/11/01,1,4,18
2013/11/02,1,4,18
2013/11/03,1,4,19
2013/11/04,1,4,20
2013/11/05,1,4,20
2013/11/06,1,4,19
2013/11/07,1,6,21
2013/11/08,1,7,22
2013/11/09,2,7,21
2013/11/10,2,7,22
2013/11/11,2,7,22
2013/11/12,2,7,22
2013/11/13,2,7,22
2013/11/14,2,7,23
2013/11/15,2,7,23
2013/11/16,2,8,24
2013/11/17,2,8,22
2013/11/18,2,9,23
2013/11/19,2,8,23
2013/11/20,2,8,23
2013/11/21,2,9,24
2013/11/22,2,9,24
2013/11/23,2,9,24
2013/11/24,2,9,25
2013/11/25,2,10,23
2013/11/26,2,10,22
2013/11/27,2,11,23
2013/11/28,2,11,25
2013/11/29,2,11,25
2013/11/30,2,11,26
2013/12/01,2,11,25
2013/12/02,2,12,25
2013/12/03,2,12,25
2013/12/04,2,12,25
2013/12/05,2,12,26
2013/12/06,2,12,28
2013/12/07,2,9,28
2013/12/08,2,8,28
2013/12/09,1,8,29
2013/12/10,1,9,27
2013/12/11,1,9,28
2013/12/12,2,10,28
2013/12/13,2,10,30
2013/12/14,2,10,30
2013/12/15,2,10,30
2013/12/16,2,8,29
2013/12/17,2,8,30
2013/12/18,1,8,28
2013/12/19,1,8,28
2013/12/20,1,8,28
2013/12/21,1,8,28
2013/12/22,1,7,28
2013/12/23,,7,28
2013/12/24,,7,27
2013/12/25,,7,27
2013/12/26,,7,27
2013/12/27,1,7,27
2013/12/28,1,5,27
2013/12/29,1,6,25
2013/12/30,1,6,25
2013/12/31,1,6,25
2014/01/01,1,6,24
2014/01/02,1,6,23
2014/01/03,1,6,23
2014/01/04,1,6,22
