date,cebwiki (100+),cebwiki (5+),cebwiki (all)
2015/08/10,2,14,76
2015/08/11,2,13,77
2015/08/12,2,13,76
2015/08/13,2,12,74
2015/08/14,2,12,76
2015/08/15,2,12,75
2015/08/16,1,12,78
2015/08/17,1,14,79
2015/08/18,1,14,77
2015/08/19,1,16,80
2015/08/20,1,16,80
2015/08/21,1,16,82
2015/08/22,1,17,82
2015/08/23,1,17,82
2015/08/24,2,18,81
2015/08/25,2,19,84
2015/08/26,3,19,87
2015/08/27,3,18,87
2015/08/28,3,18,85
2015/08/29,3,18,84
2015/08/30,3,18,84
2015/08/31,3,18,87
2015/09/01,3,20,86
2015/09/02,3,20,85
2015/09/03,3,20,84
2015/09/04,2,19,80
2015/09/05,2,19,78
2015/09/06,2,19,78
2015/09/07,2,19,78
2015/09/08,2,20,78
2015/09/09,2,21,79
2015/09/10,3,23,79
2015/09/11,3,23,83
2015/09/12,3,22,82
2015/09/13,3,21,80
2015/09/14,3,21,80
2015/09/15,4,21,78
2015/09/16,4,20,77
2015/09/17,4,20,76
2015/09/18,4,20,72
2015/09/19,4,20,72
2015/09/20,4,19,75
2015/09/21,4,17,75
2015/09/22,4,16,74
2015/09/23,4,16,74
2015/09/24,3,16,72
2015/09/25,3,16,71
2015/09/26,3,16,72
2015/09/27,3,15,73
2015/09/28,3,15,71
2015/09/29,3,15,71
2015/09/30,3,15,73
2015/10/01,3,14,72
2015/10/02,3,15,74
2015/10/03,3,15,74
2015/10/04,3,14,74
2015/10/05,3,15,76
2015/10/06,3,14,74
2015/10/07,3,15,75
2015/10/08,3,16,75
2015/10/09,3,16,74
2015/10/10,3,16,73
2015/10/11,3,16,67
2015/10/12,3,15,69
2015/10/13,3,15,68
2015/10/14,2,14,68
2015/10/15,2,14,70
2015/10/16,2,12,71
2015/10/17,2,11,70
2015/10/18,2,12,71
2015/10/19,2,12,70
2015/10/20,2,12,69
2015/10/21,1,12,68
2015/10/22,1,13,68
2015/10/23,2,13,67
2015/10/24,2,13,65
2015/10/25,3,14,64
2015/10/26,3,16,65
2015/10/27,3,19,68
2015/10/28,4,17,71
2015/10/29,4,18,72
2015/10/30,3,19,69
2015/10/31,3,19,69
2015/11/01,3,19,70
2015/11/02,3,18,70
2015/11/03,3,18,72
2015/11/04,3,17,71
2015/11/05,3,17,73
2015/11/06,3,17,71
2015/11/07,3,17,73
2015/11/08,4,16,72
2015/11/09,4,16,75
2015/11/10,4,16,75
2015/11/11,4,16,74
2015/11/12,4,16,75
2015/11/13,4,17,77
2015/11/14,4,18,76
2015/11/15,4,19,77
2015/11/16,4,20,78
2015/11/17,3,20,77
2015/11/18,3,20,79
2015/11/19,3,19,77
2015/11/20,3,19,78
2015/11/21,3,19,78
2015/11/22,3,18,78
2015/11/23,3,18,79
2015/11/24,3,18,81
2015/11/25,3,18,81
2015/11/26,4,18,83
2015/11/27,3,17,82
2015/11/28,3,15,81
2015/11/29,3,14,80
2015/11/30,3,15,84
2015/12/01,3,15,83
2015/12/02,3,16,85
2015/12/03,3,17,85
2015/12/04,3,18,86
2015/12/05,3,18,87
2015/12/06,3,19,87
2015/12/07,3,19,87
2015/12/08,3,19,87
2015/12/09,3,19,86
2015/12/10,3,19,85
2015/12/11,3,17,82
2015/12/12,3,17,83
2015/12/13,3,16,86
2015/12/14,3,16,84
2015/12/15,3,15,87
2015/12/16,3,17,88
2015/12/17,4,18,88
2016/01/18,3,18,79
2016/01/19,3,18,79
2016/01/20,3,16,82
2016/01/21,3,16,83
2016/01/22,3,16,84
2016/01/23,3,16,82
2016/01/24,3,16,82
2016/01/25,3,17,85
2016/01/26,3,19,84
2016/01/27,3,18,86
2016/01/28,3,17,86
2016/01/29,3,17,87
2016/01/30,2,18,84
2016/01/31,2,18,83
2016/02/01,2,18,83
2016/02/02,1,19,85
2016/02/03,1,18,86
2016/02/04,1,19,87
2016/02/05,1,19,90
2016/02/06,1,19,94
2016/02/07,1,18,92
2016/02/08,1,16,93
2016/02/09,1,16,94
2016/02/10,1,16,93
2016/02/11,1,16,94
2016/02/12,1,16,90
2016/02/13,1,16,89
2016/02/14,1,16,90
2016/02/15,1,16,89
2016/02/16,1,15,87
2016/02/17,1,17,88
2016/02/18,1,18,86
2016/02/19,1,17,83
2016/02/20,1,17,81
2016/02/21,1,17,82
2016/02/22,1,17,87
2016/02/23,1,17,87
2016/02/24,1,17,86
2016/02/25,1,17,88
2016/02/26,1,17,87
2016/02/27,1,17,89
2016/02/28,1,17,90
2016/02/29,1,17,91
2016/03/01,1,16,89
2016/03/02,1,16,89
2016/03/03,1,14,87
2016/03/04,1,14,86
2016/03/05,1,14,82
2016/03/06,1,13,77
2016/03/07,1,13,77
2016/03/08,1,13,78
2016/03/09,1,14,81
2016/03/10,1,13,77
2016/03/11,1,13,79
2016/03/12,1,13,80
2016/03/13,1,13,80
2016/03/14,1,13,82
2016/03/15,1,13,82
2016/03/16,1,13,83
2016/03/17,2,13,82
2016/03/18,2,12,80
2016/03/19,2,12,81
2016/03/20,2,12,81
2016/03/21,2,13,83
2016/03/22,2,13,82
2016/03/23,2,13,77
2016/03/24,2,13,80
2016/03/25,2,13,83
2016/03/26,2,13,83
2016/03/27,3,13,85
2016/03/28,3,13,86
2016/03/29,3,13,85
2016/03/30,3,13,86
2016/03/31,3,12,88
2016/04/01,3,12,89
2016/04/02,3,12,86
2016/04/03,3,12,86
2016/04/04,3,13,88
2016/04/05,3,14,91
2016/04/06,3,14,91
2016/04/07,3,15,86
2016/04/08,3,14,83
2016/04/09,3,13,85
2016/04/10,3,13,84
2016/04/11,3,13,83
2016/04/12,3,13,83
2016/04/13,3,13,84
2016/04/14,3,15,91
2016/04/15,4,15,92
2016/04/16,4,15,94
2016/04/17,4,15,94
2016/04/18,4,17,99
2016/04/19,4,17,97
2016/04/20,4,17,94
2016/04/21,4,17,93
2016/04/22,4,16,93
2016/04/23,4,16,92
2016/04/24,4,16,90
2016/04/25,4,16,87
2016/04/26,4,16,88
2016/04/27,3,16,88
2016/04/28,3,15,85
2016/04/29,3,16,83
2016/04/30,3,16,84
2016/05/01,3,16,84
2016/05/02,3,17,86
2016/05/03,3,17,83
2016/05/04,3,17,80
2016/05/05,3,17,79
2016/05/06,3,18,78
2016/05/07,3,18,79
2016/05/08,3,18,80
2016/05/09,3,19,82
2016/05/10,3,19,82
2016/05/11,3,20,85
2016/05/12,3,20,85
2016/05/13,3,20,86
2016/05/14,3,20,87
2016/05/15,2,15,89
2016/05/16,2,15,86
2016/05/17,2,15,87
2016/05/18,1,14,91
2016/05/19,1,13,94
2016/05/20,1,13,94
2016/05/21,1,14,96
2016/05/22,1,14,96
2016/05/23,1,14,96
2016/05/24,1,14,99
2016/05/25,1,14,99
2016/05/26,1,16,99
2016/05/27,1,16,100
2016/05/28,1,17,100
2016/05/29,1,18,101
2016/05/30,1,19,105
2016/05/31,1,19,102
2016/06/01,1,19,100
2016/06/02,1,19,101
2016/06/03,1,19,104
2016/06/04,1,20,104
2016/06/05,1,21,101
2016/06/06,1,21,100
2016/06/07,1,24,99
2016/06/08,1,24,97
2016/06/09,1,24,97
2016/06/10,1,24,95
2016/06/11,1,23,97
2016/06/12,1,23,94
2016/06/13,1,24,96
2016/06/14,1,24,93
2016/06/15,1,23,94
2016/06/16,1,23,94
2016/06/17,1,22,93
2016/06/18,1,22,91
2016/06/19,1,22,94
2016/06/20,1,22,94
2016/06/21,1,23,94
2016/06/22,1,22,96
2016/06/23,1,21,94
2016/06/24,1,20,92
2016/06/25,1,20,91
2016/06/26,1,20,91
2016/06/27,1,20,93
2016/06/28,2,20,91
2016/06/29,2,19,90
2016/06/30,2,19,91
2016/07/01,2,19,96
2016/07/02,2,19,97
2016/07/03,2,19,96
2016/07/04,2,20,94
2016/07/05,2,20,95
2016/07/06,2,20,100
2016/07/07,2,19,96
2016/07/08,2,19,97
2016/07/09,2,19,100
2016/07/10,2,19,99
2016/07/11,2,21,100
2016/07/12,2,22,102
2016/07/13,2,20,101
2016/07/14,2,20,103
2016/07/15,2,20,103
2016/07/16,2,20,103
2016/07/17,2,18,103
2016/07/18,2,18,105
2016/07/19,2,19,105
2016/07/20,2,18,108
2016/07/21,2,18,111
2016/07/22,2,18,110
2016/07/23,2,18,107
2016/07/24,2,19,104
2016/07/25,2,20,104
2016/07/26,2,22,106
2016/07/27,2,23,107
2016/07/28,2,23,107
2016/07/29,2,23,108
2016/07/30,2,23,104
2016/07/31,2,22,102
2016/08/01,2,22,102
2016/08/02,2,20,103
2016/08/03,2,19,102
2016/08/04,2,19,106
2016/08/05,2,20,104
2016/08/06,2,21,104
2016/08/07,2,22,107
2016/08/08,2,25,106
2016/08/09,2,25,109
2016/08/10,2,24,110
2016/08/11,2,24,114
2016/08/12,2,23,116
2016/08/13,2,24,120
2016/08/14,3,25,119
2016/08/15,3,25,115
2016/08/16,3,23,113
2016/08/17,3,23,114
2016/08/18,3,23,113
2016/08/19,3,23,112
2016/08/20,3,23,111
2016/08/21,2,22,113
2016/08/22,2,22,112
2016/08/23,2,23,112
2016/08/24,2,22,112
2016/08/25,2,20,109
2016/08/26,2,20,106
2016/08/27,2,19,106
2016/08/28,2,19,105
2016/08/29,2,19,107
2016/08/30,2,18,109
2016/08/31,2,18,105
2016/09/01,2,18,107
2016/09/02,2,17,106
2016/09/03,2,17,105
2016/09/04,3,18,105
2016/09/05,3,17,109
2016/09/06,3,16,106
2016/09/07,3,16,105
2016/09/08,3,15,102
2016/09/09,3,15,101
2016/09/10,3,16,98
2016/09/11,3,17,100
2016/09/12,2,18,101
2016/09/13,2,17,102
2016/09/14,2,17,106
2016/09/15,2,18,106
2016/09/16,2,18,103
2016/09/17,2,16,101
2016/09/18,2,16,103
2016/09/19,2,15,102
2016/09/20,2,13,104
2016/09/21,2,13,107
2016/09/22,2,13,107
2016/09/23,2,12,107
2016/09/24,2,12,107
2016/09/25,2,12,108
2016/09/26,2,13,109
2016/09/27,2,13,113
2016/09/28,2,13,111
2016/09/29,2,13,112
2016/09/30,2,15,115
2016/10/01,2,15,116
2016/10/02,2,16,115
2016/10/03,2,16,114
2016/10/04,2,16,117
2016/10/05,2,17,116
2016/10/06,2,17,117
2016/10/07,2,17,112
2016/10/08,2,16,112
2016/10/09,2,17,123
2016/10/10,2,17,123
2016/10/11,2,17,123
2016/10/12,2,20,126
2016/10/13,2,19,123
2016/10/14,2,19,118
2016/10/15,2,19,117
2016/10/16,2,19,117
2016/10/17,2,19,119
2016/10/18,2,19,118
2016/10/19,2,19,118
2016/10/20,2,19,118
2016/10/21,2,19,116
2016/10/22,2,17,118
2016/10/23,2,17,117
2016/10/24,2,18,120
2016/10/25,2,17,118
2016/10/26,2,17,115
2016/10/27,2,17,113
2016/10/28,2,17,114
2016/10/29,2,18,115
2016/10/30,2,18,115
2016/10/31,2,17,116
2016/11/01,2,16,115
2016/11/02,2,16,115
2016/11/03,2,17,115
2016/11/04,2,15,113
2016/11/05,2,17,116
2016/11/06,2,18,114
2016/11/07,3,19,116
2016/11/08,3,21,104
2016/11/09,3,20,103
2016/11/10,3,20,102
2016/11/11,3,20,96
2016/11/12,3,19,100
2016/11/13,3,17,99
2016/11/14,2,15,100
2016/11/15,2,16,101
2016/11/16,2,17,99
2016/11/17,2,18,99
2016/11/18,2,19,102
2016/11/19,2,20,102
2016/11/20,2,20,102
2016/11/21,2,20,105
2016/11/22,2,20,102
2016/11/23,2,20,102
2016/11/24,2,19,102
2016/11/25,2,20,101
2016/11/26,2,20,100
2016/11/27,2,19,101
2016/11/28,2,16,99
2016/11/29,2,16,101
2016/11/30,2,19,103
2016/12/01,2,19,105
2016/12/02,2,20,105
2016/12/03,2,20,106
2016/12/04,2,20,107
2016/12/05,2,22,106
2016/12/06,2,22,108
2016/12/07,2,22,108
2016/12/08,2,22,106
2016/12/09,2,22,104
2016/12/10,2,22,102
2016/12/11,2,23,104
2016/12/12,2,23,104
2016/12/13,2,22,105
2016/12/14,2,23,107
2016/12/15,2,22,106
2016/12/16,2,22,110
2016/12/17,2,20,113
2016/12/18,2,20,112
2016/12/19,2,19,109
2016/12/20,2,18,109
2016/12/21,2,17,106
2016/12/22,2,19,112
2016/12/23,2,19,112
2016/12/24,3,19,113
2016/12/25,3,17,112
2016/12/26,3,17,116
2016/12/27,4,18,117
2016/12/28,4,19,120
2016/12/29,4,18,120
2016/12/30,4,19,118
2016/12/31,4,19,116
2017/01/01,4,18,116
2017/01/02,4,19,115
2017/01/03,4,20,114
2017/01/04,4,19,115
2017/01/05,4,19,114
2017/01/06,4,19,114
2017/01/07,4,20,119
