date,orwiki (100+),orwiki (5+),orwiki (all)
2012/11/17,2,30,70
2012/11/18,2,30,70
2012/11/19,2,33,72
2012/11/20,3,33,72
2012/11/21,3,33,71
2012/11/22,3,33,69
2012/11/23,3,34,69
2012/11/24,3,35,72
2012/11/25,3,36,72
2012/11/26,3,36,72
2012/11/27,3,36,68
2012/11/28,3,37,70
2012/11/29,3,38,69
2012/11/30,3,37,67
2012/12/01,4,35,68
2012/12/02,4,36,66
2012/12/03,4,36,65
2012/12/04,4,34,63
2012/12/05,4,34,65
2012/12/06,4,34,64
2012/12/07,4,34,64
2012/12/08,4,32,65
2012/12/09,4,32,64
2012/12/10,5,33,64
2012/12/11,5,32,63
2012/12/12,6,33,63
2012/12/13,6,31,63
2012/12/14,6,31,65
2012/12/15,7,31,67
2012/12/16,7,32,65
2012/12/17,7,31,65
2012/12/18,7,31,64
2012/12/19,6,30,65
2012/12/20,6,30,64
2012/12/21,6,29,63
2012/12/22,6,29,62
2012/12/23,6,29,61
2012/12/24,6,29,59
2012/12/25,7,29,59
2012/12/26,7,28,59
2012/12/27,7,28,60
2012/12/28,7,28,57
2012/12/29,6,29,57
2012/12/30,6,29,58
2012/12/31,6,29,58
2013/01/01,6,29,61
2013/01/02,6,30,62
2013/01/03,7,31,62
2013/01/04,7,31,61
2013/01/05,7,31,61
2013/01/06,7,31,63
2013/01/07,7,30,62
2013/01/08,7,30,62
2013/01/09,7,30,65
2013/01/10,7,29,65
2013/01/11,7,29,66
2013/01/12,6,29,66
2013/01/13,5,28,67
2013/01/14,5,29,67
2013/01/15,5,29,66
2013/01/16,5,28,66
2013/01/17,5,31,67
2013/01/18,6,32,62
2013/01/19,6,33,62
2013/01/20,6,35,62
2013/01/21,6,34,62
2013/01/22,6,33,63
2013/01/23,6,34,63
2013/01/24,6,33,62
2013/01/25,6,33,63
2013/01/26,6,33,62
2013/01/27,6,34,65
2013/01/28,6,34,65
2013/01/29,7,33,64
2013/01/30,7,37,66
2013/01/31,7,37,64
2013/02/01,8,40,63
2013/02/02,8,40,64
2013/02/03,8,41,64
2013/02/04,8,41,64
2013/02/05,8,40,64
2013/02/06,8,40,67
2013/02/07,8,39,66
2013/02/08,8,38,63
2013/02/09,8,39,63
2013/02/10,8,40,62
2013/02/11,8,40,62
2013/02/12,8,40,62
2013/02/13,8,39,61
2013/02/14,8,39,61
2013/02/15,8,37,61
2013/02/16,8,35,63
2013/02/17,8,35,63
2013/02/18,8,35,62
2013/02/19,7,36,62
2013/02/20,7,36,63
2013/02/21,7,36,63
2013/02/22,7,36,61
2013/02/23,7,37,62
2013/02/24,7,37,61
2013/02/25,7,35,61
2013/02/26,8,33,58
2013/02/27,8,33,56
2013/02/28,8,33,57
2013/03/01,8,32,55
2013/03/02,7,32,55
2013/03/03,6,32,54
2013/03/04,5,31,54
2013/03/05,5,31,55
2013/03/06,5,31,55
2013/03/07,5,30,54
2013/03/08,6,30,51
2013/03/09,6,31,48
2013/03/10,6,32,52
2013/03/11,6,31,49
2013/03/12,7,31,50
2013/03/13,7,31,50
2013/03/14,7,30,48
2013/03/15,6,28,44
2013/03/16,5,27,43
2013/03/17,6,27,42
2013/03/18,6,27,43
2013/03/19,6,27,45
2013/03/20,6,27,46
2013/03/21,6,28,46
2013/03/22,6,26,47
2013/03/23,6,26,47
2013/03/24,6,26,47
2013/03/25,6,27,46
2013/03/26,6,26,46
2013/03/27,6,26,47
2013/03/28,6,27,48
2013/03/29,6,27,48
2013/03/30,6,24,47
2013/03/31,6,24,47
2013/04/01,6,23,46
2013/04/02,6,26,49
2013/04/03,6,25,48
2013/04/04,5,25,44
2013/04/05,5,23,45
2013/04/06,5,22,43
2013/04/07,4,22,42
2013/04/08,4,21,43
2013/04/09,4,20,41
2013/04/10,4,20,41
2013/04/11,4,20,42
2013/04/12,4,20,42
2013/04/13,4,20,42
2013/04/14,3,20,44
2013/04/15,3,20,45
2013/04/16,3,20,45
2013/04/17,3,19,45
2013/04/18,4,18,44
2013/04/19,4,18,44
2013/04/20,4,17,44
2013/04/21,4,17,43
2013/04/22,4,17,44
2013/04/23,4,17,45
2013/04/24,4,17,44
2013/04/25,4,18,44
2013/04/26,4,18,44
2013/04/27,4,17,43
2013/04/28,4,17,43
2013/04/29,4,17,44
2013/04/30,4,17,45
2013/05/01,4,17,43
2013/05/02,4,17,38
2013/05/03,4,16,36
2013/05/04,4,16,37
2013/05/05,4,16,34
2013/05/06,3,16,34
2013/05/07,3,16,34
2013/05/08,3,16,33
2013/05/09,3,16,34
2013/05/10,3,17,35
2013/05/11,3,17,34
2013/05/12,5,17,34
2013/05/13,5,17,34
2013/05/14,5,17,32
2013/05/15,5,17,32
2013/05/16,4,17,32
2013/05/17,4,16,30
2013/05/18,4,16,30
2013/05/19,4,16,30
2013/05/20,4,16,30
2013/05/21,4,16,30
2013/05/22,4,16,28
2013/05/23,4,15,28
2013/05/24,4,15,28
2013/05/25,4,15,28
2013/05/26,4,14,26
2013/05/27,3,14,25
2013/05/28,3,14,25
2013/05/29,3,14,25
2013/05/30,3,11,23
2013/05/31,3,12,24
2013/06/01,3,11,24
2013/06/02,3,11,24
2013/06/03,3,11,25
2013/06/04,3,11,25
2013/06/05,3,11,25
2013/06/06,3,11,25
2013/06/07,2,10,25
2013/06/08,2,9,26
2013/06/09,2,9,23
2013/06/10,2,9,22
2013/06/11,2,8,21
2013/06/12,2,8,22
2013/06/13,2,8,22
2013/06/14,2,8,23
2013/06/15,2,7,23
2013/06/16,2,7,23
2013/06/17,2,7,23
2013/06/18,2,7,21
2013/06/19,2,7,23
2013/06/20,2,7,23
2013/06/21,2,7,25
2013/06/22,2,7,26
2013/06/23,2,7,26
2013/06/24,2,6,26
2013/06/25,2,7,26
2013/06/26,2,7,26
2013/06/27,2,7,25
2013/06/28,2,8,25
2013/06/29,2,9,25
2013/06/30,2,8,23
2013/07/01,2,8,22
2013/07/02,2,8,24
2013/07/03,2,8,22
2013/07/04,2,8,26
2013/07/05,2,8,25
2013/07/06,2,8,25
2013/07/07,2,11,28
2013/07/08,2,12,28
2013/07/09,2,14,37
2013/07/10,2,14,37
2013/07/11,2,14,37
2013/07/12,2,15,39
2013/07/13,2,16,40
2013/07/14,2,16,39
2013/07/15,2,17,41
2013/07/16,2,17,40
2013/07/17,2,17,41
2013/07/18,1,17,41
2013/07/19,1,17,40
2013/07/20,2,17,41
2013/07/21,2,17,40
2013/07/22,2,17,39
2013/07/23,2,17,39
2013/07/24,2,17,40
2013/07/25,2,17,41
2013/07/26,2,18,42
2013/07/27,2,18,45
2013/07/28,2,18,50
2013/07/29,2,19,53
2013/07/30,2,19,54
2013/07/31,2,19,56
2013/08/01,2,19,54
2013/08/02,3,19,56
2013/08/03,3,19,53
2013/08/04,3,19,53
2013/08/05,3,18,55
2013/08/06,3,18,52
2013/08/07,3,18,52
2013/08/08,3,15,48
2013/08/09,3,16,49
2013/08/10,3,16,50
2013/08/11,3,15,50
2013/08/12,4,14,49
2013/08/13,4,14,50
2013/08/14,4,13,48
2013/08/15,4,13,48
2013/08/16,4,13,47
2013/08/17,4,13,48
2013/08/18,4,14,48
2013/08/19,4,13,48
2013/08/20,4,12,49
2013/08/21,4,12,49
2013/08/22,4,12,48
2013/08/23,4,12,47
2013/08/24,4,12,46
2013/08/25,3,12,47
2013/08/26,3,12,47
2013/08/27,3,13,44
2013/08/28,3,13,42
2013/08/29,3,13,43
2013/08/30,3,13,40
2013/08/31,3,14,40
2013/09/01,3,14,37
2013/09/02,3,14,36
2013/09/03,3,13,36
2013/09/04,3,13,34
2013/09/05,3,13,34
2013/09/06,3,13,34
2013/09/07,3,13,30
2013/09/08,3,12,29
2013/09/09,3,11,28
2013/09/10,3,10,27
2013/09/11,3,9,27
2013/09/12,3,10,28
2013/09/13,3,10,30
2013/09/14,3,9,30
2013/09/15,2,9,30
2013/09/16,2,9,31
2013/09/17,2,8,29
2013/09/18,2,8,29
2013/09/19,2,8,29
2013/09/20,2,7,29
2013/09/21,2,7,29
2013/09/22,2,7,29
2013/09/23,2,7,29
2013/09/24,2,7,28
2013/09/25,2,8,28
2013/09/26,3,8,25
2013/09/27,3,8,25
2013/09/28,3,9,24
2013/09/29,3,9,25
2013/09/30,3,9,26
2013/10/01,3,12,42
2013/10/02,3,13,43
2013/10/03,3,13,44
2013/10/04,3,13,44
2013/10/05,3,15,46
2013/10/06,3,15,47
2013/10/07,3,15,48
2013/10/08,2,15,48
2013/10/09,2,15,48
2013/10/10,1,15,48
2013/10/11,1,15,48
2013/10/12,1,15,48
2013/10/13,1,14,44
2013/10/14,1,14,43
2013/10/15,1,14,44
2013/10/16,1,15,45
2013/10/17,1,15,45
2013/10/18,1,16,43
2013/10/19,1,16,42
2013/10/20,1,16,42
2013/10/21,1,16,42
2013/10/22,1,16,42
2013/10/23,1,17,41
2013/10/24,1,17,41
2013/10/25,1,16,41
2013/10/26,1,16,41
2013/10/27,1,16,41
2013/10/28,1,16,42
2013/10/29,1,17,43
2013/10/30,1,17,42
2013/10/31,1,13,30
2013/11/01,1,13,30
2013/11/02,1,12,30
2013/11/03,1,12,30
2013/11/04,1,9,30
2013/11/05,1,10,30
2013/11/06,1,10,29
2013/11/07,1,10,27
2013/11/08,1,10,27
2013/11/09,1,10,29
2013/11/10,1,11,29
2013/11/11,1,12,29
2013/11/12,1,13,31
2013/11/13,1,13,30
2013/11/14,1,13,30
2013/11/15,1,12,37
2013/11/16,1,12,38
2013/11/17,1,12,41
2013/11/18,1,12,40
2013/11/19,1,18,52
2013/11/20,1,20,55
2013/11/21,1,21,54
2013/11/22,1,21,55
2013/11/23,1,22,54
2013/11/24,1,22,56
2013/11/25,1,22,56
2013/11/26,1,22,56
2013/11/27,1,20,55
2013/11/28,1,19,54
2013/11/29,1,19,56
2013/11/30,1,19,56
2013/12/01,1,20,56
2013/12/02,1,20,57
2013/12/03,1,20,57
2013/12/04,1,20,56
2013/12/05,1,20,55
2013/12/06,1,20,55
2013/12/07,1,21,56
2013/12/08,1,21,56
2013/12/09,1,21,54
2013/12/10,1,21,54
2013/12/11,1,21,55
2013/12/12,1,21,53
2013/12/13,1,20,54
2013/12/14,1,19,54
2013/12/15,1,18,46
2013/12/16,1,18,46
2013/12/17,1,18,44
2013/12/18,1,17,44
2013/12/19,1,10,41
2013/12/20,1,10,32
2013/12/21,1,11,29
2013/12/22,1,11,28
2013/12/23,2,11,29
2013/12/24,2,11,30
2013/12/25,2,11,31
2013/12/26,2,12,33
2013/12/27,2,12,33
2013/12/28,2,12,33
2013/12/29,2,12,32
2013/12/30,2,13,32
2013/12/31,3,12,29
2014/01/01,3,11,29
2014/01/02,3,11,29
2014/01/03,3,13,30
2014/01/04,3,13,31
2014/01/05,3,13,32
2014/01/06,3,12,32
2014/01/07,3,11,32
2014/01/08,3,11,32
2014/01/09,3,12,33
2014/01/10,3,12,32
2014/01/11,3,21,47
2014/01/12,3,22,44
2014/01/13,3,22,44
2014/01/14,3,22,44
2014/01/15,3,22,44
2014/01/16,3,22,45
2014/01/17,3,22,47
2014/01/18,3,22,47
2014/01/19,3,22,47
2014/01/20,3,22,47
2014/01/21,3,22,49
2014/01/22,3,23,49
2014/01/23,3,23,49
2014/01/24,3,23,50
2014/01/25,3,24,50
2014/01/26,3,23,51
2014/01/27,3,23,52
2014/01/28,3,22,51
2014/01/29,3,23,52
2014/01/30,3,22,52
2014/01/31,3,22,53
2014/02/01,3,23,55
2014/02/02,3,24,54
2014/02/03,2,24,54
2014/02/04,2,24,54
2014/02/05,2,26,54
2014/02/06,2,26,55
2014/02/07,2,26,57
2014/02/08,3,25,57
2014/02/09,3,23,58
2014/02/10,3,16,50
2014/02/11,3,15,57
2014/02/12,3,15,59
2014/02/13,3,16,60
2014/02/14,3,16,59
2014/02/15,3,17,59
2014/02/16,3,17,55
2014/02/17,2,16,54
2014/02/18,2,16,55
2014/02/19,2,17,56
2014/02/20,2,16,55
2014/02/21,2,16,54
2014/02/22,2,16,54
2014/02/23,2,16,53
2014/02/24,2,16,52
2014/02/25,2,16,52
2014/02/26,2,16,51
2014/02/27,2,17,52
2014/02/28,2,16,48
2014/03/01,2,16,48
2014/03/02,2,16,47
2014/03/03,2,16,49
2014/03/04,2,15,47
2014/03/05,2,15,47
2014/03/06,2,14,47
2014/03/07,1,15,46
2014/03/08,1,15,48
2014/03/09,1,17,48
2014/03/10,2,19,49
2014/03/11,2,19,51
2014/03/12,2,19,50
2014/03/13,2,19,45
2014/03/14,2,19,42
2014/03/15,2,18,42
2014/03/16,2,19,42
2014/03/17,2,18,42
2014/03/18,2,18,42
2014/03/19,2,18,42
2014/03/20,2,19,41
2014/03/21,2,19,39
2014/03/22,1,19,39
2014/03/23,1,19,38
2014/03/24,1,19,38
2014/03/25,2,19,38
2014/03/26,2,20,39
2014/03/27,2,20,39
2014/03/28,2,20,40
2014/03/29,2,20,39
2014/03/30,2,20,39
2014/03/31,2,20,38
2014/04/01,2,20,38
2014/04/02,2,20,36
2014/04/03,1,21,37
2014/04/04,1,22,39
2014/04/05,1,22,40
2014/04/06,1,21,40
2014/04/07,1,20,39
2014/04/08,1,20,39
2014/04/09,1,19,38
2014/04/10,1,19,35
2014/04/11,1,18,32
2014/04/12,1,18,32
2014/04/13,1,17,31
2014/04/14,1,17,32
2014/04/15,1,16,32
2014/04/16,3,17,32
2014/04/17,3,17,33
2014/04/18,4,17,35
2014/04/19,4,16,35
2014/04/20,4,17,36
2014/04/21,4,17,35
2014/04/22,4,16,35
2014/04/23,4,17,35
2014/04/24,4,17,35
2014/04/25,3,17,37
2014/04/26,3,17,37
2014/04/27,3,17,37
2014/04/28,3,18,37
2014/04/29,3,18,37
2014/04/30,3,18,36
2014/05/01,3,17,36
2014/05/02,3,17,35
2014/05/03,3,16,35
2014/05/04,3,15,35
2014/05/05,3,15,35
2014/05/06,3,15,36
2014/05/07,5,17,39
2014/05/08,4,16,39
2014/05/09,4,15,39
2014/05/10,4,15,38
2014/05/11,4,15,39
2014/05/12,4,15,40
2014/05/13,4,17,41
2014/05/14,4,15,43
2014/05/15,4,14,42
2014/05/16,3,13,39
2014/05/17,3,12,39
2014/05/18,3,13,38
2014/05/19,3,14,39
2014/05/20,4,14,37
2014/05/21,4,15,36
2014/05/22,4,15,36
2014/05/23,4,15,34
2014/05/24,4,15,35
2014/05/25,4,16,36
2014/05/26,3,16,37
2014/05/27,3,17,37
2014/05/28,3,17,37
2014/05/29,3,16,36
2014/05/30,3,16,37
2014/05/31,2,17,38
2014/06/01,2,17,38
2014/06/02,2,17,37
2014/06/03,2,17,38
2014/06/04,1,17,40
2014/06/05,1,16,41
2014/06/06,1,14,38
2014/06/07,1,14,39
2014/06/08,,14,40
2014/06/09,,14,39
2014/06/10,,14,39
2014/06/11,,14,39
2014/06/12,,13,38
2014/06/13,,12,36
2014/06/14,,13,39
2014/06/15,,13,39
2014/06/16,,13,39
2014/06/17,,13,38
2014/06/18,,13,36
2014/06/19,1,14,37
2014/06/20,1,14,37
2014/06/21,1,13,37
2014/06/22,2,13,37
2014/06/23,2,14,37
2014/06/24,2,13,36
2014/06/25,2,13,36
2014/06/26,2,13,35
2014/06/27,1,13,35
2014/06/28,1,13,35
2014/06/29,1,13,36
2014/06/30,1,13,36
2014/07/01,1,13,37
2014/07/02,1,13,36
2014/07/03,1,13,37
2014/07/04,1,13,34
2014/07/05,1,13,34
2014/07/06,1,14,34
2014/07/07,1,14,33
2014/07/08,1,14,32
2014/07/09,1,14,32
2014/07/10,1,13,31
2014/07/11,2,13,31
2014/07/12,2,14,32
2014/07/13,2,14,32
2014/07/14,2,14,31
2014/07/15,2,14,32
2014/07/16,3,13,32
2014/07/17,3,13,34
2014/07/18,3,13,34
2014/07/19,2,12,34
2014/07/20,2,12,33
2014/07/21,2,12,33
2014/07/22,2,12,33
2014/07/23,2,11,34
2014/07/24,2,11,34
2014/07/25,2,11,34
2014/07/26,2,10,34
2014/07/27,2,10,34
2014/07/28,2,10,34
2014/07/29,2,10,35
2014/07/30,2,10,34
2014/07/31,2,9,32
2014/08/01,2,9,32
2014/08/02,2,9,33
2014/08/03,2,11,35
