date,siwiki (100+),siwiki (5+),siwiki (all)
2013/10/29,4,14,49
2013/10/30,4,14,49
2013/10/31,4,14,51
2013/11/01,4,15,53
2013/11/02,3,15,53
2013/11/03,3,14,54
2013/11/04,3,15,55
2013/11/05,3,14,53
2013/11/06,3,14,49
2013/11/07,3,14,48
2013/11/08,3,15,49
2013/11/09,3,14,48
2013/11/10,3,14,49
2013/11/11,3,13,50
2013/11/12,3,13,49
2013/11/13,3,14,50
2013/11/14,3,14,50
2013/11/15,3,13,50
2013/11/16,3,12,50
2013/11/17,3,12,49
2013/11/18,3,12,48
2013/11/19,3,12,48
2013/11/20,3,12,45
2013/11/21,3,12,44
2013/11/22,3,11,41
2013/11/23,3,11,41
2013/11/24,3,11,42
2013/11/25,3,10,37
2013/11/26,3,10,37
2013/11/27,3,10,35
2013/11/28,3,11,37
2013/11/29,3,11,37
2013/11/30,3,12,34
2013/12/01,3,11,33
2013/12/02,3,11,33
2013/12/03,3,11,32
2013/12/04,3,13,34
2013/12/05,4,13,37
2013/12/06,4,13,38
2013/12/07,4,14,39
2013/12/08,4,15,40
2013/12/09,4,17,43
2013/12/10,4,17,42
2013/12/11,4,17,41
2013/12/12,4,17,42
2013/12/13,4,17,43
2013/12/14,4,16,43
2013/12/15,4,17,42
2013/12/16,4,17,43
2013/12/17,4,17,43
2013/12/18,3,18,43
2013/12/19,3,17,45
2013/12/20,3,17,45
2013/12/21,3,17,46
2013/12/22,3,15,54
2013/12/23,3,16,54
2013/12/24,3,16,54
2013/12/25,3,16,54
2013/12/26,2,16,54
2013/12/27,2,16,54
2013/12/28,2,16,53
2013/12/29,2,15,55
2013/12/30,2,16,57
2013/12/31,2,16,55
2014/01/01,2,16,54
2014/01/02,1,17,56
2014/01/03,2,16,55
2014/01/04,1,14,53
2014/01/05,1,16,53
2014/01/06,1,17,54
2014/01/07,1,18,54
2014/01/08,2,16,51
2014/01/09,2,17,52
2014/01/10,2,17,52
2014/01/11,2,17,51
2014/01/12,2,17,50
2014/01/13,2,17,50
2014/01/14,2,17,52
2014/01/15,2,17,49
2014/01/16,2,16,55
2014/01/17,2,17,59
2014/01/18,2,17,60
2014/01/19,2,18,61
2014/01/20,3,18,61
2014/01/21,3,18,54
2014/01/22,3,18,54
2014/01/23,3,18,54
2014/01/24,3,19,55
2014/01/25,3,20,55
2014/01/26,3,21,58
2014/01/27,3,21,59
2014/01/28,3,23,57
2014/01/29,3,21,54
2014/01/30,3,21,54
2014/01/31,3,21,54
2014/02/01,3,22,55
2014/02/02,3,21,54
2014/02/03,3,21,54
2014/02/04,3,21,53
2014/02/05,3,20,53
2014/02/06,3,18,55
2014/02/07,3,19,56
2014/02/08,3,18,55
2014/02/09,3,19,57
2014/02/10,3,19,58
2014/02/11,3,19,58
2014/02/12,3,19,58
2014/02/13,3,17,56
2014/02/14,3,18,58
2014/02/15,3,19,54
2014/02/16,3,19,54
2014/02/17,3,19,53
2014/02/18,3,18,53
2014/02/19,3,18,53
2014/02/20,3,18,50
2014/02/21,4,18,48
2014/02/22,4,18,49
2014/02/23,4,17,48
2014/02/24,4,15,49
2014/02/25,4,14,47
2014/02/26,4,15,47
2014/02/27,4,14,44
2014/02/28,4,14,46
2014/03/01,4,17,46
2014/03/02,4,17,46
2014/03/03,4,17,47
2014/03/04,4,18,48
2014/03/05,4,18,49
2014/03/06,4,18,52
2014/03/07,4,18,52
2014/03/08,4,20,51
2014/03/09,4,20,51
2014/03/10,4,19,53
2014/03/11,4,18,51
2014/03/12,4,19,52
2014/03/13,4,19,52
2014/03/14,4,19,52
2014/03/15,4,19,52
2014/03/16,4,18,52
2014/03/17,4,17,51
2014/03/18,4,17,51
2014/03/19,4,15,51
2014/03/20,4,15,49
2014/03/21,4,17,50
2014/03/22,4,18,50
2014/03/23,4,17,52
2014/03/24,4,19,53
2014/03/25,4,21,56
2014/03/26,5,21,57
2014/03/27,5,22,61
2014/03/28,5,22,64
2014/03/29,4,25,68
2014/03/30,4,25,73
2014/03/31,4,25,75
2014/04/01,4,30,84
2014/04/02,4,41,92
2014/04/03,4,54,113
2014/04/04,4,62,116
2014/04/05,4,69,121
2014/04/06,4,74,125
2014/04/07,4,78,129
2014/04/08,6,83,135
2014/04/09,9,88,143
2014/04/10,12,95,149
2014/04/11,14,108,161
2014/04/12,21,119,166
2014/04/13,22,119,166
2014/04/14,22,120,169
2014/04/15,22,120,169
2014/04/16,22,120,169
2014/04/17,22,121,168
2014/04/18,22,121,170
2014/04/19,22,123,171
2014/04/20,22,123,173
2014/04/21,22,123,172
2014/04/22,22,123,171
2014/04/23,22,122,173
2014/04/24,22,121,170
2014/04/25,22,121,170
2014/04/26,22,122,169
2014/04/27,22,122,169
2014/04/28,22,123,170
2014/04/29,20,123,172
2014/04/30,20,123,172
2014/05/01,19,123,174
2014/05/02,17,123,174
2014/05/03,16,123,174
2014/05/04,14,123,175
2014/05/05,14,121,173
2014/05/06,13,121,172
2014/05/07,12,119,172
2014/05/08,10,116,172
2014/05/09,8,116,168
2014/05/10,7,109,162
2014/05/11,5,97,151
2014/05/12,3,29,86
2014/05/13,3,24,78
2014/05/14,3,23,74
2014/05/15,4,23,73
2014/05/16,4,22,69
2014/05/17,4,20,68
2014/05/18,4,20,66
2014/05/19,3,19,64
2014/05/20,3,18,61
2014/05/21,3,18,60
2014/05/22,3,19,59
2014/05/23,3,19,55
2014/05/24,3,20,55
2014/05/25,3,20,57
2014/05/26,3,19,58
2014/05/27,3,19,56
2014/05/28,3,19,55
2014/05/29,3,19,52
2014/05/30,3,19,52
2014/05/31,4,19,52
2014/06/01,6,16,50
2014/06/02,6,18,52
2014/06/03,6,18,51
2014/06/04,6,17,53
2014/06/05,6,17,54
2014/06/06,6,17,53
2014/06/07,6,15,50
2014/06/08,6,16,50
2014/06/09,6,17,51
2014/06/10,5,17,50
2014/06/11,5,16,50
2014/06/12,5,16,48
2014/06/13,5,16,48
2014/06/14,5,17,49
2014/06/15,5,17,50
2014/06/16,5,17,49
2014/06/17,5,17,54
2014/06/18,5,18,54
2014/06/19,5,18,56
2014/06/20,5,18,54
2014/06/21,6,17,54
2014/06/22,6,17,56
2014/06/23,6,16,56
2014/06/24,6,16,55
2014/06/25,6,16,58
2014/06/26,6,19,59
2014/06/27,6,21,59
2014/06/28,6,21,60
2014/06/29,6,21,62
2014/06/30,5,21,59
2014/07/01,5,21,61
2014/07/02,5,19,58
2014/07/03,4,20,59
2014/07/04,4,20,55
2014/07/05,3,19,52
2014/07/06,3,19,53
2014/07/07,3,18,53
2014/07/08,3,19,53
2014/07/09,3,18,53
2014/07/10,4,17,52
2014/07/11,3,17,54
2014/07/12,3,17,53
2014/07/13,3,18,56
2014/07/14,3,19,56
2014/07/15,3,18,56
2014/07/16,3,18,56
2014/07/17,3,18,53
2014/07/18,3,18,56
2014/07/19,3,18,55
2014/07/20,2,18,57
2014/07/21,2,17,56
2014/07/22,2,16,54
2014/07/23,2,15,53
2014/07/24,2,15,54
2014/07/25,2,15,52
2014/07/26,2,14,52
2014/07/27,2,12,51
2014/07/28,2,12,51
2014/07/29,2,12,51
2014/07/30,3,12,51
2014/07/31,3,13,49
2014/08/01,3,13,48
2014/08/02,3,13,47
2014/08/03,3,13,47
2014/08/04,3,12,47
2014/08/05,3,12,45
2014/08/06,3,14,44
2014/08/07,3,13,44
2014/08/08,3,12,41
2014/08/09,3,13,41
2014/08/10,2,13,40
2014/08/11,2,13,39
2014/08/12,2,13,38
2014/08/13,2,13,37
2014/08/14,3,13,37
2014/08/15,3,13,39
2014/08/16,3,13,41
2014/08/17,3,13,43
2014/08/18,3,15,46
2014/08/19,3,15,44
2014/08/20,3,17,46
2014/08/21,3,17,47
2014/08/22,3,17,46
2014/08/23,3,17,47
2014/08/24,3,17,49
2014/08/25,3,19,48
2014/08/26,3,20,48
2014/08/27,3,20,48
2014/08/28,3,20,46
2014/08/29,3,20,46
2014/08/30,2,21,47
2014/08/31,2,21,48
2014/09/01,2,20,50
2014/09/02,2,22,52
2014/09/03,2,22,52
2014/09/04,2,22,53
2014/09/05,2,20,52
2014/09/06,3,20,53
2014/09/07,2,20,54
2014/09/08,2,19,54
2014/09/09,2,20,54
2014/09/10,2,21,55
2014/09/11,3,22,55
2014/09/12,3,20,54
2014/09/13,3,20,54
2014/09/14,3,22,54
2014/09/15,3,21,54
2014/09/16,3,22,52
2014/09/17,6,22,51
2014/09/18,6,23,52
2014/09/19,6,22,52
2014/09/20,6,22,52
2014/09/21,6,23,52
2014/09/22,6,23,52
2014/09/23,6,22,50
2014/09/24,6,21,48
2014/09/25,6,21,49
2014/09/26,5,22,50
2014/09/27,5,22,51
2014/09/28,5,23,50
2014/09/29,5,22,51
2014/09/30,5,22,49
2014/10/01,5,22,46
2014/10/02,5,21,47
2014/10/03,5,20,47
2014/10/04,5,20,47
2014/10/05,5,20,48
2014/10/06,5,19,48
2014/10/07,5,19,47
2014/10/08,5,19,47
2014/10/09,5,19,47
2014/10/10,5,18,44
2014/10/11,5,19,44
2014/10/12,5,19,48
2014/10/13,5,21,48
2014/10/14,5,22,46
2014/10/15,4,22,47
2014/10/16,4,20,46
2014/10/17,4,20,45
2014/10/18,4,19,49
2014/10/19,4,19,50
2014/10/20,4,19,49
2014/10/21,5,19,49
2014/10/22,5,20,51
2014/10/23,5,20,51
2014/10/24,5,20,52
2014/10/25,5,19,53
2014/10/26,5,19,54
2014/10/27,4,20,53
2014/10/28,5,19,53
2014/10/29,5,17,53
2014/10/30,5,17,53
2014/10/31,4,17,54
2014/11/01,5,18,55
2014/11/02,4,18,54
2014/11/03,4,18,54
2014/11/04,4,18,52
2014/11/05,4,19,51
2014/11/06,4,19,53
2014/11/07,4,19,52
2014/11/08,4,18,52
2014/11/09,4,18,53
2014/11/10,4,18,54
2014/11/11,4,18,54
2014/11/12,4,17,55
2014/11/13,4,16,54
2014/11/14,4,17,55
2014/11/15,4,17,53
2014/11/16,4,17,55
2014/11/17,4,16,52
2014/11/18,4,15,50
2014/11/19,4,15,51
2014/11/20,4,15,51
2014/11/21,4,14,49
2014/11/22,4,14,48
2014/11/23,4,14,46
2014/11/24,4,13,45
2014/11/25,4,13,43
2014/11/26,4,13,42
2014/11/27,5,14,43
2014/11/28,5,14,44
2014/11/29,5,15,45
2014/11/30,5,15,43
2014/12/01,5,13,43
2014/12/02,5,11,43
2014/12/03,5,12,43
2014/12/04,4,13,43
2014/12/05,4,13,43
2014/12/06,4,13,39
2014/12/07,4,14,41
2014/12/08,4,11,38
2014/12/09,4,11,37
2014/12/10,4,10,36
2014/12/11,4,10,33
2014/12/12,4,11,33
2014/12/13,4,11,32
2014/12/14,5,12,31
2014/12/15,4,13,32
2014/12/16,4,13,32
2014/12/17,4,14,33
2014/12/18,4,14,35
2014/12/19,4,14,35
2014/12/20,4,14,36
2014/12/21,4,14,36
2014/12/22,4,15,39
2014/12/23,5,16,39
2014/12/24,5,16,41
2014/12/25,5,16,41
2014/12/26,5,16,40
2014/12/27,5,16,40
2014/12/28,5,17,40
2014/12/29,5,19,43
2014/12/30,6,19,45
2014/12/31,6,19,45
2015/01/01,6,19,45
2015/01/02,6,18,43
2015/01/03,6,19,43
2015/01/04,6,19,43
2015/01/05,6,19,43
2015/01/06,6,20,45
2015/01/07,6,20,45
2015/01/08,6,20,46
2015/01/09,6,20,47
2015/01/10,5,20,49
2015/01/11,5,20,49
2015/01/12,5,21,50
2015/01/13,5,22,52
2015/01/14,5,21,50
2015/01/15,5,22,49
2015/01/16,5,22,49
2015/01/17,5,23,49
2015/01/18,5,23,49
2015/01/19,5,22,49
2015/01/20,5,22,51
2015/01/21,5,21,48
2015/01/22,5,21,51
2015/01/23,5,23,51
2015/01/24,6,23,52
2015/01/25,5,23,52
2015/01/26,5,23,52
2015/01/27,5,22,56
2015/01/28,5,21,54
2015/01/29,5,21,54
2015/01/30,5,23,52
2015/01/31,5,23,52
2015/02/01,5,24,53
2015/02/02,5,24,54
2015/02/03,5,24,56
2015/02/04,5,24,56
2015/02/05,5,24,57
2015/02/06,5,25,59
2015/02/07,5,25,57
2015/02/08,4,23,56
2015/02/09,4,24,55
2015/02/10,4,24,57
2015/02/11,4,23,56
2015/02/12,4,23,56
2015/02/13,4,23,56
2015/02/14,4,22,57
2015/02/15,4,22,57
2015/02/16,3,22,56
2015/02/17,3,22,58
2015/02/18,3,21,60
2015/02/19,3,22,61
2015/02/20,3,21,61
2015/02/21,3,22,58
2015/02/22,3,22,60
2015/02/23,2,22,58
2015/02/24,3,22,60
2015/02/25,3,22,60
2015/02/26,3,21,60
2015/02/27,2,21,58
2015/02/28,2,22,58
2015/03/01,2,22,60
2015/03/02,2,21,61
2015/03/03,2,19,59
2015/03/04,2,19,58
2015/03/05,2,18,55
2015/03/06,2,18,55
2015/03/07,3,16,56
2015/03/08,3,16,53
2015/03/09,3,16,55
2015/03/10,3,16,53
2015/03/11,3,16,53
2015/03/12,3,15,50
2015/03/13,3,15,52
2015/03/14,3,14,51
2015/03/15,3,14,52
2015/03/16,3,14,50
2015/03/17,3,14,51
2015/03/18,3,14,51
2015/03/19,1,14,50
2015/03/20,2,14,47
2015/03/21,3,12,49
2015/03/22,3,12,46
2015/03/23,3,11,45
2015/03/24,3,10,44
2015/03/25,3,9,44
2015/03/26,2,9,44
2015/03/27,2,9,44
2015/03/28,2,10,44
2015/03/29,2,10,46
2015/03/30,2,9,46
2015/03/31,2,9,43
2015/04/01,3,10,43
2015/04/02,3,10,42
2015/04/03,3,10,45
2015/04/04,3,11,46
2015/04/05,3,12,50
2015/04/06,3,12,47
2015/04/07,3,13,46
2015/04/08,3,13,44
2015/04/09,3,13,44
2015/04/10,2,13,44
2015/04/11,2,13,43
2015/04/12,2,14,43
2015/04/13,2,14,43
2015/04/14,2,14,42
2015/04/15,3,14,43
2015/04/16,3,14,43
2015/04/17,3,14,45
2015/04/18,3,13,44
2015/04/19,3,12,42
2015/04/20,3,12,41
2015/04/21,3,14,41
2015/04/22,3,14,46
2015/04/23,3,14,47
2015/04/24,3,14,48
2015/04/25,3,14,46
2015/04/26,3,14,48
2015/04/27,3,13,46
2015/04/28,2,13,47
2015/04/29,2,13,48
2015/04/30,2,13,50
2015/05/01,2,12,51
2015/05/02,2,12,52
2015/05/03,2,13,51
2015/05/04,2,13,51
2015/05/05,2,12,47
2015/05/06,2,12,47
2015/05/07,2,13,48
2015/05/08,2,13,48
2015/05/09,2,14,50
2015/05/10,3,14,50
2015/05/11,3,14,49
2015/05/12,3,13,47
2015/05/13,3,16,49
2015/05/14,3,16,49
2015/05/15,3,16,49
2015/05/16,3,17,51
2015/05/17,3,17,49
2015/05/18,3,17,49
2015/05/19,3,18,50
2015/05/20,3,19,51
2015/05/21,2,16,50
2015/05/22,2,15,47
2015/05/23,2,16,45
2015/05/24,2,16,46
2015/05/25,2,15,47
2015/05/26,2,15,45
2015/05/27,2,15,47
2015/05/28,2,15,46
2015/05/29,2,15,45
2015/05/30,2,15,45
2015/05/31,2,15,44
2015/06/01,2,15,43
2015/06/02,3,15,44
2015/06/03,3,15,42
2015/06/04,3,15,42
2015/06/05,3,14,42
2015/06/06,3,14,42
2015/06/07,3,15,44
2015/06/08,3,13,42
2015/06/09,3,14,42
2015/06/10,3,14,43
2015/06/11,3,15,44
2015/06/12,2,13,41
2015/06/13,2,13,41
2015/06/14,3,13,41
2015/06/15,4,12,40
2015/06/16,4,13,42
2015/06/17,5,14,44
2015/06/18,4,13,42
2015/06/19,4,13,43
2015/06/20,4,14,45
2015/06/21,4,14,44
2015/06/22,4,14,47
2015/06/23,4,15,48
2015/06/24,3,16,47
2015/06/25,3,16,49
2015/06/26,3,16,50
2015/06/27,3,16,53
2015/06/28,3,16,55
2015/06/29,3,16,55
2015/06/30,4,16,54
2015/07/01,4,16,54
2015/07/02,4,16,53
2015/07/03,4,16,56
2015/07/04,4,16,57
2015/07/05,3,16,56
2015/07/06,3,16,57
2015/07/07,3,15,56
2015/07/08,3,16,57
2015/07/09,3,16,57
2015/07/10,3,16,56
2015/07/11,3,18,57
2015/07/12,3,19,58
2015/07/13,4,19,58
2015/07/14,3,19,57
2015/07/15,3,18,59
2015/07/16,3,18,58
2015/07/17,2,18,57
2015/07/18,2,19,57
2015/07/19,2,19,55
2015/07/20,2,18,56
2015/07/21,2,18,56
2015/07/22,2,17,53
2015/07/23,2,16,49
2015/07/24,2,16,48
2015/07/25,3,15,46
2015/07/26,3,15,44
