date,mgwiki (100+),mgwiki (5+),mgwiki (all)
2013/11/04,1,3,17
2013/11/05,,3,17
2013/11/06,,3,17
2013/11/07,,2,15
2013/11/08,,2,14
2013/11/09,,4,17
2013/11/10,,4,18
2013/11/11,,4,19
2013/11/12,,4,20
2013/11/13,,4,20
2013/11/14,,5,19
2013/11/15,,5,19
2013/11/16,,4,19
2013/11/17,,3,19
2013/11/18,,3,19
2013/11/19,,3,19
2013/11/20,,4,17
2013/11/21,,4,18
2013/11/22,,4,18
2013/11/23,,4,19
2013/11/24,,5,19
2013/11/25,,5,20
2013/11/26,,5,20
2013/11/27,,5,21
2013/11/28,,5,21
2013/11/29,,5,21
2013/11/30,,5,19
2013/12/01,,5,19
2013/12/02,,5,19
2013/12/03,,5,19
2013/12/04,,5,18
2013/12/05,,5,20
2013/12/06,,5,21
2013/12/07,,5,22
2013/12/08,,5,23
2013/12/09,,4,22
2013/12/10,,4,22
2013/12/11,,4,22
2013/12/12,,3,21
2013/12/13,,3,19
2013/12/14,,3,18
2013/12/15,,3,18
2013/12/16,,3,18
2013/12/17,,3,18
2013/12/18,,3,20
2013/12/19,,3,20
2013/12/20,,3,20
2013/12/21,,3,19
2013/12/22,,3,19
2013/12/23,,3,18
2013/12/24,,2,19
2013/12/25,,2,17
2013/12/26,,2,17
2013/12/27,,2,17
2013/12/28,,2,16
2013/12/29,,2,16
2013/12/30,,2,17
2013/12/31,,2,18
2014/01/01,,2,18
2014/01/02,,2,18
2014/01/03,,2,18
2014/01/04,,2,18
2014/01/05,,2,16
2014/01/06,,1,16
2014/01/07,,1,18
2014/01/08,,1,18
2014/01/09,,2,19
2014/01/10,,2,18
2014/01/11,,2,18
2014/01/12,,2,19
2014/01/13,,2,19
2014/01/14,,2,19
2014/01/15,,2,20
2014/01/16,,2,19
2014/01/17,,2,17
2014/01/18,,2,18
2014/01/19,,2,18
2014/01/20,,2,19
2014/01/21,,2,21
2014/01/22,,2,23
2014/01/23,,2,22
2014/01/24,,2,23
2014/01/25,,2,24
2014/01/26,,2,23
2014/01/27,,2,23
2014/01/28,,2,24
2014/01/29,,2,25
2014/01/30,,2,25
2014/01/31,,2,26
2014/02/01,,2,26
2014/02/02,,3,27
2014/02/03,,4,27
2014/02/04,,4,27
2014/02/05,,4,27
2014/02/06,,4,28
2014/02/07,,4,29
2014/02/08,,3,27
2014/02/09,,3,26
2014/02/10,,3,27
2014/02/11,,3,26
2014/02/12,,3,26
2014/02/13,,3,26
2014/02/14,,3,25
2014/02/15,,3,24
2014/02/16,,3,26
2014/02/17,,2,26
2014/02/18,,2,26
2014/02/19,,2,26
2014/02/20,,3,26
2014/02/21,,3,24
2014/02/22,,3,24
2014/02/23,,3,23
2014/02/24,,3,23
2014/02/25,,3,23
2014/02/26,,3,23
2014/02/27,,3,21
2014/02/28,,4,21
2014/03/01,,4,21
2014/03/02,,3,22
2014/03/03,,3,20
2014/03/04,,3,19
2014/03/05,,3,17
2014/03/06,,3,16
2014/03/07,,2,16
2014/03/08,,2,14
2014/03/09,,2,13
2014/03/10,,2,16
2014/03/11,,2,16
2014/03/12,,2,15
2014/03/13,,2,15
2014/03/14,,2,16
2014/03/15,,2,16
2014/03/16,,2,16
2014/03/17,,2,16
2014/03/18,,2,16
2014/03/19,,2,14
2014/03/20,,2,15
2014/03/21,,2,14
2014/03/22,,1,13
2014/03/23,,1,14
2014/03/24,,1,14
2014/03/25,,1,15
2014/03/26,,1,16
2014/03/27,,1,16
2014/03/28,,1,16
2014/03/29,,1,16
2014/03/30,,1,16
2014/03/31,,2,17
2014/04/01,,2,15
2014/04/02,,2,16
2014/04/03,,2,17
2014/04/04,,2,20
2014/04/05,,2,22
2014/04/06,,2,20
2014/04/07,,2,20
2014/04/08,,3,20
2014/04/09,,3,18
2014/04/10,,3,18
2014/04/11,,3,18
2014/04/12,,3,18
2014/04/13,,3,18
2014/04/14,,3,18
2014/04/15,,3,18
2014/04/16,,4,18
2014/04/17,,4,18
2014/04/18,,4,18
2014/04/19,,4,18
2014/04/20,,4,19
2014/04/21,,4,19
2014/04/22,,4,17
2014/04/23,,4,17
2014/04/24,,4,17
2014/04/25,,4,16
2014/04/26,,4,17
2014/04/27,,4,19
2014/04/28,,4,20
2014/04/29,,4,19
2014/04/30,,3,20
2014/05/01,,3,20
2014/05/02,,3,19
2014/05/03,,3,19
2014/05/04,,3,16
2014/05/05,,3,14
2014/05/06,,3,14
2014/05/07,,3,14
2014/05/08,,2,14
2014/05/09,,2,14
2014/05/10,,2,13
2014/05/11,,2,13
2014/05/12,,2,13
2014/05/13,,2,12
2014/05/14,,2,12
2014/05/15,,2,13
2014/05/16,,2,13
2014/05/17,,2,14
2014/05/18,,2,14
2014/05/19,,2,15
2014/05/20,,2,14
2014/05/21,,2,14
2014/05/22,,2,16
2014/05/23,,2,17
2014/05/24,,2,17
2014/05/25,,3,17
2014/05/26,,3,16
2014/05/27,,3,14
2014/05/28,,3,14
2014/05/29,,3,14
2014/05/30,,3,13
2014/05/31,,3,14
2014/06/01,,3,16
2014/06/02,,3,16
2014/06/03,,3,16
2014/06/04,,3,16
2014/06/05,,3,17
2014/06/06,,3,16
2014/06/07,,3,16
2014/06/08,,3,16
2014/06/09,,3,16
2014/06/10,,3,16
2014/06/11,,3,16
2014/06/12,,3,16
2014/06/13,,3,16
2014/06/14,,3,15
2014/06/15,,3,15
2014/06/16,,3,14
2014/06/17,,3,14
2014/06/18,,3,14
2014/06/19,,2,14
2014/06/20,,2,13
2014/06/21,,2,13
2014/06/22,,2,14
2014/06/23,,4,14
2014/06/24,,3,16
2014/06/25,,3,16
2014/06/26,,3,19
2014/06/27,,3,18
2014/06/28,,3,19
2014/06/29,,3,18
2014/06/30,,2,16
2014/07/01,,2,14
2014/07/02,,2,13
2014/07/03,,2,14
2014/07/04,,2,15
2014/07/05,,2,15
2014/07/06,,2,15
2014/07/07,,2,17
2014/07/08,,2,17
2014/07/09,,3,17
2014/07/10,,3,17
2014/07/11,,3,18
2014/07/12,,3,19
2014/07/13,,4,19
2014/07/14,,4,20
2014/07/15,,4,20
2014/07/16,,4,20
2014/07/17,,4,20
2014/07/18,,4,20
2014/07/19,,4,21
2014/07/20,,4,22
2014/07/21,,4,20
2014/07/22,,3,19
2014/07/23,,2,18
2014/07/24,,2,17
2014/07/25,,2,18
2014/07/26,,2,15
2014/07/27,,2,15
2014/07/28,,2,14
2014/07/29,1,2,14
2014/07/30,1,2,14
2014/07/31,1,2,16
2014/08/01,1,2,16
2014/08/02,1,2,18
2014/08/03,1,1,17
2014/08/04,1,1,16
2014/08/05,1,1,16
2014/08/06,1,1,14
2014/08/07,1,1,14
2014/08/08,1,1,13
2014/08/09,1,1,14
2014/08/10,1,1,13
2014/08/11,1,1,12
2014/08/12,1,1,14
2014/08/13,1,1,13
2014/08/14,1,1,13
2014/08/15,1,1,13
2014/08/16,1,1,14
2014/08/17,1,1,15
2014/08/18,1,1,16
2014/08/19,1,2,15
2014/08/20,1,2,15
2014/08/21,1,3,16
2014/08/22,1,3,16
2014/08/23,1,3,15
2014/08/24,1,4,15
2014/08/25,1,4,15
2014/08/26,1,4,15
2014/08/27,1,4,15
2014/08/28,,4,15
2014/08/29,,4,15
2014/08/30,,4,13
2014/08/31,,4,15
2014/09/01,,4,13
2014/09/02,,4,13
2014/09/03,,4,14
2014/09/04,,5,14
2014/09/05,,5,16
2014/09/06,,5,19
2014/09/07,,5,20
2014/09/08,,5,20
2014/09/09,,5,21
2014/09/10,,5,21
2014/09/11,,5,20
2014/09/12,,5,20
2014/09/13,,5,21
2014/09/14,,5,21
2014/09/15,,5,23
2014/09/16,,5,22
2014/09/17,,5,21
2014/09/18,,5,20
2014/09/19,,5,21
2014/09/20,,4,20
2014/09/21,,4,20
2014/09/22,,4,22
2014/09/23,,3,21
2014/09/24,,2,21
2014/09/25,,2,21
2014/09/26,,2,21
2014/09/27,,2,21
2014/09/28,,2,22
2014/09/29,,2,22
2014/09/30,,2,22
2014/10/01,,2,23
2014/10/02,,2,23
2014/10/03,,2,24
2014/10/04,,2,25
2014/10/05,,2,23
2014/10/06,,2,23
2014/10/07,,2,21
2014/10/08,,2,22
2014/10/09,,2,22
2014/10/10,,1,23
2014/10/11,,1,25
2014/10/12,,1,25
2014/10/13,,1,25
2014/10/14,,1,25
2014/10/15,,1,25
2014/10/16,,1,27
2014/10/17,,1,28
2014/10/18,,1,29
2014/10/19,,1,29
2014/10/20,,2,29
2014/10/21,,2,30
2014/10/22,,1,30
2014/10/23,,2,31
2014/10/24,,2,31
2014/10/25,,2,31
2014/10/26,,2,30
2014/10/27,,2,31
2014/10/28,,2,31
2014/10/29,,2,31
2014/10/30,,2,30
2014/10/31,,2,29
2014/11/01,,2,29
2014/11/02,,1,26
2014/11/03,,1,25
2014/11/04,,1,26
2014/11/05,,1,26
2014/11/06,,1,26
2014/11/07,,1,24
2014/11/08,,1,23
2014/11/09,,1,23
2014/11/10,,1,23
2014/11/11,,1,24
2014/11/12,,1,23
2014/11/13,,1,23
2014/11/14,,1,22
2014/11/15,,1,21
2014/11/16,1,2,20
2014/11/17,1,2,18
2014/11/18,1,2,16
2014/11/19,1,2,16
2014/11/20,1,2,15
2014/11/21,1,2,14
2014/11/22,1,1,13
2014/11/23,1,1,13
2014/11/24,1,1,13
2014/11/25,1,1,14
2014/11/26,1,1,13
2014/11/27,1,1,12
2014/11/28,1,1,12
2014/11/29,1,1,11
2014/11/30,1,1,11
2014/12/01,1,1,12
2014/12/02,1,1,13
2014/12/03,1,1,13
2014/12/04,1,1,13
2014/12/05,1,1,12
2014/12/06,1,1,14
2014/12/07,1,1,14
2014/12/08,1,1,14
2014/12/09,1,1,15
2014/12/10,1,1,14
2014/12/11,1,1,13
2014/12/12,1,3,13
2014/12/13,1,3,15
2014/12/14,1,3,14
2014/12/15,1,2,15
2014/12/16,,,15
2014/12/17,,1,15
2014/12/18,,1,15
2014/12/19,,1,16
2014/12/20,,1,17
2014/12/21,,1,17
2014/12/22,,1,17
2014/12/23,,1,18
2014/12/24,,1,19
2014/12/25,,1,18
2014/12/26,,1,19
2014/12/27,1,1,19
2014/12/28,1,1,19
2014/12/29,1,2,20
2014/12/30,1,4,21
2014/12/31,1,4,20
2015/01/01,1,4,19
2015/01/02,1,4,21
2015/01/03,1,3,20
2015/01/04,1,3,19
2015/01/05,1,3,18
2015/01/06,1,3,18
2015/01/07,1,3,18
2015/01/08,1,3,16
2015/01/09,1,3,16
2015/01/10,1,3,16
2015/01/11,1,3,16
2015/01/12,1,3,17
2015/01/13,1,3,17
2015/01/14,1,3,17
2015/01/15,1,3,16
2015/01/16,1,3,16
2015/01/17,1,3,17
2015/01/18,1,3,18
2015/01/19,1,3,18
2015/01/20,1,3,17
2015/01/21,1,3,17
2015/01/22,1,3,17
2015/01/23,1,2,17
2015/01/24,1,3,18
2015/01/25,1,3,19
2015/01/26,1,4,20
2015/01/27,1,4,21
2015/01/28,1,5,22
2015/01/29,1,4,23
2015/01/30,1,4,24
2015/01/31,1,5,28
2015/02/01,1,5,27
2015/02/02,1,5,28
2015/02/03,1,6,30
2015/02/04,,6,30
2015/02/05,1,6,32
2015/02/06,,7,32
2015/02/07,,7,33
2015/02/08,,8,33
2015/02/09,,8,34
2015/02/10,,8,39
2015/02/11,,8,38
2015/02/12,,8,39
2015/02/13,,7,41
2015/02/14,,7,43
2015/02/15,,7,44
2015/02/16,,7,42
2015/02/17,,7,43
2015/02/18,1,10,46
2015/02/19,1,10,47
2015/02/20,1,11,47
2015/02/21,1,11,49
2015/02/22,1,11,50
2015/02/23,1,11,52
2015/02/24,1,11,51
2015/02/25,1,10,50
2015/02/26,1,10,51
2015/02/27,1,9,50
2015/02/28,1,8,48
2015/03/01,2,9,50
2015/03/02,2,8,49
2015/03/03,2,8,48
2015/03/04,2,8,47
2015/03/05,2,7,45
2015/03/06,2,7,44
2015/03/07,2,7,44
2015/03/08,2,7,45
2015/03/09,2,6,45
2015/03/10,2,6,45
2015/03/11,2,6,48
2015/03/12,2,7,46
2015/03/13,2,7,44
2015/03/14,2,7,44
2015/03/15,2,7,42
2015/03/16,2,7,40
2015/03/17,2,7,39
2015/03/18,2,7,39
2015/03/19,2,7,36
2015/03/20,1,5,37
2015/03/21,1,5,36
2015/03/22,1,5,34
2015/03/23,1,5,34
2015/03/24,1,5,35
2015/03/25,1,5,34
2015/03/26,1,5,36
2015/03/27,1,4,35
2015/03/28,1,4,37
2015/03/29,1,4,37
2015/03/30,1,4,38
2015/03/31,,3,36
2015/04/01,,3,36
2015/04/02,,4,37
2015/04/03,,3,39
2015/04/04,,4,39
2015/04/05,,4,41
2015/04/06,,5,40
2015/04/07,,5,40
2015/04/08,,6,40
2015/04/09,,6,40
2015/04/10,,7,36
2015/04/11,,7,36
2015/04/12,,8,39
2015/04/13,,7,37
2015/04/14,,7,39
2015/04/15,,7,39
2015/04/16,,7,40
2015/04/17,,7,40
2015/04/18,,7,42
2015/04/19,1,7,41
2015/04/20,1,7,41
2015/04/21,1,7,42
2015/04/22,1,7,39
2015/04/23,1,7,39
2015/04/24,1,6,37
2015/04/25,1,6,41
2015/04/26,1,7,42
2015/04/27,1,7,40
2015/04/28,1,7,42
2015/04/29,1,7,41
2015/04/30,1,7,41
2015/05/01,1,7,41
2015/05/02,2,7,40
2015/05/03,3,7,39
2015/05/04,3,7,39
2015/05/05,3,7,40
2015/05/06,3,6,38
2015/05/07,3,6,37
2015/05/08,3,5,38
2015/05/09,3,5,37
2015/05/10,3,5,38
2015/05/11,3,5,37
2015/05/12,3,3,38
2015/05/13,3,3,38
2015/05/14,3,3,35
2015/05/15,3,3,32
2015/05/16,3,3,33
2015/05/17,3,3,35
2015/05/18,3,3,34
2015/05/19,2,2,32
2015/05/20,2,2,34
2015/05/21,2,2,33
2015/05/22,2,2,34
2015/05/23,2,3,35
2015/05/24,2,3,33
2015/05/25,1,3,33
2015/05/26,1,3,33
2015/05/27,1,3,34
2015/05/28,1,3,32
2015/05/29,1,3,36
2015/05/30,1,3,37
2015/05/31,1,3,38
2015/06/01,1,3,38
2015/06/02,1,3,39
2015/06/03,1,5,42
2015/06/04,1,5,42
2015/06/05,1,6,41
2015/06/06,1,7,42
2015/06/07,1,7,39
2015/06/08,1,7,39
2015/06/09,,7,39
2015/06/10,,7,41
2015/06/11,,6,43
2015/06/12,,6,44
2015/06/13,,7,45
2015/06/14,,7,47
2015/06/15,,7,46
2015/06/16,,7,45
2015/06/17,,7,45
2015/06/18,,7,46
2015/06/19,,7,45
2015/06/20,,7,46
2015/06/21,,7,46
2015/06/22,,8,48
2015/06/23,,8,51
2015/06/24,,8,51
2015/06/25,,8,51
2015/06/26,,8,51
2015/06/27,,8,49
2015/06/28,,8,45
2015/06/29,,8,44
2015/06/30,,7,46
2015/07/01,,7,45
2015/07/02,,8,43
2015/07/03,,6,40
2015/07/04,,6,42
2015/07/05,,6,42
2015/07/06,,6,40
2015/07/07,,6,40
2015/07/08,,7,40
2015/07/09,,7,40
2015/07/10,,7,39
2015/07/11,,6,39
2015/07/12,,6,38
2015/07/13,,6,38
2015/07/14,,6,36
2015/07/15,,6,38
2015/07/16,,7,38
2015/07/17,,8,38
2015/07/18,,7,39
2015/07/19,,7,41
2015/07/20,,7,43
2015/07/21,,7,45
2015/07/22,,7,44
2015/07/23,,7,43
2015/07/24,,6,41
2015/07/25,1,6,42
2015/07/26,1,6,41
2015/07/27,1,5,42
2015/07/28,1,5,42
2015/07/29,1,5,42
2015/07/30,1,5,43
2015/07/31,1,5,43
2015/08/01,1,4,43
2015/08/02,1,4,42
2015/08/03,1,4,42
2015/08/04,1,4,41
2015/08/05,1,5,42
2015/08/06,1,5,44
2015/08/07,1,5,46
2015/08/08,1,5,45
2015/08/09,1,5,46
2015/08/10,1,5,44
2015/08/11,1,5,44
2015/08/12,1,6,43
2015/08/13,1,6,43
2015/08/14,1,7,43
2015/08/15,1,6,43
2015/08/16,1,6,42
2015/08/17,1,6,44
2015/08/18,1,6,43
2015/08/19,1,6,43
2015/08/20,1,6,44
2015/08/21,1,5,42
2015/08/22,1,5,41
2015/08/23,1,5,44
2015/08/24,1,5,43
2015/08/25,1,5,46
2015/08/26,1,6,45
2015/08/27,1,6,47
2015/08/28,1,6,46
2015/08/29,1,6,44
2015/08/30,1,6,43
2015/08/31,1,6,43
2015/09/01,1,6,42
