date,vlswiki (100+),vlswiki (5+),vlswiki (all)
2013/04/05,3,6,30
2013/04/06,3,5,26
2013/04/07,3,5,25
2013/04/08,3,5,26
2013/04/09,3,5,27
2013/04/10,3,5,27
2013/04/11,1,5,27
2013/04/12,1,5,25
2013/04/13,1,6,24
2013/04/14,1,7,23
2013/04/15,1,6,23
2013/04/16,1,6,23
2013/04/17,1,6,22
2013/04/18,1,6,22
2013/04/19,1,6,22
2013/04/20,1,6,25
2013/04/21,1,6,25
2013/04/22,1,6,23
2013/04/23,1,6,23
2013/04/24,1,6,23
2013/04/25,1,6,23
2013/04/26,1,6,23
2013/04/27,1,6,23
2013/04/28,1,6,21
2013/04/29,1,6,21
2013/04/30,1,6,21
2013/05/01,1,6,21
2013/05/02,1,6,21
2013/05/03,1,5,19
2013/05/04,1,5,20
2013/05/05,1,5,20
2013/05/06,,6,20
2013/05/07,,6,20
2013/05/08,,5,20
2013/05/09,,5,18
2013/05/10,,5,18
2013/05/11,,5,18
2013/05/12,,5,20
2013/05/13,,4,21
2013/05/14,,4,21
2013/05/15,,5,21
2013/05/16,,5,22
2013/05/17,,5,23
2013/05/18,,5,22
2013/05/19,,4,22
2013/05/20,,4,20
2013/05/21,,4,21
2013/05/22,,4,21
2013/05/23,,4,22
2013/05/24,,4,22
2013/05/25,,4,23
2013/05/26,,4,24
2013/05/27,,5,23
2013/05/28,,6,23
2013/05/29,,6,23
2013/05/30,,6,23
2013/05/31,,6,23
2013/06/01,,6,23
2013/06/02,,6,25
2013/06/03,,5,24
2013/06/04,,5,23
2013/06/05,,4,23
2013/06/06,,4,23
2013/06/07,,4,22
2013/06/08,,4,22
2013/06/09,,4,23
2013/06/10,,4,24
2013/06/11,,4,24
2013/06/12,,4,24
2013/06/13,,4,24
2013/06/14,,4,24
2013/06/15,,4,24
2013/06/16,,4,24
2013/06/17,,5,26
2013/06/18,,5,26
2013/06/19,,5,27
2013/06/20,,5,26
2013/06/21,,5,26
2013/06/22,,5,26
2013/06/23,,5,27
2013/06/24,,5,26
2013/06/25,,5,26
2013/06/26,,5,26
2013/06/27,,5,26
2013/06/28,,4,25
2013/06/29,,4,24
2013/06/30,,3,22
2013/07/01,,3,22
2013/07/02,,2,21
2013/07/03,,2,23
2013/07/04,,2,24
2013/07/05,,2,23
2013/07/06,,2,23
2013/07/07,,2,24
2013/07/08,,2,24
2013/07/09,,2,22
2013/07/10,,2,21
2013/07/11,,2,19
2013/07/12,,2,18
2013/07/13,,2,17
2013/07/14,,2,17
2013/07/15,,2,17
2013/07/16,,2,17
2013/07/17,,2,17
2013/07/18,,2,18
2013/07/19,,2,16
2013/07/20,,2,16
2013/07/21,,2,16
2013/07/22,,2,17
2013/07/23,,2,16
2013/07/24,,2,16
2013/07/25,,3,16
2013/07/26,,3,16
2013/07/27,,3,17
2013/07/28,,4,17
2013/07/29,,4,17
2013/07/30,,4,21
2013/07/31,,4,21
2013/08/01,,4,22
2013/08/02,,3,20
2013/08/03,,3,19
2013/08/04,,5,19
2013/08/05,,5,19
2013/08/06,,4,19
2013/08/07,,4,19
2013/08/08,,4,19
2013/08/09,,4,19
2013/08/10,,4,19
2013/08/11,,4,19
2013/08/12,,4,18
2013/08/13,,4,18
2013/08/14,,4,17
2013/08/15,,4,17
2013/08/16,,4,18
2013/08/17,,4,18
2013/08/18,1,4,18
2013/08/19,1,4,18
2013/08/20,1,4,18
2013/08/21,1,4,17
2013/08/22,1,4,17
2013/08/23,1,4,17
2013/08/24,1,4,17
2013/08/25,1,4,16
2013/08/26,,4,15
2013/08/27,,4,15
2013/08/28,,4,15
2013/08/29,,5,13
2013/08/30,,4,13
2013/08/31,,4,12
2013/09/01,,4,12
2013/09/02,,4,12
2013/09/03,,4,12
2013/09/04,,4,13
2013/09/05,,4,12
2013/09/06,,4,12
2013/09/07,,4,12
2013/09/08,,3,11
2013/09/09,,3,11
2013/09/10,,3,11
2013/09/11,,2,12
2013/09/12,,2,11
2013/09/13,,2,12
2013/09/14,,2,14
2013/09/15,,2,13
2013/09/16,,2,12
2013/09/17,,2,13
2013/09/18,,2,13
2013/09/19,,1,13
2013/09/20,,1,14
2013/09/21,,1,15
2013/09/22,,1,15
2013/09/23,,1,15
2013/09/24,,1,15
2013/09/25,,1,16
2013/09/26,,1,16
2013/09/27,,1,17
2013/09/28,,1,15
2013/09/29,,1,15
2013/09/30,,1,15
2013/10/01,,1,16
2013/10/02,,2,16
2013/10/03,,2,16
2013/10/04,,2,15
2013/10/05,,2,16
2013/10/06,,2,16
2013/10/07,,2,16
2013/10/08,,2,16
2013/10/09,,2,20
2013/10/10,,2,22
2013/10/11,,3,23
2013/10/12,,4,26
2013/10/13,,4,26
2013/10/14,,4,24
2013/10/15,,4,25
2013/10/16,,4,25
2013/10/17,,4,24
2013/10/18,,4,25
2013/10/19,,4,26
2013/10/20,,4,26
2013/10/21,,4,26
2013/10/22,,5,26
2013/10/23,,5,26
2013/10/24,,4,26
2013/10/25,,4,27
2013/10/26,,5,29
2013/10/27,,5,28
2013/10/28,,5,29
2013/10/29,,6,30
2013/10/30,,6,31
2013/10/31,,6,30
2013/11/01,,6,29
2013/11/02,,6,29
2013/11/03,,6,30
2013/11/04,,6,29
2013/11/05,1,6,30
2013/11/06,1,6,30
2013/11/07,1,6,29
2013/11/08,1,6,26
2013/11/09,1,6,26
2013/11/10,,6,24
2013/11/11,,5,20
2013/11/12,,6,20
2013/11/13,,5,19
2013/11/14,,5,19
2013/11/15,,5,19
2013/11/16,,5,19
2013/11/17,,6,19
2013/11/18,,6,18
2013/11/19,,6,19
2013/11/20,,6,19
2013/11/21,,6,19
2013/11/22,,6,19
2013/11/23,,7,19
2013/11/24,,7,19
2013/11/25,,6,17
2013/11/26,,6,18
2013/11/27,,6,17
2013/11/28,,6,17
2013/11/29,,6,16
2013/11/30,,6,16
2013/12/01,,6,18
2013/12/02,,5,19
2013/12/03,,6,18
2013/12/04,,6,19
2013/12/05,,6,20
2013/12/06,,6,20
2013/12/07,,6,21
2013/12/08,,7,20
2013/12/09,,7,20
2013/12/10,,7,21
2013/12/11,,7,21
2013/12/12,,7,21
2013/12/13,,7,22
2013/12/14,,7,24
2013/12/15,,7,23
2013/12/16,,7,23
2013/12/17,,6,23
2013/12/18,,5,24
2013/12/19,,4,24
2013/12/20,,4,23
2013/12/21,,4,23
2013/12/22,,4,24
2013/12/23,,4,23
2013/12/24,,4,24
2013/12/25,,4,25
2013/12/26,,4,24
2013/12/27,,4,24
2013/12/28,,4,24
2013/12/29,,4,25
2013/12/30,,4,26
2013/12/31,,4,24
2014/01/01,,4,23
2014/01/02,,3,22
2014/01/03,,3,21
2014/01/04,,3,20
2014/01/05,,3,20
2014/01/06,,4,19
2014/01/07,,4,19
2014/01/08,,4,19
2014/01/09,,4,18
2014/01/10,,5,18
2014/01/11,,5,18
2014/01/12,,4,16
2014/01/13,,4,14
2014/01/14,,4,14
2014/01/15,,4,15
2014/01/16,,4,18
2014/01/17,,5,18
2014/01/18,,5,16
2014/01/19,,5,17
2014/01/20,,5,19
2014/01/21,,5,18
2014/01/22,,5,18
2014/01/23,,4,18
2014/01/24,,5,19
2014/01/25,,5,19
2014/01/26,,4,20
2014/01/27,,4,21
2014/01/28,,4,22
2014/01/29,,3,23
2014/01/30,,3,23
2014/01/31,,3,24
2014/02/01,,5,25
2014/02/02,,5,26
2014/02/03,,5,26
2014/02/04,,5,26
2014/02/05,,5,27
2014/02/06,,5,27
2014/02/07,,5,30
2014/02/08,,5,30
2014/02/09,,5,30
2014/02/10,,4,29
2014/02/11,,4,30
2014/02/12,,4,30
2014/02/13,,4,31
2014/02/14,,4,30
2014/02/15,1,4,29
2014/02/16,,3,29
2014/02/17,,3,29
2014/02/18,,3,28
2014/02/19,,3,27
2014/02/20,,3,28
2014/02/21,,3,28
2014/02/22,,4,28
2014/02/23,,4,28
2014/02/24,,5,28
2014/02/25,,5,27
2014/02/26,,5,27
2014/02/27,,5,24
2014/02/28,,5,23
2014/03/01,,5,23
2014/03/02,,5,23
2014/03/03,,5,21
2014/03/04,,5,21
2014/03/05,,6,21
2014/03/06,,6,21
2014/03/07,,6,22
2014/03/08,,6,22
2014/03/09,,6,20
2014/03/10,,6,20
2014/03/11,,6,20
2014/03/12,,6,20
2014/03/13,,6,19
2014/03/14,,6,19
2014/03/15,,8,21
2014/03/16,,8,22
2014/03/17,,8,23
2014/03/18,,8,24
2014/03/19,,7,24
2014/03/20,,7,24
2014/03/21,,7,24
2014/03/22,,7,23
2014/03/23,,7,25
2014/03/24,,7,27
2014/03/25,,7,29
2014/03/26,,6,29
2014/03/27,1,6,30
2014/03/28,1,6,31
2014/03/29,1,6,31
2014/03/30,1,6,29
2014/03/31,2,6,29
2014/04/01,2,6,29
2014/04/02,2,6,29
2014/04/03,2,6,28
2014/04/04,2,6,30
2014/04/05,2,6,29
2014/04/06,2,6,29
2014/04/07,2,7,31
2014/04/08,2,7,31
2014/04/09,2,7,31
2014/04/10,2,7,31
2014/04/11,2,7,31
2014/04/12,2,7,31
2014/04/13,2,7,31
2014/04/14,2,5,29
2014/04/15,2,5,28
2014/04/16,2,5,29
2014/04/17,2,6,27
2014/04/18,2,6,25
2014/04/19,1,6,25
2014/04/20,1,6,24
2014/04/21,1,6,24
2014/04/22,1,6,23
2014/04/23,1,6,23
2014/04/24,1,6,22
2014/04/25,1,6,21
2014/04/26,1,6,21
2014/04/27,1,6,22
2014/04/28,1,6,23
2014/04/29,1,6,23
2014/04/30,1,6,24
2014/05/01,1,6,24
2014/05/02,1,6,24
2014/05/03,1,6,23
2014/05/04,1,6,23
2014/05/05,1,6,22
2014/05/06,1,6,20
2014/05/07,1,6,19
2014/05/08,1,5,19
2014/05/09,1,5,19
2014/05/10,1,4,17
2014/05/11,1,4,18
2014/05/12,1,4,18
2014/05/13,1,4,18
2014/05/14,1,4,19
2014/05/15,1,4,19
2014/05/16,1,4,19
2014/05/17,1,4,19
2014/05/18,1,4,19
2014/05/19,1,4,20
2014/05/20,1,4,21
2014/05/21,1,4,20
2014/05/22,1,4,21
2014/05/23,1,5,22
2014/05/24,1,5,22
2014/05/25,1,5,22
2014/05/26,1,5,21
2014/05/27,1,5,19
2014/05/28,1,5,18
2014/05/29,1,5,19
2014/05/30,,4,18
2014/05/31,,4,18
2014/06/01,,4,19
2014/06/02,,5,20
2014/06/03,,5,18
2014/06/04,1,4,18
2014/06/05,1,4,18
2014/06/06,1,4,17
2014/06/07,,3,17
2014/06/08,,3,17
2014/06/09,,3,17
2014/06/10,,4,16
2014/06/11,,4,18
2014/06/12,,4,17
2014/06/13,1,4,16
2014/06/14,1,4,16
2014/06/15,1,4,15
2014/06/16,1,4,17
2014/06/17,1,4,18
2014/06/18,1,4,17
2014/06/19,1,4,16
2014/06/20,1,4,16
2014/06/21,1,4,16
2014/06/22,1,3,13
2014/06/23,1,3,13
2014/06/24,1,3,14
2014/06/25,1,3,14
2014/06/26,1,3,15
2014/06/27,1,3,15
2014/06/28,1,3,15
2014/06/29,1,3,15
2014/06/30,1,4,15
2014/07/01,1,4,15
2014/07/02,1,4,14
2014/07/03,1,4,15
2014/07/04,1,5,15
2014/07/05,1,5,15
2014/07/06,1,5,15
2014/07/07,1,5,17
2014/07/08,1,5,17
2014/07/09,1,5,18
2014/07/10,,5,19
2014/07/11,,4,17
2014/07/12,,4,17
2014/07/13,,4,17
2014/07/14,,5,18
2014/07/15,,5,18
2014/07/16,,5,17
2014/07/17,,5,17
2014/07/18,,5,17
2014/07/19,,5,17
2014/07/20,,5,17
2014/07/21,,5,17
2014/07/22,,5,17
2014/07/23,,5,16
2014/07/24,,5,15
2014/07/25,,5,15
2014/07/26,,5,15
2014/07/27,,5,15
2014/07/28,,5,13
2014/07/29,,5,13
2014/07/30,,5,13
2014/07/31,,5,12
2014/08/01,,5,13
2014/08/02,,4,13
2014/08/03,,4,12
2014/08/04,,4,12
2014/08/05,,3,12
2014/08/06,,3,10
2014/08/07,,4,12
2014/08/08,,4,12
2014/08/09,,4,12
2014/08/10,,4,13
2014/08/11,,4,14
2014/08/12,,4,15
2014/08/13,,3,14
2014/08/14,,3,14
2014/08/15,,3,14
2014/08/16,,3,14
2014/08/17,,3,14
2014/08/18,,3,16
2014/08/19,,3,16
2014/08/20,,3,15
2014/08/21,,3,15
2014/08/22,,3,16
2014/08/23,,4,17
2014/08/24,,4,17
2014/08/25,,4,16
2014/08/26,,4,18
2014/08/27,,4,18
2014/08/28,,4,19
2014/08/29,,4,20
2014/08/30,,4,21
2014/08/31,,4,20
2014/09/01,,5,21
2014/09/02,,5,21
2014/09/03,,5,22
2014/09/04,,5,22
2014/09/05,,6,22
2014/09/06,,6,21
2014/09/07,,6,20
2014/09/08,,6,19
2014/09/09,,7,19
2014/09/10,,7,21
2014/09/11,,7,21
2014/09/12,,6,23
2014/09/13,,6,23
2014/09/14,,6,23
2014/09/15,1,6,23
2014/09/16,1,6,23
2014/09/17,1,6,21
2014/09/18,1,6,21
2014/09/19,1,6,22
2014/09/20,1,6,22
2014/09/21,2,6,21
2014/09/22,2,6,21
2014/09/23,2,6,21
2014/09/24,2,6,22
2014/09/25,2,6,20
2014/09/26,2,6,20
2014/09/27,2,6,19
2014/09/28,2,6,19
2014/09/29,2,6,19
2014/09/30,2,6,20
2014/10/01,2,6,20
2014/10/02,2,6,20
2014/10/03,2,6,20
2014/10/04,2,6,21
2014/10/05,2,5,21
2014/10/06,2,5,20
2014/10/07,2,6,20
2014/10/08,2,7,22
2014/10/09,2,7,21
2014/10/10,2,7,20
2014/10/11,2,8,20
2014/10/12,2,7,19
2014/10/13,2,7,19
2014/10/14,2,6,21
2014/10/15,2,6,23
2014/10/16,2,7,25
2014/10/17,2,7,25
2014/10/18,2,7,25
2014/10/19,2,7,24
2014/10/20,2,7,25
2014/10/21,2,6,24
2014/10/22,2,6,23
2014/10/23,2,6,22
2014/10/24,2,6,22
2014/10/25,3,6,23
2014/10/26,3,6,24
2014/10/27,3,7,25
2014/10/28,3,7,25
2014/10/29,3,7,25
2014/10/30,3,7,26
2014/10/31,3,7,27
2014/11/01,3,7,28
2014/11/02,3,7,29
2014/11/03,3,7,27
2014/11/04,3,7,28
2014/11/05,3,7,28
2014/11/06,3,7,28
2014/11/07,3,6,27
2014/11/08,3,6,27
2014/11/09,3,6,27
2014/11/10,3,6,26
2014/11/11,3,5,25
2014/11/12,3,5,24
2014/11/13,3,5,23
2014/11/14,3,5,22
2014/11/15,3,5,21
2014/11/16,3,5,20
2014/11/17,3,5,21
2014/11/18,3,5,21
2014/11/19,3,6,21
2014/11/20,3,6,22
2014/11/21,3,6,23
2014/11/22,3,7,24
2014/11/23,3,7,25
2014/11/24,3,7,24
2014/11/25,3,8,24
2014/11/26,3,7,23
2014/11/27,3,7,25
2014/11/28,3,7,25
2014/11/29,3,7,24
2014/11/30,3,7,22
2014/12/01,3,7,23
2014/12/02,3,7,22
2014/12/03,3,7,22
2014/12/04,3,7,20
2014/12/05,3,7,20
2014/12/06,3,8,21
2014/12/07,3,8,22
2014/12/08,3,9,23
2014/12/09,3,9,25
2014/12/10,3,11,25
2014/12/11,3,11,26
2014/12/12,3,11,26
2014/12/13,4,11,26
2014/12/14,4,11,26
2014/12/15,4,11,26
2014/12/16,4,11,26
2014/12/17,4,11,26
2014/12/18,4,11,26
2014/12/19,4,10,25
2014/12/20,4,10,25
2014/12/21,4,10,24
2014/12/22,4,9,24
2014/12/23,4,9,22
2014/12/24,4,9,22
2014/12/25,4,9,22
2014/12/26,4,9,23
2014/12/27,4,9,22
2014/12/28,4,10,23
2014/12/29,4,10,23
2014/12/30,4,10,24
2014/12/31,4,9,22
2015/01/01,4,9,23
2015/01/02,4,9,22
2015/01/03,4,9,23
2015/01/04,4,8,23
2015/01/05,4,8,24
2015/01/06,4,9,24
2015/01/07,4,8,24
2015/01/08,4,8,22
2015/01/09,4,7,22
2015/01/10,3,7,22
2015/01/11,3,7,23
2015/01/12,3,7,22
2015/01/13,3,7,22
2015/01/14,3,7,20
2015/01/15,3,7,20
2015/01/16,3,7,19
2015/01/17,3,7,18
2015/01/18,3,7,19
2015/01/19,3,7,19
2015/01/20,3,7,19
2015/01/21,3,7,19
2015/01/22,3,7,20
2015/01/23,3,6,21
2015/01/24,3,6,22
2015/01/25,3,6,20
2015/01/26,3,6,20
2015/01/27,3,6,19
2015/01/28,3,6,19
2015/01/29,3,6,19
2015/01/30,3,6,20
2015/01/31,3,6,19
2015/02/01,3,6,22
2015/02/02,3,6,23
2015/02/03,3,5,23
2015/02/04,3,5,23
2015/02/05,3,5,22
2015/02/06,3,5,22
2015/02/07,3,6,22
2015/02/08,3,6,22
2015/02/09,3,5,21
2015/02/10,3,5,20
2015/02/11,3,5,21
2015/02/12,3,5,22
2015/02/13,3,5,22
2015/02/14,3,5,22
2015/02/15,3,5,23
2015/02/16,3,5,24
2015/02/17,3,5,24
2015/02/18,3,6,25
2015/02/19,3,7,25
2015/02/20,3,7,26
2015/02/21,3,7,26
2015/02/22,3,8,25
2015/02/23,3,7,24
2015/02/24,3,7,24
2015/02/25,3,7,24
2015/02/26,3,7,24
2015/02/27,3,7,24
2015/02/28,3,7,26
2015/03/01,2,7,26
2015/03/02,2,7,27
2015/03/03,2,7,24
2015/03/04,2,7,22
2015/03/05,2,8,25
2015/03/06,2,8,24
2015/03/07,2,8,23
2015/03/08,2,8,23
2015/03/09,2,7,22
2015/03/10,2,7,22
2015/03/11,2,7,22
2015/03/12,2,6,22
2015/03/13,2,6,24
2015/03/14,2,6,25
2015/03/15,2,6,25
2015/03/16,2,6,25
2015/03/17,2,6,25
2015/03/18,2,6,25
2015/03/19,2,6,25
2015/03/20,2,6,24
2015/03/21,2,5,24
2015/03/22,2,5,25
2015/03/23,2,5,24
2015/03/24,2,5,25
2015/03/25,2,5,25
2015/03/26,2,5,25
2015/03/27,2,5,25
2015/03/28,2,5,26
2015/03/29,2,5,26
2015/03/30,2,5,23
2015/03/31,2,5,25
2015/04/01,2,5,26
2015/04/02,2,5,27
2015/04/03,2,5,27
2015/04/04,3,5,24
2015/04/05,3,5,24
2015/04/06,3,5,25
2015/04/07,3,5,25
2015/04/08,3,5,27
2015/04/09,3,5,27
2015/04/10,3,5,27
2015/04/11,3,5,27
2015/04/12,3,5,26
2015/04/13,3,6,26
2015/04/14,3,6,27
2015/04/15,3,6,27
2015/04/16,3,6,26
2015/04/17,3,7,28
2015/04/18,3,7,27
2015/04/19,3,7,29
2015/04/20,3,7,30
2015/04/21,3,7,27
2015/04/22,3,7,28
2015/04/23,3,7,27
2015/04/24,3,7,28
2015/04/25,3,7,29
2015/04/26,3,7,29
2015/04/27,3,7,28
2015/04/28,3,7,28
2015/04/29,2,7,28
2015/04/30,2,7,26
2015/05/01,2,7,26
2015/05/02,2,7,26
2015/05/03,2,7,26
2015/05/04,2,7,27
2015/05/05,2,7,27
2015/05/06,2,7,26
2015/05/07,2,7,25
2015/05/08,2,6,24
2015/05/09,2,6,24
2015/05/10,2,6,25
2015/05/11,2,6,29
2015/05/12,2,5,27
2015/05/13,2,5,26
2015/05/14,2,5,25
2015/05/15,2,6,25
2015/05/16,2,6,26
2015/05/17,2,5,24
2015/05/18,2,5,24
2015/05/19,2,5,22
2015/05/20,2,5,23
2015/05/21,2,5,23
2015/05/22,1,5,23
2015/05/23,1,4,24
2015/05/24,1,4,24
2015/05/25,1,4,23
2015/05/26,1,4,23
2015/05/27,1,4,25
2015/05/28,1,4,25
2015/05/29,1,4,26
2015/05/30,1,4,25
2015/05/31,1,5,25
2015/06/01,1,5,24
2015/06/02,1,5,23
2015/06/03,1,6,22
2015/06/04,1,6,24
2015/06/05,1,6,24
2015/06/06,1,6,24
2015/06/07,1,6,24
2015/06/08,1,6,24
2015/06/09,1,6,23
2015/06/10,1,6,19
2015/06/11,1,6,19
2015/06/12,1,6,19
2015/06/13,1,7,21
2015/06/14,1,7,22
2015/06/15,1,7,21
2015/06/16,1,7,21
2015/06/17,1,7,20
2015/06/18,1,7,20
2015/06/19,1,7,19
2015/06/20,1,8,21
2015/06/21,1,8,22
2015/06/22,1,8,21
2015/06/23,1,8,20
2015/06/24,1,8,22
2015/06/25,1,8,22
2015/06/26,1,8,22
2015/06/27,1,8,21
2015/06/28,1,7,21
2015/06/29,1,7,21
2015/06/30,1,7,19
2015/07/01,1,7,21
2015/07/02,1,7,21
2015/07/03,1,7,22
2015/07/04,1,7,21
2015/07/05,1,7,20
2015/07/06,1,7,21
2015/07/07,1,7,21
2015/07/08,1,7,21
2015/07/09,1,7,24
2015/07/10,1,7,24
2015/07/11,1,7,25
2015/07/12,1,7,26
2015/07/13,1,6,25
2015/07/14,2,6,24
2015/07/15,2,7,25
2015/07/16,2,6,24
2015/07/17,2,6,24
2015/07/18,2,6,24
2015/07/19,2,6,24
2015/07/20,2,6,26
2015/07/21,2,5,25
2015/07/22,2,5,26
2015/07/23,2,5,27
2015/07/24,2,5,26
2015/07/25,2,5,26
2015/07/26,2,5,25
2015/07/27,2,5,25
2015/07/28,2,5,24
2015/07/29,2,6,24
2015/07/30,2,6,24
2015/07/31,1,6,22
2015/08/01,1,6,22
2015/08/02,1,6,21
2015/08/03,1,6,20
2015/08/04,1,7,22
2015/08/05,1,6,22
2015/08/06,1,6,22
2015/08/07,1,6,22
2015/08/08,1,6,20
2015/08/09,1,6,19
2015/08/10,1,6,19
2015/08/11,1,6,18
2015/08/12,,6,18
2015/08/13,,6,17
2015/08/14,,6,17
2015/08/15,,6,17
2015/08/16,,6,17
2015/08/17,,7,18
2015/08/18,,7,18
2015/08/19,,6,17
2015/08/20,1,6,18
2015/08/21,1,6,18
2015/08/22,1,6,17
2015/08/23,1,6,16
2015/08/24,1,6,16
2015/08/25,1,5,15
2015/08/26,1,5,13
