date,Active Editors Total
2013/09/24,75665.0
2013/09/25,75681.0
2013/09/26,75431.0
2013/09/27,75217.0
2013/09/28,74917.0
2013/09/29,74582.0
2013/09/30,74326.0
2013/10/01,74584.0
2013/10/02,74657.0
2013/10/03,74365.0
2013/10/04,74347.0
2013/10/05,74311.0
2013/10/06,74113.0
2013/10/07,74215.0
2013/10/08,74409.0
2013/10/09,74572.0
2013/10/10,74642.0
2013/10/11,74595.0
2013/10/12,74639.0
2013/10/13,74606.0
2013/10/14,74639.0
2013/10/15,74869.0
2013/10/16,75035.0
2013/10/17,75041.0
2013/10/18,74990.0
2013/10/19,74928.0
2013/10/20,74918.0
2013/10/21,75107.0
2013/10/22,75423.0
2013/10/23,75679.0
2013/10/24,75781.0
2013/10/25,75870.0
2013/10/26,75874.0
2013/10/27,75657.0
2013/10/28,75704.0
2013/10/29,76028.0
2013/10/30,76175.0
2013/10/31,76218.0
2013/11/01,76090.0
2013/11/02,75905.0
2013/11/03,75800.0
2013/11/04,75903.0
2013/11/05,76264.0
2013/11/06,76369.0
2013/11/07,76377.0
2013/11/08,76399.0
2013/11/09,76337.0
2013/11/10,76365.0
2013/11/11,76476.0
2013/11/12,76932.0
2013/11/13,77037.0
2013/11/14,77093.0
2013/11/15,76987.0
2013/11/16,76872.0
2013/11/17,76703.0
2013/11/18,76859.0
2013/11/19,77223.0
2013/11/20,77400.0
2013/11/21,77373.0
2013/11/22,77283.0
2013/11/23,77222.0
2013/11/24,76928.0
2013/11/25,77009.0
2013/11/26,77385.0
2013/11/27,77562.0
2013/11/28,77579.0
2013/11/29,77484.0
2013/11/30,77274.0
2013/12/01,77273.0
2013/12/02,77365.0
2013/12/03,77690.0
2013/12/04,77871.0
2013/12/05,78021.0
2013/12/06,78016.0
2013/12/07,78017.0
2013/12/08,77919.0
2013/12/09,78170.0
2013/12/10,78477.0
2013/12/11,78645.0
2013/12/12,78506.0
2013/12/13,78444.0
2013/12/14,78259.0
2013/12/15,78118.0
2013/12/16,78172.0
2013/12/17,78484.0
2013/12/18,78450.0
2013/12/19,78377.0
2013/12/20,78166.0
2013/12/21,77893.0
2013/12/22,77608.0
2013/12/23,77528.0
2013/12/24,77544.0
2013/12/25,77244.0
2013/12/26,76634.0
2013/12/27,76374.0
2013/12/28,76089.0
2013/12/29,76101.0
2013/12/30,76254.0
2013/12/31,76604.0
2014/01/01,76348.0
2014/01/02,76032.0
2014/01/03,76091.0
2014/01/04,76210.0
2014/01/05,76232.0
2014/01/06,76341.0
2014/01/07,76567.0
2014/01/08,76704.0
2014/01/09,76693.0
2014/01/10,76742.0
2014/01/11,77041.0
2014/01/12,77206.0
2014/01/13,77546.0
2014/01/14,78277.0
2014/01/15,78915.0
2014/01/16,79305.0
2014/01/17,79696.0
2014/01/18,80140.0
2014/01/19,80457.0
2014/01/20,80809.0
2014/01/21,81443.0
2014/01/22,82133.0
2014/01/23,82718.0
2014/01/24,83560.0
2014/01/25,84393.0
2014/01/26,84691.0
2014/01/27,85163.0
2014/01/28,85834.0
2014/01/29,86456.0
2014/01/30,87033.0
2014/01/31,87751.0
2014/02/01,88442.0
2014/02/02,88692.0
2014/02/03,88826.0
2014/02/04,89127.0
2014/02/05,89453.0
2014/02/06,89789.0
2014/02/07,89958.0
2014/02/08,89977.0
2014/02/09,89934.0
2014/02/10,89855.0
2014/02/11,89985.0
2014/02/12,90087.0
2014/02/13,90103.0
2014/02/14,89913.0
2014/02/15,89741.0
2014/02/16,89551.0
2014/02/17,89507.0
2014/02/18,89722.0
2014/02/19,89855.0
2014/02/20,89938.0
2014/02/21,89991.0
2014/02/22,89860.0
2014/02/23,89596.0
2014/02/24,89349.0
2014/02/25,89603.0
2014/02/26,89651.0
2014/02/27,89474.0
2014/02/28,89301.0
2014/03/01,88877.0
2014/03/02,88452.0
2014/03/03,88246.0
2014/03/04,88231.0
2014/03/05,88207.0
2014/03/06,88214.0
2014/03/07,88030.0
2014/03/08,87796.0
2014/03/09,87378.0
2014/03/10,87303.0
2014/03/11,87530.0
2014/03/12,87367.0
2014/03/13,87391.0
2014/03/14,87261.0
2014/03/15,87084.0
2014/03/16,86741.0
2014/03/17,86757.0
2014/03/18,86994.0
2014/03/19,87133.0
2014/03/20,87046.0
2014/03/21,86871.0
2014/03/22,86592.0
2014/03/23,86201.0
2014/03/24,86167.0
2014/03/25,86571.0
2014/03/26,86944.0
2014/03/27,87043.0
2014/03/28,86935.0
2014/03/29,86834.0
2014/03/30,86588.0
2014/03/31,86451.0
2014/04/01,86801.0
2014/04/02,86851.0
2014/04/03,86987.0
2014/04/04,86858.0
2014/04/05,86768.0
2014/04/06,86630.0
2014/04/07,86545.0
2014/04/08,86947.0
2014/04/09,87155.0
2014/04/10,87121.0
2014/04/11,87125.0
2014/04/12,86944.0
2014/04/13,86442.0
2014/04/14,86256.0
2014/04/15,86408.0
2014/04/16,86512.0
2014/04/17,86392.0
2014/04/18,86122.0
2014/04/19,85863.0
2014/04/20,85628.0
2014/04/21,85465.0
2014/04/22,85758.0
2014/04/23,85975.0
2014/04/24,85882.0
2014/04/25,85638.0
2014/04/26,85529.0
2014/04/27,85320.0
2014/04/28,85350.0
2014/04/29,85664.0
2014/04/30,85901.0
2014/05/01,85731.0
2014/05/02,85718.0
2014/05/03,85592.0
2014/05/04,85385.0
2014/05/05,85240.0
2014/05/06,85566.0
2014/05/07,85780.0
2014/05/08,85913.0
2014/05/09,85903.0
2014/05/10,85916.0
2014/05/11,85697.0
2014/05/12,85626.0
2014/05/13,86196.0
2014/05/14,86733.0
2014/05/15,86951.0
2014/05/16,87112.0
2014/05/17,87113.0
2014/05/18,87002.0
2014/05/19,86984.0
2014/05/20,87350.0
2014/05/21,87731.0
2014/05/22,87893.0
2014/05/23,87897.0
2014/05/24,87950.0
2014/05/25,87784.0
2014/05/26,87678.0
2014/05/27,88054.0
2014/05/28,88368.0
2014/05/29,88316.0
2014/05/30,88310.0
2014/05/31,88235.0
2014/06/01,87959.0
2014/06/02,87856.0
2014/06/03,88121.0
2014/06/04,88360.0
2014/06/05,88302.0
2014/06/06,88211.0
2014/06/07,87937.0
2014/06/08,87630.0
2014/06/09,87422.0
2014/06/10,87637.0
2014/06/11,87827.0
2014/06/12,87625.0
2014/06/13,87383.0
2014/06/14,87223.0
2014/06/15,86701.0
2014/06/16,86600.0
2014/06/17,86753.0
2014/06/18,86920.0
2014/06/19,86811.0
2014/06/20,86575.0
2014/06/21,86106.0
2014/06/22,85609.0
2014/06/23,85194.0
2014/06/24,85307.0
2014/06/25,85219.0
2014/06/26,85125.0
2014/06/27,84765.0
2014/06/28,84483.0
2014/06/29,84045.0
2014/06/30,83965.0
2014/07/01,84206.0
2014/07/02,84302.0
