date,nahwiki (100+),nahwiki (5+),nahwiki (all)
2012/11/27,6,28,55
2012/11/28,6,26,54
2012/11/29,6,27,53
2012/11/30,6,28,54
2012/12/01,5,28,56
2012/12/02,6,28,55
2012/12/03,6,28,53
2012/12/04,6,28,52
2012/12/05,6,28,53
2012/12/06,6,28,52
2012/12/07,6,28,52
2012/12/08,6,28,53
2012/12/09,6,27,53
2012/12/10,6,27,53
2012/12/11,6,27,56
2012/12/12,6,27,56
2012/12/13,6,27,56
2012/12/14,6,26,56
2012/12/15,6,26,55
2012/12/16,7,24,54
2012/12/17,9,25,53
2012/12/18,9,25,52
2012/12/19,9,24,52
2012/12/20,9,24,53
2012/12/21,9,24,53
2012/12/22,9,24,53
2012/12/23,9,24,54
2012/12/24,9,24,55
2012/12/25,8,24,55
2012/12/26,8,23,55
2012/12/27,8,23,53
2012/12/28,8,24,53
2012/12/29,9,25,54
2012/12/30,8,25,54
2012/12/31,8,25,55
2013/01/01,8,25,60
2013/01/02,8,25,61
2013/01/03,9,25,60
2013/01/04,8,26,59
2013/01/05,8,26,61
2013/01/06,8,26,62
2013/01/07,8,27,61
2013/01/08,8,28,62
2013/01/09,8,28,62
2013/01/10,8,28,60
2013/01/11,8,28,61
2013/01/12,8,28,65
2013/01/13,8,28,65
2013/01/14,8,28,63
2013/01/15,8,29,64
2013/01/16,7,29,63
2013/01/17,7,32,61
2013/01/18,7,32,60
2013/01/19,7,35,62
2013/01/20,7,35,62
2013/01/21,7,35,61
2013/01/22,7,36,61
2013/01/23,7,35,62
2013/01/24,7,35,61
2013/01/25,7,35,63
2013/01/26,7,35,63
2013/01/27,7,34,63
2013/01/28,6,35,62
2013/01/29,7,35,62
2013/01/30,7,34,61
2013/01/31,7,34,58
2013/02/01,8,33,57
2013/02/02,8,32,57
2013/02/03,8,32,58
2013/02/04,8,32,56
2013/02/05,8,32,58
2013/02/06,8,32,58
2013/02/07,8,32,55
2013/02/08,7,32,55
2013/02/09,7,32,57
2013/02/10,7,33,57
2013/02/11,7,32,55
2013/02/12,7,32,56
2013/02/13,7,32,56
2013/02/14,7,30,56
2013/02/15,6,29,57
2013/02/16,6,28,59
2013/02/17,6,28,61
2013/02/18,6,27,61
2013/02/19,6,27,61
2013/02/20,6,27,61
2013/02/21,6,27,61
2013/02/22,6,26,58
2013/02/23,6,26,60
2013/02/24,6,27,63
2013/02/25,6,27,63
2013/02/26,7,27,62
2013/02/27,7,26,60
2013/02/28,7,27,61
2013/03/01,6,27,60
2013/03/02,6,26,60
2013/03/03,6,26,58
2013/03/04,5,26,60
2013/03/05,6,26,58
2013/03/06,6,26,59
2013/03/07,6,26,59
2013/03/08,7,27,58
2013/03/09,7,26,58
2013/03/10,6,26,57
2013/03/11,6,26,55
2013/03/12,7,27,56
2013/03/13,7,27,56
2013/03/14,7,28,56
2013/03/15,7,27,54
2013/03/16,7,26,52
2013/03/17,7,25,51
2013/03/18,7,25,51
2013/03/19,7,25,49
2013/03/20,6,24,48
2013/03/21,5,24,47
2013/03/22,5,24,47
2013/03/23,5,24,48
2013/03/24,5,24,49
2013/03/25,5,24,48
2013/03/26,4,20,44
2013/03/27,4,20,45
2013/03/28,4,18,45
2013/03/29,4,18,46
2013/03/30,4,18,43
2013/03/31,3,18,43
2013/04/01,3,17,42
2013/04/02,3,15,44
2013/04/03,3,14,41
2013/04/04,3,12,40
2013/04/05,3,10,37
2013/04/06,3,9,31
2013/04/07,4,9,31
2013/04/08,4,9,32
2013/04/09,4,9,33
2013/04/10,4,9,32
2013/04/11,3,9,31
2013/04/12,3,9,31
2013/04/13,2,10,31
2013/04/14,2,10,31
2013/04/15,1,9,33
2013/04/16,1,9,34
2013/04/17,1,9,35
2013/04/18,1,9,35
2013/04/19,1,9,36
2013/04/20,1,10,38
2013/04/21,1,10,39
2013/04/22,1,10,37
2013/04/23,1,10,35
2013/04/24,1,10,34
2013/04/25,1,10,32
2013/04/26,1,10,33
2013/04/27,1,10,32
2013/04/28,1,9,31
2013/04/29,1,9,33
2013/04/30,1,10,33
2013/05/01,1,10,33
2013/05/02,1,10,31
2013/05/03,1,10,30
2013/05/04,1,10,31
2013/05/05,1,9,31
2013/05/06,,10,31
2013/05/07,,8,30
2013/05/08,,8,30
2013/05/09,,8,29
2013/05/10,,8,30
2013/05/11,,8,31
2013/05/12,,8,31
2013/05/13,1,7,29
2013/05/14,1,7,29
2013/05/15,1,8,28
2013/05/16,1,8,29
2013/05/17,1,7,28
2013/05/18,1,9,29
2013/05/19,1,9,27
2013/05/20,1,8,25
2013/05/21,1,8,25
2013/05/22,1,8,25
2013/05/23,1,8,26
2013/05/24,1,8,27
2013/05/25,1,9,26
2013/05/26,1,9,25
2013/05/27,1,9,25
2013/05/28,1,9,25
2013/05/29,1,9,23
2013/05/30,1,8,21
2013/05/31,1,8,21
2013/06/01,1,8,22
2013/06/02,1,8,22
2013/06/03,1,8,21
2013/06/04,1,8,19
2013/06/05,1,8,18
2013/06/06,1,8,18
2013/06/07,1,8,18
2013/06/08,1,8,19
2013/06/09,1,8,18
2013/06/10,1,8,18
2013/06/11,1,8,19
2013/06/12,1,8,19
2013/06/13,,8,19
2013/06/14,,8,20
2013/06/15,,8,19
2013/06/16,,8,22
2013/06/17,,8,23
2013/06/18,,8,25
2013/06/19,,8,25
2013/06/20,,6,24
2013/06/21,,7,26
2013/06/22,,8,26
2013/06/23,,8,26
2013/06/24,,8,27
2013/06/25,,7,28
2013/06/26,,6,27
2013/06/27,,6,27
2013/06/28,,6,27
2013/06/29,,6,27
2013/06/30,,6,27
2013/07/01,,6,26
2013/07/02,,6,26
2013/07/03,,6,26
2013/07/04,,7,25
2013/07/05,,7,25
2013/07/06,,7,25
2013/07/07,,7,24
2013/07/08,,6,25
2013/07/09,,6,25
2013/07/10,,5,24
2013/07/11,,6,24
2013/07/12,,6,24
2013/07/13,,6,24
2013/07/14,,6,23
2013/07/15,,7,25
2013/07/16,1,8,25
2013/07/17,1,9,24
2013/07/18,,9,22
2013/07/19,,9,22
2013/07/20,,7,22
2013/07/21,,7,20
2013/07/22,,7,21
2013/07/23,,7,21
2013/07/24,,7,20
2013/07/25,,7,20
2013/07/26,,7,20
2013/07/27,,7,21
2013/07/28,,7,21
2013/07/29,,7,23
2013/07/30,,7,23
2013/07/31,,7,23
2013/08/01,,7,24
2013/08/02,,7,24
2013/08/03,,8,23
2013/08/04,,8,22
2013/08/05,,8,23
2013/08/06,,8,23
2013/08/07,,8,23
2013/08/08,,7,23
2013/08/09,,7,23
2013/08/10,,6,23
2013/08/11,,7,23
2013/08/12,,7,24
2013/08/13,,7,24
2013/08/14,,6,23
2013/08/15,,6,21
2013/08/16,,5,22
2013/08/17,,5,21
2013/08/18,,5,21
2013/08/19,,5,20
2013/08/20,,5,20
2013/08/21,,5,19
2013/08/22,,5,19
2013/08/23,,5,19
2013/08/24,,5,19
2013/08/25,,5,18
2013/08/26,,5,17
2013/08/27,,4,17
2013/08/28,,4,15
2013/08/29,,5,16
2013/08/30,,4,14
2013/08/31,,4,14
2013/09/01,,4,14
2013/09/02,,5,16
2013/09/03,,5,16
2013/09/04,,5,16
2013/09/05,,5,16
2013/09/06,,5,15
2013/09/07,,5,15
2013/09/08,,4,15
2013/09/09,,4,13
2013/09/10,,4,13
2013/09/11,,4,12
2013/09/12,,4,13
2013/09/13,,4,13
2013/09/14,,4,13
2013/09/15,,4,13
2013/09/16,,3,12
2013/09/17,,3,12
2013/09/18,,3,12
2013/09/19,,3,13
2013/09/20,,3,13
2013/09/21,,3,14
2013/09/22,,3,14
2013/09/23,,2,13
2013/09/24,,2,14
2013/09/25,,2,14
2013/09/26,,2,15
2013/09/27,,2,15
2013/09/28,,2,15
2013/09/29,,2,16
2013/09/30,,2,15
2013/10/01,,2,14
2013/10/02,,1,13
2013/10/03,,1,13
2013/10/04,,1,13
2013/10/05,,1,13
2013/10/06,,1,13
2013/10/07,,2,12
2013/10/08,,2,11
2013/10/09,,2,12
2013/10/10,,2,13
2013/10/11,,2,13
2013/10/12,,2,12
2013/10/13,,2,12
2013/10/14,,2,13
2013/10/15,,2,13
2013/10/16,,2,14
2013/10/17,,2,14
2013/10/18,,2,15
2013/10/19,,2,13
2013/10/20,,2,13
2013/10/21,,2,15
2013/10/22,,2,15
2013/10/23,,2,15
2013/10/24,,2,14
2013/10/25,,2,14
2013/10/26,,2,14
2013/10/27,,2,14
2013/10/28,,2,16
2013/10/29,,2,15
2013/10/30,,3,15
2013/10/31,,3,15
2013/11/01,,3,15
2013/11/02,,3,15
2013/11/03,,3,15
2013/11/04,,3,16
2013/11/05,,3,16
2013/11/06,,2,16
2013/11/07,,2,16
2013/11/08,,2,15
2013/11/09,,2,16
2013/11/10,,3,18
2013/11/11,,3,19
2013/11/12,,5,20
2013/11/13,,5,19
2013/11/14,,5,20
2013/11/15,,5,19
2013/11/16,,5,20
2013/11/17,,5,19
2013/11/18,,5,20
2013/11/19,,5,21
2013/11/20,,5,20
2013/11/21,,5,20
2013/11/22,,5,20
2013/11/23,,5,20
2013/11/24,,6,21
2013/11/25,,6,20
2013/11/26,,6,21
2013/11/27,,6,20
2013/11/28,,6,21
2013/11/29,,6,21
2013/11/30,,6,22
2013/12/01,,5,22
2013/12/02,,5,23
2013/12/03,,5,24
2013/12/04,,5,23
2013/12/05,,5,24
2013/12/06,,5,27
2013/12/07,,5,28
2013/12/08,,5,27
2013/12/09,,5,28
2013/12/10,,4,26
2013/12/11,,4,26
2013/12/12,,3,25
2013/12/13,,3,25
2013/12/14,,3,23
2013/12/15,,3,24
2013/12/16,,3,23
2013/12/17,,2,23
2013/12/18,,3,21
2013/12/19,,3,21
2013/12/20,,3,21
2013/12/21,,4,22
2013/12/22,,4,22
2013/12/23,,4,24
2013/12/24,,2,23
2013/12/25,,2,24
2013/12/26,,2,24
2013/12/27,,2,23
2013/12/28,,2,22
2013/12/29,,3,23
2013/12/30,,3,23
2013/12/31,,3,25
2014/01/01,,4,25
2014/01/02,,4,24
2014/01/03,,4,23
2014/01/04,,5,23
2014/01/05,,4,20
2014/01/06,,4,21
2014/01/07,,5,22
2014/01/08,,6,20
2014/01/09,1,6,21
2014/01/10,1,7,22
2014/01/11,1,7,24
2014/01/12,1,7,26
2014/01/13,1,7,27
2014/01/14,1,8,27
2014/01/15,1,8,26
2014/01/16,2,9,29
2014/01/17,2,9,29
2014/01/18,2,9,28
2014/01/19,2,9,28
2014/01/20,2,8,28
2014/01/21,2,8,28
2014/01/22,2,8,29
2014/01/23,2,8,29
2014/01/24,2,9,28
2014/01/25,2,9,29
2014/01/26,2,9,29
2014/01/27,3,9,29
2014/01/28,3,9,27
2014/01/29,3,9,26
2014/01/30,3,9,26
2014/01/31,3,9,26
2014/02/01,3,9,26
2014/02/02,3,9,27
2014/02/03,3,9,28
2014/02/04,3,9,28
2014/02/05,3,9,28
2014/02/06,2,9,29
2014/02/07,2,9,28
2014/02/08,1,9,29
2014/02/09,1,8,30
2014/02/10,1,7,27
2014/02/11,1,7,27
2014/02/12,1,7,26
2014/02/13,1,7,25
2014/02/14,1,7,25
2014/02/15,,6,21
2014/02/16,,6,21
2014/02/17,,6,21
2014/02/18,1,6,22
2014/02/19,1,6,22
2014/02/20,1,6,22
2014/02/21,1,6,20
2014/02/22,1,5,20
2014/02/23,1,4,20
2014/02/24,1,4,19
2014/02/25,1,4,20
2014/02/26,1,3,19
2014/02/27,1,4,19
2014/02/28,1,4,19
2014/03/01,1,5,18
2014/03/02,1,4,19
2014/03/03,1,4,19
2014/03/04,1,4,18
2014/03/05,1,3,17
2014/03/06,1,4,17
2014/03/07,1,4,16
2014/03/08,1,4,17
2014/03/09,1,4,17
2014/03/10,1,4,16
2014/03/11,1,4,18
2014/03/12,1,4,18
2014/03/13,1,4,18
2014/03/14,1,4,19
2014/03/15,1,4,22
