date,nds_nlwiki (100+),nds_nlwiki (5+),nds_nlwiki (all)
2013/05/17,2,6,20
2013/05/18,2,6,19
2013/05/19,2,6,20
2013/05/20,2,6,19
2013/05/21,2,6,20
2013/05/22,2,6,21
2013/05/23,1,6,21
2013/05/24,1,6,21
2013/05/25,1,6,22
2013/05/26,2,6,22
2013/05/27,2,6,23
2013/05/28,2,6,23
2013/05/29,1,6,23
2013/05/30,1,6,25
2013/05/31,1,6,24
2013/06/01,1,5,24
2013/06/02,1,4,21
2013/06/03,,4,21
2013/06/04,,4,21
2013/06/05,,4,22
2013/06/06,,4,23
2013/06/07,,4,22
2013/06/08,,4,22
2013/06/09,,4,23
2013/06/10,,5,23
2013/06/11,,6,22
2013/06/12,1,6,22
2013/06/13,,6,22
2013/06/14,,5,20
2013/06/15,,5,20
2013/06/16,,5,20
2013/06/17,,5,21
2013/06/18,,5,22
2013/06/19,,5,21
2013/06/20,,5,20
2013/06/21,,5,18
2013/06/22,,5,18
2013/06/23,,5,17
2013/06/24,,5,17
2013/06/25,,6,20
2013/06/26,,5,22
2013/06/27,,5,24
2013/06/28,,5,23
2013/06/29,,5,21
2013/06/30,,5,22
2013/07/01,,6,22
2013/07/02,,6,23
2013/07/03,,6,23
2013/07/04,,6,22
2013/07/05,,6,22
2013/07/06,,5,22
2013/07/07,,5,22
2013/07/08,,5,22
2013/07/09,,5,22
2013/07/10,,5,22
2013/07/11,,5,22
2013/07/12,,5,22
2013/07/13,,6,22
2013/07/14,,6,22
2013/07/15,,7,22
2013/07/16,,7,23
2013/07/17,,7,24
2013/07/18,,7,24
2013/07/19,,7,24
2013/07/20,,7,24
2013/07/21,,7,24
2013/07/22,,7,23
2013/07/23,,7,25
2013/07/24,,7,25
2013/07/25,,6,21
2013/07/26,,6,21
2013/07/27,,6,18
2013/07/28,,7,18
2013/07/29,,6,18
2013/07/30,,6,18
2013/07/31,,5,17
2013/08/01,,5,17
2013/08/02,,4,19
2013/08/03,,4,19
2013/08/04,,5,20
2013/08/05,,6,21
2013/08/06,1,6,21
2013/08/07,1,6,21
2013/08/08,1,6,20
2013/08/09,2,6,19
2013/08/10,2,6,18
2013/08/11,2,6,18
2013/08/12,2,6,18
2013/08/13,2,7,19
2013/08/14,3,7,19
2013/08/15,3,7,18
2013/08/16,3,7,18
2013/08/17,2,7,18
2013/08/18,2,7,18
2013/08/19,2,7,17
2013/08/20,3,8,18
2013/08/21,3,8,18
2013/08/22,3,8,17
2013/08/23,3,8,17
2013/08/24,3,8,17
2013/08/25,3,9,17
2013/08/26,2,9,18
2013/08/27,2,9,17
2013/08/28,2,9,17
2013/08/29,2,9,18
2013/08/30,2,9,18
2013/08/31,2,9,18
2013/09/01,2,9,16
2013/09/02,2,9,16
2013/09/03,2,8,15
2013/09/04,2,7,14
2013/09/05,2,7,15
2013/09/06,2,7,15
2013/09/07,2,7,15
2013/09/08,2,6,15
2013/09/09,2,6,16
2013/09/10,2,6,16
2013/09/11,2,7,16
2013/09/12,2,7,15
2013/09/13,2,7,16
2013/09/14,1,7,16
2013/09/15,1,6,15
2013/09/16,1,6,15
2013/09/17,1,6,15
2013/09/18,1,6,16
2013/09/19,1,6,16
2013/09/20,1,6,17
2013/09/21,1,6,19
2013/09/22,1,5,19
2013/09/23,1,6,21
2013/09/24,1,6,21
2013/09/25,1,6,20
2013/09/26,1,8,21
2013/09/27,1,7,20
2013/09/28,1,7,20
2013/09/29,1,7,20
2013/09/30,1,7,20
2013/10/01,1,7,20
2013/10/02,1,7,21
2013/10/03,1,7,22
2013/10/04,1,9,22
2013/10/05,1,8,22
2013/10/06,1,8,22
2013/10/07,1,9,23
2013/10/08,1,9,24
2013/10/09,1,9,24
2013/10/10,1,9,25
2013/10/11,1,8,24
2013/10/12,1,8,24
2013/10/13,1,8,24
2013/10/14,1,7,24
2013/10/15,1,7,25
2013/10/16,1,7,26
2013/10/17,1,7,26
2013/10/18,1,6,26
2013/10/19,1,7,26
2013/10/20,1,7,25
2013/10/21,1,6,23
2013/10/22,1,6,24
2013/10/23,1,5,23
2013/10/24,1,5,23
2013/10/25,1,7,25
2013/10/26,1,5,25
2013/10/27,1,5,24
2013/10/28,,5,23
2013/10/29,,5,24
2013/10/30,,5,24
2013/10/31,,5,24
2013/11/01,,5,25
2013/11/02,,5,23
2013/11/03,,5,23
2013/11/04,,5,23
2013/11/05,,5,22
2013/11/06,,4,22
2013/11/07,,4,20
2013/11/08,,4,19
2013/11/09,,5,20
2013/11/10,,5,18
2013/11/11,,5,18
2013/11/12,,5,19
2013/11/13,,5,19
2013/11/14,,5,19
2013/11/15,,5,18
2013/11/16,,5,18
2013/11/17,,5,18
2013/11/18,,5,19
2013/11/19,,5,20
2013/11/20,,5,20
2013/11/21,,6,19
2013/11/22,,6,19
2013/11/23,,5,20
2013/11/24,,4,17
2013/11/25,,4,16
2013/11/26,,4,16
2013/11/27,,4,16
2013/11/28,,4,16
2013/11/29,,4,16
2013/11/30,,4,15
2013/12/01,,5,15
2013/12/02,,5,16
2013/12/03,1,6,16
2013/12/04,1,6,17
2013/12/05,1,6,18
2013/12/06,1,6,18
2013/12/07,1,6,19
2013/12/08,1,7,21
2013/12/09,1,6,21
2013/12/10,1,6,21
2013/12/11,1,6,21
2013/12/12,2,6,17
2013/12/13,2,6,17
2013/12/14,2,6,17
2013/12/15,2,6,18
2013/12/16,2,6,18
2013/12/17,2,6,18
2013/12/18,2,6,18
2013/12/19,2,6,19
2013/12/20,2,6,19
2013/12/21,2,5,19
2013/12/22,2,5,19
2013/12/23,2,5,19
2013/12/24,2,5,19
2013/12/25,2,5,18
2013/12/26,2,5,18
2013/12/27,2,5,19
2013/12/28,2,5,18
2013/12/29,2,6,19
2013/12/30,2,5,20
2013/12/31,2,5,19
2014/01/01,2,5,19
2014/01/02,2,5,19
2014/01/03,2,5,19
2014/01/04,2,5,18
2014/01/05,2,4,18
2014/01/06,2,4,18
2014/01/07,2,4,17
2014/01/08,2,4,16
2014/01/09,2,4,16
2014/01/10,2,5,16
2014/01/11,1,4,15
2014/01/12,1,4,15
2014/01/13,1,4,15
2014/01/14,1,4,17
2014/01/15,1,4,17
2014/01/16,1,4,17
2014/01/17,1,3,18
2014/01/18,1,3,16
2014/01/19,1,3,16
2014/01/20,1,3,16
2014/01/21,1,3,17
2014/01/22,1,4,21
2014/01/23,1,3,20
2014/01/24,1,3,21
2014/01/25,1,3,21
2014/01/26,,3,20
2014/01/27,,3,21
2014/01/28,,3,20
2014/01/29,,3,20
2014/01/30,,3,20
2014/01/31,,4,20
2014/02/01,,4,20
2014/02/02,,4,19
2014/02/03,,4,18
2014/02/04,,5,19
2014/02/05,,5,19
2014/02/06,,5,20
2014/02/07,,5,22
2014/02/08,,6,25
2014/02/09,,5,25
2014/02/10,,5,25
2014/02/11,,5,25
2014/02/12,,6,24
2014/02/13,,6,21
2014/02/14,,6,21
2014/02/15,,6,20
2014/02/16,,6,20
2014/02/17,,6,20
2014/02/18,,6,20
2014/02/19,,6,21
2014/02/20,,6,22
2014/02/21,,5,19
2014/02/22,,5,19
2014/02/23,,5,18
2014/02/24,,5,17
2014/02/25,,5,19
2014/02/26,,5,18
2014/02/27,,5,19
2014/02/28,,5,20
2014/03/01,,5,20
2014/03/02,,5,20
2014/03/03,,6,20
2014/03/04,,6,20
2014/03/05,,6,20
2014/03/06,,6,19
2014/03/07,,6,19
2014/03/08,,6,18
2014/03/09,,6,17
2014/03/10,,5,16
2014/03/11,,5,17
2014/03/12,,4,18
2014/03/13,,4,18
2014/03/14,,4,19
2014/03/15,,4,19
2014/03/16,,4,19
2014/03/17,,4,21
2014/03/18,,4,20
2014/03/19,,4,20
2014/03/20,,4,21
2014/03/21,,4,20
2014/03/22,,4,20
2014/03/23,,4,21
2014/03/24,,4,23
2014/03/25,1,4,24
2014/03/26,1,4,24
2014/03/27,1,4,23
2014/03/28,1,4,24
2014/03/29,1,4,23
2014/03/30,1,4,22
2014/03/31,1,4,22
2014/04/01,1,4,22
2014/04/02,1,4,22
2014/04/03,1,4,23
2014/04/04,1,4,23
2014/04/05,1,4,23
2014/04/06,1,4,25
2014/04/07,1,4,26
2014/04/08,1,4,25
2014/04/09,1,4,25
2014/04/10,1,4,23
2014/04/11,1,4,23
2014/04/12,1,4,23
2014/04/13,1,4,22
2014/04/14,1,4,22
2014/04/15,1,4,23
2014/04/16,1,4,21
2014/04/17,1,4,22
2014/04/18,1,4,23
2014/04/19,1,4,23
2014/04/20,1,4,22
2014/04/21,1,4,23
2014/04/22,1,4,23
2014/04/23,1,4,21
2014/04/24,1,4,21
2014/04/25,1,4,21
2014/04/26,1,4,21
2014/04/27,1,4,22
2014/04/28,1,4,23
2014/04/29,1,4,23
2014/04/30,1,4,23
2014/05/01,1,4,24
2014/05/02,1,5,26
2014/05/03,1,6,26
2014/05/04,1,6,25
2014/05/05,1,6,26
2014/05/06,1,6,26
2014/05/07,1,6,25
2014/05/08,1,6,25
2014/05/09,1,6,23
2014/05/10,1,6,23
2014/05/11,1,6,22
2014/05/12,1,6,22
2014/05/13,1,6,22
2014/05/14,1,6,23
2014/05/15,1,6,22
2014/05/16,1,6,22
2014/05/17,1,6,22
2014/05/18,1,6,22
2014/05/19,1,6,22
2014/05/20,1,6,22
2014/05/21,1,6,22
2014/05/22,1,5,21
2014/05/23,,5,21
2014/05/24,,5,21
2014/05/25,,6,21
2014/05/26,,6,22
2014/05/27,,6,20
2014/05/28,,6,19
2014/05/29,,6,19
2014/05/30,,6,19
2014/05/31,,6,19
2014/06/01,,5,19
2014/06/02,,5,19
2014/06/03,,5,18
2014/06/04,,5,16
2014/06/05,,5,14
2014/06/06,,5,15
2014/06/07,,5,16
2014/06/08,,4,16
2014/06/09,,4,16
2014/06/10,,4,16
2014/06/11,,4,16
2014/06/12,,4,17
2014/06/13,,4,16
2014/06/14,,4,16
2014/06/15,,4,16
2014/06/16,,3,16
2014/06/17,,3,15
2014/06/18,,4,15
2014/06/19,,5,16
2014/06/20,,5,16
2014/06/21,,5,16
2014/06/22,,5,15
2014/06/23,,5,14
2014/06/24,,5,13
2014/06/25,,5,12
2014/06/26,,5,12
2014/06/27,,5,11
2014/06/28,,5,11
2014/06/29,,5,11
2014/06/30,,5,11
2014/07/01,,5,11
2014/07/02,,5,10
2014/07/03,,5,10
2014/07/04,,4,10
2014/07/05,,4,10
2014/07/06,,4,10
2014/07/07,,3,9
2014/07/08,,3,9
2014/07/09,,3,9
2014/07/10,,3,9
2014/07/11,,3,9
2014/07/12,,2,8
2014/07/13,,2,9
2014/07/14,,2,9
2014/07/15,,2,9
2014/07/16,,3,10
2014/07/17,,2,11
2014/07/18,,2,11
2014/07/19,,2,10
2014/07/20,,2,10
2014/07/21,,3,11
2014/07/22,,4,12
2014/07/23,,4,12
2014/07/24,,4,13
2014/07/25,,4,14
2014/07/26,,4,14
2014/07/27,,4,14
2014/07/28,,4,13
2014/07/29,,4,14
2014/07/30,,4,14
2014/07/31,,5,14
2014/08/01,,5,14
2014/08/02,,5,14
2014/08/03,,4,14
2014/08/04,,4,14
2014/08/05,,5,14
2014/08/06,,5,15
2014/08/07,,5,15
2014/08/08,,5,15
2014/08/09,,5,15
2014/08/10,,5,15
2014/08/11,,5,15
2014/08/12,,5,15
2014/08/13,,5,16
2014/08/14,,5,16
2014/08/15,,4,15
2014/08/16,,4,14
2014/08/17,,4,14
2014/08/18,,4,14
2014/08/19,,4,14
2014/08/20,,5,13
2014/08/21,,3,13
2014/08/22,,3,13
2014/08/23,,3,11
2014/08/24,,3,10
2014/08/25,,5,12
2014/08/26,,5,12
2014/08/27,,5,13
2014/08/28,,5,12
2014/08/29,,6,12
2014/08/30,,5,12
2014/08/31,,6,12
2014/09/01,,6,13
2014/09/02,,6,13
2014/09/03,,6,13
2014/09/04,,5,12
2014/09/05,,5,11
2014/09/06,,5,11
2014/09/07,,5,12
2014/09/08,,5,13
2014/09/09,,5,14
2014/09/10,,5,14
2014/09/11,,5,13
2014/09/12,,5,12
2014/09/13,,5,12
2014/09/14,,5,12
2014/09/15,,5,13
2014/09/16,,6,13
2014/09/17,,6,13
2014/09/18,,6,13
2014/09/19,,5,13
2014/09/20,,6,13
2014/09/21,,6,13
2014/09/22,,5,13
2014/09/23,,5,13
2014/09/24,,5,15
2014/09/25,,6,16
2014/09/26,,7,16
2014/09/27,,7,16
2014/09/28,,7,16
2014/09/29,,7,15
2014/09/30,,6,15
2014/10/01,,6,14
2014/10/02,,7,15
2014/10/03,,7,15
2014/10/04,,7,16
2014/10/05,,7,16
2014/10/06,,7,17
2014/10/07,,7,16
2014/10/08,,6,15
2014/10/09,,6,14
2014/10/10,,6,15
2014/10/11,,6,15
2014/10/12,,6,15
2014/10/13,,6,15
2014/10/14,,6,15
2014/10/15,,5,15
2014/10/16,,5,15
2014/10/17,,4,15
2014/10/18,,4,15
2014/10/19,,4,14
2014/10/20,,4,14
2014/10/21,,4,14
2014/10/22,,4,13
2014/10/23,,4,13
2014/10/24,,5,14
2014/10/25,,3,13
2014/10/26,,3,11
2014/10/27,,3,11
2014/10/28,,3,11
2014/10/29,,3,11
2014/10/30,,3,10
2014/10/31,,3,10
2014/11/01,,4,13
2014/11/02,,3,14
2014/11/03,,3,13
2014/11/04,,4,13
2014/11/05,,4,12
2014/11/06,,4,11
2014/11/07,,4,13
2014/11/08,,5,15
2014/11/09,,5,15
2014/11/10,,6,16
2014/11/11,,8,16
2014/11/12,,8,16
2014/11/13,,8,16
2014/11/14,,8,16
2014/11/15,,8,16
2014/11/16,,8,16
2014/11/17,,9,17
2014/11/18,,9,19
2014/11/19,,9,18
2014/11/20,,9,18
2014/11/21,,9,19
2014/11/22,,9,19
2014/11/23,,9,18
2014/11/24,,9,18
2014/11/25,,9,19
2014/11/26,,9,19
2014/11/27,,9,20
2014/11/28,,9,20
2014/11/29,,9,19
2014/11/30,,9,19
2014/12/01,,8,18
2014/12/02,,8,18
2014/12/03,,8,18
2014/12/04,,8,18
2014/12/05,,8,18
2014/12/06,,8,19
2014/12/07,,9,17
2014/12/08,,8,16
2014/12/09,,8,16
2014/12/10,,7,16
2014/12/11,,7,16
2014/12/12,,7,16
2014/12/13,,7,16
2014/12/14,,7,16
2014/12/15,,7,17
2014/12/16,,7,17
2014/12/17,,7,17
2014/12/18,,7,16
2014/12/19,,6,16
2014/12/20,,6,16
2014/12/21,,6,15
2014/12/22,,5,15
2014/12/23,,5,15
2014/12/24,,5,15
2014/12/25,,5,15
2014/12/26,,5,15
2014/12/27,,3,15
2014/12/28,,3,15
2014/12/29,,3,16
2014/12/30,,4,16
2014/12/31,,4,16
2015/01/01,,4,16
2015/01/02,,4,15
2015/01/03,,4,15
2015/01/04,,5,15
2015/01/05,,5,15
2015/01/06,,5,16
2015/01/07,,5,16
2015/01/08,,4,16
2015/01/09,,5,17
2015/01/10,,5,16
2015/01/11,,5,16
2015/01/12,,5,16
2015/01/13,,5,15
2015/01/14,,5,14
2015/01/15,,5,14
2015/01/16,,5,14
2015/01/17,,5,13
2015/01/18,,5,13
2015/01/19,,5,13
2015/01/20,,5,13
2015/01/21,,5,14
2015/01/22,,5,14
2015/01/23,,5,14
2015/01/24,,5,13
2015/01/25,,5,13
2015/01/26,,5,13
2015/01/27,,5,15
2015/01/28,,5,14
2015/01/29,,5,15
2015/01/30,,5,15
2015/01/31,,5,14
2015/02/01,,5,13
2015/02/02,,5,14
2015/02/03,,5,15
2015/02/04,,4,15
2015/02/05,,4,15
2015/02/06,,4,16
2015/02/07,,4,17
2015/02/08,,3,16
2015/02/09,,3,16
2015/02/10,,3,17
2015/02/11,,4,17
2015/02/12,,4,18
2015/02/13,,4,21
2015/02/14,,4,22
2015/02/15,,4,22
2015/02/16,,4,22
2015/02/17,1,3,22
2015/02/18,1,3,22
2015/02/19,1,4,22
2015/02/20,1,4,21
2015/02/21,1,4,21
2015/02/22,1,5,22
2015/02/23,1,5,23
2015/02/24,1,5,23
2015/02/25,1,5,23
2015/02/26,1,6,21
2015/02/27,1,6,21
2015/02/28,1,6,20
2015/03/01,1,6,20
2015/03/02,1,6,20
2015/03/03,1,6,22
2015/03/04,1,6,21
2015/03/05,1,6,20
2015/03/06,1,6,20
2015/03/07,1,6,20
2015/03/08,1,6,19
2015/03/09,1,6,19
2015/03/10,1,6,18
2015/03/11,1,6,18
2015/03/12,1,6,18
2015/03/13,1,6,18
2015/03/14,1,6,17
2015/03/15,1,6,16
2015/03/16,1,7,15
2015/03/17,1,7,15
2015/03/18,1,7,15
2015/03/19,1,7,16
2015/03/20,1,8,16
2015/03/21,1,8,16
2015/03/22,1,8,17
2015/03/23,1,8,17
2015/03/24,2,8,17
2015/03/25,2,8,18
