date,ndswiki (100+),ndswiki (5+),ndswiki (all)
2013/06/12,3,5,27
2013/06/13,3,6,28
2013/06/14,3,6,27
2013/06/15,3,6,30
2013/06/16,3,6,33
2013/06/17,3,6,33
2013/06/18,3,6,34
2013/06/19,3,6,35
2013/06/20,3,6,34
2013/06/21,3,6,34
2013/06/22,3,7,32
2013/06/23,3,7,31
2013/06/24,3,7,32
2013/06/25,3,7,34
2013/06/26,3,7,34
2013/06/27,3,7,34
2013/06/28,3,7,35
2013/06/29,3,7,36
2013/06/30,3,7,36
2013/07/01,3,7,36
2013/07/02,3,7,36
2013/07/03,3,7,37
2013/07/04,3,7,38
2013/07/05,3,7,38
2013/07/06,3,7,39
2013/07/07,3,7,39
2013/07/08,3,7,39
2013/07/09,3,7,39
2013/07/10,3,6,40
2013/07/11,3,5,39
2013/07/12,3,5,39
2013/07/13,3,4,38
2013/07/14,3,4,38
2013/07/15,3,4,36
2013/07/16,3,5,35
2013/07/17,2,5,35
2013/07/18,2,5,34
2013/07/19,3,5,33
2013/07/20,3,5,33
2013/07/21,3,5,31
2013/07/22,2,5,32
2013/07/23,3,5,32
2013/07/24,3,4,31
2013/07/25,2,4,30
2013/07/26,2,4,31
2013/07/27,2,4,31
2013/07/28,2,4,29
2013/07/29,2,4,28
2013/07/30,2,4,28
2013/07/31,2,4,29
2013/08/01,2,4,29
2013/08/02,2,4,27
2013/08/03,2,4,25
2013/08/04,2,4,26
2013/08/05,2,4,25
2013/08/06,2,4,25
2013/08/07,2,5,25
2013/08/08,2,5,24
2013/08/09,2,5,21
2013/08/10,2,5,20
2013/08/11,2,5,21
2013/08/12,2,5,22
2013/08/13,2,5,21
2013/08/14,2,6,22
2013/08/15,2,7,22
2013/08/16,2,7,24
2013/08/17,1,6,25
2013/08/18,1,6,24
2013/08/19,1,6,25
2013/08/20,1,6,27
2013/08/21,1,6,26
2013/08/22,1,6,25
2013/08/23,1,7,24
2013/08/24,1,7,23
2013/08/25,1,8,24
2013/08/26,1,8,26
2013/08/27,1,8,26
2013/08/28,1,8,27
2013/08/29,1,9,28
2013/08/30,1,9,27
2013/08/31,1,9,27
2013/09/01,1,9,26
2013/09/02,1,9,27
2013/09/03,1,9,29
2013/09/04,1,9,28
2013/09/05,1,9,28
2013/09/06,1,10,29
2013/09/07,1,9,29
2013/09/08,1,10,29
2013/09/09,1,10,30
2013/09/10,1,11,30
2013/09/11,1,11,29
2013/09/12,1,11,30
2013/09/13,1,11,31
2013/09/14,1,11,32
2013/09/15,1,11,30
2013/09/16,1,11,30
2013/09/17,1,11,30
2013/09/18,1,11,30
2013/09/19,1,11,33
2013/09/20,1,12,36
2013/09/21,1,12,36
2013/09/22,1,11,36
2013/09/23,2,11,36
2013/09/24,2,10,36
2013/09/25,2,10,34
2013/09/26,2,10,33
2013/09/27,2,10,34
2013/09/28,1,9,34
2013/09/29,2,9,35
2013/09/30,2,8,35
2013/10/01,1,8,35
2013/10/02,1,8,33
2013/10/03,1,8,32
2013/10/04,1,8,33
2013/10/05,1,8,34
2013/10/06,1,7,32
2013/10/07,1,7,34
2013/10/08,1,7,35
2013/10/09,1,7,34
2013/10/10,1,5,34
2013/10/11,1,5,35
2013/10/12,1,5,36
2013/10/13,1,5,35
2013/10/14,1,5,36
2013/10/15,1,5,39
2013/10/16,1,5,40
2013/10/17,1,5,39
2013/10/18,1,5,41
2013/10/19,1,6,41
2013/10/20,1,6,41
2013/10/21,1,7,41
2013/10/22,1,7,43
2013/10/23,1,8,44
2013/10/24,1,8,43
2013/10/25,1,8,43
2013/10/26,1,8,47
2013/10/27,1,8,47
2013/10/28,1,8,47
2013/10/29,1,8,46
2013/10/30,1,8,46
2013/10/31,1,9,50
2013/11/01,1,8,50
2013/11/02,1,8,50
2013/11/03,1,8,50
2013/11/04,1,8,49
2013/11/05,1,8,49
2013/11/06,1,8,48
2013/11/07,1,8,49
2013/11/08,1,8,51
2013/11/09,1,7,50
2013/11/10,1,7,49
2013/11/11,1,7,48
2013/11/12,1,7,50
2013/11/13,1,7,47
2013/11/14,1,7,47
2013/11/15,1,7,45
2013/11/16,1,7,46
2013/11/17,1,7,43
2013/11/18,1,7,42
2013/11/19,1,8,41
2013/11/20,1,8,41
2013/11/21,1,8,39
2013/11/22,1,7,38
2013/11/23,1,7,39
2013/11/24,1,7,38
2013/11/25,1,7,33
2013/11/26,1,7,34
2013/11/27,1,7,33
2013/11/28,1,7,33
2013/11/29,1,6,34
2013/11/30,1,6,32
2013/12/01,1,7,31
2013/12/02,1,7,30
2013/12/03,1,8,33
2013/12/04,1,8,32
2013/12/05,1,8,32
2013/12/06,2,8,32
2013/12/07,2,8,31
2013/12/08,2,8,31
2013/12/09,2,8,33
2013/12/10,2,8,34
2013/12/11,2,9,34
2013/12/12,2,9,35
2013/12/13,2,9,34
2013/12/14,2,9,34
2013/12/15,2,9,35
2013/12/16,2,9,32
2013/12/17,1,9,33
2013/12/18,1,9,33
2013/12/19,1,9,33
2013/12/20,1,9,34
2013/12/21,1,9,34
2013/12/22,1,9,35
2013/12/23,1,9,36
2013/12/24,1,9,37
2013/12/25,1,9,36
2013/12/26,1,9,36
2013/12/27,1,9,37
2013/12/28,1,9,38
2013/12/29,1,9,38
2013/12/30,1,9,38
2013/12/31,1,9,37
2014/01/01,1,8,38
2014/01/02,1,6,34
2014/01/03,1,6,34
2014/01/04,1,6,35
2014/01/05,1,6,38
2014/01/06,1,5,38
2014/01/07,1,5,36
2014/01/08,1,5,35
2014/01/09,1,5,36
2014/01/10,1,5,38
2014/01/11,1,4,37
2014/01/12,1,4,37
2014/01/13,1,4,38
2014/01/14,1,4,37
2014/01/15,1,4,38
2014/01/16,1,5,36
2014/01/17,1,5,36
2014/01/18,1,5,35
2014/01/19,1,5,35
2014/01/20,1,5,35
2014/01/21,1,5,34
2014/01/22,1,6,34
2014/01/23,1,6,36
2014/01/24,1,7,37
2014/01/25,1,6,38
2014/01/26,1,6,36
2014/01/27,1,7,37
2014/01/28,1,9,38
2014/01/29,1,9,38
2014/01/30,1,9,38
2014/01/31,1,10,40
2014/02/01,1,10,42
2014/02/02,1,10,41
2014/02/03,1,10,40
2014/02/04,1,11,39
2014/02/05,1,11,38
2014/02/06,2,11,39
2014/02/07,2,11,39
2014/02/08,2,11,41
2014/02/09,2,11,41
2014/02/10,2,12,45
2014/02/11,2,12,44
2014/02/12,2,12,44
2014/02/13,2,12,42
2014/02/14,2,11,44
2014/02/15,2,11,45
2014/02/16,2,11,45
2014/02/17,2,12,45
2014/02/18,2,12,45
2014/02/19,2,12,47
2014/02/20,2,11,48
2014/02/21,2,11,47
2014/02/22,2,11,45
2014/02/23,2,10,45
2014/02/24,2,10,43
2014/02/25,2,10,44
2014/02/26,2,9,45
2014/02/27,2,9,45
2014/02/28,2,9,46
2014/03/01,2,9,47
2014/03/02,2,9,45
2014/03/03,2,9,44
2014/03/04,2,10,44
2014/03/05,2,10,44
2014/03/06,2,9,43
2014/03/07,2,10,44
2014/03/08,2,11,45
2014/03/09,2,11,46
2014/03/10,1,11,45
2014/03/11,2,12,45
2014/03/12,2,11,40
2014/03/13,2,11,41
2014/03/14,2,10,42
2014/03/15,1,10,43
2014/03/16,2,11,42
2014/03/17,2,11,44
2014/03/18,1,11,44
2014/03/19,1,10,46
2014/03/20,2,10,45
2014/03/21,2,10,41
2014/03/22,2,10,42
2014/03/23,2,10,41
2014/03/24,2,9,42
2014/03/25,2,10,45
2014/03/26,2,10,43
2014/03/27,2,9,43
2014/03/28,2,9,41
2014/03/29,2,8,42
2014/03/30,2,9,41
2014/03/31,2,9,40
2014/04/01,1,9,39
2014/04/02,2,9,41
2014/04/03,1,9,41
2014/04/04,1,9,41
2014/04/05,1,9,42
2014/04/06,1,8,47
2014/04/07,1,8,46
2014/04/08,1,9,45
2014/04/09,1,10,45
2014/04/10,1,9,43
2014/04/11,1,9,44
2014/04/12,1,9,44
2014/04/13,1,9,44
2014/04/14,1,10,44
2014/04/15,1,10,45
2014/04/16,1,10,45
2014/04/17,1,10,45
2014/04/18,1,10,43
2014/04/19,1,10,41
2014/04/20,1,10,41
2014/04/21,1,10,40
2014/04/22,1,9,40
2014/04/23,1,8,39
2014/04/24,1,7,35
2014/04/25,1,7,34
2014/04/26,1,7,33
2014/04/27,1,7,32
2014/04/28,1,7,34
2014/04/29,1,7,34
2014/04/30,1,7,35
2014/05/01,1,8,34
2014/05/02,1,8,35
2014/05/03,2,8,36
2014/05/04,2,8,38
2014/05/05,2,7,37
2014/05/06,1,7,35
2014/05/07,1,7,34
2014/05/08,1,6,35
2014/05/09,1,6,35
2014/05/10,1,6,36
2014/05/11,1,6,37
2014/05/12,1,5,37
2014/05/13,1,7,38
2014/05/14,1,6,37
2014/05/15,1,6,38
2014/05/16,1,6,36
2014/05/17,1,7,37
2014/05/18,1,7,39
2014/05/19,1,7,39
2014/05/20,1,7,40
2014/05/21,1,7,43
2014/05/22,1,7,44
2014/05/23,1,7,44
2014/05/24,1,7,43
2014/05/25,1,7,45
2014/05/26,1,7,46
2014/05/27,1,7,46
2014/05/28,1,8,42
2014/05/29,1,8,40
2014/05/30,1,8,40
2014/05/31,1,7,39
2014/06/01,1,7,39
2014/06/02,1,7,38
2014/06/03,1,8,37
2014/06/04,1,8,37
2014/06/05,1,7,37
2014/06/06,1,7,38
2014/06/07,1,7,37
2014/06/08,1,7,37
2014/06/09,1,7,36
2014/06/10,1,6,35
2014/06/11,1,6,34
2014/06/12,2,5,35
2014/06/13,2,5,35
2014/06/14,2,4,33
2014/06/15,2,4,31
2014/06/16,2,4,30
2014/06/17,2,4,29
2014/06/18,2,4,30
2014/06/19,2,4,31
2014/06/20,2,4,29
2014/06/21,2,4,28
2014/06/22,2,5,29
2014/06/23,2,5,31
2014/06/24,2,5,30
2014/06/25,2,5,29
2014/06/26,2,5,29
2014/06/27,2,5,29
2014/06/28,2,5,30
2014/06/29,2,6,31
2014/06/30,2,6,33
2014/07/01,2,6,33
2014/07/02,2,6,31
2014/07/03,2,6,31
2014/07/04,2,6,31
2014/07/05,2,6,31
2014/07/06,2,6,29
2014/07/07,2,6,28
2014/07/08,2,6,30
2014/07/09,2,6,31
2014/07/10,2,6,32
2014/07/11,2,7,36
2014/07/12,2,7,35
2014/07/13,2,7,35
2014/07/14,2,7,35
2014/07/15,2,7,37
2014/07/16,2,7,38
2014/07/17,2,7,37
2014/07/18,2,7,37
2014/07/19,2,7,38
2014/07/20,2,6,37
2014/07/21,2,6,40
2014/07/22,2,6,38
2014/07/23,2,6,36
2014/07/24,3,6,36
2014/07/25,3,6,36
2014/07/26,2,6,36
2014/07/27,2,6,34
2014/07/28,2,6,34
2014/07/29,2,6,33
2014/07/30,2,5,31
2014/07/31,2,5,30
2014/08/01,2,5,30
2014/08/02,2,5,32
2014/08/03,2,5,31
2014/08/04,2,5,30
2014/08/05,2,5,31
2014/08/06,2,5,32
2014/08/07,2,5,32
2014/08/08,2,6,31
2014/08/09,2,6,31
2014/08/10,2,5,28
2014/08/11,2,5,27
2014/08/12,2,6,29
2014/08/13,2,6,29
2014/08/14,2,6,27
2014/08/15,2,6,26
2014/08/16,2,6,27
2014/08/17,2,6,26
2014/08/18,2,6,28
2014/08/19,2,7,31
2014/08/20,2,7,29
2014/08/21,2,8,28
2014/08/22,2,8,30
2014/08/23,2,9,30
2014/08/24,2,9,30
2014/08/25,2,9,30
2014/08/26,2,10,31
2014/08/27,2,10,30
2014/08/28,2,10,29
2014/08/29,2,10,29
2014/08/30,2,10,29
2014/08/31,2,10,29
2014/09/01,2,10,28
2014/09/02,2,10,28
2014/09/03,2,10,29
2014/09/04,2,10,30
2014/09/05,2,11,29
2014/09/06,2,11,27
2014/09/07,2,10,28
2014/09/08,2,10,30
