date,nlwiki (100+),nlwiki (5+),nlwiki (all)
2013/04/01,255,1516,4493
2013/04/02,258,1515,4503
2013/04/03,258,1511,4515
2013/04/04,253,1521,4551
2013/04/05,250,1534,4531
2013/04/06,254,1532,4515
2013/04/07,250,1527,4520
2013/04/08,253,1536,4502
2013/04/09,248,1558,4533
2013/04/10,244,1554,4532
2013/04/11,246,1556,4537
2013/04/12,247,1546,4549
2013/04/13,243,1543,4538
2013/04/14,247,1538,4504
2013/04/15,247,1526,4491
2013/04/16,241,1526,4514
2013/04/17,242,1525,4498
2013/04/18,244,1525,4510
2013/04/19,243,1543,4515
2013/04/20,244,1542,4536
2013/04/21,242,1535,4512
2013/04/22,245,1532,4519
2013/04/23,243,1543,4545
2013/04/24,244,1550,4555
2013/04/25,243,1559,4567
2013/04/26,241,1541,4539
2013/04/27,240,1535,4532
2013/04/28,243,1528,4504
2013/04/29,242,1528,4462
2013/04/30,243,1540,4502
2013/05/01,239,1549,4526
2013/05/02,241,1539,4553
2013/05/03,241,1529,4552
2013/05/04,240,1532,4522
2013/05/05,240,1520,4514
2013/05/06,239,1515,4496
2013/05/07,243,1514,4531
2013/05/08,239,1516,4530
2013/05/09,241,1503,4503
2013/05/10,242,1501,4489
2013/05/11,245,1510,4487
2013/05/12,246,1510,4460
2013/05/13,249,1509,4448
2013/05/14,244,1545,4524
2013/05/15,247,1546,4556
2013/05/16,248,1537,4541
2013/05/17,248,1542,4552
2013/05/18,249,1547,4558
2013/05/19,249,1530,4499
2013/05/20,245,1534,4478
2013/05/21,252,1558,4506
2013/05/22,249,1543,4539
2013/05/23,251,1535,4556
2013/05/24,253,1525,4577
2013/05/25,255,1538,4605
2013/05/26,254,1527,4592
2013/05/27,253,1538,4620
2013/05/28,253,1541,4637
2013/05/29,253,1557,4651
2013/05/30,255,1546,4654
2013/05/31,252,1546,4661
2013/06/01,251,1548,4620
2013/06/02,250,1532,4589
2013/06/03,255,1532,4590
2013/06/04,253,1525,4612
2013/06/05,247,1531,4625
2013/06/06,246,1538,4594
2013/06/07,249,1532,4578
2013/06/08,253,1526,4553
2013/06/09,257,1513,4545
2013/06/10,253,1508,4554
2013/06/11,251,1503,4575
2013/06/12,251,1497,4576
2013/06/13,250,1471,4525
2013/06/14,241,1464,4503
2013/06/15,247,1461,4472
2013/06/16,244,1450,4453
2013/06/17,239,1455,4442
2013/06/18,242,1462,4484
2013/06/19,238,1464,4490
2013/06/20,232,1443,4444
2013/06/21,226,1434,4402
2013/06/22,232,1413,4341
2013/06/23,234,1422,4314
2013/06/24,239,1415,4268
2013/06/25,236,1419,4284
2013/06/26,237,1413,4242
2013/06/27,239,1416,4247
2013/06/28,239,1421,4229
2013/06/29,240,1421,4208
2013/06/30,242,1400,4172
2013/07/01,244,1402,4162
2013/07/02,249,1409,4151
2013/07/03,246,1418,4162
2013/07/04,242,1424,4156
2013/07/05,240,1419,4138
2013/07/06,238,1412,4128
2013/07/07,237,1394,4116
2013/07/08,236,1386,4108
2013/07/09,238,1382,4125
2013/07/10,236,1390,4101
2013/07/11,236,1383,4068
2013/07/12,236,1364,4055
2013/07/13,237,1364,4049
2013/07/14,238,1349,4004
2013/07/15,237,1348,3994
2013/07/16,237,1342,4003
2013/07/17,238,1342,3994
2013/07/18,237,1328,3944
2013/07/19,237,1320,3913
2013/07/20,237,1325,3891
2013/07/21,237,1319,3862
2013/07/22,238,1323,3872
2013/07/23,238,1323,3871
2013/07/24,237,1329,3883
2013/07/25,236,1316,3840
2013/07/26,230,1321,3861
2013/07/27,229,1323,3839
2013/07/28,228,1315,3816
2013/07/29,229,1312,3825
2013/07/30,229,1310,3834
2013/07/31,229,1320,3861
2013/08/01,222,1333,3884
2013/08/02,226,1326,3868
2013/08/03,230,1330,3864
2013/08/04,229,1333,3835
2013/08/05,230,1327,3843
2013/08/06,233,1336,3856
2013/08/07,233,1350,3881
2013/08/08,234,1356,3886
2013/08/09,235,1374,3891
2013/08/10,234,1370,3898
2013/08/11,230,1364,3901
2013/08/12,225,1359,3884
2013/08/13,223,1378,3935
2013/08/14,225,1387,3968
2013/08/15,228,1394,3980
2013/08/16,228,1391,4007
2013/08/17,227,1397,4003
2013/08/18,228,1404,4016
2013/08/19,228,1403,4034
2013/08/20,227,1411,4074
2013/08/21,220,1416,4093
2013/08/22,220,1415,4113
2013/08/23,220,1425,4117
2013/08/24,223,1419,4109
2013/08/25,223,1413,4081
2013/08/26,223,1405,4089
2013/08/27,225,1415,4132
2013/08/28,225,1411,4124
2013/08/29,224,1411,4138
2013/08/30,227,1400,4119
2013/08/31,231,1393,4115
2013/09/01,228,1394,4106
2013/09/02,231,1389,4095
2013/09/03,228,1386,4122
2013/09/04,232,1400,4125
2013/09/05,235,1384,4112
2013/09/06,233,1379,4082
2013/09/07,232,1375,4063
2013/09/08,235,1359,4025
2013/09/09,235,1357,4043
2013/09/10,234,1352,4060
2013/09/11,234,1363,4069
2013/09/12,239,1348,4043
2013/09/13,233,1339,4023
2013/09/14,233,1342,3999
2013/09/15,234,1332,3959
2013/09/16,238,1331,3985
2013/09/17,238,1326,3975
2013/09/18,232,1325,3996
2013/09/19,234,1308,3981
2013/09/20,240,1292,3979
2013/09/21,237,1288,3964
2013/09/22,238,1282,3918
2013/09/23,236,1277,3920
2013/09/24,232,1276,3956
2013/09/25,231,1275,3943
2013/09/26,229,1262,3937
2013/09/27,227,1261,3932
2013/09/28,227,1266,3910
2013/09/29,225,1253,3902
2013/09/30,220,1243,3904
2013/10/01,220,1247,3923
2013/10/02,222,1247,3917
2013/10/03,224,1241,3924
2013/10/04,223,1235,3912
2013/10/05,218,1247,3909
2013/10/06,217,1250,3898
2013/10/07,221,1245,3905
2013/10/08,217,1238,3930
2013/10/09,214,1238,3913
2013/10/10,219,1246,3922
2013/10/11,216,1239,3925
2013/10/12,219,1245,3927
2013/10/13,222,1252,3932
2013/10/14,224,1267,3933
2013/10/15,219,1264,3949
2013/10/16,218,1259,3962
2013/10/17,219,1248,3992
2013/10/18,218,1257,3974
2013/10/19,220,1256,3960
2013/10/20,220,1262,3925
2013/10/21,217,1274,3938
2013/10/22,217,1289,3986
2013/10/23,216,1295,4020
2013/10/24,222,1284,4007
2013/10/25,220,1293,4030
2013/10/26,222,1301,4018
2013/10/27,221,1307,4011
2013/10/28,226,1316,4044
2013/10/29,223,1331,4079
2013/10/30,222,1342,4082
2013/10/31,224,1342,4087
2013/11/01,224,1345,4076
2013/11/02,223,1343,4055
2013/11/03,226,1361,4095
2013/11/04,234,1366,4114
2013/11/05,234,1379,4141
2013/11/06,234,1376,4120
2013/11/07,231,1378,4166
2013/11/08,230,1379,4178
2013/11/09,229,1375,4180
2013/11/10,233,1385,4190
2013/11/11,236,1380,4200
2013/11/12,234,1389,4242
2013/11/13,232,1380,4271
2013/11/14,229,1391,4278
2013/11/15,232,1388,4280
2013/11/16,234,1389,4262
2013/11/17,235,1383,4253
2013/11/18,237,1387,4282
2013/11/19,237,1400,4333
2013/11/20,233,1412,4349
2013/11/21,230,1403,4334
2013/11/22,231,1394,4312
2013/11/23,232,1391,4305
2013/11/24,233,1378,4296
2013/11/25,234,1393,4300
2013/11/26,238,1398,4301
2013/11/27,238,1386,4306
2013/11/28,239,1382,4287
2013/11/29,238,1382,4290
2013/11/30,237,1379,4272
2013/12/01,235,1380,4271
2013/12/02,233,1376,4243
2013/12/03,233,1381,4252
2013/12/04,235,1383,4236
2013/12/05,235,1386,4223
2013/12/06,236,1376,4218
2013/12/07,238,1374,4182
2013/12/08,238,1371,4160
2013/12/09,239,1383,4154
2013/12/10,239,1379,4176
2013/12/11,238,1385,4196
2013/12/12,235,1378,4186
2013/12/13,234,1372,4172
2013/12/14,234,1375,4172
2013/12/15,233,1371,4156
2013/12/16,237,1378,4144
2013/12/17,237,1382,4146
2013/12/18,235,1365,4136
2013/12/19,234,1362,4112
2013/12/20,229,1364,4105
2013/12/21,233,1376,4083
2013/12/22,229,1376,4072
2013/12/23,232,1369,4096
2013/12/24,235,1382,4108
2013/12/25,235,1370,4093
2013/12/26,234,1375,4099
2013/12/27,240,1365,4065
2013/12/28,239,1360,4045
2013/12/29,242,1371,4025
2013/12/30,245,1362,4034
2013/12/31,246,1368,4046
2014/01/01,250,1371,4031
2014/01/02,250,1369,4002
2014/01/03,250,1375,4033
2014/01/04,250,1371,4057
2014/01/05,252,1380,4098
2014/01/06,252,1390,4130
2014/01/07,250,1413,4161
2014/01/08,251,1400,4158
2014/01/09,251,1395,4171
2014/01/10,254,1400,4182
2014/01/11,258,1400,4209
2014/01/12,258,1413,4208
2014/01/13,261,1420,4202
2014/01/14,261,1443,4237
2014/01/15,263,1460,4279
2014/01/16,262,1478,4301
2014/01/17,260,1470,4319
2014/01/18,260,1477,4324
2014/01/19,263,1489,4342
2014/01/20,263,1507,4374
2014/01/21,267,1502,4405
2014/01/22,273,1517,4418
2014/01/23,269,1537,4418
2014/01/24,271,1557,4446
2014/01/25,273,1557,4455
2014/01/26,272,1560,4492
2014/01/27,273,1572,4524
2014/01/28,271,1594,4557
2014/01/29,273,1611,4569
2014/01/30,268,1616,4598
2014/01/31,266,1634,4633
2014/02/01,259,1637,4632
2014/02/02,263,1627,4598
2014/02/03,267,1619,4577
2014/02/04,262,1624,4577
2014/02/05,254,1628,4572
2014/02/06,256,1629,4597
2014/02/07,253,1640,4617
2014/02/08,251,1640,4599
2014/02/09,255,1628,4574
2014/02/10,259,1628,4575
2014/02/11,257,1615,4588
2014/02/12,256,1617,4569
2014/02/13,251,1611,4575
2014/02/14,251,1591,4573
2014/02/15,252,1597,4562
2014/02/16,252,1590,4551
2014/02/17,252,1586,4536
2014/02/18,250,1592,4544
2014/02/19,247,1586,4524
2014/02/20,249,1589,4539
2014/02/21,247,1585,4517
2014/02/22,253,1586,4520
2014/02/23,252,1581,4503
2014/02/24,256,1594,4511
2014/02/25,258,1593,4525
2014/02/26,257,1573,4507
2014/02/27,254,1569,4497
2014/02/28,255,1568,4484
2014/03/01,255,1561,4444
2014/03/02,253,1554,4407
2014/03/03,252,1560,4415
2014/03/04,255,1564,4414
2014/03/05,253,1572,4406
2014/03/06,253,1569,4375
2014/03/07,258,1555,4361
2014/03/08,260,1547,4337
2014/03/09,259,1535,4303
2014/03/10,260,1532,4303
2014/03/11,262,1521,4300
2014/03/12,256,1519,4304
2014/03/13,253,1524,4287
2014/03/14,250,1521,4270
2014/03/15,249,1518,4251
2014/03/16,253,1528,4228
2014/03/17,250,1531,4260
2014/03/18,253,1535,4265
2014/03/19,248,1539,4283
2014/03/20,244,1528,4259
2014/03/21,242,1537,4245
2014/03/22,245,1526,4254
2014/03/23,244,1524,4248
2014/03/24,249,1520,4246
2014/03/25,249,1509,4258
2014/03/26,244,1518,4272
2014/03/27,243,1530,4250
2014/03/28,241,1540,4271
2014/03/29,239,1539,4268
2014/03/30,236,1527,4243
2014/03/31,237,1527,4237
2014/04/01,230,1534,4272
2014/04/02,230,1527,4275
2014/04/03,226,1515,4263
2014/04/04,227,1506,4265
2014/04/05,224,1521,4277
2014/04/06,224,1509,4254
2014/04/07,221,1511,4261
2014/04/08,216,1500,4274
2014/04/09,215,1515,4301
2014/04/10,216,1515,4313
2014/04/11,212,1526,4318
2014/04/12,212,1527,4299
2014/04/13,208,1521,4273
2014/04/14,208,1513,4285
2014/04/15,213,1503,4293
2014/04/16,213,1500,4282
2014/04/17,215,1489,4278
2014/04/18,210,1488,4248
2014/04/19,209,1474,4268
2014/04/20,210,1471,4258
2014/04/21,208,1458,4241
2014/04/22,205,1463,4256
2014/04/23,208,1460,4241
2014/04/24,204,1466,4255
2014/04/25,204,1456,4241
2014/04/26,201,1441,4229
2014/04/27,200,1436,4182
2014/04/28,202,1438,4176
2014/04/29,203,1436,4204
2014/04/30,200,1440,4226
2014/05/01,201,1424,4210
2014/05/02,201,1429,4206
2014/05/03,200,1431,4221
2014/05/04,202,1442,4198
2014/05/05,202,1430,4201
2014/05/06,204,1442,4239
2014/05/07,204,1450,4257
2014/05/08,201,1466,4252
2014/05/09,198,1474,4272
2014/05/10,200,1476,4266
2014/05/11,196,1471,4242
2014/05/12,202,1466,4256
2014/05/13,202,1463,4298
2014/05/14,206,1473,4323
2014/05/15,209,1470,4343
2014/05/16,209,1456,4330
2014/05/17,211,1449,4281
2014/05/18,216,1436,4261
2014/05/19,216,1444,4252
2014/05/20,213,1440,4259
2014/05/21,214,1429,4269
2014/05/22,211,1429,4276
2014/05/23,217,1434,4279
2014/05/24,216,1434,4264
2014/05/25,212,1436,4242
2014/05/26,212,1442,4243
2014/05/27,212,1443,4264
2014/05/28,211,1445,4256
2014/05/29,210,1452,4246
2014/05/30,210,1466,4234
2014/05/31,210,1475,4244
2014/06/01,212,1479,4225
2014/06/02,213,1461,4207
2014/06/03,213,1471,4222
2014/06/04,213,1474,4228
2014/06/05,208,1478,4230
2014/06/06,209,1471,4202
2014/06/07,212,1469,4183
2014/06/08,210,1458,4127
2014/06/09,212,1453,4121
2014/06/10,208,1452,4119
2014/06/11,208,1451,4134
2014/06/12,207,1462,4137
2014/06/13,203,1444,4116
2014/06/14,203,1433,4067
2014/06/15,203,1431,4062
2014/06/16,206,1430,4074
2014/06/17,202,1451,4098
2014/06/18,198,1440,4087
2014/06/19,200,1447,4062
2014/06/20,201,1442,4061
2014/06/21,207,1434,4034
2014/06/22,207,1435,4031
2014/06/23,208,1428,4008
2014/06/24,208,1428,4000
2014/06/25,207,1420,4029
2014/06/26,208,1433,4024
2014/06/27,211,1427,3995
2014/06/28,208,1431,3972
2014/06/29,207,1424,3961
2014/06/30,207,1409,3945
2014/07/01,204,1408,3966
2014/07/02,202,1408,3968
2014/07/03,205,1415,3982
2014/07/04,206,1409,3964
2014/07/05,206,1396,3944
2014/07/06,201,1385,3922
2014/07/07,203,1393,3955
2014/07/08,209,1407,3988
2014/07/09,207,1403,4026
2014/07/10,204,1400,4029
2014/07/11,206,1403,3996
2014/07/12,206,1394,3980
2014/07/13,209,1394,3950
2014/07/14,211,1407,3989
2014/07/15,212,1412,3995
2014/07/16,210,1427,4021
2014/07/17,212,1414,4001
2014/07/18,213,1412,4000
2014/07/19,212,1417,3995
2014/07/20,211,1421,3974
2014/07/21,212,1425,3992
2014/07/22,210,1433,3999
2014/07/23,211,1432,4013
2014/07/24,210,1423,4016
2014/07/25,210,1430,4034
2014/07/26,210,1430,4051
2014/07/27,211,1434,4061
2014/07/28,212,1439,4069
2014/07/29,213,1461,4090
2014/07/30,206,1452,4112
2014/07/31,208,1454,4112
2014/08/01,207,1448,4102
2014/08/02,208,1439,4067
2014/08/03,207,1423,4059
2014/08/04,202,1428,4074
2014/08/05,204,1434,4124
2014/08/06,202,1425,4118
2014/08/07,203,1436,4113
2014/08/08,203,1433,4107
2014/08/09,201,1445,4126
2014/08/10,198,1443,4123
2014/08/11,199,1452,4165
2014/08/12,196,1469,4199
2014/08/13,194,1474,4218
2014/08/14,192,1475,4226
2014/08/15,197,1464,4200
2014/08/16,197,1468,4203
2014/08/17,196,1465,4204
2014/08/18,193,1461,4232
2014/08/19,194,1474,4254
2014/08/20,190,1475,4280
2014/08/21,195,1477,4298
2014/08/22,195,1470,4315
2014/08/23,203,1483,4359
2014/08/24,206,1472,4342
2014/08/25,204,1477,4337
2014/08/26,205,1490,4357
2014/08/27,207,1493,4368
2014/08/28,205,1487,4361
2014/08/29,199,1481,4340
2014/08/30,205,1493,4344
2014/08/31,205,1497,4368
2014/09/01,205,1518,4406
2014/09/02,205,1528,4431
2014/09/03,206,1522,4442
2014/09/04,206,1524,4438
2014/09/05,206,1517,4429
2014/09/06,207,1497,4418
2014/09/07,209,1494,4386
2014/09/08,210,1479,4352
2014/09/09,205,1471,4341
2014/09/10,208,1469,4319
2014/09/11,212,1462,4305
2014/09/12,211,1449,4278
2014/09/13,214,1427,4242
2014/09/14,211,1412,4219
2014/09/15,210,1410,4201
2014/09/16,212,1424,4201
2014/09/17,209,1419,4179
2014/09/18,207,1422,4175
2014/09/19,206,1407,4147
2014/09/20,206,1395,4106
2014/09/21,205,1381,4069
2014/09/22,209,1366,4064
2014/09/23,207,1366,4087
2014/09/24,207,1351,4086
2014/09/25,205,1356,4079
2014/09/26,202,1352,4066
2014/09/27,212,1356,4064
2014/09/28,213,1353,4060
2014/09/29,209,1346,4014
2014/09/30,210,1339,4001
2014/10/01,206,1329,3981
2014/10/02,207,1316,3967
2014/10/03,206,1323,3972
2014/10/04,208,1322,3957
2014/10/05,205,1316,3957
2014/10/06,206,1325,3963
2014/10/07,206,1331,3968
2014/10/08,205,1345,3994
2014/10/09,207,1345,3995
2014/10/10,205,1352,3998
2014/10/11,205,1362,4001
2014/10/12,205,1361,4002
2014/10/13,206,1371,4029
2014/10/14,205,1386,4061
2014/10/15,208,1386,4069
2014/10/16,207,1381,4065
2014/10/17,208,1378,4080
2014/10/18,203,1381,4087
2014/10/19,205,1375,4084
2014/10/20,206,1369,4083
2014/10/21,203,1363,4092
2014/10/22,205,1367,4098
2014/10/23,206,1363,4096
2014/10/24,209,1360,4089
2014/10/25,205,1354,4081
2014/10/26,206,1366,4092
2014/10/27,207,1373,4107
2014/10/28,208,1378,4132
2014/10/29,209,1380,4167
2014/10/30,212,1396,4192
2014/10/31,211,1390,4209
2014/11/01,208,1396,4219
2014/11/02,210,1403,4219
2014/11/03,213,1414,4232
2014/11/04,210,1423,4251
2014/11/05,208,1428,4269
2014/11/06,212,1425,4283
2014/11/07,209,1417,4259
2014/11/08,214,1407,4250
2014/11/09,216,1413,4246
2014/11/10,217,1417,4257
2014/11/11,215,1431,4266
2014/11/12,216,1433,4283
2014/11/13,216,1431,4273
2014/11/14,215,1430,4290
2014/11/15,217,1430,4286
2014/11/16,222,1427,4265
2014/11/17,223,1428,4261
2014/11/18,223,1434,4278
2014/11/19,220,1436,4260
2014/11/20,216,1432,4250
2014/11/21,217,1420,4257
2014/11/22,211,1422,4236
2014/11/23,212,1421,4230
2014/11/24,211,1431,4252
2014/11/25,214,1440,4276
2014/11/26,213,1453,4265
2014/11/27,217,1450,4256
2014/11/28,217,1452,4259
2014/11/29,217,1453,4243
2014/11/30,216,1447,4231
2014/12/01,219,1435,4220
2014/12/02,218,1427,4225
2014/12/03,216,1425,4219
2014/12/04,215,1432,4238
2014/12/05,214,1442,4213
2014/12/06,212,1447,4213
2014/12/07,209,1450,4199
2014/12/08,207,1459,4239
2014/12/09,209,1457,4241
2014/12/10,207,1464,4247
2014/12/11,211,1448,4262
2014/12/12,213,1454,4272
2014/12/13,210,1438,4253
2014/12/14,212,1437,4252
2014/12/15,213,1434,4246
2014/12/16,214,1439,4280
2014/12/17,211,1435,4285
2014/12/18,210,1441,4308
2014/12/19,213,1434,4285
2014/12/20,216,1442,4299
2014/12/21,216,1438,4302
2014/12/22,215,1454,4299
2014/12/23,212,1454,4300
2014/12/24,209,1449,4286
2014/12/25,211,1442,4247
2014/12/26,209,1429,4194
2014/12/27,210,1427,4196
2014/12/28,212,1422,4187
2014/12/29,217,1427,4192
2014/12/30,214,1434,4218
2014/12/31,213,1444,4236
2015/01/01,214,1436,4219
2015/01/02,212,1423,4214
2015/01/03,215,1433,4237
2015/01/04,218,1441,4241
2015/01/05,228,1440,4257
2015/01/06,228,1459,4297
2015/01/07,234,1458,4303
2015/01/08,231,1458,4304
2015/01/09,234,1446,4292
2015/01/10,234,1450,4261
2015/01/11,237,1460,4255
2015/01/12,234,1451,4254
2015/01/13,237,1447,4278
2015/01/14,238,1442,4295
2015/01/15,241,1431,4290
2015/01/16,247,1438,4338
2015/01/17,248,1428,4362
2015/01/18,245,1435,4420
2015/01/19,245,1441,4439
2015/01/20,245,1472,4487
2015/01/21,241,1487,4525
2015/01/22,241,1495,4552
2015/01/23,236,1505,4575
2015/01/24,237,1499,4590
2015/01/25,241,1505,4613
2015/01/26,243,1531,4653
2015/01/27,241,1528,4663
2015/01/28,238,1534,4641
2015/01/29,234,1542,4677
2015/01/30,235,1552,4655
2015/01/31,232,1557,4670
2015/02/01,232,1563,4689
2015/02/02,235,1566,4690
2015/02/03,237,1567,4689
2015/02/04,237,1568,4678
2015/02/05,234,1568,4664
2015/02/06,237,1568,4641
2015/02/07,237,1568,4643
2015/02/08,237,1568,4634
2015/02/09,235,1577,4665
2015/02/10,231,1581,4700
2015/02/11,231,1585,4714
2015/02/12,232,1589,4707
2015/02/13,230,1588,4713
2015/02/14,231,1588,4710
2015/02/15,228,1583,4675
2015/02/16,231,1577,4650
2015/02/17,232,1575,4648
2015/02/18,230,1569,4656
2015/02/19,228,1554,4633
2015/02/20,229,1545,4606
2015/02/21,226,1553,4602
2015/02/22,227,1542,4581
2015/02/23,228,1543,4611
2015/02/24,229,1561,4658
2015/02/25,229,1552,4625
2015/02/26,229,1566,4639
2015/02/27,227,1564,4644
2015/02/28,225,1557,4650
2015/03/01,227,1558,4648
2015/03/02,229,1560,4681
2015/03/03,222,1565,4691
2015/03/04,220,1559,4690
2015/03/05,218,1553,4683
