date,iawiki (100+),iawiki (5+),iawiki (all)
2013/01/16,8,26,64
2013/01/17,8,25,63
2013/01/18,8,26,62
2013/01/19,8,27,62
2013/01/20,8,28,62
2013/01/21,8,28,63
2013/01/22,8,28,63
2013/01/23,8,28,63
2013/01/24,8,28,65
2013/01/25,8,27,62
2013/01/26,8,27,60
2013/01/27,8,27,59
2013/01/28,8,27,61
2013/01/29,8,26,61
2013/01/30,8,27,63
2013/01/31,8,27,63
2013/02/01,8,28,63
2013/02/02,8,28,64
2013/02/03,8,28,65
2013/02/04,8,28,64
2013/02/05,8,27,63
2013/02/06,8,27,64
2013/02/07,8,25,62
2013/02/08,8,24,64
2013/02/09,8,24,64
2013/02/10,8,25,63
2013/02/11,8,26,64
2013/02/12,8,26,64
2013/02/13,8,26,64
2013/02/14,8,26,62
2013/02/15,7,26,62
2013/02/16,7,27,61
2013/02/17,7,28,60
2013/02/18,7,28,60
2013/02/19,7,27,60
2013/02/20,7,26,60
2013/02/21,7,26,59
2013/02/22,7,26,59
2013/02/23,8,26,59
2013/02/24,7,26,61
2013/02/25,7,26,61
2013/02/26,7,27,64
2013/02/27,7,26,61
2013/02/28,7,25,59
2013/03/01,6,24,59
2013/03/02,6,25,59
2013/03/03,6,27,59
2013/03/04,6,26,60
2013/03/05,7,26,60
2013/03/06,7,26,62
2013/03/07,7,25,62
2013/03/08,8,26,62
2013/03/09,8,27,64
2013/03/10,8,27,64
2013/03/11,8,27,62
2013/03/12,8,27,62
2013/03/13,8,25,61
2013/03/14,8,26,63
2013/03/15,8,24,64
2013/03/16,8,24,65
2013/03/17,8,24,65
2013/03/18,8,24,64
2013/03/19,8,24,64
2013/03/20,7,25,64
2013/03/21,7,25,63
2013/03/22,7,25,62
2013/03/23,7,25,64
2013/03/24,7,25,64
2013/03/25,7,24,67
2013/03/26,7,24,66
2013/03/27,8,24,67
2013/03/28,8,24,66
2013/03/29,8,24,66
2013/03/30,6,24,68
2013/03/31,7,22,68
2013/04/01,5,20,69
2013/04/02,5,20,67
2013/04/03,5,20,66
2013/04/04,5,19,65
2013/04/05,4,17,61
2013/04/06,4,15,60
2013/04/07,3,15,57
2013/04/08,2,16,55
2013/04/09,2,15,52
2013/04/10,2,15,54
2013/04/11,2,15,54
2013/04/12,2,16,55
2013/04/13,2,16,52
2013/04/14,2,16,50
2013/04/15,2,16,50
2013/04/16,2,16,49
2013/04/17,2,16,49
2013/04/18,2,16,49
2013/04/19,2,14,47
2013/04/20,2,14,46
2013/04/21,2,15,47
2013/04/22,2,15,46
2013/04/23,2,15,47
2013/04/24,2,16,46
2013/04/25,2,16,46
2013/04/26,2,16,46
2013/04/27,2,16,45
2013/04/28,2,16,42
2013/04/29,2,16,42
2013/04/30,2,15,41
2013/05/01,2,14,39
2013/05/02,2,13,38
2013/05/03,2,13,38
2013/05/04,2,13,37
2013/05/05,2,13,37
2013/05/06,2,13,36
2013/05/07,2,11,39
2013/05/08,2,11,40
2013/05/09,2,13,40
2013/05/10,2,13,39
2013/05/11,2,13,39
2013/05/12,2,12,36
2013/05/13,2,13,39
2013/05/14,2,13,38
2013/05/15,2,12,39
2013/05/16,2,12,40
2013/05/17,1,12,40
2013/05/18,1,12,40
2013/05/19,1,12,40
2013/05/20,1,13,39
2013/05/21,1,14,41
2013/05/22,1,14,41
2013/05/23,1,14,39
2013/05/24,1,13,38
2013/05/25,1,14,38
2013/05/26,1,14,37
2013/05/27,1,14,36
2013/05/28,1,14,36
2013/05/29,1,14,35
2013/05/30,1,14,35
2013/05/31,1,14,35
2013/06/01,1,14,35
2013/06/02,1,14,33
2013/06/03,1,14,33
2013/06/04,1,15,31
2013/06/05,1,15,31
2013/06/06,1,15,29
2013/06/07,1,14,27
2013/06/08,1,13,27
2013/06/09,1,11,27
2013/06/10,1,11,28
2013/06/11,1,11,29
2013/06/12,1,11,26
2013/06/13,1,11,28
2013/06/14,1,9,25
2013/06/15,1,9,26
2013/06/16,1,8,27
2013/06/17,1,8,28
2013/06/18,1,8,29
2013/06/19,1,7,30
2013/06/20,1,7,30
2013/06/21,1,7,30
2013/06/22,1,8,32
2013/06/23,1,8,33
2013/06/24,1,8,31
2013/06/25,,7,30
2013/06/26,,8,31
2013/06/27,,8,32
2013/06/28,,9,35
2013/06/29,,9,36
2013/06/30,,10,37
2013/07/01,,10,36
2013/07/02,,10,36
2013/07/03,,10,39
2013/07/04,,10,39
2013/07/05,,10,39
2013/07/06,,10,38
2013/07/07,,10,39
2013/07/08,,10,39
2013/07/09,,10,40
2013/07/10,,10,42
2013/07/11,,10,41
2013/07/12,,9,42
2013/07/13,,9,42
2013/07/14,,9,42
2013/07/15,,9,40
2013/07/16,,9,40
2013/07/17,,9,39
2013/07/18,,9,39
2013/07/19,,9,38
2013/07/20,,8,36
2013/07/21,,9,34
2013/07/22,,8,33
2013/07/23,,7,32
2013/07/24,,7,32
2013/07/25,,7,33
2013/07/26,,7,33
2013/07/27,,5,33
2013/07/28,,5,29
2013/07/29,,5,30
2013/07/30,,4,30
2013/07/31,,4,29
2013/08/01,,4,29
2013/08/02,,4,25
2013/08/03,,4,25
2013/08/04,,6,27
2013/08/05,,7,29
2013/08/06,,7,29
2013/08/07,,8,29
2013/08/08,,8,28
2013/08/09,1,8,29
2013/08/10,1,8,29
2013/08/11,1,8,30
2013/08/12,1,8,30
2013/08/13,1,8,31
2013/08/14,1,8,31
2013/08/15,1,7,34
2013/08/16,1,7,34
2013/08/17,1,7,32
2013/08/18,1,7,32
2013/08/19,1,8,33
2013/08/20,1,8,32
2013/08/21,1,9,33
2013/08/22,1,9,31
2013/08/23,1,9,33
2013/08/24,1,9,33
2013/08/25,1,10,33
2013/08/26,1,10,33
2013/08/27,1,10,33
2013/08/28,1,9,32
2013/08/29,1,10,31
2013/08/30,1,9,31
2013/08/31,1,9,31
2013/09/01,1,9,32
2013/09/02,1,9,31
2013/09/03,1,9,31
2013/09/04,1,9,30
2013/09/05,1,9,29
2013/09/06,1,9,29
2013/09/07,1,8,27
2013/09/08,,6,26
2013/09/09,,6,25
2013/09/10,,6,25
2013/09/11,,6,23
2013/09/12,,6,22
2013/09/13,,6,22
2013/09/14,1,7,21
2013/09/15,1,7,22
2013/09/16,1,6,23
2013/09/17,1,6,23
2013/09/18,1,7,22
2013/09/19,1,7,21
2013/09/20,1,6,21
2013/09/21,1,6,21
2013/09/22,1,7,22
2013/09/23,1,7,21
2013/09/24,1,6,22
2013/09/25,1,6,23
2013/09/26,1,6,22
2013/09/27,1,6,21
2013/09/28,1,6,21
2013/09/29,1,6,23
2013/09/30,1,6,23
2013/10/01,1,6,22
2013/10/02,1,6,22
2013/10/03,1,6,21
2013/10/04,1,6,21
2013/10/05,1,6,22
2013/10/06,1,7,21
2013/10/07,1,7,22
2013/10/08,1,7,22
2013/10/09,1,7,22
2013/10/10,1,8,21
2013/10/11,1,8,21
2013/10/12,1,8,22
2013/10/13,1,8,22
2013/10/14,1,7,23
2013/10/15,1,7,22
2013/10/16,1,7,22
2013/10/17,1,7,24
2013/10/18,1,7,26
2013/10/19,1,7,28
2013/10/20,1,7,29
2013/10/21,1,7,29
2013/10/22,1,7,28
2013/10/23,1,7,29
2013/10/24,1,8,29
2013/10/25,1,8,29
2013/10/26,1,8,31
2013/10/27,1,8,32
2013/10/28,1,8,33
2013/10/29,1,8,32
2013/10/30,1,8,32
2013/10/31,1,8,34
2013/11/01,1,8,33
2013/11/02,1,7,33
2013/11/03,1,7,33
2013/11/04,1,6,31
2013/11/05,1,7,32
2013/11/06,1,8,32
2013/11/07,1,8,32
2013/11/08,1,8,33
2013/11/09,1,7,30
2013/11/10,1,7,30
2013/11/11,1,6,31
2013/11/12,1,6,33
2013/11/13,1,5,33
2013/11/14,1,5,35
2013/11/15,1,5,35
2013/11/16,1,5,34
2013/11/17,1,4,33
2013/11/18,1,4,31
2013/11/19,1,4,32
2013/11/20,1,6,36
2013/11/21,1,6,37
2013/11/22,,6,37
2013/11/23,,6,36
2013/11/24,,5,33
2013/11/25,,5,33
2013/11/26,,7,33
2013/11/27,,7,33
2013/11/28,,7,33
2013/11/29,,7,33
2013/11/30,,7,31
2013/12/01,,7,31
2013/12/02,,7,31
2013/12/03,,8,33
2013/12/04,,8,33
2013/12/05,,6,31
2013/12/06,,6,29
2013/12/07,,6,28
2013/12/08,,6,28
2013/12/09,,7,28
2013/12/10,,6,30
2013/12/11,,6,26
2013/12/12,,8,26
2013/12/13,,8,26
2013/12/14,,8,26
2013/12/15,,8,25
2013/12/16,,7,26
2013/12/17,,8,26
2013/12/18,,8,26
2013/12/19,1,8,25
2013/12/20,1,7,24
2013/12/21,1,7,23
2013/12/22,1,7,22
2013/12/23,,7,23
2013/12/24,,7,23
2013/12/25,,7,23
2013/12/26,,8,23
2013/12/27,,6,20
2013/12/28,,6,21
2013/12/29,,6,21
2013/12/30,,6,22
2013/12/31,,7,23
2014/01/01,,7,23
2014/01/02,,7,21
2014/01/03,,7,21
2014/01/04,,7,22
2014/01/05,,7,22
2014/01/06,,7,22
2014/01/07,,7,22
2014/01/08,,8,23
2014/01/09,,8,21
2014/01/10,,8,21
2014/01/11,,7,21
2014/01/12,,7,23
2014/01/13,,7,24
2014/01/14,,8,26
2014/01/15,,8,28
2014/01/16,,10,31
2014/01/17,,11,33
2014/01/18,,11,35
2014/01/19,,11,35
2014/01/20,,11,35
2014/01/21,,11,36
2014/01/22,,11,36
2014/01/23,,12,36
2014/01/24,,12,37
2014/01/25,,13,38
2014/01/26,,13,38
2014/01/27,,13,36
2014/01/28,,13,38
2014/01/29,,14,38
2014/01/30,1,12,37
