date,arwiki (100+),arwiki (5+),arwiki (all)
2012/11/27,104,761,2818
2012/11/28,103,759,2803
2012/11/29,101,755,2787
2012/11/30,100,752,2770
2012/12/01,99,745,2751
2012/12/02,99,734,2727
2012/12/03,101,726,2709
2012/12/04,102,719,2686
2012/12/05,99,712,2670
2012/12/06,99,715,2663
2012/12/07,100,719,2672
2012/12/08,101,715,2682
2012/12/09,102,722,2657
2012/12/10,101,725,2649
2012/12/11,100,737,2665
2012/12/12,100,747,2709
2012/12/13,98,744,2730
2012/12/14,98,740,2727
2012/12/15,100,732,2692
2012/12/16,99,729,2700
2012/12/17,98,726,2694
2012/12/18,98,726,2704
2012/12/19,101,735,2719
2012/12/20,95,739,2718
2012/12/21,96,741,2718
2012/12/22,96,745,2730
2012/12/23,95,756,2738
2012/12/24,93,764,2740
2012/12/25,93,769,2761
2012/12/26,95,768,2764
2012/12/27,94,783,2781
2012/12/28,95,779,2796
2012/12/29,96,785,2795
2012/12/30,91,793,2811
2012/12/31,91,802,2830
2013/01/01,92,809,2823
2013/01/02,92,805,2822
2013/01/03,95,804,2831
2013/01/04,96,809,2836
2013/01/05,100,807,2824
2013/01/06,101,801,2837
2013/01/07,98,795,2839
2013/01/08,96,796,2841
2013/01/09,94,789,2844
2013/01/10,92,786,2841
2013/01/11,93,782,2834
2013/01/12,93,783,2827
2013/01/13,93,780,2825
2013/01/14,92,783,2809
2013/01/15,93,778,2809
2013/01/16,93,775,2809
2013/01/17,93,773,2788
2013/01/18,95,777,2781
2013/01/19,94,777,2779
2013/01/20,94,781,2786
2013/01/21,95,778,2781
2013/01/22,95,771,2788
2013/01/23,97,771,2787
2013/01/24,97,778,2786
2013/01/25,95,778,2792
2013/01/26,98,772,2794
2013/01/27,100,772,2773
2013/01/28,104,766,2767
2013/01/29,105,765,2742
2013/01/30,105,767,2716
2013/01/31,107,766,2728
2013/02/01,108,765,2734
2013/02/02,110,773,2726
2013/02/03,115,772,2702
2013/02/04,115,778,2716
2013/02/05,116,780,2706
2013/02/06,115,776,2695
2013/02/07,114,767,2679
2013/02/08,114,774,2682
2013/02/09,110,781,2656
2013/02/10,110,776,2657
2013/02/11,112,768,2666
2013/02/12,113,765,2656
2013/02/13,110,769,2649
2013/02/14,109,768,2647
2013/02/15,110,779,2638
2013/02/16,109,775,2633
2013/02/17,107,773,2636
2013/02/18,107,783,2674
2013/02/19,105,774,2645
2013/02/20,102,771,2644
2013/02/21,104,773,2643
2013/02/22,103,774,2645
2013/02/23,105,768,2642
2013/02/24,107,775,2647
2013/02/25,104,771,2660
2013/02/26,105,767,2656
2013/02/27,103,762,2645
2013/02/28,101,769,2642
2013/03/01,99,757,2639
2013/03/02,98,750,2636
2013/03/03,97,746,2638
2013/03/04,96,739,2633
2013/03/05,95,746,2648
2013/03/06,94,737,2653
2013/03/07,94,725,2656
2013/03/08,93,719,2638
2013/03/09,88,734,2656
2013/03/10,89,732,2651
2013/03/11,91,725,2642
2013/03/12,92,720,2649
2013/03/13,89,720,2635
2013/03/14,88,722,2624
2013/03/15,88,723,2625
2013/03/16,88,718,2632
2013/03/17,83,722,2636
2013/03/18,82,722,2653
2013/03/19,83,726,2659
2013/03/20,90,729,2645
2013/03/21,88,725,2634
2013/03/22,88,723,2622
2013/03/23,85,706,2609
2013/03/24,84,700,2591
2013/03/25,84,695,2589
2013/03/26,82,695,2585
2013/03/27,80,687,2565
2013/03/28,81,678,2554
2013/03/29,80,685,2568
2013/03/30,79,680,2560
2013/03/31,77,685,2570
2013/04/01,78,695,2567
2013/04/02,81,702,2585
2013/04/03,80,713,2595
2013/04/04,81,708,2607
2013/04/05,82,713,2649
2013/04/06,80,709,2654
2013/04/07,82,711,2677
2013/04/08,80,707,2694
2013/04/09,79,705,2708
2013/04/10,79,714,2718
2013/04/11,77,717,2714
2013/04/12,78,722,2711
2013/04/13,78,733,2715
2013/04/14,78,731,2706
2013/04/15,80,744,2712
2013/04/16,81,740,2717
2013/04/17,80,736,2705
2013/04/18,82,728,2702
2013/04/19,88,737,2720
2013/04/20,87,741,2717
2013/04/21,90,745,2745
2013/04/22,93,746,2762
2013/04/23,96,760,2788
2013/04/24,95,757,2782
2013/04/25,96,762,2797
2013/04/26,95,768,2802
2013/04/27,98,777,2812
2013/04/28,101,782,2815
2013/04/29,102,789,2844
2013/04/30,102,799,2875
2013/05/01,103,788,2874
2013/05/02,102,794,2879
2013/05/03,104,792,2876
2013/05/04,104,793,2869
2013/05/05,105,803,2826
2013/05/06,105,800,2827
2013/05/07,103,794,2820
2013/05/08,103,796,2791
2013/05/09,104,791,2772
2013/05/10,105,788,2734
2013/05/11,104,794,2728
2013/05/12,107,804,2745
2013/05/13,105,804,2732
2013/05/14,107,790,2714
2013/05/15,106,787,2729
2013/05/16,104,780,2708
2013/05/17,106,786,2708
2013/05/18,103,782,2681
2013/05/19,103,777,2679
2013/05/20,103,786,2689
2013/05/21,105,772,2663
2013/05/22,104,768,2639
2013/05/23,102,752,2632
2013/05/24,102,751,2630
2013/05/25,102,737,2600
2013/05/26,102,737,2606
2013/05/27,104,724,2591
2013/05/28,107,732,2559
2013/05/29,106,730,2527
2013/05/30,104,725,2509
2013/05/31,100,720,2498
2013/06/01,99,710,2482
2013/06/02,96,709,2457
2013/06/03,98,700,2434
2013/06/04,98,681,2399
2013/06/05,97,684,2387
2013/06/06,93,684,2373
2013/06/07,89,678,2348
2013/06/08,91,680,2357
2013/06/09,90,678,2347
2013/06/10,90,684,2340
2013/06/11,90,667,2319
2013/06/12,91,661,2324
2013/06/13,90,658,2307
2013/06/14,90,647,2297
2013/06/15,88,650,2290
2013/06/16,85,656,2269
2013/06/17,87,657,2269
2013/06/18,86,658,2254
2013/06/19,86,651,2256
2013/06/20,85,651,2247
2013/06/21,84,650,2241
2013/06/22,84,636,2210
2013/06/23,83,639,2222
2013/06/24,83,642,2230
2013/06/25,83,639,2220
2013/06/26,85,647,2215
2013/06/27,85,653,2231
2013/06/28,88,643,2209
2013/06/29,87,636,2174
2013/06/30,88,634,2176
2013/07/01,89,634,2174
2013/07/02,89,636,2172
2013/07/03,86,639,2172
2013/07/04,89,650,2181
2013/07/05,91,650,2199
2013/07/06,92,652,2183
2013/07/07,92,650,2192
2013/07/08,92,651,2197
2013/07/09,88,649,2185
2013/07/10,89,646,2176
2013/07/11,93,651,2183
2013/07/12,92,660,2199
2013/07/13,92,657,2188
2013/07/14,93,665,2209
2013/07/15,94,666,2217
2013/07/16,96,665,2220
2013/07/17,95,667,2228
2013/07/18,97,665,2254
2013/07/19,97,664,2263
2013/07/20,93,665,2280
2013/07/21,97,670,2286
2013/07/22,96,682,2324
2013/07/23,101,682,2318
2013/07/24,105,697,2381
2013/07/25,104,709,2395
2013/07/26,102,696,2381
2013/07/27,103,700,2383
2013/07/28,110,707,2390
2013/07/29,113,721,2429
2013/07/30,113,727,2437
2013/07/31,112,729,2437
2013/08/01,114,730,2454
2013/08/02,118,730,2452
2013/08/03,116,735,2452
2013/08/04,118,738,2437
2013/08/05,121,757,2459
2013/08/06,123,765,2470
2013/08/07,125,763,2464
2013/08/08,130,758,2472
2013/08/09,127,755,2470
2013/08/10,127,754,2463
2013/08/11,131,754,2473
2013/08/12,130,761,2506
2013/08/13,131,761,2505
2013/08/14,128,755,2523
2013/08/15,130,760,2529
2013/08/16,131,763,2527
2013/08/17,130,766,2501
2013/08/18,130,767,2494
2013/08/19,128,761,2498
2013/08/20,126,761,2484
2013/08/21,127,751,2471
2013/08/22,129,758,2492
2013/08/23,128,759,2485
2013/08/24,124,755,2479
2013/08/25,122,769,2482
2013/08/26,121,776,2498
2013/08/27,114,783,2521
2013/08/28,115,773,2529
2013/08/29,111,785,2570
2013/08/30,111,769,2538
2013/08/31,109,769,2543
2013/09/01,113,771,2563
2013/09/02,110,760,2570
2013/09/03,110,761,2565
2013/09/04,107,753,2585
2013/09/05,107,752,2588
2013/09/06,107,736,2582
2013/09/07,107,731,2605
2013/09/08,107,735,2618
2013/09/09,109,750,2652
2013/09/10,108,746,2640
2013/09/11,110,741,2662
2013/09/12,110,745,2652
2013/09/13,112,747,2648
2013/09/14,112,750,2656
2013/09/15,113,745,2681
2013/09/16,114,743,2685
2013/09/17,116,748,2688
2013/09/18,116,747,2693
2013/09/19,117,746,2699
2013/09/20,117,738,2700
2013/09/21,118,745,2699
2013/09/22,119,739,2687
2013/09/23,120,741,2686
2013/09/24,118,730,2703
2013/09/25,117,724,2690
2013/09/26,115,717,2691
2013/09/27,113,716,2670
2013/09/28,112,718,2670
2013/09/29,110,723,2679
2013/09/30,109,722,2688
2013/10/01,106,721,2670
2013/10/02,105,720,2672
2013/10/03,105,726,2686
2013/10/04,105,724,2710
2013/10/05,111,720,2706
2013/10/06,113,716,2723
2013/10/07,112,711,2716
2013/10/08,111,720,2702
2013/10/09,111,722,2713
2013/10/10,110,715,2717
2013/10/11,112,715,2712
2013/10/12,113,711,2721
2013/10/13,107,713,2744
2013/10/14,113,719,2729
2013/10/15,114,727,2717
2013/10/16,114,717,2707
2013/10/17,113,704,2710
2013/10/18,112,709,2698
2013/10/19,118,710,2710
2013/10/20,119,711,2732
2013/10/21,120,717,2726
2013/10/22,120,716,2735
2013/10/23,119,723,2744
2013/10/24,120,727,2729
2013/10/25,121,730,2738
2013/10/26,122,729,2742
2013/10/27,122,730,2747
2013/10/28,119,731,2755
2013/10/29,119,723,2727
2013/10/30,121,723,2698
2013/10/31,121,729,2703
2013/11/01,116,726,2714
2013/11/02,116,723,2713
2013/11/03,116,726,2691
2013/11/04,113,725,2681
2013/11/05,112,727,2679
2013/11/06,109,728,2689
2013/11/07,108,716,2695
2013/11/08,106,721,2687
2013/11/09,108,727,2698
2013/11/10,107,724,2686
2013/11/11,107,727,2695
2013/11/12,107,720,2687
2013/11/13,105,714,2710
2013/11/14,102,711,2713
2013/11/15,106,720,2752
2013/11/16,105,730,2772
2013/11/17,106,729,2783
2013/11/18,104,715,2770
2013/11/19,102,722,2768
2013/11/20,103,719,2768
2013/11/21,104,726,2795
2013/11/22,103,722,2794
2013/11/23,102,727,2814
2013/11/24,104,734,2822
2013/11/25,104,730,2825
2013/11/26,101,726,2833
2013/11/27,101,739,2837
2013/11/28,100,741,2870
2013/11/29,101,743,2890
2013/11/30,102,740,2908
2013/12/01,100,749,2926
2013/12/02,99,766,2924
2013/12/03,104,770,2947
2013/12/04,103,777,2974
2013/12/05,100,791,3014
2013/12/06,98,790,3036
2013/12/07,99,796,3050
2013/12/08,101,806,3034
2013/12/09,101,804,3060
2013/12/10,100,807,3078
2013/12/11,99,814,3085
2013/12/12,98,812,3077
2013/12/13,98,802,3061
2013/12/14,100,789,3059
2013/12/15,100,788,3051
2013/12/16,101,786,3049
2013/12/17,102,793,3071
2013/12/18,99,798,3075
2013/12/19,98,799,3052
2013/12/20,100,792,3063
2013/12/21,98,785,3048
2013/12/22,100,791,3041
2013/12/23,102,782,3036
2013/12/24,106,770,3037
2013/12/25,104,770,3026
2013/12/26,101,764,3022
2013/12/27,103,759,3020
2013/12/28,100,770,3024
2013/12/29,100,771,3037
2013/12/30,100,762,3017
2013/12/31,98,757,2995
2014/01/01,97,755,2993
2014/01/02,100,756,2993
2014/01/03,103,762,2968
2014/01/04,105,753,2928
2014/01/05,106,760,2924
2014/01/06,103,768,2927
2014/01/07,106,772,2932
2014/01/08,105,765,2905
2014/01/09,106,762,2889
2014/01/10,105,755,2880
2014/01/11,103,775,2891
2014/01/12,104,800,2924
2014/01/13,107,813,2956
2014/01/14,104,825,2956
2014/01/15,106,831,2967
2014/01/16,107,843,2955
2014/01/17,107,853,2966
2014/01/18,106,862,2984
2014/01/19,105,875,2982
2014/01/20,104,870,2985
2014/01/21,104,890,2994
2014/01/22,102,898,2999
2014/01/23,100,905,2995
2014/01/24,101,924,3026
2014/01/25,103,925,3020
2014/01/26,107,920,3048
2014/01/27,109,926,3051
2014/01/28,108,936,3064
2014/01/29,110,941,3101
2014/01/30,116,962,3109
2014/01/31,113,978,3119
2014/02/01,116,992,3131
2014/02/02,116,1003,3138
2014/02/03,115,1016,3157
2014/02/04,115,1019,3167
2014/02/05,116,1017,3148
2014/02/06,114,1012,3139
2014/02/07,114,1033,3158
2014/02/08,114,1040,3178
2014/02/09,117,1043,3184
2014/02/10,116,1036,3178
2014/02/11,118,1029,3171
2014/02/12,118,1028,3155
2014/02/13,121,1034,3178
2014/02/14,124,1025,3164
2014/02/15,126,1036,3185
2014/02/16,127,1045,3181
2014/02/17,129,1045,3169
2014/02/18,126,1052,3186
2014/02/19,123,1065,3214
2014/02/20,124,1063,3214
2014/02/21,123,1071,3201
