date,glwiki (100+),glwiki (5+),glwiki (all)
2013/10/02,28,73,206
2013/10/03,28,73,208
2013/10/04,28,73,213
2013/10/05,29,73,213
2013/10/06,30,72,210
2013/10/07,30,74,213
2013/10/08,30,74,219
2013/10/09,30,74,222
2013/10/10,30,73,218
2013/10/11,30,75,224
2013/10/12,31,75,224
2013/10/13,30,74,225
2013/10/14,30,74,224
2013/10/15,30,78,227
2013/10/16,30,78,227
2013/10/17,29,78,226
2013/10/18,29,78,231
2013/10/19,30,77,231
2013/10/20,31,78,227
2013/10/21,29,78,230
2013/10/22,29,81,230
2013/10/23,29,83,232
2013/10/24,28,85,230
2013/10/25,28,89,236
2013/10/26,29,88,238
2013/10/27,28,85,239
2013/10/28,29,85,231
2013/10/29,29,87,233
2013/10/30,27,85,231
2013/10/31,28,84,230
2013/11/01,28,86,232
2013/11/02,28,84,226
2013/11/03,28,86,226
2013/11/04,28,87,226
2013/11/05,27,86,226
2013/11/06,27,84,226
2013/11/07,27,85,230
2013/11/08,28,88,232
2013/11/09,28,88,238
2013/11/10,28,87,236
2013/11/11,29,88,237
2013/11/12,29,89,242
2013/11/13,29,88,243
2013/11/14,29,83,244
2013/11/15,29,80,242
2013/11/16,29,81,246
2013/11/17,30,79,246
2013/11/18,30,77,250
2013/11/19,30,77,249
2013/11/20,29,76,246
2013/11/21,29,77,249
2013/11/22,29,76,245
2013/11/23,27,78,243
2013/11/24,26,78,242
2013/11/25,26,78,236
2013/11/26,26,80,238
2013/11/27,25,81,238
2013/11/28,25,84,246
2013/11/29,26,84,242
2013/11/30,26,85,238
2013/12/01,25,82,233
2013/12/02,24,85,237
2013/12/03,23,81,235
2013/12/04,22,82,234
2013/12/05,22,83,235
2013/12/06,22,83,235
2013/12/07,23,82,228
2013/12/08,23,79,227
2013/12/09,23,82,226
2013/12/10,22,82,232
2013/12/11,24,81,226
2013/12/12,23,84,227
2013/12/13,22,84,225
2013/12/14,21,86,226
2013/12/15,22,86,228
2013/12/16,22,86,223
2013/12/17,22,85,224
2013/12/18,22,83,226
2013/12/19,22,90,231
2013/12/20,23,87,230
2013/12/21,23,84,230
2013/12/22,24,83,234
2013/12/23,24,83,232
2013/12/24,24,82,230
2013/12/25,24,83,229
2013/12/26,25,80,227
2013/12/27,25,79,230
2013/12/28,25,78,228
2013/12/29,25,79,228
2013/12/30,25,78,228
2013/12/31,23,77,230
2014/01/01,23,75,224
2014/01/02,24,75,223
2014/01/03,25,76,224
2014/01/04,24,80,227
2014/01/05,26,78,223
2014/01/06,25,79,226
2014/01/07,24,81,224
2014/01/08,24,81,215
2014/01/09,25,81,211
2014/01/10,26,81,212
2014/01/11,25,80,209
2014/01/12,26,78,210
2014/01/13,27,73,211
2014/01/14,29,73,213
2014/01/15,30,73,224
2014/01/16,28,77,230
2014/01/17,28,78,232
2014/01/18,29,77,229
2014/01/19,28,79,228
2014/01/20,28,79,231
2014/01/21,29,81,235
2014/01/22,29,86,238
2014/01/23,30,87,240
2014/01/24,29,89,242
2014/01/25,29,93,243
2014/01/26,28,97,246
2014/01/27,28,99,244
2014/01/28,29,99,246
2014/01/29,29,101,249
2014/01/30,28,104,252
2014/01/31,28,110,260
2014/02/01,28,110,265
2014/02/02,28,110,266
2014/02/03,29,112,264
2014/02/04,29,111,275
2014/02/05,29,109,281
2014/02/06,29,111,284
2014/02/07,29,113,288
2014/02/08,29,112,288
2014/02/09,29,113,291
2014/02/10,28,116,292
2014/02/11,28,119,299
2014/02/12,27,121,302
2014/02/13,27,120,298
2014/02/14,27,120,292
2014/02/15,29,118,291
2014/02/16,29,115,288
2014/02/17,30,119,292
2014/02/18,31,113,290
2014/02/19,32,112,288
2014/02/20,32,113,291
2014/02/21,31,113,288
2014/02/22,30,112,290
2014/02/23,30,109,289
2014/02/24,30,105,287
2014/02/25,30,101,285
2014/02/26,30,105,285
2014/02/27,30,102,285
2014/02/28,30,106,284
2014/03/01,31,103,289
2014/03/02,32,103,289
2014/03/03,31,102,286
2014/03/04,31,101,292
2014/03/05,31,103,289
2014/03/06,31,110,287
2014/03/07,31,112,292
2014/03/08,30,113,294
2014/03/09,30,112,295
2014/03/10,30,113,295
2014/03/11,30,113,290
2014/03/12,29,115,289
2014/03/13,29,115,283
2014/03/14,29,112,289
2014/03/15,30,110,292
2014/03/16,29,110,294
2014/03/17,29,111,297
2014/03/18,27,113,303
2014/03/19,27,114,295
2014/03/20,25,112,299
2014/03/21,25,114,300
2014/03/22,24,112,295
2014/03/23,24,111,294
2014/03/24,25,107,295
2014/03/25,25,108,293
2014/03/26,26,112,294
2014/03/27,26,114,294
2014/03/28,27,114,295
2014/03/29,27,112,295
2014/03/30,27,112,284
2014/03/31,27,113,285
2014/04/01,27,113,284
2014/04/02,27,112,285
2014/04/03,27,114,285
2014/04/04,27,111,287
2014/04/05,28,108,286
2014/04/06,27,107,286
2014/04/07,27,107,287
2014/04/08,27,105,286
2014/04/09,27,105,287
2014/04/10,28,99,271
2014/04/11,28,99,267
2014/04/12,29,98,269
2014/04/13,28,98,267
2014/04/14,27,95,266
2014/04/15,27,93,263
2014/04/16,27,92,258
2014/04/17,26,87,252
2014/04/18,26,88,254
2014/04/19,27,88,254
2014/04/20,28,89,251
2014/04/21,32,89,252
2014/04/22,33,91,250
2014/04/23,34,93,256
2014/04/24,34,95,262
2014/04/25,33,93,259
2014/04/26,32,91,257
2014/04/27,31,92,262
2014/04/28,31,88,257
2014/04/29,30,91,258
2014/04/30,30,91,257
2014/05/01,30,89,256
2014/05/02,30,90,258
2014/05/03,29,88,257
2014/05/04,30,88,255
2014/05/05,29,91,254
2014/05/06,29,92,254
2014/05/07,29,89,249
2014/05/08,29,87,251
2014/05/09,29,89,251
2014/05/10,28,90,255
2014/05/11,28,93,256
2014/05/12,28,95,261
2014/05/13,28,94,268
2014/05/14,30,95,273
2014/05/15,29,94,278
2014/05/16,30,97,276
2014/05/17,30,96,271
2014/05/18,28,96,275
2014/05/19,29,99,274
2014/05/20,29,100,277
2014/05/21,28,101,284
2014/05/22,29,99,286
2014/05/23,27,97,284
2014/05/24,27,99,283
2014/05/25,27,100,282
2014/05/26,27,99,283
2014/05/27,27,97,278
2014/05/28,29,100,285
2014/05/29,29,98,286
2014/05/30,29,98,283
2014/05/31,30,99,285
2014/06/01,29,95,280
2014/06/02,30,99,281
2014/06/03,30,100,283
2014/06/04,30,99,284
2014/06/05,30,98,283
2014/06/06,30,101,281
2014/06/07,30,101,281
2014/06/08,30,100,279
2014/06/09,30,99,280
2014/06/10,29,99,280
2014/06/11,29,100,278
2014/06/12,29,104,278
2014/06/13,29,102,274
2014/06/14,28,98,267
2014/06/15,27,98,265
2014/06/16,28,100,266
2014/06/17,28,98,267
2014/06/18,27,98,270
2014/06/19,27,98,268
2014/06/20,25,97,262
2014/06/21,25,99,260
2014/06/22,27,102,253
2014/06/23,25,98,250
2014/06/24,25,95,253
2014/06/25,25,96,258
2014/06/26,24,95,257
2014/06/27,24,92,257
2014/06/28,24,90,254
2014/06/29,22,89,253
2014/06/30,21,90,249
2014/07/01,22,90,249
2014/07/02,24,86,247
2014/07/03,23,85,247
2014/07/04,23,82,239
2014/07/05,24,81,233
2014/07/06,24,77,229
2014/07/07,24,79,226
2014/07/08,24,81,223
2014/07/09,22,80,228
2014/07/10,23,84,232
2014/07/11,24,82,229
2014/07/12,24,81,226
2014/07/13,25,78,225
2014/07/14,26,78,228
2014/07/15,25,79,228
2014/07/16,25,81,221
2014/07/17,25,80,218
2014/07/18,26,80,215
2014/07/19,27,80,220
2014/07/20,26,80,223
2014/07/21,26,77,223
2014/07/22,26,75,223
2014/07/23,25,75,226
2014/07/24,26,74,231
2014/07/25,26,75,223
2014/07/26,26,74,220
2014/07/27,25,73,218
2014/07/28,25,75,217
2014/07/29,24,71,217
2014/07/30,26,71,218
2014/07/31,27,70,218
2014/08/01,26,70,215
2014/08/02,26,68,209
2014/08/03,26,70,211
2014/08/04,26,70,213
2014/08/05,25,71,211
2014/08/06,25,71,212
2014/08/07,24,68,210
2014/08/08,23,66,210
2014/08/09,24,66,212
2014/08/10,23,69,215
2014/08/11,23,70,215
2014/08/12,24,71,224
2014/08/13,22,74,222
2014/08/14,23,76,221
2014/08/15,23,76,224
2014/08/16,24,76,226
2014/08/17,25,76,227
2014/08/18,25,75,219
2014/08/19,25,74,218
2014/08/20,25,76,219
2014/08/21,25,76,223
2014/08/22,24,74,222
2014/08/23,24,74,218
2014/08/24,24,74,220
2014/08/25,24,75,223
2014/08/26,24,77,228
2014/08/27,24,77,227
2014/08/28,24,77,230
2014/08/29,25,78,230
2014/08/30,25,78,232
2014/08/31,23,77,236
2014/09/01,24,77,239
2014/09/02,25,78,241
2014/09/03,25,80,239
2014/09/04,26,78,235
2014/09/05,26,82,235
2014/09/06,27,83,231
2014/09/07,27,82,233
2014/09/08,27,82,227
2014/09/09,27,82,229
2014/09/10,27,80,229
2014/09/11,26,80,225
2014/09/12,26,76,222
2014/09/13,26,75,221
2014/09/14,26,77,216
2014/09/15,26,77,220
2014/09/16,26,77,218
2014/09/17,26,76,223
2014/09/18,28,77,221
2014/09/19,28,74,219
2014/09/20,28,75,219
2014/09/21,27,76,220
2014/09/22,26,76,223
2014/09/23,25,77,221
2014/09/24,25,75,219
2014/09/25,26,76,214
2014/09/26,25,77,216
2014/09/27,24,72,213
2014/09/28,24,71,211
2014/09/29,24,72,210
2014/09/30,23,73,214
2014/10/01,23,72,218
2014/10/02,23,70,216
2014/10/03,24,68,216
2014/10/04,21,66,219
2014/10/05,22,70,222
2014/10/06,22,72,228
2014/10/07,22,70,228
2014/10/08,23,72,225
2014/10/09,24,74,226
2014/10/10,23,75,222
2014/10/11,23,74,224
2014/10/12,25,76,228
2014/10/13,25,76,226
2014/10/14,25,76,230
2014/10/15,25,76,231
2014/10/16,24,77,234
2014/10/17,23,75,231
2014/10/18,23,77,235
2014/10/19,24,77,234
2014/10/20,24,75,229
2014/10/21,24,74,226
2014/10/22,24,76,226
2014/10/23,24,77,229
2014/10/24,22,78,232
2014/10/25,23,77,233
2014/10/26,25,78,232
2014/10/27,26,79,229
2014/10/28,25,77,229
2014/10/29,25,75,233
2014/10/30,25,77,231
2014/10/31,26,79,235
2014/11/01,26,81,239
2014/11/02,27,80,239
2014/11/03,25,80,240
2014/11/04,25,77,241
2014/11/05,23,75,238
2014/11/06,22,76,247
2014/11/07,22,74,250
2014/11/08,22,76,250
2014/11/09,23,83,260
2014/11/10,23,83,258
2014/11/11,24,85,255
2014/11/12,23,84,258
2014/11/13,23,85,260
2014/11/14,23,85,262
2014/11/15,23,86,258
2014/11/16,23,86,256
2014/11/17,23,84,250
2014/11/18,23,83,251
2014/11/19,23,85,255
2014/11/20,23,90,254
2014/11/21,22,91,257
2014/11/22,22,90,257
2014/11/23,22,90,262
2014/11/24,22,92,262
2014/11/25,23,93,260
2014/11/26,23,92,259
2014/11/27,23,93,260
2014/11/28,24,94,258
2014/11/29,23,93,261
2014/11/30,22,97,259
2014/12/01,21,101,259
2014/12/02,20,103,256
2014/12/03,20,102,257
2014/12/04,19,101,253
2014/12/05,20,102,255
2014/12/06,19,102,251
2014/12/07,20,102,249
2014/12/08,19,104,249
2014/12/09,19,95,242
2014/12/10,19,96,237
2014/12/11,19,92,234
2014/12/12,19,90,233
2014/12/13,19,90,232
2014/12/14,19,87,234
2014/12/15,20,89,235
2014/12/16,21,91,240
2014/12/17,21,90,243
2014/12/18,22,92,244
2014/12/19,21,89,242
2014/12/20,21,89,243
2014/12/21,21,89,245
2014/12/22,22,89,241
2014/12/23,22,92,241
2014/12/24,21,90,244
2014/12/25,22,91,243
2014/12/26,23,90,243
2014/12/27,23,91,241
2014/12/28,22,89,241
2014/12/29,22,84,236
2014/12/30,23,82,239
2014/12/31,23,77,231
2015/01/01,23,76,228
2015/01/02,24,76,228
2015/01/03,24,78,232
2015/01/04,25,78,232
2015/01/05,25,77,231
2015/01/06,26,80,230
2015/01/07,25,81,228
2015/01/08,25,80,234
2015/01/09,25,79,242
2015/01/10,25,79,239
2015/01/11,25,80,242
2015/01/12,26,80,239
2015/01/13,26,80,235
2015/01/14,27,80,239
2015/01/15,28,81,235
2015/01/16,27,83,235
2015/01/17,25,79,236
2015/01/18,25,77,235
2015/01/19,25,79,235
2015/01/20,25,76,234
2015/01/21,25,75,235
2015/01/22,24,72,235
2015/01/23,24,75,232
2015/01/24,24,77,242
2015/01/25,25,77,245
2015/01/26,25,76,237
2015/01/27,24,75,236
2015/01/28,24,74,235
2015/01/29,25,75,234
2015/01/30,25,74,234
2015/01/31,25,73,233
2015/02/01,25,74,235
2015/02/02,25,79,235
2015/02/03,25,79,234
2015/02/04,25,80,234
2015/02/05,25,80,237
2015/02/06,24,78,247
2015/02/07,24,76,244
2015/02/08,23,77,242
2015/02/09,23,78,246
2015/02/10,24,79,246
2015/02/11,24,82,247
2015/02/12,23,89,256
2015/02/13,22,87,254
2015/02/14,22,90,260
2015/02/15,22,88,260
2015/02/16,21,88,262
2015/02/17,21,89,264
2015/02/18,21,90,267
2015/02/19,20,89,262
2015/02/20,21,88,269
2015/02/21,21,88,267
2015/02/22,21,89,266
2015/02/23,20,87,268
2015/02/24,19,87,269
2015/02/25,19,90,276
2015/02/26,19,93,282
2015/02/27,19,95,286
2015/02/28,20,99,288
2015/03/01,23,101,302
2015/03/02,24,104,304
2015/03/03,23,105,303
2015/03/04,24,106,300
2015/03/05,26,105,299
2015/03/06,27,103,301
2015/03/07,28,105,300
2015/03/08,29,104,293
2015/03/09,29,104,292
2015/03/10,29,105,293
2015/03/11,29,104,291
2015/03/12,29,103,290
2015/03/13,30,104,287
2015/03/14,30,101,290
2015/03/15,30,98,286
2015/03/16,30,99,280
2015/03/17,30,98,281
2015/03/18,30,101,276
2015/03/19,30,101,272
2015/03/20,30,101,271
2015/03/21,30,101,272
2015/03/22,30,101,271
2015/03/23,31,105,266
2015/03/24,31,102,265
2015/03/25,31,101,263
2015/03/26,31,103,259
2015/03/27,30,99,259
2015/03/28,28,95,256
2015/03/29,26,91,251
2015/03/30,25,89,249
2015/03/31,26,84,236
2015/04/01,25,85,231
2015/04/02,25,83,233
2015/04/03,25,83,237
2015/04/04,24,83,234
2015/04/05,23,83,230
2015/04/06,23,90,238
2015/04/07,22,91,245
2015/04/08,21,89,240
2015/04/09,22,87,243
2015/04/10,23,86,240
2015/04/11,22,89,248
2015/04/12,23,90,254
2015/04/13,23,90,253
2015/04/14,22,90,263
2015/04/15,22,91,263
2015/04/16,22,93,266
2015/04/17,22,101,289
2015/04/18,23,102,291
2015/04/19,22,105,295
2015/04/20,22,110,303
2015/04/21,23,115,309
2015/04/22,23,119,316
2015/04/23,22,120,316
2015/04/24,22,125,319
2015/04/25,22,127,321
2015/04/26,22,127,316
2015/04/27,23,126,315
2015/04/28,23,134,322
2015/04/29,23,140,329
2015/04/30,23,140,334
2015/05/01,23,139,340
2015/05/02,23,138,335
2015/05/03,23,138,334
2015/05/04,23,138,331
2015/05/05,23,138,328
2015/05/06,24,136,324
2015/05/07,23,136,326
2015/05/08,23,138,324
2015/05/09,24,139,321
2015/05/10,23,138,326
2015/05/11,23,137,321
2015/05/12,23,135,322
2015/05/13,23,136,325
2015/05/14,23,133,317
2015/05/15,23,132,314
2015/05/16,23,131,312
2015/05/17,23,124,300
2015/05/18,22,120,298
2015/05/19,23,120,295
2015/05/20,23,115,287
2015/05/21,22,110,287
2015/05/22,22,101,280
2015/05/23,23,102,281
2015/05/24,24,98,280
2015/05/25,24,96,278
2015/05/26,24,100,282
2015/05/27,22,102,285
2015/05/28,22,101,280
2015/05/29,23,100,274
2015/05/30,23,98,263
2015/05/31,24,96,262
2015/06/01,24,98,262
2015/06/02,23,101,266
2015/06/03,24,102,271
2015/06/04,24,99,272
2015/06/05,23,96,272
2015/06/06,23,95,264
2015/06/07,24,92,258
2015/06/08,25,92,256
2015/06/09,24,93,256
2015/06/10,24,92,259
2015/06/11,25,97,255
2015/06/12,25,96,258
2015/06/13,26,96,260
2015/06/14,26,96,268
2015/06/15,26,96,273
2015/06/16,27,99,274
2015/06/17,28,101,279
2015/06/18,28,103,282
2015/06/19,26,104,283
2015/06/20,26,104,277
2015/06/21,25,104,274
2015/06/22,25,103,273
2015/06/23,25,105,273
2015/06/24,25,107,276
2015/06/25,24,105,275
2015/06/26,24,101,270
2015/06/27,24,103,270
2015/06/28,24,101,268
2015/06/29,24,100,272
2015/06/30,25,101,274
2015/07/01,25,93,274
2015/07/02,25,90,273
2015/07/03,25,87,270
2015/07/04,26,85,268
2015/07/05,26,84,262
2015/07/06,25,86,267
2015/07/07,26,87,274
2015/07/08,26,88,275
2015/07/09,25,83,275
2015/07/10,23,83,275
2015/07/11,23,81,268
2015/07/12,24,80,261
2015/07/13,23,81,262
2015/07/14,23,81,250
2015/07/15,23,82,251
2015/07/16,23,79,252
2015/07/17,22,80,243
2015/07/18,21,79,243
2015/07/19,21,77,242
2015/07/20,21,77,245
2015/07/21,21,78,247
2015/07/22,22,79,248
2015/07/23,22,77,244
2015/07/24,21,74,243
2015/07/25,21,78,242
2015/07/26,22,78,238
