date,kgwiki (100+),kgwiki (5+),kgwiki (all)
2012/11/14,,14,33
2012/11/15,,14,33
2012/11/16,,14,33
2012/11/17,,14,32
2012/11/18,1,14,32
2012/11/19,1,14,29
2012/11/20,1,14,26
2012/11/21,1,14,26
2012/11/22,1,13,27
2012/11/23,1,14,28
2012/11/24,,14,27
2012/11/25,,15,27
2012/11/26,,16,27
2012/11/27,,15,27
2012/11/28,,15,28
2012/11/29,,15,29
2012/11/30,,14,28
2012/12/01,,14,28
2012/12/02,,12,28
2012/12/03,,12,27
2012/12/04,,12,26
2012/12/05,,11,26
2012/12/06,,11,26
2012/12/07,,13,29
2012/12/08,,13,28
2012/12/09,,13,28
2012/12/10,,13,29
2012/12/11,,13,30
2012/12/12,,13,31
2012/12/13,,12,31
2012/12/14,1,12,31
2012/12/15,1,12,31
2012/12/16,1,12,31
2012/12/17,1,13,32
2012/12/18,,13,30
2012/12/19,,13,31
2012/12/20,,13,30
2012/12/21,,14,29
2012/12/22,,14,29
2012/12/23,,14,30
2012/12/24,1,14,30
2012/12/25,1,14,30
2012/12/26,1,15,31
2012/12/27,1,15,31
2012/12/28,1,16,33
2012/12/29,1,16,32
2012/12/30,,16,33
2012/12/31,,16,33
2013/01/01,,15,32
2013/01/02,,15,33
2013/01/03,1,14,33
2013/01/04,1,14,33
2013/01/05,,14,33
2013/01/06,,13,29
2013/01/07,,14,27
2013/01/08,,14,27
2013/01/09,,14,28
2013/01/10,,14,28
2013/01/11,,13,28
2013/01/12,,13,29
2013/01/13,,13,31
2013/01/14,1,13,31
2013/01/15,1,13,33
2013/01/16,1,13,35
2013/01/17,1,13,34
2013/01/18,1,13,34
2013/01/19,1,13,35
2013/01/20,1,13,35
2013/01/21,1,13,34
2013/01/22,1,14,33
2013/01/23,1,14,33
2013/01/24,1,14,33
2013/01/25,1,14,32
2013/01/26,1,14,32
2013/01/27,1,13,31
2013/01/28,1,13,31
2013/01/29,1,11,31
2013/01/30,1,10,31
2013/01/31,1,11,31
2013/02/01,1,11,32
2013/02/02,1,12,33
2013/02/03,1,12,33
2013/02/04,1,12,33
2013/02/05,1,12,34
2013/02/06,1,11,33
2013/02/07,1,11,33
2013/02/08,,11,31
2013/02/09,,11,33
2013/02/10,,11,35
2013/02/11,,12,33
2013/02/12,,11,32
2013/02/13,1,9,32
2013/02/14,1,10,30
2013/02/15,1,10,29
2013/02/16,1,10,31
2013/02/17,1,11,32
2013/02/18,1,10,32
2013/02/19,1,10,31
2013/02/20,1,10,31
2013/02/21,1,10,30
2013/02/22,1,10,27
2013/02/23,1,11,27
2013/02/24,1,11,27
2013/02/25,1,11,27
2013/02/26,1,11,27
2013/02/27,1,11,27
2013/02/28,1,12,27
2013/03/01,1,11,26
2013/03/02,1,12,30
2013/03/03,1,12,29
2013/03/04,1,13,28
2013/03/05,1,12,28
2013/03/06,1,12,28
2013/03/07,1,12,27
2013/03/08,2,12,27
2013/03/09,2,12,28
2013/03/10,2,12,28
2013/03/11,2,12,27
2013/03/12,3,13,27
2013/03/13,3,13,26
2013/03/14,3,13,25
2013/03/15,3,13,24
2013/03/16,2,14,24
2013/03/17,2,14,23
2013/03/18,2,14,21
2013/03/19,2,14,21
2013/03/20,2,14,20
2013/03/21,2,14,20
2013/03/22,2,14,20
2013/03/23,2,13,20
2013/03/24,2,13,20
2013/03/25,2,13,20
2013/03/26,2,13,20
2013/03/27,2,13,19
2013/03/28,2,12,19
2013/03/29,2,12,19
2013/03/30,2,8,19
2013/03/31,2,8,18
2013/04/01,2,7,17
2013/04/02,2,7,15
2013/04/03,2,7,14
2013/04/04,2,5,14
2013/04/05,2,5,14
2013/04/06,2,4,13
2013/04/07,1,3,10
2013/04/08,1,2,11
2013/04/09,1,2,11
2013/04/10,1,2,11
2013/04/11,,2,11
2013/04/12,,2,11
2013/04/13,,2,12
2013/04/14,,2,11
2013/04/15,,1,12
2013/04/16,,2,11
2013/04/17,,2,10
2013/04/18,,2,10
2013/04/19,,2,10
2013/04/20,,2,10
2013/04/21,,2,10
2013/04/22,,2,10
2013/04/23,,3,11
2013/04/24,,3,11
2013/04/25,,3,11
2013/04/26,,3,12
2013/04/27,,3,12
2013/04/28,,3,12
2013/04/29,,3,12
2013/04/30,,3,12
2013/05/01,,3,11
2013/05/02,,3,11
2013/05/03,,3,11
2013/05/04,,3,11
2013/05/05,,3,10
2013/05/06,,3,10
2013/05/07,,3,10
2013/05/08,,3,8
2013/05/09,,3,7
2013/05/10,,3,8
2013/05/11,,3,8
2013/05/12,,3,8
2013/05/13,,3,7
2013/05/14,,3,7
2013/05/15,,3,6
2013/05/16,,2,6
2013/05/17,,2,6
2013/05/18,,2,7
2013/05/19,,2,6
2013/05/20,,2,6
2013/05/21,,2,6
2013/05/22,,2,6
2013/05/23,,2,6
2013/05/24,,2,6
2013/05/25,,2,7
2013/05/26,,2,7
2013/05/27,,2,7
2013/05/28,,2,7
2013/05/29,,4,9
2013/05/30,,4,9
2013/05/31,,4,9
2013/06/01,,4,9
2013/06/02,,3,8
2013/06/03,,3,8
2013/06/04,,3,8
2013/06/05,,3,8
2013/06/06,,3,8
2013/06/07,,3,8
2013/06/08,,3,8
2013/06/09,,3,7
2013/06/10,,3,7
2013/06/11,,3,7
2013/06/12,,3,7
2013/06/13,,3,7
2013/06/14,,3,7
2013/06/15,,3,8
2013/06/16,,3,8
2013/06/17,,3,9
2013/06/18,1,3,9
2013/06/19,1,3,9
2013/06/20,1,3,9
2013/06/21,1,3,9
2013/06/22,1,3,9
2013/06/23,1,3,9
2013/06/24,1,3,7
2013/06/25,1,3,7
2013/06/26,1,3,6
2013/06/27,1,3,6
2013/06/28,,3,6
2013/06/29,,3,7
2013/06/30,,3,7
2013/07/01,,3,7
2013/07/02,,3,7
2013/07/03,,3,8
2013/07/04,,3,9
2013/07/05,,3,8
2013/07/06,,3,8
2013/07/07,,3,8
2013/07/08,,2,9
2013/07/09,,2,9
2013/07/10,,2,9
2013/07/11,,2,9
2013/07/12,,2,9
2013/07/13,,2,9
2013/07/14,,2,9
2013/07/15,,2,8
2013/07/16,,2,8
2013/07/17,,2,7
2013/07/18,,2,7
2013/07/19,,2,7
2013/07/20,,2,6
2013/07/21,,2,6
2013/07/22,,2,6
2013/07/23,,2,6
2013/07/24,,2,8
2013/07/25,,2,9
2013/07/26,,2,9
2013/07/27,,2,9
2013/07/28,,2,9
2013/07/29,,2,10
2013/07/30,,2,10
2013/07/31,,2,10
2013/08/01,,2,9
2013/08/02,,2,8
2013/08/03,,2,8
2013/08/04,,2,8
2013/08/05,,2,8
2013/08/06,,1,8
2013/08/07,,1,6
2013/08/08,,1,6
2013/08/09,,2,7
2013/08/10,,3,8
2013/08/11,,3,8
2013/08/12,,3,8
2013/08/13,,3,8
2013/08/14,,3,7
2013/08/15,,3,7
2013/08/16,,3,7
2013/08/17,,3,7
2013/08/18,,3,7
2013/08/19,,3,7
2013/08/20,,3,7
2013/08/21,,3,7
2013/08/22,,3,8
2013/08/23,,3,8
2013/08/24,,3,7
2013/08/25,,3,7
2013/08/26,,3,7
2013/08/27,,3,7
2013/08/28,,3,7
2013/08/29,,3,8
2013/08/30,,3,8
2013/08/31,,3,9
2013/09/01,,3,9
2013/09/02,,3,9
2013/09/03,,3,10
2013/09/04,,3,10
2013/09/05,,3,10
2013/09/06,,3,10
2013/09/07,,3,10
2013/09/08,,3,10
2013/09/09,,1,8
2013/09/10,,1,8
2013/09/11,,1,8
2013/09/12,,1,8
2013/09/13,,1,8
2013/09/14,,1,8
2013/09/15,,1,8
2013/09/16,,1,8
2013/09/17,,,8
2013/09/18,,,8
2013/09/19,,,8
2013/09/20,,,6
2013/09/21,,,5
2013/09/22,,,4
2013/09/23,,,4
2013/09/24,,,4
2013/09/25,,,5
2013/09/26,,,5
2013/09/27,,,4
2013/09/28,,,3
2013/09/29,,,4
2013/09/30,,,3
2013/10/01,,,3
2013/10/02,,,4
2013/10/03,,,3
2013/10/04,,,3
2013/10/05,,,3
2013/10/06,,,3
2013/10/07,,,3
2013/10/08,,,3
2013/10/09,,,3
2013/10/10,,,5
2013/10/11,,,6
2013/10/12,,,6
2013/10/13,,,6
2013/10/14,,,6
2013/10/15,,,6
2013/10/16,,,6
2013/10/17,,,6
2013/10/18,,,7
2013/10/19,,,7
2013/10/20,,,7
2013/10/21,,,9
2013/10/22,,,9
2013/10/23,,,10
2013/10/24,,,10
2013/10/25,,,10
2013/10/26,,,10
2013/10/27,,,10
2013/10/28,,,10
2013/10/29,,,9
2013/10/30,,,9
2013/10/31,,,9
2013/11/01,,,9
2013/11/02,,,8
2013/11/03,,,8
2013/11/04,,,8
2013/11/05,,,8
2013/11/06,,,8
2013/11/07,,,10
2013/11/08,,,10
2013/11/09,,,8
2013/11/10,,,9
2013/11/11,,,8
2013/11/12,,,8
2013/11/13,,,9
2013/11/14,,,9
2013/11/15,,,9
2013/11/16,,,9
2013/11/17,,,8
2013/11/18,,,8
2013/11/19,,,9
2013/11/20,,,8
2013/11/21,,,8
2013/11/22,,,7
2013/11/23,,,7
2013/11/24,,,7
2013/11/25,,1,8
2013/11/26,,1,8
2013/11/27,,1,8
2013/11/28,,1,9
2013/11/29,,1,9
2013/11/30,,2,9
2013/12/01,,2,9
2013/12/02,,2,9
2013/12/03,,1,9
2013/12/04,,1,9
2013/12/05,,1,9
2013/12/06,,1,9
2013/12/07,,1,7
2013/12/08,,1,7
2013/12/09,,1,7
2013/12/10,,1,6
2013/12/11,,1,6
2013/12/12,,2,7
2013/12/13,,2,7
2013/12/14,,2,9
2013/12/15,,2,9
2013/12/16,,2,8
2013/12/17,,2,8
2013/12/18,,2,9
2013/12/19,,2,9
2013/12/20,,2,9
2013/12/21,,2,9
2013/12/22,,2,9
2013/12/23,,2,9
2013/12/24,,2,9
2013/12/25,,1,8
2013/12/26,,1,8
2013/12/27,,1,8
2013/12/28,,1,7
2013/12/29,,1,7
2013/12/30,,,8
2013/12/31,,,8
2014/01/01,,,8
2014/01/02,,,8
2014/01/03,,,8
2014/01/04,,,8
2014/01/05,,,8
2014/01/06,,,8
2014/01/07,,,8
2014/01/08,,,8
2014/01/09,,,8
2014/01/10,,,8
2014/01/11,,,6
2014/01/12,,,6
2014/01/13,,,4
2014/01/14,,,4
2014/01/15,,,4
2014/01/16,,,4
2014/01/17,,,4
2014/01/18,,,3
2014/01/19,,,4
2014/01/20,,,4
2014/01/21,,,4
2014/01/22,,,5
2014/01/23,,,5
2014/01/24,,,5
2014/01/25,,,5
2014/01/26,,,5
2014/01/27,,,5
