date,fawiki (100+),fawiki (5+),fawiki (all)
2012/11/25,70,784,2270
2012/11/26,73,786,2288
2012/11/27,74,798,2325
2012/11/28,76,813,2323
2012/11/29,77,822,2333
2012/11/30,77,823,2359
2012/12/01,80,823,2379
2012/12/02,79,812,2366
2012/12/03,79,804,2358
2012/12/04,81,806,2349
2012/12/05,83,806,2353
2012/12/06,85,815,2370
2012/12/07,84,826,2386
2012/12/08,81,831,2421
2012/12/09,81,828,2425
2012/12/10,80,830,2448
2012/12/11,81,838,2462
2012/12/12,83,827,2462
2012/12/13,87,839,2479
2012/12/14,90,843,2497
2012/12/15,87,855,2521
2012/12/16,91,852,2528
2012/12/17,91,852,2530
2012/12/18,90,851,2527
2012/12/19,91,850,2524
2012/12/20,93,856,2533
2012/12/21,92,850,2531
2012/12/22,93,848,2526
2012/12/23,92,852,2526
2012/12/24,89,860,2551
2012/12/25,90,863,2543
2012/12/26,90,865,2540
2012/12/27,89,864,2514
2012/12/28,91,856,2533
2012/12/29,91,850,2505
2012/12/30,90,848,2495
2012/12/31,89,861,2517
2013/01/01,89,864,2518
2013/01/02,90,863,2519
2013/01/03,88,873,2552
2013/01/04,89,883,2581
2013/01/05,88,882,2582
2013/01/06,89,881,2553
2013/01/07,88,884,2555
2013/01/08,87,896,2573
2013/01/09,89,891,2585
2013/01/10,93,906,2578
2013/01/11,93,915,2597
2013/01/12,93,912,2624
2013/01/13,95,912,2649
2013/01/14,100,924,2654
2013/01/15,96,915,2674
2013/01/16,96,913,2693
2013/01/17,98,926,2725
2013/01/18,98,934,2733
2013/01/19,101,935,2727
2013/01/20,100,949,2735
2013/01/21,99,943,2750
2013/01/22,100,936,2750
2013/01/23,102,932,2750
2013/01/24,99,939,2757
2013/01/25,96,935,2760
2013/01/26,94,930,2773
2013/01/27,94,931,2761
2013/01/28,91,927,2772
2013/01/29,90,923,2780
2013/01/30,91,920,2794
2013/01/31,93,912,2815
2013/02/01,92,919,2801
2013/02/02,96,904,2759
2013/02/03,96,905,2755
2013/02/04,92,895,2742
2013/02/05,92,895,2742
2013/02/06,90,882,2730
2013/02/07,89,875,2683
2013/02/08,90,865,2665
2013/02/09,93,853,2661
2013/02/10,91,844,2655
2013/02/11,91,848,2617
2013/02/12,86,835,2589
2013/02/13,84,828,2548
2013/02/14,87,826,2554
2013/02/15,88,838,2521
2013/02/16,84,820,2501
2013/02/17,85,811,2466
2013/02/18,85,810,2480
2013/02/19,86,819,2475
2013/02/20,86,806,2435
2013/02/21,84,816,2426
2013/02/22,85,815,2430
2013/02/23,87,815,2406
2013/02/24,88,814,2427
2013/02/25,84,810,2447
2013/02/26,84,810,2459
2013/02/27,84,799,2422
2013/02/28,85,789,2416
2013/03/01,86,788,2393
2013/03/02,84,786,2382
2013/03/03,86,791,2367
2013/03/04,84,780,2349
2013/03/05,84,787,2330
2013/03/06,83,786,2323
2013/03/07,83,779,2325
2013/03/08,84,782,2325
2013/03/09,80,776,2332
2013/03/10,79,774,2317
2013/03/11,77,768,2308
2013/03/12,78,763,2288
2013/03/13,80,766,2280
2013/03/14,82,765,2285
2013/03/15,83,760,2303
2013/03/16,82,754,2278
2013/03/17,82,755,2286
2013/03/18,86,762,2294
2013/03/19,88,764,2303
2013/03/20,90,764,2289
2013/03/21,88,764,2272
2013/03/22,87,754,2241
2013/03/23,83,745,2234
2013/03/24,83,744,2215
2013/03/25,81,746,2225
2013/03/26,79,734,2223
2013/03/27,81,742,2211
2013/03/28,81,748,2203
2013/03/29,82,751,2214
2013/03/30,78,760,2225
2013/03/31,81,761,2226
2013/04/01,79,758,2215
2013/04/02,79,749,2222
2013/04/03,76,757,2228
2013/04/04,78,767,2261
2013/04/05,81,780,2264
2013/04/06,83,788,2279
2013/04/07,84,783,2308
2013/04/08,84,784,2322
2013/04/09,82,787,2352
2013/04/10,83,789,2359
2013/04/11,82,792,2387
2013/04/12,81,792,2395
2013/04/13,83,795,2393
2013/04/14,84,804,2417
2013/04/15,84,796,2443
2013/04/16,87,805,2438
2013/04/17,86,811,2440
2013/04/18,86,812,2448
2013/04/19,85,823,2462
2013/04/20,87,842,2498
2013/04/21,86,858,2516
2013/04/22,85,856,2524
2013/04/23,88,867,2533
2013/04/24,88,861,2522
2013/04/25,91,854,2510
2013/04/26,91,859,2508
2013/04/27,89,861,2517
2013/04/28,87,852,2532
2013/04/29,87,849,2532
2013/04/30,87,851,2525
2013/05/01,87,851,2523
2013/05/02,86,845,2503
2013/05/03,87,849,2520
2013/05/04,85,834,2499
2013/05/05,85,843,2500
2013/05/06,83,841,2482
2013/05/07,85,835,2463
2013/05/08,84,839,2441
2013/05/09,86,836,2412
2013/05/10,86,830,2418
2013/05/11,87,835,2411
2013/05/12,85,835,2411
2013/05/13,83,831,2410
2013/05/14,84,826,2393
2013/05/15,83,837,2384
2013/05/16,86,851,2391
2013/05/17,83,848,2395
2013/05/18,84,850,2374
2013/05/19,86,850,2371
2013/05/20,86,853,2366
2013/05/21,90,857,2368
2013/05/22,91,852,2396
2013/05/23,91,845,2402
2013/05/24,88,859,2419
2013/05/25,86,870,2431
2013/05/26,85,869,2447
2013/05/27,85,874,2453
2013/05/28,86,870,2450
2013/05/29,85,870,2456
2013/05/30,83,866,2468
2013/05/31,80,862,2469
2013/06/01,79,862,2457
2013/06/02,77,868,2446
2013/06/03,77,869,2450
2013/06/04,77,865,2422
2013/06/05,78,852,2405
2013/06/06,78,857,2404
2013/06/07,78,852,2423
2013/06/08,79,860,2432
2013/06/09,81,858,2431
2013/06/10,83,854,2444
2013/06/11,81,846,2441
2013/06/12,81,850,2437
2013/06/13,83,839,2419
2013/06/14,80,828,2412
2013/06/15,76,809,2370
2013/06/16,75,798,2353
2013/06/17,74,792,2369
2013/06/18,73,790,2350
2013/06/19,72,786,2360
2013/06/20,71,782,2341
2013/06/21,71,771,2331
2013/06/22,71,763,2311
2013/06/23,69,769,2300
2013/06/24,70,769,2302
2013/06/25,67,760,2279
2013/06/26,68,752,2282
2013/06/27,69,747,2263
2013/06/28,67,744,2253
2013/06/29,67,747,2260
2013/06/30,67,754,2248
2013/07/01,67,751,2264
2013/07/02,66,746,2255
2013/07/03,64,736,2232
2013/07/04,62,735,2236
2013/07/05,63,731,2261
2013/07/06,65,736,2255
2013/07/07,66,722,2237
2013/07/08,67,725,2239
2013/07/09,66,732,2228
2013/07/10,65,740,2225
2013/07/11,64,738,2225
2013/07/12,63,725,2229
2013/07/13,62,740,2278
2013/07/14,63,743,2283
2013/07/15,64,757,2293
2013/07/16,68,764,2291
2013/07/17,69,774,2284
2013/07/18,68,778,2302
2013/07/19,70,780,2308
2013/07/20,73,783,2311
2013/07/21,72,790,2305
2013/07/22,70,782,2294
2013/07/23,69,782,2290
2013/07/24,73,782,2279
2013/07/25,73,772,2275
2013/07/26,74,778,2260
2013/07/27,75,769,2245
2013/07/28,80,767,2244
2013/07/29,83,770,2222
2013/07/30,84,772,2218
2013/07/31,84,776,2215
2013/08/01,84,776,2208
2013/08/02,84,786,2223
2013/08/03,84,788,2206
2013/08/04,85,783,2196
2013/08/05,87,798,2216
2013/08/06,91,803,2225
2013/08/07,93,802,2211
2013/08/08,94,805,2218
2013/08/09,97,802,2204
2013/08/10,97,794,2211
2013/08/11,98,789,2209
2013/08/12,98,785,2187
2013/08/13,96,790,2169
2013/08/14,97,792,2167
2013/08/15,95,795,2168
2013/08/16,96,797,2137
2013/08/17,97,793,2109
2013/08/18,94,788,2109
2013/08/19,94,796,2111
2013/08/20,92,790,2093
2013/08/21,92,793,2105
2013/08/22,92,793,2107
2013/08/23,88,800,2100
2013/08/24,87,804,2105
2013/08/25,88,806,2098
2013/08/26,92,805,2110
2013/08/27,92,808,2110
2013/08/28,90,800,2117
2013/08/29,88,801,2130
2013/08/30,87,803,2149
2013/08/31,86,799,2139
2013/09/01,84,796,2151
2013/09/02,84,795,2170
2013/09/03,80,798,2181
2013/09/04,78,793,2164
2013/09/05,75,791,2150
2013/09/06,76,789,2162
2013/09/07,77,793,2161
2013/09/08,76,805,2184
2013/09/09,77,800,2202
2013/09/10,78,801,2223
2013/09/11,77,807,2226
2013/09/12,78,815,2241
2013/09/13,78,818,2265
2013/09/14,79,815,2267
2013/09/15,81,810,2266
2013/09/16,83,812,2289
2013/09/17,84,805,2320
2013/09/18,84,808,2310
2013/09/19,86,814,2323
2013/09/20,86,823,2316
2013/09/21,87,814,2323
2013/09/22,85,819,2360
2013/09/23,86,818,2356
2013/09/24,84,818,2357
2013/09/25,82,820,2377
2013/09/26,79,815,2370
2013/09/27,81,821,2373
2013/09/28,81,812,2362
2013/09/29,80,804,2355
2013/09/30,78,808,2366
2013/10/01,78,799,2356
2013/10/02,79,784,2352
2013/10/03,77,784,2356
2013/10/04,78,767,2361
2013/10/05,78,770,2371
2013/10/06,76,777,2378
2013/10/07,74,784,2365
2013/10/08,71,778,2372
2013/10/09,73,783,2370
2013/10/10,74,777,2353
2013/10/11,74,773,2357
2013/10/12,72,770,2374
2013/10/13,74,768,2384
2013/10/14,73,765,2396
2013/10/15,74,767,2403
2013/10/16,74,776,2396
2013/10/17,73,784,2393
2013/10/18,71,785,2402
2013/10/19,70,782,2387
2013/10/20,69,775,2389
2013/10/21,70,781,2393
2013/10/22,68,780,2372
2013/10/23,70,782,2370
2013/10/24,72,773,2378
2013/10/25,71,774,2365
2013/10/26,72,775,2370
2013/10/27,73,776,2382
2013/10/28,73,782,2397
2013/10/29,74,787,2403
2013/10/30,71,795,2418
2013/10/31,73,793,2432
2013/11/01,73,792,2421
2013/11/02,73,796,2431
2013/11/03,74,803,2437
2013/11/04,72,800,2441
2013/11/05,70,798,2440
2013/11/06,68,797,2447
2013/11/07,68,808,2459
2013/11/08,71,801,2470
2013/11/09,69,797,2471
2013/11/10,66,795,2477
2013/11/11,66,806,2464
2013/11/12,67,809,2464
2013/11/13,68,805,2473
2013/11/14,68,808,2488
2013/11/15,72,812,2486
2013/11/16,70,816,2489
2013/11/17,71,823,2512
2013/11/18,68,830,2531
2013/11/19,69,844,2541
2013/11/20,67,838,2529
2013/11/21,69,837,2555
2013/11/22,66,833,2557
2013/11/23,66,839,2563
2013/11/24,64,838,2566
2013/11/25,64,843,2582
2013/11/26,63,848,2579
2013/11/27,61,842,2564
2013/11/28,60,847,2578
2013/11/29,61,853,2578
2013/11/30,61,861,2591
2013/12/01,59,864,2598
2013/12/02,58,858,2600
2013/12/03,57,862,2612
2013/12/04,57,862,2619
2013/12/05,57,870,2645
2013/12/06,61,858,2646
2013/12/07,61,865,2665
2013/12/08,60,858,2636
2013/12/09,61,859,2640
2013/12/10,62,870,2668
2013/12/11,64,862,2649
2013/12/12,65,894,2689
2013/12/13,62,904,2726
2013/12/14,63,902,2737
2013/12/15,63,897,2751
2013/12/16,63,889,2763
2013/12/17,64,899,2742
2013/12/18,64,906,2777
2013/12/19,64,907,2756
2013/12/20,64,919,2786
2013/12/21,68,918,2770
2013/12/22,67,915,2771
2013/12/23,65,927,2793
2013/12/24,68,931,2837
2013/12/25,70,928,2845
2013/12/26,69,935,2864
2013/12/27,69,944,2892
2013/12/28,69,950,2908
2013/12/29,73,951,2942
2013/12/30,73,951,2952
2013/12/31,74,962,2979
2014/01/01,75,961,2984
2014/01/02,77,961,2994
2014/01/03,77,967,2994
2014/01/04,77,969,2984
2014/01/05,78,970,2984
2014/01/06,78,976,3006
2014/01/07,79,986,3024
2014/01/08,75,993,3034
2014/01/09,75,1014,3045
2014/01/10,76,1032,3087
2014/01/11,77,1040,3070
2014/01/12,76,1050,3056
2014/01/13,76,1054,3053
2014/01/14,77,1067,3073
2014/01/15,78,1082,3079
2014/01/16,79,1101,3115
2014/01/17,79,1109,3121
2014/01/18,77,1112,3143
2014/01/19,79,1129,3181
2014/01/20,80,1149,3212
2014/01/21,82,1162,3205
2014/01/22,82,1177,3208
2014/01/23,82,1188,3206
2014/01/24,80,1213,3233
2014/01/25,77,1225,3241
2014/01/26,79,1256,3265
2014/01/27,79,1271,3268
2014/01/28,82,1276,3258
2014/01/29,82,1277,3268
2014/01/30,81,1283,3261
2014/01/31,79,1292,3273
2014/02/01,79,1304,3253
2014/02/02,82,1321,3255
2014/02/03,82,1339,3274
2014/02/04,81,1349,3272
2014/02/05,83,1351,3258
2014/02/06,79,1351,3251
2014/02/07,81,1344,3240
2014/02/08,82,1339,3249
2014/02/09,82,1327,3219
2014/02/10,83,1311,3202
2014/02/11,84,1313,3197
2014/02/12,87,1315,3209
2014/02/13,89,1299,3177
2014/02/14,87,1287,3151
2014/02/15,88,1280,3118
2014/02/16,86,1288,3113
2014/02/17,87,1290,3104
2014/02/18,86,1284,3075
2014/02/19,89,1278,3043
2014/02/20,89,1271,3047
2014/02/21,86,1266,3034
2014/02/22,87,1258,3033
2014/02/23,89,1257,3020
2014/02/24,89,1235,3016
2014/02/25,87,1208,3009
2014/02/26,87,1209,2975
2014/02/27,87,1203,2953
2014/02/28,83,1196,2942
2014/03/01,82,1194,2943
2014/03/02,84,1180,2946
2014/03/03,82,1182,2940
2014/03/04,82,1181,2943
2014/03/05,81,1170,2919
2014/03/06,81,1168,2891
2014/03/07,82,1169,2880
2014/03/08,83,1164,2882
2014/03/09,82,1161,2878
2014/03/10,84,1156,2870
2014/03/11,84,1162,2882
2014/03/12,85,1159,2884
2014/03/13,83,1147,2864
2014/03/14,82,1156,2864
2014/03/15,80,1165,2884
2014/03/16,79,1168,2886
2014/03/17,79,1167,2874
2014/03/18,79,1146,2845
2014/03/19,77,1148,2833
2014/03/20,79,1140,2809
2014/03/21,81,1120,2796
2014/03/22,83,1101,2757
2014/03/23,83,1075,2726
2014/03/24,79,1063,2718
2014/03/25,78,1069,2706
2014/03/26,78,1063,2700
2014/03/27,80,1070,2680
2014/03/28,81,1053,2673
2014/03/29,82,1049,2657
2014/03/30,82,1055,2679
2014/03/31,81,1060,2690
2014/04/01,79,1059,2668
2014/04/02,84,1060,2683
2014/04/03,82,1052,2664
2014/04/04,83,1055,2685
2014/04/05,85,1056,2711
2014/04/06,88,1045,2723
2014/04/07,92,1056,2748
2014/04/08,91,1073,2758
2014/04/09,91,1083,2770
2014/04/10,95,1080,2778
2014/04/11,95,1080,2780
2014/04/12,95,1099,2793
2014/04/13,93,1077,2762
2014/04/14,94,1073,2768
2014/04/15,91,1065,2776
2014/04/16,91,1075,2778
2014/04/17,90,1088,2789
2014/04/18,87,1091,2789
2014/04/19,87,1099,2799
2014/04/20,86,1116,2829
2014/04/21,89,1137,2852
2014/04/22,89,1139,2854
2014/04/23,92,1152,2887
2014/04/24,91,1154,2879
2014/04/25,90,1160,2892
2014/04/26,90,1171,2896
2014/04/27,88,1180,2903
2014/04/28,89,1178,2915
2014/04/29,90,1179,2895
2014/04/30,91,1174,2890
2014/05/01,96,1173,2879
2014/05/02,96,1175,2863
2014/05/03,97,1172,2863
2014/05/04,97,1158,2861
2014/05/05,98,1157,2845
2014/05/06,96,1156,2813
2014/05/07,94,1148,2817
2014/05/08,93,1132,2813
2014/05/09,93,1120,2777
2014/05/10,94,1128,2777
2014/05/11,95,1132,2780
2014/05/12,93,1122,2749
2014/05/13,96,1134,2770
2014/05/14,96,1150,2784
2014/05/15,98,1140,2788
2014/05/16,97,1141,2800
2014/05/17,97,1146,2798
2014/05/18,97,1133,2788
2014/05/19,97,1138,2822
2014/05/20,97,1132,2836
2014/05/21,100,1145,2877
2014/05/22,99,1153,2891
2014/05/23,95,1156,2889
2014/05/24,88,1164,2905
2014/05/25,88,1166,2904
2014/05/26,86,1167,2915
2014/05/27,87,1177,2919
2014/05/28,88,1180,2903
2014/05/29,90,1181,2924
2014/05/30,89,1179,2920
2014/05/31,87,1163,2913
2014/06/01,88,1153,2921
2014/06/02,88,1161,2938
2014/06/03,87,1186,2957
2014/06/04,88,1185,2959
2014/06/05,89,1187,2977
2014/06/06,91,1193,2975
2014/06/07,90,1193,2969
2014/06/08,90,1199,2981
2014/06/09,90,1192,2987
2014/06/10,89,1189,2980
2014/06/11,87,1197,2986
2014/06/12,89,1186,2968
2014/06/13,89,1183,2950
2014/06/14,85,1179,2939
2014/06/15,86,1173,2924
2014/06/16,81,1174,2912
2014/06/17,81,1164,2883
2014/06/18,85,1157,2850
2014/06/19,83,1157,2819
2014/06/20,84,1134,2778
2014/06/21,82,1120,2772
2014/06/22,83,1106,2775
2014/06/23,83,1080,2721
2014/06/24,82,1072,2724
2014/06/25,84,1074,2707
2014/06/26,82,1067,2670
2014/06/27,86,1063,2679
2014/06/28,82,1049,2651
2014/06/29,85,1053,2647
2014/06/30,87,1058,2660
2014/07/01,81,1055,2641
2014/07/02,79,1053,2625
2014/07/03,77,1029,2601
2014/07/04,76,1026,2571
2014/07/05,73,1021,2542
2014/07/06,72,1010,2543
2014/07/07,73,1012,2536
2014/07/08,71,998,2522
2014/07/09,73,990,2516
2014/07/10,73,987,2496
2014/07/11,73,977,2486
2014/07/12,73,987,2482
2014/07/13,77,994,2497
2014/07/14,81,986,2499
2014/07/15,79,992,2504
2014/07/16,78,990,2506
2014/07/17,78,986,2525
2014/07/18,78,992,2540
2014/07/19,78,1003,2563
2014/07/20,78,1017,2574
2014/07/21,76,1016,2600
2014/07/22,74,1040,2628
2014/07/23,75,1045,2655
2014/07/24,74,1052,2663
2014/07/25,77,1052,2676
2014/07/26,77,1056,2683
2014/07/27,74,1073,2702
2014/07/28,75,1075,2709
2014/07/29,76,1069,2709
2014/07/30,76,1060,2699
2014/07/31,75,1058,2699
2014/08/01,76,1063,2705
2014/08/02,77,1069,2685
2014/08/03,82,1074,2691
2014/08/04,82,1083,2710
2014/08/05,82,1098,2713
2014/08/06,83,1117,2741
2014/08/07,82,1130,2757
2014/08/08,84,1133,2755
2014/08/09,81,1150,2788
2014/08/10,78,1152,2796
2014/08/11,82,1168,2822
2014/08/12,81,1169,2836
2014/08/13,82,1188,2853
2014/08/14,82,1200,2871
2014/08/15,84,1216,2884
2014/08/16,84,1223,2875
2014/08/17,84,1234,2863
2014/08/18,84,1243,2896
2014/08/19,86,1261,2888
2014/08/20,86,1270,2887
2014/08/21,87,1248,2866
2014/08/22,88,1261,2885
2014/08/23,88,1278,2921
2014/08/24,86,1284,2903
2014/08/25,86,1285,2911
2014/08/26,87,1295,2906
2014/08/27,89,1304,2910
2014/08/28,87,1302,2924
2014/08/29,87,1315,2923
2014/08/30,89,1328,2921
2014/08/31,87,1333,2934
2014/09/01,87,1337,2929
2014/09/02,84,1335,2929
2014/09/03,85,1338,2946
2014/09/04,84,1344,2926
2014/09/05,85,1320,2912
2014/09/06,83,1322,2899
2014/09/07,86,1337,2906
2014/09/08,85,1332,2882
2014/09/09,85,1340,2879
2014/09/10,84,1331,2869
2014/09/11,85,1322,2852
2014/09/12,86,1317,2836
2014/09/13,85,1293,2800
2014/09/14,84,1297,2801
2014/09/15,85,1299,2830
2014/09/16,83,1289,2822
2014/09/17,84,1287,2809
2014/09/18,87,1292,2808
2014/09/19,90,1293,2815
2014/09/20,89,1290,2806
2014/09/21,88,1288,2783
2014/09/22,89,1284,2772
2014/09/23,89,1270,2753
2014/09/24,88,1271,2745
2014/09/25,90,1274,2739
2014/09/26,89,1276,2738
2014/09/27,90,1251,2711
2014/09/28,88,1253,2710
2014/09/29,92,1257,2731
2014/09/30,96,1254,2719
2014/10/01,91,1258,2721
2014/10/02,92,1257,2720
2014/10/03,93,1254,2714
2014/10/04,91,1257,2723
2014/10/05,90,1268,2747
2014/10/06,90,1267,2765
2014/10/07,89,1255,2749
2014/10/08,89,1240,2733
2014/10/09,92,1243,2723
2014/10/10,90,1242,2727
2014/10/11,89,1246,2742
2014/10/12,86,1248,2735
2014/10/13,85,1252,2757
2014/10/14,84,1253,2765
2014/10/15,84,1262,2754
2014/10/16,84,1270,2780
2014/10/17,82,1277,2780
2014/10/18,80,1274,2783
2014/10/19,80,1267,2769
2014/10/20,79,1262,2776
2014/10/21,81,1253,2773
2014/10/22,80,1246,2745
2014/10/23,84,1244,2746
2014/10/24,85,1248,2760
2014/10/25,79,1250,2781
2014/10/26,81,1241,2765
2014/10/27,81,1240,2769
2014/10/28,82,1257,2787
2014/10/29,84,1258,2800
2014/10/30,87,1268,2814
2014/10/31,85,1266,2807
2014/11/01,84,1279,2816
2014/11/02,84,1282,2810
2014/11/03,84,1296,2802
2014/11/04,86,1301,2812
2014/11/05,91,1308,2822
2014/11/06,90,1314,2849
2014/11/07,87,1331,2886
2014/11/08,87,1341,2904
2014/11/09,89,1350,2903
2014/11/10,91,1357,2902
2014/11/11,90,1366,2926
2014/11/12,90,1381,2945
2014/11/13,92,1387,2964
2014/11/14,94,1393,2956
2014/11/15,92,1391,2952
2014/11/16,92,1380,2945
2014/11/17,91,1383,2960
2014/11/18,91,1390,2957
2014/11/19,87,1407,2980
2014/11/20,89,1419,2985
2014/11/21,90,1419,2987
2014/11/22,93,1433,2989
2014/11/23,92,1434,2990
2014/11/24,92,1419,2974
2014/11/25,93,1433,3008
2014/11/26,93,1437,2987
2014/11/27,90,1439,2984
2014/11/28,91,1441,2964
2014/11/29,90,1451,2961
2014/11/30,95,1462,2952
2014/12/01,96,1455,2957
2014/12/02,95,1461,2945
2014/12/03,91,1447,2937
2014/12/04,90,1442,2914
2014/12/05,88,1440,2892
2014/12/06,84,1437,2874
2014/12/07,85,1428,2848
2014/12/08,85,1427,2829
2014/12/09,85,1439,2818
2014/12/10,85,1426,2813
2014/12/11,81,1413,2806
2014/12/12,83,1396,2776
2014/12/13,82,1395,2790
2014/12/14,80,1397,2789
2014/12/15,82,1399,2775
2014/12/16,83,1420,2780
2014/12/17,84,1409,2753
2014/12/18,87,1441,2775
2014/12/19,87,1426,2751
2014/12/20,85,1440,2765
2014/12/21,84,1450,2773
2014/12/22,86,1460,2793
2014/12/23,90,1467,2796
2014/12/24,94,1499,2826
2014/12/25,93,1494,2815
2014/12/26,95,1502,2827
2014/12/27,94,1506,2842
2014/12/28,98,1517,2848
2014/12/29,101,1525,2859
2014/12/30,102,1528,2850
2014/12/31,99,1540,2865
2015/01/01,102,1532,2864
2015/01/02,102,1549,2873
2015/01/03,102,1567,2887
2015/01/04,100,1567,2891
2015/01/05,98,1585,2879
2015/01/06,99,1588,2891
2015/01/07,96,1590,2877
2015/01/08,95,1584,2839
2015/01/09,99,1579,2841
2015/01/10,99,1606,2854
2015/01/11,100,1609,2860
2015/01/12,102,1609,2853
2015/01/13,105,1615,2857
2015/01/14,101,1626,2879
2015/01/15,98,1619,2866
2015/01/16,101,1629,2872
2015/01/17,100,1624,2882
2015/01/18,100,1644,2895
2015/01/19,99,1638,2899
2015/01/20,97,1653,2927
2015/01/21,96,1662,2942
2015/01/22,96,1666,2954
2015/01/23,99,1638,2927
2015/01/24,99,1643,2946
2015/01/25,100,1642,2937
2015/01/26,104,1636,2924
2015/01/27,104,1631,2934
2015/01/28,104,1623,2923
2015/01/29,104,1628,2932
2015/01/30,101,1610,2910
2015/01/31,99,1607,2919
2015/02/01,99,1617,2928
2015/02/02,100,1611,2938
2015/02/03,100,1612,2934
2015/02/04,101,1613,2946
2015/02/05,103,1609,2941
2015/02/06,102,1610,2930
2015/02/07,101,1612,2959
2015/02/08,102,1616,2962
2015/02/09,102,1633,2990
2015/02/10,102,1647,2989
2015/02/11,102,1635,2985
2015/02/12,105,1637,3004
2015/02/13,103,1621,3003
2015/02/14,104,1634,3016
2015/02/15,104,1638,3034
2015/02/16,104,1635,3035
2015/02/17,108,1622,3028
2015/02/18,111,1633,3043
2015/02/19,111,1631,3048
2015/02/20,108,1622,3032
2015/02/21,111,1626,3025
2015/02/22,109,1629,3035
2015/02/23,107,1623,3030
2015/02/24,107,1625,3038
2015/02/25,111,1617,3043
2015/02/26,110,1629,3048
2015/02/27,109,1621,3039
2015/02/28,113,1617,3041
2015/03/01,114,1626,3053
2015/03/02,112,1623,3064
2015/03/03,109,1602,3029
2015/03/04,108,1597,3014
2015/03/05,107,1589,3002
2015/03/06,110,1597,3005
2015/03/07,111,1587,3022
2015/03/08,113,1609,3055
2015/03/09,112,1641,3077
2015/03/10,114,1659,3089
2015/03/11,111,1639,3069
2015/03/12,111,1648,3075
2015/03/13,112,1654,3085
2015/03/14,110,1638,3074
2015/03/15,108,1626,3056
2015/03/16,107,1609,3032
2015/03/17,106,1594,3009
2015/03/18,105,1600,3063
2015/03/19,105,1609,3084
2015/03/20,102,1605,3079
2015/03/21,102,1586,3049
2015/03/22,97,1575,3016
2015/03/23,95,1569,3014
2015/03/24,97,1577,3015
2015/03/25,94,1546,3001
2015/03/26,96,1560,3008
2015/03/27,94,1556,2981
2015/03/28,94,1552,2979
2015/03/29,95,1531,2994
2015/03/30,95,1522,2974
2015/03/31,96,1536,2984
2015/04/01,99,1540,2981
2015/04/02,102,1559,3014
2015/04/03,101,1543,2998
2015/04/04,104,1538,3003
2015/04/05,102,1542,2999
2015/04/06,102,1562,2992
2015/04/07,100,1557,2998
2015/04/08,95,1545,2987
2015/04/09,94,1532,2971
