date,cawiki (100+),cawiki (5+),cawiki (all)
2013/09/21,77,381,1007
2013/09/22,76,381,1016
2013/09/23,77,380,1023
2013/09/24,80,381,1023
2013/09/25,77,383,1034
2013/09/26,77,379,1011
2013/09/27,78,393,1014
2013/09/28,74,385,1015
2013/09/29,72,385,1016
2013/09/30,76,381,998
2013/10/01,78,384,1002
2013/10/02,78,379,1006
2013/10/03,74,375,1001
2013/10/04,73,373,989
2013/10/05,70,392,1021
2013/10/06,72,385,1021
2013/10/07,74,381,1018
2013/10/08,74,387,1056
2013/10/09,71,387,1066
2013/10/10,73,389,1081
2013/10/11,73,389,1087
2013/10/12,73,400,1108
2013/10/13,74,397,1112
2013/10/14,73,402,1129
2013/10/15,73,404,1134
2013/10/16,75,408,1140
2013/10/17,77,407,1158
2013/10/18,79,410,1175
2013/10/19,80,403,1175
2013/10/20,82,400,1171
2013/10/21,82,410,1185
2013/10/22,81,428,1213
2013/10/23,80,454,1254
2013/10/24,79,466,1264
2013/10/25,80,470,1279
2013/10/26,79,479,1289
2013/10/27,79,470,1283
2013/10/28,82,472,1277
2013/10/29,82,475,1271
2013/10/30,81,477,1292
2013/10/31,79,483,1292
2013/11/01,77,486,1283
2013/11/02,78,483,1279
2013/11/03,80,491,1293
2013/11/04,80,475,1285
2013/11/05,81,476,1290
2013/11/06,83,483,1301
2013/11/07,80,479,1304
2013/11/08,83,474,1312
2013/11/09,80,475,1305
2013/11/10,79,478,1311
2013/11/11,79,475,1313
2013/11/12,79,476,1322
2013/11/13,80,467,1311
2013/11/14,79,463,1302
2013/11/15,78,474,1322
2013/11/16,78,474,1310
2013/11/17,81,468,1301
2013/11/18,82,477,1315
2013/11/19,79,480,1334
2013/11/20,80,478,1333
2013/11/21,78,462,1325
2013/11/22,79,455,1316
2013/11/23,78,442,1300
2013/11/24,78,437,1283
2013/11/25,78,442,1277
2013/11/26,78,452,1285
2013/11/27,80,454,1290
2013/11/28,81,451,1297
2013/11/29,80,451,1298
2013/11/30,81,454,1310
2013/12/01,78,458,1316
2013/12/02,78,458,1330
2013/12/03,79,460,1328
2013/12/04,80,454,1334
2013/12/05,82,462,1334
2013/12/06,83,460,1329
2013/12/07,81,453,1301
2013/12/08,82,449,1281
2013/12/09,79,444,1290
2013/12/10,80,456,1302
2013/12/11,80,463,1310
2013/12/12,81,461,1317
2013/12/13,81,467,1331
2013/12/14,80,469,1341
2013/12/15,80,468,1341
2013/12/16,81,467,1337
2013/12/17,78,474,1344
2013/12/18,79,464,1337
2013/12/19,78,461,1333
2013/12/20,79,465,1341
2013/12/21,79,467,1340
2013/12/22,81,455,1321
2013/12/23,79,454,1312
2013/12/24,80,438,1306
2013/12/25,80,439,1298
2013/12/26,80,434,1284
2013/12/27,79,430,1273
2013/12/28,79,433,1259
2013/12/29,78,425,1239
2013/12/30,79,429,1214
2013/12/31,78,428,1210
2014/01/01,78,420,1191
2014/01/02,77,419,1181
2014/01/03,80,422,1182
2014/01/04,79,422,1190
2014/01/05,78,432,1196
2014/01/06,77,439,1207
2014/01/07,78,448,1205
2014/01/08,77,462,1209
2014/01/09,77,456,1206
2014/01/10,79,464,1215
2014/01/11,81,476,1233
2014/01/12,79,473,1226
2014/01/13,83,469,1234
2014/01/14,82,473,1241
2014/01/15,82,477,1264
2014/01/16,83,466,1265
2014/01/17,83,469,1269
2014/01/18,82,479,1284
2014/01/19,83,480,1272
2014/01/20,85,488,1274
2014/01/21,84,499,1286
2014/01/22,86,502,1302
2014/01/23,87,505,1303
