date,kmwiki (100+),kmwiki (5+),kmwiki (all)
2013/09/14,3,12,24
2013/09/15,3,13,24
2013/09/16,2,11,25
2013/09/17,2,11,25
2013/09/18,2,11,27
2013/09/19,2,11,28
2013/09/20,2,11,28
2013/09/21,2,11,28
2013/09/22,2,10,28
2013/09/23,2,10,30
2013/09/24,2,10,31
2013/09/25,2,9,29
2013/09/26,2,10,29
2013/09/27,2,10,29
2013/09/28,2,9,30
2013/09/29,2,8,28
2013/09/30,2,8,30
2013/10/01,2,7,28
2013/10/02,2,7,27
2013/10/03,2,7,28
2013/10/04,2,7,27
2013/10/05,1,7,27
2013/10/06,1,6,25
2013/10/07,1,6,26
2013/10/08,1,7,26
2013/10/09,1,7,27
2013/10/10,1,7,28
2013/10/11,1,7,29
2013/10/12,1,7,30
2013/10/13,1,7,29
2013/10/14,1,7,28
2013/10/15,1,7,28
2013/10/16,1,5,29
2013/10/17,1,5,29
2013/10/18,1,5,30
2013/10/19,1,6,28
2013/10/20,1,6,29
2013/10/21,1,6,30
2013/10/22,1,7,30
2013/10/23,1,7,28
2013/10/24,1,8,29
2013/10/25,1,8,30
2013/10/26,1,8,29
2013/10/27,1,10,34
2013/10/28,1,10,37
2013/10/29,1,10,36
2013/10/30,1,10,35
2013/10/31,1,10,36
2013/11/01,1,11,36
2013/11/02,1,11,36
2013/11/03,1,11,36
2013/11/04,1,11,36
2013/11/05,1,11,37
2013/11/06,1,11,36
2013/11/07,1,11,37
2013/11/08,1,12,39
2013/11/09,1,12,38
2013/11/10,1,12,38
2013/11/11,1,12,37
2013/11/12,1,12,37
2013/11/13,1,12,37
2013/11/14,2,10,36
2013/11/15,2,11,34
2013/11/16,2,11,35
2013/11/17,2,11,35
2013/11/18,2,11,34
2013/11/19,2,10,33
2013/11/20,2,10,33
2013/11/21,2,9,33
2013/11/22,2,9,33
2013/11/23,2,8,32
2013/11/24,2,8,30
2013/11/25,2,9,33
2013/11/26,2,8,30
2013/11/27,2,8,28
2013/11/28,1,8,27
2013/11/29,1,8,25
2013/11/30,1,8,24
2013/12/01,1,7,22
2013/12/02,1,7,21
2013/12/03,1,8,23
2013/12/04,1,8,23
2013/12/05,1,8,23
2013/12/06,1,8,24
2013/12/07,1,8,24
2013/12/08,1,6,24
2013/12/09,1,6,25
2013/12/10,1,7,28
2013/12/11,1,7,28
2013/12/12,1,7,28
2013/12/13,1,7,28
2013/12/14,1,7,27
2013/12/15,1,7,27
2013/12/16,1,7,28
2013/12/17,1,8,29
2013/12/18,1,9,28
2013/12/19,1,9,29
2013/12/20,1,9,29
2013/12/21,1,9,30
2013/12/22,1,10,33
2013/12/23,1,10,33
2013/12/24,1,10,33
2013/12/25,1,10,33
2013/12/26,2,10,33
2013/12/27,2,11,34
2013/12/28,2,11,35
2013/12/29,2,11,36
2013/12/30,2,10,35
2013/12/31,2,10,36
2014/01/01,2,10,36
2014/01/02,2,10,33
2014/01/03,2,9,34
2014/01/04,2,9,38
2014/01/05,3,11,40
2014/01/06,3,12,39
2014/01/07,3,12,38
2014/01/08,3,11,37
2014/01/09,3,11,35
2014/01/10,3,12,38
2014/01/11,2,12,39
2014/01/12,2,12,38
2014/01/13,2,12,39
2014/01/14,2,11,40
2014/01/15,2,11,38
2014/01/16,2,9,37
2014/01/17,2,10,40
2014/01/18,3,10,40
2014/01/19,2,10,39
2014/01/20,2,11,44
2014/01/21,3,10,45
2014/01/22,3,12,46
2014/01/23,4,14,50
2014/01/24,4,16,49
2014/01/25,4,18,54
2014/01/26,4,17,58
2014/01/27,4,18,59
2014/01/28,4,18,59
2014/01/29,4,19,59
2014/01/30,4,19,61
2014/01/31,4,20,61
2014/02/01,4,21,64
2014/02/02,4,21,63
2014/02/03,4,22,58
2014/02/04,4,23,60
2014/02/05,4,23,62
2014/02/06,4,23,63
2014/02/07,4,23,65
2014/02/08,4,23,65
2014/02/09,4,23,62
2014/02/10,4,25,64
2014/02/11,4,27,64
2014/02/12,4,27,64
2014/02/13,4,27,63
2014/02/14,4,26,61
2014/02/15,4,26,62
2014/02/16,4,25,59
2014/02/17,4,25,58
2014/02/18,4,25,58
2014/02/19,4,24,56
2014/02/20,4,24,56
2014/02/21,4,24,57
2014/02/22,4,22,55
2014/02/23,3,22,55
2014/02/24,3,20,51
2014/02/25,2,19,49
2014/02/26,2,19,48
2014/02/27,2,19,50
2014/02/28,2,19,51
2014/03/01,2,18,49
2014/03/02,2,18,49
2014/03/03,2,16,49
2014/03/04,2,16,50
2014/03/05,2,18,52
2014/03/06,2,18,49
2014/03/07,2,18,45
2014/03/08,2,18,46
2014/03/09,2,17,47
2014/03/10,2,17,48
2014/03/11,2,16,47
2014/03/12,2,16,45
2014/03/13,1,15,45
2014/03/14,1,15,42
2014/03/15,1,14,42
2014/03/16,1,14,44
2014/03/17,1,14,43
2014/03/18,1,13,42
2014/03/19,1,12,38
2014/03/20,1,11,38
2014/03/21,1,10,36
2014/03/22,1,10,34
2014/03/23,1,11,35
2014/03/24,1,12,39
2014/03/25,1,12,40
2014/03/26,1,13,40
2014/03/27,1,13,41
2014/03/28,1,14,41
2014/03/29,1,15,39
2014/03/30,1,15,38
2014/03/31,1,17,41
2014/04/01,,17,42
2014/04/02,,17,41
2014/04/03,,16,42
2014/04/04,,15,37
2014/04/05,,15,36
2014/04/06,,15,36
2014/04/07,,13,35
2014/04/08,,13,36
2014/04/09,,13,35
2014/04/10,,13,36
2014/04/11,,13,36
2014/04/12,,13,36
2014/04/13,,13,36
2014/04/14,,15,35
2014/04/15,,16,36
2014/04/16,,16,36
2014/04/17,,16,38
2014/04/18,,16,37
2014/04/19,1,16,35
2014/04/20,1,15,36
2014/04/21,1,15,39
2014/04/22,1,16,39
2014/04/23,1,14,38
2014/04/24,1,14,38
2014/04/25,1,13,37
2014/04/26,1,13,40
2014/04/27,1,11,40
2014/04/28,1,10,40
2014/04/29,1,10,40
2014/04/30,1,9,35
2014/05/01,1,8,36
2014/05/02,1,8,36
2014/05/03,1,7,37
2014/05/04,1,7,36
2014/05/05,1,8,37
2014/05/06,1,8,36
2014/05/07,1,8,37
2014/05/08,1,8,36
2014/05/09,1,8,36
2014/05/10,1,8,35
2014/05/11,1,9,36
2014/05/12,1,8,36
2014/05/13,1,8,39
2014/05/14,1,8,42
2014/05/15,1,8,41
2014/05/16,1,9,42
2014/05/17,1,11,43
2014/05/18,1,12,43
2014/05/19,1,13,47
2014/05/20,1,15,47
2014/05/21,1,16,48
2014/05/22,1,16,48
2014/05/23,1,16,44
2014/05/24,1,16,45
2014/05/25,1,17,47
2014/05/26,1,17,45
2014/05/27,,18,48
2014/05/28,,19,50
2014/05/29,,19,49
2014/05/30,,20,49
2014/05/31,,20,47
2014/06/01,1,20,47
2014/06/02,1,20,47
2014/06/03,1,20,49
2014/06/04,1,20,49
2014/06/05,1,21,49
2014/06/06,1,23,48
2014/06/07,1,24,49
2014/06/08,1,24,49
2014/06/09,1,24,49
2014/06/10,1,24,48
2014/06/11,2,24,48
2014/06/12,2,25,48
2014/06/13,2,25,48
2014/06/14,2,24,48
2014/06/15,2,24,47
2014/06/16,1,23,46
2014/06/17,1,23,46
2014/06/18,1,23,46
2014/06/19,1,23,46
2014/06/20,1,22,45
2014/06/21,1,20,43
2014/06/22,1,20,41
2014/06/23,1,20,42
2014/06/24,1,19,41
2014/06/25,1,19,40
2014/06/26,1,18,42
2014/06/27,1,16,38
2014/06/28,1,16,39
2014/06/29,1,15,39
2014/06/30,1,16,40
2014/07/01,1,15,40
2014/07/02,,15,40
2014/07/03,,14,39
2014/07/04,,16,37
2014/07/05,,16,37
2014/07/06,,14,36
2014/07/07,,15,38
2014/07/08,,15,37
2014/07/09,,14,36
2014/07/10,1,15,35
2014/07/11,1,13,35
2014/07/12,1,12,33
2014/07/13,1,13,35
2014/07/14,1,13,36
2014/07/15,1,13,37
2014/07/16,1,13,38
2014/07/17,1,13,37
2014/07/18,1,13,36
2014/07/19,1,12,35
2014/07/20,1,12,34
2014/07/21,1,12,34
2014/07/22,1,12,34
2014/07/23,1,11,30
2014/07/24,1,11,30
2014/07/25,1,11,30
2014/07/26,1,11,27
2014/07/27,1,10,27
2014/07/28,1,10,26
2014/07/29,1,10,26
2014/07/30,1,9,26
2014/07/31,1,8,24
2014/08/01,1,9,25
2014/08/02,1,9,26
2014/08/03,1,8,25
2014/08/04,1,8,27
2014/08/05,1,9,28
2014/08/06,1,8,25
2014/08/07,1,8,24
2014/08/08,1,8,24
2014/08/09,1,7,24
2014/08/10,1,7,22
2014/08/11,1,7,22
2014/08/12,1,8,23
2014/08/13,1,8,23
2014/08/14,1,8,23
2014/08/15,1,8,22
2014/08/16,1,8,22
2014/08/17,1,10,25
2014/08/18,1,10,26
2014/08/19,1,9,27
2014/08/20,1,9,28
2014/08/21,1,9,28
2014/08/22,1,9,29
2014/08/23,1,9,29
2014/08/24,1,9,31
2014/08/25,1,9,32
2014/08/26,1,10,33
2014/08/27,1,10,35
2014/08/28,1,11,36
2014/08/29,1,10,35
2014/08/30,1,10,36
2014/08/31,1,9,34
2014/09/01,1,9,31
2014/09/02,1,9,31
2014/09/03,1,8,28
2014/09/04,1,7,26
2014/09/05,1,7,27
2014/09/06,1,7,27
2014/09/07,1,7,26
2014/09/08,1,7,26
2014/09/09,1,7,26
2014/09/10,1,7,27
2014/09/11,1,7,27
2014/09/12,1,7,28
2014/09/13,1,8,28
2014/09/14,1,7,28
2014/09/15,1,9,28
2014/09/16,1,8,25
2014/09/17,1,8,24
2014/09/18,1,8,23
2014/09/19,1,8,22
2014/09/20,1,9,23
2014/09/21,1,8,25
2014/09/22,1,8,25
2014/09/23,1,7,24
2014/09/24,1,6,25
2014/09/25,1,6,23
2014/09/26,1,6,24
2014/09/27,1,5,22
2014/09/28,1,5,22
2014/09/29,1,5,21
2014/09/30,1,4,23
2014/10/01,1,4,24
2014/10/02,1,5,23
2014/10/03,1,5,23
2014/10/04,1,5,24
2014/10/05,1,6,25
2014/10/06,1,7,25
2014/10/07,1,7,26
2014/10/08,1,7,27
2014/10/09,1,7,27
2014/10/10,1,7,26
2014/10/11,1,7,26
2014/10/12,1,7,25
2014/10/13,1,8,24
2014/10/14,1,8,24
2014/10/15,1,8,24
2014/10/16,1,8,24
2014/10/17,1,8,24
2014/10/18,1,8,25
2014/10/19,1,8,26
2014/10/20,1,7,28
2014/10/21,1,7,26
2014/10/22,1,7,26
2014/10/23,,7,25
2014/10/24,,7,24
2014/10/25,,7,23
2014/10/26,,7,23
2014/10/27,,7,23
2014/10/28,,6,22
2014/10/29,,6,23
2014/10/30,,6,21
2014/10/31,,6,20
2014/11/01,,5,20
2014/11/02,,6,20
2014/11/03,,5,19
2014/11/04,,5,18
2014/11/05,,4,16
2014/11/06,,4,14
2014/11/07,,4,13
2014/11/08,1,4,13
2014/11/09,1,5,12
2014/11/10,1,5,12
2014/11/11,1,5,13
2014/11/12,1,5,13
2014/11/13,1,5,14
2014/11/14,1,5,13
2014/11/15,1,5,13
2014/11/16,1,5,14
2014/11/17,1,4,16
2014/11/18,1,4,20
2014/11/19,1,4,17
2014/11/20,1,4,27
2014/11/21,1,4,29
2014/11/22,1,4,30
2014/11/23,1,4,31
2014/11/24,1,4,31
2014/11/25,1,5,31
2014/11/26,1,6,32
2014/11/27,1,6,33
2014/11/28,1,6,33
2014/11/29,1,5,34
2014/11/30,1,5,34
2014/12/01,1,5,35
2014/12/02,1,4,34
2014/12/03,1,4,34
2014/12/04,1,4,34
2014/12/05,1,5,34
2014/12/06,1,5,34
2014/12/07,1,5,34
2014/12/08,1,5,35
2014/12/09,1,5,36
2014/12/10,1,5,36
2014/12/11,1,5,37
2014/12/12,1,6,38
2014/12/13,1,6,38
2014/12/14,1,6,38
2014/12/15,1,6,39
2014/12/16,1,6,38
2014/12/17,1,6,36
2014/12/18,1,7,33
2014/12/19,1,7,33
2014/12/20,1,6,30
2014/12/21,1,7,29
2014/12/22,1,7,28
2014/12/23,1,7,27
2014/12/24,1,7,26
2014/12/25,1,8,27
2014/12/26,1,7,29
2014/12/27,1,8,32
2014/12/28,1,9,32
2014/12/29,1,11,34
2014/12/30,1,11,34
2014/12/31,1,12,35
2015/01/01,1,13,34
2015/01/02,1,13,34
2015/01/03,1,13,34
2015/01/04,1,13,35
2015/01/05,1,16,40
2015/01/06,1,16,41
2015/01/07,1,16,44
2015/01/08,1,19,46
2015/01/09,1,19,46
2015/01/10,1,19,45
2015/01/11,1,19,44
2015/01/12,1,21,44
2015/01/13,1,21,45
2015/01/14,1,21,45
2015/01/15,1,21,45
2015/01/16,1,21,45
2015/01/17,1,22,46
2015/01/18,1,23,47
2015/01/19,1,22,48
2015/01/20,1,22,48
2015/01/21,1,21,49
2015/01/22,1,21,50
2015/01/23,1,22,50
2015/01/24,1,22,49
2015/01/25,1,22,49
2015/01/26,1,22,48
2015/01/27,1,21,47
2015/01/28,1,15,51
2015/01/29,1,16,51
2015/01/30,1,16,50
2015/01/31,1,16,49
2015/02/01,1,16,49
2015/02/02,1,16,51
2015/02/03,1,17,51
2015/02/04,1,14,50
2015/02/05,1,13,51
2015/02/06,1,13,48
2015/02/07,1,14,45
2015/02/08,1,16,46
2015/02/09,1,16,47
2015/02/10,1,16,50
2015/02/11,1,15,48
2015/02/12,1,14,45
2015/02/13,1,14,50
2015/02/14,1,14,52
2015/02/15,1,14,53
2015/02/16,1,14,53
2015/02/17,1,14,57
2015/02/18,1,15,57
2015/02/19,1,15,58
2015/02/20,1,14,58
2015/02/21,1,14,57
2015/02/22,1,14,57
2015/02/23,1,14,57
2015/02/24,1,15,60
2015/02/25,1,13,62
2015/02/26,1,12,61
2015/02/27,1,12,60
2015/02/28,1,12,59
2015/03/01,1,13,59
2015/03/02,1,13,60
2015/03/03,1,12,59
2015/03/04,1,12,57
2015/03/05,1,13,60
2015/03/06,1,18,67
2015/03/07,1,18,68
2015/03/08,1,18,69
2015/03/09,1,18,72
2015/03/10,1,19,73
2015/03/11,1,19,72
2015/03/12,1,19,69
2015/03/13,1,19,68
2015/03/14,1,19,68
2015/03/15,1,18,63
2015/03/16,1,18,63
2015/03/17,1,18,64
2015/03/18,1,18,64
2015/03/19,1,17,58
2015/03/20,1,17,57
2015/03/21,1,18,57
2015/03/22,1,18,57
2015/03/23,1,18,57
2015/03/24,1,18,57
2015/03/25,1,18,56
2015/03/26,1,18,52
2015/03/27,1,18,51
2015/03/28,1,18,49
2015/03/29,1,18,48
2015/03/30,1,18,45
2015/03/31,1,17,46
2015/04/01,1,17,45
2015/04/02,1,17,44
2015/04/03,1,17,42
2015/04/04,1,15,40
2015/04/05,1,10,32
2015/04/06,1,10,31
2015/04/07,1,10,29
2015/04/08,1,7,24
2015/04/09,1,5,22
2015/04/10,1,5,22
2015/04/11,1,5,20
2015/04/12,1,5,19
2015/04/13,1,5,19
2015/04/14,1,5,19
2015/04/15,1,5,19
2015/04/16,1,3,17
2015/04/17,1,3,17
2015/04/18,1,4,19
2015/04/19,1,4,20
2015/04/20,1,4,20
2015/04/21,1,4,19
2015/04/22,1,4,19
2015/04/23,1,5,19
2015/04/24,2,5,21
2015/04/25,2,5,21
2015/04/26,2,6,21
2015/04/27,2,6,21
2015/04/28,2,7,22
2015/04/29,2,7,23
2015/04/30,2,7,21
2015/05/01,2,7,21
2015/05/02,2,7,22
2015/05/03,2,7,22
2015/05/04,2,6,22
2015/05/05,2,6,20
2015/05/06,2,6,21
2015/05/07,2,6,22
2015/05/08,2,5,21
2015/05/09,2,5,21
2015/05/10,2,5,19
2015/05/11,2,5,20
2015/05/12,2,5,18
2015/05/13,2,5,18
2015/05/14,2,5,18
2015/05/15,2,6,18
2015/05/16,2,6,18
2015/05/17,2,6,18
2015/05/18,2,5,16
2015/05/19,2,5,16
2015/05/20,2,5,15
2015/05/21,2,5,15
2015/05/22,2,6,15
2015/05/23,2,5,15
2015/05/24,1,5,16
2015/05/25,1,5,16
2015/05/26,1,5,16
2015/05/27,1,5,16
2015/05/28,1,5,17
2015/05/29,1,5,17
2015/05/30,1,5,19
2015/05/31,1,5,20
2015/06/01,1,5,19
2015/06/02,1,6,19
2015/06/03,1,7,20
2015/06/04,1,7,19
2015/06/05,1,7,19
2015/06/06,1,7,18
2015/06/07,1,7,18
2015/06/08,1,7,20
2015/06/09,1,7,21
2015/06/10,1,7,21
2015/06/11,1,6,21
2015/06/12,1,6,24
2015/06/13,1,6,25
2015/06/14,1,7,26
2015/06/15,1,8,27
2015/06/16,1,8,28
2015/06/17,1,8,30
2015/06/18,1,8,30
2015/06/19,1,8,30
2015/06/20,1,8,30
2015/06/21,1,7,30
2015/06/22,1,7,30
2015/06/23,1,7,29
2015/06/24,1,8,28
2015/06/25,1,8,30
2015/06/26,1,8,29
2015/06/27,1,8,28
2015/06/28,1,8,28
2015/06/29,1,8,28
2015/06/30,1,8,28
2015/07/01,1,8,28
2015/07/02,1,7,28
2015/07/03,1,6,28
2015/07/04,1,6,28
2015/07/05,1,6,27
2015/07/06,1,6,28
2015/07/07,1,6,28
2015/07/08,1,6,26
2015/07/09,1,6,25
2015/07/10,1,6,24
2015/07/11,1,6,23
2015/07/12,1,6,22
2015/07/13,1,7,24
2015/07/14,1,6,23
2015/07/15,1,6,25
2015/07/16,1,5,25
2015/07/17,1,5,25
2015/07/18,1,5,25
2015/07/19,1,5,25
2015/07/20,1,5,25
2015/07/21,1,5,23
2015/07/22,1,5,22
2015/07/23,1,5,23
2015/07/24,1,5,24
2015/07/25,1,5,23
2015/07/26,1,5,23
2015/07/27,1,5,23
2015/07/28,1,5,24
2015/07/29,1,5,24
2015/07/30,1,6,26
2015/07/31,1,7,27
2015/08/01,1,7,28
2015/08/02,1,7,28
