date,htwiki (100+),htwiki (5+),htwiki (all)
2013/09/13,,3,16
2013/09/14,,3,15
2013/09/15,,3,15
2013/09/16,,3,16
2013/09/17,,3,16
2013/09/18,1,4,17
2013/09/19,1,4,17
2013/09/20,1,4,16
2013/09/21,1,4,15
2013/09/22,1,3,14
2013/09/23,1,3,14
2013/09/24,1,3,14
2013/09/25,1,3,14
2013/09/26,1,3,13
2013/09/27,1,3,12
2013/09/28,1,3,12
2013/09/29,1,3,12
2013/09/30,1,3,14
2013/10/01,1,3,14
2013/10/02,1,2,13
2013/10/03,1,2,12
2013/10/04,1,2,12
2013/10/05,1,2,11
2013/10/06,1,2,11
2013/10/07,1,2,12
2013/10/08,1,2,12
2013/10/09,1,2,12
2013/10/10,1,2,14
2013/10/11,1,2,14
2013/10/12,1,2,15
2013/10/13,1,2,14
2013/10/14,1,2,16
2013/10/15,1,2,16
2013/10/16,1,2,15
2013/10/17,1,1,15
2013/10/18,,1,14
2013/10/19,,1,14
2013/10/20,,1,14
2013/10/21,,1,14
2013/10/22,,2,16
2013/10/23,,2,16
2013/10/24,,2,17
2013/10/25,,2,18
2013/10/26,,2,22
2013/10/27,,2,21
2013/10/28,,2,20
2013/10/29,,2,19
2013/10/30,,2,17
2013/10/31,,2,17
2013/11/01,,1,16
2013/11/02,,1,17
2013/11/03,,1,18
2013/11/04,,1,18
2013/11/05,,1,18
2013/11/06,,1,18
2013/11/07,,1,18
2013/11/08,,1,19
2013/11/09,,1,17
2013/11/10,,1,18
2013/11/11,,1,17
2013/11/12,,1,16
2013/11/13,,2,14
2013/11/14,,1,16
2013/11/15,,1,17
2013/11/16,,1,17
2013/11/17,,1,17
2013/11/18,,1,18
2013/11/19,,1,19
2013/11/20,,1,20
2013/11/21,,,20
2013/11/22,,,18
2013/11/23,,,18
2013/11/24,,,18
2013/11/25,,,16
2013/11/26,,,17
2013/11/27,,,18
2013/11/28,,,17
2013/11/29,,,19
2013/11/30,,,20
2013/12/01,,,20
2013/12/02,,,19
2013/12/03,,1,21
2013/12/04,,1,22
2013/12/05,,1,22
2013/12/06,,1,23
2013/12/07,,2,23
2013/12/08,,2,24
2013/12/09,,2,24
2013/12/10,,2,23
2013/12/11,,2,23
2013/12/12,,2,24
2013/12/13,,2,23
2013/12/14,,2,21
2013/12/15,,1,22
2013/12/16,,2,24
2013/12/17,,2,25
2013/12/18,,2,24
2013/12/19,,2,24
2013/12/20,,2,22
2013/12/21,,2,23
2013/12/22,,2,23
2013/12/23,,2,22
2013/12/24,,2,22
2013/12/25,,2,21
2013/12/26,,2,20
2013/12/27,,2,19
2013/12/28,,2,18
2013/12/29,,2,17
2013/12/30,,2,16
2013/12/31,,2,17
2014/01/01,,2,17
2014/01/02,,1,17
2014/01/03,,1,16
2014/01/04,,1,19
2014/01/05,,1,18
2014/01/06,,1,17
2014/01/07,,1,16
2014/01/08,,1,15
2014/01/09,,1,15
2014/01/10,,1,15
2014/01/11,,1,14
2014/01/12,,1,15
2014/01/13,,1,15
2014/01/14,,1,14
2014/01/15,,,13
2014/01/16,,,12
2014/01/17,,,13
2014/01/18,,,12
2014/01/19,,,13
2014/01/20,,,12
2014/01/21,,,12
2014/01/22,,,13
2014/01/23,,,15
2014/01/24,,,17
2014/01/25,,,18
2014/01/26,,,20
2014/01/27,,1,21
2014/01/28,,1,21
2014/01/29,,1,21
2014/01/30,,1,21
2014/01/31,,1,22
2014/02/01,,1,22
2014/02/02,,1,22
2014/02/03,,1,21
2014/02/04,,1,22
2014/02/05,,1,22
2014/02/06,,1,22
2014/02/07,,1,22
2014/02/08,,1,22
2014/02/09,,1,22
2014/02/10,,1,22
2014/02/11,,1,21
2014/02/12,,1,21
2014/02/13,,1,21
2014/02/14,,1,20
2014/02/15,,1,20
2014/02/16,,1,19
2014/02/17,,1,20
2014/02/18,,1,20
2014/02/19,,1,21
2014/02/20,,1,22
2014/02/21,,1,21
2014/02/22,,1,19
2014/02/23,,1,16
2014/02/24,,1,15
2014/02/25,,1,13
2014/02/26,,1,14
2014/02/27,,,15
2014/02/28,,,16
2014/03/01,,,16
2014/03/02,,,14
2014/03/03,,1,14
2014/03/04,,1,15
2014/03/05,,1,13
2014/03/06,,1,12
2014/03/07,,1,12
2014/03/08,,1,12
2014/03/09,,1,12
2014/03/10,,1,13
2014/03/11,,1,13
2014/03/12,,1,13
2014/03/13,,1,14
2014/03/14,,1,13
2014/03/15,,1,13
2014/03/16,,1,13
2014/03/17,,1,14
2014/03/18,,1,14
2014/03/19,,1,13
2014/03/20,,1,14
2014/03/21,,1,13
2014/03/22,,1,12
2014/03/23,,1,14
2014/03/24,,1,14
2014/03/25,,1,14
2014/03/26,,1,18
2014/03/27,,2,20
2014/03/28,,2,19
2014/03/29,,2,19
2014/03/30,,2,18
2014/03/31,,3,18
2014/04/01,,3,18
2014/04/02,,2,17
2014/04/03,,2,18
2014/04/04,,2,19
2014/04/05,,2,20
2014/04/06,,3,21
2014/04/07,,3,23
2014/04/08,,3,23
2014/04/09,,3,22
2014/04/10,,3,22
2014/04/11,,3,22
2014/04/12,,3,21
2014/04/13,,3,21
2014/04/14,,3,21
2014/04/15,,3,23
2014/04/16,,3,22
2014/04/17,,3,22
2014/04/18,,4,22
2014/04/19,,4,20
2014/04/20,,4,21
2014/04/21,,4,21
2014/04/22,,4,19
2014/04/23,,4,20
2014/04/24,,4,20
2014/04/25,,4,18
2014/04/26,,3,17
2014/04/27,,3,17
2014/04/28,,3,15
2014/04/29,,3,17
2014/04/30,,2,16
2014/05/01,,2,16
2014/05/02,,2,18
2014/05/03,,2,19
2014/05/04,,2,18
2014/05/05,,2,17
2014/05/06,,1,19
2014/05/07,,1,18
2014/05/08,,3,21
2014/05/09,,3,21
2014/05/10,,3,21
2014/05/11,,4,20
2014/05/12,,4,20
2014/05/13,,4,20
2014/05/14,,4,20
2014/05/15,,4,20
2014/05/16,,4,20
2014/05/17,,4,20
2014/05/18,,4,20
2014/05/19,,4,21
2014/05/20,,4,20
2014/05/21,,4,21
2014/05/22,,4,22
2014/05/23,,4,21
2014/05/24,,4,21
2014/05/25,,4,20
2014/05/26,,4,20
2014/05/27,,4,17
2014/05/28,,4,17
2014/05/29,,4,19
2014/05/30,,4,19
2014/05/31,,4,20
2014/06/01,,4,21
2014/06/02,,6,21
2014/06/03,,6,22
2014/06/04,,6,21
2014/06/05,,6,20
2014/06/06,,6,21
2014/06/07,,4,21
2014/06/08,,4,21
2014/06/09,,4,21
2014/06/10,,3,21
2014/06/11,,3,21
2014/06/12,,3,22
2014/06/13,,3,22
2014/06/14,,3,22
2014/06/15,,3,21
2014/06/16,,2,21
2014/06/17,,1,23
2014/06/18,,1,22
2014/06/19,,1,22
2014/06/20,,1,21
2014/06/21,,1,21
2014/06/22,,1,21
2014/06/23,,1,21
2014/06/24,,1,21
2014/06/25,,1,21
2014/06/26,,1,21
2014/06/27,,1,22
2014/06/28,,1,20
2014/06/29,,1,23
2014/06/30,,1,23
2014/07/01,,1,23
2014/07/02,,,22
2014/07/03,,,21
2014/07/04,,,20
2014/07/05,,,17
2014/07/06,,,15
2014/07/07,,,14
2014/07/08,,,14
2014/07/09,,,13
2014/07/10,,,13
2014/07/11,,,12
2014/07/12,,,12
2014/07/13,,1,13
2014/07/14,,1,13
2014/07/15,,1,17
2014/07/16,,1,17
2014/07/17,,1,15
2014/07/18,,1,15
2014/07/19,,1,17
2014/07/20,,1,17
2014/07/21,,1,15
2014/07/22,,1,17
2014/07/23,,2,18
2014/07/24,,2,18
2014/07/25,,2,18
2014/07/26,,2,17
2014/07/27,,2,17
2014/07/28,,2,18
2014/07/29,,2,15
2014/07/30,,2,15
2014/07/31,,2,13
2014/08/01,,2,13
2014/08/02,,2,14
2014/08/03,,2,14
2014/08/04,,2,14
2014/08/05,,2,15
2014/08/06,,2,15
2014/08/07,,2,15
2014/08/08,,2,15
2014/08/09,,2,15
2014/08/10,,2,15
2014/08/11,,2,15
2014/08/12,,1,15
2014/08/13,,1,16
2014/08/14,,1,12
2014/08/15,,1,13
2014/08/16,,2,13
2014/08/17,,2,13
2014/08/18,,1,13
2014/08/19,,1,13
2014/08/20,,1,13
2014/08/21,,1,12
2014/08/22,,1,10
2014/08/23,,1,10
2014/08/24,,1,10
2014/08/25,,1,10
2014/08/26,,1,11
2014/08/27,,1,11
2014/08/28,,1,12
2014/08/29,,1,12
2014/08/30,,1,13
2014/08/31,,1,15
2014/09/01,,1,15
2014/09/02,,1,16
2014/09/03,,1,16
2014/09/04,,1,17
2014/09/05,,2,17
2014/09/06,,2,17
2014/09/07,,3,17
2014/09/08,,3,17
2014/09/09,,3,17
2014/09/10,,3,17
2014/09/11,,3,18
2014/09/12,,3,17
2014/09/13,,4,17
2014/09/14,,4,16
2014/09/15,,3,17
2014/09/16,,3,19
2014/09/17,1,3,18
2014/09/18,1,3,19
2014/09/19,1,4,19
2014/09/20,1,4,22
2014/09/21,1,4,22
2014/09/22,1,4,22
2014/09/23,1,4,21
2014/09/24,1,4,22
2014/09/25,1,3,22
2014/09/26,1,3,21
2014/09/27,1,3,20
2014/09/28,1,3,20
2014/09/29,1,3,21
2014/09/30,1,2,21
2014/10/01,1,2,20
2014/10/02,1,2,19
2014/10/03,1,2,19
2014/10/04,1,2,18
2014/10/05,1,2,19
2014/10/06,1,2,20
2014/10/07,1,2,19
2014/10/08,1,2,18
2014/10/09,1,2,19
2014/10/10,1,2,20
2014/10/11,1,2,20
2014/10/12,1,2,20
2014/10/13,1,2,19
2014/10/14,1,2,19
2014/10/15,1,3,19
2014/10/16,1,3,17
2014/10/17,1,3,17
2014/10/18,1,2,18
2014/10/19,1,1,18
2014/10/20,1,1,15
2014/10/21,1,1,15
2014/10/22,1,1,16
2014/10/23,1,1,16
2014/10/24,1,1,16
2014/10/25,1,1,16
2014/10/26,1,1,16
2014/10/27,1,1,17
2014/10/28,1,1,17
2014/10/29,1,1,16
2014/10/30,1,1,14
2014/10/31,1,1,14
2014/11/01,1,1,14
2014/11/02,1,1,14
2014/11/03,1,1,13
2014/11/04,1,1,12
2014/11/05,1,1,11
2014/11/06,1,1,11
2014/11/07,1,1,11
2014/11/08,1,1,11
2014/11/09,1,1,10
2014/11/10,1,1,10
2014/11/11,1,1,12
2014/11/12,1,1,12
2014/11/13,1,2,13
2014/11/14,1,2,12
2014/11/15,1,2,12
2014/11/16,1,2,12
2014/11/17,1,2,13
2014/11/18,1,2,14
2014/11/19,1,2,14
2014/11/20,1,2,14
2014/11/21,1,2,13
2014/11/22,1,2,13
2014/11/23,1,2,12
2014/11/24,1,2,13
2014/11/25,1,2,13
2014/11/26,1,2,11
2014/11/27,1,2,12
2014/11/28,1,2,13
2014/11/29,1,2,13
2014/11/30,1,2,13
2014/12/01,1,2,14
2014/12/02,1,2,14
2014/12/03,1,2,14
2014/12/04,1,2,14
2014/12/05,1,2,14
2014/12/06,1,2,14
2014/12/07,1,2,14
2014/12/08,1,2,13
2014/12/09,1,2,14
2014/12/10,1,2,14
2014/12/11,1,2,12
2014/12/12,1,2,13
2014/12/13,1,1,12
2014/12/14,1,1,12
2014/12/15,1,1,12
2014/12/16,1,1,12
2014/12/17,1,1,10
2014/12/18,1,1,10
2014/12/19,1,1,11
2014/12/20,1,1,11
2014/12/21,1,1,11
2014/12/22,1,1,12
2014/12/23,1,1,12
2014/12/24,1,1,12
2014/12/25,1,1,12
2014/12/26,1,1,13
2014/12/27,1,1,11
2014/12/28,1,1,10
2014/12/29,1,1,10
2014/12/30,1,2,10
2014/12/31,1,2,9
2015/01/01,1,2,9
2015/01/02,1,2,9
2015/01/03,1,2,9
2015/01/04,1,2,10
2015/01/05,1,3,11
2015/01/06,1,3,11
2015/01/07,1,3,11
2015/01/08,1,3,10
2015/01/09,1,3,10
2015/01/10,1,3,12
2015/01/11,1,4,11
2015/01/12,1,4,12
2015/01/13,1,4,12
2015/01/14,1,4,12
2015/01/15,1,4,12
2015/01/16,1,4,13
2015/01/17,1,4,13
2015/01/18,1,4,13
2015/01/19,1,4,13
2015/01/20,1,4,14
2015/01/21,1,4,12
2015/01/22,1,4,13
2015/01/23,1,4,13
2015/01/24,1,4,13
2015/01/25,1,5,13
2015/01/26,1,5,14
2015/01/27,1,5,14
2015/01/28,1,5,14
2015/01/29,1,5,14
2015/01/30,1,5,15
2015/01/31,1,5,15
2015/02/01,1,5,16
2015/02/02,1,5,16
2015/02/03,1,5,15
2015/02/04,1,4,14
2015/02/05,1,4,14
2015/02/06,1,4,14
2015/02/07,1,4,14
2015/02/08,1,4,15
2015/02/09,1,4,15
2015/02/10,1,3,14
2015/02/11,1,3,16
2015/02/12,1,3,17
2015/02/13,1,3,17
2015/02/14,1,3,15
2015/02/15,1,3,15
2015/02/16,1,3,17
2015/02/17,1,3,16
2015/02/18,1,4,17
2015/02/19,1,4,16
2015/02/20,1,4,18
2015/02/21,1,3,18
2015/02/22,1,3,18
2015/02/23,1,3,18
2015/02/24,1,2,17
2015/02/25,1,2,17
2015/02/26,1,2,19
2015/02/27,1,2,20
2015/02/28,1,2,20
2015/03/01,1,2,22
2015/03/02,1,2,23
2015/03/03,1,2,22
2015/03/04,1,2,22
2015/03/05,1,2,23
2015/03/06,1,3,24
2015/03/07,1,4,24
2015/03/08,1,4,24
2015/03/09,1,4,25
2015/03/10,1,4,24
2015/03/11,1,4,24
2015/03/12,1,4,24
2015/03/13,1,4,22
2015/03/14,1,4,21
2015/03/15,1,4,21
2015/03/16,1,4,21
2015/03/17,1,4,21
2015/03/18,1,4,20
2015/03/19,1,4,22
2015/03/20,1,3,22
2015/03/21,1,3,23
2015/03/22,1,3,22
2015/03/23,1,3,23
2015/03/24,1,3,25
2015/03/25,1,3,25
2015/03/26,1,3,27
2015/03/27,1,3,26
2015/03/28,1,3,26
2015/03/29,1,3,25
2015/03/30,1,3,25
2015/03/31,1,3,23
2015/04/01,1,3,22
2015/04/02,1,3,22
2015/04/03,1,3,22
2015/04/04,1,3,22
2015/04/05,1,2,21
2015/04/06,1,2,20
2015/04/07,1,2,21
2015/04/08,1,2,20
2015/04/09,1,2,22
2015/04/10,1,3,22
2015/04/11,1,2,22
2015/04/12,1,2,21
2015/04/13,1,2,21
2015/04/14,1,2,22
2015/04/15,1,2,22
2015/04/16,1,2,23
2015/04/17,1,3,23
2015/04/18,1,2,21
2015/04/19,1,2,21
2015/04/20,1,2,21
2015/04/21,1,2,22
2015/04/22,1,2,21
2015/04/23,1,2,20
2015/04/24,1,1,18
2015/04/25,1,1,16
2015/04/26,1,1,16
2015/04/27,1,1,15
2015/04/28,1,1,15
2015/04/29,1,1,16
2015/04/30,1,1,17
2015/05/01,1,1,17
2015/05/02,1,1,16
2015/05/03,1,1,17
2015/05/04,,1,16
2015/05/05,1,1,16
2015/05/06,,1,17
2015/05/07,,1,16
2015/05/08,,1,16
2015/05/09,,1,17
2015/05/10,,2,16
2015/05/11,,3,17
2015/05/12,,3,19
2015/05/13,,3,19
2015/05/14,,3,19
2015/05/15,,3,20
2015/05/16,,3,20
2015/05/17,,3,23
2015/05/18,,3,23
2015/05/19,,3,23
2015/05/20,,3,23
2015/05/21,,3,23
2015/05/22,,2,23
2015/05/23,,2,24
2015/05/24,,2,23
2015/05/25,1,3,26
2015/05/26,1,3,27
2015/05/27,1,3,29
2015/05/28,1,4,30
2015/05/29,1,5,30
2015/05/30,1,5,28
2015/05/31,1,5,27
2015/06/01,1,6,27
2015/06/02,1,6,26
2015/06/03,1,5,27
2015/06/04,1,5,27
2015/06/05,1,7,32
2015/06/06,1,7,33
2015/06/07,1,7,33
2015/06/08,1,7,30
2015/06/09,1,8,29
2015/06/10,1,6,28
2015/06/11,1,6,28
2015/06/12,1,6,28
2015/06/13,1,6,28
2015/06/14,1,7,29
2015/06/15,1,7,31
2015/06/16,1,7,30
2015/06/17,1,8,32
2015/06/18,1,8,33
2015/06/19,1,9,34
2015/06/20,1,9,33
2015/06/21,1,9,33
2015/06/22,1,9,33
2015/06/23,1,9,33
2015/06/24,1,8,31
2015/06/25,1,8,30
2015/06/26,1,7,30
2015/06/27,1,7,31
2015/06/28,1,7,30
2015/06/29,1,8,30
2015/06/30,1,8,29
2015/07/01,1,8,30
2015/07/02,1,8,30
2015/07/03,1,8,31
2015/07/04,1,8,33
2015/07/05,1,5,27
2015/07/06,1,5,27
2015/07/07,1,5,26
2015/07/08,1,5,26
2015/07/09,1,5,26
2015/07/10,1,5,26
2015/07/11,1,5,26
2015/07/12,1,5,24
2015/07/13,1,5,26
2015/07/14,,5,26
2015/07/15,1,5,26
2015/07/16,,4,26
2015/07/17,,4,26
2015/07/18,,3,25
2015/07/19,,3,24
2015/07/20,,3,24
2015/07/21,,3,24
2015/07/22,,3,24
2015/07/23,,3,24
2015/07/24,,3,24
2015/07/25,,3,23
2015/07/26,,3,23
2015/07/27,,3,22
2015/07/28,,4,23
2015/07/29,,3,23
2015/07/30,,3,23
2015/07/31,,3,22
2015/08/01,,3,22
2015/08/02,,3,21
2015/08/03,,3,20
2015/08/04,,3,20
2015/08/05,,3,20
2015/08/06,,3,20
2015/08/07,,3,21
2015/08/08,,4,21
2015/08/09,,4,22
2015/08/10,,5,22
2015/08/11,,5,22
2015/08/12,,5,21
2015/08/13,,5,21
2015/08/14,,4,20
2015/08/15,,4,18
2015/08/16,,4,17
2015/08/17,,4,18
2015/08/18,,4,19
2015/08/19,,4,19
2015/08/20,,4,19
2015/08/21,,4,19
2015/08/22,,4,19
2015/08/23,,4,19
2015/08/24,,5,20
2015/08/25,,4,20
2015/08/26,,4,21
2015/08/27,,4,20
2015/08/28,,4,21
2015/08/29,,4,24
2015/08/30,,4,24
2015/08/31,,4,24
2015/09/01,,4,24
2015/09/02,,4,24
2015/09/03,,4,24
2015/09/04,,4,22
2015/09/05,,4,22
2015/09/06,,4,21
