date,vowiki (100+),vowiki (5+),vowiki (all)
2013/03/07,5,12,40
2013/03/08,6,13,39
2013/03/09,6,13,42
2013/03/10,6,13,41
2013/03/11,6,13,43
2013/03/12,8,14,46
2013/03/13,8,14,47
2013/03/14,8,14,47
2013/03/15,8,14,46
2013/03/16,8,13,45
2013/03/17,8,13,44
2013/03/18,8,13,41
2013/03/19,7,12,40
2013/03/20,6,12,41
2013/03/21,6,11,40
2013/03/22,6,11,38
2013/03/23,5,11,36
2013/03/24,5,11,38
2013/03/25,5,11,39
2013/03/26,5,11,39
2013/03/27,5,11,38
2013/03/28,5,11,38
2013/03/29,5,11,37
2013/03/30,5,11,38
2013/03/31,4,11,38
2013/04/01,4,10,37
2013/04/02,3,9,37
2013/04/03,3,10,37
2013/04/04,3,8,34
2013/04/05,3,8,34
2013/04/06,3,8,35
2013/04/07,3,7,32
2013/04/08,3,8,33
2013/04/09,3,9,35
2013/04/10,4,9,34
2013/04/11,4,8,33
2013/04/12,4,8,33
2013/04/13,4,8,33
2013/04/14,4,8,34
2013/04/15,4,7,35
2013/04/16,3,7,34
2013/04/17,3,7,34
2013/04/18,3,7,33
2013/04/19,3,9,32
2013/04/20,3,9,32
2013/04/21,3,9,32
2013/04/22,3,9,32
2013/04/23,3,9,30
2013/04/24,3,9,29
2013/04/25,3,9,28
2013/04/26,3,9,26
2013/04/27,3,9,25
2013/04/28,3,9,25
2013/04/29,3,9,25
2013/04/30,3,9,25
2013/05/01,3,9,24
2013/05/02,3,9,25
2013/05/03,3,9,26
2013/05/04,2,8,27
2013/05/05,2,8,29
2013/05/06,2,10,32
2013/05/07,2,10,32
2013/05/08,2,9,32
2013/05/09,2,9,31
2013/05/10,2,9,31
2013/05/11,2,9,29
2013/05/12,2,9,28
2013/05/13,1,9,28
2013/05/14,1,9,27
2013/05/15,1,8,25
2013/05/16,1,9,26
2013/05/17,1,9,26
2013/05/18,1,8,26
2013/05/19,1,7,26
2013/05/20,1,7,25
2013/05/21,1,7,25
2013/05/22,1,8,25
2013/05/23,1,8,25
2013/05/24,1,8,25
2013/05/25,1,9,26
2013/05/26,1,9,26
2013/05/27,1,10,28
2013/05/28,1,10,31
2013/05/29,1,10,31
2013/05/30,1,10,33
2013/05/31,1,10,33
2013/06/01,1,9,34
2013/06/02,1,9,35
2013/06/03,1,8,34
2013/06/04,1,8,32
2013/06/05,1,6,28
2013/06/06,1,6,27
2013/06/07,,6,23
2013/06/08,,6,24
2013/06/09,,6,23
2013/06/10,,6,23
2013/06/11,,6,24
2013/06/12,1,6,23
2013/06/13,1,6,24
2013/06/14,,6,24
2013/06/15,,5,24
2013/06/16,,5,25
2013/06/17,,5,26
2013/06/18,,5,28
2013/06/19,,6,30
2013/06/20,,7,31
2013/06/21,,7,31
2013/06/22,,7,31
2013/06/23,1,7,32
2013/06/24,2,8,32
2013/06/25,2,8,32
2013/06/26,2,7,33
2013/06/27,1,7,32
2013/06/28,1,7,32
2013/06/29,1,7,31
2013/06/30,1,9,31
2013/07/01,1,11,32
2013/07/02,1,11,32
2013/07/03,1,11,32
2013/07/04,1,11,33
2013/07/05,1,11,33
2013/07/06,1,11,33
2013/07/07,1,11,33
2013/07/08,1,11,32
2013/07/09,1,11,32
2013/07/10,1,11,32
2013/07/11,1,11,30
2013/07/12,1,11,29
2013/07/13,1,12,29
2013/07/14,1,12,29
2013/07/15,1,12,29
2013/07/16,1,12,28
2013/07/17,1,11,29
2013/07/18,1,10,26
2013/07/19,1,10,25
2013/07/20,1,10,24
2013/07/21,1,10,24
2013/07/22,1,10,24
2013/07/23,,10,24
2013/07/24,,9,25
2013/07/25,,9,25
2013/07/26,,9,24
2013/07/27,,9,24
2013/07/28,,8,25
2013/07/29,,8,25
2013/07/30,,7,25
2013/07/31,,6,23
2013/08/01,,6,24
2013/08/02,,6,24
2013/08/03,,7,24
2013/08/04,,7,24
2013/08/05,,9,25
2013/08/06,,9,25
2013/08/07,,9,24
2013/08/08,,8,23
2013/08/09,,8,23
2013/08/10,,7,26
2013/08/11,,7,26
2013/08/12,,7,25
2013/08/13,,8,29
2013/08/14,,8,31
2013/08/15,,8,31
2013/08/16,,7,30
2013/08/17,,7,30
2013/08/18,,7,29
2013/08/19,,7,30
2013/08/20,,6,29
2013/08/21,,8,32
2013/08/22,,8,32
2013/08/23,,8,30
2013/08/24,,10,31
2013/08/25,,11,30
2013/08/26,,11,30
2013/08/27,,11,31
2013/08/28,,10,32
2013/08/29,,10,31
2013/08/30,,9,32
2013/08/31,,9,30
2013/09/01,,9,30
2013/09/02,,9,30
2013/09/03,,9,32
2013/09/04,,9,32
2013/09/05,,11,32
2013/09/06,,11,32
2013/09/07,,11,33
2013/09/08,,11,33
2013/09/09,,10,30
2013/09/10,,10,31
2013/09/11,,9,31
2013/09/12,,10,30
2013/09/13,,10,28
2013/09/14,,10,28
2013/09/15,,9,29
2013/09/16,,9,28
2013/09/17,,9,28
2013/09/18,,10,27
2013/09/19,,8,26
2013/09/20,,9,26
2013/09/21,,9,26
2013/09/22,,10,27
2013/09/23,,9,27
2013/09/24,,10,26
2013/09/25,,11,27
2013/09/26,,11,27
2013/09/27,,10,27
2013/09/28,,11,29
2013/09/29,,11,26
2013/09/30,,11,26
2013/10/01,,11,28
2013/10/02,,11,28
2013/10/03,,11,28
2013/10/04,,11,28
2013/10/05,,10,29
2013/10/06,,10,31
2013/10/07,,10,31
2013/10/08,,10,33
2013/10/09,,9,32
2013/10/10,,9,33
2013/10/11,,9,36
2013/10/12,,8,34
2013/10/13,,9,34
2013/10/14,,9,35
2013/10/15,,10,34
2013/10/16,,10,34
2013/10/17,,10,34
2013/10/18,,9,32
2013/10/19,,9,33
2013/10/20,,8,33
2013/10/21,,8,34
2013/10/22,,7,35
2013/10/23,,6,33
2013/10/24,,7,34
2013/10/25,,7,34
2013/10/26,,6,33
2013/10/27,,6,35
2013/10/28,,8,36
2013/10/29,,8,36
2013/10/30,,8,37
2013/10/31,,8,37
2013/11/01,,7,36
2013/11/02,,5,39
2013/11/03,,5,40
2013/11/04,,5,43
2013/11/05,,5,41
2013/11/06,,5,41
2013/11/07,,4,41
2013/11/08,,6,42
2013/11/09,,7,42
2013/11/10,,8,43
2013/11/11,,8,44
2013/11/12,,8,44
2013/11/13,,7,42
2013/11/14,,7,40
2013/11/15,,7,40
2013/11/16,,7,40
2013/11/17,,7,39
2013/11/18,,7,40
2013/11/19,,7,40
2013/11/20,,7,40
2013/11/21,,8,40
2013/11/22,,6,40
2013/11/23,,6,39
2013/11/24,,6,37
2013/11/25,,6,37
2013/11/26,,6,39
2013/11/27,,6,38
2013/11/28,,6,38
2013/11/29,,6,37
2013/11/30,,7,34
2013/12/01,,7,35
2013/12/02,,8,31
2013/12/03,,8,29
2013/12/04,,8,25
2013/12/05,,8,25
2013/12/06,,8,27
2013/12/07,,8,26
2013/12/08,,8,26
2013/12/09,,9,25
2013/12/10,,8,24
2013/12/11,,7,23
2013/12/12,,6,21
2013/12/13,,6,21
2013/12/14,,6,20
2013/12/15,,6,20
2013/12/16,,6,22
2013/12/17,,5,22
2013/12/18,,5,22
2013/12/19,,5,22
2013/12/20,,5,21
2013/12/21,,6,20
2013/12/22,,6,21
