date,newiki (100+),newiki (5+),newiki (all)
2013/05/03,7,30,62
2013/05/04,8,30,63
2013/05/05,8,31,61
2013/05/06,8,30,61
2013/05/07,8,28,61
2013/05/08,8,28,63
2013/05/09,8,28,58
2013/05/10,8,28,57
2013/05/11,8,29,60
2013/05/12,8,26,57
2013/05/13,7,26,57
2013/05/14,7,26,56
2013/05/15,7,26,57
2013/05/16,7,27,56
2013/05/17,7,28,58
2013/05/18,6,26,59
2013/05/19,6,27,60
2013/05/20,6,28,58
2013/05/21,6,29,61
2013/05/22,6,32,62
2013/05/23,6,32,63
2013/05/24,6,32,66
2013/05/25,6,31,67
2013/05/26,6,31,64
2013/05/27,5,31,63
2013/05/28,5,32,61
2013/05/29,5,31,62
2013/05/30,5,32,65
2013/05/31,5,34,67
2013/06/01,4,35,72
2013/06/02,5,36,77
2013/06/03,5,36,77
2013/06/04,5,37,87
2013/06/05,4,36,92
2013/06/06,4,37,91
2013/06/07,4,37,92
2013/06/08,4,37,93
2013/06/09,4,37,93
2013/06/10,4,35,92
2013/06/11,4,35,96
2013/06/12,4,35,95
2013/06/13,4,33,95
2013/06/14,4,36,102
2013/06/15,4,36,105
2013/06/16,3,37,104
2013/06/17,3,40,105
2013/06/18,4,41,105
2013/06/19,4,42,107
2013/06/20,4,41,106
2013/06/21,4,37,104
2013/06/22,4,38,105
2013/06/23,4,39,104
2013/06/24,3,39,102
2013/06/25,3,42,105
2013/06/26,3,42,107
2013/06/27,4,43,108
2013/06/28,3,44,107
2013/06/29,3,43,105
2013/06/30,3,40,99
2013/07/01,3,38,95
2013/07/02,3,40,92
2013/07/03,3,40,93
2013/07/04,3,39,84
2013/07/05,3,38,82
2013/07/06,3,37,79
2013/07/07,3,38,78
2013/07/08,3,38,79
2013/07/09,3,40,78
2013/07/10,3,39,75
2013/07/11,3,38,70
2013/07/12,3,37,72
2013/07/13,3,37,72
2013/07/14,3,36,68
2013/07/15,3,36,70
2013/07/16,3,36,71
2013/07/17,4,35,71
2013/07/18,3,37,72
2013/07/19,3,37,69
2013/07/20,3,36,68
2013/07/21,3,38,67
2013/07/22,3,36,69
2013/07/23,3,35,68
2013/07/24,3,35,68
2013/07/25,2,35,68
2013/07/26,3,34,65
2013/07/27,2,33,64
2013/07/28,1,32,61
2013/07/29,3,33,61
2013/07/30,3,33,62
2013/07/31,3,33,63
2013/08/01,3,35,62
2013/08/02,3,36,61
2013/08/03,3,36,60
2013/08/04,3,36,60
2013/08/05,3,35,63
2013/08/06,3,33,62
2013/08/07,3,32,61
2013/08/08,2,33,61
2013/08/09,2,33,60
2013/08/10,1,35,62
2013/08/11,1,36,62
2013/08/12,2,37,64
2013/08/13,2,37,64
2013/08/14,2,36,63
2013/08/15,2,36,63
2013/08/16,2,36,62
2013/08/17,3,36,61
2013/08/18,3,36,62
2013/08/19,3,35,65
2013/08/20,3,34,66
2013/08/21,2,32,62
2013/08/22,2,32,63
2013/08/23,2,32,65
2013/08/24,4,30,65
2013/08/25,4,31,65
2013/08/26,4,32,65
2013/08/27,4,31,66
2013/08/28,4,30,64
2013/08/29,5,28,61
2013/08/30,3,27,61
2013/08/31,3,26,61
2013/09/01,3,25,61
2013/09/02,2,25,61
2013/09/03,2,25,62
2013/09/04,3,22,58
2013/09/05,3,21,57
2013/09/06,3,20,57
2013/09/07,3,20,56
2013/09/08,2,20,57
2013/09/09,2,18,54
2013/09/10,3,18,54
2013/09/11,3,19,54
2013/09/12,3,18,55
2013/09/13,3,19,56
2013/09/14,3,19,55
2013/09/15,2,18,56
2013/09/16,3,18,58
2013/09/17,2,17,58
2013/09/18,2,18,56
2013/09/19,2,18,57
2013/09/20,2,19,61
2013/09/21,2,19,62
2013/09/22,2,19,64
2013/09/23,2,19,62
2013/09/24,2,18,61
2013/09/25,1,18,59
2013/09/26,1,18,58
2013/09/27,1,18,57
2013/09/28,1,18,56
2013/09/29,2,17,54
2013/09/30,2,17,55
2013/10/01,2,17,53
2013/10/02,2,17,52
2013/10/03,2,17,52
2013/10/04,2,17,54
2013/10/05,2,17,55
2013/10/06,2,18,56
2013/10/07,2,19,55
2013/10/08,3,17,54
2013/10/09,3,17,54
2013/10/10,3,17,55
2013/10/11,3,17,53
2013/10/12,3,17,52
2013/10/13,3,16,51
2013/10/14,3,13,49
2013/10/15,3,13,48
2013/10/16,3,13,46
2013/10/17,3,12,45
2013/10/18,3,13,46
2013/10/19,3,14,46
2013/10/20,3,15,46
2013/10/21,4,15,48
2013/10/22,4,15,46
2013/10/23,4,15,47
2013/10/24,4,15,48
2013/10/25,4,15,47
2013/10/26,4,15,49
2013/10/27,4,16,50
2013/10/28,4,16,49
2013/10/29,4,16,50
2013/10/30,4,17,51
2013/10/31,4,17,50
2013/11/01,4,17,51
2013/11/02,4,17,50
2013/11/03,4,16,47
2013/11/04,4,16,47
2013/11/05,4,15,47
2013/11/06,5,14,47
2013/11/07,5,14,48
2013/11/08,5,15,48
2013/11/09,5,16,48
2013/11/10,5,16,48
2013/11/11,5,16,48
2013/11/12,5,16,50
2013/11/13,5,16,52
2013/11/14,6,18,52
2013/11/15,6,18,53
2013/11/16,6,18,53
2013/11/17,5,18,52
2013/11/18,5,19,51
2013/11/19,5,19,49
2013/11/20,4,19,47
2013/11/21,3,19,47
2013/11/22,3,19,48
2013/11/23,3,18,47
2013/11/24,3,18,49
2013/11/25,3,19,48
2013/11/26,3,18,47
2013/11/27,3,18,46
2013/11/28,3,18,45
2013/11/29,3,18,47
2013/11/30,3,18,46
2013/12/01,3,18,46
2013/12/02,3,17,47
2013/12/03,3,17,48
2013/12/04,3,17,47
2013/12/05,3,18,48
2013/12/06,3,17,49
2013/12/07,3,16,46
2013/12/08,3,16,45
2013/12/09,3,16,45
2013/12/10,3,16,47
2013/12/11,3,17,48
2013/12/12,3,16,46
2013/12/13,3,16,45
2013/12/14,3,16,45
2013/12/15,4,16,47
2013/12/16,4,15,48
2013/12/17,4,15,47
2013/12/18,4,13,46
2013/12/19,4,13,46
2013/12/20,4,13,44
2013/12/21,4,14,43
2013/12/22,4,14,45
2013/12/23,4,14,47
2013/12/24,4,14,48
2013/12/25,4,15,46
2013/12/26,4,15,47
2013/12/27,4,15,50
2013/12/28,4,15,50
2013/12/29,4,14,52
2013/12/30,5,14,51
2013/12/31,5,15,53
2014/01/01,5,15,51
2014/01/02,5,15,52
2014/01/03,5,15,52
2014/01/04,5,15,53
2014/01/05,5,15,52
2014/01/06,5,14,53
2014/01/07,5,14,52
2014/01/08,5,14,51
2014/01/09,5,14,49
2014/01/10,5,16,49
2014/01/11,5,16,49
2014/01/12,4,17,51
2014/01/13,5,17,50
2014/01/14,5,17,49
2014/01/15,5,16,47
2014/01/16,5,17,49
2014/01/17,5,17,50
2014/01/18,4,17,51
2014/01/19,6,17,53
2014/01/20,5,16,54
2014/01/21,5,19,56
2014/01/22,5,20,59
2014/01/23,5,20,59
2014/01/24,5,20,59
2014/01/25,4,20,59
2014/01/26,4,20,58
2014/01/27,5,21,58
2014/01/28,5,21,56
2014/01/29,5,22,57
2014/01/30,6,21,56
2014/01/31,6,22,57
2014/02/01,6,22,56
2014/02/02,6,22,56
2014/02/03,6,22,58
2014/02/04,6,22,59
2014/02/05,6,23,64
2014/02/06,6,25,67
2014/02/07,6,26,71
2014/02/08,6,26,71
2014/02/09,6,26,71
2014/02/10,6,25,71
2014/02/11,6,26,69
2014/02/12,7,25,68
2014/02/13,7,26,71
2014/02/14,7,27,75
2014/02/15,7,30,75
2014/02/16,7,31,78
2014/02/17,8,35,91
2014/02/18,8,35,92
2014/02/19,8,35,93
2014/02/20,8,33,93
2014/02/21,8,33,91
2014/02/22,8,32,90
2014/02/23,8,32,89
2014/02/24,8,31,88
2014/02/25,8,31,89
2014/02/26,7,31,88
2014/02/27,7,32,88
2014/02/28,7,31,86
2014/03/01,7,33,95
2014/03/02,7,32,94
2014/03/03,8,32,92
2014/03/04,8,32,92
2014/03/05,8,32,89
2014/03/06,8,32,87
2014/03/07,8,32,85
2014/03/08,8,31,83
2014/03/09,8,30,81
2014/03/10,8,31,81
2014/03/11,9,30,81
2014/03/12,8,30,81
2014/03/13,7,29,80
2014/03/14,7,30,84
2014/03/15,7,30,84
2014/03/16,7,30,83
2014/03/17,7,30,80
2014/03/18,7,30,77
2014/03/19,7,24,62
2014/03/20,7,24,63
2014/03/21,7,24,61
2014/03/22,7,23,62
2014/03/23,7,25,65
2014/03/24,6,25,64
2014/03/25,6,25,67
2014/03/26,6,25,66
2014/03/27,6,24,66
2014/03/28,6,24,66
2014/03/29,6,23,66
2014/03/30,6,24,66
2014/03/31,6,23,56
2014/04/01,6,23,54
2014/04/02,6,24,55
2014/04/03,6,24,55
2014/04/04,6,24,58
2014/04/05,5,24,57
2014/04/06,5,23,55
2014/04/07,6,23,53
2014/04/08,6,22,51
2014/04/09,6,21,49
2014/04/10,7,21,49
2014/04/11,7,22,51
2014/04/12,6,22,50
2014/04/13,6,21,47
2014/04/14,6,20,47
2014/04/15,6,19,46
2014/04/16,6,18,47
2014/04/17,6,18,47
2014/04/18,6,18,48
2014/04/19,6,18,47
2014/04/20,6,19,48
2014/04/21,6,19,49
2014/04/22,6,17,45
2014/04/23,6,17,45
2014/04/24,6,18,44
2014/04/25,6,18,47
2014/04/26,6,18,49
2014/04/27,6,18,51
2014/04/28,6,17,51
2014/04/29,6,17,50
2014/04/30,6,16,51
2014/05/01,6,16,51
2014/05/02,6,16,52
2014/05/03,6,16,53
2014/05/04,5,16,50
2014/05/05,5,16,50
2014/05/06,6,17,51
2014/05/07,5,16,48
2014/05/08,5,15,49
2014/05/09,5,15,50
2014/05/10,5,15,51
2014/05/11,5,15,52
2014/05/12,5,15,51
2014/05/13,5,15,52
2014/05/14,5,16,54
2014/05/15,5,16,55
2014/05/16,5,17,61
2014/05/17,5,19,63
2014/05/18,5,21,63
2014/05/19,6,20,62
2014/05/20,6,21,66
2014/05/21,6,21,64
2014/05/22,6,21,64
2014/05/23,7,21,66
2014/05/24,7,21,69
2014/05/25,7,22,68
2014/05/26,7,22,66
2014/05/27,7,22,63
2014/05/28,7,22,65
2014/05/29,7,22,67
2014/05/30,7,23,70
2014/05/31,7,24,72
2014/06/01,7,24,74
2014/06/02,7,24,74
2014/06/03,7,25,79
2014/06/04,7,26,91
2014/06/05,7,26,93
2014/06/06,7,27,96
2014/06/07,7,26,95
2014/06/08,7,29,95
2014/06/09,7,29,95
2014/06/10,7,30,94
2014/06/11,7,30,94
2014/06/12,8,30,96
2014/06/13,8,29,95
2014/06/14,8,28,93
2014/06/15,8,29,91
2014/06/16,8,28,92
2014/06/17,8,29,93
2014/06/18,7,29,96
2014/06/19,8,29,96
2014/06/20,9,31,97
2014/06/21,9,31,97
2014/06/22,7,32,97
2014/06/23,8,32,97
2014/06/24,8,33,95
2014/06/25,7,34,95
2014/06/26,8,34,99
2014/06/27,9,35,101
2014/06/28,9,34,101
2014/06/29,9,33,101
2014/06/30,8,32,102
2014/07/01,8,33,108
2014/07/02,7,33,109
2014/07/03,7,33,109
2014/07/04,7,33,103
2014/07/05,7,32,101
2014/07/06,7,32,99
2014/07/07,7,33,98
2014/07/08,8,32,99
2014/07/09,8,33,98
2014/07/10,8,32,99
2014/07/11,9,31,101
2014/07/12,9,31,99
2014/07/13,9,31,99
2014/07/14,9,30,101
2014/07/15,9,32,100
2014/07/16,9,32,97
2014/07/17,9,32,100
2014/07/18,9,34,98
2014/07/19,7,34,99
2014/07/20,7,32,97
2014/07/21,6,32,97
2014/07/22,6,33,96
2014/07/23,6,34,97
2014/07/24,7,32,95
2014/07/25,6,33,94
2014/07/26,6,30,93
2014/07/27,6,31,94
2014/07/28,6,31,92
2014/07/29,6,32,92
2014/07/30,5,33,92
2014/07/31,5,34,88
2014/08/01,6,34,89
2014/08/02,6,32,84
2014/08/03,6,30,84
2014/08/04,6,31,87
2014/08/05,6,31,85
2014/08/06,6,32,91
2014/08/07,6,32,87
2014/08/08,5,31,86
2014/08/09,5,31,86
2014/08/10,5,30,84
2014/08/11,4,30,82
2014/08/12,4,30,84
2014/08/13,4,31,82
2014/08/14,4,31,82
2014/08/15,4,31,83
2014/08/16,4,30,84
2014/08/17,3,30,83
2014/08/18,3,30,84
2014/08/19,4,31,85
2014/08/20,4,33,86
2014/08/21,4,33,85
2014/08/22,3,34,83
2014/08/23,3,34,80
2014/08/24,3,33,81
2014/08/25,3,32,79
2014/08/26,3,31,80
2014/08/27,3,31,81
2014/08/28,3,31,79
2014/08/29,3,31,79
2014/08/30,3,29,78
2014/08/31,3,30,79
2014/09/01,3,29,79
2014/09/02,2,30,80
2014/09/03,2,31,77
2014/09/04,2,32,79
2014/09/05,2,31,77
2014/09/06,2,31,78
2014/09/07,2,32,80
2014/09/08,2,30,78
2014/09/09,2,32,79
2014/09/10,2,32,78
2014/09/11,2,32,79
2014/09/12,2,32,80
2014/09/13,2,32,80
2014/09/14,2,32,79
2014/09/15,3,32,85
2014/09/16,3,32,88
2014/09/17,3,33,86
2014/09/18,3,34,88
2014/09/19,3,34,86
2014/09/20,2,34,88
2014/09/21,2,32,90
2014/09/22,2,31,90
2014/09/23,2,29,90
2014/09/24,3,32,90
2014/09/25,3,34,94
2014/09/26,3,33,93
2014/09/27,3,34,92
2014/09/28,3,34,90
2014/09/29,3,35,90
2014/09/30,3,33,90
2014/10/01,3,32,91
2014/10/02,3,33,90
2014/10/03,3,32,90
2014/10/04,4,30,89
2014/10/05,3,30,87
2014/10/06,3,31,88
2014/10/07,3,31,84
2014/10/08,3,31,84
2014/10/09,3,30,80
2014/10/10,3,31,79
2014/10/11,3,30,75
2014/10/12,3,30,75
2014/10/13,3,31,76
2014/10/14,4,32,76
2014/10/15,4,34,73
2014/10/16,6,33,71
2014/10/17,6,31,69
2014/10/18,8,30,70
2014/10/19,8,31,71
2014/10/20,8,32,71
2014/10/21,9,32,68
2014/10/22,9,33,73
2014/10/23,9,33,73
2014/10/24,11,32,72
2014/10/25,11,29,72
2014/10/26,11,29,73
2014/10/27,11,30,74
2014/10/28,11,31,73
2014/10/29,11,32,74
2014/10/30,10,34,76
2014/10/31,10,31,76
2014/11/01,10,32,78
2014/11/02,10,32,77
2014/11/03,10,34,77
2014/11/04,10,34,76
2014/11/05,11,34,75
2014/11/06,11,35,77
2014/11/07,11,36,79
2014/11/08,11,37,78
2014/11/09,11,35,81
2014/11/10,11,36,84
2014/11/11,11,35,84
2014/11/12,11,36,83
2014/11/13,10,35,84
2014/11/14,10,35,86
2014/11/15,10,35,84
2014/11/16,10,33,82
2014/11/17,10,36,84
2014/11/18,10,39,87
2014/11/19,8,37,88
2014/11/20,7,35,87
2014/11/21,9,36,85
2014/11/22,10,36,85
2014/11/23,10,36,84
2014/11/24,10,35,82
2014/11/25,10,33,81
2014/11/26,11,32,82
2014/11/27,11,32,80
2014/11/28,11,33,76
2014/11/29,11,33,75
2014/11/30,11,33,75
2014/12/01,11,33,72
2014/12/02,11,33,71
2014/12/03,12,32,71
2014/12/04,12,33,74
2014/12/05,12,34,74
2014/12/06,11,35,73
2014/12/07,11,34,75
2014/12/08,12,35,75
2014/12/09,12,33,73
2014/12/10,12,32,72
2014/12/11,12,34,73
2014/12/12,12,34,76
2014/12/13,12,36,78
2014/12/14,13,35,77
2014/12/15,13,35,76
2014/12/16,13,36,78
2014/12/17,14,35,75
2014/12/18,13,35,75
2014/12/19,13,33,73
2014/12/20,13,33,72
2014/12/21,12,33,72
2014/12/22,12,33,75
2014/12/23,12,32,76
2014/12/24,11,32,74
2014/12/25,12,32,75
2014/12/26,13,32,72
2014/12/27,13,31,71
2014/12/28,13,31,72
2014/12/29,12,30,71
2014/12/30,12,30,70
2014/12/31,12,32,70
2015/01/01,12,32,72
2015/01/02,11,31,72
2015/01/03,12,30,70
2015/01/04,12,30,70
2015/01/05,12,30,66
2015/01/06,12,30,65
2015/01/07,11,28,64
2015/01/08,11,30,66
2015/01/09,11,30,65
2015/01/10,10,29,66
