date,bawiki (100+),bawiki (5+),bawiki (all)
2013/03/14,11,27,61
2013/03/15,11,24,61
2013/03/16,11,23,59
2013/03/17,10,23,61
2013/03/18,9,24,61
2013/03/19,9,25,60
2013/03/20,9,25,58
2013/03/21,9,25,57
2013/03/22,9,25,59
2013/03/23,9,25,59
2013/03/24,9,25,59
2013/03/25,9,24,59
2013/03/26,9,24,59
2013/03/27,9,25,58
2013/03/28,9,25,57
2013/03/29,9,23,56
2013/03/30,8,23,56
2013/03/31,7,24,57
2013/04/01,7,24,57
2013/04/02,7,25,56
2013/04/03,7,25,53
2013/04/04,7,24,53
2013/04/05,7,22,50
2013/04/06,7,22,48
2013/04/07,7,22,49
2013/04/08,7,21,44
2013/04/09,7,21,45
2013/04/10,7,21,46
2013/04/11,6,21,46
2013/04/12,6,19,48
2013/04/13,6,21,49
2013/04/14,5,21,49
2013/04/15,6,19,49
2013/04/16,6,19,47
2013/04/17,6,19,46
2013/04/18,6,19,46
2013/04/19,5,19,47
2013/04/20,6,19,47
2013/04/21,7,18,47
2013/04/22,9,19,50
2013/04/23,8,20,50
2013/04/24,8,20,48
2013/04/25,8,20,48
2013/04/26,7,20,47
2013/04/27,7,20,47
2013/04/28,7,21,49
2013/04/29,7,22,50
2013/04/30,7,22,49
2013/05/01,7,22,50
2013/05/02,7,22,50
2013/05/03,6,20,48
2013/05/04,6,20,48
2013/05/05,6,19,47
2013/05/06,6,19,48
2013/05/07,6,18,47
2013/05/08,6,18,47
2013/05/09,6,18,47
2013/05/10,6,19,46
2013/05/11,6,18,45
2013/05/12,6,18,43
2013/05/13,6,18,42
2013/05/14,5,18,42
2013/05/15,5,19,43
2013/05/16,5,19,43
2013/05/17,5,18,43
2013/05/18,5,18,42
2013/05/19,5,17,40
2013/05/20,5,16,39
2013/05/21,5,16,36
2013/05/22,4,14,35
2013/05/23,4,14,33
2013/05/24,3,12,30
2013/05/25,3,12,30
2013/05/26,3,12,31
2013/05/27,3,12,31
2013/05/28,3,13,30
2013/05/29,3,13,29
2013/05/30,3,13,29
2013/05/31,3,11,28
2013/06/01,3,11,28
2013/06/02,3,11,26
2013/06/03,3,11,26
2013/06/04,3,12,26
2013/06/05,3,11,27
2013/06/06,3,11,27
2013/06/07,3,11,26
2013/06/08,3,11,26
2013/06/09,3,11,25
2013/06/10,3,12,25
2013/06/11,3,12,24
2013/06/12,3,11,24
2013/06/13,3,11,26
2013/06/14,3,10,24
2013/06/15,3,10,25
2013/06/16,2,10,25
2013/06/17,2,10,25
2013/06/18,2,10,25
2013/06/19,2,10,25
2013/06/20,2,10,24
2013/06/21,2,10,24
2013/06/22,2,10,24
2013/06/23,2,10,25
2013/06/24,2,11,27
2013/06/25,2,11,28
2013/06/26,2,11,28
2013/06/27,2,11,28
2013/06/28,2,9,29
2013/06/29,2,9,30
2013/06/30,3,9,32
2013/07/01,3,9,32
2013/07/02,3,10,32
2013/07/03,3,11,33
2013/07/04,3,11,35
2013/07/05,3,11,34
2013/07/06,2,10,33
2013/07/07,2,10,34
2013/07/08,2,9,35
2013/07/09,2,9,35
2013/07/10,2,10,35
2013/07/11,2,10,35
2013/07/12,2,10,34
2013/07/13,2,11,33
2013/07/14,2,12,34
2013/07/15,2,11,33
2013/07/16,2,13,32
2013/07/17,2,13,32
2013/07/18,2,14,34
2013/07/19,2,14,34
2013/07/20,2,14,35
2013/07/21,2,14,34
2013/07/22,2,14,34
2013/07/23,2,14,34
2013/07/24,2,14,32
2013/07/25,2,14,32
2013/07/26,2,14,35
2013/07/27,2,14,36
2013/07/28,2,13,35
2013/07/29,2,13,35
2013/07/30,1,13,33
2013/07/31,1,13,34
2013/08/01,1,12,34
2013/08/02,1,12,31
2013/08/03,1,12,29
2013/08/04,1,12,29
2013/08/05,1,12,29
2013/08/06,1,12,29
2013/08/07,1,12,28
2013/08/08,1,12,28
2013/08/09,1,11,28
2013/08/10,1,11,29
2013/08/11,1,11,29
2013/08/12,1,10,30
2013/08/13,1,11,30
2013/08/14,1,11,31
2013/08/15,1,11,33
2013/08/16,1,10,34
2013/08/17,1,9,32
2013/08/18,1,9,31
2013/08/19,1,9,30
2013/08/20,1,9,29
2013/08/21,1,9,29
2013/08/22,1,9,28
2013/08/23,1,9,28
2013/08/24,1,9,27
2013/08/25,1,9,24
2013/08/26,1,9,24
2013/08/27,1,9,24
2013/08/28,1,9,24
2013/08/29,1,10,25
2013/08/30,1,9,23
2013/08/31,1,9,23
2013/09/01,1,9,23
2013/09/02,1,9,23
2013/09/03,1,8,23
2013/09/04,1,8,22
2013/09/05,1,8,22
2013/09/06,1,8,22
2013/09/07,1,7,21
2013/09/08,1,7,21
2013/09/09,1,7,21
2013/09/10,1,7,21
2013/09/11,1,7,18
2013/09/12,1,7,19
2013/09/13,1,8,20
2013/09/14,1,8,20
2013/09/15,1,9,19
2013/09/16,1,9,19
2013/09/17,1,9,18
2013/09/18,1,9,19
2013/09/19,1,8,19
2013/09/20,1,6,20
2013/09/21,1,7,21
2013/09/22,1,7,22
2013/09/23,2,8,21
2013/09/24,2,8,21
2013/09/25,2,8,22
2013/09/26,2,7,21
2013/09/27,2,7,22
2013/09/28,2,8,24
2013/09/29,2,8,24
2013/09/30,2,8,25
2013/10/01,2,9,24
2013/10/02,1,9,24
2013/10/03,1,9,24
2013/10/04,1,9,24
2013/10/05,1,9,25
2013/10/06,1,9,25
2013/10/07,1,9,25
2013/10/08,1,9,24
2013/10/09,1,9,24
2013/10/10,1,9,25
2013/10/11,1,9,25
2013/10/12,1,8,23
2013/10/13,1,9,23
2013/10/14,1,9,23
2013/10/15,1,9,23
2013/10/16,1,9,23
2013/10/17,1,9,24
2013/10/18,1,9,25
2013/10/19,1,11,25
2013/10/20,1,12,27
2013/10/21,1,12,26
2013/10/22,1,12,27
2013/10/23,1,13,30
2013/10/24,1,14,31
2013/10/25,1,12,30
2013/10/26,1,12,31
2013/10/27,1,13,33
2013/10/28,1,12,30
2013/10/29,1,12,29
2013/10/30,1,12,28
2013/10/31,1,11,28
2013/11/01,1,11,28
2013/11/02,1,11,27
2013/11/03,1,11,29
2013/11/04,1,11,28
2013/11/05,1,12,29
2013/11/06,1,12,30
2013/11/07,1,12,32
2013/11/08,1,12,32
2013/11/09,1,12,31
2013/11/10,2,12,32
2013/11/11,2,12,33
2013/11/12,2,11,33
2013/11/13,2,12,34
2013/11/14,2,12,34
2013/11/15,2,12,37
2013/11/16,2,12,36
2013/11/17,2,12,36
2013/11/18,2,11,38
2013/11/19,2,9,37
2013/11/20,2,9,37
2013/11/21,2,8,38
2013/11/22,2,8,38
2013/11/23,2,9,37
2013/11/24,2,8,37
2013/11/25,2,11,38
2013/11/26,2,10,37
2013/11/27,2,10,35
2013/11/28,2,11,35
2013/11/29,2,10,36
2013/11/30,2,10,37
2013/12/01,2,10,37
2013/12/02,3,10,37
2013/12/03,3,10,35
2013/12/04,3,10,35
2013/12/05,3,10,34
2013/12/06,3,10,34
2013/12/07,3,10,32
2013/12/08,3,10,32
2013/12/09,3,11,33
2013/12/10,3,12,32
2013/12/11,3,12,34
2013/12/12,3,12,33
2013/12/13,3,12,31
2013/12/14,3,12,32
2013/12/15,3,11,30
2013/12/16,3,11,32
2013/12/17,3,11,32
2013/12/18,3,11,31
2013/12/19,3,11,32
2013/12/20,2,11,32
2013/12/21,2,11,31
2013/12/22,2,11,31
2013/12/23,3,11,30
2013/12/24,2,11,30
2013/12/25,2,11,28
2013/12/26,2,11,28
2013/12/27,2,11,31
2013/12/28,2,11,31
2013/12/29,2,11,31
2013/12/30,2,11,31
2013/12/31,2,11,30
2014/01/01,2,11,31
2014/01/02,2,11,31
2014/01/03,2,11,31
2014/01/04,3,11,32
2014/01/05,3,11,31
2014/01/06,3,11,31
2014/01/07,3,11,30
2014/01/08,3,11,31
2014/01/09,4,11,33
2014/01/10,4,10,30
2014/01/11,4,10,30
2014/01/12,4,10,29
2014/01/13,4,9,28
2014/01/14,4,10,29
2014/01/15,4,11,28
2014/01/16,5,11,27
2014/01/17,4,10,28
2014/01/18,4,10,27
2014/01/19,4,10,28
2014/01/20,4,10,29
2014/01/21,4,10,28
2014/01/22,4,10,31
2014/01/23,4,9,34
2014/01/24,4,11,36
2014/01/25,4,11,36
2014/01/26,4,11,35
2014/01/27,5,12,37
2014/01/28,5,12,38
2014/01/29,5,13,38
2014/01/30,5,13,40
2014/01/31,5,13,40
2014/02/01,5,13,41
2014/02/02,5,14,45
2014/02/03,5,15,47
2014/02/04,5,14,50
2014/02/05,5,15,50
2014/02/06,5,15,49
2014/02/07,5,14,50
2014/02/08,5,14,50
2014/02/09,5,14,50
2014/02/10,5,13,48
2014/02/11,5,13,48
2014/02/12,5,14,49
2014/02/13,5,14,47
2014/02/14,5,14,49
2014/02/15,5,14,49
2014/02/16,5,14,49
2014/02/17,5,14,48
2014/02/18,5,15,48
2014/02/19,5,15,47
2014/02/20,4,15,48
2014/02/21,5,15,45
2014/02/22,5,14,43
2014/02/23,5,12,43
2014/02/24,5,12,43
2014/02/25,5,12,42
2014/02/26,5,11,40
2014/02/27,5,10,40
2014/02/28,5,10,38
2014/03/01,5,10,37
2014/03/02,5,12,37
2014/03/03,5,11,36
2014/03/04,4,12,33
2014/03/05,4,11,31
2014/03/06,4,11,29
2014/03/07,4,11,29
2014/03/08,4,10,29
2014/03/09,5,11,28
2014/03/10,5,11,28
2014/03/11,4,10,27
2014/03/12,4,10,29
2014/03/13,4,10,30
2014/03/14,4,9,30
2014/03/15,4,9,32
2014/03/16,4,9,33
2014/03/17,4,9,32
2014/03/18,4,10,33
2014/03/19,4,10,32
2014/03/20,4,10,30
2014/03/21,4,10,31
2014/03/22,4,10,31
2014/03/23,4,10,32
2014/03/24,4,11,33
2014/03/25,4,11,32
2014/03/26,4,11,35
2014/03/27,4,11,36
2014/03/28,4,12,36
2014/03/29,4,12,36
2014/03/30,4,12,36
2014/03/31,4,13,36
2014/04/01,4,13,36
2014/04/02,4,14,38
2014/04/03,4,12,40
2014/04/04,4,12,40
2014/04/05,4,12,39
2014/04/06,4,12,40
2014/04/07,4,12,41
2014/04/08,4,12,42
2014/04/09,4,13,44
2014/04/10,4,14,43
2014/04/11,4,14,41
2014/04/12,4,14,43
2014/04/13,4,14,44
2014/04/14,4,14,42
2014/04/15,4,14,40
2014/04/16,5,13,41
2014/04/17,5,11,39
2014/04/18,5,11,40
2014/04/19,5,12,42
2014/04/20,5,14,42
2014/04/21,4,14,41
2014/04/22,4,14,40
2014/04/23,4,14,40
2014/04/24,4,14,41
2014/04/25,4,14,39
2014/04/26,4,14,39
2014/04/27,4,14,39
2014/04/28,4,14,39
2014/04/29,4,14,39
2014/04/30,4,13,38
2014/05/01,4,13,38
2014/05/02,4,12,38
2014/05/03,4,13,37
2014/05/04,4,12,38
2014/05/05,4,12,36
2014/05/06,4,11,36
2014/05/07,4,11,33
2014/05/08,4,11,32
2014/05/09,4,11,29
2014/05/10,4,11,29
2014/05/11,4,11,31
2014/05/12,4,11,29
2014/05/13,4,11,29
2014/05/14,4,11,30
2014/05/15,4,11,30
2014/05/16,4,11,30
2014/05/17,4,11,30
2014/05/18,4,11,30
2014/05/19,4,9,29
2014/05/20,4,8,29
2014/05/21,4,7,27
2014/05/22,4,7,27
2014/05/23,4,7,28
2014/05/24,2,7,29
2014/05/25,1,6,29
2014/05/26,,6,30
2014/05/27,,6,30
2014/05/28,,6,29
2014/05/29,,6,28
2014/05/30,,5,27
2014/05/31,,5,27
2014/06/01,,5,28
2014/06/02,,5,27
2014/06/03,,5,25
2014/06/04,,5,27
2014/06/05,,5,28
2014/06/06,,5,28
2014/06/07,,5,28
2014/06/08,,5,29
2014/06/09,,5,28
2014/06/10,,5,26
2014/06/11,,5,26
2014/06/12,,5,24
2014/06/13,,6,23
2014/06/14,,6,24
2014/06/15,,6,24
2014/06/16,,6,24
2014/06/17,,6,26
2014/06/18,,6,25
2014/06/19,,6,26
2014/06/20,,6,27
2014/06/21,1,7,29
2014/06/22,1,8,28
2014/06/23,1,9,28
2014/06/24,1,9,28
2014/06/25,1,9,27
2014/06/26,1,9,26
2014/06/27,1,9,27
2014/06/28,2,9,28
2014/06/29,2,10,30
2014/06/30,2,10,29
2014/07/01,2,10,30
2014/07/02,2,10,29
2014/07/03,2,11,30
2014/07/04,2,11,29
2014/07/05,2,11,29
2014/07/06,2,11,29
2014/07/07,2,11,30
2014/07/08,2,11,30
2014/07/09,2,11,31
2014/07/10,2,11,31
2014/07/11,2,10,31
2014/07/12,2,9,30
2014/07/13,2,9,32
2014/07/14,2,9,33
2014/07/15,2,9,32
2014/07/16,2,11,35
2014/07/17,2,11,33
2014/07/18,2,12,34
2014/07/19,1,12,33
2014/07/20,1,12,32
2014/07/21,1,11,31
2014/07/22,1,11,29
2014/07/23,2,10,28
2014/07/24,2,11,30
2014/07/25,2,11,31
2014/07/26,2,11,32
2014/07/27,2,10,32
2014/07/28,2,12,33
2014/07/29,3,12,31
2014/07/30,4,11,31
2014/07/31,4,12,31
2014/08/01,4,12,31
2014/08/02,4,11,32
2014/08/03,4,11,32
2014/08/04,4,12,32
2014/08/05,4,12,32
2014/08/06,4,12,31
2014/08/07,4,11,32
2014/08/08,4,11,31
2014/08/09,4,11,31
2014/08/10,4,11,30
2014/08/11,4,11,32
2014/08/12,4,11,31
2014/08/13,5,12,32
2014/08/14,5,12,32
2014/08/15,5,12,30
2014/08/16,5,13,34
2014/08/17,5,13,34
2014/08/18,5,14,34
2014/08/19,5,14,36
2014/08/20,4,13,36
2014/08/21,4,13,37
2014/08/22,4,13,36
2014/08/23,4,13,37
2014/08/24,3,13,39
2014/08/25,3,12,39
2014/08/26,3,14,40
2014/08/27,3,11,40
2014/08/28,3,12,40
2014/08/29,3,12,39
2014/08/30,4,13,37
2014/08/31,4,13,37
2014/09/01,4,13,36
2014/09/02,4,13,38
2014/09/03,4,13,38
2014/09/04,4,14,39
2014/09/05,4,15,39
2014/09/06,4,16,40
2014/09/07,4,16,40
2014/09/08,4,16,41
2014/09/09,6,17,42
2014/09/10,6,17,42
2014/09/11,6,17,45
2014/09/12,6,16,46
2014/09/13,6,16,46
2014/09/14,6,17,47
2014/09/15,6,17,46
2014/09/16,6,17,44
2014/09/17,6,17,43
2014/09/18,6,17,43
2014/09/19,6,17,42
2014/09/20,6,17,43
2014/09/21,6,17,43
2014/09/22,6,16,43
2014/09/23,6,15,43
2014/09/24,5,15,42
2014/09/25,6,15,43
2014/09/26,6,16,43
2014/09/27,7,16,44
2014/09/28,7,16,44
2014/09/29,7,16,45
2014/09/30,6,16,45
2014/10/01,6,16,45
2014/10/02,5,16,42
2014/10/03,5,16,42
2014/10/04,5,16,42
2014/10/05,5,14,42
2014/10/06,6,14,41
2014/10/07,6,15,42
2014/10/08,6,14,40
2014/10/09,6,14,43
2014/10/10,5,14,43
2014/10/11,5,14,40
2014/10/12,6,14,39
2014/10/13,6,13,40
2014/10/14,6,12,38
2014/10/15,6,12,35
2014/10/16,6,12,35
2014/10/17,6,12,36
2014/10/18,6,12,37
2014/10/19,6,13,39
2014/10/20,6,13,38
2014/10/21,6,13,37
2014/10/22,6,13,36
2014/10/23,6,13,36
2014/10/24,6,13,37
2014/10/25,6,13,36
2014/10/26,6,13,35
2014/10/27,7,15,38
2014/10/28,7,15,38
2014/10/29,7,15,37
2014/10/30,7,15,38
2014/10/31,7,14,37
2014/11/01,7,14,37
2014/11/02,7,14,37
2014/11/03,7,14,36
2014/11/04,7,14,35
2014/11/05,7,15,36
2014/11/06,7,16,36
2014/11/07,7,15,37
2014/11/08,7,17,37
2014/11/09,7,17,36
2014/11/10,7,17,37
2014/11/11,6,18,38
2014/11/12,6,18,38
2014/11/13,6,18,38
2014/11/14,6,17,38
2014/11/15,6,17,38
2014/11/16,6,16,40
2014/11/17,6,16,42
2014/11/18,6,17,40
2014/11/19,6,17,40
2014/11/20,6,17,41
2014/11/21,6,17,43
2014/11/22,6,17,42
2014/11/23,6,17,41
2014/11/24,6,18,41
2014/11/25,5,18,40
2014/11/26,5,17,39
2014/11/27,5,17,39
2014/11/28,5,17,39
2014/11/29,5,17,38
2014/11/30,5,17,37
2014/12/01,5,17,37
2014/12/02,4,17,37
2014/12/03,4,17,38
2014/12/04,4,17,40
2014/12/05,4,17,40
2014/12/06,4,17,40
2014/12/07,3,18,40
2014/12/08,3,19,40
2014/12/09,3,19,39
2014/12/10,3,18,38
2014/12/11,3,18,36
2014/12/12,3,17,35
2014/12/13,3,16,36
2014/12/14,3,16,36
2014/12/15,3,16,36
2014/12/16,3,17,34
2014/12/17,3,18,32
2014/12/18,3,17,32
2014/12/19,3,16,31
2014/12/20,3,16,30
2014/12/21,2,16,28
2014/12/22,2,16,30
2014/12/23,2,14,33
2014/12/24,2,15,32
2014/12/25,2,15,32
2014/12/26,3,14,31
2014/12/27,3,15,31
2014/12/28,3,15,31
2014/12/29,3,15,32
2014/12/30,4,15,33
2014/12/31,4,16,33
2015/01/01,4,15,32
2015/01/02,4,16,31
2015/01/03,4,16,30
2015/01/04,3,15,30
2015/01/05,3,15,31
2015/01/06,3,15,30
2015/01/07,3,14,29
2015/01/08,3,14,28
2015/01/09,3,15,28
2015/01/10,4,15,28
2015/01/11,4,15,29
2015/01/12,4,16,29
2015/01/13,4,16,29
2015/01/14,5,16,29
2015/01/15,5,14,30
2015/01/16,5,16,30
2015/01/17,5,17,32
2015/01/18,6,17,33
2015/01/19,6,17,34
2015/01/20,6,16,37
2015/01/21,6,15,38
2015/01/22,7,15,37
2015/01/23,7,16,41
2015/01/24,6,17,42
2015/01/25,6,18,43
2015/01/26,6,18,43
2015/01/27,6,18,45
2015/01/28,6,19,48
2015/01/29,6,20,48
2015/01/30,7,20,48
2015/01/31,7,20,50
2015/02/01,7,21,50
2015/02/02,7,21,54
2015/02/03,7,21,55
2015/02/04,8,21,55
2015/02/05,8,21,57
2015/02/06,9,21,57
2015/02/07,9,20,57
2015/02/08,10,21,58
2015/02/09,10,21,57
2015/02/10,10,20,57
2015/02/11,10,20,57
2015/02/12,11,20,57
2015/02/13,11,20,60
2015/02/14,11,20,59
2015/02/15,11,20,59
2015/02/16,11,20,61
2015/02/17,11,19,61
2015/02/18,11,19,61
2015/02/19,10,21,60
2015/02/20,10,20,59
2015/02/21,11,20,58
2015/02/22,11,20,56
2015/02/23,11,19,55
2015/02/24,11,20,56
2015/02/25,11,20,57
2015/02/26,11,20,55
2015/02/27,11,19,53
2015/02/28,11,19,52
2015/03/01,11,20,52
2015/03/02,11,20,50
2015/03/03,11,20,51
2015/03/04,11,20,46
2015/03/05,11,20,45
2015/03/06,11,20,44
2015/03/07,11,19,42
2015/03/08,11,19,44
2015/03/09,11,19,45
2015/03/10,11,19,43
2015/03/11,11,19,43
2015/03/12,11,19,45
2015/03/13,11,18,45
2015/03/14,11,18,44
2015/03/15,11,18,42
2015/03/16,12,18,41
2015/03/17,12,19,41
2015/03/18,10,17,39
2015/03/19,10,17,39
2015/03/20,10,17,40
2015/03/21,10,16,40
2015/03/22,10,16,40
2015/03/23,10,17,42
2015/03/24,10,18,42
2015/03/25,10,18,45
2015/03/26,8,17,45
2015/03/27,8,17,45
2015/03/28,8,18,45
2015/03/29,9,18,44
2015/03/30,9,18,44
2015/03/31,8,17,43
2015/04/01,9,17,45
2015/04/02,9,17,47
2015/04/03,9,17,46
2015/04/04,9,17,47
2015/04/05,9,18,48
2015/04/06,9,18,47
2015/04/07,9,18,45
2015/04/08,9,19,45
2015/04/09,9,19,45
2015/04/10,9,19,46
2015/04/11,9,19,46
2015/04/12,9,19,46
2015/04/13,8,19,48
2015/04/14,8,21,49
2015/04/15,8,20,48
2015/04/16,7,20,46
2015/04/17,7,20,47
2015/04/18,7,20,46
2015/04/19,6,20,47
2015/04/20,6,20,46
2015/04/21,6,20,48
2015/04/22,6,21,48
2015/04/23,6,21,46
2015/04/24,7,22,46
2015/04/25,7,22,46
2015/04/26,7,24,50
2015/04/27,7,24,51
2015/04/28,7,24,51
2015/04/29,6,24,54
2015/04/30,6,25,56
2015/05/01,6,25,54
2015/05/02,6,24,54
2015/05/03,6,25,54
2015/05/04,6,24,55
2015/05/05,6,23,53
2015/05/06,5,23,55
2015/05/07,5,23,54
2015/05/08,5,20,55
2015/05/09,5,21,57
2015/05/10,5,21,55
2015/05/11,5,21,54
2015/05/12,5,21,54
2015/05/13,5,21,56
2015/05/14,5,21,55
2015/05/15,5,20,56
2015/05/16,7,20,58
2015/05/17,7,21,59
2015/05/18,6,21,58
2015/05/19,7,21,59
2015/05/20,7,21,60
2015/05/21,6,20,61
2015/05/22,7,19,61
2015/05/23,7,20,60
2015/05/24,9,20,58
2015/05/25,8,21,59
2015/05/26,8,19,58
2015/05/27,9,19,54
2015/05/28,9,19,54
2015/05/29,9,20,53
2015/05/30,9,21,53
2015/05/31,9,21,56
2015/06/01,9,21,53
2015/06/02,9,21,52
2015/06/03,9,21,53
2015/06/04,9,21,51
2015/06/05,9,21,50
2015/06/06,9,21,51
2015/06/07,9,20,51
2015/06/08,9,19,51
2015/06/09,9,19,52
2015/06/10,9,19,52
2015/06/11,9,19,52
2015/06/12,9,19,51
2015/06/13,9,18,51
2015/06/14,9,18,49
2015/06/15,9,18,48
2015/06/16,9,18,46
2015/06/17,9,17,45
2015/06/18,9,18,41
2015/06/19,9,18,40
2015/06/20,9,18,39
2015/06/21,9,18,38
2015/06/22,9,18,38
2015/06/23,9,18,40
2015/06/24,9,17,39
2015/06/25,9,16,37
2015/06/26,9,16,38
2015/06/27,9,16,39
2015/06/28,9,15,40
2015/06/29,9,14,40
2015/06/30,9,14,38
2015/07/01,9,14,38
2015/07/02,9,14,39
2015/07/03,9,14,40
2015/07/04,8,14,40
2015/07/05,8,13,40
2015/07/06,8,14,40
2015/07/07,8,14,39
2015/07/08,8,15,38
2015/07/09,8,15,38
2015/07/10,8,15,37
2015/07/11,8,15,38
2015/07/12,8,15,38
2015/07/13,7,15,38
2015/07/14,7,14,40
2015/07/15,7,14,43
2015/07/16,7,14,43
2015/07/17,7,14,43
2015/07/18,7,14,43
2015/07/19,7,14,43
2015/07/20,7,13,43
2015/07/21,7,13,42
2015/07/22,7,13,42
2015/07/23,7,12,42
2015/07/24,7,12,43
2015/07/25,7,13,42
2015/07/26,7,13,42
2015/07/27,7,13,42
2015/07/28,7,13,41
