date,tlwiki (100+),tlwiki (5+),tlwiki (all)
2012/11/19,12,54,146
2012/11/20,12,54,147
2012/11/21,12,54,146
2012/11/22,12,52,147
2012/11/23,13,52,148
2012/11/24,13,52,150
2012/11/25,13,51,154
2012/11/26,13,53,155
2012/11/27,13,57,157
2012/11/28,13,58,155
2012/11/29,13,58,156
2012/11/30,12,56,156
2012/12/01,12,58,153
2012/12/02,12,53,153
2012/12/03,13,50,147
2012/12/04,13,50,151
2012/12/05,13,50,150
2012/12/06,13,52,149
2012/12/07,14,51,149
2012/12/08,14,53,153
2012/12/09,14,52,156
2012/12/10,14,52,158
2012/12/11,14,54,160
2012/12/12,14,54,157
2012/12/13,14,54,154
2012/12/14,14,54,154
2012/12/15,13,52,152
2012/12/16,13,51,153
2012/12/17,13,50,149
2012/12/18,14,48,151
2012/12/19,13,46,147
2012/12/20,13,46,145
2012/12/21,13,46,146
2012/12/22,13,45,143
2012/12/23,13,45,146
2012/12/24,13,45,146
2012/12/25,13,45,142
2012/12/26,13,44,141
2012/12/27,12,41,141
2012/12/28,11,41,141
2012/12/29,12,42,140
2012/12/30,14,42,143
2012/12/31,14,41,143
2013/01/01,14,41,142
2013/01/02,13,41,144
2013/01/03,13,42,144
2013/01/04,13,42,144
2013/01/05,13,43,144
2013/01/06,12,43,147
2013/01/07,12,43,147
2013/01/08,12,45,143
2013/01/09,13,47,141
2013/01/10,14,48,142
2013/01/11,14,49,144
2013/01/12,14,51,147
2013/01/13,14,52,143
2013/01/14,13,53,144
2013/01/15,13,53,142
2013/01/16,13,54,143
2013/01/17,14,55,141
2013/01/18,14,57,150
2013/01/19,15,58,150
2013/01/20,15,57,150
2013/01/21,15,57,150
2013/01/22,14,56,155
2013/01/23,14,56,156
2013/01/24,15,57,158
2013/01/25,15,57,156
2013/01/26,16,57,156
2013/01/27,17,57,155
2013/01/28,16,55,156
2013/01/29,17,55,152
2013/01/30,17,54,152
2013/01/31,17,55,156
2013/02/01,16,55,159
2013/02/02,16,55,155
2013/02/03,17,56,155
2013/02/04,17,56,158
2013/02/05,17,57,156
2013/02/06,17,57,156
2013/02/07,17,58,161
2013/02/08,17,59,162
2013/02/09,16,60,163
2013/02/10,16,61,161
2013/02/11,15,59,158
2013/02/12,16,57,157
2013/02/13,17,60,157
2013/02/14,17,60,158
2013/02/15,17,60,160
2013/02/16,17,61,157
2013/02/17,16,59,152
2013/02/18,16,58,155
2013/02/19,16,59,155
2013/02/20,16,60,160
2013/02/21,16,60,158
2013/02/22,16,59,159
2013/02/23,17,58,155
2013/02/24,16,58,154
2013/02/25,15,59,151
2013/02/26,15,58,153
2013/02/27,15,56,155
2013/02/28,15,56,155
2013/03/01,15,57,155
2013/03/02,14,56,151
2013/03/03,15,58,153
2013/03/04,15,56,152
2013/03/05,14,56,148
2013/03/06,13,53,143
2013/03/07,13,53,145
2013/03/08,14,53,142
2013/03/09,15,53,137
2013/03/10,15,52,138
2013/03/11,15,53,140
2013/03/12,16,54,144
2013/03/13,15,56,142
2013/03/14,15,56,144
2013/03/15,15,56,148
2013/03/16,15,56,148
2013/03/17,14,54,144
2013/03/18,14,53,144
2013/03/19,13,53,143
2013/03/20,13,52,141
2013/03/21,13,51,140
2013/03/22,13,50,135
2013/03/23,14,50,131
2013/03/24,15,47,125
2013/03/25,15,46,124
2013/03/26,15,44,125
2013/03/27,15,44,124
2013/03/28,15,42,125
2013/03/29,15,41,121
2013/03/30,14,41,123
2013/03/31,14,41,120
2013/04/01,13,42,124
2013/04/02,14,39,124
2013/04/03,12,38,119
2013/04/04,11,38,121
2013/04/05,11,34,123
2013/04/06,11,32,117
2013/04/07,11,31,115
2013/04/08,10,33,116
2013/04/09,10,36,120
2013/04/10,10,34,116
2013/04/11,10,33,115
2013/04/12,11,31,115
2013/04/13,11,31,115
2013/04/14,11,29,107
2013/04/15,11,31,109
2013/04/16,11,31,106
2013/04/17,11,32,106
2013/04/18,12,33,108
2013/04/19,12,33,107
2013/04/20,12,34,108
2013/04/21,12,34,111
2013/04/22,12,34,115
2013/04/23,12,35,117
2013/04/24,12,37,118
2013/04/25,12,37,117
2013/04/26,12,37,116
2013/04/27,12,36,115
2013/04/28,13,37,117
2013/04/29,12,37,111
2013/04/30,14,37,115
2013/05/01,13,37,113
2013/05/02,14,38,111
2013/05/03,12,36,111
2013/05/04,12,33,110
2013/05/05,12,34,109
2013/05/06,12,33,107
2013/05/07,12,33,107
2013/05/08,11,31,107
2013/05/09,11,29,105
2013/05/10,11,29,101
2013/05/11,11,32,101
2013/05/12,12,32,99
2013/05/13,11,32,98
2013/05/14,9,33,100
2013/05/15,9,33,100
2013/05/16,9,35,106
2013/05/17,9,35,105
2013/05/18,9,34,104
2013/05/19,8,34,103
2013/05/20,9,34,100
2013/05/21,7,34,100
2013/05/22,7,34,98
2013/05/23,7,34,102
2013/05/24,9,34,101
2013/05/25,8,34,100
2013/05/26,9,34,101
2013/05/27,9,35,102
2013/05/28,8,35,103
2013/05/29,8,34,103
2013/05/30,8,35,98
2013/05/31,10,35,98
2013/06/01,9,32,98
2013/06/02,8,32,98
2013/06/03,8,34,96
2013/06/04,8,35,101
2013/06/05,9,35,102
2013/06/06,8,40,103
2013/06/07,8,41,101
2013/06/08,8,42,102
2013/06/09,8,42,104
2013/06/10,9,40,103
2013/06/11,9,40,108
2013/06/12,9,40,110
2013/06/13,10,40,111
2013/06/14,9,41,108
2013/06/15,9,40,107
2013/06/16,9,40,112
2013/06/17,9,40,110
2013/06/18,10,42,114
2013/06/19,10,43,116
2013/06/20,10,42,115
2013/06/21,10,41,117
2013/06/22,9,43,115
2013/06/23,9,41,117
2013/06/24,9,42,119
2013/06/25,9,42,118
2013/06/26,9,42,115
2013/06/27,10,43,120
2013/06/28,10,42,124
2013/06/29,11,42,121
2013/06/30,11,40,120
2013/07/01,11,41,118
2013/07/02,11,42,120
2013/07/03,10,44,125
2013/07/04,10,43,122
2013/07/05,9,43,124
2013/07/06,9,42,126
2013/07/07,9,42,124
2013/07/08,8,40,127
2013/07/09,9,40,128
2013/07/10,9,43,131
2013/07/11,8,42,126
2013/07/12,8,42,124
2013/07/13,9,43,125
2013/07/14,9,42,124
2013/07/15,9,41,124
2013/07/16,9,40,119
2013/07/17,9,40,120
2013/07/18,9,40,119
2013/07/19,9,41,120
2013/07/20,9,42,122
2013/07/21,8,41,125
2013/07/22,8,41,124
2013/07/23,6,39,122
2013/07/24,7,38,118
2013/07/25,7,37,117
2013/07/26,7,37,119
2013/07/27,7,36,113
2013/07/28,7,35,110
2013/07/29,5,36,113
2013/07/30,5,35,116
2013/07/31,5,35,117
2013/08/01,5,34,116
2013/08/02,5,32,112
2013/08/03,5,33,113
2013/08/04,5,34,113
2013/08/05,5,34,111
2013/08/06,5,32,110
2013/08/07,6,32,111
2013/08/08,6,33,112
2013/08/09,6,32,109
2013/08/10,6,34,113
2013/08/11,6,35,114
2013/08/12,6,35,115
2013/08/13,6,35,117
2013/08/14,6,35,115
2013/08/15,6,36,115
2013/08/16,6,36,118
2013/08/17,6,35,118
2013/08/18,6,35,120
2013/08/19,7,36,118
2013/08/20,7,41,115
2013/08/21,7,40,116
2013/08/22,7,38,117
2013/08/23,6,39,118
2013/08/24,6,39,115
2013/08/25,6,39,114
2013/08/26,7,39,113
2013/08/27,7,38,112
2013/08/28,7,37,108
2013/08/29,7,39,108
2013/08/30,7,37,102
2013/08/31,7,37,102
2013/09/01,6,40,100
2013/09/02,6,42,99
2013/09/03,6,40,96
2013/09/04,6,41,98
2013/09/05,6,40,99
2013/09/06,6,41,99
2013/09/07,5,40,97
2013/09/08,5,38,95
2013/09/09,5,37,93
2013/09/10,5,37,93
2013/09/11,5,36,86
2013/09/12,5,34,85
2013/09/13,5,34,88
2013/09/14,5,34,89
2013/09/15,5,35,89
2013/09/16,5,34,88
2013/09/17,5,34,87
2013/09/18,3,35,91
2013/09/19,3,35,92
2013/09/20,3,35,93
2013/09/21,3,33,92
2013/09/22,3,34,92
2013/09/23,3,36,90
2013/09/24,3,37,92
2013/09/25,3,34,91
2013/09/26,3,37,93
2013/09/27,3,37,94
2013/09/28,3,37,92
2013/09/29,3,38,97
2013/09/30,3,37,99
2013/10/01,3,36,99
2013/10/02,3,35,101
2013/10/03,3,35,101
2013/10/04,3,34,98
2013/10/05,3,35,99
2013/10/06,3,33,98
2013/10/07,3,33,102
2013/10/08,3,37,106
2013/10/09,3,37,109
2013/10/10,2,39,111
2013/10/11,2,39,112
2013/10/12,2,40,112
2013/10/13,2,40,110
2013/10/14,2,40,110
2013/10/15,3,41,112
2013/10/16,3,38,113
2013/10/17,5,38,116
2013/10/18,5,39,111
2013/10/19,5,38,110
2013/10/20,5,39,107
2013/10/21,5,40,112
2013/10/22,5,40,111
2013/10/23,5,40,111
2013/10/24,6,40,112
2013/10/25,6,41,113
2013/10/26,6,40,112
2013/10/27,6,40,113
2013/10/28,7,39,113
2013/10/29,7,38,106
2013/10/30,7,39,104
2013/10/31,7,39,105
2013/11/01,7,38,102
2013/11/02,7,39,103
2013/11/03,7,39,104
2013/11/04,7,38,103
2013/11/05,7,37,106
2013/11/06,7,37,105
2013/11/07,7,37,101
2013/11/08,8,37,100
2013/11/09,8,34,99
2013/11/10,8,35,99
2013/11/11,8,34,98
2013/11/12,9,34,99
2013/11/13,9,33,99
2013/11/14,9,33,100
2013/11/15,9,34,101
2013/11/16,8,36,105
2013/11/17,8,34,109
2013/11/18,7,33,105
2013/11/19,7,33,107
2013/11/20,7,31,104
2013/11/21,7,31,105
2013/11/22,7,31,105
2013/11/23,6,29,103
2013/11/24,6,28,103
2013/11/25,6,28,102
2013/11/26,6,29,102
2013/11/27,6,28,101
2013/11/28,6,29,101
2013/11/29,5,30,104
2013/11/30,5,30,103
2013/12/01,5,30,106
2013/12/02,5,30,106
2013/12/03,5,31,106
2013/12/04,5,32,110
2013/12/05,5,30,107
2013/12/06,5,32,108
2013/12/07,5,31,107
2013/12/08,5,32,109
2013/12/09,5,32,111
2013/12/10,4,32,113
2013/12/11,4,31,112
2013/12/12,4,31,114
2013/12/13,4,30,112
2013/12/14,4,29,111
2013/12/15,4,29,107
2013/12/16,4,27,104
2013/12/17,4,26,99
2013/12/18,4,27,101
2013/12/19,4,27,100
2013/12/20,4,26,98
2013/12/21,3,27,97
2013/12/22,3,27,96
2013/12/23,3,28,95
2013/12/24,3,28,94
2013/12/25,3,27,92
2013/12/26,4,25,92
2013/12/27,4,25,93
2013/12/28,3,26,92
2013/12/29,4,25,91
2013/12/30,4,24,91
2013/12/31,4,26,88
2014/01/01,4,28,90
2014/01/02,4,27,89
2014/01/03,4,28,89
2014/01/04,2,28,90
2014/01/05,2,27,90
2014/01/06,2,27,95
2014/01/07,2,26,97
2014/01/08,2,27,97
2014/01/09,1,26,98
2014/01/10,1,24,98
2014/01/11,1,24,101
2014/01/12,1,23,98
2014/01/13,1,22,96
2014/01/14,1,21,96
2014/01/15,2,23,98
2014/01/16,3,22,101
2014/01/17,3,22,102
2014/01/18,2,22,102
2014/01/19,3,21,102
2014/01/20,3,22,103
2014/01/21,3,22,102
2014/01/22,3,23,101
2014/01/23,3,24,101
2014/01/24,3,24,102
2014/01/25,3,26,106
2014/01/26,4,27,107
2014/01/27,4,28,109
2014/01/28,4,29,109
2014/01/29,3,32,113
2014/01/30,3,32,115
2014/01/31,3,31,120
2014/02/01,3,31,120
2014/02/02,3,31,119
2014/02/03,3,31,116
2014/02/04,3,31,119
2014/02/05,3,32,120
2014/02/06,4,32,118
2014/02/07,3,32,117
2014/02/08,3,32,117
2014/02/09,3,32,120
2014/02/10,3,33,125
2014/02/11,3,35,126
2014/02/12,3,32,125
2014/02/13,3,33,128
2014/02/14,3,33,126
2014/02/15,2,33,132
2014/02/16,2,34,134
2014/02/17,3,34,133
2014/02/18,3,34,134
2014/02/19,3,37,133
2014/02/20,3,36,133
2014/02/21,3,38,134
2014/02/22,3,37,134
2014/02/23,4,37,133
2014/02/24,4,35,127
2014/02/25,3,32,127
2014/02/26,3,32,128
2014/02/27,3,32,130
2014/02/28,3,30,128
2014/03/01,3,31,131
2014/03/02,3,33,130
2014/03/03,3,33,128
2014/03/04,3,33,129
2014/03/05,3,35,134
2014/03/06,3,37,131
2014/03/07,3,37,130
2014/03/08,3,36,129
2014/03/09,3,35,128
2014/03/10,3,36,127
2014/03/11,3,34,122
2014/03/12,3,33,120
2014/03/13,3,34,119
2014/03/14,3,33,122
2014/03/15,3,32,114
2014/03/16,3,31,115
2014/03/17,4,33,110
2014/03/18,4,33,110
2014/03/19,4,33,112
2014/03/20,4,32,108
2014/03/21,4,32,106
2014/03/22,4,32,109
2014/03/23,4,33,107
2014/03/24,4,33,107
2014/03/25,4,34,107
2014/03/26,3,32,106
2014/03/27,3,34,107
2014/03/28,3,35,106
2014/03/29,3,32,102
2014/03/30,3,30,98
2014/03/31,3,28,92
2014/04/01,3,26,90
2014/04/02,4,25,89
2014/04/03,4,23,86
2014/04/04,4,25,82
2014/04/05,4,24,83
2014/04/06,4,24,82
2014/04/07,4,24,82
2014/04/08,4,24,81
2014/04/09,4,24,81
2014/04/10,4,25,82
2014/04/11,4,25,82
2014/04/12,4,25,81
2014/04/13,4,26,80
2014/04/14,4,26,82
2014/04/15,4,26,83
2014/04/16,3,23,81
2014/04/17,3,25,78
2014/04/18,3,22,79
2014/04/19,3,22,78
2014/04/20,3,22,81
2014/04/21,2,24,79
2014/04/22,1,24,81
2014/04/23,1,23,82
2014/04/24,1,25,81
2014/04/25,1,25,81
2014/04/26,1,23,83
2014/04/27,1,24,86
2014/04/28,1,24,87
2014/04/29,2,26,89
2014/04/30,2,25,89
2014/05/01,2,26,89
2014/05/02,2,26,92
2014/05/03,2,26,91
2014/05/04,3,25,92
2014/05/05,3,24,91
2014/05/06,3,25,95
2014/05/07,3,25,97
2014/05/08,3,26,100
2014/05/09,4,29,102
2014/05/10,4,28,102
2014/05/11,4,27,97
2014/05/12,4,27,97
2014/05/13,4,26,98
2014/05/14,4,26,99
2014/05/15,4,24,103
2014/05/16,4,25,106
2014/05/17,4,24,107
2014/05/18,4,26,106
2014/05/19,4,26,108
2014/05/20,4,25,104
2014/05/21,4,24,101
2014/05/22,4,24,101
2014/05/23,4,25,106
2014/05/24,4,26,106
2014/05/25,4,25,109
2014/05/26,4,25,108
2014/05/27,4,25,103
2014/05/28,4,23,100
2014/05/29,4,23,102
2014/05/30,4,24,101
2014/05/31,4,24,100
2014/06/01,4,26,101
2014/06/02,4,28,103
2014/06/03,3,29,101
2014/06/04,4,30,101
2014/06/05,4,29,100
2014/06/06,4,30,102
2014/06/07,3,29,100
2014/06/08,3,26,98
2014/06/09,3,27,97
2014/06/10,3,27,106
2014/06/11,3,31,112
2014/06/12,3,35,113
2014/06/13,3,34,112
2014/06/14,4,35,110
2014/06/15,4,35,111
2014/06/16,4,36,113
2014/06/17,4,36,112
2014/06/18,4,36,112
2014/06/19,4,37,114
2014/06/20,4,37,117
2014/06/21,5,38,117
2014/06/22,5,38,111
2014/06/23,5,38,109
2014/06/24,5,38,110
2014/06/25,5,38,111
2014/06/26,5,37,114
2014/06/27,5,38,117
2014/06/28,5,38,116
2014/06/29,5,36,117
2014/06/30,5,37,120
2014/07/01,4,37,119
2014/07/02,4,38,118
2014/07/03,4,36,120
2014/07/04,4,36,119
2014/07/05,4,38,114
2014/07/06,4,38,112
2014/07/07,4,38,111
2014/07/08,4,37,114
2014/07/09,4,38,117
2014/07/10,4,37,112
2014/07/11,5,37,109
2014/07/12,5,32,106
2014/07/13,5,30,108
2014/07/14,4,30,107
2014/07/15,4,30,108
2014/07/16,3,30,105
2014/07/17,3,30,106
2014/07/18,3,32,108
2014/07/19,3,32,108
2014/07/20,3,33,107
2014/07/21,3,30,105
2014/07/22,3,30,105
2014/07/23,3,30,108
2014/07/24,3,31,108
2014/07/25,3,31,105
2014/07/26,3,29,100
2014/07/27,3,28,98
2014/07/28,3,28,96
2014/07/29,3,26,99
2014/07/30,3,26,98
2014/07/31,3,25,99
2014/08/01,3,24,101
2014/08/02,3,24,100
2014/08/03,3,24,100
2014/08/04,3,24,104
2014/08/05,3,26,108
2014/08/06,3,25,110
2014/08/07,4,25,108
2014/08/08,4,23,110
2014/08/09,4,24,112
2014/08/10,4,22,113
2014/08/11,4,22,114
2014/08/12,5,24,113
2014/08/13,5,25,114
2014/08/14,4,24,114
2014/08/15,4,24,115
2014/08/16,4,24,116
2014/08/17,5,25,118
2014/08/18,6,25,117
2014/08/19,7,26,121
2014/08/20,7,28,129
2014/08/21,6,28,128
2014/08/22,6,28,128
2014/08/23,6,27,128
2014/08/24,6,30,134
2014/08/25,6,31,136
2014/08/26,6,32,143
2014/08/27,6,33,144
2014/08/28,6,34,143
2014/08/29,6,35,143
2014/08/30,6,34,142
2014/08/31,7,33,140
2014/09/01,7,33,137
2014/09/02,7,33,137
2014/09/03,7,33,138
2014/09/04,7,32,137
2014/09/05,7,32,143
2014/09/06,7,32,140
2014/09/07,7,31,139
2014/09/08,7,31,140
2014/09/09,7,32,137
2014/09/10,7,34,137
2014/09/11,7,35,136
2014/09/12,6,33,133
2014/09/13,6,33,130
2014/09/14,6,34,128
2014/09/15,6,34,125
2014/09/16,6,34,126
2014/09/17,5,34,126
2014/09/18,5,34,125
2014/09/19,5,32,120
2014/09/20,5,32,123
2014/09/21,5,32,121
2014/09/22,5,31,118
2014/09/23,5,29,118
2014/09/24,4,30,117
2014/09/25,4,29,113
2014/09/26,4,30,116
2014/09/27,4,29,108
2014/09/28,4,28,109
2014/09/29,4,28,109
2014/09/30,4,29,109
2014/10/01,4,29,111
2014/10/02,4,28,110
2014/10/03,4,27,108
2014/10/04,4,27,105
2014/10/05,4,26,97
2014/10/06,4,26,99
2014/10/07,4,27,100
2014/10/08,4,27,100
2014/10/09,4,27,103
2014/10/10,4,26,100
2014/10/11,4,26,104
2014/10/12,4,25,106
2014/10/13,4,25,108
2014/10/14,4,26,106
2014/10/15,5,27,104
2014/10/16,5,28,104
2014/10/17,5,30,105
2014/10/18,5,29,104
2014/10/19,5,29,111
2014/10/20,5,29,113
2014/10/21,5,29,112
2014/10/22,5,29,112
2014/10/23,5,30,113
2014/10/24,5,30,111
2014/10/25,5,31,106
2014/10/26,6,33,109
2014/10/27,6,32,110
2014/10/28,6,32,111
2014/10/29,6,33,111
2014/10/30,5,33,110
2014/10/31,5,33,113
2014/11/01,5,34,112
2014/11/02,5,34,112
2014/11/03,5,34,113
2014/11/04,5,34,113
2014/11/05,5,38,113
2014/11/06,5,37,110
2014/11/07,5,37,106
2014/11/08,4,37,102
2014/11/09,4,38,101
2014/11/10,4,38,100
2014/11/11,3,38,105
2014/11/12,3,37,105
2014/11/13,3,36,107
2014/11/14,4,36,106
2014/11/15,4,35,105
2014/11/16,4,35,105
2014/11/17,4,33,103
2014/11/18,4,33,97
2014/11/19,4,33,96
2014/11/20,3,33,96
2014/11/21,3,32,99
2014/11/22,3,30,96
2014/11/23,3,30,97
2014/11/24,3,30,99
2014/11/25,2,26,97
2014/11/26,2,25,98
2014/11/27,2,25,96
2014/11/28,2,24,99
2014/11/29,2,24,101
2014/11/30,3,24,97
2014/12/01,3,25,100
2014/12/02,3,25,100
2014/12/03,3,26,101
2014/12/04,3,26,104
2014/12/05,3,24,101
2014/12/06,3,23,103
2014/12/07,3,22,106
2014/12/08,3,24,109
2014/12/09,3,24,109
2014/12/10,3,25,111
2014/12/11,3,24,106
2014/12/12,3,22,105
2014/12/13,3,22,102
2014/12/14,3,21,101
2014/12/15,3,21,99
2014/12/16,3,21,100
2014/12/17,3,22,103
2014/12/18,3,22,103
2014/12/19,3,21,102
2014/12/20,3,20,101
2014/12/21,3,20,98
2014/12/22,3,21,99
2014/12/23,3,24,99
2014/12/24,3,24,97
2014/12/25,3,24,98
2014/12/26,3,25,96
2014/12/27,3,25,91
2014/12/28,3,25,92
2014/12/29,3,23,91
2014/12/30,3,22,95
2014/12/31,3,21,95
2015/01/01,3,22,92
2015/01/02,3,21,93
2015/01/03,3,21,92
2015/01/04,4,21,94
2015/01/05,4,21,94
2015/01/06,4,20,95
2015/01/07,4,20,96
2015/01/08,4,19,95
2015/01/09,4,18,92
2015/01/10,4,18,94
2015/01/11,4,18,95
2015/01/12,3,19,92
2015/01/13,3,20,95
2015/01/14,3,20,93
2015/01/15,3,20,94
2015/01/16,2,18,87
2015/01/17,2,18,90
2015/01/18,2,18,88
2015/01/19,2,18,91
2015/01/20,2,18,92
2015/01/21,2,18,92
2015/01/22,2,15,90
2015/01/23,2,15,92
2015/01/24,2,14,90
2015/01/25,2,13,92
2015/01/26,2,14,92
2015/01/27,2,13,93
2015/01/28,2,13,90
2015/01/29,2,14,92
2015/01/30,2,16,89
2015/01/31,2,15,91
2015/02/01,2,15,94
2015/02/02,2,16,97
2015/02/03,2,18,97
2015/02/04,2,19,97
2015/02/05,1,19,99
2015/02/06,1,19,101
2015/02/07,1,20,101
2015/02/08,2,20,105
2015/02/09,2,21,105
2015/02/10,1,23,110
2015/02/11,2,23,114
2015/02/12,3,22,116
2015/02/13,3,23,118
2015/02/14,3,24,117
2015/02/15,3,24,117
2015/02/16,3,25,118
2015/02/17,3,25,117
2015/02/18,2,26,114
2015/02/19,2,26,112
2015/02/20,2,26,114
2015/02/21,2,27,114
2015/02/22,2,26,118
2015/02/23,2,26,120
2015/02/24,2,28,118
2015/02/25,2,30,119
2015/02/26,2,30,122
2015/02/27,2,33,121
2015/02/28,2,35,119
2015/03/01,2,36,123
2015/03/02,2,32,128
2015/03/03,2,32,124
2015/03/04,3,31,122
2015/03/05,3,32,118
2015/03/06,3,34,119
2015/03/07,3,33,117
2015/03/08,3,33,115
2015/03/09,4,33,118
2015/03/10,4,34,118
2015/03/11,4,33,115
2015/03/12,4,33,113
2015/03/13,3,33,112
2015/03/14,3,33,109
2015/03/15,3,32,109
2015/03/16,3,32,112
2015/03/17,3,31,112
2015/03/18,3,29,112
2015/03/19,3,28,111
2015/03/20,3,28,109
2015/03/21,4,29,111
2015/03/22,4,29,109
2015/03/23,4,29,108
2015/03/24,4,29,107
2015/03/25,4,29,106
2015/03/26,4,29,106
2015/03/27,4,29,107
2015/03/28,4,29,104
2015/03/29,4,29,102
2015/03/30,4,27,101
2015/03/31,3,27,102
2015/04/01,3,27,96
2015/04/02,2,26,96
2015/04/03,2,26,95
2015/04/04,2,27,96
2015/04/05,2,26,95
2015/04/06,2,27,93
2015/04/07,2,27,94
2015/04/08,2,26,90
2015/04/09,2,25,87
2015/04/10,1,25,88
2015/04/11,1,26,88
2015/04/12,1,24,88
2015/04/13,2,25,89
2015/04/14,2,27,91
2015/04/15,2,28,87
2015/04/16,1,28,88
2015/04/17,1,29,89
2015/04/18,1,26,87
2015/04/19,1,26,87
2015/04/20,1,24,82
2015/04/21,1,24,81
2015/04/22,1,24,83
2015/04/23,1,24,82
2015/04/24,1,24,79
2015/04/25,1,24,81
2015/04/26,1,24,87
2015/04/27,1,24,86
2015/04/28,1,25,89
2015/04/29,1,25,87
2015/04/30,1,24,87
2015/05/01,1,23,84
2015/05/02,1,25,82
2015/05/03,1,25,83
2015/05/04,1,26,83
2015/05/05,1,27,84
2015/05/06,1,26,86
2015/05/07,1,25,86
2015/05/08,1,25,82
2015/05/09,1,22,84
2015/05/10,1,22,89
2015/05/11,1,22,87
2015/05/12,1,21,87
2015/05/13,1,19,83
2015/05/14,1,19,83
2015/05/15,1,20,83
2015/05/16,,19,82
2015/05/17,1,21,84
2015/05/18,,21,85
2015/05/19,,21,87
2015/05/20,,21,88
2015/05/21,,21,88
2015/05/22,,21,89
2015/05/23,,21,88
2015/05/24,,21,89
2015/05/25,,23,89
2015/05/26,,21,85
2015/05/27,1,21,82
2015/05/28,1,20,79
2015/05/29,1,19,81
2015/05/30,1,20,84
