date,kaawiki (100+),kaawiki (5+),kaawiki (all)
2012/11/10,1,13,31
2012/11/11,1,14,32
2012/11/12,1,15,32
2012/11/13,1,16,30
2012/11/14,1,16,30
2012/11/15,1,15,30
2012/11/16,1,15,31
2012/11/17,1,15,31
2012/11/18,1,14,31
2012/11/19,1,15,31
2012/11/20,1,14,31
2012/11/21,1,15,29
2012/11/22,1,14,29
2012/11/23,1,14,30
2012/11/24,1,15,30
2012/11/25,1,15,30
2012/11/26,,16,29
2012/11/27,,14,29
2012/11/28,,14,30
2012/11/29,,15,31
2012/11/30,,16,32
2012/12/01,,16,33
2012/12/02,,16,35
2012/12/03,,15,35
2012/12/04,,16,33
2012/12/05,,16,33
2012/12/06,,16,33
2012/12/07,,16,33
2012/12/08,,16,34
2012/12/09,,16,33
2012/12/10,,16,33
2012/12/11,,15,33
2012/12/12,,14,33
2012/12/13,,14,34
2012/12/14,,14,34
2012/12/15,,14,35
2012/12/16,,15,34
2012/12/17,,15,33
2012/12/18,,15,35
2012/12/19,,15,35
2012/12/20,,15,34
2012/12/21,,16,36
2012/12/22,,17,37
2012/12/23,,17,38
2012/12/24,,16,38
2012/12/25,,16,38
2012/12/26,,15,40
2012/12/27,,15,40
2012/12/28,,15,40
2012/12/29,,15,40
2012/12/30,,15,40
2012/12/31,,16,39
2013/01/01,,15,38
2013/01/02,,16,36
2013/01/03,,16,36
2013/01/04,,14,36
2013/01/05,,14,35
2013/01/06,,14,35
2013/01/07,,14,34
2013/01/08,,13,34
2013/01/09,,13,35
2013/01/10,,12,36
2013/01/11,1,12,37
2013/01/12,1,12,37
2013/01/13,1,12,37
2013/01/14,1,11,37
2013/01/15,1,11,40
2013/01/16,1,12,42
2013/01/17,1,15,44
2013/01/18,1,15,43
2013/01/19,1,16,44
2013/01/20,1,16,42
2013/01/21,1,15,40
2013/01/22,1,16,39
2013/01/23,1,16,37
2013/01/24,1,16,36
2013/01/25,1,15,35
2013/01/26,1,17,36
2013/01/27,1,18,35
2013/01/28,1,17,35
2013/01/29,1,17,36
2013/01/30,1,17,36
2013/01/31,1,17,36
2013/02/01,1,17,36
2013/02/02,1,16,36
2013/02/03,1,16,37
2013/02/04,1,16,37
2013/02/05,,16,38
2013/02/06,1,15,38
2013/02/07,1,15,39
2013/02/08,1,16,39
2013/02/09,1,16,37
2013/02/10,1,16,36
2013/02/11,1,16,37
2013/02/12,1,17,37
2013/02/13,1,18,37
2013/02/14,1,18,34
2013/02/15,1,16,32
2013/02/16,1,13,33
2013/02/17,1,13,32
2013/02/18,1,13,31
2013/02/19,1,13,31
2013/02/20,1,13,30
2013/02/21,1,13,29
2013/02/22,1,13,29
2013/02/23,1,13,29
2013/02/24,1,13,29
2013/02/25,1,12,28
2013/02/26,1,12,28
2013/02/27,1,12,28
2013/02/28,1,12,27
2013/03/01,1,12,27
2013/03/02,1,11,27
2013/03/03,1,10,27
2013/03/04,1,10,28
2013/03/05,1,10,27
2013/03/06,1,10,28
2013/03/07,1,10,28
2013/03/08,2,11,28
2013/03/09,2,11,27
2013/03/10,2,10,25
2013/03/11,2,10,24
2013/03/12,2,10,25
2013/03/13,2,10,24
2013/03/14,2,9,24
2013/03/15,1,9,22
2013/03/16,1,9,21
2013/03/17,1,9,18
2013/03/18,1,9,15
2013/03/19,1,9,15
2013/03/20,1,9,15
2013/03/21,1,9,16
2013/03/22,1,9,15
2013/03/23,1,9,15
2013/03/24,1,8,14
2013/03/25,1,8,14
2013/03/26,1,8,13
2013/03/27,1,8,14
2013/03/28,1,8,14
2013/03/29,1,8,14
2013/03/30,1,7,14
2013/03/31,1,7,13
2013/04/01,1,6,13
2013/04/02,1,6,13
2013/04/03,1,5,13
2013/04/04,1,3,11
2013/04/05,1,2,9
2013/04/06,1,2,7
2013/04/07,1,2,7
2013/04/08,,2,9
2013/04/09,,2,9
2013/04/10,,2,9
2013/04/11,,2,9
2013/04/12,,2,10
2013/04/13,,2,10
2013/04/14,,2,10
2013/04/15,,2,10
2013/04/16,,2,10
2013/04/17,,2,10
2013/04/18,,2,10
2013/04/19,,2,10
2013/04/20,,2,10
2013/04/21,,2,10
2013/04/22,,2,10
2013/04/23,,2,10
2013/04/24,,2,10
2013/04/25,,2,10
2013/04/26,,2,9
2013/04/27,,2,9
2013/04/28,,2,10
2013/04/29,,2,10
2013/04/30,,2,9
2013/05/01,,2,9
2013/05/02,,2,8
2013/05/03,,1,7
2013/05/04,,1,7
2013/05/05,,1,7
2013/05/06,,1,7
2013/05/07,,1,7
2013/05/08,,1,7
2013/05/09,,1,7
2013/05/10,,1,7
2013/05/11,,1,8
2013/05/12,,1,7
2013/05/13,,1,7
2013/05/14,,1,7
2013/05/15,,1,8
2013/05/16,,1,8
2013/05/17,,1,7
2013/05/18,,1,7
2013/05/19,,1,8
2013/05/20,,1,7
2013/05/21,,1,7
2013/05/22,,1,7
2013/05/23,,1,7
2013/05/24,,1,7
2013/05/25,,1,7
2013/05/26,,1,7
2013/05/27,,1,7
2013/05/28,,1,6
2013/05/29,,1,6
2013/05/30,,1,6
2013/05/31,,1,8
2013/06/01,,1,8
2013/06/02,,1,8
2013/06/03,,1,8
2013/06/04,,1,8
2013/06/05,,,8
2013/06/06,,,8
2013/06/07,,,7
2013/06/08,,,7
2013/06/09,,,8
2013/06/10,,,7
2013/06/11,,,7
2013/06/12,,,7
2013/06/13,,,7
2013/06/14,,,7
2013/06/15,,,7
2013/06/16,,,8
2013/06/17,,,7
2013/06/18,,,6
2013/06/19,,,6
2013/06/20,,,7
2013/06/21,,,7
2013/06/22,,,8
2013/06/23,,,8
2013/06/24,,,8
2013/06/25,,,8
2013/06/26,,,8
2013/06/27,,,8
2013/06/28,,,8
2013/06/29,,,9
2013/06/30,,,7
2013/07/01,,,7
2013/07/02,,1,8
2013/07/03,,1,8
2013/07/04,,,8
2013/07/05,,,8
2013/07/06,,,8
2013/07/07,,,8
2013/07/08,,,8
2013/07/09,,,8
2013/07/10,,,8
2013/07/11,,,9
2013/07/12,,,9
2013/07/13,,,10
2013/07/14,,,10
2013/07/15,,,10
2013/07/16,,,9
2013/07/17,,,9
2013/07/18,,,9
2013/07/19,,,9
2013/07/20,,,8
2013/07/21,,,8
2013/07/22,,,8
2013/07/23,,,8
2013/07/24,,,8
2013/07/25,,,9
2013/07/26,,,9
2013/07/27,,,9
2013/07/28,,,9
2013/07/29,,,8
2013/07/30,,,8
2013/07/31,,,8
2013/08/01,,,7
2013/08/02,,,7
2013/08/03,,,7
2013/08/04,,,7
2013/08/05,,,7
2013/08/06,,,7
2013/08/07,,1,7
2013/08/08,,1,6
2013/08/09,,1,7
2013/08/10,,1,6
2013/08/11,,1,6
2013/08/12,,1,7
2013/08/13,,1,6
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,8
2013/08/17,,,9
2013/08/18,,,9
2013/08/19,,,9
2013/08/20,,,9
2013/08/21,,,9
2013/08/22,,,9
2013/08/23,,,9
2013/08/24,,,8
2013/08/25,,,8
2013/08/26,,,8
2013/08/27,,,8
2013/08/28,,,8
2013/08/29,,,9
2013/08/30,,,8
2013/08/31,,,8
2013/09/01,,,8
2013/09/02,,,7
2013/09/03,,,7
2013/09/04,,,7
2013/09/05,,,7
2013/09/06,,,6
2013/09/07,,,7
2013/09/08,,,6
2013/09/09,,,6
2013/09/10,,,6
2013/09/11,,,4
2013/09/12,,,4
2013/09/13,,,3
2013/09/14,,,3
2013/09/15,,,3
2013/09/16,,,2
2013/09/17,,,2
2013/09/18,,,2
2013/09/19,,,2
2013/09/20,,,2
2013/09/21,,,2
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,,2
2013/09/25,,,2
2013/09/26,,,2
2013/09/27,,,2
2013/09/28,,1,4
2013/09/29,,1,4
2013/09/30,,1,4
2013/10/01,,1,4
2013/10/02,,1,4
2013/10/03,,2,4
2013/10/04,,2,4
2013/10/05,,2,4
2013/10/06,,2,4
2013/10/07,,2,5
2013/10/08,,2,5
2013/10/09,,1,5
2013/10/10,,1,5
2013/10/11,,1,5
2013/10/12,,1,5
2013/10/13,,1,5
2013/10/14,,1,7
2013/10/15,,1,6
2013/10/16,,1,7
2013/10/17,,1,7
2013/10/18,,1,7
2013/10/19,,1,8
2013/10/20,,1,8
2013/10/21,,1,8
2013/10/22,,1,8
2013/10/23,,1,8
2013/10/24,,1,8
2013/10/25,,1,8
2013/10/26,,1,8
2013/10/27,,1,8
2013/10/28,,,7
2013/10/29,,,8
2013/10/30,,,9
2013/10/31,,,8
2013/11/01,,,8
2013/11/02,,,8
2013/11/03,,,8
2013/11/04,,,8
2013/11/05,,,8
2013/11/06,,,7
2013/11/07,,,7
2013/11/08,,,7
2013/11/09,,,7
2013/11/10,,,7
2013/11/11,,,7
2013/11/12,,,7
2013/11/13,,,5
2013/11/14,,,5
2013/11/15,,,4
2013/11/16,,,4
2013/11/17,,,4
2013/11/18,,,4
2013/11/19,,,4
2013/11/20,,,4
2013/11/21,,,4
2013/11/22,,,4
2013/11/23,,,4
2013/11/24,,,4
2013/11/25,,,5
2013/11/26,,,5
2013/11/27,,,5
2013/11/28,,,5
2013/11/29,,,4
2013/11/30,,,4
2013/12/01,,,4
2013/12/02,,,4
2013/12/03,,,4
2013/12/04,,,4
2013/12/05,,,4
2013/12/06,,,4
2013/12/07,,,4
2013/12/08,,,5
2013/12/09,,,5
2013/12/10,,1,5
2013/12/11,,1,5
2013/12/12,,1,4
2013/12/13,,,4
2013/12/14,,,4
2013/12/15,,,4
2013/12/16,,,5
2013/12/17,,,5
2013/12/18,,,5
2013/12/19,,,5
2013/12/20,,,5
2013/12/21,,,5
2013/12/22,,,5
2013/12/23,,,5
2013/12/24,,,5
2013/12/25,,,4
2013/12/26,,,4
2013/12/27,,,4
2013/12/28,,,4
2013/12/29,,,4
2013/12/30,,,4
2013/12/31,,,3
2014/01/01,,,3
2014/01/02,,,3
2014/01/03,,,3
2014/01/04,,,3
2014/01/05,,,3
2014/01/06,,,4
2014/01/07,,,3
2014/01/08,,,3
2014/01/09,,,3
2014/01/10,,,3
2014/01/11,,,3
2014/01/12,,,3
2014/01/13,,,3
2014/01/14,,,4
2014/01/15,,,3
2014/01/16,,,3
2014/01/17,,,3
2014/01/18,,,3
2014/01/19,,,4
2014/01/20,,,4
2014/01/21,,,5
2014/01/22,,,5
2014/01/23,,,5
2014/01/24,,,5
2014/01/25,,,5
2014/01/26,,,5
2014/01/27,,,5
