date,ruwiki (100+),ruwiki (5+),ruwiki (all)
2012/10/25,667,4434,11646
2012/10/26,672,4425,11606
2012/10/27,678,4428,11600
2012/10/28,686,4436,11587
2012/10/29,694,4431,11635
2012/10/30,681,4460,11670
2012/10/31,680,4461,11649
2012/11/01,679,4488,11638
2012/11/02,681,4505,11672
2012/11/03,676,4503,11652
2012/11/04,689,4510,11655
2012/11/05,688,4516,11657
2012/11/06,689,4516,11712
2012/11/07,696,4541,11758
2012/11/08,696,4538,11761
2012/11/09,702,4558,11798
2012/11/10,697,4567,11859
2012/11/11,710,4575,11881
2012/11/12,714,4582,11942
2012/11/13,714,4568,12005
2012/11/14,711,4563,12018
2012/11/15,706,4545,12031
2012/11/16,706,4569,12033
2012/11/17,705,4582,12040
2012/11/18,703,4590,12051
2012/11/19,695,4611,12086
2012/11/20,699,4658,12155
2012/11/21,706,4650,12156
2012/11/22,719,4627,12147
2012/11/23,706,4625,12176
2012/11/24,702,4634,12157
2012/11/25,706,4638,12136
2012/11/26,697,4633,12159
2012/11/27,694,4641,12210
2012/11/28,695,4654,12212
2012/11/29,690,4628,12211
2012/11/30,693,4607,12224
2012/12/01,694,4629,12266
2012/12/02,712,4620,12295
2012/12/03,703,4632,12349
2012/12/04,701,4638,12428
2012/12/05,691,4634,12424
2012/12/06,695,4645,12463
2012/12/07,699,4645,12417
2012/12/08,706,4636,12410
2012/12/09,701,4620,12426
2012/12/10,710,4623,12408
2012/12/11,700,4611,12404
2012/12/12,694,4598,12377
2012/12/13,693,4626,12371
2012/12/14,692,4620,12358
2012/12/15,700,4615,12350
2012/12/16,704,4604,12341
2012/12/17,701,4606,12322
2012/12/18,695,4606,12350
2012/12/19,690,4615,12345
2012/12/20,690,4601,12300
2012/12/21,689,4601,12239
2012/12/22,688,4593,12196
2012/12/23,694,4583,12137
2012/12/24,707,4582,12163
2012/12/25,703,4589,12179
2012/12/26,695,4588,12156
2012/12/27,697,4572,12115
2012/12/28,707,4562,12090
2012/12/29,712,4522,12047
2012/12/30,716,4509,12001
2012/12/31,701,4481,11915
2013/01/01,694,4456,11782
2013/01/02,701,4449,11676
2013/01/03,698,4452,11662
2013/01/04,704,4446,11684
2013/01/05,705,4441,11641
2013/01/06,708,4462,11662
2013/01/07,716,4474,11628
2013/01/08,719,4502,11662
2013/01/09,716,4482,11676
2013/01/10,718,4509,11717
2013/01/11,724,4555,11754
2013/01/12,727,4551,11787
2013/01/13,734,4556,11826
2013/01/14,736,4580,11819
2013/01/15,739,4597,11865
2013/01/16,736,4617,11935
2013/01/17,735,4644,11965
2013/01/18,734,4654,11971
2013/01/19,738,4658,12012
2013/01/20,736,4668,12018
2013/01/21,733,4684,12043
2013/01/22,731,4691,12134
2013/01/23,729,4691,12168
2013/01/24,739,4691,12138
2013/01/25,741,4694,12179
2013/01/26,736,4706,12203
2013/01/27,740,4711,12216
2013/01/28,738,4727,12278
2013/01/29,744,4740,12355
2013/01/30,742,4785,12464
2013/01/31,741,4821,12577
2013/02/01,742,4852,12651
2013/02/02,738,4866,12655
2013/02/03,738,4855,12661
2013/02/04,731,4873,12651
2013/02/05,729,4837,12649
2013/02/06,724,4830,12656
2013/02/07,718,4821,12626
2013/02/08,718,4831,12612
2013/02/09,713,4838,12580
2013/02/10,713,4799,12542
2013/02/11,714,4793,12535
2013/02/12,703,4780,12517
2013/02/13,705,4785,12543
2013/02/14,711,4782,12509
2013/02/15,707,4778,12471
2013/02/16,707,4765,12439
2013/02/17,708,4744,12414
2013/02/18,729,4859,12637
2013/02/19,705,4762,12463
2013/02/20,696,4725,12435
2013/02/21,697,4730,12432
2013/02/22,700,4735,12424
2013/02/23,699,4752,12381
2013/02/24,697,4761,12335
2013/02/25,704,4767,12341
2013/02/26,711,4780,12330
2013/02/27,701,4766,12332
2013/02/28,693,4758,12291
2013/03/01,685,4734,12242
2013/03/02,689,4706,12194
2013/03/03,682,4682,12221
2013/03/04,683,4679,12248
2013/03/05,686,4682,12284
2013/03/06,688,4665,12264
2013/03/07,687,4640,12210
2013/03/08,679,4618,12178
2013/03/09,675,4592,12145
2013/03/10,679,4600,12165
2013/03/11,679,4604,12200
2013/03/12,672,4609,12218
2013/03/13,670,4587,12240
2013/03/14,672,4577,12233
2013/03/15,674,4556,12237
2013/03/16,673,4540,12268
2013/03/17,680,4522,12253
2013/03/18,679,4505,12262
2013/03/19,669,4521,12269
2013/03/20,660,4529,12286
2013/03/21,656,4543,12276
2013/03/22,661,4537,12324
2013/03/23,669,4551,12294
2013/03/24,664,4540,12278
2013/03/25,669,4544,12350
2013/03/26,651,4566,12405
2013/03/27,650,4546,12402
2013/03/28,654,4546,12405
2013/03/29,658,4546,12411
2013/03/30,658,4550,12427
2013/03/31,660,4563,12412
2013/04/01,662,4551,12466
2013/04/02,660,4542,12471
2013/04/03,649,4542,12462
2013/04/04,645,4556,12470
2013/04/05,641,4582,12493
2013/04/06,636,4578,12556
2013/04/07,632,4586,12555
2013/04/08,632,4630,12645
2013/04/09,645,4616,12660
2013/04/10,643,4598,12622
2013/04/11,642,4596,12593
2013/04/12,641,4585,12553
2013/04/13,641,4597,12526
2013/04/14,646,4601,12447
2013/04/15,656,4611,12456
2013/04/16,660,4602,12448
2013/04/17,658,4619,12408
2013/04/18,660,4617,12408
2013/04/19,669,4612,12320
2013/04/20,668,4582,12270
2013/04/21,672,4547,12200
2013/04/22,671,4527,12206
2013/04/23,670,4545,12235
2013/04/24,665,4524,12231
2013/04/25,665,4524,12181
2013/04/26,651,4524,12141
2013/04/27,649,4488,12084
2013/04/28,649,4439,12025
2013/04/29,658,4434,11976
2013/04/30,659,4428,11997
2013/05/01,658,4425,11954
2013/05/02,651,4423,11918
2013/05/03,657,4404,11850
2013/05/04,655,4383,11767
2013/05/05,656,4374,11739
2013/05/06,658,4367,11694
2013/05/07,654,4396,11725
2013/05/08,648,4359,11645
2013/05/09,644,4331,11576
2013/05/10,643,4317,11537
2013/05/11,638,4286,11504
2013/05/12,649,4296,11519
2013/05/13,658,4281,11513
2013/05/14,656,4288,11579
2013/05/15,658,4301,11603
2013/05/16,659,4321,11632
2013/05/17,655,4300,11643
2013/05/18,655,4296,11607
2013/05/19,648,4305,11569
2013/05/20,661,4301,11603
2013/05/21,659,4320,11682
2013/05/22,647,4323,11709
2013/05/23,658,4323,11718
2013/05/24,654,4328,11681
2013/05/25,637,4330,11681
2013/05/26,643,4332,11600
2013/05/27,642,4336,11592
2013/05/28,656,4353,11616
2013/05/29,651,4378,11660
2013/05/30,646,4376,11664
2013/05/31,651,4379,11665
2013/06/01,654,4378,11707
2013/06/02,660,4420,11725
2013/06/03,661,4435,11755
2013/06/04,661,4459,11749
2013/06/05,655,4467,11759
2013/06/06,653,4468,11732
2013/06/07,666,4453,11738
2013/06/08,673,4452,11703
2013/06/09,678,4461,11711
2013/06/10,681,4452,11687
2013/06/11,672,4426,11699
2013/06/12,670,4411,11680
2013/06/13,676,4401,11670
2013/06/14,674,4401,11607
2013/06/15,670,4421,11582
2013/06/16,675,4408,11498
2013/06/17,681,4413,11490
2013/06/18,674,4437,11495
2013/06/19,671,4442,11490
2013/06/20,667,4450,11471
2013/06/21,664,4428,11424
2013/06/22,662,4419,11343
2013/06/23,669,4380,11304
2013/06/24,662,4373,11269
2013/06/25,663,4359,11329
2013/06/26,664,4357,11328
2013/06/27,665,4338,11319
2013/06/28,664,4307,11290
2013/06/29,664,4266,11237
2013/06/30,662,4224,11173
2013/07/01,660,4242,11158
2013/07/02,658,4217,11160
2013/07/03,653,4198,11147
2013/07/04,648,4169,11144
2013/07/05,643,4160,11130
2013/07/06,640,4133,11101
2013/07/07,645,4115,11019
2013/07/08,640,4105,10983
2013/07/09,639,4112,10964
2013/07/10,641,4116,10979
2013/07/11,644,4092,10942
2013/07/12,646,4110,10901
2013/07/13,637,4094,10842
2013/07/14,633,4078,10752
2013/07/15,620,4060,10721
2013/07/16,624,4066,10749
2013/07/17,629,4093,10775
2013/07/18,637,4078,10757
2013/07/19,628,4076,10710
2013/07/20,619,4078,10685
2013/07/21,619,4063,10619
2013/07/22,616,4046,10535
2013/07/23,607,4062,10571
2013/07/24,602,4067,10632
2013/07/25,598,4066,10595
2013/07/26,599,4066,10577
2013/07/27,595,4051,10539
2013/07/28,594,4035,10444
2013/07/29,594,4025,10437
2013/07/30,598,4054,10519
2013/07/31,607,4043,10550
2013/08/01,604,4030,10569
2013/08/02,595,4054,10552
2013/08/03,602,4033,10496
2013/08/04,599,4036,10485
2013/08/05,597,4036,10441
2013/08/06,593,4065,10475
2013/08/07,590,4080,10548
2013/08/08,598,4088,10542
2013/08/09,598,4071,10514
2013/08/10,597,4057,10537
2013/08/11,599,4015,10507
2013/08/12,595,4005,10480
2013/08/13,598,3994,10584
2013/08/14,596,3997,10623
2013/08/15,600,3975,10632
2013/08/16,594,3969,10608
2013/08/17,595,3950,10598
2013/08/18,592,3929,10606
2013/08/19,587,3915,10587
2013/08/20,583,3912,10614
2013/08/21,572,3922,10675
2013/08/22,571,3915,10711
2013/08/23,558,3904,10700
2013/08/24,555,3864,10739
2013/08/25,559,3855,10711
2013/08/26,561,3834,10703
2013/08/27,561,3842,10774
2013/08/28,558,3864,10847
2013/08/29,555,3863,10826
2013/08/30,563,3863,10826
2013/08/31,559,3861,10808
2013/09/01,557,3839,10765
2013/09/02,559,3831,10727
2013/09/03,559,3826,10723
2013/09/04,561,3814,10725
2013/09/05,557,3810,10684
2013/09/06,561,3785,10643
2013/09/07,559,3764,10622
2013/09/08,556,3755,10602
2013/09/09,554,3730,10559
2013/09/10,544,3757,10607
2013/09/11,544,3771,10643
2013/09/12,547,3755,10602
2013/09/13,546,3722,10523
2013/09/14,537,3691,10511
2013/09/15,539,3670,10462
2013/09/16,543,3644,10443
2013/09/17,540,3667,10491
2013/09/18,544,3676,10502
2013/09/19,537,3680,10513
2013/09/20,543,3695,10519
2013/09/21,537,3701,10513
2013/09/22,543,3694,10452
2013/09/23,538,3685,10407
2013/09/24,533,3685,10435
2013/09/25,537,3665,10427
2013/09/26,533,3661,10397
2013/09/27,535,3659,10384
2013/09/28,540,3636,10348
2013/09/29,542,3610,10297
2013/09/30,543,3564,10242
2013/10/01,548,3587,10266
2013/10/02,542,3600,10302
2013/10/03,544,3607,10333
2013/10/04,550,3602,10366
2013/10/05,551,3595,10391
2013/10/06,555,3600,10376
2013/10/07,558,3608,10395
2013/10/08,545,3607,10433
2013/10/09,550,3621,10481
2013/10/10,551,3623,10535
2013/10/11,555,3624,10520
2013/10/12,557,3647,10562
2013/10/13,553,3669,10572
2013/10/14,558,3697,10587
2013/10/15,557,3699,10651
2013/10/16,549,3694,10689
2013/10/17,549,3684,10696
2013/10/18,547,3662,10738
2013/10/19,548,3667,10714
2013/10/20,555,3655,10677
2013/10/21,557,3653,10631
2013/10/22,551,3674,10701
2013/10/23,550,3638,10706
2013/10/24,546,3633,10683
2013/10/25,554,3635,10689
2013/10/26,554,3656,10703
2013/10/27,550,3632,10625
2013/10/28,554,3646,10599
2013/10/29,557,3653,10680
2013/10/30,555,3657,10693
2013/10/31,549,3664,10732
2013/11/01,550,3665,10721
2013/11/02,548,3635,10716
2013/11/03,555,3626,10666
2013/11/04,553,3658,10663
2013/11/05,553,3680,10705
2013/11/06,554,3676,10723
2013/11/07,559,3692,10856
2013/11/08,556,3695,10885
2013/11/09,555,3692,10903
2013/11/10,556,3686,10905
2013/11/11,560,3691,10918
2013/11/12,560,3692,10924
2013/11/13,555,3683,10916
2013/11/14,555,3691,10926
2013/11/15,556,3693,10891
2013/11/16,550,3682,10899
2013/11/17,552,3692,10881
2013/11/18,549,3704,10902
2013/11/19,547,3722,10946
2013/11/20,547,3753,10972
2013/11/21,546,3744,10979
2013/11/22,540,3769,11041
2013/11/23,541,3780,11044
2013/11/24,538,3774,10994
2013/11/25,543,3771,10999
2013/11/26,545,3793,11102
2013/11/27,543,3797,11091
2013/11/28,539,3794,11064
2013/11/29,542,3809,11066
2013/11/30,541,3790,11005
2013/12/01,546,3787,11007
2013/12/02,553,3791,10990
2013/12/03,548,3811,11010
2013/12/04,549,3834,11073
2013/12/05,544,3831,11104
2013/12/06,543,3828,11116
2013/12/07,534,3824,10999
2013/12/08,535,3836,10955
2013/12/09,543,3851,10924
2013/12/10,540,3889,10923
2013/12/11,537,3891,10917
2013/12/12,541,3898,10925
2013/12/13,533,3890,10884
2013/12/14,530,3887,10860
2013/12/15,539,3895,10844
2013/12/16,536,3903,10830
2013/12/17,541,3918,10868
2013/12/18,546,3915,10898
2013/12/19,544,3942,10904
2013/12/20,541,3949,10909
2013/12/21,536,3948,10892
2013/12/22,541,3917,10856
2013/12/23,545,3927,10852
2013/12/24,543,3919,10898
2013/12/25,536,3910,10907
2013/12/26,537,3904,10879
2013/12/27,534,3909,10886
2013/12/28,527,3876,10849
2013/12/29,527,3870,10808
2013/12/30,528,3873,10789
2013/12/31,520,3856,10780
2014/01/01,523,3824,10698
2014/01/02,530,3807,10657
2014/01/03,541,3801,10652
2014/01/04,540,3778,10621
2014/01/05,554,3770,10607
2014/01/06,560,3769,10630
2014/01/07,554,3765,10640
2014/01/08,554,3766,10651
2014/01/09,561,3752,10630
2014/01/10,559,3782,10683
2014/01/11,568,3821,10774
2014/01/12,567,3859,10845
2014/01/13,566,3849,10897
2014/01/14,577,3861,10952
2014/01/15,576,3897,11022
2014/01/16,578,3931,11051
2014/01/17,577,3939,11045
2014/01/18,582,3957,11073
2014/01/19,579,3970,11036
2014/01/20,587,3988,11079
2014/01/21,596,3997,11132
2014/01/22,601,4001,11189
2014/01/23,607,4023,11215
2014/01/24,607,4032,11244
2014/01/25,612,4058,11282
2014/01/26,612,4046,11287
2014/01/27,620,4067,11351
2014/01/28,631,4112,11447
2014/01/29,633,4152,11521
2014/01/30,633,4169,11604
2014/01/31,633,4240,11770
2014/02/01,635,4283,11879
2014/02/02,641,4292,11912
2014/02/03,637,4300,11922
2014/02/04,640,4325,11975
2014/02/05,637,4366,11992
2014/02/06,636,4388,12006
2014/02/07,629,4404,12024
2014/02/08,622,4399,12041
2014/02/09,622,4403,12023
2014/02/10,615,4391,11983
2014/02/11,614,4356,11947
2014/02/12,614,4359,11947
2014/02/13,605,4364,11933
2014/02/14,610,4348,11850
2014/02/15,607,4313,11740
2014/02/16,612,4300,11709
2014/02/17,617,4290,11704
2014/02/18,612,4292,11706
2014/02/19,608,4300,11693
2014/02/20,611,4297,11699
2014/02/21,604,4310,11616
2014/02/22,604,4309,11572
2014/02/23,600,4282,11534
2014/02/24,599,4255,11500
2014/02/25,593,4230,11458
2014/02/26,588,4215,11454
2014/02/27,584,4199,11413
2014/02/28,582,4185,11353
2014/03/01,588,4153,11292
2014/03/02,589,4125,11198
2014/03/03,583,4084,11128
2014/03/04,574,4084,11140
2014/03/05,566,4079,11090
2014/03/06,563,4066,11039
2014/03/07,561,4058,10993
2014/03/08,554,4016,10934
2014/03/09,560,3987,10881
2014/03/10,561,3986,10863
2014/03/11,575,3984,10837
2014/03/12,568,3959,10785
2014/03/13,573,3966,10773
2014/03/14,576,3948,10779
2014/03/15,575,3930,10750
2014/03/16,565,3932,10727
2014/03/17,561,3943,10796
2014/03/18,562,3966,10820
2014/03/19,560,3990,10882
2014/03/20,567,4006,10896
2014/03/21,570,4002,10926
2014/03/22,559,4007,10905
2014/03/23,555,4006,10929
2014/03/24,559,4015,10969
2014/03/25,558,4032,11021
2014/03/26,558,4050,11051
2014/03/27,551,4066,11070
2014/03/28,552,4072,11059
2014/03/29,544,4071,11046
2014/03/30,546,4065,11017
2014/03/31,550,4080,11039
2014/04/01,551,4113,11126
2014/04/02,554,4133,11185
2014/04/03,562,4146,11161
2014/04/04,562,4157,11166
2014/04/05,569,4176,11173
2014/04/06,569,4177,11162
2014/04/07,570,4185,11240
2014/04/08,567,4192,11276
2014/04/09,564,4190,11277
2014/04/10,556,4179,11295
2014/04/11,557,4179,11321
2014/04/12,564,4157,11313
2014/04/13,565,4135,11257
2014/04/14,566,4154,11252
2014/04/15,568,4134,11266
2014/04/16,562,4118,11258
2014/04/17,564,4133,11241
2014/04/18,564,4108,11189
2014/04/19,558,4097,11173
2014/04/20,556,4081,11093
2014/04/21,556,4074,11049
2014/04/22,564,4090,11055
2014/04/23,567,4082,11050
2014/04/24,561,4071,11046
2014/04/25,561,4064,11046
2014/04/26,558,4048,11029
2014/04/27,559,4031,10975
2014/04/28,555,3997,10931
2014/04/29,549,4000,10939
2014/04/30,550,3995,10930
2014/05/01,554,3969,10876
2014/05/02,554,3942,10825
2014/05/03,548,3910,10788
2014/05/04,536,3891,10774
2014/05/05,541,3863,10757
2014/05/06,534,3876,10792
2014/05/07,531,3889,10761
2014/05/08,524,3895,10765
2014/05/09,526,3898,10727
2014/05/10,528,3892,10682
2014/05/11,528,3875,10667
2014/05/12,526,3864,10674
2014/05/13,524,3894,10731
2014/05/14,531,3921,10785
2014/05/15,528,3947,10822
2014/05/16,534,3974,10839
2014/05/17,540,3944,10802
2014/05/18,541,3933,10772
2014/05/19,538,3919,10752
2014/05/20,537,3923,10816
2014/05/21,534,3934,10857
2014/05/22,535,3932,10851
2014/05/23,535,3924,10847
2014/05/24,539,3921,10798
2014/05/25,536,3890,10714
2014/05/26,536,3892,10714
2014/05/27,537,3913,10754
2014/05/28,536,3933,10815
2014/05/29,525,3951,10865
2014/05/30,528,3970,10842
2014/05/31,527,3971,10857
2014/06/01,527,3979,10846
2014/06/02,532,3980,10849
2014/06/03,536,3975,10894
2014/06/04,519,3973,10900
2014/06/05,516,3964,10875
2014/06/06,518,3979,10887
2014/06/07,517,3973,10859
2014/06/08,521,3997,10814
2014/06/09,532,3990,10826
2014/06/10,535,3987,10862
2014/06/11,545,4017,10856
2014/06/12,540,4004,10815
2014/06/13,540,3979,10763
2014/06/14,544,3970,10716
2014/06/15,542,3935,10652
2014/06/16,543,3955,10672
2014/06/17,548,3968,10758
2014/06/18,542,3987,10806
2014/06/19,542,3987,10798
2014/06/20,538,3995,10772
2014/06/21,536,3975,10771
2014/06/22,534,3973,10712
2014/06/23,533,3949,10704
2014/06/24,541,3972,10754
2014/06/25,540,3969,10806
2014/06/26,546,3978,10803
2014/06/27,546,3974,10735
2014/06/28,549,3957,10697
2014/06/29,549,3955,10659
2014/06/30,548,3975,10663
2014/07/01,546,3990,10712
2014/07/02,542,4022,10743
2014/07/03,548,4018,10720
2014/07/04,548,3988,10690
2014/07/05,551,3987,10673
2014/07/06,548,3945,10632
2014/07/07,545,3935,10625
2014/07/08,533,3919,10647
2014/07/09,534,3925,10670
2014/07/10,533,3935,10650
2014/07/11,528,3916,10616
2014/07/12,529,3912,10632
2014/07/13,528,3885,10580
2014/07/14,533,3882,10542
2014/07/15,530,3866,10579
2014/07/16,527,3849,10571
2014/07/17,530,3841,10557
2014/07/18,524,3826,10520
2014/07/19,533,3837,10516
2014/07/20,534,3809,10449
2014/07/21,538,3797,10447
2014/07/22,537,3804,10490
2014/07/23,537,3824,10529
2014/07/24,543,3827,10533
2014/07/25,540,3839,10533
2014/07/26,541,3828,10492
2014/07/27,537,3775,10474
2014/07/28,535,3759,10440
2014/07/29,539,3766,10474
2014/07/30,541,3751,10522
2014/07/31,532,3737,10490
2014/08/01,537,3739,10466
2014/08/02,537,3713,10445
2014/08/03,538,3717,10463
2014/08/04,540,3696,10415
2014/08/05,536,3701,10447
2014/08/06,540,3722,10473
2014/08/07,536,3730,10481
2014/08/08,532,3721,10437
2014/08/09,533,3714,10419
2014/08/10,529,3692,10389
2014/08/11,528,3687,10352
2014/08/12,526,3698,10426
2014/08/13,524,3696,10475
2014/08/14,519,3702,10480
2014/08/15,518,3717,10489
2014/08/16,517,3721,10462
2014/08/17,513,3707,10411
2014/08/18,511,3701,10413
2014/08/19,506,3711,10487
2014/08/20,504,3739,10538
2014/08/21,509,3744,10557
2014/08/22,517,3715,10546
2014/08/23,515,3705,10548
2014/08/24,515,3667,10509
2014/08/25,513,3649,10473
