date,trwiki (100+),trwiki (5+),trwiki (all)
2015/05/02,67,1120,4262
2015/05/03,64,1120,4217
2015/05/04,63,1112,4198
2015/05/05,60,1106,4190
2015/05/06,61,1088,4163
2015/05/07,61,1085,4152
2015/05/08,60,1086,4124
2015/05/09,61,1093,4137
2015/05/10,60,1101,4091
2015/05/11,60,1087,4060
2015/05/12,59,1077,4052
2015/05/13,57,1076,4042
2015/05/14,58,1080,4045
2015/05/15,59,1076,4012
2015/05/16,57,1066,3991
2015/05/17,59,1067,4007
2015/05/18,58,1075,4014
2015/05/19,58,1067,4002
2015/05/20,57,1062,3998
2015/05/21,58,1044,3910
2015/05/22,58,1026,3863
2015/05/23,59,1015,3851
2015/05/24,57,1017,3832
2015/05/25,58,1001,3809
2015/05/26,61,988,3766
2015/05/27,63,992,3731
2015/05/28,59,998,3737
2015/05/29,62,1008,3746
2015/05/30,60,1007,3741
2015/05/31,60,1017,3755
2015/06/01,61,1021,3759
2015/06/02,62,1036,3799
2015/06/03,63,1039,3778
2015/06/04,64,1043,3766
2015/06/05,64,1043,3767
2015/06/06,64,1050,3783
2015/06/07,65,1059,3766
2015/06/08,66,1053,3741
2015/06/09,68,1048,3734
2015/06/10,67,1051,3726
2015/06/11,67,1094,3782
2015/06/12,69,1094,3776
2015/06/13,69,1096,3761
2015/06/14,71,1097,3780
2015/06/15,70,1101,3812
2015/06/16,69,1113,3827
2015/06/17,73,1120,3857
2015/06/18,73,1137,3871
2015/06/19,73,1142,3886
2015/06/20,76,1150,3940
2015/06/21,76,1173,3966
2015/06/22,79,1180,3993
2015/06/23,81,1197,4021
2015/06/24,80,1196,4047
2015/06/25,81,1260,4195
2015/06/26,82,1295,4331
2015/06/27,81,1312,4430
2015/06/28,81,1323,4481
2015/06/29,81,1334,4508
2015/06/30,80,1330,4523
2015/07/01,81,1331,4519
2015/07/02,83,1318,4505
2015/07/03,82,1329,4524
2015/07/04,84,1332,4547
2015/07/05,85,1328,4551
2015/07/06,87,1320,4550
2015/07/07,90,1332,4585
2015/07/08,89,1348,4605
2015/07/09,87,1351,4633
2015/07/10,86,1358,4646
2015/07/11,84,1308,4573
2015/07/12,85,1303,4537
2015/07/13,86,1310,4547
2015/07/14,87,1314,4562
2015/07/15,85,1316,4567
2015/07/16,83,1306,4539
2015/07/17,81,1285,4480
2015/07/18,80,1271,4420
2015/07/19,79,1253,4368
2015/07/20,80,1232,4320
2015/07/21,80,1224,4311
2015/07/22,78,1215,4296
2015/07/23,81,1218,4323
2015/07/24,80,1217,4319
2015/07/25,83,1174,4184
2015/07/26,83,1140,4038
2015/07/27,80,1107,3934
2015/07/28,80,1096,3867
2015/07/29,79,1071,3846
2015/07/30,81,1063,3801
2015/07/31,78,1063,3812
2015/08/01,77,1060,3783
2015/08/02,79,1051,3776
2015/08/03,75,1041,3740
2015/08/04,76,1036,3719
2015/08/05,76,1022,3691
2015/08/06,77,1016,3661
2015/08/07,75,1016,3636
2015/08/08,74,998,3590
2015/08/09,76,976,3559
2015/08/10,75,967,3537
2015/08/11,78,965,3523
2015/08/12,75,967,3504
2015/08/13,75,952,3472
2015/08/14,75,948,3456
2015/08/15,75,950,3441
2015/08/16,76,953,3456
2015/08/17,78,970,3485
2015/08/18,78,983,3510
2015/08/19,79,993,3527
2015/08/20,79,983,3521
2015/08/21,77,986,3515
2015/08/22,78,968,3465
2015/08/23,77,955,3424
2015/08/24,77,956,3401
2015/08/25,80,954,3379
2015/08/26,83,969,3403
2015/08/27,83,969,3391
2015/08/28,83,965,3387
2015/08/29,87,955,3396
2015/08/30,88,942,3373
2015/08/31,93,932,3381
2015/09/01,92,936,3390
2015/09/02,95,938,3377
2015/09/03,94,951,3384
2015/09/04,94,960,3406
2015/09/05,94,959,3404
2015/09/06,93,962,3405
2015/09/07,92,972,3416
2015/09/08,92,974,3442
2015/09/09,94,979,3470
2015/09/10,92,991,3480
2015/09/11,91,983,3489
2015/09/12,90,987,3489
2015/09/13,87,980,3465
2015/09/14,85,973,3470
2015/09/15,86,985,3476
2015/09/16,89,986,3465
2015/09/17,89,975,3459
2015/09/18,90,980,3451
2015/09/19,91,990,3437
2015/09/20,92,976,3429
2015/09/21,91,980,3403
2015/09/22,90,971,3392
2015/09/23,89,980,3409
2015/09/24,93,981,3394
2015/09/25,93,959,3361
2015/09/26,91,954,3332
2015/09/27,92,939,3310
2015/09/28,90,927,3261
2015/09/29,88,919,3240
2015/09/30,89,923,3239
2015/10/01,92,913,3205
2015/10/02,93,915,3197
2015/10/03,93,907,3184
2015/10/04,92,905,3170
2015/10/05,91,913,3164
2015/10/06,92,910,3143
2015/10/07,91,898,3135
2015/10/08,91,890,3134
2015/10/09,92,905,3118
2015/10/10,93,886,3112
2015/10/11,93,886,3104
2015/10/12,87,887,3133
2015/10/13,88,895,3120
2015/10/14,90,896,3124
2015/10/15,88,875,3126
2015/10/16,87,858,3123
2015/10/17,81,859,3113
2015/10/18,83,865,3119
2015/10/19,82,873,3152
2015/10/20,78,879,3166
2015/10/21,79,894,3176
2015/10/22,81,900,3181
2015/10/23,79,894,3191
2015/10/24,75,897,3199
