date,thwiki (100+),thwiki (5+),thwiki (all)
2013/06/29,42,331,900
2013/06/30,42,336,897
2013/07/01,43,337,897
2013/07/02,43,340,896
2013/07/03,43,332,899
2013/07/04,43,335,897
2013/07/05,43,340,903
2013/07/06,43,344,912
2013/07/07,42,346,914
2013/07/08,39,349,921
2013/07/09,38,347,931
2013/07/10,40,350,939
2013/07/11,41,348,935
2013/07/12,41,350,925
2013/07/13,40,348,919
2013/07/14,40,350,924
2013/07/15,40,353,928
2013/07/16,39,352,930
2013/07/17,39,352,925
2013/07/18,39,353,916
2013/07/19,40,352,918
2013/07/20,40,351,933
2013/07/21,39,348,931
2013/07/22,40,358,932
2013/07/23,40,353,936
2013/07/24,39,356,953
2013/07/25,41,359,968
2013/07/26,38,351,964
2013/07/27,39,361,983
2013/07/28,40,363,989
2013/07/29,40,366,1000
2013/07/30,41,361,998
2013/07/31,41,354,997
2013/08/01,40,350,991
2013/08/02,40,354,985
2013/08/03,40,358,981
2013/08/04,39,358,983
2013/08/05,40,351,975
2013/08/06,39,350,978
2013/08/07,39,353,980
2013/08/08,40,352,981
2013/08/09,40,349,976
2013/08/10,41,347,974
2013/08/11,40,349,971
2013/08/12,38,348,973
2013/08/13,39,339,971
2013/08/14,39,338,972
2013/08/15,39,336,963
2013/08/16,37,341,970
2013/08/17,36,344,981
2013/08/18,36,345,989
2013/08/19,36,346,992
2013/08/20,35,358,1031
2013/08/21,38,355,1036
2013/08/22,38,356,1040
2013/08/23,39,347,1031
2013/08/24,38,339,1022
2013/08/25,37,335,1010
2013/08/26,38,340,1011
2013/08/27,39,341,1013
2013/08/28,39,334,1004
2013/08/29,40,341,1005
2013/08/30,39,338,1025
2013/08/31,39,339,1022
2013/09/01,39,341,1017
2013/09/02,39,339,1026
2013/09/03,38,338,1025
2013/09/04,37,338,1027
2013/09/05,38,338,1026
2013/09/06,39,338,1028
2013/09/07,40,328,1031
2013/09/08,40,328,1028
2013/09/09,40,331,1031
2013/09/10,41,334,1033
2013/09/11,40,331,1023
2013/09/12,40,335,1027
2013/09/13,41,335,1028
2013/09/14,44,338,1042
2013/09/15,44,340,1036
2013/09/16,44,339,1034
2013/09/17,44,337,1032
2013/09/18,41,333,1027
2013/09/19,41,328,993
2013/09/20,39,338,991
2013/09/21,37,336,987
2013/09/22,37,339,988
2013/09/23,39,344,980
2013/09/24,37,347,983
2013/09/25,38,353,999
2013/09/26,37,360,1014
2013/09/27,37,358,1004
2013/09/28,37,357,1009
2013/09/29,37,359,1002
2013/09/30,37,359,1007
2013/10/01,36,363,1027
2013/10/02,36,367,1040
2013/10/03,36,363,1044
2013/10/04,36,362,1041
2013/10/05,39,367,1043
2013/10/06,37,367,1038
2013/10/07,35,372,1050
2013/10/08,36,379,1066
2013/10/09,33,378,1063
2013/10/10,36,380,1068
2013/10/11,37,385,1073
2013/10/12,38,391,1078
2013/10/13,37,395,1077
2013/10/14,38,387,1074
2013/10/15,37,384,1077
2013/10/16,37,383,1068
2013/10/17,40,383,1054
2013/10/18,40,385,1065
2013/10/19,40,385,1075
2013/10/20,40,385,1075
2013/10/21,41,381,1072
2013/10/22,41,383,1064
2013/10/23,42,379,1073
2013/10/24,43,379,1073
2013/10/25,44,371,1068
2013/10/26,44,357,1044
2013/10/27,43,357,1050
2013/10/28,43,364,1035
2013/10/29,45,356,1027
2013/10/30,44,359,1027
2013/10/31,45,353,1030
2013/11/01,44,353,1013
2013/11/02,44,360,1016
2013/11/03,45,361,1014
2013/11/04,45,360,1009
2013/11/05,44,364,1018
2013/11/06,43,362,1003
2013/11/07,43,359,996
2013/11/08,42,358,995
2013/11/09,41,352,991
2013/11/10,42,348,980
2013/11/11,42,344,969
2013/11/12,41,345,970
2013/11/13,41,349,976
2013/11/14,42,353,980
2013/11/15,41,349,973
2013/11/16,41,357,969
2013/11/17,44,360,969
2013/11/18,45,364,967
2013/11/19,44,358,967
2013/11/20,45,355,965
2013/11/21,41,356,974
2013/11/22,41,352,965
2013/11/23,40,350,960
2013/11/24,40,344,951
2013/11/25,41,343,945
2013/11/26,39,344,954
2013/11/27,38,338,963
2013/11/28,39,341,973
2013/11/29,39,331,968
2013/11/30,38,330,952
2013/12/01,40,326,947
2013/12/02,39,317,943
2013/12/03,38,312,941
2013/12/04,37,305,928
2013/12/05,37,312,923
2013/12/06,37,308,922
2013/12/07,37,309,939
2013/12/08,36,312,935
2013/12/09,36,318,942
2013/12/10,36,321,952
2013/12/11,35,321,950
2013/12/12,35,321,955
2013/12/13,36,316,948
2013/12/14,34,313,946
2013/12/15,34,319,949
2013/12/16,35,319,947
2013/12/17,33,308,933
2013/12/18,33,302,928
2013/12/19,33,300,907
2013/12/20,35,298,906
2013/12/21,35,296,910
2013/12/22,37,295,915
2013/12/23,35,292,922
2013/12/24,33,292,929
2013/12/25,33,297,925
2013/12/26,34,298,914
2013/12/27,35,299,914
2013/12/28,36,299,909
2013/12/29,37,304,916
2013/12/30,37,307,916
2013/12/31,36,307,918
2014/01/01,36,310,915
2014/01/02,36,305,913
2014/01/03,37,312,938
2014/01/04,34,315,947
2014/01/05,35,318,940
2014/01/06,36,320,939
2014/01/07,35,323,937
2014/01/08,36,318,944
2014/01/09,37,322,953
2014/01/10,36,328,953
2014/01/11,36,327,945
2014/01/12,35,329,946
2014/01/13,34,332,949
2014/01/14,38,331,949
2014/01/15,37,331,951
2014/01/16,37,332,954
2014/01/17,35,339,955
2014/01/18,37,345,963
2014/01/19,37,354,970
2014/01/20,35,352,960
2014/01/21,34,356,964
2014/01/22,34,354,948
2014/01/23,36,354,941
2014/01/24,36,354,963
2014/01/25,37,352,967
2014/01/26,36,360,968
2014/01/27,35,363,968
2014/01/28,35,358,970
2014/01/29,34,361,983
2014/01/30,33,372,994
2014/01/31,32,364,992
2014/02/01,32,363,998
2014/02/02,33,361,992
2014/02/03,33,357,985
2014/02/04,32,361,986
2014/02/05,32,359,986
2014/02/06,30,362,988
2014/02/07,34,367,980
2014/02/08,34,371,984
2014/02/09,32,371,990
2014/02/10,32,371,1000
2014/02/11,32,374,1004
2014/02/12,31,373,1001
2014/02/13,30,375,1001
2014/02/14,30,377,993
2014/02/15,30,370,990
2014/02/16,31,366,981
2014/02/17,29,367,982
2014/02/18,27,370,987
2014/02/19,27,369,986
2014/02/20,26,368,988
2014/02/21,29,374,1001
2014/02/22,29,375,994
2014/02/23,29,375,974
2014/02/24,28,377,968
2014/02/25,28,373,960
2014/02/26,29,377,967
2014/02/27,29,378,955
2014/02/28,30,374,946
2014/03/01,30,368,939
2014/03/02,30,367,934
2014/03/03,30,372,937
2014/03/04,31,369,939
2014/03/05,33,364,933
2014/03/06,33,365,935
2014/03/07,34,368,928
2014/03/08,32,361,921
2014/03/09,33,359,918
2014/03/10,33,354,905
2014/03/11,33,356,895
2014/03/12,35,353,888
2014/03/13,35,350,881
2014/03/14,35,349,886
2014/03/15,35,340,880
2014/03/16,34,336,882
2014/03/17,37,337,896
2014/03/18,35,329,905
2014/03/19,35,339,909
2014/03/20,36,333,900
2014/03/21,36,331,894
2014/03/22,35,337,900
2014/03/23,37,334,894
2014/03/24,38,332,901
2014/03/25,39,325,901
2014/03/26,41,321,917
2014/03/27,40,322,927
2014/03/28,40,320,918
2014/03/29,40,326,920
2014/03/30,40,327,928
2014/03/31,40,325,925
2014/04/01,40,325,931
2014/04/02,38,325,927
2014/04/03,38,329,926
2014/04/04,40,335,926
2014/04/05,41,331,921
2014/04/06,40,341,916
2014/04/07,41,337,923
2014/04/08,41,336,929
2014/04/09,44,338,937
2014/04/10,43,339,942
2014/04/11,44,343,940
2014/04/12,44,352,941
2014/04/13,45,351,928
2014/04/14,45,348,924
2014/04/15,45,344,919
2014/04/16,44,342,906
2014/04/17,45,342,909
2014/04/18,46,340,909
2014/04/19,47,338,910
2014/04/20,47,338,917
2014/04/21,45,338,923
2014/04/22,47,343,925
2014/04/23,45,346,932
2014/04/24,45,353,934
2014/04/25,45,356,925
2014/04/26,44,360,929
2014/04/27,45,353,922
2014/04/28,43,351,919
2014/04/29,44,354,911
2014/04/30,46,358,910
2014/05/01,46,355,902
2014/05/02,44,357,910
2014/05/03,43,357,895
2014/05/04,40,356,891
2014/05/05,34,355,898
2014/05/06,32,355,898
2014/05/07,34,354,897
2014/05/08,35,363,911
2014/05/09,36,368,916
2014/05/10,37,375,909
2014/05/11,37,374,913
2014/05/12,38,367,902
2014/05/13,38,375,916
2014/05/14,38,380,918
2014/05/15,36,390,928
2014/05/16,36,397,927
2014/05/17,35,397,928
2014/05/18,33,395,932
2014/05/19,34,395,929
2014/05/20,33,394,940
2014/05/21,34,392,935
2014/05/22,35,395,944
2014/05/23,36,388,938
2014/05/24,38,394,943
2014/05/25,37,386,946
2014/05/26,38,385,953
2014/05/27,38,390,969
2014/05/28,40,394,971
2014/05/29,40,390,975
2014/05/30,40,389,975
2014/05/31,40,389,977
2014/06/01,41,389,969
2014/06/02,40,391,973
2014/06/03,40,385,967
2014/06/04,40,387,971
2014/06/05,39,388,968
2014/06/06,38,387,955
2014/06/07,37,382,943
2014/06/08,38,369,926
2014/06/09,36,364,925
2014/06/10,37,370,918
2014/06/11,36,371,920
2014/06/12,33,381,932
2014/06/13,33,378,924
2014/06/14,34,377,922
2014/06/15,33,375,931
2014/06/16,33,369,928
2014/06/17,37,362,915
2014/06/18,36,361,928
2014/06/19,35,356,922
2014/06/20,36,357,924
2014/06/21,37,355,915
2014/06/22,35,365,913
2014/06/23,36,365,911
2014/06/24,37,362,894
2014/06/25,37,356,903
2014/06/26,36,351,892
2014/06/27,33,348,880
2014/06/28,34,347,873
2014/06/29,35,354,865
2014/06/30,36,361,873
2014/07/01,36,358,863
2014/07/02,35,357,869
2014/07/03,37,359,876
2014/07/04,37,355,864
2014/07/05,36,356,867
2014/07/06,35,358,870
2014/07/07,33,357,878
2014/07/08,33,359,884
2014/07/09,34,355,873
2014/07/10,33,348,863
2014/07/11,33,346,858
2014/07/12,31,342,858
2014/07/13,32,343,867
2014/07/14,31,347,869
2014/07/15,29,351,872
2014/07/16,30,356,878
2014/07/17,30,359,875
2014/07/18,29,361,875
2014/07/19,31,360,867
2014/07/20,30,357,857
2014/07/21,28,351,856
2014/07/22,29,343,851
2014/07/23,28,339,846
2014/07/24,26,343,845
2014/07/25,26,341,842
2014/07/26,26,344,853
2014/07/27,26,337,850
2014/07/28,24,337,855
2014/07/29,23,337,856
2014/07/30,21,332,843
2014/07/31,22,334,852
2014/08/01,21,325,842
2014/08/02,22,322,842
2014/08/03,22,323,845
2014/08/04,24,318,842
2014/08/05,25,321,844
2014/08/06,25,325,848
2014/08/07,25,328,845
2014/08/08,26,330,855
2014/08/09,26,327,868
2014/08/10,25,330,872
2014/08/11,28,334,864
2014/08/12,29,335,865
2014/08/13,28,336,859
2014/08/14,29,334,877
2014/08/15,29,329,875
2014/08/16,29,332,887
2014/08/17,29,339,902
2014/08/18,29,346,908
2014/08/19,28,347,924
2014/08/20,29,350,937
2014/08/21,29,350,953
2014/08/22,31,352,951
2014/08/23,32,352,958
2014/08/24,32,356,961
2014/08/25,33,358,970
2014/08/26,33,358,975
2014/08/27,34,372,983
2014/08/28,34,372,980
2014/08/29,35,377,981
2014/08/30,34,376,981
2014/08/31,34,370,976
2014/09/01,35,365,972
2014/09/02,37,361,976
2014/09/03,35,369,989
2014/09/04,34,371,990
2014/09/05,36,370,970
2014/09/06,37,370,970
2014/09/07,36,372,971
2014/09/08,33,377,972
2014/09/09,32,377,987
2014/09/10,35,381,989
2014/09/11,35,374,986
2014/09/12,33,369,977
2014/09/13,35,365,957
2014/09/14,36,365,950
2014/09/15,36,350,934
2014/09/16,35,345,926
2014/09/17,36,338,920
2014/09/18,35,336,919
2014/09/19,34,329,901
2014/09/20,35,335,891
2014/09/21,34,340,885
2014/09/22,34,339,889
2014/09/23,31,329,870
2014/09/24,30,331,875
2014/09/25,29,335,881
2014/09/26,31,332,871
2014/09/27,32,334,874
2014/09/28,33,337,873
2014/09/29,32,338,877
2014/09/30,32,337,880
2014/10/01,32,340,884
2014/10/02,32,344,885
2014/10/03,31,354,908
2014/10/04,31,351,921
2014/10/05,34,349,930
2014/10/06,35,353,938
2014/10/07,35,357,943
2014/10/08,36,349,930
2014/10/09,38,354,941
2014/10/10,36,354,937
2014/10/11,37,355,956
2014/10/12,38,354,958
2014/10/13,37,358,964
2014/10/14,37,369,986
2014/10/15,38,376,1006
2014/10/16,39,377,1010
2014/10/17,40,385,1038
2014/10/18,40,401,1115
2014/10/19,42,412,1139
2014/10/20,44,405,1138
2014/10/21,43,408,1154
2014/10/22,42,404,1155
2014/10/23,42,406,1157
2014/10/24,42,408,1158
2014/10/25,41,407,1148
2014/10/26,40,408,1151
2014/10/27,41,403,1144
2014/10/28,41,404,1138
2014/10/29,40,402,1138
2014/10/30,39,403,1147
2014/10/31,37,409,1145
2014/11/01,38,410,1147
2014/11/02,39,400,1121
2014/11/03,38,401,1105
2014/11/04,36,401,1102
2014/11/05,36,405,1102
2014/11/06,36,400,1091
2014/11/07,38,396,1090
2014/11/08,38,396,1079
2014/11/09,36,397,1080
2014/11/10,34,398,1070
2014/11/11,35,401,1071
2014/11/12,35,407,1078
2014/11/13,35,396,1082
2014/11/14,35,402,1080
2014/11/15,35,411,1088
2014/11/16,35,410,1097
2014/11/17,34,393,1042
2014/11/18,34,385,1024
2014/11/19,33,380,1024
2014/11/20,31,381,1002
2014/11/21,30,384,995
2014/11/22,29,382,992
2014/11/23,31,377,982
2014/11/24,31,374,980
2014/11/25,30,373,976
2014/11/26,28,368,972
2014/11/27,31,367,977
2014/11/28,31,373,982
2014/11/29,31,368,968
2014/11/30,30,371,984
2014/12/01,29,375,980
2014/12/02,29,377,980
2014/12/03,27,381,991
2014/12/04,28,381,990
2014/12/05,27,378,992
2014/12/06,28,380,995
2014/12/07,32,381,1007
2014/12/08,34,379,1016
2014/12/09,34,377,1006
2014/12/10,36,378,1014
2014/12/11,36,383,1032
2014/12/12,34,387,1031
2014/12/13,34,389,1026
2014/12/14,35,388,1036
2014/12/15,35,382,1038
2014/12/16,35,369,1014
2014/12/17,35,360,992
2014/12/18,37,368,993
2014/12/19,36,366,985
2014/12/20,36,369,970
2014/12/21,36,370,961
2014/12/22,38,369,957
2014/12/23,36,372,951
2014/12/24,33,376,946
2014/12/25,34,380,940
2014/12/26,36,383,940
2014/12/27,35,384,943
2014/12/28,36,385,944
2014/12/29,34,383,942
2014/12/30,35,377,922
2014/12/31,33,375,918
2015/01/01,33,377,919
2015/01/02,33,374,911
2015/01/03,33,378,920
2015/01/04,34,381,922
2015/01/05,33,389,926
2015/01/06,34,390,930
2015/01/07,33,391,935
2015/01/08,35,392,940
2015/01/09,33,389,930
2015/01/10,34,384,930
2015/01/11,31,386,929
2015/01/12,31,377,923
2015/01/13,32,362,916
2015/01/14,34,367,910
2015/01/15,33,365,899
2015/01/16,33,366,895
2015/01/17,34,359,886
2015/01/18,35,362,880
2015/01/19,34,360,896
2015/01/20,35,356,893
2015/01/21,35,357,894
2015/01/22,37,353,900
2015/01/23,35,354,898
2015/01/24,35,355,903
2015/01/25,36,358,909
2015/01/26,36,357,898
2015/01/27,36,352,901
2015/01/28,36,356,906
2015/01/29,36,361,914
2015/01/30,36,361,914
2015/01/31,38,370,919
2015/02/01,36,369,924
2015/02/02,36,362,924
2015/02/03,36,359,903
2015/02/04,36,357,890
2015/02/05,36,357,897
2015/02/06,35,357,895
2015/02/07,34,354,891
2015/02/08,33,359,901
2015/02/09,36,362,891
2015/02/10,34,359,893
2015/02/11,33,363,905
2015/02/12,33,374,916
2015/02/13,33,369,924
2015/02/14,33,375,933
2015/02/15,34,379,944
2015/02/16,35,381,953
2015/02/17,34,384,967
2015/02/18,34,379,961
2015/02/19,34,386,971
2015/02/20,35,391,978
2015/02/21,35,399,987
2015/02/22,35,402,989
2015/02/23,34,405,996
2015/02/24,34,409,999
2015/02/25,33,410,996
2015/02/26,34,409,1001
2015/02/27,36,409,999
2015/02/28,38,411,1002
2015/03/01,40,414,1004
2015/03/02,41,413,1003
2015/03/03,40,409,1001
2015/03/04,41,418,1006
2015/03/05,42,420,1010
2015/03/06,41,417,1003
2015/03/07,41,421,1003
2015/03/08,42,421,1006
2015/03/09,42,422,1004
2015/03/10,42,426,1009
2015/03/11,42,424,1032
2015/03/12,40,426,1038
2015/03/13,41,429,1060
2015/03/14,41,439,1072
2015/03/15,42,447,1075
2015/03/16,44,445,1083
2015/03/17,44,451,1086
2015/03/18,44,451,1080
2015/03/19,45,451,1077
2015/03/20,45,454,1085
2015/03/21,46,445,1095
2015/03/22,45,446,1080
2015/03/23,45,437,1072
2015/03/24,46,442,1081
2015/03/25,47,447,1075
2015/03/26,46,451,1079
2015/03/27,46,456,1082
2015/03/28,44,460,1088
2015/03/29,42,451,1084
2015/03/30,42,447,1075
2015/03/31,43,446,1086
2015/04/01,43,441,1078
2015/04/02,42,443,1075
2015/04/03,42,439,1070
2015/04/04,44,448,1072
2015/04/05,43,453,1080
2015/04/06,41,448,1075
2015/04/07,41,453,1080
2015/04/08,41,464,1092
2015/04/09,43,453,1063
2015/04/10,43,450,1056
2015/04/11,45,442,1053
2015/04/12,46,433,1036
2015/04/13,44,424,1012
2015/04/14,45,425,1011
2015/04/15,44,418,997
2015/04/16,44,413,984
2015/04/17,45,419,979
2015/04/18,45,415,979
2015/04/19,46,417,969
2015/04/20,47,417,965
2015/04/21,47,413,968
2015/04/22,46,414,975
2015/04/23,47,411,963
2015/04/24,47,416,962
2015/04/25,45,412,977
2015/04/26,46,410,977
2015/04/27,46,408,983
2015/04/28,43,415,996
2015/04/29,47,424,1002
2015/04/30,46,427,1003
2015/05/01,45,432,1006
2015/05/02,46,425,1006
2015/05/03,46,419,1008
2015/05/04,47,412,997
2015/05/05,45,409,982
2015/05/06,46,407,981
2015/05/07,47,406,981
2015/05/08,46,404,983
2015/05/09,47,406,993
2015/05/10,46,400,984
2015/05/11,45,396,995
2015/05/12,45,392,991
2015/05/13,46,385,991
2015/05/14,47,384,1000
2015/05/15,48,383,1005
2015/05/16,49,381,1011
2015/05/17,49,381,1008
2015/05/18,48,380,999
2015/05/19,48,376,992
2015/05/20,49,384,987
2015/05/21,49,386,974
2015/05/22,51,382,974
2015/05/23,50,377,979
2015/05/24,49,375,965
2015/05/25,48,372,960
2015/05/26,48,373,958
2015/05/27,49,370,937
2015/05/28,49,373,937
2015/05/29,50,362,921
2015/05/30,49,350,895
2015/05/31,49,344,872
2015/06/01,51,343,865
2015/06/02,49,343,868
2015/06/03,50,347,867
2015/06/04,49,340,857
2015/06/05,52,341,847
2015/06/06,49,332,846
2015/06/07,50,324,835
2015/06/08,48,324,828
2015/06/09,46,323,814
2015/06/10,44,324,810
2015/06/11,44,327,806
2015/06/12,43,323,806
2015/06/13,43,317,793
2015/06/14,43,321,785
2015/06/15,43,323,771
2015/06/16,41,324,764
2015/06/17,39,320,769
2015/06/18,39,319,779
2015/06/19,38,318,777
2015/06/20,39,323,789
2015/06/21,39,324,794
2015/06/22,37,330,798
2015/06/23,37,323,802
2015/06/24,37,325,801
2015/06/25,37,332,804
2015/06/26,38,334,812
2015/06/27,39,329,807
2015/06/28,39,331,814
2015/06/29,40,338,820
2015/06/30,40,336,822
2015/07/01,37,330,828
2015/07/02,38,336,835
2015/07/03,37,331,833
