date,arzwiki (100+),arzwiki (5+),arzwiki (all)
2015/07/27,3,16,94
2015/07/28,3,15,94
2015/07/29,4,15,97
2015/07/30,4,16,97
2015/07/31,4,17,95
2015/08/01,4,18,91
2015/08/02,4,18,93
2015/08/03,4,19,89
2015/08/04,4,19,90
2015/08/05,4,19,90
2015/08/06,5,18,84
2015/08/07,6,17,79
2015/08/08,6,18,81
2015/08/09,6,18,80
2015/08/10,6,18,80
2015/08/11,5,18,80
2015/08/12,5,19,81
2015/08/13,5,18,80
2015/08/14,5,18,79
2015/08/15,5,19,81
2015/08/16,4,18,80
2015/08/17,6,19,81
2015/08/18,6,20,79
2015/08/19,6,21,77
2015/08/20,6,21,77
2015/08/21,6,20,74
2015/08/22,6,20,73
2015/08/23,6,19,74
2015/08/24,6,17,74
2015/08/25,6,17,78
2015/08/26,6,18,75
2015/08/27,6,17,76
2015/08/28,6,17,77
2015/08/29,6,17,76
2015/08/30,6,17,77
2015/08/31,6,18,76
2015/09/01,6,18,76
2015/09/02,6,17,75
2015/09/03,6,16,77
2015/09/04,6,15,79
2015/09/05,6,15,80
2015/09/06,5,15,79
2015/09/07,5,15,76
2015/09/08,5,16,79
2015/09/09,5,15,77
2015/09/10,5,16,77
2015/09/11,5,16,75
2015/09/12,5,16,76
2015/09/13,5,17,77
2015/09/14,4,15,75
2015/09/15,4,16,78
2015/09/16,3,15,80
2015/09/17,3,16,83
2015/09/18,3,17,84
2015/09/19,2,17,83
2015/09/20,2,17,82
2015/09/21,2,17,83
2015/09/22,2,17,84
2015/09/23,2,17,84
2015/09/24,2,16,79
2015/09/25,2,16,80
2015/09/26,2,16,80
2015/09/27,3,16,83
2015/09/28,3,17,83
2015/09/29,3,17,83
2015/09/30,3,16,82
2015/10/01,3,16,80
2015/10/02,3,16,79
2015/10/03,3,16,76
2015/10/04,3,17,77
2015/10/05,3,17,78
2015/10/06,3,18,83
2015/10/07,3,18,83
2015/10/08,3,17,81
2015/10/09,3,17,83
2015/10/10,3,18,84
2015/10/11,3,18,83
2015/10/12,3,18,82
2015/10/13,3,17,81
2015/10/14,3,17,82
2015/10/15,4,16,83
2015/10/16,4,17,80
2015/10/17,4,16,79
2015/10/18,4,14,80
2015/10/19,4,13,78
2015/10/20,4,13,81
2015/10/21,4,13,81
2015/10/22,4,13,79
2015/10/23,4,14,78
2015/10/24,4,14,79
2015/10/25,4,14,79
2015/10/26,4,15,80
2015/10/27,3,15,75
2015/10/28,3,17,77
2015/10/29,3,17,81
2015/10/30,3,18,84
2015/10/31,3,19,84
2015/11/01,3,20,85
2015/11/02,3,21,87
2015/11/03,4,20,86
2015/11/04,5,20,85
2015/11/05,5,19,81
2015/11/06,4,19,80
2015/11/07,4,20,82
2015/11/08,5,22,86
2015/11/09,4,22,82
2015/11/10,4,21,83
2015/11/11,3,21,84
2015/11/12,3,21,84
2015/11/13,3,21,91
2015/11/14,3,21,90
2015/11/15,4,22,92
2015/11/16,4,22,92
2015/11/17,4,22,92
2015/11/18,4,22,91
2015/11/19,4,22,90
2015/11/20,4,22,87
2015/11/21,4,20,88
2015/11/22,4,21,89
2015/11/23,4,21,89
2015/11/24,4,21,89
2015/11/25,4,19,88
2015/11/26,4,16,84
2015/11/27,4,14,84
2015/11/28,4,14,80
2015/11/29,4,13,79
2015/11/30,4,13,76
2015/12/01,4,12,76
2015/12/02,3,13,74
2015/12/03,3,14,75
2015/12/04,3,15,73
2015/12/05,3,15,77
2015/12/06,3,15,77
2015/12/07,3,15,74
2015/12/08,3,15,73
2015/12/09,2,16,73
2015/12/10,2,16,71
2015/12/11,2,15,72
2015/12/12,2,16,73
2015/12/13,2,17,68
2015/12/14,2,17,67
2015/12/15,2,16,69
2015/12/16,2,16,68
2015/12/17,2,16,67
2016/01/18,3,14,65
2016/01/19,3,14,63
2016/01/20,3,13,62
2016/01/21,3,13,63
2016/01/22,3,13,63
2016/01/23,3,13,67
2016/01/24,3,12,66
2016/01/25,3,12,71
2016/01/26,3,12,73
2016/01/27,3,12,75
2016/01/28,3,12,74
2016/01/29,3,12,76
2016/01/30,3,11,76
2016/01/31,3,13,78
2016/02/01,3,13,75
2016/02/02,3,13,76
2016/02/03,3,14,77
2016/02/04,3,14,78
2016/02/05,3,14,77
2016/02/06,3,13,81
2016/02/07,3,15,83
2016/02/08,3,15,84
2016/02/09,3,15,82
2016/02/10,3,16,86
2016/02/11,3,16,86
2016/02/12,3,16,86
2016/02/13,3,14,85
2016/02/14,3,14,83
2016/02/15,3,16,82
2016/02/16,3,14,83
2016/02/17,3,14,83
2016/02/18,4,14,84
2016/02/19,4,14,86
2016/02/20,4,14,86
2016/02/21,4,14,86
2016/02/22,4,15,89
2016/02/23,4,16,85
2016/02/24,4,16,80
2016/02/25,4,16,78
2016/02/26,4,16,76
2016/02/27,4,18,78
2016/02/28,4,19,80
2016/02/29,4,19,79
2016/03/01,4,19,76
2016/03/02,4,19,76
2016/03/03,4,20,74
2016/03/04,4,20,75
2016/03/05,3,20,70
2016/03/06,3,19,71
2016/03/07,3,20,74
2016/03/08,3,19,75
2016/03/09,4,22,77
2016/03/10,4,22,74
2016/03/11,4,21,71
2016/03/12,4,21,69
2016/03/13,4,20,69
2016/03/14,4,19,69
2016/03/15,4,19,67
2016/03/16,4,20,66
2016/03/17,4,20,67
2016/03/18,4,20,67
2016/03/19,4,20,67
2016/03/20,4,20,66
2016/03/21,4,20,65
2016/03/22,4,20,65
2016/03/23,3,18,59
2016/03/24,3,19,62
2016/03/25,4,19,63
2016/03/26,4,21,68
2016/03/27,3,21,69
2016/03/28,4,20,68
2016/03/29,4,20,67
2016/03/30,4,19,69
2016/03/31,4,19,68
2016/04/01,4,19,68
2016/04/02,4,20,73
2016/04/03,4,20,73
2016/04/04,4,20,76
2016/04/05,4,20,76
2016/04/06,4,20,74
2016/04/07,4,21,73
2016/04/08,3,20,72
2016/04/09,3,20,74
2016/04/10,3,20,73
2016/04/11,3,21,74
2016/04/12,3,21,76
2016/04/13,3,21,78
2016/04/14,3,22,81
2016/04/15,3,21,81
2016/04/16,3,22,82
2016/04/17,3,23,84
2016/04/18,3,24,84
2016/04/19,3,24,81
2016/04/20,3,24,83
2016/04/21,3,23,82
2016/04/22,3,24,84
2016/04/23,3,22,79
2016/04/24,2,20,76
2016/04/25,2,18,77
2016/04/26,2,18,78
2016/04/27,2,19,77
2016/04/28,2,18,77
2016/04/29,2,19,76
2016/04/30,2,19,78
2016/05/01,2,20,78
2016/05/02,2,20,73
2016/05/03,2,20,71
2016/05/04,2,21,68
2016/05/05,2,21,66
2016/05/06,2,20,65
2016/05/07,2,19,62
2016/05/08,2,20,61
2016/05/09,2,20,61
2016/05/10,2,20,65
2016/05/11,2,21,66
2016/05/12,2,21,63
2016/05/13,2,21,62
2016/05/14,2,21,59
2016/05/15,2,21,59
2016/05/16,2,19,62
2016/05/17,2,18,59
2016/05/18,2,17,57
2016/05/19,2,18,59
2016/05/20,2,18,60
2016/05/21,2,18,60
2016/05/22,2,18,62
2016/05/23,2,18,63
2016/05/24,2,19,68
2016/05/25,2,18,68
2016/05/26,2,17,68
2016/05/27,2,17,68
2016/05/28,2,17,68
2016/05/29,2,17,68
2016/05/30,2,18,68
2016/05/31,2,18,73
2016/06/01,2,17,74
2016/06/02,2,19,77
2016/06/03,2,18,77
2016/06/04,2,19,77
2016/06/05,2,20,77
2016/06/06,2,19,80
2016/06/07,2,19,83
2016/06/08,2,20,81
2016/06/09,2,21,77
