date,yowiki (100+),yowiki (5+),yowiki (all)
2012/12/14,12,26,50
2012/12/15,12,27,48
2012/12/16,12,26,46
2012/12/17,12,27,47
2012/12/18,12,28,47
2012/12/19,12,28,47
2012/12/20,12,28,46
2012/12/21,12,28,44
2012/12/22,12,28,46
2012/12/23,12,28,48
2012/12/24,12,28,48
2012/12/25,12,28,47
2012/12/26,12,28,46
2012/12/27,12,30,47
2012/12/28,12,30,49
2012/12/29,12,30,50
2012/12/30,13,29,50
2012/12/31,13,29,51
2013/01/01,13,29,54
2013/01/02,13,28,53
2013/01/03,13,27,53
2013/01/04,11,26,53
2013/01/05,11,26,51
2013/01/06,11,27,52
2013/01/07,11,27,51
2013/01/08,11,27,51
2013/01/09,11,27,50
2013/01/10,11,26,50
2013/01/11,11,26,51
2013/01/12,11,26,54
2013/01/13,11,27,56
2013/01/14,11,27,57
2013/01/15,10,27,56
2013/01/16,11,28,58
2013/01/17,11,28,58
2013/01/18,11,28,61
2013/01/19,12,28,65
2013/01/20,11,28,64
2013/01/21,11,27,66
2013/01/22,10,27,67
2013/01/23,10,27,67
2013/01/24,10,26,67
2013/01/25,10,26,67
2013/01/26,11,26,66
2013/01/27,12,26,66
2013/01/28,12,26,65
2013/01/29,12,26,65
2013/01/30,12,26,65
2013/01/31,12,25,63
2013/02/01,12,24,63
2013/02/02,12,25,63
2013/02/03,12,26,67
2013/02/04,12,26,69
2013/02/05,12,25,71
2013/02/06,11,25,73
2013/02/07,11,26,73
2013/02/08,11,26,74
2013/02/09,11,26,76
2013/02/10,11,26,76
2013/02/11,11,26,74
2013/02/12,11,26,74
2013/02/13,12,26,73
2013/02/14,12,26,72
2013/02/15,11,26,72
2013/02/16,11,27,75
2013/02/17,10,28,74
2013/02/18,9,27,73
2013/02/19,9,28,73
2013/02/20,10,28,73
2013/02/21,11,28,71
2013/02/22,11,27,72
2013/02/23,12,26,72
2013/02/24,10,26,72
2013/02/25,10,25,71
2013/02/26,10,23,71
2013/02/27,12,23,69
2013/02/28,12,23,67
2013/03/01,11,23,64
2013/03/02,11,22,64
2013/03/03,11,22,64
2013/03/04,10,22,64
2013/03/05,10,22,62
2013/03/06,10,23,61
2013/03/07,10,23,59
2013/03/08,11,23,59
2013/03/09,11,23,60
2013/03/10,10,23,57
2013/03/11,10,23,54
2013/03/12,11,24,56
2013/03/13,10,25,54
2013/03/14,10,25,53
2013/03/15,10,26,52
2013/03/16,10,25,52
2013/03/17,9,23,51
2013/03/18,9,23,50
2013/03/19,9,22,47
2013/03/20,9,22,46
2013/03/21,9,21,45
2013/03/22,9,19,44
2013/03/23,9,17,43
2013/03/24,10,17,42
2013/03/25,10,17,43
2013/03/26,10,17,44
2013/03/27,9,17,44
2013/03/28,9,16,43
2013/03/29,8,16,43
2013/03/30,7,17,42
2013/03/31,5,17,43
2013/04/01,5,16,43
2013/04/02,5,15,43
2013/04/03,5,14,47
2013/04/04,4,14,45
2013/04/05,4,10,44
2013/04/06,4,7,38
2013/04/07,4,5,34
2013/04/08,4,6,36
2013/04/09,4,7,36
2013/04/10,4,6,37
2013/04/11,3,6,37
2013/04/12,3,6,37
2013/04/13,3,6,36
2013/04/14,2,6,36
2013/04/15,2,6,37
2013/04/16,2,6,36
2013/04/17,2,6,35
2013/04/18,2,6,35
2013/04/19,3,7,36
2013/04/20,3,7,37
2013/04/21,3,7,35
2013/04/22,3,8,34
2013/04/23,2,8,35
2013/04/24,2,8,34
2013/04/25,2,8,35
2013/04/26,2,8,34
2013/04/27,2,8,34
2013/04/28,2,8,34
2013/04/29,2,8,35
2013/04/30,2,8,34
2013/05/01,2,8,34
2013/05/02,2,8,32
2013/05/03,2,7,29
2013/05/04,2,7,28
2013/05/05,2,7,27
2013/05/06,2,7,29
2013/05/07,2,7,28
2013/05/08,2,6,26
2013/05/09,2,6,26
2013/05/10,2,6,25
2013/05/11,2,6,25
2013/05/12,2,6,25
2013/05/13,2,6,25
2013/05/14,2,6,24
2013/05/15,2,6,25
2013/05/16,2,6,24
2013/05/17,2,6,24
2013/05/18,2,5,24
2013/05/19,1,3,22
2013/05/20,1,3,20
2013/05/21,1,3,20
2013/05/22,1,3,20
2013/05/23,,4,21
2013/05/24,,4,22
2013/05/25,,4,20
2013/05/26,,4,21
2013/05/27,,4,21
2013/05/28,,4,20
2013/05/29,,4,19
2013/05/30,,4,20
2013/05/31,,4,20
2013/06/01,,4,21
2013/06/02,,4,20
2013/06/03,,4,20
2013/06/04,,4,20
2013/06/05,,4,18
2013/06/06,,4,18
2013/06/07,,4,18
2013/06/08,,4,18
2013/06/09,,4,19
2013/06/10,,4,17
2013/06/11,,4,17
2013/06/12,,3,18
2013/06/13,,3,18
2013/06/14,,3,17
2013/06/15,,3,18
2013/06/16,,3,19
2013/06/17,,3,19
2013/06/18,,3,23
2013/06/19,,3,24
2013/06/20,,3,24
2013/06/21,,4,24
2013/06/22,,4,22
2013/06/23,,4,25
2013/06/24,,4,26
2013/06/25,1,4,26
2013/06/26,1,4,26
2013/06/27,1,4,26
2013/06/28,1,4,28
2013/06/29,1,4,27
2013/06/30,1,4,26
2013/07/01,1,4,25
2013/07/02,,4,28
2013/07/03,,4,30
2013/07/04,,4,31
2013/07/05,,4,31
2013/07/06,,4,31
2013/07/07,,4,32
2013/07/08,,4,32
2013/07/09,,4,32
2013/07/10,,4,31
2013/07/11,,4,31
2013/07/12,,5,32
2013/07/13,,5,32
2013/07/14,,5,32
2013/07/15,,5,31
2013/07/16,,5,29
2013/07/17,,5,29
2013/07/18,,5,26
2013/07/19,,5,26
2013/07/20,,5,26
2013/07/21,,5,28
2013/07/22,,5,28
2013/07/23,,5,24
2013/07/24,,5,23
2013/07/25,,4,23
2013/07/26,,5,24
2013/07/27,,5,24
2013/07/28,1,5,23
2013/07/29,1,5,26
2013/07/30,1,5,28
2013/07/31,1,6,28
2013/08/01,1,6,26
2013/08/02,1,5,25
2013/08/03,1,5,24
2013/08/04,1,5,24
2013/08/05,1,5,25
2013/08/06,1,5,24
2013/08/07,1,5,24
2013/08/08,1,5,24
2013/08/09,1,5,24
2013/08/10,1,5,24
2013/08/11,1,5,25
2013/08/12,1,5,27
2013/08/13,1,6,28
2013/08/14,1,6,28
2013/08/15,1,6,28
2013/08/16,1,6,29
2013/08/17,1,6,29
2013/08/18,1,6,31
2013/08/19,1,6,30
2013/08/20,1,6,27
2013/08/21,1,6,27
2013/08/22,1,6,26
2013/08/23,1,6,27
2013/08/24,1,6,27
2013/08/25,1,6,26
2013/08/26,1,7,28
2013/08/27,1,7,28
2013/08/28,1,7,25
2013/08/29,1,8,25
2013/08/30,1,7,24
2013/08/31,1,7,23
2013/09/01,1,7,22
2013/09/02,1,7,24
2013/09/03,1,7,24
2013/09/04,1,7,23
2013/09/05,1,7,24
2013/09/06,1,7,24
2013/09/07,1,7,23
2013/09/08,1,6,22
2013/09/09,,5,23
2013/09/10,,5,23
2013/09/11,,5,22
2013/09/12,,4,21
2013/09/13,,5,22
2013/09/14,,5,21
2013/09/15,,5,20
2013/09/16,,5,20
2013/09/17,,4,19
2013/09/18,,4,19
2013/09/19,,4,19
2013/09/20,,5,17
2013/09/21,,5,19
2013/09/22,,5,19
2013/09/23,,5,17
2013/09/24,,5,16
2013/09/25,,4,13
2013/09/26,,4,13
2013/09/27,,4,13
2013/09/28,,4,12
2013/09/29,,4,12
2013/09/30,,4,12
2013/10/01,,5,13
2013/10/02,,5,12
2013/10/03,,6,12
2013/10/04,,6,12
2013/10/05,,6,12
2013/10/06,,6,12
2013/10/07,,6,13
2013/10/08,,6,14
2013/10/09,,7,14
2013/10/10,,7,14
2013/10/11,,7,14
2013/10/12,,7,15
2013/10/13,,6,16
2013/10/14,,7,18
2013/10/15,,7,17
2013/10/16,1,8,18
2013/10/17,1,8,19
2013/10/18,1,8,20
2013/10/19,1,8,20
2013/10/20,1,8,20
2013/10/21,1,7,20
2013/10/22,1,7,19
2013/10/23,1,8,21
2013/10/24,1,8,21
2013/10/25,1,8,21
2013/10/26,1,8,24
2013/10/27,1,9,24
2013/10/28,1,9,24
2013/10/29,1,9,24
2013/10/30,1,9,24
2013/10/31,1,8,24
2013/11/01,1,8,25
2013/11/02,1,8,25
2013/11/03,,8,25
2013/11/04,,9,25
2013/11/05,,8,25
2013/11/06,,8,24
2013/11/07,,8,23
2013/11/08,,7,24
2013/11/09,,7,24
2013/11/10,,7,24
2013/11/11,,7,23
2013/11/12,1,7,24
2013/11/13,,7,24
2013/11/14,,6,24
2013/11/15,,6,24
2013/11/16,,4,22
2013/11/17,,4,22
2013/11/18,,5,23
2013/11/19,,5,25
2013/11/20,,5,25
2013/11/21,,5,26
2013/11/22,,5,24
2013/11/23,,5,24
2013/11/24,,5,24
2013/11/25,,5,22
2013/11/26,,5,23
2013/11/27,,5,25
2013/11/28,,5,26
2013/11/29,,5,26
2013/11/30,,5,26
2013/12/01,,5,25
2013/12/02,,5,27
2013/12/03,,5,28
2013/12/04,,5,28
2013/12/05,,5,28
2013/12/06,,5,29
2013/12/07,,5,30
2013/12/08,,5,28
2013/12/09,,5,29
2013/12/10,,5,32
2013/12/11,,5,33
2013/12/12,,5,33
2013/12/13,,4,32
2013/12/14,,3,31
2013/12/15,,4,31
2013/12/16,,4,31
2013/12/17,,4,29
2013/12/18,,4,28
2013/12/19,,4,26
2013/12/20,,4,26
2013/12/21,,4,25
2013/12/22,,4,25
2013/12/23,,4,25
2013/12/24,,4,26
2013/12/25,,3,26
2013/12/26,1,3,25
2013/12/27,1,3,25
2013/12/28,1,2,25
2013/12/29,1,2,25
2013/12/30,1,2,25
2013/12/31,1,2,25
2014/01/01,1,2,24
2014/01/02,1,2,22
2014/01/03,1,2,21
2014/01/04,1,4,22
2014/01/05,1,4,20
2014/01/06,1,4,19
2014/01/07,1,4,20
2014/01/08,1,4,19
2014/01/09,1,4,16
2014/01/10,1,5,16
2014/01/11,1,5,14
2014/01/12,1,6,14
2014/01/13,1,6,14
2014/01/14,1,6,15
2014/01/15,1,6,16
2014/01/16,1,6,17
2014/01/17,1,6,20
2014/01/18,1,7,20
2014/01/19,1,6,21
2014/01/20,1,7,21
2014/01/21,1,7,22
2014/01/22,1,6,23
2014/01/23,1,6,23
2014/01/24,1,7,24
2014/01/25,1,8,25
2014/01/26,1,8,26
2014/01/27,1,8,26
2014/01/28,,8,26
2014/01/29,,8,26
2014/01/30,,8,26
2014/01/31,,8,26
2014/02/01,,9,28
2014/02/02,,9,28
2014/02/03,,7,28
2014/02/04,,7,28
2014/02/05,,7,28
2014/02/06,,7,29
2014/02/07,,7,30
2014/02/08,,7,30
2014/02/09,,7,31
2014/02/10,,6,31
2014/02/11,,5,29
2014/02/12,,5,29
2014/02/13,,5,30
2014/02/14,,5,32
2014/02/15,,5,30
2014/02/16,1,5,29
2014/02/17,1,5,28
2014/02/18,1,5,27
2014/02/19,1,5,28
2014/02/20,1,5,30
2014/02/21,1,5,29
2014/02/22,1,5,28
2014/02/23,1,4,27
2014/02/24,1,4,25
2014/02/25,1,4,24
2014/02/26,1,3,24
2014/02/27,1,3,24
2014/02/28,1,3,25
2014/03/01,1,3,25
2014/03/02,1,3,25
2014/03/03,1,2,24
2014/03/04,1,2,25
2014/03/05,1,2,24
2014/03/06,1,2,24
2014/03/07,1,2,24
2014/03/08,1,2,22
2014/03/09,1,2,24
2014/03/10,1,2,24
2014/03/11,1,2,23
2014/03/12,1,2,22
2014/03/13,1,2,22
2014/03/14,1,2,23
2014/03/15,1,2,22
2014/03/16,1,2,20
2014/03/17,1,2,21
2014/03/18,,2,20
2014/03/19,,2,19
2014/03/20,,2,19
2014/03/21,,2,17
2014/03/22,,2,16
2014/03/23,,2,17
2014/03/24,,1,17
2014/03/25,,1,17
2014/03/26,,1,19
2014/03/27,,1,19
2014/03/28,,1,20
2014/03/29,,2,21
2014/03/30,,2,20
2014/03/31,,2,20
2014/04/01,,2,21
2014/04/02,,2,20
2014/04/03,,2,19
2014/04/04,,2,19
2014/04/05,,2,19
2014/04/06,,2,21
2014/04/07,,2,21
2014/04/08,,2,20
2014/04/09,,2,21
2014/04/10,,2,21
2014/04/11,,2,22
2014/04/12,,2,22
2014/04/13,,2,21
2014/04/14,,2,21
2014/04/15,,2,24
2014/04/16,,2,24
2014/04/17,,2,24
2014/04/18,,2,24
2014/04/19,,2,24
2014/04/20,,2,24
2014/04/21,,3,26
2014/04/22,,3,26
2014/04/23,,3,27
2014/04/24,,3,28
2014/04/25,,3,26
2014/04/26,,3,28
2014/04/27,1,3,29
2014/04/28,1,2,28
2014/04/29,1,2,28
2014/04/30,1,2,28
2014/05/01,1,2,27
2014/05/02,1,3,28
2014/05/03,1,3,27
2014/05/04,1,3,27
2014/05/05,1,3,28
2014/05/06,1,3,27
2014/05/07,1,3,28
2014/05/08,1,3,28
2014/05/09,1,4,28
2014/05/10,1,4,29
2014/05/11,1,5,31
2014/05/12,1,5,31
2014/05/13,1,5,32
2014/05/14,1,5,31
2014/05/15,1,5,31
2014/05/16,1,5,31
2014/05/17,1,5,31
2014/05/18,1,5,31
2014/05/19,1,5,30
2014/05/20,1,5,30
2014/05/21,1,5,28
2014/05/22,1,5,28
2014/05/23,1,5,26
2014/05/24,1,5,25
2014/05/25,1,5,25
2014/05/26,1,5,26
2014/05/27,,5,24
2014/05/28,,5,25
2014/05/29,,6,27
2014/05/30,,7,28
2014/05/31,,7,29
2014/06/01,,6,31
2014/06/02,,6,31
2014/06/03,,6,31
2014/06/04,,6,30
2014/06/05,,6,30
2014/06/06,,6,29
2014/06/07,,5,30
2014/06/08,,5,29
2014/06/09,,5,29
2014/06/10,,4,29
2014/06/11,,4,28
2014/06/12,,4,27
2014/06/13,,4,27
2014/06/14,,4,25
2014/06/15,,4,25
2014/06/16,,4,26
2014/06/17,,4,28
2014/06/18,,3,28
2014/06/19,,3,27
2014/06/20,,3,28
2014/06/21,,3,26
2014/06/22,,3,25
2014/06/23,,3,26
2014/06/24,,3,26
2014/06/25,,3,26
2014/06/26,,3,26
2014/06/27,,3,25
2014/06/28,,3,23
2014/06/29,,3,24
2014/06/30,,3,23
2014/07/01,,3,20
2014/07/02,,3,20
2014/07/03,,3,20
2014/07/04,,4,20
2014/07/05,,4,20
2014/07/06,,3,19
2014/07/07,,3,17
2014/07/08,,3,18
2014/07/09,,3,18
2014/07/10,,3,17
2014/07/11,,3,18
2014/07/12,,3,17
2014/07/13,,3,18
2014/07/14,,3,18
2014/07/15,,3,18
2014/07/16,,3,17
2014/07/17,,3,16
2014/07/18,,3,15
2014/07/19,,4,15
2014/07/20,,4,14
2014/07/21,,4,14
2014/07/22,,4,14
2014/07/23,,4,14
2014/07/24,,4,14
2014/07/25,,4,12
2014/07/26,,4,12
2014/07/27,,4,12
2014/07/28,,4,12
2014/07/29,,3,11
2014/07/30,,3,10
2014/07/31,,3,11
2014/08/01,,3,15
2014/08/02,,3,17
2014/08/03,,3,16
2014/08/04,,3,17
2014/08/05,,3,17
2014/08/06,,3,16
2014/08/07,,3,15
2014/08/08,,3,15
2014/08/09,,2,15
2014/08/10,,2,14
2014/08/11,,3,14
2014/08/12,,4,15
2014/08/13,,4,16
2014/08/14,,4,17
2014/08/15,,4,17
2014/08/16,,4,17
2014/08/17,,5,19
2014/08/18,,5,21
2014/08/19,,4,22
2014/08/20,,4,22
2014/08/21,,4,23
2014/08/22,,4,23
2014/08/23,,4,24
2014/08/24,,4,24
2014/08/25,,4,25
2014/08/26,,5,26
2014/08/27,,5,27
2014/08/28,,5,31
2014/08/29,,5,31
2014/08/30,,5,30
2014/08/31,,5,26
2014/09/01,,5,25
2014/09/02,,5,28
2014/09/03,,5,27
2014/09/04,,5,27
2014/09/05,,5,27
2014/09/06,,5,29
2014/09/07,,5,31
2014/09/08,,5,31
2014/09/09,,6,33
2014/09/10,,6,34
2014/09/11,,6,34
2014/09/12,,6,33
2014/09/13,,6,32
2014/09/14,,5,33
2014/09/15,,6,34
2014/09/16,,6,31
2014/09/17,,6,29
2014/09/18,,6,30
2014/09/19,,6,30
2014/09/20,,6,29
2014/09/21,,6,29
2014/09/22,,5,29
2014/09/23,,5,28
2014/09/24,,5,28
2014/09/25,,5,28
2014/09/26,,5,28
2014/09/27,,5,25
2014/09/28,,5,25
2014/09/29,,5,24
2014/09/30,,5,26
2014/10/01,,5,26
2014/10/02,,5,25
2014/10/03,,5,25
2014/10/04,,5,27
2014/10/05,,5,28
2014/10/06,,5,28
2014/10/07,,5,26
2014/10/08,,5,25
2014/10/09,,4,24
2014/10/10,,4,23
2014/10/11,,4,25
2014/10/12,,4,25
2014/10/13,,4,26
2014/10/14,,4,26
2014/10/15,,4,26
2014/10/16,,4,26
2014/10/17,,4,27
2014/10/18,,4,25
2014/10/19,,4,24
2014/10/20,,4,24
2014/10/21,,4,26
2014/10/22,,3,26
2014/10/23,,3,26
2014/10/24,,3,26
2014/10/25,,3,28
2014/10/26,,3,28
2014/10/27,,3,28
2014/10/28,,3,28
2014/10/29,,3,28
2014/10/30,,2,27
2014/10/31,,2,27
2014/11/01,,3,24
2014/11/02,,3,25
2014/11/03,,4,24
2014/11/04,,3,23
2014/11/05,,5,22
2014/11/06,,5,21
2014/11/07,,5,20
2014/11/08,,5,19
2014/11/09,,5,20
2014/11/10,,4,19
2014/11/11,,4,19
2014/11/12,,4,20
2014/11/13,,4,20
2014/11/14,,3,21
2014/11/15,,3,23
2014/11/16,,3,22
2014/11/17,,3,22
2014/11/18,,3,22
2014/11/19,,3,22
2014/11/20,,3,20
2014/11/21,,3,20
2014/11/22,,3,20
2014/11/23,,3,20
2014/11/24,,3,18
2014/11/25,,3,18
2014/11/26,,3,17
2014/11/27,,3,18
2014/11/28,,3,19
2014/11/29,,3,18
2014/11/30,,3,17
2014/12/01,,3,17
2014/12/02,,3,17
2014/12/03,,3,17
2014/12/04,,3,18
2014/12/05,,3,19
2014/12/06,,3,20
2014/12/07,,3,21
2014/12/08,,3,23
2014/12/09,,3,22
2014/12/10,,3,22
2014/12/11,,3,23
2014/12/12,,3,21
2014/12/13,,3,20
2014/12/14,,3,18
2014/12/15,,3,17
2014/12/16,,3,17
2014/12/17,,3,20
2014/12/18,,3,20
2014/12/19,,3,20
2014/12/20,,3,20
2014/12/21,,3,19
2014/12/22,,3,20
2014/12/23,,3,20
2014/12/24,,3,20
2014/12/25,,3,19
2014/12/26,,3,19
2014/12/27,,3,18
2014/12/28,,3,17
2014/12/29,,3,17
2014/12/30,,3,17
2014/12/31,,3,18
2015/01/01,,3,18
2015/01/02,,3,18
2015/01/03,,3,17
2015/01/04,,3,18
2015/01/05,,3,19
2015/01/06,,3,18
2015/01/07,,2,16
2015/01/08,,2,18
2015/01/09,,2,18
2015/01/10,,2,19
2015/01/11,,2,19
2015/01/12,,3,18
2015/01/13,,3,18
2015/01/14,,3,18
2015/01/15,,3,19
2015/01/16,,3,16
2015/01/17,,3,16
2015/01/18,,2,19
2015/01/19,,3,19
2015/01/20,,3,19
2015/01/21,,1,17
2015/01/22,,1,16
2015/01/23,,1,17
2015/01/24,,1,17
2015/01/25,,1,17
2015/01/26,,2,17
2015/01/27,,2,18
2015/01/28,,2,20
2015/01/29,,2,24
2015/01/30,,2,23
2015/01/31,,2,23
2015/02/01,,2,23
2015/02/02,,2,23
2015/02/03,,2,22
2015/02/04,,2,22
2015/02/05,,3,26
2015/02/06,,3,27
2015/02/07,,2,26
2015/02/08,,2,26
2015/02/09,,2,26
2015/02/10,,2,27
2015/02/11,,2,27
2015/02/12,,1,30
2015/02/13,,1,31
2015/02/14,,2,31
2015/02/15,,2,32
2015/02/16,,2,32
2015/02/17,,2,29
2015/02/18,,3,30
2015/02/19,,3,29
2015/02/20,,3,30
2015/02/21,,3,30
2015/02/22,,3,30
2015/02/23,,3,30
2015/02/24,,3,31
2015/02/25,,3,32
2015/02/26,,3,31
2015/02/27,,3,28
2015/02/28,,3,26
2015/03/01,,3,28
2015/03/02,,3,28
2015/03/03,,3,28
2015/03/04,,3,29
2015/03/05,,4,30
2015/03/06,,4,32
2015/03/07,,4,30
2015/03/08,,4,29
2015/03/09,,4,29
2015/03/10,,4,29
2015/03/11,,4,29
2015/03/12,,4,28
2015/03/13,,4,28
2015/03/14,,5,27
2015/03/15,,6,26
2015/03/16,,5,25
2015/03/17,,5,24
2015/03/18,,5,24
2015/03/19,,5,25
2015/03/20,,5,23
2015/03/21,,5,25
2015/03/22,,6,26
2015/03/23,,6,26
2015/03/24,,6,25
2015/03/25,,6,25
2015/03/26,,7,24
2015/03/27,,7,24
2015/03/28,,7,24
2015/03/29,,7,24
2015/03/30,,7,24
2015/03/31,,7,23
2015/04/01,,7,24
2015/04/02,,7,25
2015/04/03,,6,24
2015/04/04,,5,23
2015/04/05,,5,24
2015/04/06,,4,22
2015/04/07,,5,23
2015/04/08,,5,23
2015/04/09,,5,23
2015/04/10,,5,22
2015/04/11,,5,22
2015/04/12,,5,25
2015/04/13,,4,24
2015/04/14,,4,24
2015/04/15,,4,24
2015/04/16,,4,25
2015/04/17,,4,28
2015/04/18,,4,26
2015/04/19,,4,27
2015/04/20,,2,26
2015/04/21,,1,25
2015/04/22,,1,26
2015/04/23,,1,26
2015/04/24,,1,27
2015/04/25,,1,27
2015/04/26,,2,26
2015/04/27,,2,26
2015/04/28,,2,26
2015/04/29,,2,25
2015/04/30,,2,25
2015/05/01,,3,24
2015/05/02,,3,24
2015/05/03,,3,26
2015/05/04,,3,27
2015/05/05,,3,26
2015/05/06,,3,27
2015/05/07,,3,27
2015/05/08,,3,28
2015/05/09,,3,29
2015/05/10,,3,31
2015/05/11,,3,34
2015/05/12,,3,32
2015/05/13,,3,33
2015/05/14,,6,33
2015/05/15,,6,32
2015/05/16,,6,31
2015/05/17,,6,29
2015/05/18,,6,28
2015/05/19,,6,28
2015/05/20,,6,28
2015/05/21,,6,28
2015/05/22,,6,27
2015/05/23,,6,28
2015/05/24,,6,27
2015/05/25,,6,26
2015/05/26,,7,27
2015/05/27,,7,27
2015/05/28,,7,27
2015/05/29,,7,27
2015/05/30,,7,27
2015/05/31,,7,27
2015/06/01,,6,28
2015/06/02,,7,26
2015/06/03,,8,26
2015/06/04,,8,25
2015/06/05,,7,25
2015/06/06,,7,25
2015/06/07,,7,25
2015/06/08,,7,24
2015/06/09,,7,22
2015/06/10,,7,23
2015/06/11,,7,22
2015/06/12,,5,23
2015/06/13,,5,23
2015/06/14,,6,25
2015/06/15,,6,25
2015/06/16,,6,26
2015/06/17,,6,27
2015/06/18,,7,24
2015/06/19,,7,24
2015/06/20,,7,24
2015/06/21,,7,24
2015/06/22,,7,22
2015/06/23,,7,22
2015/06/24,,7,23
2015/06/25,,6,22
2015/06/26,,6,22
2015/06/27,,6,23
2015/06/28,,6,24
2015/06/29,,6,24
2015/06/30,,6,24
2015/07/01,,6,22
2015/07/02,,7,24
2015/07/03,,7,25
2015/07/04,,7,26
2015/07/05,,7,26
2015/07/06,,7,25
2015/07/07,,6,24
2015/07/08,,6,23
2015/07/09,,6,23
2015/07/10,,6,21
2015/07/11,,6,22
2015/07/12,,6,21
2015/07/13,,6,23
2015/07/14,,5,21
2015/07/15,,5,22
2015/07/16,,5,22
2015/07/17,,5,23
2015/07/18,,5,23
2015/07/19,,5,24
2015/07/20,,5,25
2015/07/21,,5,26
2015/07/22,,5,25
2015/07/23,,5,26
2015/07/24,,5,25
2015/07/25,,5,26
2015/07/26,,5,26
2015/07/27,,4,25
2015/07/28,,4,24
2015/07/29,,4,23
2015/07/30,,3,23
2015/07/31,,3,23
2015/08/01,,2,20
2015/08/02,,3,20
2015/08/03,,3,19
2015/08/04,,3,20
2015/08/05,,3,22
2015/08/06,,2,22
2015/08/07,,2,22
2015/08/08,,3,23
2015/08/09,,3,23
2015/08/10,1,4,25
2015/08/11,1,4,25
2015/08/12,1,5,24
2015/08/13,1,4,24
2015/08/14,1,5,23
2015/08/15,1,5,24
2015/08/16,1,5,23
2015/08/17,1,5,24
2015/08/18,1,5,23
2015/08/19,1,5,22
2015/08/20,1,6,24
2015/08/21,1,6,25
2015/08/22,1,6,25
2015/08/23,1,6,26
2015/08/24,1,6,25
2015/08/25,1,6,25
2015/08/26,1,6,28
2015/08/27,1,6,28
2015/08/28,1,6,28
2015/08/29,1,6,27
2015/08/30,1,6,31
2015/08/31,1,6,32
2015/09/01,1,6,32
2015/09/02,1,6,34
2015/09/03,1,6,33
2015/09/04,1,7,32
2015/09/05,1,7,33
2015/09/06,1,7,33
2015/09/07,1,7,33
2015/09/08,1,7,34
2015/09/09,1,7,33
2015/09/10,,7,34
2015/09/11,,5,33
2015/09/12,,5,32
2015/09/13,,5,33
2015/09/14,,5,31
2015/09/15,,5,33
