date,cswiki (100+),cswiki (5+),cswiki (all)
2012/12/23,117,768,2221
2012/12/24,117,769,2207
2012/12/25,115,764,2188
2012/12/26,114,762,2182
2012/12/27,113,766,2178
2012/12/28,113,759,2173
2012/12/29,116,753,2165
2012/12/30,117,756,2184
2012/12/31,113,753,2189
2013/01/01,111,760,2197
2013/01/02,113,769,2197
2013/01/03,112,773,2221
2013/01/04,114,775,2231
2013/01/05,112,778,2238
2013/01/06,113,780,2261
2013/01/07,116,777,2260
2013/01/08,118,786,2283
2013/01/09,117,792,2287
2013/01/10,116,787,2292
2013/01/11,115,788,2287
2013/01/12,114,783,2272
2013/01/13,114,792,2282
2013/01/14,118,788,2289
2013/01/15,118,792,2293
2013/01/16,117,796,2299
2013/01/17,117,789,2303
2013/01/18,115,792,2307
2013/01/19,114,792,2303
2013/01/20,115,794,2315
2013/01/21,117,792,2322
2013/01/22,116,799,2346
2013/01/23,119,800,2365
2013/01/24,124,813,2397
2013/01/25,122,816,2409
2013/01/26,125,816,2428
2013/01/27,123,820,2428
2013/01/28,129,822,2454
2013/01/29,129,815,2478
2013/01/30,127,808,2491
2013/01/31,125,809,2490
2013/02/01,122,815,2498
2013/02/02,126,811,2467
2013/02/03,126,813,2457
2013/02/04,124,808,2456
2013/02/05,119,807,2436
2013/02/06,119,809,2443
2013/02/07,115,807,2430
2013/02/08,114,811,2439
2013/02/09,115,806,2429
2013/02/10,117,804,2437
2013/02/11,117,811,2454
2013/02/12,118,817,2448
2013/02/13,114,818,2440
2013/02/14,116,822,2434
2013/02/15,119,808,2413
2013/02/16,118,808,2393
2013/02/17,115,811,2408
2013/02/18,113,824,2430
2013/02/19,114,829,2435
2013/02/20,113,829,2450
2013/02/21,111,831,2461
2013/02/22,110,834,2459
2013/02/23,110,831,2425
2013/02/24,110,829,2402
2013/02/25,112,828,2404
2013/02/26,112,818,2408
2013/02/27,112,823,2397
2013/02/28,112,820,2378
2013/03/01,113,811,2367
2013/03/02,112,811,2357
2013/03/03,113,803,2341
2013/03/04,112,805,2333
2013/03/05,114,801,2327
2013/03/06,113,788,2318
2013/03/07,112,788,2310
2013/03/08,110,781,2284
2013/03/09,109,787,2278
2013/03/10,110,793,2271
2013/03/11,110,794,2259
2013/03/12,111,794,2274
2013/03/13,111,786,2274
2013/03/14,111,787,2302
2013/03/15,111,799,2316
2013/03/16,113,794,2295
2013/03/17,110,787,2295
2013/03/18,110,788,2299
2013/03/19,111,798,2311
2013/03/20,109,785,2308
2013/03/21,110,783,2296
2013/03/22,111,783,2273
2013/03/23,110,776,2253
2013/03/24,110,791,2260
2013/03/25,115,792,2262
2013/03/26,113,789,2288
2013/03/27,112,790,2292
2013/03/28,109,787,2271
2013/03/29,105,782,2249
2013/03/30,104,785,2244
2013/03/31,100,791,2259
2013/04/01,101,802,2273
2013/04/02,102,806,2275
2013/04/03,105,803,2279
2013/04/04,104,815,2278
2013/04/05,103,811,2275
2013/04/06,102,808,2267
2013/04/07,103,804,2261
2013/04/08,103,809,2276
2013/04/09,107,805,2280
2013/04/10,107,807,2291
2013/04/11,107,804,2289
2013/04/12,105,813,2286
2013/04/13,100,804,2242
2013/04/14,102,796,2216
2013/04/15,104,800,2228
2013/04/16,103,803,2223
2013/04/17,99,800,2215
2013/04/18,96,786,2198
2013/04/19,96,784,2187
2013/04/20,97,778,2182
2013/04/21,100,782,2192
2013/04/22,102,782,2201
2013/04/23,102,763,2199
2013/04/24,99,761,2188
2013/04/25,100,764,2185
2013/04/26,101,754,2180
2013/04/27,103,749,2188
2013/04/28,102,745,2191
2013/04/29,101,747,2189
2013/04/30,101,751,2193
2013/05/01,98,747,2180
2013/05/02,98,736,2156
2013/05/03,95,735,2146
2013/05/04,95,728,2149
2013/05/05,98,739,2141
2013/05/06,94,737,2136
2013/05/07,95,735,2138
2013/05/08,97,731,2132
2013/05/09,94,735,2107
2013/05/10,90,725,2086
2013/05/11,90,717,2076
2013/05/12,91,722,2062
2013/05/13,92,725,2063
2013/05/14,90,730,2076
2013/05/15,87,725,2082
2013/05/16,89,719,2066
2013/05/17,92,725,2069
2013/05/18,92,725,2073
2013/05/19,90,733,2079
2013/05/20,92,739,2099
2013/05/21,90,742,2116
2013/05/22,89,750,2127
2013/05/23,85,749,2131
2013/05/24,86,756,2147
2013/05/25,88,756,2150
2013/05/26,88,763,2162
2013/05/27,91,778,2198
2013/05/28,92,788,2205
2013/05/29,91,787,2210
2013/05/30,91,789,2218
2013/05/31,90,787,2202
2013/06/01,93,789,2217
2013/06/02,96,785,2219
2013/06/03,96,788,2223
2013/06/04,97,793,2233
2013/06/05,96,790,2226
2013/06/06,93,792,2227
2013/06/07,93,796,2242
2013/06/08,93,792,2235
2013/06/09,91,792,2243
2013/06/10,92,791,2260
2013/06/11,92,783,2260
2013/06/12,90,777,2260
2013/06/13,90,783,2243
2013/06/14,91,781,2237
2013/06/15,94,783,2242
2013/06/16,92,775,2236
2013/06/17,95,763,2230
2013/06/18,91,759,2243
2013/06/19,92,746,2232
2013/06/20,90,745,2204
2013/06/21,91,743,2182
2013/06/22,93,726,2159
2013/06/23,93,719,2144
2013/06/24,94,715,2124
2013/06/25,92,717,2136
2013/06/26,92,703,2111
2013/06/27,92,694,2089
2013/06/28,91,693,2070
2013/06/29,90,687,2041
2013/06/30,93,683,2030
2013/07/01,93,681,2016
2013/07/02,93,686,2006
2013/07/03,93,674,1984
2013/07/04,90,677,1945
2013/07/05,91,673,1927
2013/07/06,93,668,1912
2013/07/07,92,663,1892
2013/07/08,91,655,1886
2013/07/09,90,658,1885
2013/07/10,89,664,1878
2013/07/11,89,661,1871
2013/07/12,89,661,1868
2013/07/13,87,658,1855
2013/07/14,84,655,1826
2013/07/15,84,663,1814
2013/07/16,84,667,1825
2013/07/17,82,666,1817
2013/07/18,82,652,1799
2013/07/19,85,641,1788
2013/07/20,81,637,1765
2013/07/21,81,633,1762
2013/07/22,78,632,1754
2013/07/23,79,639,1757
2013/07/24,78,634,1751
2013/07/25,82,637,1731
2013/07/26,81,636,1719
2013/07/27,84,641,1707
2013/07/28,81,633,1685
2013/07/29,82,625,1673
2013/07/30,85,622,1678
2013/07/31,85,635,1692
2013/08/01,85,625,1684
2013/08/02,84,621,1683
2013/08/03,84,622,1680
2013/08/04,84,620,1664
2013/08/05,84,622,1661
2013/08/06,82,624,1650
2013/08/07,84,622,1665
2013/08/08,85,619,1660
2013/08/09,88,620,1666
2013/08/10,89,613,1661
2013/08/11,91,600,1654
2013/08/12,88,591,1656
2013/08/13,87,596,1660
2013/08/14,85,590,1667
2013/08/15,86,581,1658
2013/08/16,87,584,1659
2013/08/17,86,586,1660
2013/08/18,87,590,1656
2013/08/19,87,585,1671
2013/08/20,88,587,1682
2013/08/21,87,592,1697
2013/08/22,89,589,1689
2013/08/23,87,593,1683
2013/08/24,87,593,1676
2013/08/25,85,585,1675
2013/08/26,85,585,1664
2013/08/27,85,591,1689
2013/08/28,84,589,1695
2013/08/29,85,590,1702
2013/08/30,86,593,1704
2013/08/31,86,599,1688
2013/09/01,86,602,1680
2013/09/02,85,608,1701
2013/09/03,86,606,1729
2013/09/04,89,601,1740
2013/09/05,87,603,1739
2013/09/06,85,611,1746
2013/09/07,86,607,1737
2013/09/08,84,598,1729
2013/09/09,80,601,1715
2013/09/10,79,606,1728
2013/09/11,80,609,1747
2013/09/12,80,612,1748
2013/09/13,79,609,1738
2013/09/14,82,610,1738
2013/09/15,85,615,1743
2013/09/16,85,621,1763
2013/09/17,86,624,1775
2013/09/18,87,624,1779
2013/09/19,89,618,1780
2013/09/20,92,616,1775
2013/09/21,93,615,1773
2013/09/22,90,618,1776
2013/09/23,89,611,1762
2013/09/24,88,611,1781
2013/09/25,90,619,1798
2013/09/26,90,614,1801
2013/09/27,90,618,1813
2013/09/28,90,623,1805
2013/09/29,89,620,1785
2013/09/30,90,615,1788
2013/10/01,85,617,1820
2013/10/02,85,613,1811
2013/10/03,86,608,1812
2013/10/04,87,605,1809
2013/10/05,88,606,1808
2013/10/06,87,608,1793
2013/10/07,88,606,1805
2013/10/08,88,609,1827
2013/10/09,88,615,1850
2013/10/10,84,609,1839
2013/10/11,83,601,1835
2013/10/12,85,603,1845
2013/10/13,84,602,1840
2013/10/14,83,604,1843
2013/10/15,81,595,1844
2013/10/16,79,590,1836
2013/10/17,82,588,1838
2013/10/18,80,586,1837
2013/10/19,76,578,1825
2013/10/20,78,574,1828
2013/10/21,78,581,1837
2013/10/22,79,578,1836
2013/10/23,80,576,1835
2013/10/24,80,583,1826
2013/10/25,78,567,1817
2013/10/26,77,568,1807
2013/10/27,79,572,1795
2013/10/28,79,571,1802
2013/10/29,80,575,1813
2013/10/30,78,576,1813
2013/10/31,79,584,1812
2013/11/01,82,578,1801
2013/11/02,83,571,1802
2013/11/03,83,568,1805
2013/11/04,83,576,1813
2013/11/05,85,585,1831
2013/11/06,83,588,1857
2013/11/07,87,590,1865
2013/11/08,87,589,1855
2013/11/09,85,592,1847
2013/11/10,87,595,1830
2013/11/11,85,592,1843
2013/11/12,83,590,1852
2013/11/13,85,583,1855
2013/11/14,85,589,1856
2013/11/15,90,597,1856
2013/11/16,88,601,1852
2013/11/17,86,605,1850
2013/11/18,90,616,1862
2013/11/19,90,615,1867
2013/11/20,89,602,1860
2013/11/21,88,603,1875
2013/11/22,86,604,1886
2013/11/23,86,598,1874
2013/11/24,85,605,1879
2013/11/25,86,608,1894
2013/11/26,86,608,1912
2013/11/27,85,607,1916
2013/11/28,86,609,1920
2013/11/29,84,610,1921
2013/11/30,81,606,1918
2013/12/01,81,618,1936
2013/12/02,78,628,1954
2013/12/03,78,637,1958
2013/12/04,80,641,1953
2013/12/05,83,634,1950
2013/12/06,81,632,1935
2013/12/07,79,626,1921
2013/12/08,80,631,1931
2013/12/09,78,642,1931
2013/12/10,81,637,1948
2013/12/11,82,650,1958
2013/12/12,83,649,1965
2013/12/13,81,650,1952
2013/12/14,81,645,1946
2013/12/15,81,641,1936
2013/12/16,80,647,1952
2013/12/17,78,639,1952
2013/12/18,78,642,1956
2013/12/19,78,640,1951
2013/12/20,77,640,1936
2013/12/21,76,643,1920
2013/12/22,74,641,1910
2013/12/23,73,648,1915
2013/12/24,76,640,1912
2013/12/25,73,631,1888
2013/12/26,73,634,1871
2013/12/27,75,632,1864
2013/12/28,76,636,1863
2013/12/29,77,634,1860
2013/12/30,78,638,1850
2013/12/31,80,645,1853
2014/01/01,81,634,1836
2014/01/02,85,640,1833
2014/01/03,87,648,1843
2014/01/04,93,651,1859
2014/01/05,96,661,1870
2014/01/06,99,670,1889
2014/01/07,99,676,1890
2014/01/08,100,682,1909
2014/01/09,103,689,1924
2014/01/10,102,689,1909
2014/01/11,104,701,1913
2014/01/12,102,713,1941
2014/01/13,100,729,1951
2014/01/14,105,729,1964
2014/01/15,106,730,1982
2014/01/16,109,750,2004
2014/01/17,108,755,2012
2014/01/18,108,763,2012
2014/01/19,108,771,2035
2014/01/20,110,782,2062
2014/01/21,106,785,2085
2014/01/22,107,788,2104
2014/01/23,109,791,2129
2014/01/24,110,803,2173
2014/01/25,110,815,2183
2014/01/26,109,818,2198
2014/01/27,112,816,2207
2014/01/28,109,822,2227
2014/01/29,107,822,2240
2014/01/30,105,823,2244
2014/01/31,104,824,2259
2014/02/01,104,819,2275
2014/02/02,107,813,2263
2014/02/03,107,814,2275
2014/02/04,107,807,2279
2014/02/05,107,813,2279
2014/02/06,106,817,2274
2014/02/07,106,813,2275
2014/02/08,108,803,2263
2014/02/09,106,796,2261
2014/02/10,109,795,2270
2014/02/11,108,802,2265
2014/02/12,110,798,2253
2014/02/13,110,795,2248
2014/02/14,107,786,2237
2014/02/15,107,779,2202
2014/02/16,106,767,2181
2014/02/17,106,768,2190
2014/02/18,104,781,2186
2014/02/19,106,773,2176
2014/02/20,108,780,2165
2014/02/21,106,777,2162
2014/02/22,105,773,2154
2014/02/23,103,774,2136
2014/02/24,103,775,2125
2014/02/25,105,770,2132
2014/02/26,103,773,2131
2014/02/27,102,769,2117
2014/02/28,100,769,2111
2014/03/01,103,769,2111
2014/03/02,102,763,2119
2014/03/03,99,759,2114
2014/03/04,98,756,2117
2014/03/05,97,755,2106
2014/03/06,95,761,2111
2014/03/07,92,758,2093
2014/03/08,95,754,2097
2014/03/09,97,751,2087
2014/03/10,98,743,2069
2014/03/11,97,742,2075
2014/03/12,97,735,2072
2014/03/13,95,739,2067
2014/03/14,95,734,2050
2014/03/15,96,726,2038
2014/03/16,95,723,2026
2014/03/17,95,726,2030
2014/03/18,95,732,2037
2014/03/19,95,723,2026
2014/03/20,95,715,2022
2014/03/21,96,719,2003
2014/03/22,95,712,1999
2014/03/23,96,705,1988
2014/03/24,96,699,1981
2014/03/25,92,700,1999
2014/03/26,92,693,2009
2014/03/27,92,696,2025
2014/03/28,93,701,2014
2014/03/29,90,692,2000
2014/03/30,88,681,1981
2014/03/31,86,674,1993
2014/04/01,85,675,1995
2014/04/02,85,681,2004
2014/04/03,86,684,2017
2014/04/04,85,676,2005
2014/04/05,85,663,1969
2014/04/06,86,663,1961
2014/04/07,86,660,1962
2014/04/08,85,671,1958
2014/04/09,88,671,1983
2014/04/10,90,673,1971
2014/04/11,92,672,1964
2014/04/12,92,671,1966
2014/04/13,92,672,1961
2014/04/14,93,675,1974
2014/04/15,90,677,1968
2014/04/16,88,675,1961
2014/04/17,88,675,1946
2014/04/18,88,679,1941
2014/04/19,88,678,1928
2014/04/20,89,677,1924
2014/04/21,88,677,1931
2014/04/22,87,680,1936
2014/04/23,85,683,1952
2014/04/24,86,681,1948
2014/04/25,87,676,1930
2014/04/26,85,672,1920
2014/04/27,89,672,1906
2014/04/28,86,671,1907
2014/04/29,84,675,1922
2014/04/30,85,669,1930
2014/05/01,84,665,1915
2014/05/02,87,666,1902
2014/05/03,85,662,1897
2014/05/04,85,663,1883
2014/05/05,85,670,1906
2014/05/06,89,674,1910
2014/05/07,90,667,1895
2014/05/08,87,663,1899
2014/05/09,86,658,1882
2014/05/10,86,656,1868
2014/05/11,87,647,1850
2014/05/12,91,648,1864
2014/05/13,93,660,1888
2014/05/14,93,660,1892
2014/05/15,93,669,1909
2014/05/16,91,677,1908
2014/05/17,89,681,1924
2014/05/18,90,703,1934
2014/05/19,89,713,1967
2014/05/20,89,717,1993
2014/05/21,89,725,2019
2014/05/22,87,728,2030
2014/05/23,86,746,2033
2014/05/24,85,747,2036
2014/05/25,85,750,2042
2014/05/26,86,773,2101
2014/05/27,88,791,2132
2014/05/28,87,800,2160
2014/05/29,91,798,2176
2014/05/30,93,805,2178
2014/05/31,94,815,2196
2014/06/01,95,814,2212
2014/06/02,95,811,2212
2014/06/03,95,814,2235
2014/06/04,93,812,2245
2014/06/05,92,814,2261
2014/06/06,92,818,2267
2014/06/07,90,822,2276
2014/06/08,90,825,2252
2014/06/09,90,822,2250
2014/06/10,89,823,2267
2014/06/11,88,828,2252
2014/06/12,88,823,2242
2014/06/13,89,822,2223
2014/06/14,87,809,2210
2014/06/15,87,801,2200
2014/06/16,86,789,2191
2014/06/17,88,780,2170
2014/06/18,88,771,2156
2014/06/19,86,772,2151
2014/06/20,89,768,2138
2014/06/21,89,753,2129
2014/06/22,85,743,2101
2014/06/23,85,739,2088
2014/06/24,83,736,2074
2014/06/25,85,704,1998
2014/06/26,85,693,1978
2014/06/27,85,684,1936
2014/06/28,83,689,1906
2014/06/29,83,675,1881
2014/06/30,84,667,1868
2014/07/01,82,667,1876
2014/07/02,85,664,1874
2014/07/03,84,663,1859
2014/07/04,83,658,1824
2014/07/05,81,660,1800
2014/07/06,80,651,1784
2014/07/07,81,641,1788
2014/07/08,82,643,1787
2014/07/09,83,636,1776
2014/07/10,79,628,1765
2014/07/11,76,629,1754
2014/07/12,75,641,1741
2014/07/13,76,634,1719
2014/07/14,78,631,1692
2014/07/15,78,628,1693
2014/07/16,76,632,1700
2014/07/17,78,623,1702
2014/07/18,80,611,1693
2014/07/19,81,598,1678
2014/07/20,80,593,1668
2014/07/21,78,597,1663
2014/07/22,80,596,1650
2014/07/23,78,589,1663
2014/07/24,79,595,1663
2014/07/25,78,598,1664
2014/07/26,78,600,1651
2014/07/27,80,597,1640
2014/07/28,80,605,1657
2014/07/29,81,608,1673
2014/07/30,81,608,1680
2014/07/31,81,602,1671
2014/08/01,80,603,1673
2014/08/02,82,606,1682
2014/08/03,82,613,1705
2014/08/04,81,608,1709
2014/08/05,83,613,1725
2014/08/06,85,622,1743
2014/08/07,83,628,1758
2014/08/08,80,634,1773
2014/08/09,84,638,1763
2014/08/10,82,631,1753
2014/08/11,84,626,1760
2014/08/12,84,625,1785
2014/08/13,85,623,1787
2014/08/14,85,631,1796
2014/08/15,86,637,1798
2014/08/16,86,638,1804
2014/08/17,84,643,1801
2014/08/18,82,644,1790
2014/08/19,82,649,1822
2014/08/20,84,659,1840
2014/08/21,84,661,1862
2014/08/22,84,668,1862
2014/08/23,82,665,1848
2014/08/24,81,667,1844
2014/08/25,81,662,1855
2014/08/26,81,662,1880
2014/08/27,83,664,1882
2014/08/28,83,657,1885
2014/08/29,85,660,1868
2014/08/30,84,654,1858
2014/08/31,82,651,1845
2014/09/01,79,651,1845
2014/09/02,78,645,1840
2014/09/03,80,653,1853
2014/09/04,78,647,1862
2014/09/05,80,654,1854
2014/09/06,76,656,1839
2014/09/07,76,654,1819
2014/09/08,76,660,1816
2014/09/09,78,666,1820
2014/09/10,77,661,1840
2014/09/11,75,665,1838
2014/09/12,74,662,1847
2014/09/13,75,658,1850
2014/09/14,74,659,1842
2014/09/15,72,658,1833
2014/09/16,72,664,1853
2014/09/17,72,665,1853
2014/09/18,72,654,1829
2014/09/19,71,645,1804
2014/09/20,71,639,1797
2014/09/21,71,630,1789
2014/09/22,72,632,1791
2014/09/23,75,642,1808
2014/09/24,77,646,1805
2014/09/25,74,643,1799
2014/09/26,77,639,1785
2014/09/27,75,648,1781
2014/09/28,76,645,1768
2014/09/29,76,639,1767
2014/09/30,78,633,1782
2014/10/01,77,631,1776
2014/10/02,79,639,1797
2014/10/03,81,633,1806
2014/10/04,81,634,1800
2014/10/05,80,638,1803
2014/10/06,78,632,1801
2014/10/07,78,637,1810
2014/10/08,78,637,1821
2014/10/09,78,638,1840
2014/10/10,78,638,1827
2014/10/11,79,632,1808
2014/10/12,83,624,1799
2014/10/13,84,614,1785
2014/10/14,84,614,1794
2014/10/15,84,617,1799
2014/10/16,83,625,1817
2014/10/17,87,626,1839
2014/10/18,83,633,1846
2014/10/19,82,633,1840
2014/10/20,79,641,1830
2014/10/21,77,642,1836
2014/10/22,77,631,1829
2014/10/23,76,628,1825
2014/10/24,78,638,1819
2014/10/25,80,642,1826
2014/10/26,77,645,1827
2014/10/27,75,649,1825
2014/10/28,76,652,1831
2014/10/29,77,656,1844
2014/10/30,76,657,1850
2014/10/31,76,662,1849
2014/11/01,76,670,1847
2014/11/02,78,670,1856
2014/11/03,76,671,1865
2014/11/04,77,674,1866
2014/11/05,80,670,1880
2014/11/06,81,663,1889
2014/11/07,79,666,1889
2014/11/08,76,673,1890
2014/11/09,77,683,1906
2014/11/10,79,680,1919
2014/11/11,82,689,1948
2014/11/12,82,705,1964
2014/11/13,82,700,1955
2014/11/14,83,696,1947
2014/11/15,82,692,1919
2014/11/16,80,689,1904
2014/11/17,83,683,1915
2014/11/18,83,691,1928
2014/11/19,83,692,1939
2014/11/20,83,696,1944
2014/11/21,83,687,1955
2014/11/22,79,688,1936
2014/11/23,81,689,1944
2014/11/24,83,691,1947
2014/11/25,84,684,1952
2014/11/26,84,693,1956
2014/11/27,85,699,1956
2014/11/28,80,700,1952
2014/11/29,81,690,1959
2014/11/30,81,690,1945
2014/12/01,82,688,1951
2014/12/02,83,698,1963
2014/12/03,82,690,1956
2014/12/04,80,691,1956
2014/12/05,79,692,1958
2014/12/06,76,695,1953
2014/12/07,77,694,1961
2014/12/08,79,700,1959
2014/12/09,79,699,1972
2014/12/10,81,689,1990
2014/12/11,82,691,1972
2014/12/12,81,688,1960
2014/12/13,81,694,1950
2014/12/14,82,697,1945
2014/12/15,84,703,1963
2014/12/16,84,709,1982
2014/12/17,84,711,1985
2014/12/18,85,714,1979
2014/12/19,87,711,1962
2014/12/20,86,704,1946
2014/12/21,85,708,1937
2014/12/22,90,714,1941
2014/12/23,87,711,1951
2014/12/24,87,707,1949
2014/12/25,88,699,1940
2014/12/26,87,692,1931
2014/12/27,86,687,1912
2014/12/28,88,689,1905
2014/12/29,91,685,1901
2014/12/30,91,682,1917
2014/12/31,93,684,1920
2015/01/01,92,681,1898
2015/01/02,95,690,1911
2015/01/03,98,701,1929
2015/01/04,99,709,1973
2015/01/05,97,736,2010
2015/01/06,98,739,2033
2015/01/07,97,732,2034
2015/01/08,94,730,2024
2015/01/09,98,734,2022
2015/01/10,96,729,2014
2015/01/11,97,732,2019
2015/01/12,99,725,2030
2015/01/13,99,732,2044
2015/01/14,99,728,2048
2015/01/15,101,736,2050
2015/01/16,102,743,2052
2015/01/17,100,751,2058
2015/01/18,101,757,2065
2015/01/19,104,758,2090
2015/01/20,100,763,2104
2015/01/21,100,773,2120
2015/01/22,103,776,2113
2015/01/23,102,782,2128
2015/01/24,104,792,2154
2015/01/25,105,797,2170
2015/01/26,109,805,2188
2015/01/27,107,805,2196
2015/01/28,107,806,2206
2015/01/29,103,810,2220
2015/01/30,105,814,2228
2015/01/31,106,822,2248
2015/02/01,104,817,2248
2015/02/02,103,814,2249
2015/02/03,105,813,2239
2015/02/04,106,808,2230
2015/02/05,102,798,2188
2015/02/06,104,799,2225
2015/02/07,100,812,2225
2015/02/08,102,811,2235
2015/02/09,104,818,2246
2015/02/10,101,814,2264
2015/02/11,101,814,2264
2015/02/12,101,820,2255
2015/02/13,104,819,2274
2015/02/14,104,818,2260
2015/02/15,106,827,2257
2015/02/16,105,833,2289
2015/02/17,106,832,2293
2015/02/18,108,838,2314
2015/02/19,109,840,2316
2015/02/20,108,838,2300
2015/02/21,107,848,2306
2015/02/22,108,844,2315
2015/02/23,105,843,2318
2015/02/24,106,835,2323
2015/02/25,107,845,2334
2015/02/26,110,838,2326
2015/02/27,105,838,2330
2015/02/28,107,843,2333
2015/03/01,107,837,2329
2015/03/02,106,828,2326
2015/03/03,105,832,2329
2015/03/04,107,826,2321
2015/03/05,105,822,2302
2015/03/06,106,827,2313
2015/03/07,104,839,2324
2015/03/08,105,829,2306
2015/03/09,106,832,2295
2015/03/10,106,829,2302
2015/03/11,109,823,2286
2015/03/12,108,823,2267
2015/03/13,106,819,2271
2015/03/14,104,821,2262
2015/03/15,106,811,2234
2015/03/16,102,805,2252
2015/03/17,102,808,2266
2015/03/18,103,792,2260
2015/03/19,103,796,2270
2015/03/20,102,791,2236
2015/03/21,102,795,2216
2015/03/22,102,796,2221
2015/03/23,106,790,2224
2015/03/24,108,793,2236
2015/03/25,102,789,2229
2015/03/26,103,787,2203
2015/03/27,103,782,2196
2015/03/28,101,785,2204
2015/03/29,98,777,2191
2015/03/30,101,772,2205
2015/03/31,103,775,2200
2015/04/01,103,777,2199
2015/04/02,106,770,2194
2015/04/03,105,781,2195
2015/04/04,106,784,2203
2015/04/05,106,781,2196
2015/04/06,110,782,2195
2015/04/07,110,775,2226
2015/04/08,110,776,2222
2015/04/09,113,773,2228
2015/04/10,111,792,2233
2015/04/11,109,790,2226
2015/04/12,113,789,2216
2015/04/13,111,799,2217
2015/04/14,110,798,2234
2015/04/15,111,794,2227
2015/04/16,110,787,2205
2015/04/17,109,793,2213
2015/04/18,110,792,2200
2015/04/19,111,799,2210
2015/04/20,113,799,2227
2015/04/21,115,798,2240
2015/04/22,114,805,2257
2015/04/23,111,797,2244
2015/04/24,115,789,2227
2015/04/25,117,799,2239
2015/04/26,116,788,2240
2015/04/27,116,792,2234
2015/04/28,115,792,2240
2015/04/29,110,808,2238
2015/04/30,109,801,2251
2015/05/01,110,803,2251
2015/05/02,108,805,2258
2015/05/03,110,797,2238
2015/05/04,111,788,2258
2015/05/05,109,797,2257
2015/05/06,109,803,2267
2015/05/07,108,793,2241
2015/05/08,106,788,2232
2015/05/09,107,776,2204
2015/05/10,105,755,2185
2015/05/11,104,753,2182
