date,brwiki (100+),brwiki (5+),brwiki (all)
2015/07/27,6,16,70
2015/07/28,6,16,72
2015/07/29,6,16,71
2015/07/30,6,15,72
2015/07/31,5,14,71
2015/08/01,5,14,72
2015/08/02,5,14,73
2015/08/03,5,14,73
2015/08/04,5,14,74
2015/08/05,5,14,76
2015/08/06,5,16,76
2015/08/07,5,16,77
2015/08/08,5,16,76
2015/08/09,5,16,73
2015/08/10,5,16,70
2015/08/11,5,17,70
2015/08/12,5,18,70
2015/08/13,5,18,70
2015/08/14,5,17,70
2015/08/15,5,18,72
2015/08/16,5,18,76
2015/08/17,5,19,80
2015/08/18,5,19,80
2015/08/19,5,19,84
2015/08/20,6,19,85
2015/08/21,6,18,83
2015/08/22,6,18,82
2015/08/23,6,19,86
2015/08/24,6,20,84
2015/08/25,6,20,82
2015/08/26,7,20,80
2015/08/27,8,20,78
2015/08/28,8,22,77
2015/08/29,8,22,79
2015/08/30,8,20,80
2015/08/31,8,21,81
2015/09/01,8,23,80
2015/09/02,8,23,79
2015/09/03,8,24,81
2015/09/04,8,25,82
2015/09/05,8,24,80
2015/09/06,8,24,83
2015/09/07,8,24,84
2015/09/08,8,24,83
2015/09/09,8,25,86
2015/09/10,8,26,90
2015/09/11,8,26,92
2015/09/12,8,26,93
2015/09/13,8,26,91
2015/09/14,8,24,89
2015/09/15,8,24,85
2015/09/16,8,23,82
2015/09/17,8,24,83
2015/09/18,8,23,78
2015/09/19,8,23,79
2015/09/20,8,23,82
2015/09/21,8,22,82
2015/09/22,8,20,83
2015/09/23,8,20,81
2015/09/24,8,20,85
2015/09/25,8,20,84
2015/09/26,8,20,85
2015/09/27,8,20,85
2015/09/28,8,20,86
2015/09/29,8,20,85
2015/09/30,8,20,84
2015/10/01,9,19,83
2015/10/02,9,19,83
2015/10/03,9,18,80
2015/10/04,9,18,79
2015/10/05,9,18,79
2015/10/06,9,18,78
2015/10/07,9,18,81
2015/10/08,9,20,82
2015/10/09,9,20,84
2015/10/10,9,19,85
2015/10/11,9,18,86
2015/10/12,9,18,87
2015/10/13,9,18,88
2015/10/14,9,17,87
2015/10/15,9,17,90
2015/10/16,8,17,89
2015/10/17,8,16,87
2015/10/18,8,16,92
2015/10/19,7,16,90
2015/10/20,6,17,88
2015/10/21,6,17,88
2015/10/22,6,17,86
2015/10/23,6,17,89
2015/10/24,7,17,88
2015/10/25,7,17,90
2015/10/26,7,18,89
2015/10/27,6,16,87
2015/10/28,7,18,89
2015/10/29,7,20,90
2015/10/30,7,21,92
2015/10/31,7,24,90
2015/11/01,7,23,91
2015/11/02,7,22,96
2015/11/03,7,23,100
2015/11/04,7,23,99
2015/11/05,7,25,99
2015/11/06,7,24,97
2015/11/07,7,24,96
2015/11/08,7,24,93
2015/11/09,7,23,91
2015/11/10,7,24,96
2015/11/11,7,24,100
2015/11/12,7,27,102
2015/11/13,6,27,102
2015/11/14,6,27,99
2015/11/15,6,27,101
2015/11/16,6,28,101
2015/11/17,6,29,101
2015/11/18,6,30,103
2015/11/19,6,30,104
2015/11/20,6,30,106
2015/11/21,6,30,106
2015/11/22,6,28,103
2015/11/23,5,29,103
2015/11/24,5,29,101
2015/11/25,5,27,104
2015/11/26,5,27,104
2015/11/27,5,24,103
2015/11/28,5,24,101
2015/11/29,5,24,98
2015/11/30,5,23,95
2015/12/01,6,23,96
2015/12/02,6,24,93
2015/12/03,6,23,90
2015/12/04,6,22,91
2015/12/05,6,21,88
2015/12/06,6,21,89
2015/12/07,6,21,89
2015/12/08,6,21,87
2015/12/09,6,20,85
2015/12/10,6,19,81
2015/12/11,6,19,78
2015/12/12,6,17,76
2015/12/13,7,18,78
2015/12/14,7,18,79
2015/12/15,7,19,78
2015/12/16,8,17,80
2015/12/17,8,17,80
2016/01/18,10,31,86
2016/01/19,10,30,87
2016/01/20,10,29,85
2016/01/21,10,28,84
2016/01/22,10,29,84
2016/01/23,9,27,85
2016/01/24,9,27,87
2016/01/25,9,28,87
2016/01/26,9,28,85
2016/01/27,9,27,85
2016/01/28,9,26,83
2016/01/29,9,26,78
2016/01/30,9,26,76
2016/01/31,9,29,76
2016/02/01,9,31,76
2016/02/02,9,29,74
2016/02/03,8,30,77
2016/02/04,8,31,77
2016/02/05,8,30,78
2016/02/06,8,31,80
2016/02/07,8,31,78
2016/02/08,8,30,78
2016/02/09,8,30,76
2016/02/10,9,31,78
2016/02/11,9,31,77
2016/02/12,9,31,77
2016/02/13,9,32,83
2016/02/14,9,31,84
2016/02/15,10,31,86
2016/02/16,10,31,88
2016/02/17,10,32,85
2016/02/18,10,32,85
2016/02/19,9,30,84
2016/02/20,9,28,82
2016/02/21,9,28,86
2016/02/22,9,28,85
2016/02/23,9,28,84
2016/02/24,8,28,82
2016/02/25,8,29,83
2016/02/26,8,29,85
2016/02/27,8,29,83
2016/02/28,8,29,86
2016/02/29,8,28,87
2016/03/01,8,28,88
2016/03/02,8,26,85
2016/03/03,8,27,87
2016/03/04,8,26,83
2016/03/05,8,27,78
2016/03/06,8,26,78
2016/03/07,8,25,80
2016/03/08,8,25,80
2016/03/09,8,24,80
2016/03/10,8,24,82
2016/03/11,8,24,80
2016/03/12,8,24,81
2016/03/13,8,24,84
2016/03/14,8,23,79
2016/03/15,8,23,80
2016/03/16,8,24,81
2016/03/17,8,24,83
2016/03/18,8,23,85
2016/03/19,8,24,86
2016/03/20,8,24,89
2016/03/21,8,25,90
2016/03/22,8,26,90
2016/03/23,8,25,91
2016/03/24,8,25,92
2016/03/25,8,25,91
2016/03/26,8,25,92
2016/03/27,8,24,90
2016/03/28,8,23,90
2016/03/29,8,23,88
2016/03/30,8,23,89
2016/03/31,8,25,87
2016/04/01,8,24,92
2016/04/02,8,24,92
2016/04/03,8,24,94
2016/04/04,8,24,97
2016/04/05,8,24,97
2016/04/06,8,23,96
2016/04/07,8,23,96
2016/04/08,7,23,95
2016/04/09,7,23,93
2016/04/10,7,23,93
2016/04/11,7,23,96
2016/04/12,7,24,95
2016/04/13,7,24,94
2016/04/14,7,24,92
2016/04/15,7,23,90
2016/04/16,7,23,89
2016/04/17,7,23,89
2016/04/18,7,23,87
2016/04/19,7,23,85
2016/04/20,7,22,84
2016/04/21,7,22,82
2016/04/22,7,22,81
2016/04/23,6,22,77
2016/04/24,6,21,78
2016/04/25,7,22,77
2016/04/26,7,21,80
2016/04/27,7,22,81
2016/04/28,8,22,81
2016/04/29,8,22,79
2016/04/30,7,22,83
2016/05/01,8,22,82
2016/05/02,8,22,80
2016/05/03,8,22,79
2016/05/04,8,22,75
2016/05/05,8,22,77
2016/05/06,9,22,75
2016/05/07,9,22,73
2016/05/08,9,21,72
2016/05/09,8,21,73
2016/05/10,8,22,73
2016/05/11,8,21,70
2016/05/12,8,20,66
2016/05/13,8,19,65
2016/05/14,8,19,66
2016/05/15,8,18,68
2016/05/16,8,17,67
2016/05/17,8,17,67
2016/05/18,7,16,69
2016/05/19,7,16,73
2016/05/20,7,17,73
2016/05/21,7,18,74
2016/05/22,7,18,75
2016/05/23,7,19,76
2016/05/24,7,20,79
2016/05/25,7,20,78
2016/05/26,7,21,77
2016/05/27,7,21,78
2016/05/28,6,21,79
2016/05/29,6,21,78
2016/05/30,6,21,76
2016/05/31,6,23,78
2016/06/01,6,24,79
2016/06/02,6,24,80
2016/06/03,6,24,80
2016/06/04,6,24,79
2016/06/05,6,24,78
2016/06/06,6,25,78
2016/06/07,7,26,81
2016/06/08,6,26,78
2016/06/09,6,25,78
2016/06/10,6,24,79
2016/06/11,6,23,79
2016/06/12,6,22,80
2016/06/13,6,22,80
2016/06/14,6,22,76
2016/06/15,5,22,75
2016/06/16,5,22,76
2016/06/17,5,22,75
2016/06/18,5,22,75
2016/06/19,5,22,74
2016/06/20,5,22,74
2016/06/21,5,21,76
2016/06/22,5,21,75
2016/06/23,5,21,72
2016/06/24,4,21,72
2016/06/25,5,21,74
2016/06/26,5,21,74
2016/06/27,5,21,73
2016/06/28,5,21,74
2016/06/29,5,21,74
2016/06/30,5,19,69
2016/07/01,5,19,72
2016/07/02,5,18,71
2016/07/03,5,18,72
2016/07/04,4,18,73
2016/07/05,4,19,75
2016/07/06,4,19,76
2016/07/07,4,20,76
2016/07/08,4,20,76
2016/07/09,4,20,75
2016/07/10,4,18,76
2016/07/11,4,17,76
2016/07/12,4,19,76
2016/07/13,4,21,81
2016/07/14,4,21,84
2016/07/15,4,21,84
2016/07/16,4,21,81
2016/07/17,4,21,83
2016/07/18,4,21,81
2016/07/19,4,20,80
2016/07/20,4,21,79
2016/07/21,4,23,81
2016/07/22,4,23,80
2016/07/23,4,23,80
2016/07/24,4,22,79
2016/07/25,4,22,80
2016/07/26,4,23,81
2016/07/27,4,23,80
2016/07/28,4,23,77
2016/07/29,4,24,82
2016/07/30,5,25,85
2016/07/31,5,26,82
2016/08/01,5,26,81
2016/08/02,6,26,79
2016/08/03,6,26,78
2016/08/04,6,26,76
2016/08/05,5,27,76
2016/08/06,5,24,75
2016/08/07,5,26,75
2016/08/08,5,27,76
2016/08/09,6,28,77
2016/08/10,6,28,79
2016/08/11,6,26,79
2016/08/12,7,24,80
2016/08/13,7,25,78
2016/08/14,8,26,77
2016/08/15,8,25,76
2016/08/16,8,26,72
2016/08/17,8,27,74
2016/08/18,8,27,74
2016/08/19,8,27,73
2016/08/20,7,25,72
2016/08/21,7,25,74
2016/08/22,7,25,74
2016/08/23,7,25,73
2016/08/24,7,24,74
2016/08/25,7,25,71
2016/08/26,7,27,72
2016/08/27,7,27,74
2016/08/28,6,26,74
2016/08/29,6,27,70
2016/08/30,6,28,71
2016/08/31,7,28,74
2016/09/01,7,28,75
2016/09/02,6,27,78
2016/09/03,6,27,76
2016/09/04,6,27,76
2016/09/05,7,27,78
2016/09/06,6,25,80
2016/09/07,6,25,79
2016/09/08,6,25,81
2016/09/09,6,24,79
2016/09/10,6,25,79
2016/09/11,6,24,77
2016/09/12,6,23,78
2016/09/13,6,22,76
2016/09/14,6,21,75
2016/09/15,6,20,75
2016/09/16,6,20,74
2016/09/17,6,20,73
2016/09/18,6,20,74
2016/09/19,6,20,72
2016/09/20,7,21,72
2016/09/21,7,20,71
2016/09/22,7,20,72
2016/09/23,7,20,71
2016/09/24,7,19,71
2016/09/25,7,18,70
2016/09/26,7,19,68
2016/09/27,7,19,66
2016/09/28,7,17,68
2016/09/29,6,15,68
2016/09/30,6,15,67
2016/10/01,6,16,69
2016/10/02,6,17,66
2016/10/03,6,17,69
2016/10/04,6,19,71
2016/10/05,6,19,72
2016/10/06,6,19,72
2016/10/07,6,20,74
2016/10/08,6,21,75
2016/10/09,6,21,79
2016/10/10,6,21,79
2016/10/11,6,21,81
2016/10/12,6,21,78
2016/10/13,6,21,79
2016/10/14,6,21,79
2016/10/15,6,21,81
2016/10/16,6,22,83
2016/10/17,5,21,81
2016/10/18,6,20,81
2016/10/19,6,20,81
2016/10/20,5,20,76
2016/10/21,5,20,76
2016/10/22,6,21,76
2016/10/23,6,21,74
2016/10/24,6,21,75
2016/10/25,6,20,73
2016/10/26,6,20,70
2016/10/27,6,21,71
2016/10/28,7,20,71
2016/10/29,7,20,71
2016/10/30,7,21,72
2016/10/31,7,21,71
2016/11/01,6,19,72
2016/11/02,6,19,73
2016/11/03,6,18,72
2016/11/04,6,18,72
2016/11/05,6,18,75
2016/11/06,6,18,75
2016/11/07,6,17,73
2016/11/08,6,17,68
2016/11/09,6,16,69
2016/11/10,6,15,69
2016/11/11,6,15,72
2016/11/12,6,16,72
2016/11/13,6,16,74
2016/11/14,6,15,74
2016/11/15,6,15,72
2016/11/16,6,15,76
2016/11/17,6,15,76
2016/11/18,6,15,76
2016/11/19,6,15,78
2016/11/20,6,15,79
2016/11/21,6,14,81
2016/11/22,6,15,82
2016/11/23,6,15,83
2016/11/24,6,16,84
2016/11/25,6,17,87
2016/11/26,6,16,84
2016/11/27,6,16,87
2016/11/28,6,17,89
2016/11/29,6,17,87
2016/11/30,6,17,86
2016/12/01,6,17,83
2016/12/02,6,15,81
2016/12/03,6,15,84
2016/12/04,6,15,85
2016/12/05,6,15,81
2016/12/06,6,15,80
2016/12/07,6,15,79
2016/12/08,6,14,78
2016/12/09,6,14,76
2016/12/10,6,14,76
2016/12/11,6,14,73
2016/12/12,6,16,73
2016/12/13,6,16,69
2016/12/14,6,16,68
2016/12/15,6,16,66
2016/12/16,6,16,62
2016/12/17,6,16,63
2016/12/18,6,17,61
2016/12/19,6,18,61
2016/12/20,6,17,61
2016/12/21,6,16,60
2016/12/22,6,16,60
2016/12/23,6,16,60
2016/12/24,6,16,59
2016/12/25,6,15,59
2016/12/26,6,15,60
2016/12/27,6,16,60
2016/12/28,7,17,62
2016/12/29,7,17,63
2016/12/30,7,17,65
2016/12/31,7,17,68
2017/01/01,7,17,71
2017/01/02,7,17,70
2017/01/03,7,19,73
2017/01/04,7,20,71
2017/01/05,7,20,72
2017/01/06,7,20,71
2017/01/07,7,20,71
2017/01/08,7,19,72
2017/01/09,7,20,72
2017/01/10,7,20,72
2017/01/11,7,20,71
2017/01/12,7,20,72
2017/01/13,7,18,75
2017/01/14,7,18,75
2017/01/15,7,18,75
2017/01/16,7,18,73
2017/01/17,7,18,76
2017/01/18,7,18,75
2017/01/19,7,18,73
2017/01/20,7,18,73
2017/01/21,7,18,74
2017/01/22,7,18,75
2017/01/23,7,18,73
2017/01/24,7,18,73
2017/01/25,7,19,73
2017/01/26,7,18,72
2017/01/27,7,17,70
2017/01/28,7,17,70
2017/01/29,7,16,69
2017/01/30,7,16,71
2017/01/31,7,16,70
2017/02/01,7,17,68
2017/02/02,7,16,68
