date,nrmwiki (100+),nrmwiki (5+),nrmwiki (all)
2013/02/03,5,18,33
2013/02/04,5,18,33
2013/02/05,5,18,34
2013/02/06,5,18,34
2013/02/07,5,18,33
2013/02/08,5,18,31
2013/02/09,5,18,31
2013/02/10,5,18,31
2013/02/11,5,18,32
2013/02/12,5,19,33
2013/02/13,4,18,32
2013/02/14,4,18,31
2013/02/15,4,19,30
2013/02/16,4,19,31
2013/02/17,4,19,31
2013/02/18,4,20,34
2013/02/19,4,21,34
2013/02/20,4,21,35
2013/02/21,4,21,35
2013/02/22,4,21,34
2013/02/23,4,21,34
2013/02/24,4,21,32
2013/02/25,4,20,31
2013/02/26,4,20,31
2013/02/27,4,19,31
2013/02/28,4,19,32
2013/03/01,3,18,33
2013/03/02,3,16,34
2013/03/03,3,16,34
2013/03/04,3,16,34
2013/03/05,3,16,35
2013/03/06,3,16,35
2013/03/07,3,16,35
2013/03/08,4,17,36
2013/03/09,4,17,37
2013/03/10,4,17,37
2013/03/11,4,17,37
2013/03/12,5,17,39
2013/03/13,4,15,38
2013/03/14,4,15,37
2013/03/15,4,13,37
2013/03/16,4,12,36
2013/03/17,4,12,33
2013/03/18,4,12,30
2013/03/19,3,12,30
2013/03/20,3,10,27
2013/03/21,3,10,27
2013/03/22,3,11,27
2013/03/23,3,11,27
2013/03/24,3,11,27
2013/03/25,3,11,27
2013/03/26,3,11,25
2013/03/27,3,11,25
2013/03/28,3,11,25
2013/03/29,3,11,25
2013/03/30,3,11,24
2013/03/31,3,11,23
2013/04/01,3,11,23
2013/04/02,3,10,26
2013/04/03,2,9,25
2013/04/04,2,7,20
2013/04/05,2,5,17
2013/04/06,2,4,14
2013/04/07,2,4,14
2013/04/08,2,4,14
2013/04/09,2,4,16
2013/04/10,1,3,17
2013/04/11,,3,16
2013/04/12,,3,17
2013/04/13,,3,17
2013/04/14,,3,17
2013/04/15,,3,17
2013/04/16,,3,17
2013/04/17,,3,18
2013/04/18,,3,18
2013/04/19,,3,18
2013/04/20,,3,20
2013/04/21,,2,19
2013/04/22,,2,18
2013/04/23,,2,18
2013/04/24,,2,18
2013/04/25,,2,18
2013/04/26,,2,18
2013/04/27,,2,18
2013/04/28,,2,19
2013/04/29,,2,19
2013/04/30,,2,19
2013/05/01,,2,19
2013/05/02,,2,17
2013/05/03,,1,16
2013/05/04,,1,16
2013/05/05,,1,15
2013/05/06,,1,15
2013/05/07,,2,15
2013/05/08,,2,14
2013/05/09,,2,13
2013/05/10,,1,12
2013/05/11,,1,12
2013/05/12,,1,10
2013/05/13,,1,9
2013/05/14,,1,8
2013/05/15,,1,8
2013/05/16,,1,7
2013/05/17,,1,6
2013/05/18,,1,8
2013/05/19,,1,8
2013/05/20,,1,6
2013/05/21,,1,6
2013/05/22,,1,6
2013/05/23,,1,7
2013/05/24,,1,7
2013/05/25,,1,8
2013/05/26,,1,8
2013/05/27,,1,8
2013/05/28,,1,7
2013/05/29,,1,8
2013/05/30,,1,7
2013/05/31,,1,8
2013/06/01,,1,8
2013/06/02,,1,8
2013/06/03,,1,8
2013/06/04,,1,10
2013/06/05,,1,11
2013/06/06,,1,11
2013/06/07,,1,11
2013/06/08,,1,11
2013/06/09,,1,11
2013/06/10,,1,11
2013/06/11,,1,11
2013/06/12,,1,11
2013/06/13,,1,11
2013/06/14,,1,11
2013/06/15,,1,13
2013/06/16,,1,13
2013/06/17,,1,13
2013/06/18,,1,14
2013/06/19,,1,14
2013/06/20,,1,14
2013/06/21,,1,15
2013/06/22,,1,15
2013/06/23,,1,15
2013/06/24,,1,14
2013/06/25,,1,14
2013/06/26,,1,14
2013/06/27,,1,14
2013/06/28,,1,14
2013/06/29,,1,14
2013/06/30,,1,13
2013/07/01,,1,14
2013/07/02,,1,14
2013/07/03,,1,14
2013/07/04,,1,13
2013/07/05,,1,12
2013/07/06,,1,12
2013/07/07,,1,12
2013/07/08,,1,12
2013/07/09,,1,12
2013/07/10,,1,13
2013/07/11,,1,13
2013/07/12,,1,13
2013/07/13,,1,13
2013/07/14,,1,12
2013/07/15,,1,10
2013/07/16,,1,11
2013/07/17,,1,10
2013/07/18,,1,9
2013/07/19,,1,9
2013/07/20,,1,9
2013/07/21,,,8
2013/07/22,,,8
2013/07/23,,,8
2013/07/24,,,10
2013/07/25,,,11
2013/07/26,,,11
2013/07/27,,,11
2013/07/28,,,10
2013/07/29,,,10
2013/07/30,,,10
2013/07/31,,,9
2013/08/01,,,9
2013/08/02,,,9
2013/08/03,,,8
2013/08/04,,,8
2013/08/05,,,8
2013/08/06,,1,8
2013/08/07,,1,8
2013/08/08,,1,8
2013/08/09,,1,6
2013/08/10,,1,6
2013/08/11,,1,6
2013/08/12,,1,6
2013/08/13,,1,6
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,7
2013/08/17,,1,7
2013/08/18,,2,8
2013/08/19,,2,8
2013/08/20,,2,8
2013/08/21,,2,6
2013/08/22,,2,6
2013/08/23,,2,4
2013/08/24,,2,3
2013/08/25,,2,3
2013/08/26,,2,3
2013/08/27,,2,3
2013/08/28,,2,3
2013/08/29,,3,5
2013/08/30,,2,4
2013/08/31,,2,4
2013/09/01,,2,4
2013/09/02,,2,4
2013/09/03,,2,4
2013/09/04,,2,4
2013/09/05,,2,4
2013/09/06,,2,4
2013/09/07,,2,4
2013/09/08,,1,3
2013/09/09,,1,3
2013/09/10,,1,3
2013/09/11,,1,3
2013/09/12,,1,3
2013/09/13,,1,4
2013/09/14,,1,5
2013/09/15,,1,5
2013/09/16,,1,6
2013/09/17,,,6
2013/09/18,,,6
2013/09/19,,,6
2013/09/20,,,6
2013/09/21,,,6
2013/09/22,,,7
2013/09/23,,,7
2013/09/24,,,7
2013/09/25,,,7
2013/09/26,,,7
2013/09/27,,,7
2013/09/28,,,6
2013/09/29,,,7
2013/09/30,,,7
2013/10/01,,,7
2013/10/02,,,7
2013/10/03,,,7
2013/10/04,,,7
2013/10/05,,,7
2013/10/06,,,7
2013/10/07,,,7
2013/10/08,,,8
2013/10/09,,,8
2013/10/10,,,8
2013/10/11,,,8
2013/10/12,,,8
2013/10/13,,,7
2013/10/14,,,6
2013/10/15,,,7
2013/10/16,,,6
2013/10/17,,,5
2013/10/18,,,5
2013/10/19,,,5
2013/10/20,,,5
2013/10/21,,,5
2013/10/22,,,5
2013/10/23,,,4
2013/10/24,,,4
2013/10/25,,,4
2013/10/26,,,4
2013/10/27,,,6
2013/10/28,,,6
2013/10/29,,,6
2013/10/30,,,6
2013/10/31,,,6
2013/11/01,,,7
2013/11/02,,,7
2013/11/03,,,8
2013/11/04,,,8
2013/11/05,,,10
2013/11/06,,,10
2013/11/07,,,11
2013/11/08,,,11
2013/11/09,,,11
2013/11/10,,,11
2013/11/11,,,10
2013/11/12,,,11
2013/11/13,,,11
2013/11/14,,,10
2013/11/15,,,10
2013/11/16,,,10
2013/11/17,,,10
2013/11/18,,,10
2013/11/19,,,10
2013/11/20,,,13
2013/11/21,,,13
2013/11/22,,,13
2013/11/23,,,13
2013/11/24,,,13
2013/11/25,,,13
2013/11/26,,,11
2013/11/27,,,11
2013/11/28,,,11
2013/11/29,,,11
2013/11/30,,,11
2013/12/01,,,11
2013/12/02,,,11
2013/12/03,,,11
2013/12/04,,,11
2013/12/05,,,8
2013/12/06,,,10
2013/12/07,,,7
2013/12/08,,,6
2013/12/09,,,7
2013/12/10,,,7
2013/12/11,,,7
2013/12/12,,,6
2013/12/13,,,6
2013/12/14,,,6
2013/12/15,,,6
2013/12/16,,,6
2013/12/17,,,6
2013/12/18,,,6
2013/12/19,,,6
2013/12/20,,,3
2013/12/21,,,4
2013/12/22,,,5
2013/12/23,,,5
2013/12/24,,,5
2013/12/25,,,5
2013/12/26,,,5
2013/12/27,,,5
2013/12/28,,,5
2013/12/29,,,5
2013/12/30,,,5
2013/12/31,,,5
2014/01/01,,,5
2014/01/02,,,5
2014/01/03,,,5
2014/01/04,,,5
2014/01/05,,,4
2014/01/06,,,4
2014/01/07,,,4
2014/01/08,,,3
2014/01/09,,,3
2014/01/10,,,3
2014/01/11,,,2
2014/01/12,,,2
2014/01/13,,,2
2014/01/14,,,2
2014/01/15,,,2
2014/01/16,,,2
2014/01/17,,1,3
2014/01/18,,1,3
2014/01/19,,1,3
2014/01/20,,1,3
2014/01/21,,1,2
2014/01/22,,1,2
2014/01/23,,1,3
2014/01/24,,1,3
2014/01/25,,1,3
2014/01/26,,2,4
2014/01/27,,2,4
2014/01/28,,2,5
2014/01/29,,2,5
2014/01/30,,2,5
2014/01/31,,2,5
2014/02/01,,2,5
2014/02/02,,2,5
2014/02/03,,2,5
2014/02/04,,2,5
2014/02/05,,2,7
2014/02/06,,2,8
2014/02/07,,2,9
2014/02/08,,2,8
2014/02/09,,2,8
2014/02/10,,2,8
2014/02/11,,2,8
2014/02/12,,2,8
2014/02/13,,2,8
2014/02/14,,2,8
2014/02/15,,2,8
2014/02/16,,1,7
2014/02/17,,1,7
2014/02/18,,1,7
2014/02/19,,1,8
2014/02/20,,1,8
2014/02/21,,1,8
2014/02/22,,1,7
2014/02/23,,1,8
2014/02/24,,1,8
2014/02/25,,,7
2014/02/26,,,7
2014/02/27,,,7
2014/02/28,,,7
2014/03/01,,,7
2014/03/02,,,7
2014/03/03,,,7
2014/03/04,,,7
2014/03/05,,,7
2014/03/06,,,7
2014/03/07,,,5
2014/03/08,,,4
2014/03/09,,,3
2014/03/10,,,3
2014/03/11,,,3
2014/03/12,,,3
2014/03/13,,,5
2014/03/14,,,5
2014/03/15,,,5
2014/03/16,,,5
2014/03/17,,1,6
2014/03/18,,,6
2014/03/19,,,6
2014/03/20,,,6
2014/03/21,,,5
2014/03/22,,,5
2014/03/23,,,6
2014/03/24,,,6
2014/03/25,,,5
2014/03/26,,,10
2014/03/27,,,11
2014/03/28,,,11
2014/03/29,,,11
2014/03/30,,,11
2014/03/31,,1,13
2014/04/01,,1,13
2014/04/02,,1,13
2014/04/03,,1,15
2014/04/04,,1,16
2014/04/05,,1,18
2014/04/06,,1,20
2014/04/07,,1,22
2014/04/08,,1,22
2014/04/09,,1,22
2014/04/10,,1,22
2014/04/11,,1,22
2014/04/12,,1,20
2014/04/13,,1,20
2014/04/14,,1,22
2014/04/15,,1,22
2014/04/16,,1,21
2014/04/17,,1,21
2014/04/18,,1,21
2014/04/19,,1,21
2014/04/20,,1,21
2014/04/21,,1,22
2014/04/22,,1,21
2014/04/23,,1,21
2014/04/24,,1,21
2014/04/25,,1,18
2014/04/26,,1,16
2014/04/27,,1,16
2014/04/28,,1,18
2014/04/29,,1,18
2014/04/30,,,16
2014/05/01,,,15
2014/05/02,,,15
2014/05/03,,,14
2014/05/04,,,14
2014/05/05,,,11
2014/05/06,,,9
2014/05/07,,,7
2014/05/08,,,8
2014/05/09,,,8
2014/05/10,,,8
2014/05/11,,,8
2014/05/12,,,8
2014/05/13,,,8
2014/05/14,,1,7
2014/05/15,,1,6
2014/05/16,,1,6
2014/05/17,,1,6
2014/05/18,,2,7
2014/05/19,,2,7
2014/05/20,,2,7
2014/05/21,,2,7
2014/05/22,,2,7
2014/05/23,,2,7
2014/05/24,,2,7
2014/05/25,,2,7
2014/05/26,,2,7
2014/05/27,,2,7
2014/05/28,,2,5
2014/05/29,,2,5
2014/05/30,,2,5
2014/05/31,,2,5
2014/06/01,,2,5
2014/06/02,,2,6
2014/06/03,,2,7
2014/06/04,,2,7
2014/06/05,,2,7
2014/06/06,,2,8
2014/06/07,,2,8
2014/06/08,,2,9
2014/06/09,,2,10
2014/06/10,,2,10
2014/06/11,,2,10
2014/06/12,,2,10
2014/06/13,,1,9
2014/06/14,,1,9
2014/06/15,,1,9
2014/06/16,,1,10
2014/06/17,,1,10
2014/06/18,,1,11
2014/06/19,,1,11
2014/06/20,,1,10
2014/06/21,,1,10
2014/06/22,,1,10
2014/06/23,,1,10
2014/06/24,,1,10
2014/06/25,,1,10
2014/06/26,,1,12
2014/06/27,,1,13
2014/06/28,,1,13
2014/06/29,,1,13
2014/06/30,,1,13
2014/07/01,,1,13
2014/07/02,,1,12
2014/07/03,,2,12
2014/07/04,,2,12
2014/07/05,,2,12
2014/07/06,,2,11
2014/07/07,,1,9
2014/07/08,,1,8
2014/07/09,,1,7
2014/07/10,,1,7
2014/07/11,,1,8
2014/07/12,,1,7
2014/07/13,,1,8
2014/07/14,,1,8
2014/07/15,,1,8
2014/07/16,,1,7
2014/07/17,,1,7
2014/07/18,,1,6
2014/07/19,,1,6
2014/07/20,,1,6
2014/07/21,,1,6
2014/07/22,,1,6
2014/07/23,,1,7
2014/07/24,,1,7
2014/07/25,,1,7
2014/07/26,,1,5
2014/07/27,,1,4
2014/07/28,,1,5
2014/07/29,,1,5
2014/07/30,,1,5
2014/07/31,,1,5
2014/08/01,,1,5
2014/08/02,,,4
2014/08/03,,,4
2014/08/04,,,5
2014/08/05,,,5
2014/08/06,,,5
2014/08/07,,,5
2014/08/08,,,5
2014/08/09,,,5
2014/08/10,,,6
2014/08/11,,,5
2014/08/12,,,4
2014/08/13,,,5
2014/08/14,,,5
2014/08/15,,,5
2014/08/16,,,5
2014/08/17,,,6
2014/08/18,,,6
2014/08/19,,,6
2014/08/20,,,7
