date,roa_tarawiki (100+),roa_tarawiki (5+),roa_tarawiki (all)
2015/10/07,,1,6
2015/10/08,,1,6
2015/10/09,,1,6
2015/10/10,,1,6
2015/10/11,,1,6
2015/10/12,,1,6
2015/10/13,,1,5
2015/10/14,,2,5
2015/10/15,,2,5
2015/10/16,,2,5
2015/10/17,,3,5
2015/10/18,,3,5
2015/10/19,,3,7
2015/10/20,,3,8
2015/10/21,,3,8
2015/10/22,,3,9
2015/10/23,,3,9
2015/10/24,,3,10
2015/10/25,,3,10
2015/10/26,,3,11
2015/10/27,,3,11
2015/10/28,,3,11
2015/10/29,,3,11
2015/10/30,,3,12
2015/10/31,,3,12
2015/11/01,,3,11
2015/11/02,,3,11
2015/11/03,,3,10
2015/11/04,,2,11
2015/11/05,,3,11
2015/11/06,,3,11
2015/11/07,,3,11
2015/11/08,,3,11
2015/11/09,,3,11
2015/11/10,,3,11
2015/11/11,,3,11
2015/11/12,,3,11
2015/11/13,,3,11
2015/11/14,,3,11
2015/11/15,,3,11
2015/11/16,,3,11
2015/11/17,,2,10
2015/11/18,,2,8
2015/11/19,,2,8
2015/11/20,,2,8
2015/11/21,,2,7
2015/11/22,,2,7
2015/11/23,,2,7
2015/11/24,,2,7
2015/11/25,,2,6
2015/11/26,,2,6
2015/11/27,,2,6
2015/11/28,,2,6
2015/11/29,,2,5
2015/11/30,,2,6
2015/12/01,,2,6
2015/12/02,,2,7
2015/12/03,,2,7
2015/12/04,,2,6
2015/12/05,,2,6
2015/12/06,,1,7
2015/12/07,,1,7
2015/12/08,,1,7
2015/12/09,,1,8
2015/12/10,,1,8
2015/12/11,,1,8
2015/12/12,,1,9
2015/12/13,,1,9
2015/12/14,,1,9
2015/12/15,,1,9
2015/12/16,,1,9
2015/12/17,,1,9
2016/01/18,,1,10
2016/01/19,,1,10
2016/01/20,,1,10
2016/01/21,,1,10
2016/01/22,,1,11
2016/01/23,,1,10
2016/01/24,,1,10
2016/01/25,,2,10
2016/01/26,,2,10
2016/01/27,,2,9
2016/01/28,,2,8
2016/01/29,,2,7
2016/01/30,,2,7
2016/01/31,,2,8
2016/02/01,,2,8
2016/02/02,,2,8
2016/02/03,,2,8
2016/02/04,,2,8
2016/02/05,,2,8
2016/02/06,,2,9
2016/02/07,,2,7
2016/02/08,,2,6
2016/02/09,,2,6
2016/02/10,,2,6
2016/02/11,,2,6
2016/02/12,,2,6
2016/02/13,,2,6
2016/02/14,,2,7
2016/02/15,,2,7
2016/02/16,,1,7
2016/02/17,,1,7
2016/02/18,,1,7
2016/02/19,,1,7
2016/02/20,,1,8
2016/02/21,,1,7
2016/02/22,,1,7
2016/02/23,,1,7
2016/02/24,,1,7
2016/02/25,,1,7
2016/02/26,,1,7
2016/02/27,,1,7
2016/02/28,,1,7
2016/02/29,,1,7
2016/03/01,,1,7
2016/03/02,,1,7
2016/03/03,,1,7
2016/03/04,,1,7
2016/03/05,,1,8
2016/03/06,,1,8
2016/03/07,,1,7
2016/03/08,,1,7
2016/03/09,,1,7
2016/03/10,,1,7
2016/03/11,,1,6
2016/03/12,,1,8
2016/03/13,,2,8
2016/03/14,,2,9
2016/03/15,,2,8
2016/03/16,,2,8
2016/03/17,,1,8
2016/03/18,,1,8
2016/03/19,,1,8
2016/03/20,,1,8
2016/03/21,,1,7
2016/03/22,,1,7
2016/03/23,,1,7
2016/03/24,,1,7
2016/03/25,,1,6
2016/03/26,,1,6
2016/03/27,,1,6
2016/03/28,,1,6
2016/03/29,,1,6
2016/03/30,,1,6
2016/03/31,,1,6
2016/04/01,,1,6
2016/04/02,,1,6
2016/04/03,,1,6
2016/04/04,,1,6
2016/04/05,,1,6
2016/04/06,,1,5
2016/04/07,,1,5
2016/04/08,,1,5
2016/04/09,,1,5
2016/04/10,,1,5
2016/04/11,,1,3
2016/04/12,,1,2
2016/04/13,,1,1
2016/04/14,,1,3
2016/04/15,,1,3
2016/04/16,,1,5
2016/04/17,,1,5
2016/04/18,,1,5
2016/04/19,,1,5
2016/04/20,,1,5
2016/04/21,,1,5
2016/04/22,,1,5
2016/04/23,,1,5
2016/04/24,,1,5
2016/04/25,,1,5
2016/04/26,,1,6
2016/04/27,,1,6
2016/04/28,,1,6
2016/04/29,,1,6
2016/04/30,,1,6
2016/05/01,,1,6
2016/05/02,,1,6
2016/05/03,,1,6
2016/05/04,,1,6
2016/05/05,,1,6
2016/05/06,,1,6
2016/05/07,,1,6
2016/05/08,,1,6
2016/05/09,,1,6
2016/05/10,,1,6
2016/05/11,,1,6
2016/05/12,,1,6
2016/05/13,,1,6
2016/05/14,,1,5
2016/05/15,,1,5
2016/05/16,,1,4
2016/05/17,,1,4
2016/05/18,,1,4
2016/05/19,,1,4
2016/05/20,,1,5
2016/05/21,,1,5
2016/05/22,,1,4
