date,cvwiki (100+),cvwiki (5+),cvwiki (all)
2013/03/25,5,17,48
2013/03/26,5,17,47
2013/03/27,5,17,48
2013/03/28,5,17,47
2013/03/29,5,17,46
2013/03/30,5,17,47
2013/03/31,5,17,47
2013/04/01,5,16,48
2013/04/02,4,15,48
2013/04/03,4,12,48
2013/04/04,3,12,43
2013/04/05,3,8,42
2013/04/06,3,7,38
2013/04/07,3,6,38
2013/04/08,3,6,37
2013/04/09,3,7,37
2013/04/10,3,7,37
2013/04/11,2,7,37
2013/04/12,2,8,37
2013/04/13,3,10,39
2013/04/14,3,10,39
2013/04/15,3,9,39
2013/04/16,3,9,38
2013/04/17,3,9,39
2013/04/18,3,9,39
2013/04/19,3,9,38
2013/04/20,3,9,39
2013/04/21,3,9,39
2013/04/22,3,9,39
2013/04/23,3,9,39
2013/04/24,3,9,38
2013/04/25,3,9,39
2013/04/26,3,9,39
2013/04/27,3,9,39
2013/04/28,3,9,39
2013/04/29,3,9,38
2013/04/30,3,9,36
2013/05/01,3,9,37
2013/05/02,3,9,37
2013/05/03,3,8,35
2013/05/04,3,8,36
2013/05/05,3,8,35
2013/05/06,3,8,36
2013/05/07,3,7,37
2013/05/08,3,6,35
2013/05/09,3,6,34
2013/05/10,3,7,34
2013/05/11,3,7,32
2013/05/12,2,6,31
2013/05/13,1,6,32
2013/05/14,2,6,34
2013/05/15,2,6,35
2013/05/16,2,6,35
2013/05/17,2,7,34
2013/05/18,2,7,34
2013/05/19,2,8,34
2013/05/20,2,8,33
2013/05/21,3,8,35
2013/05/22,3,8,34
2013/05/23,3,8,34
2013/05/24,3,8,33
2013/05/25,3,9,32
2013/05/26,3,9,31
2013/05/27,3,9,30
2013/05/28,3,9,29
2013/05/29,3,9,31
2013/05/30,3,8,30
2013/05/31,3,8,29
2013/06/01,3,8,28
2013/06/02,3,9,30
2013/06/03,3,9,29
2013/06/04,3,9,29
2013/06/05,3,9,26
2013/06/06,3,9,25
2013/06/07,3,9,25
2013/06/08,3,9,25
2013/06/09,3,9,25
2013/06/10,3,9,28
2013/06/11,3,9,28
2013/06/12,3,9,28
2013/06/13,3,9,26
2013/06/14,3,9,25
2013/06/15,3,9,25
2013/06/16,2,8,27
2013/06/17,2,8,27
2013/06/18,2,8,26
2013/06/19,2,8,27
2013/06/20,3,7,25
2013/06/21,3,7,26
2013/06/22,3,7,26
2013/06/23,3,7,27
2013/06/24,3,6,26
2013/06/25,3,6,27
2013/06/26,3,6,27
2013/06/27,3,6,27
2013/06/28,3,6,28
2013/06/29,3,6,28
2013/06/30,3,6,26
2013/07/01,3,6,26
2013/07/02,3,5,23
2013/07/03,3,5,25
2013/07/04,3,5,28
2013/07/05,3,5,29
2013/07/06,3,5,29
2013/07/07,3,4,30
2013/07/08,3,6,32
2013/07/09,3,6,32
2013/07/10,3,6,30
2013/07/11,3,7,30
2013/07/12,3,7,30
2013/07/13,3,7,32
2013/07/14,3,7,33
2013/07/15,3,7,34
2013/07/16,3,7,33
2013/07/17,3,7,35
2013/07/18,3,8,35
2013/07/19,3,8,34
2013/07/20,3,8,33
2013/07/21,3,8,32
2013/07/22,3,7,32
2013/07/23,3,6,31
2013/07/24,2,6,30
2013/07/25,2,6,30
2013/07/26,2,6,30
2013/07/27,1,6,30
2013/07/28,1,6,28
2013/07/29,1,6,29
2013/07/30,1,6,29
2013/07/31,2,7,29
2013/08/01,2,7,28
2013/08/02,2,7,26
2013/08/03,2,6,24
2013/08/04,2,6,23
2013/08/05,2,6,24
2013/08/06,2,6,25
2013/08/07,2,8,25
2013/08/08,2,7,25
2013/08/09,2,7,24
2013/08/10,2,7,24
2013/08/11,2,7,22
2013/08/12,2,7,22
2013/08/13,2,7,23
2013/08/14,2,7,23
2013/08/15,2,7,24
2013/08/16,2,7,23
2013/08/17,2,6,23
2013/08/18,2,6,22
2013/08/19,2,6,22
2013/08/20,2,6,21
2013/08/21,2,7,20
2013/08/22,2,7,19
2013/08/23,2,7,19
2013/08/24,2,7,17
2013/08/25,2,7,18
2013/08/26,2,7,18
2013/08/27,2,7,19
2013/08/28,2,7,19
2013/08/29,3,8,20
2013/08/30,1,7,20
2013/08/31,1,7,20
2013/09/01,1,7,20
2013/09/02,,8,20
2013/09/03,,8,20
2013/09/04,,8,19
2013/09/05,,8,19
2013/09/06,,8,19
2013/09/07,,8,19
2013/09/08,1,7,19
2013/09/09,1,7,19
2013/09/10,1,6,19
2013/09/11,1,6,18
2013/09/12,1,6,17
2013/09/13,1,6,17
2013/09/14,1,6,17
2013/09/15,1,6,18
2013/09/16,1,6,20
2013/09/17,1,6,21
2013/09/18,1,6,21
2013/09/19,1,5,21
2013/09/20,1,4,21
2013/09/21,1,4,22
2013/09/22,1,4,22
2013/09/23,1,4,23
2013/09/24,1,4,22
2013/09/25,1,4,23
2013/09/26,1,4,21
2013/09/27,1,4,20
2013/09/28,1,4,18
2013/09/29,1,3,18
2013/09/30,1,3,18
2013/10/01,1,3,18
2013/10/02,1,5,20
2013/10/03,1,5,20
2013/10/04,1,5,21
2013/10/05,1,5,22
2013/10/06,1,5,24
2013/10/07,1,5,24
2013/10/08,1,5,24
2013/10/09,1,5,24
2013/10/10,1,5,24
2013/10/11,1,5,26
2013/10/12,1,5,26
2013/10/13,1,5,26
2013/10/14,1,5,26
2013/10/15,1,4,25
2013/10/16,1,4,24
2013/10/17,1,4,25
2013/10/18,1,4,25
2013/10/19,1,4,25
2013/10/20,1,4,24
2013/10/21,1,4,25
2013/10/22,,4,25
2013/10/23,,4,24
2013/10/24,,4,25
2013/10/25,,4,24
2013/10/26,,4,25
2013/10/27,,4,27
2013/10/28,1,4,28
2013/10/29,1,5,28
2013/10/30,1,5,30
2013/10/31,1,5,32
2013/11/01,1,4,31
2013/11/02,1,4,30
2013/11/03,1,3,31
2013/11/04,1,3,30
2013/11/05,1,3,30
2013/11/06,1,3,31
2013/11/07,1,4,31
2013/11/08,1,4,30
2013/11/09,1,4,30
2013/11/10,1,4,28
2013/11/11,1,4,26
2013/11/12,1,4,28
2013/11/13,2,5,29
2013/11/14,2,5,29
2013/11/15,2,5,29
2013/11/16,1,5,29
2013/11/17,1,5,29
2013/11/18,1,5,30
2013/11/19,1,5,31
2013/11/20,1,5,30
2013/11/21,1,5,31
2013/11/22,1,5,33
2013/11/23,2,5,33
2013/11/24,2,5,34
2013/11/25,2,5,33
2013/11/26,2,5,34
2013/11/27,2,5,34
2013/11/28,2,5,33
2013/11/29,2,5,32
2013/11/30,2,5,33
2013/12/01,2,6,32
2013/12/02,2,6,31
2013/12/03,2,6,30
2013/12/04,2,6,29
2013/12/05,2,6,28
2013/12/06,2,6,26
2013/12/07,2,5,28
2013/12/08,2,5,27
2013/12/09,2,6,28
2013/12/10,2,6,29
2013/12/11,2,6,30
2013/12/12,2,6,29
2013/12/13,2,6,28
2013/12/14,2,6,27
2013/12/15,2,6,29
2013/12/16,2,6,30
2013/12/17,2,6,31
2013/12/18,2,6,32
2013/12/19,2,6,32
2013/12/20,2,6,32
2013/12/21,2,6,30
2013/12/22,2,6,30
2013/12/23,2,6,29
2013/12/24,1,6,28
2013/12/25,1,6,28
2013/12/26,1,6,26
2013/12/27,1,6,25
2013/12/28,1,6,25
2013/12/29,1,6,25
2013/12/30,1,5,24
2013/12/31,1,5,24
2014/01/01,1,5,25
2014/01/02,1,4,24
2014/01/03,1,4,23
2014/01/04,1,3,24
2014/01/05,1,3,24
2014/01/06,1,3,22
2014/01/07,1,3,22
2014/01/08,1,2,23
2014/01/09,2,2,22
2014/01/10,2,2,21
2014/01/11,2,2,23
2014/01/12,2,2,23
2014/01/13,1,2,24
2014/01/14,1,2,22
2014/01/15,1,2,21
2014/01/16,1,2,20
2014/01/17,1,2,19
2014/01/18,1,2,19
2014/01/19,1,3,19
2014/01/20,1,3,20
2014/01/21,1,3,20
2014/01/22,1,3,22
2014/01/23,1,4,22
2014/01/24,1,4,24
2014/01/25,1,4,24
2014/01/26,1,5,25
2014/01/27,1,5,25
2014/01/28,2,5,26
2014/01/29,2,5,27
2014/01/30,2,5,27
2014/01/31,2,5,27
2014/02/01,2,5,28
2014/02/02,2,5,29
2014/02/03,2,6,29
2014/02/04,2,6,29
2014/02/05,2,6,28
2014/02/06,2,6,28
2014/02/07,2,6,27
2014/02/08,2,6,29
2014/02/09,2,6,30
2014/02/10,2,6,29
2014/02/11,2,7,28
2014/02/12,1,7,28
2014/02/13,1,7,30
2014/02/14,1,6,30
2014/02/15,1,6,28
2014/02/16,1,6,28
2014/02/17,1,5,28
2014/02/18,1,5,29
2014/02/19,1,5,28
2014/02/20,2,6,31
2014/02/21,2,7,31
2014/02/22,2,6,32
2014/02/23,2,6,32
2014/02/24,2,6,31
2014/02/25,2,5,32
2014/02/26,2,5,33
2014/02/27,2,5,31
2014/02/28,2,4,31
2014/03/01,2,4,33
2014/03/02,2,4,34
2014/03/03,2,5,33
2014/03/04,2,6,34
2014/03/05,2,5,34
2014/03/06,2,5,35
2014/03/07,2,5,36
2014/03/08,2,5,36
2014/03/09,2,5,38
2014/03/10,2,5,35
2014/03/11,2,5,34
2014/03/12,2,5,33
2014/03/13,2,4,35
2014/03/14,2,4,35
2014/03/15,2,4,35
2014/03/16,2,4,36
2014/03/17,2,4,37
2014/03/18,2,4,38
2014/03/19,2,4,37
2014/03/20,2,4,37
2014/03/21,2,4,36
2014/03/22,2,3,35
2014/03/23,2,3,35
2014/03/24,2,3,34
2014/03/25,2,3,34
2014/03/26,2,3,39
2014/03/27,2,3,41
2014/03/28,3,3,41
2014/03/29,3,4,42
2014/03/30,3,4,41
2014/03/31,3,4,39
2014/04/01,3,4,38
2014/04/02,3,4,38
2014/04/03,3,4,39
2014/04/04,3,4,38
2014/04/05,3,4,39
2014/04/06,3,4,37
2014/04/07,3,4,39
2014/04/08,3,4,38
2014/04/09,3,6,43
2014/04/10,3,6,42
2014/04/11,3,6,44
2014/04/12,3,6,44
2014/04/13,3,6,45
2014/04/14,3,6,44
2014/04/15,3,6,43
2014/04/16,3,6,43
2014/04/17,3,6,43
2014/04/18,3,6,42
2014/04/19,3,6,41
2014/04/20,3,6,42
2014/04/21,3,6,41
2014/04/22,3,6,41
2014/04/23,3,6,42
2014/04/24,3,6,41
2014/04/25,3,6,37
2014/04/26,3,7,34
2014/04/27,2,6,34
2014/04/28,2,5,33
2014/04/29,2,5,33
2014/04/30,2,5,33
2014/05/01,2,6,35
2014/05/02,2,7,38
2014/05/03,1,7,38
2014/05/04,1,7,39
2014/05/05,1,7,38
2014/05/06,1,7,38
2014/05/07,1,8,37
2014/05/08,1,8,37
2014/05/09,1,7,33
2014/05/10,1,6,32
2014/05/11,1,5,31
2014/05/12,1,5,30
2014/05/13,1,5,28
2014/05/14,1,5,27
2014/05/15,1,5,28
2014/05/16,1,6,27
2014/05/17,1,6,29
2014/05/18,1,6,31
2014/05/19,1,6,31
2014/05/20,1,6,30
2014/05/21,1,6,32
2014/05/22,1,7,31
2014/05/23,1,7,31
2014/05/24,2,7,30
2014/05/25,2,7,31
2014/05/26,2,6,32
2014/05/27,2,6,31
2014/05/28,2,6,30
2014/05/29,2,6,30
2014/05/30,2,6,30
2014/05/31,2,6,29
2014/06/01,2,6,27
2014/06/02,2,5,24
2014/06/03,2,5,24
2014/06/04,2,6,24
2014/06/05,2,6,24
2014/06/06,2,6,24
2014/06/07,2,6,24
2014/06/08,2,6,26
2014/06/09,2,6,26
2014/06/10,2,6,28
2014/06/11,2,6,29
2014/06/12,2,6,30
2014/06/13,2,6,30
2014/06/14,2,6,29
2014/06/15,2,5,28
2014/06/16,2,4,28
2014/06/17,2,4,26
2014/06/18,2,4,26
2014/06/19,2,4,28
2014/06/20,2,4,28
2014/06/21,2,4,28
2014/06/22,2,4,27
2014/06/23,2,4,28
2014/06/24,2,4,27
2014/06/25,2,4,25
2014/06/26,1,5,27
2014/06/27,1,5,28
2014/06/28,1,5,29
2014/06/29,1,5,28
2014/06/30,1,6,28
2014/07/01,1,6,27
2014/07/02,1,5,28
2014/07/03,1,5,27
2014/07/04,1,5,28
2014/07/05,1,5,28
2014/07/06,1,5,28
2014/07/07,1,5,28
2014/07/08,1,5,27
2014/07/09,1,4,27
2014/07/10,1,4,25
2014/07/11,1,4,25
2014/07/12,1,4,27
2014/07/13,1,6,28
2014/07/14,1,7,29
2014/07/15,2,8,33
2014/07/16,2,8,32
2014/07/17,3,8,33
2014/07/18,3,8,34
2014/07/19,3,8,32
2014/07/20,3,8,32
2014/07/21,3,8,33
2014/07/22,3,7,36
2014/07/23,3,7,37
2014/07/24,3,7,37
2014/07/25,3,7,36
2014/07/26,3,6,36
2014/07/27,3,6,36
2014/07/28,3,6,37
2014/07/29,3,6,37
2014/07/30,3,6,37
2014/07/31,3,6,37
2014/08/01,3,6,37
2014/08/02,3,7,37
2014/08/03,3,7,37
2014/08/04,3,7,37
2014/08/05,3,7,37
2014/08/06,3,7,39
2014/08/07,3,6,39
2014/08/08,3,6,41
2014/08/09,3,6,43
2014/08/10,3,6,42
2014/08/11,3,7,42
2014/08/12,3,7,42
2014/08/13,3,7,42
2014/08/14,2,6,42
2014/08/15,2,5,41
2014/08/16,2,6,40
2014/08/17,2,6,39
2014/08/18,2,6,39
2014/08/19,2,6,36
2014/08/20,2,6,35
2014/08/21,2,6,33
2014/08/22,2,6,31
2014/08/23,2,6,32
2014/08/24,3,6,34
2014/08/25,3,7,34
2014/08/26,3,7,33
2014/08/27,3,6,33
2014/08/28,3,7,33
2014/08/29,3,7,32
2014/08/30,3,7,34
2014/08/31,3,7,33
2014/09/01,3,7,32
2014/09/02,3,6,35
2014/09/03,3,7,37
2014/09/04,3,7,36
2014/09/05,3,7,34
2014/09/06,3,7,34
2014/09/07,3,7,32
2014/09/08,3,8,32
2014/09/09,3,8,32
2014/09/10,3,7,30
2014/09/11,3,7,30
2014/09/12,3,7,29
2014/09/13,3,7,29
2014/09/14,3,7,29
2014/09/15,3,7,29
2014/09/16,2,7,30
2014/09/17,1,7,30
2014/09/18,1,7,30
2014/09/19,1,7,30
2014/09/20,1,7,30
2014/09/21,1,7,31
2014/09/22,1,7,30
2014/09/23,1,7,29
2014/09/24,1,7,26
2014/09/25,1,7,29
2014/09/26,1,7,29
2014/09/27,,7,29
2014/09/28,,7,29
2014/09/29,,7,27
2014/09/30,,7,28
2014/10/01,,7,28
2014/10/02,,6,26
2014/10/03,,4,26
2014/10/04,,4,26
2014/10/05,,5,26
2014/10/06,,5,26
2014/10/07,,5,27
2014/10/08,,4,26
2014/10/09,,4,28
2014/10/10,,4,27
2014/10/11,,4,27
2014/10/12,,4,29
2014/10/13,,4,28
2014/10/14,,4,27
2014/10/15,,4,28
2014/10/16,,4,29
2014/10/17,,4,30
2014/10/18,1,4,30
2014/10/19,1,5,33
2014/10/20,1,5,35
2014/10/21,1,5,35
2014/10/22,1,6,35
2014/10/23,1,5,34
2014/10/24,1,5,34
2014/10/25,1,5,32
2014/10/26,1,5,33
2014/10/27,1,6,33
2014/10/28,1,6,35
2014/10/29,1,6,35
2014/10/30,1,6,36
2014/10/31,1,6,36
2014/11/01,1,6,37
2014/11/02,1,6,36
2014/11/03,1,6,36
2014/11/04,1,5,35
2014/11/05,1,5,35
2014/11/06,1,5,34
2014/11/07,1,5,35
2014/11/08,1,5,34
2014/11/09,1,5,31
2014/11/10,1,5,31
2014/11/11,2,5,31
2014/11/12,2,5,33
2014/11/13,2,5,34
2014/11/14,2,6,36
2014/11/15,2,6,34
2014/11/16,2,6,33
2014/11/17,2,6,33
2014/11/18,2,5,31
2014/11/19,2,5,31
2014/11/20,2,6,32
2014/11/21,2,6,32
2014/11/22,2,6,31
2014/11/23,2,6,30
2014/11/24,2,6,29
2014/11/25,2,6,27
2014/11/26,2,5,27
2014/11/27,2,5,25
2014/11/28,2,5,25
2014/11/29,2,5,23
2014/11/30,2,5,23
2014/12/01,2,5,23
2014/12/02,2,5,23
2014/12/03,2,5,24
2014/12/04,2,5,25
2014/12/05,2,5,27
2014/12/06,2,5,26
2014/12/07,2,6,28
2014/12/08,2,6,29
2014/12/09,2,7,29
2014/12/10,2,7,29
2014/12/11,2,7,28
2014/12/12,2,7,27
2014/12/13,2,7,27
2014/12/14,2,7,26
2014/12/15,2,7,26
2014/12/16,2,7,27
2014/12/17,2,8,28
2014/12/18,2,9,29
2014/12/19,2,9,28
2014/12/20,2,8,28
2014/12/21,2,8,28
2014/12/22,3,8,29
2014/12/23,3,8,29
2014/12/24,2,8,30
2014/12/25,2,7,30
2014/12/26,2,7,31
2014/12/27,2,7,31
2014/12/28,3,7,31
2014/12/29,3,7,31
2014/12/30,3,8,30
2014/12/31,3,7,30
2015/01/01,3,7,30
2015/01/02,3,7,31
2015/01/03,3,7,31
2015/01/04,3,7,30
2015/01/05,3,7,30
2015/01/06,3,8,30
2015/01/07,3,8,29
2015/01/08,3,7,27
2015/01/09,3,9,29
2015/01/10,3,9,29
2015/01/11,3,9,29
2015/01/12,3,9,29
2015/01/13,3,9,29
2015/01/14,3,9,27
2015/01/15,3,9,27
2015/01/16,3,9,27
2015/01/17,3,9,26
2015/01/18,2,9,26
2015/01/19,2,9,30
2015/01/20,3,10,28
2015/01/21,3,10,27
2015/01/22,2,10,28
2015/01/23,2,10,29
2015/01/24,2,10,29
2015/01/25,2,9,27
2015/01/26,2,8,27
2015/01/27,1,8,26
2015/01/28,1,9,28
2015/01/29,1,9,28
2015/01/30,1,9,28
2015/01/31,1,9,28
2015/02/01,1,9,28
2015/02/02,1,10,30
2015/02/03,1,10,29
2015/02/04,1,10,29
2015/02/05,1,10,30
2015/02/06,1,10,29
2015/02/07,1,10,29
2015/02/08,1,8,28
2015/02/09,1,8,29
2015/02/10,1,8,28
2015/02/11,1,8,29
2015/02/12,1,7,28
2015/02/13,1,7,30
2015/02/14,1,7,32
2015/02/15,1,7,33
2015/02/16,1,7,32
2015/02/17,1,7,32
2015/02/18,1,7,30
2015/02/19,1,6,29
2015/02/20,1,6,30
2015/02/21,1,6,28
2015/02/22,1,6,27
2015/02/23,1,6,29
2015/02/24,1,6,29
2015/02/25,1,6,28
2015/02/26,1,6,28
2015/02/27,1,5,26
2015/02/28,1,5,25
2015/03/01,2,6,25
2015/03/02,2,6,25
2015/03/03,2,6,25
2015/03/04,2,5,23
2015/03/05,2,5,23
2015/03/06,2,5,23
2015/03/07,2,5,22
2015/03/08,2,5,23
2015/03/09,2,5,25
2015/03/10,2,5,25
2015/03/11,2,5,24
2015/03/12,2,5,24
2015/03/13,2,5,24
2015/03/14,2,5,24
2015/03/15,2,5,22
2015/03/16,2,5,20
2015/03/17,2,6,20
2015/03/18,2,6,24
2015/03/19,2,7,25
2015/03/20,2,7,26
2015/03/21,2,7,26
2015/03/22,2,7,26
2015/03/23,2,7,26
2015/03/24,2,7,25
2015/03/25,2,7,27
2015/03/26,2,7,27
2015/03/27,2,8,27
2015/03/28,3,8,27
2015/03/29,3,8,27
2015/03/30,3,8,27
2015/03/31,3,7,26
2015/04/01,3,7,27
2015/04/02,3,7,29
2015/04/03,3,7,30
2015/04/04,3,7,31
2015/04/05,3,8,31
2015/04/06,3,8,33
2015/04/07,2,8,33
2015/04/08,2,10,32
2015/04/09,2,10,32
2015/04/10,2,10,33
2015/04/11,2,10,34
2015/04/12,2,10,33
2015/04/13,2,10,34
2015/04/14,2,10,34
2015/04/15,2,10,34
2015/04/16,2,10,32
2015/04/17,2,10,31
2015/04/18,2,10,30
2015/04/19,3,10,30
2015/04/20,3,10,30
2015/04/21,3,10,30
2015/04/22,3,9,30
2015/04/23,3,9,30
2015/04/24,3,9,27
2015/04/25,3,10,29
2015/04/26,3,10,29
2015/04/27,2,10,29
2015/04/28,2,10,29
2015/04/29,2,10,29
2015/04/30,2,10,28
2015/05/01,2,11,28
2015/05/02,2,11,28
2015/05/03,2,10,27
2015/05/04,2,10,27
2015/05/05,2,10,28
2015/05/06,2,10,29
2015/05/07,2,11,30
2015/05/08,2,11,29
2015/05/09,2,11,29
2015/05/10,1,11,29
2015/05/11,1,11,28
2015/05/12,1,11,27
2015/05/13,1,10,27
2015/05/14,1,10,28
2015/05/15,1,10,29
2015/05/16,1,10,30
2015/05/17,1,10,31
2015/05/18,1,10,31
2015/05/19,1,10,30
2015/05/20,1,10,32
2015/05/21,1,10,32
2015/05/22,1,10,31
2015/05/23,1,10,32
2015/05/24,1,10,32
2015/05/25,1,10,31
2015/05/26,1,11,33
2015/05/27,1,11,35
2015/05/28,1,11,36
2015/05/29,1,11,36
2015/05/30,1,12,36
2015/05/31,1,12,36
2015/06/01,1,12,37
2015/06/02,1,11,35
2015/06/03,1,11,36
2015/06/04,1,11,36
2015/06/05,1,12,36
2015/06/06,1,11,37
2015/06/07,1,8,35
2015/06/08,1,8,32
2015/06/09,1,8,31
2015/06/10,1,9,31
2015/06/11,1,9,31
2015/06/12,1,9,32
2015/06/13,1,9,30
2015/06/14,1,9,29
2015/06/15,2,9,28
2015/06/16,2,10,28
2015/06/17,2,10,29
2015/06/18,2,10,29
2015/06/19,2,10,27
2015/06/20,2,10,27
2015/06/21,2,9,26
2015/06/22,2,9,25
2015/06/23,2,9,25
2015/06/24,2,8,26
2015/06/25,1,7,23
2015/06/26,1,7,23
2015/06/27,1,7,23
2015/06/28,1,7,24
2015/06/29,1,6,26
2015/06/30,1,6,25
2015/07/01,1,6,23
2015/07/02,1,6,25
2015/07/03,1,6,26
2015/07/04,1,6,26
2015/07/05,1,5,24
2015/07/06,1,4,24
2015/07/07,1,4,25
2015/07/08,1,4,25
2015/07/09,1,4,26
2015/07/10,1,5,28
2015/07/11,1,5,29
2015/07/12,1,5,28
2015/07/13,1,5,30
2015/07/14,1,5,31
2015/07/15,1,5,32
2015/07/16,1,4,33
2015/07/17,1,4,33
2015/07/18,1,4,33
2015/07/19,1,4,34
2015/07/20,1,4,33
2015/07/21,1,5,35
2015/07/22,1,5,34
2015/07/23,1,5,35
2015/07/24,,5,34
2015/07/25,,5,37
2015/07/26,,5,37
2015/07/27,,5,35
2015/07/28,,5,35
2015/07/29,,5,33
