date,koiwiki (100+),koiwiki (5+),koiwiki (all)
2013/09/01,,,3
2013/09/02,,,3
2013/09/03,,,3
2013/09/04,,,3
2013/09/05,,,4
2013/09/06,,,4
2013/09/07,,,4
2013/09/08,,,3
2013/09/09,,,3
2013/09/10,,,3
2013/09/11,,,3
2013/09/12,,,4
2013/09/13,,,4
2013/09/14,,,4
2013/09/15,,,4
2013/09/16,,,3
2013/09/17,,,3
2013/09/18,,,3
2013/09/19,,,3
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,4
2013/09/23,,,4
2013/09/24,,,4
2013/09/25,,,4
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,5
2013/09/29,,,5
2013/09/30,,,5
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,4
2013/10/06,,,4
2013/10/07,,,4
2013/10/08,,,5
2013/10/09,,,5
2013/10/10,,,5
2013/10/11,,,5
2013/10/12,,,5
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,5
2013/10/18,,,5
2013/10/19,,,5
2013/10/20,,,6
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,6
2013/10/26,,,6
2013/10/27,,,7
2013/10/28,,,6
2013/10/29,,,4
2013/10/30,,,4
2013/10/31,,,4
2013/11/01,,,4
2013/11/02,,,4
2013/11/03,,,4
2013/11/04,,,7
2013/11/05,,,7
2013/11/06,,,7
2013/11/07,,,7
2013/11/08,,,9
2013/11/09,,,8
2013/11/10,,,8
2013/11/11,,,8
2013/11/12,,,9
2013/11/13,,,9
2013/11/14,,,9
2013/11/15,,,9
2013/11/16,,,9
2013/11/17,,,9
2013/11/18,,,9
2013/11/19,,,8
2013/11/20,,,8
2013/11/21,,,8
2013/11/22,,,8
2013/11/23,,,9
2013/11/24,,,9
2013/11/25,,,9
2013/11/26,,,9
2013/11/27,,,9
2013/11/28,,,9
2013/11/29,,,9
2013/11/30,,,9
2013/12/01,,,9
2013/12/02,,,9
2013/12/03,,,10
2013/12/04,,,8
2013/12/05,,,9
2013/12/06,,,10
2013/12/07,,,10
2013/12/08,,,7
2013/12/09,,,9
2013/12/10,,,10
2013/12/11,,,10
2013/12/12,,,8
2013/12/13,,,8
2013/12/14,,,8
2013/12/15,,,9
2013/12/16,,,10
2013/12/17,,,10
2013/12/18,,,10
2013/12/19,,,10
2013/12/20,,,10
2013/12/21,,,10
2013/12/22,,,10
2013/12/23,,,9
2013/12/24,,,9
2013/12/25,,,9
2013/12/26,,1,9
2013/12/27,,1,9
2013/12/28,,1,9
2013/12/29,,1,9
2013/12/30,,1,9
2013/12/31,,1,9
2014/01/01,,1,9
2014/01/02,,1,7
2014/01/03,,1,7
2014/01/04,,1,6
2014/01/05,,1,5
2014/01/06,,1,5
2014/01/07,,1,5
2014/01/08,,1,4
2014/01/09,,1,3
2014/01/10,,1,3
2014/01/11,,1,4
2014/01/12,,1,4
2014/01/13,,1,4
2014/01/14,,1,4
2014/01/15,,1,3
2014/01/16,,,2
2014/01/17,,,4
2014/01/18,,,4
2014/01/19,,,4
2014/01/20,,,5
2014/01/21,,,5
2014/01/22,,,6
2014/01/23,,,6
2014/01/24,,,6
2014/01/25,,,7
2014/01/26,,,7
2014/01/27,,,7
2014/01/28,,,8
2014/01/29,,,8
2014/01/30,,,8
2014/01/31,,,8
2014/02/01,,,9
2014/02/02,,,9
2014/02/03,,,8
2014/02/04,,,8
2014/02/05,,,8
2014/02/06,,,9
2014/02/07,,,9
2014/02/08,,,9
2014/02/09,,,9
2014/02/10,,,8
2014/02/11,,,8
2014/02/12,,,8
2014/02/13,,,8
2014/02/14,,,8
2014/02/15,,,8
2014/02/16,,,6
2014/02/17,,,6
2014/02/18,,,6
2014/02/19,,,6
2014/02/20,,,6
2014/02/21,,,5
2014/02/22,,,5
2014/02/23,,,5
2014/02/24,,,5
2014/02/25,,,5
2014/02/26,,,5
2014/02/27,,,4
2014/02/28,,,5
2014/03/01,,,5
2014/03/02,,,5
2014/03/03,,,4
2014/03/04,,,5
2014/03/05,,,6
2014/03/06,,,6
2014/03/07,,,6
2014/03/08,,,5
2014/03/09,,,5
2014/03/10,,,5
2014/03/11,,,5
2014/03/12,,,5
2014/03/13,,,5
2014/03/14,,,5
2014/03/15,,,6
2014/03/16,,,6
2014/03/17,,,6
2014/03/18,,,7
2014/03/19,,,7
2014/03/20,,,7
2014/03/21,,,6
2014/03/22,,,6
2014/03/23,,,6
2014/03/24,,,6
2014/03/25,,,6
2014/03/26,,,8
2014/03/27,,,9
2014/03/28,,,9
2014/03/29,,,9
2014/03/30,,,9
2014/03/31,,,9
2014/04/01,,,9
2014/04/02,,,11
2014/04/03,,,11
2014/04/04,,,13
2014/04/05,,,13
2014/04/06,,,13
2014/04/07,,,13
2014/04/08,,,14
2014/04/09,,,15
2014/04/10,,,15
2014/04/11,,,16
2014/04/12,,,16
2014/04/13,,,16
2014/04/14,,,15
2014/04/15,,,16
2014/04/16,,,17
2014/04/17,,,17
2014/04/18,,,17
2014/04/19,,1,17
2014/04/20,,1,18
2014/04/21,,1,18
2014/04/22,,1,19
2014/04/23,,1,19
2014/04/24,,1,19
2014/04/25,,1,18
2014/04/26,,1,17
2014/04/27,,1,17
2014/04/28,,1,17
2014/04/29,,1,18
2014/04/30,,1,17
2014/05/01,,1,16
2014/05/02,,1,15
2014/05/03,,1,13
2014/05/04,,1,11
2014/05/05,,1,11
2014/05/06,,1,11
2014/05/07,,1,11
2014/05/08,,1,10
2014/05/09,,1,8
2014/05/10,,1,8
2014/05/11,,1,10
2014/05/12,,1,10
2014/05/13,,1,11
2014/05/14,,1,12
2014/05/15,,1,12
2014/05/16,,1,11
2014/05/17,,1,11
2014/05/18,,1,11
2014/05/19,,1,11
2014/05/20,,1,10
2014/05/21,,1,10
2014/05/22,,1,9
2014/05/23,,1,8
2014/05/24,,1,8
2014/05/25,,1,9
2014/05/26,,,8
2014/05/27,,,9
2014/05/28,,,9
2014/05/29,,,8
2014/05/30,,,8
2014/05/31,,,8
2014/06/01,,,6
2014/06/02,,,7
2014/06/03,,,8
2014/06/04,,,10
2014/06/05,,,10
2014/06/06,,,10
2014/06/07,,,10
2014/06/08,,,10
2014/06/09,,,10
2014/06/10,,,9
2014/06/11,,,10
2014/06/12,,,9
2014/06/13,,,8
2014/06/14,,,8
2014/06/15,,,8
2014/06/16,,,9
2014/06/17,,,9
2014/06/18,,,9
2014/06/19,,,9
2014/06/20,,,10
2014/06/21,,,10
2014/06/22,,,10
2014/06/23,,,9
2014/06/24,,,8
2014/06/25,,,8
2014/06/26,,,8
2014/06/27,,,8
2014/06/28,,,8
2014/06/29,,,8
2014/06/30,,1,8
2014/07/01,,1,8
2014/07/02,,1,7
2014/07/03,,1,6
2014/07/04,,1,4
2014/07/05,,1,5
2014/07/06,,1,5
2014/07/07,,1,5
2014/07/08,,1,5
2014/07/09,,1,6
2014/07/10,,1,6
2014/07/11,,1,5
2014/07/12,,1,5
2014/07/13,,1,5
2014/07/14,,1,5
2014/07/15,,1,6
2014/07/16,,1,5
2014/07/17,,1,5
2014/07/18,,1,5
2014/07/19,,1,5
2014/07/20,,1,5
2014/07/21,,1,5
2014/07/22,,,6
2014/07/23,,,6
2014/07/24,,,6
2014/07/25,,,6
2014/07/26,,,5
2014/07/27,,,5
2014/07/28,,,5
2014/07/29,,,5
2014/07/30,,,4
2014/07/31,,,4
2014/08/01,,,4
2014/08/02,,,5
2014/08/03,,,5
2014/08/04,,,4
2014/08/05,,,4
2014/08/06,,,4
2014/08/07,,,4
2014/08/08,,,3
2014/08/09,,,3
2014/08/10,,,3
2014/08/11,,,3
2014/08/12,,,3
2014/08/13,,,3
2014/08/14,,,3
2014/08/15,,,3
2014/08/16,,,3
2014/08/17,,,3
2014/08/18,,,3
2014/08/19,,,3
2014/08/20,,,4
2014/08/21,,,3
2014/08/22,,,4
2014/08/23,,,4
2014/08/24,,,4
2014/08/25,,,5
2014/08/26,,,5
2014/08/27,,,5
2014/08/28,,,5
2014/08/29,,,6
2014/08/30,,,5
2014/08/31,,,5
2014/09/01,,,4
2014/09/02,,,4
2014/09/03,,,4
2014/09/04,,,4
2014/09/05,,,3
2014/09/06,,,3
2014/09/07,,,3
2014/09/08,,,3
2014/09/09,,,3
2014/09/10,,,3
2014/09/11,,,3
2014/09/12,,,3
2014/09/13,,,3
2014/09/14,,,3
2014/09/15,,,3
2014/09/16,,,4
2014/09/17,,,4
2014/09/18,,,4
2014/09/19,,,3
2014/09/20,,,3
2014/09/21,,,2
2014/09/22,,,2
2014/09/23,,,2
2014/09/24,,,2
2014/09/25,,,2
2014/09/26,,,2
2014/09/27,,,2
