date,tumwiki (100+),tumwiki (5+),tumwiki (all)
2013/06/03,,,1
2013/06/04,,,1
2013/06/05,,,1
2013/06/06,,,1
2013/06/07,,,1
2013/06/08,,,1
2013/06/09,,,1
2013/06/10,,,1
2013/06/11,,,1
2013/06/12,,,1
2013/06/13,,,1
2013/06/14,,,1
2013/06/15,,,1
2013/06/16,,,1
2013/06/17,,,2
2013/06/18,,,4
2013/06/19,,,4
2013/06/20,,,4
2013/06/21,,,3
2013/06/22,,,3
2013/06/23,,,3
2013/06/24,,,3
2013/06/25,,,3
2013/06/26,,,3
2013/06/27,,,3
2013/06/28,,,3
2013/06/29,,,3
2013/06/30,,,3
2013/07/01,,,3
2013/07/02,,,3
2013/07/03,,,3
2013/07/04,,,4
2013/07/05,,,4
2013/07/06,,,4
2013/07/07,,,4
2013/07/08,,,5
2013/07/09,,,5
2013/07/10,,,5
2013/07/11,,,5
2013/07/12,,,5
2013/07/13,,,5
2013/07/14,,,5
2013/07/15,,,5
2013/07/16,,,5
2013/07/17,,,4
2013/07/18,,,2
2013/07/19,,,2
2013/07/20,,,2
2013/07/21,,,2
2013/07/22,,,2
2013/07/23,,,2
2013/07/24,,,2
2013/07/25,,,2
2013/07/26,,,2
2013/07/27,,,2
2013/07/28,,,2
2013/07/29,,,2
2013/07/30,,,2
2013/07/31,,,2
2013/08/01,,,2
2013/08/02,,,2
2013/08/03,,,1
2013/08/04,,,1
2013/08/05,,,1
2013/08/06,,,1
2013/09/22,,,1
2013/09/23,,,1
2013/09/24,,,1
2013/09/25,,,1
2013/09/26,,,1
2013/09/27,,,1
2013/09/28,,,1
2013/09/29,,,1
2013/09/30,,,1
2013/10/01,,,1
2013/10/02,,,1
2013/10/03,,,1
2013/10/04,,,1
2013/10/05,,,1
2013/10/06,,,1
2013/10/07,,,1
2013/10/08,,,1
2013/10/09,,,1
2013/10/10,,,1
2013/10/11,,,1
2013/10/12,,,1
2013/10/13,,,1
2013/10/14,,,1
2013/10/15,,,1
2013/10/16,,,1
2013/10/17,,,1
2013/10/18,,,1
2013/10/19,,,1
2013/10/20,,,1
2013/10/21,,,1
2013/10/27,,,1
2013/10/28,,,1
2013/10/29,,,1
2013/10/30,,,1
2013/10/31,,,1
2013/11/01,,,1
2013/11/02,,,1
2013/11/03,,,1
2013/11/04,,,1
2013/11/05,,,1
2013/11/06,,,1
2013/11/07,,,1
2013/11/08,,,1
2013/11/09,,,1
2013/11/10,,,1
2013/11/11,,,1
2013/11/12,,,2
2013/11/13,,,2
2013/11/14,,,2
2013/11/15,,,2
2013/11/16,,,2
2013/11/17,,,2
2013/11/18,,,2
2013/11/19,,,2
2013/11/20,,,2
2013/11/21,,,2
2013/11/22,,,2
2013/11/23,,,2
2013/11/24,,,2
2013/11/25,,,2
2013/11/26,,,1
2013/11/27,,,1
2013/11/28,,,1
2013/11/29,,,2
2013/11/30,,,2
2013/12/01,,,2
2013/12/02,,,2
2013/12/03,,,3
2013/12/04,,,3
2013/12/05,,,3
2013/12/06,,,3
2013/12/07,,,3
2013/12/08,,,3
2013/12/09,,,3
2013/12/10,,,3
2013/12/11,,,3
2013/12/12,,,2
2013/12/13,,,2
2013/12/14,,,2
2013/12/15,,,2
2013/12/16,,,2
2013/12/17,,,2
2013/12/18,,,2
2013/12/19,,,2
2013/12/20,,,2
2013/12/21,,,2
2013/12/22,,,2
2013/12/23,,,2
2013/12/24,,,2
2013/12/25,,,2
2013/12/26,,,2
2013/12/27,,,2
2013/12/28,,,2
2013/12/29,,,1
2013/12/30,,,1
2013/12/31,,,1
2014/01/01,,,1
2014/02/26,,,1
2014/02/27,,,1
2014/02/28,,,1
2014/03/01,,,1
2014/03/02,,,1
2014/03/03,,,1
2014/03/04,,,1
2014/03/05,,,1
2014/03/06,,,1
2014/03/07,,,1
2014/03/08,,,1
2014/03/09,,,1
2014/03/10,,,1
2014/03/11,,,1
2014/03/12,,,1
2014/03/13,,,1
2014/03/14,,1,1
2014/03/15,,1,2
2014/03/16,,1,3
2014/03/17,,1,3
2014/03/18,,1,3
2014/03/19,,1,3
2014/03/20,,1,3
2014/03/21,,1,3
2014/03/22,,1,3
2014/03/23,,1,3
2014/03/24,,1,3
2014/03/25,,2,4
2014/03/26,,2,4
2014/03/27,,2,4
2014/03/28,,2,4
2014/03/29,,2,4
2014/03/30,,2,4
2014/03/31,,2,4
2014/04/01,,2,4
2014/04/02,,2,4
2014/04/03,,2,4
2014/04/04,,2,4
2014/04/05,,2,4
2014/04/06,,2,4
2014/04/07,,2,4
2014/04/08,,2,4
2014/04/09,,2,4
2014/04/10,,2,4
2014/04/11,,2,4
2014/04/12,,2,4
2014/04/13,,1,3
2014/04/14,,1,2
2014/04/15,,1,1
2014/04/16,,1,1
2014/04/17,,1,1
2014/04/18,,1,1
2014/04/19,,1,1
2014/04/20,,1,1
2014/04/21,,1,1
2014/04/22,,1,1
2014/04/23,,1,1
2014/04/26,,,1
2014/04/27,,,1
2014/04/28,,,1
2014/04/29,,,1
2014/04/30,,,1
2014/05/01,,,1
2014/05/02,,,1
2014/05/03,,,1
2014/05/04,,,1
2014/05/05,,,1
2014/05/06,,,1
2014/05/07,,,3
2014/05/08,,,3
2014/05/09,,,3
2014/05/10,,,3
2014/05/11,,,3
2014/05/12,,,3
2014/05/13,,,3
2014/05/14,,,3
2014/05/15,,,3
2014/05/16,,,3
2014/05/17,,,3
2014/05/18,,,3
2014/05/19,,,3
2014/05/20,,,4
2014/05/21,,,4
2014/05/22,,,4
2014/05/23,,,4
2014/05/24,,,4
2014/05/25,,,4
2014/05/26,,,3
2014/05/27,,,3
2014/05/28,,,3
2014/05/29,,,3
2014/05/30,,,3
2014/05/31,,,3
2014/06/01,,,3
2014/06/02,,,3
2014/06/03,,,3
2014/06/04,,,3
2014/06/05,,,3
2014/06/06,,,1
2014/06/07,,,1
2014/06/08,,,2
2014/06/09,,,2
2014/06/10,,,2
2014/06/11,,,2
2014/06/12,,,3
2014/06/13,,,3
2014/06/14,,,3
2014/06/15,,,4
2014/06/16,,,4
2014/06/17,,,4
2014/06/18,,,6
2014/06/19,,,5
2014/06/20,,,5
2014/06/21,,,5
2014/06/22,,,5
2014/06/23,,,5
2014/06/24,,,5
2014/06/25,,,5
2014/06/26,,,5
2014/06/27,,,5
2014/06/28,,,5
2014/06/29,,,5
2014/06/30,,,5
2014/07/01,,,5
2014/07/02,,,5
2014/07/03,,,5
2014/07/04,,,5
2014/07/05,,,5
2014/07/06,,,5
2014/07/07,,,5
2014/07/08,,,4
2014/07/09,,,4
2014/07/10,,,4
2014/07/11,,,4
2014/07/12,,,3
2014/07/13,,,3
2014/07/14,,,3
2014/07/15,,,2
2014/07/16,,,2
2014/07/17,,,2
2014/07/23,,,1
2014/07/24,,,1
2014/07/25,,,2
2014/07/26,,,1
2014/07/27,,,1
2014/07/28,,,1
2014/07/29,,,1
2014/07/30,,,1
2014/07/31,,,1
2014/08/01,,,1
2014/08/02,,,1
2014/08/03,,,1
2014/08/04,,,1
2014/08/05,,,2
2014/08/06,,,2
2014/08/07,,,2
2014/08/08,,,2
2014/08/09,,,2
2014/08/10,,,2
2014/08/11,,,2
2014/08/12,,,3
2014/08/13,,,3
2014/08/14,,,3
