date,frrwiki (100+),frrwiki (5+),frrwiki (all)
2012/11/25,5,21,38
2012/11/26,5,21,37
2012/11/27,4,21,37
2012/11/28,4,21,37
2012/11/29,4,21,36
2012/11/30,4,21,35
2012/12/01,4,21,36
2012/12/02,4,21,35
2012/12/03,5,21,33
2012/12/04,5,21,32
2012/12/05,4,20,32
2012/12/06,5,20,32
2012/12/07,5,20,32
2012/12/08,5,20,34
2012/12/09,4,20,35
2012/12/10,4,20,34
2012/12/11,4,20,34
2012/12/12,4,19,33
2012/12/13,4,19,33
2012/12/14,4,19,33
2012/12/15,4,19,35
2012/12/16,4,19,37
2012/12/17,4,20,38
2012/12/18,4,20,38
2012/12/19,5,20,39
2012/12/20,6,20,38
2012/12/21,6,21,38
2012/12/22,5,21,39
2012/12/23,6,21,41
2012/12/24,7,20,41
2012/12/25,6,20,42
2012/12/26,6,20,42
2012/12/27,6,21,42
2012/12/28,6,21,41
2012/12/29,6,22,42
2012/12/30,7,22,43
2012/12/31,7,22,43
2013/01/01,7,22,45
2013/01/02,7,23,46
2013/01/03,7,23,46
2013/01/04,7,25,45
2013/01/05,7,25,45
2013/01/06,7,25,45
2013/01/07,7,25,44
2013/01/08,7,24,44
2013/01/09,7,24,43
2013/01/10,7,23,44
2013/01/11,7,23,44
2013/01/12,7,23,44
2013/01/13,7,23,44
2013/01/14,7,23,44
2013/01/15,7,24,43
2013/01/16,7,25,42
2013/01/17,7,26,42
2013/01/18,7,27,42
2013/01/19,6,27,44
2013/01/20,6,27,44
2013/01/21,5,27,44
2013/01/22,5,26,42
2013/01/23,5,26,44
2013/01/24,5,27,44
2013/01/25,5,27,45
2013/01/26,5,26,47
2013/01/27,5,26,47
2013/01/28,5,26,48
2013/01/29,5,25,48
2013/01/30,4,25,49
2013/01/31,4,25,48
2013/02/01,4,24,47
2013/02/02,4,24,46
2013/02/03,4,22,47
2013/02/04,4,22,48
2013/02/05,4,22,49
2013/02/06,4,23,48
2013/02/07,4,23,48
2013/02/08,4,24,47
2013/02/09,4,24,46
2013/02/10,4,25,45
2013/02/11,4,25,44
2013/02/12,4,25,44
2013/02/13,4,25,43
2013/02/14,4,24,41
2013/02/15,5,24,40
2013/02/16,5,23,42
2013/02/17,5,23,43
2013/02/18,5,22,43
2013/02/19,5,21,43
2013/02/20,5,21,43
2013/02/21,5,21,44
2013/02/22,5,21,43
2013/02/23,5,22,43
2013/02/24,5,22,43
2013/02/25,5,22,41
2013/02/26,5,22,41
2013/02/27,5,21,40
2013/02/28,5,22,41
2013/03/01,6,22,42
2013/03/02,5,22,42
2013/03/03,6,22,42
2013/03/04,6,22,41
2013/03/05,6,21,40
2013/03/06,6,21,39
2013/03/07,7,22,39
2013/03/08,7,21,39
2013/03/09,7,20,38
2013/03/10,7,20,38
2013/03/11,7,20,37
2013/03/12,7,18,38
2013/03/13,7,16,37
2013/03/14,7,16,36
2013/03/15,7,17,36
2013/03/16,7,17,36
2013/03/17,7,17,36
2013/03/18,7,16,34
2013/03/19,6,16,33
2013/03/20,5,16,33
2013/03/21,5,16,33
2013/03/22,5,16,33
2013/03/23,5,16,30
2013/03/24,5,15,29
2013/03/25,5,15,30
2013/03/26,5,15,30
2013/03/27,5,15,30
2013/03/28,5,15,27
2013/03/29,5,15,27
2013/03/30,4,15,26
2013/03/31,4,14,25
2013/04/01,4,14,26
2013/04/02,4,12,28
2013/04/03,4,11,28
2013/04/04,4,9,28
2013/04/05,4,7,25
2013/04/06,3,7,20
2013/04/07,3,6,16
2013/04/08,3,6,17
2013/04/09,3,6,18
2013/04/10,3,7,18
2013/04/11,3,6,18
2013/04/12,3,6,19
2013/04/13,3,6,19
2013/04/14,3,6,19
2013/04/15,3,6,19
2013/04/16,3,7,19
2013/04/17,3,7,19
2013/04/18,3,6,19
2013/04/19,3,6,19
2013/04/20,3,6,19
2013/04/21,2,6,20
2013/04/22,2,5,20
2013/04/23,2,5,21
2013/04/24,2,5,19
2013/04/25,2,5,18
2013/04/26,2,5,17
2013/04/27,1,5,17
2013/04/28,1,5,16
2013/04/29,1,5,16
2013/04/30,1,5,16
2013/05/01,1,5,16
2013/05/02,1,5,14
2013/05/03,1,5,14
2013/05/04,1,4,14
2013/05/05,1,4,14
2013/05/06,1,4,15
2013/05/07,1,3,15
2013/05/08,1,3,15
2013/05/09,1,3,15
2013/05/10,1,3,15
2013/05/11,1,3,15
2013/05/12,1,3,14
2013/05/13,1,3,14
2013/05/14,1,3,13
2013/05/15,1,3,13
2013/05/16,1,3,12
2013/05/17,1,3,12
2013/05/18,1,3,11
2013/05/19,1,3,11
2013/05/20,1,3,12
2013/05/21,1,3,11
2013/05/22,1,3,12
2013/05/23,1,3,11
2013/05/24,1,3,11
2013/05/25,1,3,13
2013/05/26,1,3,13
2013/05/27,1,3,14
2013/05/28,1,3,14
2013/05/29,1,4,14
2013/05/30,1,4,13
2013/05/31,1,4,11
2013/06/01,1,3,11
2013/06/02,1,4,13
2013/06/03,1,4,13
2013/06/04,1,4,13
2013/06/05,1,4,13
2013/06/06,1,4,14
2013/06/07,1,4,14
2013/06/08,1,4,14
2013/06/09,1,4,14
2013/06/10,1,4,15
2013/06/11,1,4,15
2013/06/12,1,4,15
2013/06/13,1,4,14
2013/06/14,1,4,15
2013/06/15,1,4,15
2013/06/16,1,4,16
2013/06/17,1,4,16
2013/06/18,1,4,16
2013/06/19,1,4,16
2013/06/20,1,4,16
2013/06/21,1,4,15
2013/06/22,1,4,16
2013/06/23,1,5,18
2013/06/24,1,5,17
2013/06/25,1,5,17
2013/06/26,1,5,16
2013/06/27,1,5,16
2013/06/28,1,4,15
2013/06/29,1,4,15
2013/06/30,1,4,14
2013/07/01,1,4,14
2013/07/02,1,3,14
2013/07/03,1,3,16
2013/07/04,1,3,16
2013/07/05,1,3,16
2013/07/06,1,3,16
2013/07/07,1,3,16
2013/07/08,1,3,18
2013/07/09,1,3,18
2013/07/10,1,3,17
2013/07/11,1,4,17
2013/07/12,1,4,17
2013/07/13,1,4,17
2013/07/14,1,4,16
2013/07/15,1,4,16
2013/07/16,1,4,16
2013/07/17,1,4,16
2013/07/18,1,4,16
2013/07/19,1,4,16
2013/07/20,1,3,16
2013/07/21,1,3,17
2013/07/22,1,3,16
2013/07/23,1,2,14
2013/07/24,1,2,13
2013/07/25,1,2,13
2013/07/26,1,2,12
2013/07/27,1,2,12
2013/07/28,1,2,12
2013/07/29,1,3,13
2013/07/30,1,3,13
2013/07/31,1,3,13
2013/08/01,1,3,12
2013/08/02,1,3,11
2013/08/03,1,3,11
2013/08/04,1,3,11
2013/08/05,1,3,13
2013/08/06,1,3,13
2013/08/07,1,3,12
2013/08/08,1,3,12
2013/08/09,1,3,12
2013/08/10,1,3,12
2013/08/11,1,3,12
2013/08/12,1,3,12
2013/08/13,1,3,12
2013/08/14,1,3,12
2013/08/15,1,3,12
2013/08/16,1,4,13
2013/08/17,1,4,11
2013/08/18,1,4,11
2013/08/19,1,4,11
2013/08/20,1,4,10
2013/08/21,1,4,10
2013/08/22,1,3,10
2013/08/23,1,3,10
2013/08/24,1,3,10
2013/08/25,1,4,10
2013/08/26,1,4,10
2013/08/27,1,4,11
2013/08/28,1,3,12
2013/08/29,1,3,13
2013/08/30,1,3,12
2013/08/31,1,3,12
2013/09/01,1,3,12
2013/09/02,1,3,12
2013/09/03,1,3,12
2013/09/04,1,3,9
2013/09/05,1,3,9
2013/09/06,1,3,10
2013/09/07,1,2,10
2013/09/08,1,2,10
2013/09/09,1,2,10
2013/09/10,1,2,11
2013/09/11,1,3,11
2013/09/12,1,3,11
2013/09/13,1,3,11
2013/09/14,1,3,11
2013/09/15,1,2,9
2013/09/16,1,2,9
2013/09/17,1,2,10
2013/09/18,1,2,10
2013/09/19,1,2,10
2013/09/20,1,2,10
2013/09/21,1,2,10
2013/09/22,1,2,12
2013/09/23,1,2,13
2013/09/24,1,2,13
2013/09/25,1,2,15
2013/09/26,1,2,14
2013/09/27,1,2,12
2013/09/28,1,3,13
2013/09/29,1,3,13
2013/09/30,1,3,13
2013/10/01,1,4,15
2013/10/02,1,4,14
2013/10/03,,5,16
2013/10/04,,5,16
2013/10/05,,6,16
2013/10/06,,6,16
2013/10/07,,6,16
2013/10/08,,6,17
2013/10/09,,6,18
2013/10/10,,6,17
2013/10/11,,5,16
2013/10/12,,5,16
2013/10/13,,5,16
2013/10/14,,5,17
2013/10/15,,5,18
2013/10/16,,5,19
2013/10/17,,5,18
2013/10/18,,5,18
2013/10/19,,6,19
2013/10/20,,6,19
2013/10/21,,6,19
2013/10/22,,6,19
2013/10/23,,6,19
2013/10/24,,6,19
2013/10/25,,6,17
2013/10/26,,6,17
2013/10/27,,6,17
2013/10/28,,6,17
2013/10/29,,6,17
2013/10/30,,6,18
2013/10/31,,5,17
2013/11/01,,5,17
2013/11/02,,4,17
2013/11/03,,4,17
2013/11/04,,4,16
2013/11/05,,4,16
2013/11/06,,3,16
2013/11/07,,3,16
2013/11/08,,3,15
2013/11/09,,3,14
2013/11/10,,3,14
2013/11/11,,3,13
2013/11/12,,3,13
2013/11/13,,3,12
2013/11/14,,3,11
2013/11/15,,2,10
2013/11/16,,2,11
2013/11/17,,2,11
2013/11/18,,2,10
2013/11/19,,2,11
2013/11/20,,2,11
2013/11/21,,2,11
2013/11/22,,2,11
2013/11/23,,2,11
2013/11/24,,3,12
2013/11/25,,4,12
2013/11/26,,4,12
2013/11/27,,4,12
2013/11/28,,4,12
2013/11/29,,4,11
2013/11/30,1,4,11
2013/12/01,1,4,10
2013/12/02,1,4,11
2013/12/03,1,4,11
2013/12/04,1,4,12
2013/12/05,1,4,12
2013/12/06,1,4,13
2013/12/07,1,4,12
2013/12/08,1,4,12
2013/12/09,1,4,12
2013/12/10,1,4,13
2013/12/11,,4,13
2013/12/12,,4,13
2013/12/13,,4,14
2013/12/14,,4,15
2013/12/15,,4,15
2013/12/16,,3,14
2013/12/17,,3,14
2013/12/18,,3,14
2013/12/19,,3,13
2013/12/20,,4,13
2013/12/21,,4,15
2013/12/22,,4,14
2013/12/23,,4,15
2013/12/24,,3,14
2013/12/25,,3,14
2013/12/26,,3,14
2013/12/27,,3,14
2013/12/28,,3,13
2013/12/29,,3,15
2013/12/30,,3,15
2013/12/31,,3,16
2014/01/01,,3,15
2014/01/02,,3,15
2014/01/03,,2,15
2014/01/04,,2,14
2014/01/05,,2,13
2014/01/06,,2,14
2014/01/07,,2,14
2014/01/08,,2,13
2014/01/09,,2,12
2014/01/10,,2,12
2014/01/11,,2,11
2014/01/12,,3,10
2014/01/13,,3,9
2014/01/14,,3,9
2014/01/15,,3,10
2014/01/16,,3,10
2014/01/17,,3,11
2014/01/18,1,3,11
2014/01/19,1,3,11
2014/01/20,1,4,10
2014/01/21,1,4,10
2014/01/22,1,4,11
2014/01/23,1,3,11
2014/01/24,1,3,11
2014/01/25,1,3,11
2014/01/26,1,3,11
2014/01/27,1,3,11
2014/01/28,1,3,9
2014/01/29,1,3,9
2014/01/30,1,3,8
2014/01/31,1,3,8
2014/02/01,1,3,8
2014/02/02,1,3,8
2014/02/03,1,3,8
2014/02/04,1,3,10
2014/02/05,1,3,10
2014/02/06,1,3,10
2014/02/07,1,3,10
2014/02/08,1,3,10
2014/02/09,1,4,11
2014/02/10,1,4,11
2014/02/11,1,4,11
2014/02/12,1,4,11
2014/02/13,1,4,10
2014/02/14,1,4,10
2014/02/15,1,4,9
2014/02/16,1,4,8
2014/02/17,,4,10
2014/02/18,,4,10
2014/02/19,,3,10
2014/02/20,,3,11
2014/02/21,,3,10
2014/02/22,,3,10
2014/02/23,,3,10
2014/02/24,,3,10
2014/02/25,,3,10
2014/02/26,,3,10
2014/02/27,,3,11
2014/02/28,,3,11
2014/03/01,,3,11
2014/03/02,,3,12
2014/03/03,,4,12
2014/03/04,,4,13
2014/03/05,,4,12
2014/03/06,,4,10
2014/03/07,,4,10
2014/03/08,,4,11
2014/03/09,,4,11
2014/03/10,,4,12
2014/03/11,,3,11
2014/03/12,,3,11
2014/03/13,,3,12
2014/03/14,,3,12
2014/03/15,,3,14
2014/03/16,,3,14
2014/03/17,,3,17
2014/03/18,,3,17
2014/03/19,,3,16
2014/03/20,,3,16
2014/03/21,,3,14
2014/03/22,,2,13
2014/03/23,,3,13
2014/03/24,,3,13
2014/03/25,,3,13
2014/03/26,,3,14
2014/03/27,,3,14
2014/03/28,,3,14
2014/03/29,,3,13
2014/03/30,,3,13
2014/03/31,,3,13
2014/04/01,,3,13
2014/04/02,,2,13
2014/04/03,,2,11
2014/04/04,,2,12
2014/04/05,,1,12
2014/04/06,,1,12
2014/04/07,1,1,13
2014/04/08,1,1,14
2014/04/09,1,1,14
2014/04/10,1,1,14
2014/04/11,1,1,14
2014/04/12,1,1,16
2014/04/13,1,1,17
2014/04/14,1,1,16
2014/04/15,1,1,16
2014/04/16,1,1,13
2014/04/17,1,1,12
2014/04/18,1,2,13
2014/04/19,1,2,13
2014/04/20,1,2,13
2014/04/21,1,2,13
2014/04/22,1,2,13
2014/04/23,1,2,13
2014/04/24,1,2,13
2014/04/25,1,2,13
2014/04/26,1,2,13
2014/04/27,1,2,15
2014/04/28,1,2,16
2014/04/29,1,2,16
2014/04/30,1,2,16
2014/05/01,1,2,16
2014/05/02,1,3,16
2014/05/03,1,3,17
2014/05/04,,3,16
2014/05/05,,3,16
2014/05/06,,3,16
2014/05/07,,3,15
2014/05/08,,3,16
2014/05/09,,4,16
2014/05/10,,4,16
2014/05/11,,4,17
2014/05/12,,4,14
2014/05/13,,4,13
2014/05/14,,4,11
2014/05/15,,4,11
2014/05/16,,4,11
2014/05/17,,4,11
2014/05/18,,2,10
2014/05/19,,2,10
2014/05/20,,3,11
2014/05/21,,3,11
2014/05/22,,3,12
2014/05/23,,3,12
2014/05/24,,3,12
2014/05/25,,3,11
2014/05/26,,3,10
2014/05/27,,3,8
2014/05/28,,3,8
2014/05/29,,3,8
2014/05/30,,3,9
2014/05/31,,3,9
2014/06/01,,3,9
2014/06/02,,3,9
2014/06/03,,3,9
2014/06/04,,3,10
2014/06/05,,3,10
2014/06/06,,3,10
2014/06/07,,2,10
2014/06/08,,1,10
2014/06/09,,1,10
2014/06/10,,1,9
2014/06/11,,1,9
2014/06/12,,1,10
2014/06/13,,1,10
2014/06/14,,1,10
2014/06/15,,1,10
2014/06/16,,1,10
2014/06/17,,1,11
2014/06/18,,1,11
2014/06/19,,1,11
2014/06/20,,1,12
2014/06/21,,1,11
2014/06/22,,1,11
2014/06/23,,1,11
2014/06/24,,1,13
2014/06/25,,1,13
2014/06/26,,1,13
2014/06/27,,1,12
2014/06/28,,1,12
2014/06/29,,1,11
2014/06/30,,1,11
2014/07/01,,1,11
2014/07/02,,1,10
2014/07/03,,1,10
2014/07/04,,1,9
2014/07/05,,1,9
2014/07/06,,1,9
2014/07/07,,1,8
2014/07/08,,1,8
2014/07/09,,1,8
2014/07/10,,1,8
2014/07/11,,1,8
2014/07/12,,2,9
2014/07/13,,2,9
2014/07/14,,2,10
2014/07/15,,2,10
2014/07/16,,2,10
2014/07/17,,2,9
2014/07/18,,2,9
2014/07/19,,2,9
2014/07/20,,2,8
2014/07/21,,2,8
2014/07/22,,2,9
2014/07/23,,3,10
2014/07/24,,3,9
2014/07/25,,3,9
2014/07/26,,3,9
2014/07/27,,3,9
2014/07/28,,3,9
2014/07/29,,3,9
2014/07/30,,3,11
2014/07/31,,3,11
2014/08/01,,3,11
2014/08/02,,3,11
2014/08/03,,3,11
2014/08/04,,3,11
2014/08/05,1,3,11
2014/08/06,1,3,12
2014/08/07,1,3,12
2014/08/08,1,3,12
2014/08/09,1,3,12
2014/08/10,1,3,12
2014/08/11,1,3,11
2014/08/12,1,3,12
2014/08/13,1,3,11
2014/08/14,1,3,11
2014/08/15,1,3,10
2014/08/16,1,3,11
2014/08/17,1,3,12
2014/08/18,1,3,11
2014/08/19,1,3,11
2014/08/20,1,3,11
2014/08/21,1,3,10
2014/08/22,,3,10
2014/08/23,,3,11
2014/08/24,,3,11
2014/08/25,,3,11
2014/08/26,,3,12
2014/08/27,,3,12
2014/08/28,,3,12
2014/08/29,,3,11
2014/08/30,,3,11
2014/08/31,,4,11
2014/09/01,,4,11
2014/09/02,,4,11
2014/09/03,,4,10
2014/09/04,,4,10
2014/09/05,,4,10
2014/09/06,,4,10
2014/09/07,,4,10
2014/09/08,,4,10
2014/09/09,,4,10
2014/09/10,,4,10
2014/09/11,,4,9
2014/09/12,,4,9
2014/09/13,,4,9
2014/09/14,,4,9
2014/09/15,,4,8
2014/09/16,,4,7
2014/09/17,,4,7
2014/09/18,,4,7
2014/09/19,,3,7
2014/09/20,,3,6
2014/09/21,,3,6
2014/09/22,,3,5
2014/09/23,,3,5
2014/09/24,,3,5
2014/09/25,,2,5
2014/09/26,,2,6
2014/09/27,,2,6
2014/09/28,,2,6
2014/09/29,,1,6
2014/09/30,,1,6
2014/10/01,,1,6
2014/10/02,,1,6
2014/10/03,,1,6
2014/10/04,,1,6
2014/10/05,,1,5
2014/10/06,,1,6
2014/10/07,,1,5
2014/10/08,,1,6
2014/10/09,,1,8
2014/10/10,,1,9
2014/10/11,,1,9
2014/10/12,,1,9
2014/10/13,,1,10
2014/10/14,,1,10
2014/10/15,,1,11
2014/10/16,,1,11
2014/10/17,,1,11
2014/10/18,,1,11
2014/10/19,,1,12
2014/10/20,,2,13
2014/10/21,,2,14
2014/10/22,,2,14
2014/10/23,,3,15
2014/10/24,,3,15
2014/10/25,,3,15
2014/10/26,,3,14
2014/10/27,,3,15
2014/10/28,,3,15
2014/10/29,,3,15
2014/10/30,,3,14
2014/10/31,,3,15
2014/11/01,,3,16
2014/11/02,,3,16
2014/11/03,,3,16
2014/11/04,,3,17
2014/11/05,,3,16
2014/11/06,,4,17
2014/11/07,,4,16
2014/11/08,,4,14
2014/11/09,,5,15
2014/11/10,,5,15
2014/11/11,,5,15
2014/11/12,,5,14
2014/11/13,,5,14
2014/11/14,,5,14
2014/11/15,,5,12
2014/11/16,,5,12
2014/11/17,,5,12
2014/11/18,,5,13
2014/11/19,,5,14
2014/11/20,,5,13
2014/11/21,,6,13
2014/11/22,,6,13
2014/11/23,,6,12
2014/11/24,,6,12
2014/11/25,,6,12
2014/11/26,,7,11
2014/11/27,,7,11
2014/11/28,,7,11
2014/11/29,,7,11
2014/11/30,,7,10
2014/12/01,,7,9
2014/12/02,,7,9
2014/12/03,,7,9
2014/12/04,,6,9
2014/12/05,,6,9
2014/12/06,,5,8
2014/12/07,,5,8
2014/12/08,,6,9
2014/12/09,,5,9
2014/12/10,,5,9
2014/12/11,,5,9
2014/12/12,,5,10
2014/12/13,,5,11
2014/12/14,,5,11
2014/12/15,,5,11
2014/12/16,,5,11
2014/12/17,,5,11
2014/12/18,,5,11
2014/12/19,,5,11
2014/12/20,,7,12
2014/12/21,,6,11
2014/12/22,,5,9
2014/12/23,,5,8
2014/12/24,,5,8
2014/12/25,,5,8
2014/12/26,,5,8
2014/12/27,,5,8
2014/12/28,,5,8
2014/12/29,,5,8
2014/12/30,,5,8
2014/12/31,,5,8
2015/01/01,,5,9
2015/01/02,,5,9
2015/01/03,,5,9
2015/01/04,,5,10
2015/01/05,,5,10
2015/01/06,,5,10
2015/01/07,,4,10
2015/01/08,,4,9
2015/01/09,,4,8
2015/01/10,,4,7
2015/01/11,,4,7
2015/01/12,,4,6
2015/01/13,,4,6
2015/01/14,,5,7
2015/01/15,,5,7
2015/01/16,,5,7
2015/01/17,,5,7
2015/01/18,,4,7
2015/01/19,,3,7
2015/01/20,,3,8
2015/01/21,,2,8
2015/01/22,,2,8
2015/01/23,,3,11
2015/01/24,,3,11
2015/01/25,,3,11
2015/01/26,,3,11
2015/01/27,,3,11
2015/01/28,,3,11
2015/01/29,,3,11
2015/01/30,,4,12
2015/01/31,,4,11
2015/02/01,,4,11
2015/02/02,,4,11
2015/02/03,,4,10
2015/02/04,,4,11
2015/02/05,,4,11
2015/02/06,,4,11
2015/02/07,,4,11
2015/02/08,,4,11
2015/02/09,,4,11
2015/02/10,,4,11
2015/02/11,,4,11
2015/02/12,,4,11
2015/02/13,,3,10
2015/02/14,,3,10
2015/02/15,1,4,11
2015/02/16,1,4,11
2015/02/17,1,4,11
2015/02/18,1,4,10
2015/02/19,2,4,10
2015/02/20,2,4,10
2015/02/21,2,4,11
2015/02/22,2,3,11
2015/02/23,2,3,11
2015/02/24,2,3,11
2015/02/25,2,3,11
2015/02/26,2,3,11
2015/02/27,2,3,11
2015/02/28,2,3,11
2015/03/01,2,3,11
2015/03/02,2,3,11
2015/03/03,2,3,11
2015/03/04,2,3,11
2015/03/05,2,3,11
2015/03/06,2,3,10
2015/03/07,2,3,10
2015/03/08,3,4,11
2015/03/09,3,3,10
2015/03/10,3,3,12
2015/03/11,3,4,13
2015/03/12,3,5,13
2015/03/13,3,5,13
2015/03/14,3,5,13
2015/03/15,3,5,13
2015/03/16,3,5,13
2015/03/17,3,5,13
2015/03/18,3,5,13
2015/03/19,2,5,13
2015/03/20,2,5,13
2015/03/21,2,5,12
2015/03/22,2,5,11
2015/03/23,2,4,9
2015/03/24,2,4,8
2015/03/25,2,4,8
2015/03/26,2,4,8
2015/03/27,2,4,8
2015/03/28,2,4,8
2015/03/29,2,4,9
2015/03/30,2,5,10
2015/03/31,2,5,10
2015/04/01,2,5,10
2015/04/02,2,5,10
2015/04/03,2,5,9
2015/04/04,2,5,9
2015/04/05,3,5,9
2015/04/06,3,5,9
2015/04/07,2,4,8
2015/04/08,2,4,8
2015/04/09,2,4,7
2015/04/10,2,3,6
2015/04/11,2,3,8
2015/04/12,2,3,8
2015/04/13,2,3,8
2015/04/14,2,3,8
2015/04/15,2,3,8
2015/04/16,2,3,9
2015/04/17,2,3,9
2015/04/18,2,3,10
2015/04/19,2,3,10
2015/04/20,2,3,10
2015/04/21,2,3,10
2015/04/22,2,3,10
2015/04/23,2,3,10
2015/04/24,2,3,10
2015/04/25,2,3,10
2015/04/26,2,3,11
2015/04/27,2,3,11
2015/04/28,2,3,10
2015/04/29,2,2,9
2015/04/30,2,2,9
2015/05/01,2,2,8
2015/05/02,1,2,9
2015/05/03,2,2,9
2015/05/04,2,2,10
2015/05/05,2,2,10
2015/05/06,2,2,10
2015/05/07,2,2,10
2015/05/08,2,2,10
2015/05/09,2,3,12
2015/05/10,3,3,12
2015/05/11,3,3,10
2015/05/12,3,4,11
2015/05/13,3,4,13
2015/05/14,3,4,13
2015/05/15,3,4,13
2015/05/16,3,4,12
2015/05/17,4,4,12
2015/05/18,4,4,11
2015/05/19,4,4,12
2015/05/20,4,4,12
2015/05/21,4,4,13
2015/05/22,4,4,13
2015/05/23,4,4,13
2015/05/24,4,4,14
2015/05/25,4,4,15
2015/05/26,4,4,14
2015/05/27,4,4,14
2015/05/28,4,4,15
2015/05/29,4,4,16
2015/05/30,4,4,16
2015/05/31,4,4,16
2015/06/01,4,4,15
2015/06/02,4,4,15
2015/06/03,4,4,14
2015/06/04,4,4,14
2015/06/05,4,4,14
2015/06/06,4,4,14
2015/06/07,4,4,14
2015/06/08,4,4,13
2015/06/09,4,4,13
2015/06/10,4,4,14
2015/06/11,3,4,16
2015/06/12,3,4,15
2015/06/13,3,4,15
2015/06/14,3,4,15
2015/06/15,3,5,16
2015/06/16,3,5,16
2015/06/17,3,5,16
2015/06/18,2,5,16
2015/06/19,2,4,16
2015/06/20,2,4,15
2015/06/21,2,5,16
2015/06/22,2,5,16
2015/06/23,2,5,15
2015/06/24,2,5,14
2015/06/25,2,5,14
2015/06/26,2,5,14
2015/06/27,2,5,13
2015/06/28,2,4,11
2015/06/29,2,4,12
2015/06/30,2,4,12
2015/07/01,2,4,13
2015/07/02,2,4,13
2015/07/03,2,4,14
2015/07/04,2,4,14
2015/07/05,2,4,15
2015/07/06,2,4,15
2015/07/07,2,4,15
2015/07/08,2,4,15
2015/07/09,2,4,15
2015/07/10,2,4,16
2015/07/11,2,4,14
2015/07/12,2,4,15
2015/07/13,2,4,15
2015/07/14,2,4,16
2015/07/15,2,4,16
2015/07/16,2,4,15
2015/07/17,2,5,16
2015/07/18,2,5,16
2015/07/19,2,6,16
2015/07/20,2,7,18
2015/07/21,2,7,18
2015/07/22,2,6,18
2015/07/23,2,8,22
2015/07/24,2,8,22
2015/07/25,2,8,22
2015/07/26,2,8,22
2015/07/27,2,8,22
2015/07/28,2,8,22
2015/07/29,3,8,22
2015/07/30,3,9,22
2015/07/31,3,9,21
2015/08/01,3,9,21
2015/08/02,3,9,21
2015/08/03,3,9,22
2015/08/04,3,9,21
2015/08/05,3,9,21
2015/08/06,3,9,22
2015/08/07,3,9,22
2015/08/08,3,9,22
2015/08/09,3,9,20
2015/08/10,3,10,21
2015/08/11,3,9,20
2015/08/12,3,9,20
2015/08/13,3,9,20
2015/08/14,3,9,20
2015/08/15,3,9,20
2015/08/16,3,8,20
2015/08/17,3,8,18
2015/08/18,3,8,17
2015/08/19,3,8,16
2015/08/20,3,8,18
2015/08/21,2,8,18
2015/08/22,1,8,16
2015/08/23,1,8,16
2015/08/24,1,8,16
2015/08/25,1,8,16
2015/08/26,1,7,15
2015/08/27,1,7,15
