date,zh_yuewiki (100+),zh_yuewiki (5+),zh_yuewiki (all)
2013/02/12,4,39,140
2013/02/13,4,38,136
2013/02/14,4,36,132
2013/02/15,4,34,130
2013/02/16,4,35,130
2013/02/17,4,32,126
2013/02/18,4,32,125
2013/02/19,4,31,126
2013/02/20,4,31,127
2013/02/21,4,30,126
2013/02/22,4,28,120
2013/02/23,5,26,119
2013/02/24,5,25,112
2013/02/25,5,25,105
2013/02/26,5,25,108
2013/02/27,6,25,110
2013/02/28,6,23,111
2013/03/01,6,21,107
2013/03/02,5,20,107
2013/03/03,5,19,107
2013/03/04,5,19,107
2013/03/05,5,19,106
2013/03/06,5,19,106
2013/03/07,5,20,105
2013/03/08,5,21,103
2013/03/09,5,21,104
2013/03/10,5,21,101
2013/03/11,5,19,100
2013/03/12,5,17,98
2013/03/13,5,17,102
2013/03/14,4,18,106
2013/03/15,5,18,109
2013/03/16,5,20,112
2013/03/17,5,22,112
2013/03/18,5,24,113
2013/03/19,4,26,111
2013/03/20,4,26,108
2013/03/21,4,25,110
2013/03/22,4,25,112
2013/03/23,4,24,113
2013/03/24,4,24,117
2013/03/25,3,24,118
2013/03/26,3,25,120
2013/03/27,3,25,123
2013/03/28,3,28,130
2013/03/29,3,30,133
2013/03/30,3,30,132
2013/03/31,3,32,133
2013/04/01,3,33,137
2013/04/02,3,33,138
2013/04/03,3,32,141
2013/04/04,3,32,145
2013/04/05,3,31,142
2013/04/06,3,32,139
2013/04/07,4,31,139
2013/04/08,4,31,140
2013/04/09,4,31,141
2013/04/10,4,32,145
2013/04/11,4,34,152
2013/04/12,4,34,149
2013/04/13,4,35,152
2013/04/14,3,35,153
2013/04/15,4,37,161
2013/04/16,4,37,159
2013/04/17,4,36,162
2013/04/18,4,37,164
2013/04/19,4,37,167
2013/04/20,4,39,166
2013/04/21,4,40,172
2013/04/22,4,41,172
2013/04/23,3,41,168
2013/04/24,3,40,169
2013/04/25,3,41,171
2013/04/26,3,41,168
2013/04/27,4,40,161
2013/04/28,4,38,157
2013/04/29,5,38,156
2013/04/30,5,37,160
2013/05/01,5,38,157
2013/05/02,4,37,157
2013/05/03,4,37,154
2013/05/04,5,39,151
2013/05/05,6,39,152
2013/05/06,6,38,152
2013/05/07,6,37,149
2013/05/08,6,37,149
2013/05/09,7,37,147
2013/05/10,7,35,148
2013/05/11,7,36,146
2013/05/12,7,38,153
2013/05/13,7,38,147
2013/05/14,8,38,147
2013/05/15,8,37,144
2013/05/16,8,36,144
2013/05/17,8,37,145
2013/05/18,7,38,141
2013/05/19,7,37,142
2013/05/20,7,38,144
2013/05/21,7,37,135
2013/05/22,6,36,132
2013/05/23,7,36,135
2013/05/24,7,36,133
2013/05/25,7,35,129
2013/05/26,6,34,128
2013/05/27,6,36,131
2013/05/28,5,36,132
2013/05/29,5,35,130
2013/05/30,5,34,125
2013/05/31,5,34,125
2013/06/01,5,33,121
2013/06/02,6,33,121
2013/06/03,6,33,123
2013/06/04,4,32,120
2013/06/05,4,32,119
2013/06/06,3,33,122
2013/06/07,3,32,122
2013/06/08,2,33,124
2013/06/09,2,33,123
2013/06/10,2,35,125
2013/06/11,2,34,122
2013/06/12,2,34,120
2013/06/13,2,33,121
2013/06/14,3,32,116
2013/06/15,3,32,114
2013/06/16,3,32,115
2013/06/17,3,30,116
2013/06/18,3,30,113
2013/06/19,3,28,109
2013/06/20,3,30,111
2013/06/21,3,30,111
2013/06/22,3,30,113
2013/06/23,2,29,119
2013/06/24,2,30,118
2013/06/25,2,31,117
2013/06/26,3,30,117
2013/06/27,4,30,119
2013/06/28,4,31,120
2013/06/29,5,34,126
2013/06/30,5,36,128
2013/07/01,5,40,126
2013/07/02,5,45,128
2013/07/03,5,45,130
2013/07/04,5,46,132
2013/07/05,7,48,137
2013/07/06,7,48,140
2013/07/07,7,53,141
2013/07/08,8,55,143
2013/07/09,8,55,142
2013/07/10,8,54,141
2013/07/11,9,58,144
2013/07/12,9,57,146
2013/07/13,9,57,145
2013/07/14,9,63,155
2013/07/15,9,64,162
2013/07/16,9,64,161
2013/07/17,9,64,160
2013/07/18,11,63,159
2013/07/19,12,64,158
2013/07/20,12,67,161
2013/07/21,11,68,164
2013/07/22,12,69,164
2013/07/23,12,72,157
2013/07/24,12,72,156
2013/07/25,12,72,163
2013/07/26,11,72,161
2013/07/27,11,73,162
2013/07/28,11,73,162
2013/07/29,11,71,163
2013/07/30,11,72,168
2013/07/31,10,72,167
2013/08/01,10,73,166
2013/08/02,10,72,167
2013/08/03,10,76,172
2013/08/04,11,77,172
2013/08/05,11,80,169
2013/08/06,10,77,169
2013/08/07,11,75,166
2013/08/08,11,75,165
2013/08/09,11,75,165
2013/08/10,10,73,176
2013/08/11,11,75,177
2013/08/12,12,76,176
2013/08/13,12,71,177
2013/08/14,12,67,173
2013/08/15,12,69,177
2013/08/16,12,71,181
2013/08/17,13,70,179
2013/08/18,12,70,182
2013/08/19,11,70,184
2013/08/20,10,70,183
2013/08/21,10,70,187
2013/08/22,10,68,185
2013/08/23,9,69,183
2013/08/24,10,68,178
2013/08/25,9,68,177
2013/08/26,10,70,170
2013/08/27,10,68,168
2013/08/28,11,67,164
2013/08/29,11,66,162
2013/08/30,11,64,165
2013/08/31,10,62,161
2013/09/01,10,63,157
2013/09/02,10,64,154
2013/09/03,9,61,151
2013/09/04,9,58,149
2013/09/05,10,58,145
2013/09/06,9,56,146
2013/09/07,8,56,145
2013/09/08,9,53,140
2013/09/09,9,52,128
2013/09/10,9,49,126
2013/09/11,9,50,125
2013/09/12,9,50,122
2013/09/13,9,49,124
2013/09/14,7,47,120
2013/09/15,7,44,114
2013/09/16,6,45,116
2013/09/17,6,41,108
2013/09/18,6,39,102
2013/09/19,6,39,103
2013/09/20,6,37,101
2013/09/21,6,37,104
2013/09/22,6,39,105
2013/09/23,6,36,111
2013/09/24,6,36,112
2013/09/25,6,36,110
2013/09/26,6,35,108
2013/09/27,7,34,112
2013/09/28,7,34,107
2013/09/29,7,34,110
2013/09/30,7,35,112
2013/10/01,6,33,109
2013/10/02,5,33,108
2013/10/03,5,35,110
2013/10/04,5,35,110
2013/10/05,5,34,109
2013/10/06,5,35,110
2013/10/07,6,37,113
2013/10/08,6,39,119
2013/10/09,6,38,118
2013/10/10,6,37,117
2013/10/11,6,35,116
2013/10/12,6,36,115
2013/10/13,6,37,114
2013/10/14,6,39,118
2013/10/15,7,40,119
2013/10/16,7,39,116
2013/10/17,7,37,116
2013/10/18,7,37,119
2013/10/19,7,37,117
2013/10/20,7,39,119
2013/10/21,6,40,122
2013/10/22,6,37,120
2013/10/23,6,36,113
2013/10/24,6,35,113
2013/10/25,6,36,113
2013/10/26,6,37,118
2013/10/27,6,38,116
2013/10/28,6,37,118
2013/10/29,6,39,117
2013/10/30,6,38,113
2013/10/31,6,38,111
2013/11/01,6,37,111
2013/11/02,6,36,111
2013/11/03,6,36,113
2013/11/04,6,39,115
2013/11/05,6,37,114
2013/11/06,5,33,113
2013/11/07,5,33,111
2013/11/08,5,33,109
2013/11/09,5,35,114
2013/11/10,5,35,115
2013/11/11,5,37,117
2013/11/12,5,36,117
2013/11/13,5,33,116
2013/11/14,4,32,118
2013/11/15,4,32,120
2013/11/16,4,34,121
2013/11/17,3,35,126
2013/11/18,3,35,124
2013/11/19,3,34,123
2013/11/20,3,36,125
2013/11/21,3,36,125
2013/11/22,3,37,126
2013/11/23,3,36,120
2013/11/24,3,35,120
2013/11/25,3,35,118
2013/11/26,3,35,117
2013/11/27,3,34,115
2013/11/28,3,33,119
2013/11/29,3,33,119
2013/11/30,3,33,119
2013/12/01,3,32,120
2013/12/02,3,31,120
2013/12/03,3,33,120
2013/12/04,3,34,120
2013/12/05,3,34,119
2013/12/06,4,34,114
2013/12/07,4,36,116
2013/12/08,4,37,116
2013/12/09,4,36,114
2013/12/10,4,39,117
2013/12/11,4,38,118
2013/12/12,4,40,119
2013/12/13,4,40,118
2013/12/14,4,41,119
2013/12/15,4,42,118
2013/12/16,4,44,117
2013/12/17,4,43,114
2013/12/18,4,42,114
2013/12/19,4,41,113
2013/12/20,4,38,110
2013/12/21,4,41,114
2013/12/22,4,40,113
2013/12/23,4,43,115
2013/12/24,4,42,113
2013/12/25,4,40,110
2013/12/26,4,42,112
2013/12/27,4,42,113
2013/12/28,5,42,109
2013/12/29,5,42,107
2013/12/30,5,44,112
2013/12/31,5,44,114
2014/01/01,5,45,114
2014/01/02,4,45,115
2014/01/03,4,46,113
2014/01/04,4,46,113
2014/01/05,4,46,114
2014/01/06,4,43,115
2014/01/07,4,44,113
2014/01/08,4,40,115
2014/01/09,4,39,114
2014/01/10,4,38,111
2014/01/11,4,39,112
2014/01/12,4,41,114
2014/01/13,4,42,113
2014/01/14,4,42,113
2014/01/15,4,39,111
2014/01/16,4,40,110
2014/01/17,4,42,113
2014/01/18,5,42,114
2014/01/19,5,42,115
2014/01/20,5,42,115
2014/01/21,5,43,114
2014/01/22,6,43,113
2014/01/23,5,43,115
2014/01/24,5,42,120
2014/01/25,5,40,119
2014/01/26,5,41,118
2014/01/27,5,42,120
2014/01/28,5,42,121
2014/01/29,5,39,117
2014/01/30,5,38,120
2014/01/31,5,38,125
2014/02/01,6,41,130
2014/02/02,6,43,132
2014/02/03,5,44,133
2014/02/04,5,43,136
2014/02/05,5,42,134
2014/02/06,5,41,129
2014/02/07,5,38,124
2014/02/08,5,38,125
2014/02/09,5,39,126
2014/02/10,5,40,129
2014/02/11,5,40,129
2014/02/12,4,39,129
2014/02/13,4,39,132
2014/02/14,5,38,130
2014/02/15,5,37,127
2014/02/16,5,37,130
2014/02/17,5,37,127
2014/02/18,5,36,125
2014/02/19,5,37,126
2014/02/20,5,37,124
2014/02/21,6,38,125
2014/02/22,5,39,125
2014/02/23,6,43,127
2014/02/24,7,44,128
2014/02/25,7,45,127
2014/02/26,7,44,125
2014/02/27,7,45,125
2014/02/28,7,45,124
2014/03/01,7,46,122
2014/03/02,7,49,122
2014/03/03,7,51,122
2014/03/04,7,48,122
2014/03/05,7,47,121
2014/03/06,7,48,121
2014/03/07,7,50,124
2014/03/08,7,50,124
2014/03/09,8,51,126
2014/03/10,8,54,131
2014/03/11,9,54,129
2014/03/12,9,53,129
2014/03/13,9,53,129
2014/03/14,9,54,132
2014/03/15,9,55,134
2014/03/16,9,57,136
2014/03/17,9,60,141
2014/03/18,9,61,135
2014/03/19,9,60,136
2014/03/20,9,60,137
2014/03/21,9,59,138
2014/03/22,9,59,135
2014/03/23,8,60,139
2014/03/24,8,61,140
2014/03/25,8,58,138
2014/03/26,7,57,138
2014/03/27,7,56,139
2014/03/28,7,56,138
2014/03/29,7,59,139
2014/03/30,7,62,142
2014/03/31,8,65,144
2014/04/01,8,63,145
2014/04/02,7,60,145
2014/04/03,7,61,144
2014/04/04,7,60,141
2014/04/05,7,62,143
2014/04/06,7,63,142
2014/04/07,7,62,146
2014/04/08,6,61,141
2014/04/09,6,58,138
2014/04/10,6,58,140
2014/04/11,6,58,139
2014/04/12,6,59,141
2014/04/13,6,59,140
2014/04/14,6,60,138
2014/04/15,6,58,140
2014/04/16,6,56,138
2014/04/17,7,57,135
2014/04/18,7,59,135
2014/04/19,7,61,138
2014/04/20,7,63,141
2014/04/21,7,63,144
2014/04/22,7,63,141
2014/04/23,7,61,145
2014/04/24,7,62,144
2014/04/25,8,62,141
2014/04/26,8,61,140
2014/04/27,8,63,146
2014/04/28,9,61,145
2014/04/29,10,61,143
2014/04/30,10,59,142
2014/05/01,10,57,138
2014/05/02,10,59,140
2014/05/03,10,59,139
2014/05/04,10,66,144
2014/05/05,9,66,142
2014/05/06,8,65,143
2014/05/07,8,66,146
2014/05/08,8,70,150
2014/05/09,8,70,148
2014/05/10,8,72,148
2014/05/11,8,71,148
2014/05/12,8,70,151
2014/05/13,9,69,149
2014/05/14,8,68,147
2014/05/15,8,70,147
2014/05/16,8,70,152
2014/05/17,7,69,153
2014/05/18,7,65,151
2014/05/19,8,67,154
2014/05/20,8,66,151
2014/05/21,8,65,149
2014/05/22,7,64,148
2014/05/23,7,64,144
2014/05/24,7,63,144
2014/05/25,7,66,147
2014/05/26,7,67,148
2014/05/27,5,68,147
2014/05/28,4,64,144
2014/05/29,3,62,143
2014/05/30,4,63,139
2014/05/31,4,63,137
2014/06/01,4,62,141
2014/06/02,4,62,138
2014/06/03,4,60,140
2014/06/04,4,60,140
2014/06/05,4,61,140
2014/06/06,5,60,132
2014/06/07,3,56,130
2014/06/08,3,58,134
2014/06/09,3,55,131
2014/06/10,3,53,132
2014/06/11,4,50,133
2014/06/12,5,50,133
2014/06/13,4,50,138
2014/06/14,4,52,134
2014/06/15,4,57,136
2014/06/16,4,59,142
2014/06/17,5,59,145
2014/06/18,5,57,146
2014/06/19,5,59,145
2014/06/20,6,58,143
2014/06/21,6,60,144
2014/06/22,6,60,144
2014/06/23,6,65,152
2014/06/24,6,63,150
2014/06/25,6,62,149
2014/06/26,5,63,152
2014/06/27,5,63,159
2014/06/28,5,69,161
2014/06/29,5,69,159
2014/06/30,4,72,163
2014/07/01,4,72,155
2014/07/02,5,75,159
2014/07/03,5,73,156
2014/07/04,5,73,157
2014/07/05,6,73,159
2014/07/06,6,74,163
2014/07/07,6,75,166
2014/07/08,6,76,166
2014/07/09,6,76,166
2014/07/10,6,76,169
2014/07/11,6,77,170
2014/07/12,6,78,172
2014/07/13,7,79,174
2014/07/14,7,78,177
2014/07/15,9,73,174
2014/07/16,8,71,174
2014/07/17,7,70,174
2014/07/18,8,74,172
2014/07/19,8,75,169
2014/07/20,7,76,166
2014/07/21,7,77,169
2014/07/22,7,75,171
2014/07/23,7,72,166
2014/07/24,7,71,164
2014/07/25,7,70,163
2014/07/26,7,69,161
2014/07/27,7,70,159
2014/07/28,7,68,158
2014/07/29,7,67,159
2014/07/30,7,66,161
2014/07/31,6,67,163
2014/08/01,6,63,161
2014/08/02,6,63,161
2014/08/03,6,66,163
2014/08/04,6,64,161
2014/08/05,6,62,154
2014/08/06,6,61,157
2014/08/07,6,60,154
2014/08/08,6,60,157
2014/08/09,6,61,157
2014/08/10,6,61,150
2014/08/11,6,60,147
2014/08/12,6,59,149
2014/08/13,6,58,155
2014/08/14,5,60,154
2014/08/15,5,63,153
2014/08/16,5,62,149
2014/08/17,5,59,149
2014/08/18,5,60,153
2014/08/19,4,58,156
2014/08/20,4,57,155
2014/08/21,4,57,154
2014/08/22,4,58,157
2014/08/23,4,59,159
2014/08/24,5,61,168
2014/08/25,5,60,164
2014/08/26,5,62,165
2014/08/27,5,63,163
2014/08/28,5,64,160
2014/08/29,5,65,164
2014/08/30,4,66,164
2014/08/31,5,66,164
2014/09/01,5,68,166
2014/09/02,5,64,163
2014/09/03,5,64,161
2014/09/04,5,63,165
2014/09/05,5,61,161
2014/09/06,5,62,159
2014/09/07,5,60,157
2014/09/08,5,60,154
2014/09/09,5,59,153
2014/09/10,5,60,155
2014/09/11,5,61,155
2014/09/12,5,61,153
2014/09/13,5,60,152
2014/09/14,5,58,151
2014/09/15,5,59,154
2014/09/16,4,61,153
2014/09/17,4,60,151
2014/09/18,4,62,148
2014/09/19,4,61,145
2014/09/20,4,61,143
2014/09/21,4,60,142
2014/09/22,4,59,139
2014/09/23,4,58,135
2014/09/24,4,58,137
2014/09/25,4,57,134
2014/09/26,5,58,135
2014/09/27,5,59,136
2014/09/28,5,58,133
2014/09/29,4,59,136
2014/09/30,4,57,133
2014/10/01,4,53,130
2014/10/02,4,54,131
2014/10/03,4,54,131
2014/10/04,4,54,126
2014/10/05,4,53,127
2014/10/06,4,52,127
2014/10/07,4,52,123
2014/10/08,4,53,124
2014/10/09,4,54,122
2014/10/10,4,51,117
2014/10/11,4,50,119
2014/10/12,4,49,115
2014/10/13,4,51,121
2014/10/14,3,48,116
2014/10/15,3,49,115
2014/10/16,3,48,113
2014/10/17,3,45,111
2014/10/18,3,44,110
2014/10/19,3,47,114
2014/10/20,3,49,117
2014/10/21,3,49,118
2014/10/22,3,49,116
2014/10/23,3,51,116
2014/10/24,3,52,118
2014/10/25,3,51,119
2014/10/26,2,51,120
2014/10/27,2,51,121
2014/10/28,2,48,121
2014/10/29,2,51,122
2014/10/30,2,53,125
2014/10/31,2,55,128
2014/11/01,2,55,126
2014/11/02,2,57,127
2014/11/03,2,61,133
2014/11/04,2,62,132
2014/11/05,2,67,135
2014/11/06,2,70,136
2014/11/07,2,71,136
2014/11/08,2,71,138
2014/11/09,2,72,145
2014/11/10,2,75,147
2014/11/11,2,73,148
2014/11/12,3,69,146
2014/11/13,3,71,146
2014/11/14,3,70,145
2014/11/15,3,71,146
2014/11/16,3,71,145
2014/11/17,3,73,148
2014/11/18,3,70,145
2014/11/19,3,67,142
2014/11/20,3,69,145
2014/11/21,3,66,146
2014/11/22,3,65,143
2014/11/23,3,65,140
2014/11/24,3,65,143
2014/11/25,3,65,141
2014/11/26,3,62,136
2014/11/27,4,61,133
2014/11/28,4,60,128
2014/11/29,4,60,127
2014/11/30,5,60,133
